"seen","see","Spatřili","spatřit","pf"," The two schooners, under all sail and joined by a third, could be seen making back."," Spatřili oba škunery, vracející se s plnými plachtami a doprovázené třetím."
"falling","fall","padaly","padat","impf"," Other trees were going, falling and crisscrossing like matches."," Povolovat začaly i další stromy, které padaly a skládaly se přes sebe jako sirky."
"holding","hold","držel","držet","impf"," The man, holding the other child, touched Raoul ’ s arm and pointed."," Muž, který držel druhé z dětí, se dotknul Raoulovy paže a na cosi ukazoval."
"touched","touch","dotknul","dotknout","pf"," The man, holding the other child, touched Raoul ’ s arm and pointed."," Muž, který držel druhé z dětí, se dotknul Raoulovy paže a na cosi ukazoval."
"pointed","point","ukazoval","ukazovat","impf"," The man, holding the other child, touched Raoul ’ s arm and pointed."," Muž, který držel druhé z dětí, se dotknul Raoulovy paže a na cosi ukazoval."
"commented","comment","poznamenal","poznamenat","pf"," “ Just nerves, ” he commented drily."," "" Jenom nervy, "" poznamenal Linday suše."
"rose","rise","stoupala","stoupat","impf"," The injured man ’ s chest rose and fell perceptibly under the fur robes."," Hruď zraněného pod kožešinovými přikrývkami zřetelně stoupala a klesala."
"fell","fall","klesala","klesat","impf"," The injured man ’ s chest rose and fell perceptibly under the fur robes."," Hruď zraněného pod kožešinovými přikrývkami zřetelně stoupala a klesala."
"won","win","získala","získat","pf"," I wouldn ’ t wonder if you won him with a syllogism. ”"," Nedivil bych se, kdyby sis ho získala nějakým sylogismem. """
"take","take","beru","brát","impf"," “ No, I take that back, Madge."," "" Ne, beru to zpátky, Madge."
"won","win","získala","získat","pf"," If you ’ d been a numbskull you ’ d have won him, or any one else, on your looks, and form, and carriage."," I kdybys byla docela hloupá, získala by sis jeho i kohokoliv jiného svým půvabem, postavou, vystupováním."
"used","use","Použil","použít","pf"," He used the last of his chloroform and achieved the bone-graft - living bone to living bone, living man and living rabbit immovable and in-dissolubly bandaged and bound together, their mutual processes uniting and reconstructing a perfect arm."," Použil poslední zbytek chloroformu a zavedl kostní štěp - živou kost na živou kost, živý člověk a živý zajíc pevně a nerozlučně svázáni a spjati tak, aby se jejich procesy vzájemně spojily a daly znovu vzniknout dokonalé paži."
"bound","bind","svázáni","svázat","pf"," He used the last of his chloroform and achieved the bone-graft - living bone to living bone, living man and living rabbit immovable and in-dissolubly bandaged and bound together, their mutual processes uniting and reconstructing a perfect arm."," Použil poslední zbytek chloroformu a zavedl kostní štěp - živou kost na živou kost, živý člověk a živý zajíc pevně a nerozlučně svázáni a spjati tak, aby se jejich procesy vzájemně spojily a daly znovu vzniknout dokonalé paži."
"bound","bind","spojily","spojit","pf"," He used the last of his chloroform and achieved the bone-graft - living bone to living bone, living man and living rabbit immovable and in-dissolubly bandaged and bound together, their mutual processes uniting and reconstructing a perfect arm."," Použil poslední zbytek chloroformu a zavedl kostní štěp - živou kost na živou kost, živý člověk a živý zajíc pevně a nerozlučně svázáni a spjati tak, aby se jejich procesy vzájemně spojily a daly znovu vzniknout dokonalé paži."
"uniting","unite","spojily","spojit","pf"," He used the last of his chloroform and achieved the bone-graft - living bone to living bone, living man and living rabbit immovable and in-dissolubly bandaged and bound together, their mutual processes uniting and reconstructing a perfect arm."," Použil poslední zbytek chloroformu a zavedl kostní štěp - živou kost na živou kost, živý člověk a živý zajíc pevně a nerozlučně svázáni a spjati tak, aby se jejich procesy vzájemně spojily a daly znovu vzniknout dokonalé paži."
"climb","climb","vylezl","vylézt","pf"," The old man ’ s joints were stiff and he could not climb, so the sailors, by means of short ends of rope tied together, hoisted him up the trunk, a few feet at a time, till they could make him fast, at the top of the tree, fifty feet from the ground."," Protože ztuhlé klouby staříkovi nedovolovaly, aby si sám vylezl na strom, námořníci ho pomocí kratších konců provazů svázaných k sobě vždy po několika stopách vytahovali vzhůru po kmeni, dokud se jim nepodařilo přivázat jej k vrcholku stromu ve výšce padesáti stop."
"tied","tie","přivázat","přivázat","pf"," The old man ’ s joints were stiff and he could not climb, so the sailors, by means of short ends of rope tied together, hoisted him up the trunk, a few feet at a time, till they could make him fast, at the top of the tree, fifty feet from the ground."," Protože ztuhlé klouby staříkovi nedovolovaly, aby si sám vylezl na strom, námořníci ho pomocí kratších konců provazů svázaných k sobě vždy po několika stopách vytahovali vzhůru po kmeni, dokud se jim nepodařilo přivázat jej k vrcholku stromu ve výšce padesáti stop."
"washed","wash","umyli","umýt","pf"," Had nothin ’ but linen thread, but washed that, too. ”"," Měli jsme sice jen lněný vlákno, ale to jsme taky umyli. """
"die","die","neumře","umřít","pf"," That man ain ’ t goin ’ to die."," Ten chlap neumře."
"come","come","nepřijedete","přijet","pf"," He knows I ’ ve come for a doctor, an ’ he ’ ll make out to live until you get there."," Ví, že jsem jel pro doktora, a bude žít, dokud nepřijedete."
"get","get","nepřijedete","přijet","pf"," He knows I ’ ve come for a doctor, an ’ he ’ ll make out to live until you get there."," Ví, že jsem jel pro doktora, a bude žít, dokud nepřijedete."
"let","let","Nenechá","nechat","pf"," He won ’ t let himself die."," Nenechá se umřít."
"die","die","umřít","umřít","pf"," He won ’ t let himself die."," Nenechá se umřít."
"remaining","remain","zůstával","zůstávat","impf"," One of the women slid down and joined him, the native remaining by the other woman, the two children, and the cat."," Jedna z žen se spustila za ním, zatímco domorodec zůstával nahoře s druhou ženou, dvěma dětmi a kočkou."
"saw","see","pozorovat","pozorovat","impf"," Now he saw the process work out alongside him."," Nyní mohl působení tohoto procesu pozorovat přímo vedle sebe."
"hold","hold","udržet","udržet","pf"," It required all his strength to hold on, and the woman who had joined him was growing weaker."," Chtěl - li se udržet, musel napnout veškeré své síly a žena, která se k němu přidala, postupně slábla."
"joined","join","přidala","přidat","pf"," It required all his strength to hold on, and the woman who had joined him was growing weaker."," Chtěl - li se udržet, musel napnout veškeré své síly a žena, která se k němu přidala, postupně slábla."
"brought","bring","přivedlo","přivést","pf"," “ What brought you, of all places, into the Klondike? ” she asked once."," "" Co tě ze všech míst na světě přivedlo zrovna na Klondike? "" zeptala se ho jednou."
"asked","ask","zeptala","zeptat","pf"," “ What brought you, of all places, into the Klondike? ” she asked once."," "" Co tě ze všech míst na světě přivedlo zrovna na Klondike? "" zeptala se ho jednou."
"spend","spend","utrácet","utrácet","impf"," No wife to spend it."," Žádná žena, která by je mohla utrácet."
"Wanted","want","Chtěl","chtít","impf"," Wanted a rest."," Chtěl jsem si odpočinout."
"tried","try","vyzkoušel","vyzkoušet","pf"," I tried Colorado, but their telegrams followed me, and some of them did themselves."," Nejdřív jsem vyzkoušel Colorado, ale dostihli mě svými telegramy, někteří dokonce osobně."
"went","go","Pokračoval","pokračovat","impf"," I went on to Seattle."," Pokračoval jsem do Seattlu."
"imagine","imagine","představit","představit","pf"," You can imagine the rest."," Zbytek si dokážeš představit sama."
"left","leave","vyrazila","vyrazit","pf"," Two tins of salmon were left, and in the course of the day she battered holes in them and drained the liquid."," Zbývaly jí ještě dvě lososí konzervy a Nauri během dne vyrazila do obou otvory a vysála z nich tekutinu."
"standing","stand","postavila","postavit","pf"," In the early afternoon, standing upright in the canoe, she sighted Hikueru."," Když se Nauri brzy odpoledne ve své kanoi postavila, uviděla Hikueru."
"sighted","sight","uviděla","uvidět","pf"," In the early afternoon, standing upright in the canoe, she sighted Hikueru."," Když se Nauri brzy odpoledne ve své kanoi postavila, uviděla Hikueru."
"see","see","uviděla","uvidět","pf"," Only here and there, at wide intervals, could she see the ragged remnants of trees."," Jen tu a tam uviděla rozbité pahýly stromů, stojící v širokých rozestupech."
"cheered","cheer","potěšil","potěšit","pf"," The sight cheered her."," Pohled na ostrov ji potěšil."
"get","get","Dostal","dostat","pf"," “ Did you get the pearl? ” he yelled in Raoul ’ s ear."," "" Dostal jsi tu perlu? "" zakřičel Raoulovi do ucha."
"caught","catch","zachytil","zachytit","pf"," The wind caught him and whirled him away."," Vítr ho zachytil a odhodil stranou."
"noted","note","zaznamenal","zaznamenat","pf"," He noted that it had hauled around to the east."," Raoul zaznamenal, že se vítr stočil na východ."
"holding","hold","odolávat","odolávat","impf"," With a great effort he threw himself on the sand, crouching and holding his own."," S velkou námahou klesnul na písek, přikrčil se a snažil se odolávat jeho náporu."
"leaning","lean","naklánět","naklánět","impf"," Two of the Aorai ’ s sailors, leaving a cocoanut-tree to which they had been clinging, came to their aid, leaning against the wind at impossible angles and fighting and clawing every inch of the way."," Dvěma námořníkům z Aorai, kteří se pustili kokosové palmy a vydali se jim na pomoc, nezbývalo než naklánět se ve větru v neuvěřitelných úhlech a při svém namáhavém postupu bojovat o každou píď."
"fighting","fight","bojovat","bojovat","impf"," Two of the Aorai ’ s sailors, leaving a cocoanut-tree to which they had been clinging, came to their aid, leaning against the wind at impossible angles and fighting and clawing every inch of the way."," Dvěma námořníkům z Aorai, kteří se pustili kokosové palmy a vydali se jim na pomoc, nezbývalo než naklánět se ve větru v neuvěřitelných úhlech a při svém namáhavém postupu bojovat o každou píď."
"wager","wager","Vsadím","vsadit","pf"," “ I ’ ll wager I ’ d recognize it if I heard it. ”"," "" Vsadím se, že kdybych ho slyšel, znal bych ho. """
"heard","hear","slyšel","slyšet","impf"," “ I ’ ll wager I ’ d recognize it if I heard it. ”"," "" Vsadím se, že kdybych ho slyšel, znal bych ho. """
"want","want","Chci","chtít","impf"," I want one final test, and then I ’ m done with you."," Chci ještě jednu, poslední zkoušku, a pak s vámi budu hotov."
"owned","own","vlastnila","vlastnit","impf"," Raoul he was, Alexandre Raoul, youngest son of Marie Raoul, the wealthy quarter-caste, who owned and managed half a dozen trading schooners similar to the Aorai."," Byl to Raoul, Alexandré Raoul, nejmladší syn Marie Raoul, majetné ženy, která byla z jedné čtvrtiny míšenkou a vlastnila a provozovala půl tuctu obchodních škunerů, jako byla Aorai."
"leaped","leap","vyskočil","vyskočit","pf"," Young Raoul leaped out upon the white sand and shook hands with a tall native."," Mladý Raoul vyskočil na bělostný písek a potřásl si rukou s vysokým domorodcem."
"studied","study","Studoval","studovat","impf"," He studied his walk, his body movements, stripped him again and again and for the thousandth time made him flex all his muscles."," Studoval jeho chůzi, pohyby, stále dokola ho nechával svléknout a snad po tisící předvést pohyby všech svalů."
"stripped","strip","svléknout","svléknout","pf"," He studied his walk, his body movements, stripped him again and again and for the thousandth time made him flex all his muscles."," Studoval jeho chůzi, pohyby, stále dokola ho nechával svléknout a snad po tisící předvést pohyby všech svalů."
"declared","declare","prohlásil","prohlásit","pf"," Massage was given him without end, until Linday declared that Tom Daw, Bill, and the brother were properly qualified for Turkish bath and osteopathic hospital attendants."," Strangovo tělo bylo podrobeno tolika masážím, až Linday prohlásil, že Tom Daw, Bill a Strangův bratr jsou plně kvalifikováni pro práci v tureckých lázních či na chiropraktické klinice."
"searching","search","hledal","hledat","impf"," He put Strang through his whole repertoire of physical feats, searching him the while for hidden weaknesses."," Podrobil Stranga celému repertoáru fyzických výkonů a hledal skryté nedostatky."
"grinned","grin","usmál","usmát","pf"," He shook his head dumbly, grinned with his eyes, and drew near to the stove to thaw his mouth to speech."," Muž němě zavrtěl hlavou, usmál se očima a přešel blíž ke kamnům, aby mu ústa roztála a mohl promluvit."
"say","say","říkáš","říkat","impf"," What do you say?"," Co říkáš?"
"go","go","Pojedeme","jet","impf"," Shall we go to Lake Geneva? ”"," Pojedeme na Ženevské jezero? """
"said","say","odpověděla","odpovědět","pf"," “ As you will, ” she said."," "" Jak si budeš přát, "" odpověděla."
"see","see","viděla","vidět","impf"," “ What the deuce did you see in him, anyway?"," "" Cos na něm vlastně k čertu vůbec viděla?"
"like","like","líbit","líbit","impf"," Will you like that?"," Bude se ti to líbit?"
"Go","go","Pokračuj","pokračovat","impf"," “ Go on, go on, ” she breathed."," "" Pokračuj, pokračuj, "" zašeptala."
"go","go","Pokračuj","pokračovat","impf"," “ Go on, go on, ” she breathed."," "" Pokračuj, pokračuj, "" zašeptala."
"Go","go","pokračuj","pokračovat","impf"," “ Go on, go on, ” she breathed."," "" Pokračuj, pokračuj, "" zašeptala."
"go","go","pokračuj","pokračovat","impf"," “ Go on, go on, ” she breathed."," "" Pokračuj, pokračuj, "" zašeptala."
"breathed","breathe","zašeptala","zašeptat","pf"," “ Go on, go on, ” she breathed."," "" Pokračuj, pokračuj, "" zašeptala."
"Make","make","Udělej","udělat","pf"," Make him what he was. ”"," Udělej ho tím, kým byl. """
"did","do","prováděl","provádět","impf"," More than once, whenever Strang ’ s recuperation permitted, Linday put him under the anaesthetic and did terrible things, cutting and sewing, rewiring and connecting up the disrupted organism."," Stávalo se, že když se Strang dostatečně zotavil, podal mu Linday anestetika a prováděl s ním strašné věci, řezal a sešíval, přepojoval a propojoval porouchaný organismus."
"cutting","cut","řezal","řezat","impf"," More than once, whenever Strang ’ s recuperation permitted, Linday put him under the anaesthetic and did terrible things, cutting and sewing, rewiring and connecting up the disrupted organism."," Stávalo se, že když se Strang dostatečně zotavil, podal mu Linday anestetika a prováděl s ním strašné věci, řezal a sešíval, přepojoval a propojoval porouchaný organismus."
"connecting","connect","propojoval","propojovat","impf"," More than once, whenever Strang ’ s recuperation permitted, Linday put him under the anaesthetic and did terrible things, cutting and sewing, rewiring and connecting up the disrupted organism."," Stávalo se, že když se Strang dostatečně zotavil, podal mu Linday anestetika a prováděl s ním strašné věci, řezal a sešíval, přepojoval a propojoval porouchaný organismus."
"lift","lift","zdvihnout","zdvihnout","pf"," Strang could lift it so far, and no farther."," Strang ji mohl zdvihnout jen do určité výšky a ani o kus dál."
"began","begin","začal","začít","pf"," At the same time he began a rambling, disjointed history of the coming and growth of his affliction."," Zároveň začal rozvláčně a nesouvisle popisovat počátek a průběh svého soužení."
"Let","let","Dovolte","dovolit","pf"," “ Let me look at it, ” the doctor broke in impatiently."," "" Dovolte, podívám se na to, "" skočil mu netrpělivě do řeči doktor."
"look","look","podívám","podívat","pf"," “ Let me look at it, ” the doctor broke in impatiently."," "" Dovolte, podívám se na to, "" skočil mu netrpělivě do řeči doktor."
"obeyed","obey","uposlechl","uposlechnout","pf"," Tenderly, as if it were a great boil, the man obeyed."," Opatrně, jako by se jednalo o velký vřed, muž uposlechl."
"travelled","travel","jede","jet","impf"," And travelled a hundred miles to have it fixed."," A on jede sto mil cesty, aby si to nechal dát do pořádku."
"fix","fix","Spravím","spravit","pf"," I ’ ll fix it in a jiffy."," Spravím to během chvilky."
"repeating","repeat","neopakoval","opakovat","impf"," The glare from the black eyes prevented him from repeating the suggestion."," Zlověstný záblesk v černých očích mu však naznačil, aby svůj návrh raději neopakoval."
"received","receive","obdrželi","obdržet","pf"," As early as mid-day they received definite warning of the beginning of the end."," Už v poledne obdrželi poslední varování blížícího se konce."
"began","begin","začaly","začít","pf"," Cakes of ice, borne downward in the rapid current, began to thunder beneath the ice on which they stood."," Pod ledovým příkrovem, na kterém stáli, začaly burácet kusy ledu, unášené prudkým proudem."
"means","mean","znamená","znamenat","impf"," “ That means open water above, ” Daw explained."," "" To znamená, že nahoře je volná voda, "" vysvětlil Daw."
"explained","explain","vysvětlil","vysvětlit","pf"," “ That means open water above, ” Daw explained."," "" To znamená, že nahoře je volná voda, "" vysvětlil Daw."
"return","return","vracel","vracet","impf"," From a state of stupor he would return to it - So this was a hurricane."," K ní se vracel ze své strnulosti - Takže tohle je hurikán."
"clutching","clutch","svíraje","svírat","impf"," Mapuhi rose to the surface of the lagoon, still clutching his daughter Ngakura."," Mapuhi vyplaval na hladinu laguny, svíraje v náručí svou dceru Ngakuru."
"said","say","řekl","říci","pf"," “ So? ” he said."," "" Takže? "" řekl."
"dropped","drop","sklonila","sklonit","pf"," She dropped her eyes to the man in the bunk as if to reassure herself of his identity, and then in silence returned Linday ’ s gaze."," Žena sklonila zrak k muži na pryčně, jako by se chtěla ujistit o jeho totožnosti, a pak tiše opětovala Lindayův upřený pohled."
"reassure","reassure","ujistit","ujistit","pf"," She dropped her eyes to the man in the bunk as if to reassure herself of his identity, and then in silence returned Linday ’ s gaze."," Žena sklonila zrak k muži na pryčně, jako by se chtěla ujistit o jeho totožnosti, a pak tiše opětovala Lindayův upřený pohled."
"speak","speak","neříkáš","říkat","impf"," “ Why don ’ t you speak? ”"," "" Proč nic neříkáš? """
"Thank","thank","Děkuji","děkovat","impf"," “ Thank you."," "" Děkuji."
"said","say","řekl","říci","pf"," “ Doc, ” he said finally, “ are you game? ”"," "" Doktore, "" řekl konečně, "" zvládnete to? """
"began","begin","začal","začít","pf"," For answer, Linday knocked out his pipe and began to pull on his damp moccasins."," Linday místo odpovědi vyklepal dýmku a začal si nazouvat vlhké mokasíny."
"broken","break","strhli","strhnout","pf"," Between them, and in a few minutes, bending to the force of the wind, the dogs were harnessed, camp broken, and the cooking outfit and unused sleeping-furs lashed on the sled."," Soupeříce s nápory větru pak společně během několika minut zapřáhli psy, strhli tábor a připevnili kuchyňské náčiní a nepoužité kožešiny na saně."
"come","come","přicházíš","přicházet","impf"," “ But where do you come from, old woman? ” he asked."," "" Odkud však přicházíš, stará ženo? "" zeptal se."
"screamed","scream","vykřikla","vykřiknout","pf"," I knew it! ” screamed Tefara, rocking to and fro."," Věděla jsem to! "" vykřikla Tefara, kymácejíc se ze strany na stranu."
"looked","look","pohlédl","pohlédnout","pf"," Mapuhi looked fear and reproach at his wife."," Mapuhi pohlédl na svou ženu vyděšeně a vyčítavě zároveň."
"betrayed","betray","prozradil","prozradit","pf"," It was her voice that had betrayed them."," Byl to její hlas, který je prozradil."
"appeared","appear","zdály","zdát","impf"," His hands, slender, fine and nervous, appeared made for delicate work, and to the most casual eye they conveyed an impression of strength."," Ruce, štíhlé, jemné a nervózní, se zdály být stvořeny k delikátní práci a při povrchním pohledu vzbuzovaly zdání síly."
"announced","announce","ohlásil","ohlásit","pf"," “ Our game, ” he announced, drawing in the last trick."," "" Naše hra, "" ohlásil, když sbíral poslední štych."
"digs","dig","kopat","kopat","impf"," “ Now for the rub and who digs the fishing hole. ”"," "" A teď o rub a to, kdo půjde kopat díru na ryby. """
"brought","bring","přimělo","přimět","pf"," A knock at the door brought a quick exclamation from him."," Zaklepání na dveře ho přimělo k výkřiku."
"noted","note","zaznamenal","zaznamenat","pf"," Quite as a matter of course he noted the succeeding wave sweep the sand clean of the human wreckage."," Jako prostou skutečnost pak zaznamenal, že následující vlna smetla tyto lidské trosky do moře."
"seen","see","viděl","vidět","impf"," A third wave, more colossal than any he had yet seen, hurled the church into the lagoon, where it floated off into the obscurity to leeward, half-submerged, reminding him for all the world of a Noah ’ s ark."," Třetí vlna, největší ze všech, které dosud viděl, vrhla kostel do laguny, kde zpola ponořený pod hladinou odplul do temnoty na závětrné straně, připomínaje Raoulovi ze všeho nejvíce Noemovu archu."
"hurled","hurl","vrhla","vrhnout","pf"," A third wave, more colossal than any he had yet seen, hurled the church into the lagoon, where it floated off into the obscurity to leeward, half-submerged, reminding him for all the world of a Noah ’ s ark."," Třetí vlna, největší ze všech, které dosud viděl, vrhla kostel do laguny, kde zpola ponořený pod hladinou odplul do temnoty na závětrné straně, připomínaje Raoulovi ze všeho nejvíce Noemovu archu."
"reminding","remind","připomínaje","připomínat","impf"," A third wave, more colossal than any he had yet seen, hurled the church into the lagoon, where it floated off into the obscurity to leeward, half-submerged, reminding him for all the world of a Noah ’ s ark."," Třetí vlna, největší ze všech, které dosud viděl, vrhla kostel do laguny, kde zpola ponořený pod hladinou odplul do temnoty na závětrné straně, připomínaje Raoulovi ze všeho nejvíce Noemovu archu."
"looked","look","podíval","podívat","pf"," He looked for Captain Lynch ’ s house, and was surprised to find it gone."," Raoul se ohlédl, aby se podíval na dům kapitána Lynche, a s překvapením zjistil, že je pryč."
"find","find","zjistil","zjistit","pf"," He looked for Captain Lynch ’ s house, and was surprised to find it gone."," Raoul se ohlédl, aby se podíval na dům kapitána Lynche, a s překvapením zjistil, že je pryč."
"see","see","uviděli","uvidět","pf"," The three men stepped outside in time to see the two schooners go hastily about and head off shore, dropping mainsails and flying-jibs on the run in the teeth of the squall that heeled them far over on the whitened water."," Všichni tři muži vyšli ven právě včas, aby uviděli, jak se oba škunery kvapně otáčejí přes příď a míří pryč od pobřeží, spouštějíce při svém úprku hlavní plachty a vnější kosatky v sevření bouře, která je nakláněla hluboko nad zpěněnou vodu."
"go","go","míří","mířit","impf"," The three men stepped outside in time to see the two schooners go hastily about and head off shore, dropping mainsails and flying-jibs on the run in the teeth of the squall that heeled them far over on the whitened water."," Všichni tři muži vyšli ven právě včas, aby uviděli, jak se oba škunery kvapně otáčejí přes příď a míří pryč od pobřeží, spouštějíce při svém úprku hlavní plachty a vnější kosatky v sevření bouře, která je nakláněla hluboko nad zpěněnou vodu."
"head","head","míří","mířit","impf"," The three men stepped outside in time to see the two schooners go hastily about and head off shore, dropping mainsails and flying-jibs on the run in the teeth of the squall that heeled them far over on the whitened water."," Všichni tři muži vyšli ven právě včas, aby uviděli, jak se oba škunery kvapně otáčejí přes příď a míří pryč od pobřeží, spouštějíce při svém úprku hlavní plachty a vnější kosatky v sevření bouře, která je nakláněla hluboko nad zpěněnou vodu."
"dropping","drop","spouštějíce","spouštět","impf"," The three men stepped outside in time to see the two schooners go hastily about and head off shore, dropping mainsails and flying-jibs on the run in the teeth of the squall that heeled them far over on the whitened water."," Všichni tři muži vyšli ven právě včas, aby uviděli, jak se oba škunery kvapně otáčejí přes příď a míří pryč od pobřeží, spouštějíce při svém úprku hlavní plachty a vnější kosatky v sevření bouře, která je nakláněla hluboko nad zpěněnou vodu."
"said","say","řekl","říci","pf"," “ They ’ ll be back after it ’ s over, ” said Toriki."," "" Vrátí se, až to přejde, "" řekl Toriki."
"fallen","fall","klesnul","klesnout","pf"," “ I reckon the glass has fallen some more, ” said Captain Lynch."," "" Vsadil bych se, že barometr zase o něco klesnul, "" řekl kapitán Lynch.."
"said","say","řekl","říci","pf"," “ I reckon the glass has fallen some more, ” said Captain Lynch."," "" Vsadil bych se, že barometr zase o něco klesnul, "" řekl kapitán Lynch.."
"see","see","Viděl","vidět","impf"," He could see the Aorai trimming her sheets and heading off shore, and he regretted that he was not on her."," Viděl, jak se Aorai připravuje k vyplutí a míří pryč od pobřeží, a litoval, že na ní není."
"heading","head","míří","mířit","impf"," He could see the Aorai trimming her sheets and heading off shore, and he regretted that he was not on her."," Viděl, jak se Aorai připravuje k vyplutí a míří pryč od pobřeží, a litoval, že na ní není."
"regretted","regret","litoval","litovat","impf"," He could see the Aorai trimming her sheets and heading off shore, and he regretted that he was not on her."," Viděl, jak se Aorai připravuje k vyplutí a míří pryč od pobřeží, a litoval, že na ní není."
"disappeared","disappear","zmizelo","zmizet","pf"," The sun had disappeared, and a lead-colored twilight settled down."," Slunce zmizelo a na obloze se usadil ocelově šedý soumrak."
"settled","settle","usadil","usadit","pf"," The sun had disappeared, and a lead-colored twilight settled down."," Slunce zmizelo a na obloze se usadil ocelově šedý soumrak."
"smarting","smart","pálily","pálit","impf"," His cheeks stung, and involuntary tears of pain were in his smarting eyes."," Tváře ho štípaly a v očích pálily nedobrovolné slzy bolesti."
"Let","let","Nech","nechat","pf"," “ Let me tell him now, ” she said."," "" Nech mě říct to teď, "" žádala Madge."
"tell","tell","říct","říci","pf"," “ Let me tell him now, ” she said."," "" Nech mě říct to teď, "" žádala Madge."
"said","say","říct","říci","pf"," “ Let me tell him now, ” she said."," "" Nech mě říct to teď, "" žádala Madge."
"want","want","Nechci","chtít","impf"," I want no set-backs."," Nechci žádné komplikace."
"made","make","udělám","udělat","pf"," It ’ s a little thing, but I am going to remake him as God made him."," Je to drobnost, ale já ho udělám takového, jakého ho stvořil Bůh."
"mean","mean","znamenat","znamenat","impf"," It will mean a couple of days on his back."," Bude to znamenat dalších pár dní v posteli."
"estimated","estimate","odhadoval","odhadovat","impf"," Linday estimated the temperature at fifteen below and rising."," Linday odhadoval teplotu na minus patnáct a stále stoupající."
"explained","explain","vysvětlil","vysvětlit","pf"," That day would see them in the canyon, he explained, and if the spring thaw set in the canyon would run open water."," Jak vysvětlil, čekala je cesta kaňonem, a pokud by začalo jarní tání, narazili by v něm na proudící vodu."
"do","do","Udělá","udělat","pf"," She ’ ll do anything Rocky ’ ll let her."," Udělá všechno, co jí Rocky dovolí."
"let","let","dovolí","dovolit","pf"," She ’ ll do anything Rocky ’ ll let her."," Udělá všechno, co jí Rocky dovolí."
"hired","hire","najmuli","najmout","pf"," That ’ s why another man an ’ me are hired on good wages."," Proto si za slušnej plat najmuli ještě dalšího chlapa a mě."
