"says","say","říkají","říkat","impf"," some says gal, some says girl – both 's right, like enough."," Někteří říkají holka a jiní děvče, ale myslím, že to vyjde na stejno."
"lying","lie","leží","ležet","impf"," He pictured himself lying sick unto death and his aunt bending over him beseeching one little forgiving word, but he would turn his face to the wall, and die with that word unsaid."," Představoval si sám sebe, jak leží k smrti nemocen a teta se nad něho sklání a prosí o jediné slovíčko odpuštění, ale on se odvrací ke zdi a umírá, aniž to slovíčko vyslovil."
"beseeching","beseech","prosí","prosit","impf"," He pictured himself lying sick unto death and his aunt bending over him beseeching one little forgiving word, but he would turn his face to the wall, and die with that word unsaid."," Představoval si sám sebe, jak leží k smrti nemocen a teta se nad něho sklání a prosí o jediné slovíčko odpuštění, ale on se odvrací ke zdi a umírá, aniž to slovíčko vyslovil."
"die","die","umírá","umírat","impf"," He pictured himself lying sick unto death and his aunt bending over him beseeching one little forgiving word, but he would turn his face to the wall, and die with that word unsaid."," Představoval si sám sebe, jak leží k smrti nemocen a teta se nad něho sklání a prosí o jediné slovíčko odpuštění, ale on se odvrací ke zdi a umírá, aniž to slovíčko vyslovil."
"tell","tell","říct","říci","pf"," How can he tell? """," Jak by to mohl říct? """
"done","do","udělal","udělat","pf"," "" Because he 'd just got that whack when Injun Joe done it."," "" Zrovna přece dostal po hlavě, když to Indián Joe udělal."
"reckon","reckon","vidět","vidět","impf"," D'you reckon he could see anything?"," Myslíš, že mohl něco vidět?"
"see","see","vidět","vidět","impf"," D'you reckon he could see anything?"," Myslíš, že mohl něco vidět?"
"went","go","šel","jít","impf"," Tom went home miserable, and his dreams that night were full of horrors."," Tom šel domů sklíčený a zničený a jeho sny byly této noci plné hrůz."
"turning","turn","obrací","obracet","impf"," – Look out, he 's turning!"," Dejte pozor, obrací se!"
"let","let","Nenechte","nechat","pf"," Do n't let him get away! """," Nenechte ho utéct! """
"said","say","říkali","říkat","impf"," People in the branches of the trees over Tom 's head said he was n't trying to get away – he only looked doubtful and perplexed."," Lidé ve větvích stromu nad Tomovou hlavou říkali, že se nesnaží utéct, že se jen zkoprněle a udiveně rozhlíží."
"trying","try","nesnaží","snažit","impf"," People in the branches of the trees over Tom 's head said he was n't trying to get away – he only looked doubtful and perplexed."," Lidé ve větvích stromu nad Tomovou hlavou říkali, že se nesnaží utéct, že se jen zkoprněle a udiveně rozhlíží."
"said","say","řekl","říci","pf"," "" Infernal impudence! "" said a bystander;"," "" Pekelná drzost! "" řekl nějaký zevloun."
"came","come","přišla","přijít","pf"," And that night there came on a terrific storm, with driving rain, awful claps of thunder and blinding sheets of lightning."," Téže noci přišla hrozná bouřka s průtrží mračen, s děsným hromobitím a oslnivými blesky, které vždy osvětlily půl oblohy."
"covered","cover","schoval","schovat","pf"," He covered his head with the bedclothes and waited in a horror of suspense for his doom;"," Tom schoval hlavu pod peřinu a ve zděšeném napětí čekal svůj konec."
"waited","wait","čekal","čekat","impf"," He covered his head with the bedclothes and waited in a horror of suspense for his doom;"," Tom schoval hlavu pod peřinu a ve zděšeném napětí čekal svůj konec."
"keep","keep","mám","mít","impf"," I 'm thankful to the good God and Father of us all I 've got you back, that 's long-suffering and merciful to them that believe on Him and keep His word, though goodness knows I 'm unworthy of it,"," Jsem vděčná za to, že tě zase mám, Bohu a Otci nás všech, jenž je trpělivý a milosrdný k těm, kdo v něho věří a zachovávají jeho přikázání, ačkoliv Pánbůh ví, že toho nejsem hodna."
"believe","believe","věří","věřit","impf"," I 'm thankful to the good God and Father of us all I 've got you back, that 's long-suffering and merciful to them that believe on Him and keep His word, though goodness knows I 'm unworthy of it,"," Jsem vděčná za to, že tě zase mám, Bohu a Otci nás všech, jenž je trpělivý a milosrdný k těm, kdo v něho věří a zachovávají jeho přikázání, ačkoliv Pánbůh ví, že toho nejsem hodna."
"keep","keep","zachovávají","zachovávat","impf"," I 'm thankful to the good God and Father of us all I 've got you back, that 's long-suffering and merciful to them that believe on Him and keep His word, though goodness knows I 'm unworthy of it,"," Jsem vděčná za to, že tě zase mám, Bohu a Otci nás všech, jenž je trpělivý a milosrdný k těm, kdo v něho věří a zachovávají jeho přikázání, ačkoliv Pánbůh ví, že toho nejsem hodna."
"smile","smile","usmívali","usmívat","impf"," but if only the worthy ones got His blessings and had His hand to help them over the rough places, there 's few enough would smile here or ever enter into His rest when the long night comes."," Ale kdyby dostávali jeho požehnání a pomocnou ruku jenom ti, co toho jsou hodni, bylo by na světě málo takových, kteří by se usmívali a vešli do jeho pokoje, až nadejde dlouhá noc."
"enter","enter","vešli","vejít","pf"," but if only the worthy ones got His blessings and had His hand to help them over the rough places, there 's few enough would smile here or ever enter into His rest when the long night comes."," Ale kdyby dostávali jeho požehnání a pomocnou ruku jenom ti, co toho jsou hodni, bylo by na světě málo takových, kteří by se usmívali a vešli do jeho pokoje, až nadejde dlouhá noc."
"Go","go","Jdi","jít","impf"," "" Go away yourself! """," Jdi ty! """
"shoving","shove","strkali","strkat","impf"," So they stood, each with a foot placed at an angle as a brace, and both shoving with might and main, and glowering at each other with hate."," Tak tu oba stáli, rozkročmo, rameny proti sobě, a strkali se vší silou a civěli nenávistně jeden na druhého."
"wiping","wipe","utíral","utírat","impf"," Tom, wiping his eyes with his sleeve, began to blubber out something about a resolution to escape from hard usage and lack of sympathy at home by roaming abroad into the great world never to return;"," Tom si utíral rukávem oči a začal přerývaně něco říkat o odhodlání uniknout surovému zacházení a nedostatku porozumění, jež je doma jeho údělem, a jít se toulat širým světem a nikdy se nevrátit."
"began","begin","začal","začít","pf"," Tom, wiping his eyes with his sleeve, began to blubber out something about a resolution to escape from hard usage and lack of sympathy at home by roaming abroad into the great world never to return;"," Tom si utíral rukávem oči a začal přerývaně něco říkat o odhodlání uniknout surovému zacházení a nedostatku porozumění, jež je doma jeho údělem, a jít se toulat širým světem a nikdy se nevrátit."
"escape","escape","uniknout","uniknout","pf"," Tom, wiping his eyes with his sleeve, began to blubber out something about a resolution to escape from hard usage and lack of sympathy at home by roaming abroad into the great world never to return;"," Tom si utíral rukávem oči a začal přerývaně něco říkat o odhodlání uniknout surovému zacházení a nedostatku porozumění, jež je doma jeho údělem, a jít se toulat širým světem a nikdy se nevrátit."
"roaming","roam","toulat","toulat","impf"," Tom, wiping his eyes with his sleeve, began to blubber out something about a resolution to escape from hard usage and lack of sympathy at home by roaming abroad into the great world never to return;"," Tom si utíral rukávem oči a začal přerývaně něco říkat o odhodlání uniknout surovému zacházení a nedostatku porozumění, jež je doma jeho údělem, a jít se toulat širým světem a nikdy se nevrátit."
"return","return","nevrátit","vrátit","pf"," Tom, wiping his eyes with his sleeve, began to blubber out something about a resolution to escape from hard usage and lack of sympathy at home by roaming abroad into the great world never to return;"," Tom si utíral rukávem oči a začal přerývaně něco říkat o odhodlání uniknout surovému zacházení a nedostatku porozumění, jež je doma jeho údělem, a jít se toulat širým světem a nikdy se nevrátit."
"ended","end","zakončil","zakončit","pf"," and ended by hoping that Joe would not forget him."," Projev zakončil nadějí, že na něho Joe nezapomene."
"forget","forget","nezapomene","zapomenout","pf"," and ended by hoping that Joe would not forget him."," Projev zakončil nadějí, že na něho Joe nezapomene."
"drinking","drink","vypil","vypít","pf"," His mother had whipped him for drinking some cream which he had never tasted and knew nothing about;"," Jeho matka mu nabila, protože vypil nějakou smetanu, ačkoliv se jí ani nedotkl a ani o ní nevěděl."
"hit","hit","trefil","trefit","pf"," And if he hit that dime only on the edge he would set down and cry – and curse."," A když trefil pětník jenom do okraje, sedl si a plakal - a klel."
"cry","cry","plakal","plakat","impf"," And if he hit that dime only on the edge he would set down and cry – and curse."," A když trefil pětník jenom do okraje, sedl si a plakal - a klel."
"play","play","hrát","hrát","impf"," But we 'll play Robin Hood – it 's nobby fun."," Pojďme si hrát na Robina Hooda, je to vznešená švanda."
"learn","learn","naučím","naučit","pf"," I 'll learn you. """," Já tě to naučím. """
"lay","lie","ležela","ležet","impf"," When she cautiously faced around again, a peach lay before her."," Když se po chvilce opatrně zase pootočila čelem vpřed, ležela před ní broskev."
"began","begin","začal","začít","pf"," Now the boy began to draw something on the slate, hiding his work with his left hand."," Teď začal chlapec něco kreslit na svou tabulku, ale zakrýval levicí svůj výrobek."
"draw","draw","kreslit","kreslit","impf"," Now the boy began to draw something on the slate, hiding his work with his left hand."," Teď začal chlapec něco kreslit na svou tabulku, ale zakrýval levicí svůj výrobek."
"hiding","hide","zakrýval","zakrývat","impf"," Now the boy began to draw something on the slate, hiding his work with his left hand."," Teď začal chlapec něco kreslit na svou tabulku, ale zakrýval levicí svůj výrobek."
"come","come","přejde","přejít","pf"," But you 'll come out of it."," Ale to přejde."
"came","come","přišli","přijít","pf"," Now and then they came upon snug nooks carpeted with grass and jeweled with flowers."," Občas přišli na útulný palouček pokrytý kobercem trávy a vyšperkovaný květinami."
"found","find","Našli","najít","pf"," They found plenty of things to be delighted with, but nothing to be astonished at."," Našli spoustu věcí, které je bavily, ale žádnou, jež by je překvapila."
"astonished","astonish","překvapila","překvapit","pf"," They found plenty of things to be delighted with, but nothing to be astonished at."," Našli spoustu věcí, které je bavily, ale žádnou, jež by je překvapila."
"venture","venture","Netroufal","troufat","impf"," He did not venture again until he had found it, and by that time the other boys were tired and ready to rest."," Netroufal si do vody, dokud ho nenašel, ale to už byli ostatní unavení a chtěli odpočívat."
"found","find","nenašel","najít","pf"," He did not venture again until he had found it, and by that time the other boys were tired and ready to rest."," Netroufal si do vody, dokud ho nenašel, ale to už byli ostatní unavení a chtěli odpočívat."
"rest","rest","odpočívat","odpočívat","impf"," He did not venture again until he had found it, and by that time the other boys were tired and ready to rest."," Netroufal si do vody, dokud ho nenašel, ale to už byli ostatní unavení a chtěli odpočívat."
"writing","write","napsal","napsat","pf"," Tom found himself writing "" BECKY "" in the sand with his big toe;"," Tom se přistihl, že napsal palcem nohy do písku slovo BECKY."
"keep","keep","držet","držet","impf"," I reckon we 're safe as long as we keep mum."," Myslím, že se nám nemůže nic stát, dokud budeme držet jazyk za zuby."
"swear","swear","přísahejme","přísahat","impf"," But let 's swear again, anyway."," Ale přísahejme znovu."
"swore","swear","přísahali","přísahat","impf"," So they swore again with dread solemnities."," S hrůznou obřadností tedy znovu přísahali."
"heard","hear","slyšel","slyšet","impf"," I 've heard a power of it. """," Já toho slyšel spoustu. """
"sat","sit","seděl","sedět","impf"," Nudges and winks and whispers traversed the room, but Tom sat still, with his arms upon the long, low desk before him, and seemed to study his book."," Třída se pošťuchovala, mrkala na sebe a šeptala si, ale Tom seděl klidně, s pažemi na dlouhé desce nízkého stolu, a tvářil se, jako by se učil z čítanky."
"study","study","učil","učit","impf"," Nudges and winks and whispers traversed the room, but Tom sat still, with his arms upon the long, low desk before him, and seemed to study his book."," Třída se pošťuchovala, mrkala na sebe a šeptala si, ale Tom seděl klidně, s pažemi na dlouhé desce nízkého stolu, a tvářil se, jako by se učil z čítanky."
"ceased","cease","přestal","přestat","pf"," By and by attention ceased from him, and the accustomed school murmur rose upon the dull air once more."," Poznenáhlu přestal být středem pozornosti a obvyklé bzučení zase stoupalo do stojatého vzduchu třídy."
"rose","rise","stoupalo","stoupat","impf"," By and by attention ceased from him, and the accustomed school murmur rose upon the dull air once more."," Poznenáhlu přestal být středem pozornosti a obvyklé bzučení zase stoupalo do stojatého vzduchu třídy."
"began","begin","začal","začít","pf"," Presently the boy began to steal furtive glances at the girl."," Teď se chlapec začal kradmo dívat po děvčeti."
"observed","observe","Zpozorovala","zpozorovat","pf"," She observed it, "" made a mouth "" at him and gave him the back of her head for the space of a minute."," Zpozorovala to, zaškaredila se na něj a poskytla mu podívanou na témě své hlavy."
"gave","give","poskytla","poskytnout","pf"," She observed it, "" made a mouth "" at him and gave him the back of her head for the space of a minute."," Zpozorovala to, zaškaredila se na něj a poskytla mu podívanou na témě své hlavy."
"do","do","NEUDĚLÁŠ","udělat","pf"," "" Well why do n't you DO it then?"," "" Tak proč to NEUDĚLÁŠ?"
"DO","DO","NEUDĚLÁŠ","udělat","pf"," "" Well why do n't you DO it then?"," "" Tak proč to NEUDĚLÁŠ?"
"go","go","jít","jít","impf"," You must go and learn it again."," Musíš jít a znovu se to učit."
"learn","learn","učit","učit","impf"," You must go and learn it again."," Musíš jít a znovu se to učit."
"said","say","říkalo","říkat","impf"," It was also said that the town had been ransacked for this "" murderer "" ( the public are not slow in the matter of sifting evidence and arriving at a verdict ), but that he could not be found."," A tak se říkalo, že ve městě byla uspořádána šťára na "" vraha "" Pottera ( veřejnost je totiž hned hotová s vážením důkazů a neokolkuje s vynesením rozsudku ), ale Potter nebyl k nalezení."
"put","put","Postavil","postavit","pf"," He put down his pail, took the white alley, and bent over the toe with absorbing interest while the bandage was being unwound."," Postavil vědro, vzal kuličku a se soustředěným zájmem se sklonil nad palec nohy, zatímco Tom odmotával obvaz."
"took","take","vzal","vzít","pf"," He put down his pail, took the white alley, and bent over the toe with absorbing interest while the bandage was being unwound."," Postavil vědro, vzal kuličku a se soustředěným zájmem se sklonil nad palec nohy, zatímco Tom odmotával obvaz."
"struck","strike","Vyrazila","vyrazit","pf"," She struck it to the floor."," Vyrazila mu knoflík z ruky, až spadl na zem."
"marched","march","šel","jít","impf"," Then Tom marched out of the house and over the hills and far away, to return to school no more that day."," Nato Tom vypochodoval ze školy a šel a šel přes hory a doly, do dálných dálav, neboť toho dne se do školy už vrátit nemínil."
"marched","march","šel","jít","impf"," Then Tom marched out of the house and over the hills and far away, to return to school no more that day."," Nato Tom vypochodoval ze školy a šel a šel přes hory a doly, do dálných dálav, neboť toho dne se do školy už vrátit nemínil."
"return","return","vrátit","vrátit","pf"," Then Tom marched out of the house and over the hills and far away, to return to school no more that day."," Nato Tom vypochodoval ze školy a šel a šel přes hory a doly, do dálných dálav, neboť toho dne se do školy už vrátit nemínil."
"Come","come","pojď","jít","impf"," Come back, Tom! """," Tome, pojď zpátky! """
"took","take","vzal","vzít","pf"," By-and-by Tom took Becky 's candle and blew it out."," Za chvíli vzal Tom Beckynu svíčku a sfoukl ji."
"understood","understand","porozuměla","porozumět","pf"," Becky understood, and her hope died again."," Becky porozuměla a její naděje zase zhasla."
"joined","join","VSTOUPIL","vstoupit","pf"," TOM joined the new order of Cadets of Temperance, being attracted by the showy character of their "" regalia. """," TOM VSTOUPIL do nového Řádu kadetů abstinence, neboť ho lákal okázalý ráz jejich "" odznaků hodnosti ""."
"promised","promise","Slíbil","slíbit","pf"," He promised to abstain from smoking, chewing, and profanity as long as he remained a member."," Slíbil, že se zdrží kouření, žvýkání tabáku a klení, dokud bude členem Řádu."
"run","run","Uteče","utéci","pf"," He would run away from home and enter upon it."," Uteče z domu a dá se na pirátství."
"begin","begin","začít","začít","pf"," Therefore he must now begin to get ready."," Proto musí začít s přípravami."
"collect","collect","shromáždit","shromáždit","pf"," He would collect his resources together."," Především musí shromáždit své hmotné prostředky."
"went","go","začal","začít","pf"," He went to a rotten log near at hand and began to dig under one end of it with his Barlow knife."," Došel k nedalekému ztrouchnivělému kmeni a začal kapesním nožem odhrabávat hlínu pod jedním jeho koncem."
"began","begin","začal","začít","pf"," He went to a rotten log near at hand and began to dig under one end of it with his Barlow knife."," Došel k nedalekému ztrouchnivělému kmeni a začal kapesním nožem odhrabávat hlínu pod jedním jeho koncem."
"sounded","sound","znělo","znít","impf"," He soon struck wood that sounded hollow."," Záhy se dohrabal dřeva, jež znělo dutě."
"rested","rest","odpočíval","odpočívat","impf"," He rested again until the sun was well up and gilding the great river with its splendor, and then he plunged into the stream."," Zase odpočíval a do vody skočil, až když bylo slunce pořádně nad obzorem a zlatilo velikou řeku."
"see","see","podívat","podívat","pf"," and she took wing and went off to see about it – which did not surprise the boy, for he knew of old that this insect was credulous about conflagrations, and he had practised upon its simplicity more than once."," Slunéčko rozepjalo křídla a letělo se podívat - což chlapce nepřekvapilo, neboť odjakživa věděl, že slunéčka jsou, pokud jde o požáry, příliš lehkověrná, a už mnohokrát hřešil na jejich prostoduchost."
"surprise","surprise","nepřekvapilo","překvapit","pf"," and she took wing and went off to see about it – which did not surprise the boy, for he knew of old that this insect was credulous about conflagrations, and he had practised upon its simplicity more than once."," Slunéčko rozepjalo křídla a letělo se podívat - což chlapce nepřekvapilo, neboť odjakživa věděl, že slunéčka jsou, pokud jde o požáry, příliš lehkověrná, a už mnohokrát hřešil na jejich prostoduchost."
"went","go","jde","jít","impf"," and she took wing and went off to see about it – which did not surprise the boy, for he knew of old that this insect was credulous about conflagrations, and he had practised upon its simplicity more than once."," Slunéčko rozepjalo křídla a letělo se podívat - což chlapce nepřekvapilo, neboť odjakživa věděl, že slunéčka jsou, pokud jde o požáry, příliš lehkověrná, a už mnohokrát hřešil na jejich prostoduchost."
"did","do","jde","jít","impf"," and she took wing and went off to see about it – which did not surprise the boy, for he knew of old that this insect was credulous about conflagrations, and he had practised upon its simplicity more than once."," Slunéčko rozepjalo křídla a letělo se podívat - což chlapce nepřekvapilo, neboť odjakživa věděl, že slunéčka jsou, pokud jde o požáry, příliš lehkověrná, a už mnohokrát hřešil na jejich prostoduchost."
"came","come","přišel","přijít","pf"," A tumblebug came next, heaving sturdily at its ball, and Tom touched the creature, to see it shut its legs against its body and pretend to be dead."," Pak přišel chrobák, opírající se do kuličky, a Tom se ho dotkl, aby viděl, jak krčí nohy k tělu a staví se mrtvým."
"see","see","přišel","přijít","pf"," A tumblebug came next, heaving sturdily at its ball, and Tom touched the creature, to see it shut its legs against its body and pretend to be dead."," Pak přišel chrobák, opírající se do kuličky, a Tom se ho dotkl, aby viděl, jak krčí nohy k tělu a staví se mrtvým."
"touched","touch","dotkl","dotknout","pf"," A tumblebug came next, heaving sturdily at its ball, and Tom touched the creature, to see it shut its legs against its body and pretend to be dead."," Pak přišel chrobák, opírající se do kuličky, a Tom se ho dotkl, aby viděl, jak krčí nohy k tělu a staví se mrtvým."
"see","see","viděl","vidět","impf"," A tumblebug came next, heaving sturdily at its ball, and Tom touched the creature, to see it shut its legs against its body and pretend to be dead."," Pak přišel chrobák, opírající se do kuličky, a Tom se ho dotkl, aby viděl, jak krčí nohy k tělu a staví se mrtvým."
"began","begin","začal","začít","pf"," This course worked well, and Tom began to groan again."," Toto opatření se osvědčilo a Tom začal zase sténat."
"stretched","stretch","protáhl","protáhnout","pf"," Sid yawned, stretched, then brought himself up on his elbow with a snort, and began to stare at Tom."," Sid zívl, protáhl se, zafuněl a nadzvedl se, opřel se o loket a začal civět na Toma."
"began","begin","začal","začít","pf"," Sid yawned, stretched, then brought himself up on his elbow with a snort, and began to stare at Tom."," Sid zívl, protáhl se, zafuněl a nadzvedl se, opřel se o loket a začal civět na Toma."
"looked","look","díval","dívat","impf"," And he shook him and looked in his face anxiously."," Zatřásl jím a díval se mu úzkostlivě do tváře."
"said","say","říkali","říkat","impf"," People said it was heartbreaking to hear her call her child, and raise her head and listen a whole minute at a time, then lay it wearily down again with a moan."," Lidé říkali, že srdceryvně volá své dítě, zvedá hlavu, naslouchá třeba celou minutu a pak zase se zaúpěním vyčerpaně uléhá."
"call","call","říkali","říkat","impf"," People said it was heartbreaking to hear her call her child, and raise her head and listen a whole minute at a time, then lay it wearily down again with a moan."," Lidé říkali, že srdceryvně volá své dítě, zvedá hlavu, naslouchá třeba celou minutu a pak zase se zaúpěním vyčerpaně uléhá."
"call","call","volá","volat","impf"," People said it was heartbreaking to hear her call her child, and raise her head and listen a whole minute at a time, then lay it wearily down again with a moan."," Lidé říkali, že srdceryvně volá své dítě, zvedá hlavu, naslouchá třeba celou minutu a pak zase se zaúpěním vyčerpaně uléhá."
"raise","raise","zvedá","zvedat","impf"," People said it was heartbreaking to hear her call her child, and raise her head and listen a whole minute at a time, then lay it wearily down again with a moan."," Lidé říkali, že srdceryvně volá své dítě, zvedá hlavu, naslouchá třeba celou minutu a pak zase se zaúpěním vyčerpaně uléhá."
"hear","hear","naslouchá","naslouchat","impf"," People said it was heartbreaking to hear her call her child, and raise her head and listen a whole minute at a time, then lay it wearily down again with a moan."," Lidé říkali, že srdceryvně volá své dítě, zvedá hlavu, naslouchá třeba celou minutu a pak zase se zaúpěním vyčerpaně uléhá."
"listen","listen","naslouchá","naslouchat","impf"," People said it was heartbreaking to hear her call her child, and raise her head and listen a whole minute at a time, then lay it wearily down again with a moan."," Lidé říkali, že srdceryvně volá své dítě, zvedá hlavu, naslouchá třeba celou minutu a pak zase se zaúpěním vyčerpaně uléhá."
"went","go","šlo","jít","impf"," The village went to its rest on Tuesday night, sad and forlorn."," Smutně a zoufale šlo město v úterý večer spát."
"closed","close","sevřely","sevřít","pf"," His hand closed upon the knife;"," Prsty sevřely rukojeť."
"raised","raise","pozvedl","pozvednout","pf"," he raised it, glanced at it, and let it fall, with a shudder."," Potter pozvedl ruku, podíval se na nůž, otřásl se hrůzou a zahodil ho."
"met","meet","setkal","setkat","pf"," His eyes met Joe 's."," Jeho pohled se setkal s Joeovým pohledem."
"said","say","řekl","říci","pf"," "" It 's a dirty business, "" said Joe, without moving."," "" Je zle, "" řekl Joe a ani se nehnul."
"moving","move","nehnul","hnout","pf"," "" It 's a dirty business, "" said Joe, without moving."," "" Je zle, "" řekl Joe a ani se nehnul."
"did","do","udělal","udělat","pf"," "" What did you do it for? """," "" Proč jsi to udělal? """
"do","do","udělal","udělat","pf"," "" What did you do it for? """," "" Proč jsi to udělal? """
"done","do","neudělal","udělat","pf"," I never done it! """," Já jsem to neudělal. """
"found","find","zjistil","zjistit","pf"," "" That 's what I 've found out, Huck."," "" Tohle jsem zjistil, Hucku."
"going","go","dělat","dělat","impf"," Now what you going to do? """," A co teď budeš dělat? """
"do","do","dělat","dělat","impf"," Now what you going to do? """," A co teď budeš dělat? """
"think","think","myslet","myslet","impf"," "" Lemme think. """," "" Nech mě myslet. """
"thought","think","přemýšlel","přemýšlet","impf"," Tom thought a long time."," Tom přemýšlel velmi dlouho."
"like","like","nechci","chtít","impf"," "" I do n't like to stir ' em up, either."," "" Já si s nimi taky nechci nic začínat, Hucku."
"say","say","řekl","říci","pf"," S'pose this one here was to stick his skull out and say something! """," Co kdyby tak ten zdejší vystrčil lebku a něco řekl? """
"said","say","řekl","říci","pf"," There was no help for Becky now, he said."," Becky Thatcherové už není pomoci, řekl si."
"tore","tear","roztrhal","roztrhat","pf"," "" Who tore this book? """," "" Kdo roztrhal tuto knihu? """
"heard","hear","slyšet","slyšet","impf"," One could have heard a pin drop."," Špendlík by bylo slyšet padnout na zem."
"drew","draw","vytáhl","vytáhnout","pf"," He reached his hand in and drew it out –"," Strčil do otvoru ruku a zase ji vytáhl."
