"convinced","convince","přesvědčit","přesvědčit","pf"," You 've known me for long enough, Mr. K., I 'm sure you 're convinced of that."," Znáte mě přece už dost dlouho, pane K., abyste se mohl o tom přesvědčit."
"wait","wait","počkat","počkat","pf"," For instance when the judge I 'm painting at present comes he always comes through the door by the bed, and I 've even given him a key to this door so that he can wait for me here in the studio when I 'm not home."," Tak třeba ten soudce, kterého teď maluji, přichází vždy dveřmi u postele a já jsem mu také dal od těch dveří klíč, aby mohl na mne počkat tady v ateliéru, i když nejsem doma."
"comes","come","přichází","přicházet","impf"," Although nowadays he usually comes early in the morning when I 'm still asleep."," Teď však obvykle přichází časně ráno, když ještě spím."
"opened","open","otevřou","otevřít","pf"," And of course, it always wakes me up when I hear the door opened beside the bed, however fast asleep I am."," Jak se vedle postele otevřou dveře, vytrhne mě to ovšem pokaždé z nejhlubšího spánku."
"understand","understand","Nechápu","chápat","impf"," So he said, "" I do n't understand ... """," "" Nechápu - "" řekl proto."
"said","say","řekl","říci","pf"," So he said, "" I do n't understand ... """," "" Nechápu - "" řekl proto."
"wanted","want","chtěl","chtít","impf"," What was it you wanted to speak to me about?"," O čempak jste si se mnou chtěl promluvit?"
"speak","speak","promluvit","promluvit","pf"," What was it you wanted to speak to me about?"," O čempak jste si se mnou chtěl promluvit?"
"thought","think","Myslel","myslet","impf"," I thought it was to do with your trial. """," Myslel jsem, že jde o váš proces? """
"do","do","jde","jít","impf"," I thought it was to do with your trial. """," Myslel jsem, že jde o váš proces? """
"observed","observe","pozoroval","pozorovat","impf"," All the while he had left his defence up to the lawyer his trial had had little basic affect on him, he had observed it from afar as something that was scarcely able to reach him directly, when it suited him he looked to see how things stood but he was also able to draw his head back again whenever he wanted."," Dokud přenášel celou tíhu obhajoby na advokáta, proces ho přece postihl jen málo, K. jej pozoroval z dálky, proces se ho bezprostředně nedotýkal, K. se mohl podívat, jak se jeho věci mají, kdykoli se mu zachtělo, ale mohl se také zase stáhnout zpátky, kdykoli se mu zachtělo."
"see","see","pozoroval","pozorovat","impf"," All the while he had left his defence up to the lawyer his trial had had little basic affect on him, he had observed it from afar as something that was scarcely able to reach him directly, when it suited him he looked to see how things stood but he was also able to draw his head back again whenever he wanted."," Dokud přenášel celou tíhu obhajoby na advokáta, proces ho přece postihl jen málo, K. jej pozoroval z dálky, proces se ho bezprostředně nedotýkal, K. se mohl podívat, jak se jeho věci mají, kdykoli se mu zachtělo, ale mohl se také zase stáhnout zpátky, kdykoli se mu zachtělo."
"looked","look","podívat","podívat","pf"," All the while he had left his defence up to the lawyer his trial had had little basic affect on him, he had observed it from afar as something that was scarcely able to reach him directly, when it suited him he looked to see how things stood but he was also able to draw his head back again whenever he wanted."," Dokud přenášel celou tíhu obhajoby na advokáta, proces ho přece postihl jen málo, K. jej pozoroval z dálky, proces se ho bezprostředně nedotýkal, K. se mohl podívat, jak se jeho věci mají, kdykoli se mu zachtělo, ale mohl se také zase stáhnout zpátky, kdykoli se mu zachtělo."
"see","see","podívat","podívat","pf"," All the while he had left his defence up to the lawyer his trial had had little basic affect on him, he had observed it from afar as something that was scarcely able to reach him directly, when it suited him he looked to see how things stood but he was also able to draw his head back again whenever he wanted."," Dokud přenášel celou tíhu obhajoby na advokáta, proces ho přece postihl jen málo, K. jej pozoroval z dálky, proces se ho bezprostředně nedotýkal, K. se mohl podívat, jak se jeho věci mají, kdykoli se mu zachtělo, ale mohl se také zase stáhnout zpátky, kdykoli se mu zachtělo."
"stood","stand","mají","mít","impf"," All the while he had left his defence up to the lawyer his trial had had little basic affect on him, he had observed it from afar as something that was scarcely able to reach him directly, when it suited him he looked to see how things stood but he was also able to draw his head back again whenever he wanted."," Dokud přenášel celou tíhu obhajoby na advokáta, proces ho přece postihl jen málo, K. jej pozoroval z dálky, proces se ho bezprostředně nedotýkal, K. se mohl podívat, jak se jeho věci mají, kdykoli se mu zachtělo, ale mohl se také zase stáhnout zpátky, kdykoli se mu zachtělo."
"make","make","působit","působit","impf"," In all, it looked as if it had been intended to make the priest suffer, it was impossible to understand why this pulpit would be needed as there were also the other ones available which were large and so artistically decorated."," Jako by bylo účelem toho všeho působit kazateli trýzeň, nedalo se pochopit, nač bylo třeba té kazatelny, když přece tady byla druhá, velká a tak dovedně vyzdobená."
"make","make","pochopit","pochopit","pf"," In all, it looked as if it had been intended to make the priest suffer, it was impossible to understand why this pulpit would be needed as there were also the other ones available which were large and so artistically decorated."," Jako by bylo účelem toho všeho působit kazateli trýzeň, nedalo se pochopit, nač bylo třeba té kazatelny, když přece tady byla druhá, velká a tak dovedně vyzdobená."
"understand","understand","pochopit","pochopit","pf"," In all, it looked as if it had been intended to make the priest suffer, it was impossible to understand why this pulpit would be needed as there were also the other ones available which were large and so artistically decorated."," Jako by bylo účelem toho všeho působit kazateli trýzeň, nedalo se pochopit, nač bylo třeba té kazatelny, když přece tady byla druhá, velká a tak dovedně vyzdobená."
"fastened","fasten","připevněna","připevnit","pf"," And K. would certainly not have noticed this little pulpit if there had not been a lamp fastened above it, which usually meant there was a sermon about to be given."," K. by si té malé kazatelny jistě nepovšiml, kdyby nahoře nebyla připevněna lampa, jaká se chystává krátce před kázáním."
"bent","bend","Sklonil","sklonit","pf"," So he bent his head as if he 'd been given an order and began slowly to move his pencil over the papers, now and then he would stop and stare at one of the figures."," Sklonil tedy hlavu, jako by to byl rozkaz, a začal tužkou pomalu přejíždět sem a tam po listinách, občas ustal a hleděl strnule na nějaké číslo."
"began","begin","začal","začít","pf"," So he bent his head as if he 'd been given an order and began slowly to move his pencil over the papers, now and then he would stop and stare at one of the figures."," Sklonil tedy hlavu, jako by to byl rozkaz, a začal tužkou pomalu přejíždět sem a tam po listinách, občas ustal a hleděl strnule na nějaké číslo."
"stop","stop","ustal","ustat","pf"," So he bent his head as if he 'd been given an order and began slowly to move his pencil over the papers, now and then he would stop and stare at one of the figures."," Sklonil tedy hlavu, jako by to byl rozkaz, a začal tužkou pomalu přejíždět sem a tam po listinách, občas ustal a hleděl strnule na nějaké číslo."
"thought","think","neměla","mít","impf"," The manufacturer thought there must be some objection, perhaps his figures were n't really sound, perhaps they were n't the decisive issue, whatever he thought, the manufacturer covered the papers with his hand and began once again, moving very close to K., to explain what the deal was all about."," Továrník tušil námitky, snad ta čísla opravdu neměla konečnou platnost, snad nebyla rozhodující, továrník zakryl papíry rukou, přisedl si docela blízko ke K. a začal mu znovu povšechně vykládat o tom obchodu."
"thought","think","neměla","mít","impf"," The manufacturer thought there must be some objection, perhaps his figures were n't really sound, perhaps they were n't the decisive issue, whatever he thought, the manufacturer covered the papers with his hand and began once again, moving very close to K., to explain what the deal was all about."," Továrník tušil námitky, snad ta čísla opravdu neměla konečnou platnost, snad nebyla rozhodující, továrník zakryl papíry rukou, přisedl si docela blízko ke K. a začal mu znovu povšechně vykládat o tom obchodu."
"covered","cover","zakryl","zakrýt","pf"," The manufacturer thought there must be some objection, perhaps his figures were n't really sound, perhaps they were n't the decisive issue, whatever he thought, the manufacturer covered the papers with his hand and began once again, moving very close to K., to explain what the deal was all about."," Továrník tušil námitky, snad ta čísla opravdu neměla konečnou platnost, snad nebyla rozhodující, továrník zakryl papíry rukou, přisedl si docela blízko ke K. a začal mu znovu povšechně vykládat o tom obchodu."
"began","begin","začal","začít","pf"," The manufacturer thought there must be some objection, perhaps his figures were n't really sound, perhaps they were n't the decisive issue, whatever he thought, the manufacturer covered the papers with his hand and began once again, moving very close to K., to explain what the deal was all about."," Továrník tušil námitky, snad ta čísla opravdu neměla konečnou platnost, snad nebyla rozhodující, továrník zakryl papíry rukou, přisedl si docela blízko ke K. a začal mu znovu povšechně vykládat o tom obchodu."
"hope","hope","Doufám","doufat","impf"," I hope, however, also to have acted in your interests, as even the slightest uncertainty in the least significant of matters will always remain a cause of suffering and if, as in this case, it can be removed without substantial effort, then it is better if that is done without delay. """," Doufám, že i vy mé jednání schvalujete, neboť i nejmenší nejistota v nejnepatrnější věci je vždy trýznivá, a dá - li se snadno odstranit, jako v tomto případě, je přece lepší, když se to stane ihned. """
"removed","remove","odstranit","odstranit","pf"," I hope, however, also to have acted in your interests, as even the slightest uncertainty in the least significant of matters will always remain a cause of suffering and if, as in this case, it can be removed without substantial effort, then it is better if that is done without delay. """," Doufám, že i vy mé jednání schvalujete, neboť i nejmenší nejistota v nejnepatrnější věci je vždy trýznivá, a dá - li se snadno odstranit, jako v tomto případě, je přece lepší, když se to stane ihned. """
"asked","ask","ptal","ptát","impf"," "" Yes, but how is it that you know anything about me and my case? "" asked K."," "" Ale odkudpak víte o mně a o mém procesu? "" ptal se K."
"gave","give","způsobil","způsobit","pf"," It was only the judge who gave K. any direct pleasure, as he seemed to have been immediately struck by K. ' s words."," Jen vyšetřující soudce způsobil K. bezprostřední radost, neboť se zdálo, že se ho ta slova hned dotkla."
"seemed","seem","zdálo","zdát","impf"," It was only the judge who gave K. any direct pleasure, as he seemed to have been immediately struck by K. ' s words."," Jen vyšetřující soudce způsobil K. bezprostřední radost, neboť se zdálo, že se ho ta slova hned dotkla."
"listened","listen","poslouchal","poslouchat","impf"," Until then, he had listened to him standing, as K. ' s speech had taken him by surprise while he was directing his attention to the gallery."," Až dosud poslouchal vstoje, neboť oslovení K. ho překvapilo ve chvíli, kdy vstal a hrozil galerii."
"notice","notice","všimnout","všimnout","pf"," Now, in the pause, he sat down very slowly, as if he did not want anyone to notice."," Teď, v přestávce, zvolna usedal, jako kdyby si toho nikdo neměl všimnout."
"took","take","chopil","chopit","pf"," He took out the notebook again, probably so that he could give the impression of being calmer."," Patrně aby uklidnil své vzrušení, chopil se zase sešitu."
"stay","stay","zůstat","zůstat","pf"," he was unable to concentrate on his work and had to stay in his office a little longer than the previous day so that he could finish it."," při práci byl roztržitý, a aby ji zdolal, musel zůstat v kanceláři ještě o něco déle než minulý den."
"opened","open","otevřel","otevřít","pf"," On the way home, as he passed by the junk room again, he opened its door as if that had been his habit."," Když šel cestou domů zas kolem komory s haraburdím, jakoby ze zvyku ji otevřel."
"saw","see","spatřil","spatřit","pf"," Instead of the darkness he expected, he saw everything unchanged from the previous evening, and did not know how he should respond."," Nemohl se vůbec vzpamatovat z toho, co spatřil místo očekávané tmy."
"seen","see","viděl","vidět","impf"," Everything was exactly the same as he had seen it when he had opened the door the previous evening."," Nic se nezměnilo, všechno bylo tak, jak to viděl, když otevřel dveře minulý večer."
"opened","open","otevřel","otevřít","pf"," Everything was exactly the same as he had seen it when he had opened the door the previous evening."," Nic se nezměnilo, všechno bylo tak, jak to viděl, když otevřel dveře minulý večer."
"looked","look","dívala","dívat","impf"," The photograph was not one that had been taken while Elsa was posing for it, it showed her just after she had been in a wild dance such as she liked to do in wine bars, her skirt was still flung out as she span round, she had placed her hands on her firm hips and, with her neck held taut, looked to one side with a laugh;"," Byla to momentka, snímek byl pořízen po vířivém tanci, jaký Elsa ve vinárně ráda tančila, sukně se dosud kolem ní vzdouvala, její záhyby se při otáčení rozlétly, ruce tiskla k pevným bokům a s napjatým hrdlem, rozesmátá, se dívala stranou;"
"see","see","vidět","vidět","impf"," you could not see from the picture whom her laugh was intended for."," na koho se směje, nebylo na snímku vidět."
"come","come","přijít","přijít","pf"," "" Now I can come down, "" said the priest, perhaps he regretted having shouted at K."," "" Teď už mohu přijít, "" řekl duchovní, bylo mu snad líto, že se před chvílí rozkřikl."
"said","say","řekl","říci","pf"," "" Now I can come down, "" said the priest, perhaps he regretted having shouted at K."," "" Teď už mohu přijít, "" řekl duchovní, bylo mu snad líto, že se před chvílí rozkřikl."
"influenced","influence","ovlivnit","ovlivnit","pf"," Otherwise I 'm too easily influenced and forget my duty. """," Jinak se dám příliš snadno ovlivnit a zapomenu na svou službu. """
"forget","forget","zapomenu","zapomenout","pf"," Otherwise I 'm too easily influenced and forget my duty. """," Jinak se dám příliš snadno ovlivnit a zapomenu na svou službu. """
"waited","wait","očekával","očekávat","impf"," K. waited for him at the foot of the steps."," K. ho očekával dole u schodů."
"wanted","want","Chtěl","chtít","impf"," He wanted to move in some way but did not want to leave."," Chtěl se pohnout, a přece nechtěl odejít."
"want","want","Chtěl","chtít","impf"," He wanted to move in some way but did not want to leave."," Chtěl se pohnout, a přece nechtěl odejít."
"move","move","pohnout","pohnout","pf"," He wanted to move in some way but did not want to leave."," Chtěl se pohnout, a přece nechtěl odejít."
"wanted","want","nechtěl","chtít","impf"," He wanted to move in some way but did not want to leave."," Chtěl se pohnout, a přece nechtěl odejít."
"want","want","nechtěl","chtít","impf"," He wanted to move in some way but did not want to leave."," Chtěl se pohnout, a přece nechtěl odejít."
"leave","leave","odejít","odejít","pf"," He wanted to move in some way but did not want to leave."," Chtěl se pohnout, a přece nechtěl odejít."
"said","say","řekla","říci","pf"," "" I 'm already tired, "" said Miss Bürstner."," "" Jsem už unavena, "" řekla slečna Bürstnerová."
"arrived","arrive","Přišla","přijít","pf"," "" You arrived back so late, "" said K."," "" Přišla jste tak pozdě, "" řekl K."
"said","say","řekl","říci","pf"," "" You arrived back so late, "" said K."," "" Přišla jste tak pozdě, "" řekl K."
"see","see","uvidíte","uvidět","pf"," "" Oh, there was a point, you 'll see now how important a point it was, "" said K."," "" Bylo toho třeba, to uvidíte teprve teď, "" řekl K."
"said","say","řekl","říci","pf"," "" Oh, there was a point, you 'll see now how important a point it was, "" said K."," "" Bylo toho třeba, to uvidíte teprve teď, "" řekl K."
"wanted","want","chtěli","chtít","impf"," The old couple wanted to get up but the man behind them calmed them down."," Oba staří chtěli odstoupit, ale muž za nimi je uchlácholil."
"called","call","zavolal","zavolat","pf"," "" We 've got some kind of audience over there, "" called K. to the supervisor, quite loudly, as he pointed out with his forefinger."," "" Tam jsou také takoví diváci, "" zavolal K. docela nahlas na dozorce a ukázal prstem ven."
"pointed","point","ukázal","ukázat","pf"," "" We 've got some kind of audience over there, "" called K. to the supervisor, quite loudly, as he pointed out with his forefinger."," "" Tam jsou také takoví diváci, "" zavolal K. docela nahlas na dozorce a ukázal prstem ven."
"Go","go","Jděte","jít","impf"," "" Go away, "" he then called across to them."," "" Jděte pryč, "" zvolal pak do protějšího okna."
"called","call","zvolal","zvolat","pf"," "" Go away, "" he then called across to them."," "" Jděte pryč, "" zvolal pak do protějšího okna."
"expressed","express","vyjádřil","vyjádřit","pf"," K. expressed himself in this curt way without any thought, so he was glad when the painter did not take this amiss and picked up a second painting from the floor."," K. se vyjádřil tak stručně z nerozvážnosti, byl proto rád, že mu to malíř neměl za zlé a že zvedl ze země druhý obraz."
"said","say","řekl","říci","pf"," "" This is a counterpart to the first picture, "" said the painter."," "" Zde je protějšek k tomu obrazu, "" řekl malíř."
"nodded","nod","přikývl","přikývnout","pf"," K. nodded, and quietly cursed Kaminer who worked at his bank and who was always active doing things that had neither use nor purpose."," K. přikývl a mlčky proklínal úředníka Kaminera, který nikdy nedovede ovládnout svou bezduchou, nesmyslnou živost."
"said","say","řekla","říci","pf"," "" It is odd, "" said Miss Bürstner, "" that I 'm forced to forbid you to do something that you ought to have forbidden yourself to do, namely to come into my room when I 'm not here. """," "" Je to divné, "" řekla slečna Bürstnerová, "" že jsem nucena zakázat vám něco, co byste si měl zakázat sám, totiž vcházet za mé nepřítomnosti do mého pokoje. """
"forced","force","nucena","nutit","impf"," "" It is odd, "" said Miss Bürstner, "" that I 'm forced to forbid you to do something that you ought to have forbidden yourself to do, namely to come into my room when I 'm not here. """," "" Je to divné, "" řekla slečna Bürstnerová, "" že jsem nucena zakázat vám něco, co byste si měl zakázat sám, totiž vcházet za mé nepřítomnosti do mého pokoje. """
"forbid","forbid","zakázat","zakázat","pf"," "" It is odd, "" said Miss Bürstner, "" that I 'm forced to forbid you to do something that you ought to have forbidden yourself to do, namely to come into my room when I 'm not here. """," "" Je to divné, "" řekla slečna Bürstnerová, "" že jsem nucena zakázat vám něco, co byste si měl zakázat sám, totiž vcházet za mé nepřítomnosti do mého pokoje. """
"forbidden","forbid","zakázat","zakázat","pf"," "" It is odd, "" said Miss Bürstner, "" that I 'm forced to forbid you to do something that you ought to have forbidden yourself to do, namely to come into my room when I 'm not here. """," "" Je to divné, "" řekla slečna Bürstnerová, "" že jsem nucena zakázat vám něco, co byste si měl zakázat sám, totiž vcházet za mé nepřítomnosti do mého pokoje. """
"forbid","forbid","zakázat","zakázat","pf"," "" It is odd, "" said Miss Bürstner, "" that I 'm forced to forbid you to do something that you ought to have forbidden yourself to do, namely to come into my room when I 'm not here. """," "" Je to divné, "" řekla slečna Bürstnerová, "" že jsem nucena zakázat vám něco, co byste si měl zakázat sám, totiž vcházet za mé nepřítomnosti do mého pokoje. """
"forbidden","forbid","zakázat","zakázat","pf"," "" It is odd, "" said Miss Bürstner, "" that I 'm forced to forbid you to do something that you ought to have forbidden yourself to do, namely to come into my room when I 'm not here. """," "" Je to divné, "" řekla slečna Bürstnerová, "" že jsem nucena zakázat vám něco, co byste si měl zakázat sám, totiž vcházet za mé nepřítomnosti do mého pokoje. """
"carry","carry","má","mít","impf"," After exchanging a few courtesies about who was to carry out the next tasks – the gentlemen did not seem to have been allocated specific functions – one of them went to K. and took his coat, his waistcoat, and finally his shirt off him."," Pánové se chvíli zdvořile dohadovali, kdo má provést nejbližší úkoly - vypadalo to, jako by dostali své příkazy nerozdílně - a pak přistoupil jeden ke K., svlékl mu kabát, vestu a potom i košili."
"did","do","provést","provést","pf"," After exchanging a few courtesies about who was to carry out the next tasks – the gentlemen did not seem to have been allocated specific functions – one of them went to K. and took his coat, his waistcoat, and finally his shirt off him."," Pánové se chvíli zdvořile dohadovali, kdo má provést nejbližší úkoly - vypadalo to, jako by dostali své příkazy nerozdílně - a pak přistoupil jeden ke K., svlékl mu kabát, vestu a potom i košili."
"took","take","dostali","dostat","pf"," After exchanging a few courtesies about who was to carry out the next tasks – the gentlemen did not seem to have been allocated specific functions – one of them went to K. and took his coat, his waistcoat, and finally his shirt off him."," Pánové se chvíli zdvořile dohadovali, kdo má provést nejbližší úkoly - vypadalo to, jako by dostali své příkazy nerozdílně - a pak přistoupil jeden ke K., svlékl mu kabát, vestu a potom i košili."
"folded","fold","složil","složit","pf"," Then he carefully folded the things up as if they would still be needed, even if not in the near future."," Potom pečlivě složil části oděvu jako věci, kterých se dá ještě použít, i když ne v nejbližší době."
"seem","seem","zdálo","zdát","impf"," And it did seem that he had been quite right in this supposition, he had no wish to intrude any deeper, he was disturbed enough by what he had seen already, he was not in the right frame of mind just then to face a high official such as might appear from behind any door, and he wanted to go, either with the usher of the court or, if needs be, alone."," A opravdu se zdálo, že tato domněnka je správná, nechtěl vniknout ještě dál, byl už dost stísněn tím, co viděl až doposud, nebyl zrovna teď schopen stát tváří v tvář nějakému vyššímu úředníku, jaký se mohl objevit v každých dveřích, chtěl odejít, a to se soudním sluhou nebo i sám, kdyby to nešlo jinak."
"appear","appear","zdálo","zdát","impf"," And it did seem that he had been quite right in this supposition, he had no wish to intrude any deeper, he was disturbed enough by what he had seen already, he was not in the right frame of mind just then to face a high official such as might appear from behind any door, and he wanted to go, either with the usher of the court or, if needs be, alone."," A opravdu se zdálo, že tato domněnka je správná, nechtěl vniknout ještě dál, byl už dost stísněn tím, co viděl až doposud, nebyl zrovna teď schopen stát tváří v tvář nějakému vyššímu úředníku, jaký se mohl objevit v každých dveřích, chtěl odejít, a to se soudním sluhou nebo i sám, kdyby to nešlo jinak."
"wanted","want","nechtěl","chtít","impf"," And it did seem that he had been quite right in this supposition, he had no wish to intrude any deeper, he was disturbed enough by what he had seen already, he was not in the right frame of mind just then to face a high official such as might appear from behind any door, and he wanted to go, either with the usher of the court or, if needs be, alone."," A opravdu se zdálo, že tato domněnka je správná, nechtěl vniknout ještě dál, byl už dost stísněn tím, co viděl až doposud, nebyl zrovna teď schopen stát tváří v tvář nějakému vyššímu úředníku, jaký se mohl objevit v každých dveřích, chtěl odejít, a to se soudním sluhou nebo i sám, kdyby to nešlo jinak."
"intrude","intrude","vniknout","vniknout","pf"," And it did seem that he had been quite right in this supposition, he had no wish to intrude any deeper, he was disturbed enough by what he had seen already, he was not in the right frame of mind just then to face a high official such as might appear from behind any door, and he wanted to go, either with the usher of the court or, if needs be, alone."," A opravdu se zdálo, že tato domněnka je správná, nechtěl vniknout ještě dál, byl už dost stísněn tím, co viděl až doposud, nebyl zrovna teď schopen stát tváří v tvář nějakému vyššímu úředníku, jaký se mohl objevit v každých dveřích, chtěl odejít, a to se soudním sluhou nebo i sám, kdyby to nešlo jinak."
"seen","see","viděl","vidět","impf"," And it did seem that he had been quite right in this supposition, he had no wish to intrude any deeper, he was disturbed enough by what he had seen already, he was not in the right frame of mind just then to face a high official such as might appear from behind any door, and he wanted to go, either with the usher of the court or, if needs be, alone."," A opravdu se zdálo, že tato domněnka je správná, nechtěl vniknout ještě dál, byl už dost stísněn tím, co viděl až doposud, nebyl zrovna teď schopen stát tváří v tvář nějakému vyššímu úředníku, jaký se mohl objevit v každých dveřích, chtěl odejít, a to se soudním sluhou nebo i sám, kdyby to nešlo jinak."
"appear","appear","objevit","objevit","pf"," And it did seem that he had been quite right in this supposition, he had no wish to intrude any deeper, he was disturbed enough by what he had seen already, he was not in the right frame of mind just then to face a high official such as might appear from behind any door, and he wanted to go, either with the usher of the court or, if needs be, alone."," A opravdu se zdálo, že tato domněnka je správná, nechtěl vniknout ještě dál, byl už dost stísněn tím, co viděl až doposud, nebyl zrovna teď schopen stát tváří v tvář nějakému vyššímu úředníku, jaký se mohl objevit v každých dveřích, chtěl odejít, a to se soudním sluhou nebo i sám, kdyby to nešlo jinak."
"wanted","want","chtěl","chtít","impf"," And it did seem that he had been quite right in this supposition, he had no wish to intrude any deeper, he was disturbed enough by what he had seen already, he was not in the right frame of mind just then to face a high official such as might appear from behind any door, and he wanted to go, either with the usher of the court or, if needs be, alone."," A opravdu se zdálo, že tato domněnka je správná, nechtěl vniknout ještě dál, byl už dost stísněn tím, co viděl až doposud, nebyl zrovna teď schopen stát tváří v tvář nějakému vyššímu úředníku, jaký se mohl objevit v každých dveřích, chtěl odejít, a to se soudním sluhou nebo i sám, kdyby to nešlo jinak."
"go","go","odejít","odejít","pf"," And it did seem that he had been quite right in this supposition, he had no wish to intrude any deeper, he was disturbed enough by what he had seen already, he was not in the right frame of mind just then to face a high official such as might appear from behind any door, and he wanted to go, either with the usher of the court or, if needs be, alone."," A opravdu se zdálo, že tato domněnka je správná, nechtěl vniknout ještě dál, byl už dost stísněn tím, co viděl až doposud, nebyl zrovna teď schopen stát tváří v tvář nějakému vyššímu úředníku, jaký se mohl objevit v každých dveřích, chtěl odejít, a to se soudním sluhou nebo i sám, kdyby to nešlo jinak."
"did","do","nešlo","jít","impf"," And it did seem that he had been quite right in this supposition, he had no wish to intrude any deeper, he was disturbed enough by what he had seen already, he was not in the right frame of mind just then to face a high official such as might appear from behind any door, and he wanted to go, either with the usher of the court or, if needs be, alone."," A opravdu se zdálo, že tato domněnka je správná, nechtěl vniknout ještě dál, byl už dost stísněn tím, co viděl až doposud, nebyl zrovna teď schopen stát tváří v tvář nějakému vyššímu úředníku, jaký se mohl objevit v každých dveřích, chtěl odejít, a to se soudním sluhou nebo i sám, kdyby to nešlo jinak."
"go","go","nešlo","jít","impf"," And it did seem that he had been quite right in this supposition, he had no wish to intrude any deeper, he was disturbed enough by what he had seen already, he was not in the right frame of mind just then to face a high official such as might appear from behind any door, and he wanted to go, either with the usher of the court or, if needs be, alone."," A opravdu se zdálo, že tato domněnka je správná, nechtěl vniknout ještě dál, byl už dost stísněn tím, co viděl až doposud, nebyl zrovna teď schopen stát tváří v tvář nějakému vyššímu úředníku, jaký se mohl objevit v každých dveřích, chtěl odejít, a to se soudním sluhou nebo i sám, kdyby to nešlo jinak."
"want","want","chci","chtít","impf"," There 's not much need to air the room as there 's so much ventilation through the gaps in the wood, but when I do want to I can open one of my doors, or even both of them. """," Když chci větrat, a není to ani zvlášť zapotřebí, protože škvírami mezi trámy všude táhne, mohu otevřít jedny dveře nebo dokonce oboje. """
"open","open","otevřít","otevřít","pf"," There 's not much need to air the room as there 's so much ventilation through the gaps in the wood, but when I do want to I can open one of my doors, or even both of them. """," Když chci větrat, a není to ani zvlášť zapotřebí, protože škvírami mezi trámy všude táhne, mohu otevřít jedny dveře nebo dokonce oboje. """
"consoled","console","uklidnilo","uklidnit","pf"," K. was slightly consoled by this explanation and looked around to see where the second door was."," K. toto vysvětlení trochu uklidnilo a rozhlížel se po těch druhých dveřích."
"see","see","spatřil","spatřit","pf"," Only then was K. able to see the little door in the wall."," Teprve teď spatřil K. malé dveře ve zdi."
"told","tell","mluvíte","mluvit","impf"," As you 're being so honest with me, Mr. K., I can admit to you that I listened to a little of what was going on from behind the door, and that those two policemen told me one or two things as well."," Když se mnou mluvíte tak důvěrně, pane K., mohu se vám přiznat, že jsem trochu poslouchala za dveřmi a že mi také ti dva hlídači leccos pověděli."
"admit","admit","přiznat","přiznat","pf"," As you 're being so honest with me, Mr. K., I can admit to you that I listened to a little of what was going on from behind the door, and that those two policemen told me one or two things as well."," Když se mnou mluvíte tak důvěrně, pane K., mohu se vám přiznat, že jsem trochu poslouchala za dveřmi a že mi také ti dva hlídači leccos pověděli."
