"thought","think","pomyslel","pomyslet","pf"," At the sight of that bag, Pinocchio felt slightly happier and thought to himself :"," Když Pinocchio čepici uviděl, skoro ho to potěšilo a hned si v duchu pomyslel :"
"left","leave","opustili","opustit","pf"," As soon as the three doctors had left the room, the Fairy went to Pinocchio 's bed and, touching him on the forehead, noticed that he was burning with fever."," Když všichni tři doktoři opustili pokojík, přistoupila k Pinocchiovi víla, sáhla mu na čelo a zjistila, že má vysokánskou horečku."
"touching","touch","sáhla","sáhnout","pf"," As soon as the three doctors had left the room, the Fairy went to Pinocchio 's bed and, touching him on the forehead, noticed that he was burning with fever."," Když všichni tři doktoři opustili pokojík, přistoupila k Pinocchiovi víla, sáhla mu na čelo a zjistila, že má vysokánskou horečku."
"handing","hand","podala","podat","pf"," She took a glass of water, put a white powder into it, and, handing it to the Marionette, said lovingly to him :"," Rozpustila tedy ve sklenici do poloviny naplněné vodou bílý prášek, podala lék panáčkovi a něžně mu řekla :"
"put","put","řekla","říci","pf"," She took a glass of water, put a white powder into it, and, handing it to the Marionette, said lovingly to him :"," Rozpustila tedy ve sklenici do poloviny naplněné vodou bílý prášek, podala lék panáčkovi a něžně mu řekla :"
"said","say","řekla","říci","pf"," She took a glass of water, put a white powder into it, and, handing it to the Marionette, said lovingly to him :"," Rozpustila tedy ve sklenici do poloviny naplněné vodou bílý prášek, podala lék panáčkovi a něžně mu řekla :"
"Drink","drink","Vypij","vypít","pf"," "" Drink this, and in a few days you 'll be up and well. """," "" Vypij to a za pár dní budeš zdravý. """
"slipped","slip","Strčil","strčit","pf"," He slipped into the room, locked the door, and threw himself on the floor, happy at his escape."," Strčil do nich, vklouzl dovnitř, a jen co zavřel na závoru, sedl si na zem a spokojeně si oddechl."
"locked","lock","zavřel","zavřít","pf"," He slipped into the room, locked the door, and threw himself on the floor, happy at his escape."," Strčil do nich, vklouzl dovnitř, a jen co zavřel na závoru, sedl si na zem a spokojeně si oddechl."
"lasted","last","netrvala","trvat","impf"," But his happiness lasted only a short time, for just then he heard someone saying :"," Spokojenost však netrvala dlouho, protože najednou slyší, jak někdo ve světnici dělá :"
"heard","hear","slyší","slyšet","impf"," But his happiness lasted only a short time, for just then he heard someone saying :"," Spokojenost však netrvala dlouho, protože najednou slyší, jak někdo ve světnici dělá :"
"calling","call","volá","volat","impf"," "" Who is calling me? "" asked Pinocchio, greatly frightened."," "" Kdo mě to volá? "" zeptal se Pinocchio polekaně."
"asked","ask","zeptal","zeptat","pf"," "" Who is calling me? "" asked Pinocchio, greatly frightened."," "" Kdo mě to volá? "" zeptal se Pinocchio polekaně."
"turned","turn","otočil","otočit","pf"," Pinocchio turned and saw a large cricket crawling slowly up the wall."," Pinocchio se otočil a spatřil velkého cvrčka, jak pomalu leze nahoru po zdi."
"saw","see","spatřil","spatřit","pf"," Pinocchio turned and saw a large cricket crawling slowly up the wall."," Pinocchio se otočil a spatřil velkého cvrčka, jak pomalu leze nahoru po zdi."
"crawling","crawl","leze","lézt","impf"," Pinocchio turned and saw a large cricket crawling slowly up the wall."," Pinocchio se otočil a spatřil velkého cvrčka, jak pomalu leze nahoru po zdi."
"Tell","tell","Pověz","povědět","pf"," "" Tell me, Cricket, who are you? """," "" Pověz mi, cvrčku, kdopak jsi? """
"stretched","stretch","natáhl","natáhnout","pf"," But he was not quick enough, for Pinocchio stretched his leg under the table and kicked him hard on the shin."," Ale nestihl to, protože Pinocchio natáhl pod stolem nohu a uštědřil mu kopanec do holeně."
"received","receive","dostal","dostat","pf"," They are even harder than the feet! "" shouted another one, who, because of some other trick, had received a blow in the stomach."," Jsou ještě tvrdší než ty jeho nohy! "" řekl další, který za své neomalené žertíky dostal loktem do břicha."
"begins","begin","začínají","začínat","impf"," Vacation begins on the first of January and ends on the last day of December."," Představ si, že podzimní prázdniny tam začínají prvního ledna a končí posledního prosince."
"ends","end","končí","končit","impf"," Vacation begins on the first of January and ends on the last day of December."," Představ si, že podzimní prázdniny tam začínají prvního ledna a končí posledního prosince."
"lie","lie","lhát","lhát","impf"," "" Why should I lie to you? """," "" A proč bych ti měl lhát? """
"wearing","wear","máš","mít","impf"," "" I beg your pardon, my friend, but why then are you wearing that cotton bag over your ears? """," "" Promiň, kamaráde, ale proč máš tedy na hlavě tu bavlněnou čepici, která ti zakrývá celé uši? """
"wearing","wear","nosíš","nosit","impf"," And you, dear Marionette, why are you wearing that cotton bag down to your nose? """," A proč ty, milý panáčku, nosíš tuhle bavlněnou čepici staženou až na špičku nosu? """
"felt","feel","cítil","cítit","impf"," As he was about to put the last touches on the finger tips, Geppetto felt his wig being pulled off."," Sotva dokončil ruce, cítil, jak mu někdo stahuje z hlavy paruku."
"see","see","Podíval","podívat","pf"," He glanced up and what did he see?"," Podíval se nahoru, a co nevidí?"
"see","see","nevidí","vidět","impf"," He glanced up and what did he see?"," Podíval se nahoru, a co nevidí?"
"asked","ask","zeptal","zeptat","pf"," "" Is the Fairy home? "" asked the Marionette."," "" Je víla doma? "" zeptal se panáček."
"wish","wish","nepřeje","přát","impf"," "" The Fairy is asleep and does not wish to be disturbed."," "" Víla spí a nepřeje si, aby ji někdo budil."
"laughing","laugh","Směju","smát","impf"," "" I am laughing because, in preening my feathers, I tickled myself under the wings. """," "" Směju se, protože jsem se při čištění peří pošimral pod křídly. """
"answer","answer","neodpověděl","odpovědět","pf"," The Marionette did not answer."," Panáček neodpověděl."
"walked","walk","Šel","jít","impf"," He walked to the brook, filled his shoe with water, and once more sprinkled the ground which covered the gold pieces."," Šel ke struze, znovu nabral do střevíce vodu a dál zaléval hlínu, která přikrývala zlaťáky."
"covered","cover","přikrývala","přikrývat","impf"," He walked to the brook, filled his shoe with water, and once more sprinkled the ground which covered the gold pieces."," Šel ke struze, znovu nabral do střevíce vodu a dál zaléval hlínu, která přikrývala zlaťáky."
"dying","die","Umírám","umírat","impf"," I 'm dying! """," Umírám! """
"picked","pick","Vzal","vzít","pf"," as he wiped his eyes with some straw he had picked up from the ground."," Vzal hrst slámy a utřel si slzu, která mu kanula po tváři."
"wiped","wipe","utřel","utřít","pf"," as he wiped his eyes with some straw he had picked up from the ground."," Vzal hrst slámy a utřel si slzu, která mu kanula po tváři."
"paid","pay","zaplatil","zaplatit","pf"," "" What should I do - I, who have paid my good money for him? """," "" Co bych měl říkat já, který jsem za něho zaplatil v hotovosti! """
"shouted","shout","vykřikl","vykřiknout","pf"," "" What, "" shouted Farmer John, bursting out laughing."," "" Cože? "" vykřikl Giangio a rozchechtal se na celé kolo."
"want","want","chcete","chtít","impf"," "" Well, then, my Master, do you want to know my whole story?"," "" Tak dobře, milostpane, chcete vědět, jak to všechno doopravdy bylo?"
"tell","tell","povím","povědět","pf"," Untie my leg and I can tell it to you better. """," Rozvažte mi tuhle nohu a já vám to povím. """
"called","call","volal","volat","impf"," Sobbing bitterly, he called to him, saying :"," Přitom usedavě plakal a zoufal si, volal ho jménem a říkal mu :"
"called","call","říkal","říkat","impf"," Sobbing bitterly, he called to him, saying :"," Přitom usedavě plakal a zoufal si, volal ho jménem a říkal mu :"
"saying","say","říkal","říkat","impf"," Sobbing bitterly, he called to him, saying :"," Přitom usedavě plakal a zoufal si, volal ho jménem a říkal mu :"
"Open","open","Otevři","otevřít","pf"," Open your eyes and look at me!"," Otevři oči a podívej se na mě!"
"look","look","podívej","podívat","pf"," Open your eyes and look at me!"," Otevři oči a podívej se na mě!"
"begins","begin","začínají","začínat","impf"," "" And that vacation begins on the first of January and ends on the thirty-first of December? """," "" A víš určitě, že prázdniny začínají prvního ledna a končí posledního prosince? """
"ends","end","končí","končit","impf"," "" And that vacation begins on the first of January and ends on the thirty-first of December? """," "" A víš určitě, že prázdniny začínají prvního ledna a končí posledního prosince? """
"started","start","začalo","začít","pf"," The curtain was up and the performance had started."," Musíte totiž vědět, že opona byla vytažená a představení už začalo."
"think","think","pomyslíme","pomyslit","pf"," And to think that poor old Geppetto sat at home in his shirt sleeves, shivering with cold, having sold his coat to buy that little book for his son!"," Když si pomyslíme, že chudák Geppetto zůstal doma jen v košili a třásl se zimou, aby synkovi mohl koupit slabikář!"
"shivering","shiver","třásl","třást","impf"," And to think that poor old Geppetto sat at home in his shirt sleeves, shivering with cold, having sold his coat to buy that little book for his son!"," Když si pomyslíme, že chudák Geppetto zůstal doma jen v košili a třásl se zimou, aby synkovi mohl koupit slabikář!"
"buy","buy","koupit","koupit","pf"," And to think that poor old Geppetto sat at home in his shirt sleeves, shivering with cold, having sold his coat to buy that little book for his son!"," Když si pomyslíme, že chudák Geppetto zůstal doma jen v košili a třásl se zimou, aby synkovi mohl koupit slabikář!"
"recognize","recognize","poznají","poznat","pf"," The Marionettes recognize their brother Pinocchio, and greet him with loud cheers;"," Loutky poznají svého bratříčka Pinocchia a nadšeně ho přivítají."
"greet","greet","přivítají","přivítat","pf"," The Marionettes recognize their brother Pinocchio, and greet him with loud cheers;"," Loutky poznají svého bratříčka Pinocchia a nadšeně ho přivítají."
"saw","see","viděl","vidět","impf"," Pinocchio saw the Carabineer from afar and tried his best to escape between the legs of the big fellow, but without success."," Když Pinocchio z dálky viděl, jak četník přehradil celou ulici, pokusil se mu nečekaně proklouznout mezi nohama, ale bez úspěchu."
"tried","try","pokusil","pokusit","pf"," Pinocchio saw the Carabineer from afar and tried his best to escape between the legs of the big fellow, but without success."," Když Pinocchio z dálky viděl, jak četník přehradil celou ulici, pokusil se mu nečekaně proklouznout mezi nohama, ale bez úspěchu."
"grabbed","grab","chytali","chytat","impf"," The Carabineer grabbed him by the nose ( it was an extremely long one and seemed made on purpose for that very thing ) and returned him to Mastro Geppetto."," Četník se nehnul ani o píď, čapl ho rovnou za nos ( byl to dlouhatánský frňák jako stvořený k tomu, aby ho za něj chytali četníci ) a předal ho Geppettovi do vlastních rukou."
"wanted","want","chtěl","chtít","impf"," The little old man wanted to pull Pinocchio 's ears."," Ten ho chtěl za trest hned pořádně vytahat za uši."
"saw","see","neviděl","vidět","impf"," He searched and he searched, but he saw nothing except sea and sky and far away a few sails, so small that they might have been birds."," Mohl si oči vykoukat, ale neviděl před sebou nic než nebe, moře a několik lodních plachet, které však byly tak daleko, že vypadaly jako mouchy."
"said","say","říkal","říkat","impf"," "" If only I knew the name of this island! "" he said to himself."," "" Kdybych aspoň věděl, jak se tenhle ostrov jmenuje! "" říkal si."
"let","let","Nechám","nechat","pf"," "" Oh, I 'll let her scold."," Nechám ji, ať si hubuje."
"met","meet","potkal","potkat","pf"," So it happened that one day, as he was walking to school, he met some boys who ran up to him and said :"," A tak se stalo, že jednoho krásného dne při cestě do školy potkal bandu svých povedených spolužáků, a ti mu běželi vstříc a ptali se ho :"
"ran","run","běželi","běžet","impf"," So it happened that one day, as he was walking to school, he met some boys who ran up to him and said :"," A tak se stalo, že jednoho krásného dne při cestě do školy potkal bandu svých povedených spolužáků, a ti mu běželi vstříc a ptali se ho :"
"heard","hear","slyšel","slyšet","impf"," "" Have you heard the news? """," "" Už jsi slyšel tu velkou novinu? """
"want","want","chcete","chtít","impf"," "" If you want me to eat them, please peel them for me. """," "" Jestli chcete, abych je snědl, buďte tak hodný a oloupejte mi je. """
"eat","eat","snědl","sníst","pf"," "" If you want me to eat them, please peel them for me. """," "" Jestli chcete, abych je snědl, buďte tak hodný a oloupejte mi je. """
"peel","peel","oloupejte","oloupat","pf"," "" If you want me to eat them, please peel them for me. """," "" Jestli chcete, abych je snědl, buďte tak hodný a oloupejte mi je. """
"Peel","peel","oloupat","oloupat","pf"," "" Peel them? "" asked Geppetto, very much surprised."," "" Mám je oloupat? "" zeptal se Geppetto udiveně."
"asked","ask","zeptal","zeptat","pf"," "" Peel them? "" asked Geppetto, very much surprised."," "" Mám je oloupat? "" zeptal se Geppetto udiveně."
"thought","think","máš","mít","impf"," "" I should never have thought, dear boy of mine, that you were so dainty and fussy about your food."," "" Nikdy by mě nenapadlo, chlapče, že jsi tak vybíravý a máš tak mlsný jazýček."
"accustom","accustom","zvyknout","zvyknout","pf"," In this world, even as children, we must accustom ourselves to eat of everything, for we never know what life may hold in store for us! """," Na tomhle světě si musíme zvyknout jíst všechno, protože člověk nikdy neví, co ho může potkat."
"eat","eat","jíst","jíst","impf"," In this world, even as children, we must accustom ourselves to eat of everything, for we never know what life may hold in store for us! """," Na tomhle světě si musíme zvyknout jíst všechno, protože člověk nikdy neví, co ho může potkat."
"want","want","chtěl","chtít","impf"," "" What did you want from me? """," "" Cos ode mě chtěl? """
"heard","hear","neslyšel","slyšet","impf"," "" Have n't you heard the news?"," "" Ty jsi neslyšel o té velké události?"
"telling","tell","řekl","říci","pf"," "" But I 'm telling you that I go tonight. """," "" Ale vždyť už jsem ti řekl, že se dnes večer chystám na cestu. """
"repeated","repeat","opakoval","opakovat","impf"," "" Of course not! "" repeated the Cat."," "" Bůh! "" opakoval kocour."
"work","work","nepracujeme","pracovat","impf"," "" We do not work for gain, "" answered the Fox."," "" My, "" pokračoval lišák, "" nepracujeme kvůli mrzkému zisku."
"work","work","Pracujeme","pracovat","impf"," "" We work only to enrich others. """," Pracujeme jen proto, abychom obohatili druhé. """
"enrich","enrich","obohatili","obohatit","pf"," "" We work only to enrich others. """," Pracujeme jen proto, abychom obohatili druhé. """
"repeated","repeat","opakoval","opakovat","impf"," "" To enrich others! "" repeated the Cat."," "" Druhé! "" opakoval kocour."
"thought","think","pomyslel","pomyslet","pf"," "" What good people, "" thought Pinocchio to himself."," "" Ti jsou ale hodní! "" pomyslel si Pinocchio."
"answered","answer","odpověděla","odpovědět","pf"," "" In the storm of last night, "" answered the Dolphin, "" the little boat must have been swamped. """," "" V té bouři, která se strhla dnes v noci, "" odpověděla delfínice, "" se loďka nejspíš potopila. """
"swallowed","swallow","spolkl","spolknout","pf"," "" By this time, he must have been swallowed by the Terrible Shark, which, for the last few days, has been bringing terror to these waters. """," "" V tuhle chvíli už ho zřejmě spolkl strašlivý žralok, který v našich vodách už několik dní rozsévá zkázu a děs. """
"said","say","řekl","říci","pf"," "" Thank Heaven, I 'm not a fish! "" said Pinocchio to himself, trying with these words to find a little courage."," "" Ještěže nejsem ryba! "" řekl si Pinocchio a dodal si odvahy."
"married","marry","ožení","oženit","pf"," When he gets married, he will have time to laugh. """," Až se ožení, bude se smát. """
"laugh","laugh","smát","smát","impf"," When he gets married, he will have time to laugh. """," Až se ožení, bude se smát. """
"taught","teach","naučil","naučit","pf"," "" Have you perhaps taught him to speak? """," "" To jste ho taky naučil mluvit? """
"speak","speak","mluvit","mluvit","impf"," "" Have you perhaps taught him to speak? """," "" To jste ho taky naučil mluvit? """
"learned","learn","naučil","naučit","pf"," "" No, he learned to mumble a few words when he lived for three years with a band of trained dogs. """," "" Ne, to on sám se naučil zabrebtat pár slov, protože byl tři roky ve společnosti cvičených psů. """
"said","say","řekl","říci","pf"," "" Come, come, "" said the Little Man, "" do not lose time over a donkey that can weep."," "" Tak už dost, "" řekl mužíček, "" neztrácejme čas s nějakým uplakaným oslem."
"lose","lose","neztrácejme","ztrácet","impf"," "" Come, come, "" said the Little Man, "" do not lose time over a donkey that can weep."," "" Tak už dost, "" řekl mužíček, "" neztrácejme čas s nějakým uplakaným oslem."
"obeyed","obey","poslechl","poslechnout","pf"," Pinocchio obeyed without another word."," Pinocchio bez odmlouvání poslechl."
"go","go","půjdu","jít","impf"," "" Today I 'll follow the pipes, and tomorrow I 'll go to school."," "" Dneska si půjdu poslechnout píšťaly a zítra půjdu do školy."
"follow","follow","poslechnout","poslechnout","pf"," "" Today I 'll follow the pipes, and tomorrow I 'll go to school."," "" Dneska si půjdu poslechnout píšťaly a zítra půjdu do školy."
"go","go","půjdu","jít","impf"," "" Today I 'll follow the pipes, and tomorrow I 'll go to school."," "" Dneska si půjdu poslechnout píšťaly a zítra půjdu do školy."
"muttering","mutter","bručeli","bručet","impf"," And turning on their heels, they marched solemnly out of the room, carrying their little black coffin and muttering and grumbling between their teeth."," Znovu si naložili rakvičku na ramena, vyšli z pokoje a přitom žehrali a bručeli si pod vousy."
"saved","save","zachráněn","zachránit","pf"," You are saved! """," Jsi zachráněn. """
"weep","weep","pláčou","plakat","impf"," For be it known, that, while other people, when sad and sorrowful, weep and wipe their eyes, Fire Eater, on the other hand, had the strange habit of sneezing each time he felt unhappy."," Musíte totiž vědět, že zatímco všichni lidé, když je jim někoho líto, pláčou, nebo aspoň předstírají, že si utírají oči, Ohňojed pokaždé, když byl opravdu dojatý, kýchl."
"wipe","wipe","utírají","utírat","impf"," For be it known, that, while other people, when sad and sorrowful, weep and wipe their eyes, Fire Eater, on the other hand, had the strange habit of sneezing each time he felt unhappy."," Musíte totiž vědět, že zatímco všichni lidé, když je jim někoho líto, pláčou, nebo aspoň předstírají, že si utírají oči, Ohňojed pokaždé, když byl opravdu dojatý, kýchl."
"sent","send","Pošlou","poslat","pf"," They are sent to school, and whether they want to or not, they must study."," Pošlou mě do školy a po dobrém nebo po zlém mě přimějí, abych se učil."
"study","study","učil","učit","impf"," They are sent to school, and whether they want to or not, they must study."," Pošlou mě do školy a po dobrém nebo po zlém mě přimějí, abych se učil."
"grow","grow","vyroste","vyrůst","pf"," Do n't you know that if you go on like that, you will grow into a perfect donkey and that you 'll be the laughingstock of everyone? """," Copak nevíš, že takhle z tebe vyroste pěkný osel a všichni si z tebe budou tropit žerty? """
"make","make","udělat","udělat","pf"," He was just about to make one last offer, but he lacked the courage to do so."," Už se chystal udělat poslední nabídku, ale neodvažoval se."
"do","do","udělat","udělat","pf"," He was just about to make one last offer, but he lacked the courage to do so."," Už se chystal udělat poslední nabídku, ale neodvažoval se."
"hesitated","hesitate","zdráhal","zdráhat","impf"," He hesitated, he wondered, he could not make up his mind."," Váhal, zdráhal se, nemohl se odhodlat."
"said","say","řekl","říci","pf"," At last he said :"," Nakonec řekl :"
"give","give","Dáš","dát","pf"," "" Will you give me four pennies for the book? """," "" Dáš mi pět krejcarů za tenhle nový slabikář? """
"buy","buy","nekupuju","kupovat","impf"," "" I am a boy and I buy nothing from boys, "" said the little fellow with far more common sense than the Marionette."," "" Jsem kluk a od kluků nic nekupuju, "" odpověděl mu chlapec, který byl mnohem rozumnější než Pinocchio."
"said","say","odpověděl","odpovědět","pf"," "" I am a boy and I buy nothing from boys, "" said the little fellow with far more common sense than the Marionette."," "" Jsem kluk a od kluků nic nekupuju, "" odpověděl mu chlapec, který byl mnohem rozumnější než Pinocchio."
"thought","think","uvažoval","uvažovat","impf"," As he talked to himself, he thought he heard sounds of pipes and drums coming from a distance : pi-pi-pi, pi-pi-pi.. .zum, zum, zum, zum."," A zatímco celý dojatý takhle uvažoval, zdálo se mu, že v dálce slyší zvuk píšťal a bubnování : fí - fí - fí, fí - fí - fí, bum, bum, bum, bum."
"thought","think","zdálo","zdát","impf"," As he talked to himself, he thought he heard sounds of pipes and drums coming from a distance : pi-pi-pi, pi-pi-pi.. .zum, zum, zum, zum."," A zatímco celý dojatý takhle uvažoval, zdálo se mu, že v dálce slyší zvuk píšťal a bubnování : fí - fí - fí, fí - fí - fí, bum, bum, bum, bum."
"heard","hear","slyší","slyšet","impf"," As he talked to himself, he thought he heard sounds of pipes and drums coming from a distance : pi-pi-pi, pi-pi-pi.. .zum, zum, zum, zum."," A zatímco celý dojatý takhle uvažoval, zdálo se mu, že v dálce slyší zvuk píšťal a bubnování : fí - fí - fí, fí - fí - fí, bum, bum, bum, bum."
"came","come","přicházely","přicházet","impf"," Those sounds came from a little street that led to a small village along the shore."," Ty zvuky přicházely z druhého konce postranní ulice, která vedla do malé vesničky na pobřeží."
"led","lead","vedla","vést","impf"," Those sounds came from a little street that led to a small village along the shore."," Ty zvuky přicházely z druhého konce postranní ulice, která vedla do malé vesničky na pobřeží."
"tried","try","pokoušeli","pokoušet","impf"," The Assassins tried to climb also, but they slipped and fell."," Loupežníci se tam za ním pokoušeli vylézt, ale když byli v polovině kmene, uklouzli, a jak padali na zem, sedřeli si ruce i nohy."
"climb","climb","vylézt","vylézt","pf"," The Assassins tried to climb also, but they slipped and fell."," Loupežníci se tam za ním pokoušeli vylézt, ale když byli v polovině kmene, uklouzli, a jak padali na zem, sedřeli si ruce i nohy."
"fell","fall","padali","padat","impf"," The Assassins tried to climb also, but they slipped and fell."," Loupežníci se tam za ním pokoušeli vylézt, ale když byli v polovině kmene, uklouzli, a jak padali na zem, sedřeli si ruce i nohy."
"began","begin","začala","začít","pf"," In a twinkling the tree began to sputter and burn like a candle blown by the wind."," A než bys řekl švec, borovice začala hořet a plápolat jako svíčka ve větru."
"burn","burn","hořet","hořet","impf"," In a twinkling the tree began to sputter and burn like a candle blown by the wind."," A než bys řekl švec, borovice začala hořet a plápolat jako svíčka ve větru."
"gets","get","přijde","přijít","pf"," As soon as he gets home, Geppetto fashions the Marionette and calls it Pinocchio."," Když přijde Geppetto domů, hned se pustí do vyřezávání panáčka a dá mu jméno Pinocchio."
"calls","call","přijde","přijít","pf"," As soon as he gets home, Geppetto fashions the Marionette and calls it Pinocchio."," Když přijde Geppetto domů, hned se pustí do vyřezávání panáčka a dá mu jméno Pinocchio."
"offered","offer","nabídl","nabídnout","pf"," Pinocchio offered his arm to Geppetto, who was so weak he could hardly stand, and said to him :"," A tak Pinocchio nabídl Geppettovi, který se sotva držel na nohou, rámě a řekl mu :"
"said","say","řekl","říci","pf"," Pinocchio offered his arm to Geppetto, who was so weak he could hardly stand, and said to him :"," A tak Pinocchio nabídl Geppettovi, který se sotva držel na nohou, rámě a řekl mu :"
"Lean","lean","opřete","opřít","pf"," "" Lean on my arm, dear Father, and let us go."," "" Jen se mi opřete o rameno, milý tatínku, a půjdeme."
"go","go","půjdeme","jít","impf"," "" Lean on my arm, dear Father, and let us go."," "" Jen se mi opřete o rameno, milý tatínku, a půjdeme."
"promised","promise","slíbil","slíbit","pf"," Pinocchio promised to study and to behave himself."," Pinocchio slíbil a přísahal, že se bude učit a že už se bude vždycky chovat slušně."
"study","study","učit","učit","impf"," Pinocchio promised to study and to behave himself."," Pinocchio slíbil a přísahal, že se bude učit a že už se bude vždycky chovat slušně."
"behave","behave","chovat","chovat","impf"," Pinocchio promised to study and to behave himself."," Pinocchio slíbil a přísahal, že se bude učit a že už se bude vždycky chovat slušně."
"kept","keep","držel","držet","impf"," And he kept his word for the remainder of the year."," A celý zbytek roku držel slovo."
"said","say","řekla","říci","pf"," At the end of it, he passed first in all his examinations, and his report was so good that the Fairy said to him happily :"," Při zkouškách před prázdninami se dokonce mohl pochlubit tím, že byl nejlepší z celé školy a jeho chování bylo obecně považováno za tak chvalitebné a vzorné, že mu víla s uspokojením řekla :"
"offended","offend","urazil","urazit","pf"," But the Cricket, who was a wise old philosopher, instead of being offended at Pinocchio 's impudence, continued in the same tone :"," Ale cvrček byl trpělivý a moudrý, a místo aby se kvůli té neomalenosti urazil, pokračoval stejným tónem :"
"continued","continue","pokračoval","pokračovat","impf"," But the Cricket, who was a wise old philosopher, instead of being offended at Pinocchio 's impudence, continued in the same tone :"," Ale cvrček byl trpělivý a moudrý, a místo aby se kvůli té neomalenosti urazil, pokračoval stejným tónem :"
"going","go","chodit","chodit","impf"," "" If you do not like going to school, why do n't you at least learn a trade, so that you can earn an honest living? """," "" A když se ti nechce chodit do školy, proč se aspoň nenaučíš nějakému řemeslu, aby sis mohl poctivě vydělávat na chleba? """
"learn","learn","nenaučíš","naučit","pf"," "" If you do not like going to school, why do n't you at least learn a trade, so that you can earn an honest living? """," "" A když se ti nechce chodit do školy, proč se aspoň nenaučíš nějakému řemeslu, aby sis mohl poctivě vydělávat na chleba? """
"earn","earn","vydělávat","vydělávat","impf"," "" If you do not like going to school, why do n't you at least learn a trade, so that you can earn an honest living? """," "" A když se ti nechce chodit do školy, proč se aspoň nenaučíš nějakému řemeslu, aby sis mohl poctivě vydělávat na chleba? """
"beginning","begin","začínal","začínat","impf"," "" Shall I tell you something? "" asked Pinocchio, who was beginning to lose patience."," "" Chceš to vědět? "" odsekl Pinocchio a pomalu začínal ztrácet trpělivost."
"lose","lose","ztrácet","ztrácet","impf"," "" Shall I tell you something? "" asked Pinocchio, who was beginning to lose patience."," "" Chceš to vědět? "" odsekl Pinocchio a pomalu začínal ztrácet trpělivost."
"obey","obey","neposlechnou","poslechnout","pf"," "" Woe to boys who refuse to obey their parents and run away from home!"," "" Běda chlapcům, kteří neposlechnou rodiče a jen tak z rozmaru odejdou z domova!"
"understand","understand","Uměl","umět","impf"," Do you understand how to feel the pulse? """," Uměl bys mi změřit tep? """
