"nodded","nod","Přikývla","přikývnout","pf"," She nodded."," Přikývla."
"rose","rise","stoupal","stoupat","impf"," By now the familiar morning din rose from the cloakrooms below."," Zezdola od šaten již stoupal známý ranní hukot."
"saw","see","spatřila","spatřit","pf"," The moment she saw me her face lit up :"," Jakmile mne spatřila, její obličej se rozjasnil."
"do","do","činit","činit","impf"," Meanwhile, the only thing we can do, and get into the habit of, is combining them."," To jediné, co přitom můžeme činit a navyknout si, je jejich kombinování."
"created","create","vytvořena","vytvořit","pf"," But there is one idea not yet created after all : it is here, like a sort of major market in a major economy."," Ale jedna idea přece není vytvořena : ona je zde, je jako jistý druh velkého trhu ve velké ekonomice."
"waited","wait","Počkala","počkat","pf"," She waited for Beata to get up and then demonstrated how to detach that sort of cover."," Počkala, až Beáta vstane, a ukázala nám, jak se takový přehoz snímá."
"demonstrated","demonstrate","ukázala","ukázat","pf"," She waited for Beata to get up and then demonstrated how to detach that sort of cover."," Počkala, až Beáta vstane, a ukázala nám, jak se takový přehoz snímá."
"see","see","Vidíš","vidět","impf"," "" Do you see that? "" she said tenderly."," "" Vidíš to? "" řekla měkce."
"said","say","řekla","říci","pf"," "" Do you see that? "" she said tenderly."," "" Vidíš to? "" řekla měkce."
"said","say","řekla","říci","pf"," "" It has a large storage space, "" said the assistant."," "" Má velký úložný prostor, "" řekla prodavačka."
"demonstrated","demonstrate","Předvedla","předvést","pf"," She demonstrated it."," Předvedla."
"hear","hear","slyšíš","slyšet","impf"," "" A large space - did you hear that? "" she said tenderly."," "" Veliký prostor - slyšíš to? "" pravila měkce."
"said","say","pravila","pravit","pf"," "" A large space - did you hear that? "" she said tenderly."," "" Veliký prostor - slyšíš to? "" pravila měkce."
"pointing","point","ukázal","ukázat","pf"," "" Look, "" he said, pointing into the garden full of evening shadows."," "" Hele, "" ukázal rukou do zahrady plné večerních stínů."
"lying","lie","ležela","ležet","impf"," Beata was lying on her belly with her arms and legs wide outstretched."," Beáta ležela pod tújemi, na břiše, ruce i nohy široce roztažené."
"said","say","řekl","říci","pf"," "" There are two possibilities, "" I said."," "" Jsou dvě možnosti, "" řekl jsem."
"said","say","řekl","říci","pf"," "" Look here, "" I said on that occasion to the incriminated boys in my class, "" do you enjoy singing? """," "" Hele, "" řekl jsem tenkrát inkriminovaným klukům ze své třídy, "" zpíváte rádi? """
"sensed","sense","Tušili","tušit","impf"," They sensed a trap."," Tušili léčku."
"go","go","chodit","chodit","impf"," "" You do n't want to go to choir? """," "" Do sboru chodit nechcete? """
"want","want","nechcete","chtít","impf"," "" You do n't want to go to choir? """," "" Do sboru chodit nechcete? """
"said","say","řekl","říci","pf"," "" No problem, "" I said."," "" V pořádku, "" řekl jsem."
"said","say","řekl","říci","pf"," "" Yeah, "" he said sourly."," "" Jo, "" řekl kysele."
"turning","turn","otočila","otočit","pf"," "" I 'd just be worried, "" she said, turning to me as she went out the door, "" that you 'll burn your fingers with that commie creep ... """," "" Já jen, "" otočila se ke mně starostlivě ve dveřích, "" aby ses s tím estébákem nějak nespálil ... """
"burn","burn","nespálil","spálit","pf"," "" I 'd just be worried, "" she said, turning to me as she went out the door, "" that you 'll burn your fingers with that commie creep ... """," "" Já jen, "" otočila se ke mně starostlivě ve dveřích, "" aby ses s tím estébákem nějak nespálil ... """
"comparing","compare","srovnat","srovnat","pf"," I had no time for any deeper consideration of her words, as Lenka and Jaromir immediately started to regale me with reminiscences about that model pupil Beata Kralova : there was no comparing her with her younger sister, they said."," Neměl jsem čas o jejím sdělení nějak hlouběji přemýšlet, neboť Lenka s Jaromírem mne vzápětí zatáhli do vzpomínání na vzornou žákyni Beátu Královou : s její mladší sestrou se to prý vůbec nedá srovnat."
"recalled","recall","vzpomněla","vzpomenout","pf"," "" And where are your girls, then? "" she recalled."," "" A kde máš holky? "" vzpomněla si."
"said","say","řekl","říci","pf"," "" Still at the seaside, "" I said calmly."," "" Ještě u moře, "" řekl jsem klidně."
"smiled","smile","Usmívala","usmívat","impf"," She smiled a lipstick smile."," Usmívala se namalovanými rty."
"arrived","arrive","přijel","přijet","pf"," Kral arrived almost at once - he was all red, and there was a faint smell of beer on his breath."," Král přijel vzápětí - byl celý rudý a z jeho dechu bylo slabě cítit pivo."
"took","take","odebírala","odebírat","impf"," His wife took his sweat-sodden gear from him."," Manželka od něho odebírala propocené svršky."
"did","do","šlo","jít","impf"," "" So how did it go? "" he enquired jovially, but there was no fooling me this time."," "" Tak jak to šlo? "" zahalasil bodře, ale už mě nemohl oklamat."
"go","go","šlo","jít","impf"," "" So how did it go? "" he enquired jovially, but there was no fooling me this time."," "" Tak jak to šlo? "" zahalasil bodře, ale už mě nemohl oklamat."
"did","do","Nešlo","jít","impf"," "" It did n't go at all. """," "" Nešlo to vůbec. """
"go","go","Nešlo","jít","impf"," "" It did n't go at all. """," "" Nešlo to vůbec. """
"said","say","řekl","říci","pf"," "" Did they stay home? "" Kral said suspiciously."," "" Byli doma? "" řekl Král podezíravě."
"started","start","začaly","začít","pf"," Soon the children started going around with solemnly secretive expressions."," Děti se záhy začaly tvářit slavnostně a tajuplně."
"going","go","začaly","začít","pf"," Soon the children started going around with solemnly secretive expressions."," Děti se záhy začaly tvářit slavnostně a tajuplně."
"collecting","collect","vybírají","vybírat","impf"," I realised they were already collecting for my present."," Pochopil jsem, že už mi vybírají na dárek."
"warned","warn","varoval","varovat","impf"," "" Do n't you dare go spending a lot of money on some enormous fluffy toy, "" I warned them."," "" Ne abyste mi koupili nějaký to obrovský a drahý plyšový zvíře, "" varoval jsem je."
"got","get","dostal","dostat","pf"," In the end I got both a teddy bear and a bottle of scotch."," Nakonec jsem dostal medvěda i skotskou."
"said","say","řekl","říci","pf"," "" A real doll, "" said Jaromir."," "" Je to kočka, "" řekl Jaromír."
"lived","live","bydlel","bydlet","impf"," "" There really is a brothel in Zabehlice? "" I asked, since I lived nearby."," "" Fakt je v těch Záběhlicích bordel? "" zeptal jsem se, neboť bydlel poblíž."
"said","say","řekl","říci","pf"," "" Search me, "" he said."," "" Čert ví, "" řekl."
"think","think","Mám","mít","impf"," "" I think it might be under that tin of fishing spinners, "" I said helpfully."," "" Mám dojem, že je pod tou plechovou krabicí s třpytkami, "" pomohl jsem mu."
"like","like","Nelíbí","líbit","impf"," "" I do n't like it, "" he said outright."," "" Nelíbí se mně, "" řekl rovnou."
"said","say","řekl","říci","pf"," "" I do n't like it, "" he said outright."," "" Nelíbí se mně, "" řekl rovnou."
"hear","hear","slyším","slyšet","impf"," "" I 'm pleased to hear it, "" I said."," "" To rád slyším, "" řekl jsem."
"said","say","řekl","říci","pf"," "" I 'm pleased to hear it, "" I said."," "" To rád slyším, "" řekl jsem."
"mean","mean","znamenat","znamenat","impf"," "" That could mean that it 's actually good. """," "" Mohlo by to znamenat, že je opravdu dobrý. """
"find","find","nenašel","najít","pf"," Every cripple will find a partner and every nonsense a suitable reader, "" I read."," Není mrzáka, který by nenašel sobě rovného, a není nesmyslu, který by nenašel vhodného čtenáře, "" četl jsem."
"find","find","nenašel","najít","pf"," Every cripple will find a partner and every nonsense a suitable reader, "" I read."," Není mrzáka, který by nenašel sobě rovného, a není nesmyslu, který by nenašel vhodného čtenáře, "" četl jsem."
"read","read","četl","číst","impf"," Every cripple will find a partner and every nonsense a suitable reader, "" I read."," Není mrzáka, který by nenašel sobě rovného, a není nesmyslu, který by nenašel vhodného čtenáře, "" četl jsem."
"dragging","drag","vláčíš","vláčet","impf"," "" What sort of a shit-head is that you 're dragging along with you?! """," "" Co to s sebou vláčíš za sráče?! """
"introduced","introduce","Představil","představit","pf"," I introduced myself."," Představil jsem se."
"stroked","stroke","pohladila","pohladit","pf"," Beata mutely stroked his sweaty temple."," Beáta mu mlčky pohladila zpocenou skráň."
"delay","delay","zdržovat","zdržovat","impf"," "" We wo n't delay you further, "" I said."," "" Už vás nebudeme déle zdržovat, "" řekl jsem."
"said","say","řekl","říci","pf"," "" We wo n't delay you further, "" I said."," "" Už vás nebudeme déle zdržovat, "" řekl jsem."
"welcomes","welcome","vítá","vítat","impf"," Going home, then? Mr Pospichal welcomes me from the steering wheel."," Domů, domů? vítá mě pan Pospíchal od volantu."
"sitting","sit","sedím","sedět","impf"," So here I am again sitting in the bus on my way home."," Takže už zase sedím v autobuse a jedu domů."
"fell","fall","usnul","usnout","pf"," Some time afterwards I fell asleep."," Někdy potom jsem usnul."
"hear","hear","vyslechnout","vyslechnout","pf"," Sadly I was not to be allowed to hear the remainder of the conversation because shortly after Svetlana 's arrival, I was summoned to the Principal 's study by the school secretary - I can well imagine your eventual objections, but after all I have never maintained that every dialogue that you read is a legally authenticated tape recording."," Nebylo mi bohužel přáno vyslechnout své kolegy až do konce, neboť jsem byl krátce po Světlanině příchodu hospodářkou školy povolán k řediteli - dovedu si představit vaše případné námitky, ale přece jsem nikdy netvrdil, že každý dialog, který čtete, je notářsky ověřeným magnetofonovým záznamem."
"summoned","summon","povolán","povolat","pf"," Sadly I was not to be allowed to hear the remainder of the conversation because shortly after Svetlana 's arrival, I was summoned to the Principal 's study by the school secretary - I can well imagine your eventual objections, but after all I have never maintained that every dialogue that you read is a legally authenticated tape recording."," Nebylo mi bohužel přáno vyslechnout své kolegy až do konce, neboť jsem byl krátce po Světlanině příchodu hospodářkou školy povolán k řediteli - dovedu si představit vaše případné námitky, ale přece jsem nikdy netvrdil, že každý dialog, který čtete, je notářsky ověřeným magnetofonovým záznamem."
"imagine","imagine","představit","představit","pf"," Sadly I was not to be allowed to hear the remainder of the conversation because shortly after Svetlana 's arrival, I was summoned to the Principal 's study by the school secretary - I can well imagine your eventual objections, but after all I have never maintained that every dialogue that you read is a legally authenticated tape recording."," Nebylo mi bohužel přáno vyslechnout své kolegy až do konce, neboť jsem byl krátce po Světlanině příchodu hospodářkou školy povolán k řediteli - dovedu si představit vaše případné námitky, ale přece jsem nikdy netvrdil, že každý dialog, který čtete, je notářsky ověřeným magnetofonovým záznamem."
"read","read","čtete","číst","impf"," Sadly I was not to be allowed to hear the remainder of the conversation because shortly after Svetlana 's arrival, I was summoned to the Principal 's study by the school secretary - I can well imagine your eventual objections, but after all I have never maintained that every dialogue that you read is a legally authenticated tape recording."," Nebylo mi bohužel přáno vyslechnout své kolegy až do konce, neboť jsem byl krátce po Světlanině příchodu hospodářkou školy povolán k řediteli - dovedu si představit vaše případné námitky, ale přece jsem nikdy netvrdil, že každý dialog, který čtete, je notářsky ověřeným magnetofonovým záznamem."
"intending","intend","hodlá","hodlat","impf"," And even though the novel had now palled on her somewhat, he was nonetheless intending to bring it up to date as a scenic psychodrama."," Nyní se jí román sice maličko odcizil, hodlá jej ale aktualizovat coby scénické psychodrama."
"replied","reply","odvětil","odvětit","pf"," After a moment 's reflection, Oskar replied that it could well be a surprisingly good idea."," Oskar po chvíli přemýšlení odvětil, že je to možná překvapivě dobrý nápad."
"asked","ask","zeptala","zeptat","pf"," Then Beata asked Oskar if he enjoyed being a driver."," Potom se Beáta Oskara zeptala, jestli se mu líbí jeho práce řidiče."
"enjoyed","enjoy","líbí","líbit","impf"," Then Beata asked Oskar if he enjoyed being a driver."," Potom se Beáta Oskara zeptala, jestli se mu líbí jeho práce řidiče."
"thinking","think","přemýšlí","přemýšlet","impf"," Oskar protested that he was no driver but was only thinking about what to do with his life - and driving had always provided him with the best opportunity for thinking."," On přece není žádný řidič, řekl Oskar, on jen přemýšlí, jak naložit se svým životem, - a v autě se mu prý odjakživa přemýšlelo nejlépe."
"thinking","think","přemýšlelo","přemýšlet","impf"," Oskar protested that he was no driver but was only thinking about what to do with his life - and driving had always provided him with the best opportunity for thinking."," On přece není žádný řidič, řekl Oskar, on jen přemýšlí, jak naložit se svým životem, - a v autě se mu prý odjakživa přemýšlelo nejlépe."
"chose","choose","zvolili","zvolit","pf"," After careful consideration of both alternatives, Oskar and l chose the second."," Oskar a já jsme po pečlivém zvážení výhod a nevýhod alternativy první po čase zvolili tu druhou."
"kept","keep","nechá","nechat","pf"," I kept on harking back in my mind both to our conversation and to the letter referred to earlier, and it became clearer and clearer to me just how firmly and cockily convinced Kral had been - and apparently still was that for eight thousand a month a young Czech teacher and writer would immediately drop everything and spend four evenings every week sitting over the naive literary efforts of his older daughter."," Vracel jsem se v duchu jak k našemu rozhovoru, tak i ke zmíněnému dopisu, a čím dál jasněji jsem si uvědomoval, jak pevné a suverénní bylo a zřejmě i dosud je Královo přesvědčení, že mladý český učitel a spisovatel za osm tisíc korun měsíčně okamžitě všeho nechá, aby po čtyři večery v každém týdnu vysedával nad neumělými literárními pokusy jeho starší dcerušky."
"drop","drop","nechá","nechat","pf"," I kept on harking back in my mind both to our conversation and to the letter referred to earlier, and it became clearer and clearer to me just how firmly and cockily convinced Kral had been - and apparently still was that for eight thousand a month a young Czech teacher and writer would immediately drop everything and spend four evenings every week sitting over the naive literary efforts of his older daughter."," Vracel jsem se v duchu jak k našemu rozhovoru, tak i ke zmíněnému dopisu, a čím dál jasněji jsem si uvědomoval, jak pevné a suverénní bylo a zřejmě i dosud je Královo přesvědčení, že mladý český učitel a spisovatel za osm tisíc korun měsíčně okamžitě všeho nechá, aby po čtyři večery v každém týdnu vysedával nad neumělými literárními pokusy jeho starší dcerušky."
"exclaimed","exclaim","zvolala","zvolat","pf"," "" Buddha! "" Beata exclaimed joyfully."," "" Buddho! "" zvolala Beáta radostně."
"exclaimed","exclaim","zvolal","zvolat","pf"," Flower of the desert! "" exclaimed the last beatnik of central Prague."," Pouštní kvítečku! "" zvolal poslední beatnik Prahy 1."
"asked","ask","Ptala","ptát","impf"," She asked about everything from Apollinaire, Biedermeir, celibacy and Drtikol to xenophobia, yellow fever, Yellowstone Park and Zen Buddhism, and she could scarcely conceal her disappointment when I was unable to answer many of them."," Ptala se na všechno od Apollinaira, Biedermeier, celibát a Drtikola až po xenofobii, Yellowstonský park, zenbuddhismus a žlutou zimnici, přičemž skutečnost, že na řadu těchto otázek neznám odpověď, pro ni byla zdrojem špatně skrývaného zklamání."
"helping","help","pomáhám","pomáhat","impf"," Do I also feel insincere when I 'm helping blind people across the road?"," Připadám si taky neupřímně, když pomáhám přes ulici slepcům?"
"considered","consider","považuje","považovat","impf"," She considered cork flooring to be covert snobbery."," Korek jakožto podlahovou krytinu považuje za skrytě snobský."
"believe","believe","věřte","věřit","impf"," Happily I soon found an absolutely reliable hiding place for the drafts of my own love letters ( and poems, believe it or not ) : I gradually filed them in a folder on which I printed in large letters LOVE LETTERS AND POEMS - and stuck it into the pile of notes for my next novel."," Naštěstí alespoň pro koncepty svých vlastních milostných dopisů a ( věřte nebo ne ) také básní jsem záhy přišel na naprosto spolehlivý úkryt : papírové desky, do nichž jsem je postupně zakládal, jsem nadepsal velkými tiskacími písmeny MILOSTNÉ DOPISY A BÁSNĚ - a zastrčil jsem je do hromady poznámek k chystanému románu."
"speaking","speak","nemluvila","mluvit","impf"," Agata was still not speaking to me."," Agáta se mnou i nadále nemluvila."
"occurred","occur","došlo","dojít","pf"," In the attic room just one discernible change had occurred : there was a smell of wine."," V podkrovním pokoji došlo k jediné postřehnutelné změně : bylo tu cítit víno."
"said","say","řekl","říci","pf"," "" Ecstasy - it was agony, "" said the manager."," "" To je slast - milovati svou vlast, "" řekl vedoucí."
"squeezed","squeeze","sevřela","sevřít","pf"," She felt for my hand and squeezed it firmly."," Nahmatala mou ruku a pevně ji sevřela."
"look","look","podívat","podívat","pf"," He leaned over to look up her skirt."," Předklonil se, aby se jí mohl podívat do klína."
"said","say","řekl","říci","pf"," "" I think we need a stiff drink, "" I said."," "" Pojďme na panáka, "" řekl jsem."
"pay","pay","zaplatím","zaplatit","pf"," "" I 'll pay you till the end of August, "" he said bountifully."," "" Srpen ti ještě zaplatím, "" řekl velkoryse."
"said","say","řekl","říci","pf"," "" I 'll pay you till the end of August, "" he said bountifully."," "" Srpen ti ještě zaplatím, "" řekl velkoryse."
"come","come","chodit","chodit","impf"," "" So I 'm not to come tomorrow? "" I said in strangled tones."," "" To už zítra nemám chodit? "" řekl jsem přiškrceně."
"said","say","řekl","říci","pf"," "" So I 'm not to come tomorrow? "" I said in strangled tones."," "" To už zítra nemám chodit? "" řekl jsem přiškrceně."
"understand","understand","chápat","chápat","impf"," "" Surely one need not understand everything, "" I commented in accordance with my conviction and went on to inform her, inter alia, about Vonnegut 's term : protection from information."," "" Není snad nutný všechno chápat, "" poznamenal jsem v souladu se svým přesvědčením a mimo jiné jsem ji informoval o Vonnegutově termínu obrana před informacemi."
"commented","comment","poznamenal","poznamenat","pf"," "" Surely one need not understand everything, "" I commented in accordance with my conviction and went on to inform her, inter alia, about Vonnegut 's term : protection from information."," "" Není snad nutný všechno chápat, "" poznamenal jsem v souladu se svým přesvědčením a mimo jiné jsem ji informoval o Vonnegutově termínu obrana před informacemi."
"mused","muse","přemýšlela","přemýšlet","impf"," "" A protector from information, "" she mused."," "" Obránce před informacemi? "" přemýšlela."
"stressed","stress","zdůraznil","zdůraznit","pf"," "" A self-censor, "" I stressed."," "" Autocenzor, "" zdůraznil jsem."
"avoids","avoid","vyhýbá","vyhýbat","impf"," One deliberately and voluntarily avoids certain information - in the interest of one 's own mental health. """," Člověk se určitým informacím vyhýbá vědomě a dobrovolně - v zájmu svýho duševního zdraví. """
"lies","lie","lže","lhát","impf"," "" And lies to oneself. """," "" A lže si do vlastní kapsy. """
"want","want","Chci","chtít","impf"," "" I just want to know what exactly I 've been shoving money into these past three months. """," "" Chci zkrátka jenom vědět, na co už třetí měsíc dávám svý prachy! """
"let","let","Nenechal","nechat","pf"," He was n't going to let anything past him :"," Nenechal si nic podsunout :"
"trying","try","snažím","snažit","impf"," "" That 's exactly what I 'm trying to discover! """," "" To se teprve snažím zjistit! """
"discover","discover","zjistit","zjistit","pf"," "" That 's exactly what I 'm trying to discover! """," "" To se teprve snažím zjistit! """
"noted","note","zaznamenal","zaznamenat","pf"," I noted a small but live band, tables with little pink lamps - scarcely half of the tables were occupied and a single couple on the illuminated glass dance floor."," zaznamenal jsem malý, ale živý orchestr, stoly s růžovými lampičkami, obsazené sotva z poloviny, a jedinou dvojici na svítícím skleněném tanečním parketu."
"sat","sit","Posadili","posadit","pf"," We sat down at the bar, the high bar-stools providing a good vantage for any action."," Posadili jsme se na baru - z vysokých stoliček byl dobrý výhled na veškeré dění."
"says","say","říká","říkat","impf"," Do n't you worry, Dad says, if those bastards buy that field, you 'll get that Golf"," Neboj, říká táta, jestli ty grázlové to pole koupěj, dostaneš toho golfa."
"buy","buy","koupěj","koupit","pf"," Do n't you worry, Dad says, if those bastards buy that field, you 'll get that Golf"," Neboj, říká táta, jestli ty grázlové to pole koupěj, dostaneš toho golfa."
"get","get","koupěj","koupit","pf"," Do n't you worry, Dad says, if those bastards buy that field, you 'll get that Golf"," Neboj, říká táta, jestli ty grázlové to pole koupěj, dostaneš toho golfa."
"get","get","dostaneš","dostat","pf"," Do n't you worry, Dad says, if those bastards buy that field, you 'll get that Golf"," Neboj, říká táta, jestli ty grázlové to pole koupěj, dostaneš toho golfa."
"start","start","začnu","začít","pf"," I start to tease him about the dirt in the cassette rack, but he 's already staring at the level patch below the village pump."," Radši si ho začnu dobírat kvůli špíně v přihrádce na kazety, ale on už se dívá na rovinku pod obecní studnou."
"says","say","říká","říkat","impf"," What are they up to? he says, recognising them now."," Co se tam činí? říká, už je poznává."
"recognising","recognise","poznává","poznávat","impf"," What are they up to? he says, recognising them now."," Co se tam činí? říká, už je poznává."
"explained","explain","vysvětlil","vysvětlit","pf"," In the sports hall, "" he explained."," V hale, "" vysvětlil mi."
"smiled","smile","usmál","usmát","pf"," He smiled superciliously."," Samolibě se usmál :"
"playing","play","hraju","hrát","impf"," "" Today I 'm playing Petr Cermak. """," "" Dneska hraju s Petrem Čermákem. """
"create","create","vytvářelo","vytvářet","impf"," One ought not, however, interpret the active nature of the poet 's speech as meaning that poetry uses words to create a new, autonomous and artificial reality as is sometimes mistakenly maintained."," Aktivnost básnického slova nesmí být ovšem vykládána tak, že by básnictví slovem vytvářelo skutečnost novou, svébytnou a umělou, jak se někdy z nedorozumění tvrdí."
"pulled","pull","vytáhl","vytáhnout","pf"," Kral pulled out of his pocket a gilt hipflask, took a swig and passed it to me."," Král vytáhl z náprsní kapsy saka pozlacenou placatku : lokl si a podal mi ji."
"passed","pass","podal","podat","pf"," Kral pulled out of his pocket a gilt hipflask, took a swig and passed it to me."," Král vytáhl z náprsní kapsy saka pozlacenou placatku : lokl si a podal mi ji."
"jump","jump","skáčí","skákat","impf"," "" Young girls jump across bonfires, "" I declared."," "" Dívky skáčí přes oheň, "" pravil jsem."
"said","say","řekl","říci","pf"," "" Old wives ' tales, "" Petrik said sceptically."," "" Kecy, "" řekl Petřík pochybovačně."
"said","say","Pravil","pravit","pf"," I said I was well aware of the fact and added that every cloud has a silver lining ( which was one of the three English sayings I could remember )."," Pravil jsem, že to vím dobře a dodal jsem, že každý mrak má ale stříbrný okraj ( což bylo jedno ze tri anglických přísloví, která jsem si pamatoval )."
"added","add","dodal","dodat","pf"," I said I was well aware of the fact and added that every cloud has a silver lining ( which was one of the three English sayings I could remember )."," Pravil jsem, že to vím dobře a dodal jsem, že každý mrak má ale stříbrný okraj ( což bylo jedno ze tri anglických přísloví, která jsem si pamatoval )."
"remember","remember","pamatoval","pamatovat","impf"," I said I was well aware of the fact and added that every cloud has a silver lining ( which was one of the three English sayings I could remember )."," Pravil jsem, že to vím dobře a dodal jsem, že každý mrak má ale stříbrný okraj ( což bylo jedno ze tri anglických přísloví, která jsem si pamatoval )."
"concurred","concur","souhlasil","souhlasit","impf"," He concurred, albeit rather uncertainly."," Trochu nejistě souhlasil."
"swallowed","swallow","Spolkl","spolknout","pf"," I swallowed two dumplings at once and pointed out that it was rather hot today unfortunately."," Spolkl jsem dva knedlíky najednou a poznamenal, že je dneska unfortunately velké horko."
"said","say","Řekl","říci","pf"," I said that I was unfortunately very busy."," Řekl jsem, že jsem unfortunately very busy."
"eaten","eat","nesnědl","sníst","pf"," I have never eaten my lunch so fast in my life."," V životě jsem nesnědl oběd tak rychle."
"tried","try","snažil","snažit","impf"," No way. That September I tried to sleep with her."," Nikoliv, v září jsem se s ní snažil vyspat."
"return","return","vrátili","vrátit","pf"," And only once did we return to her story."," K její povídce jsme se vrátili rovněž jen jednou."
"said","say","řekla","říci","pf"," "" You 'd better have another one, then, "" said Lenka."," "" Tak to si dej ještě jednu, "" řekla Lenka."
