"hesitated","hesitate","zaváhal","zaváhat","pf"," Gatsby hesitated, then added coolly :"," Gatsby zaváhal a potom chladně dodal :"
"talks","talk","mluví","mluvit","impf"," ‘ I suppose she talks, and - eats, and everything. ’"," "" Mám zato, že mluví a - jí a tak dále. """
"looked","look","Podívala","podívat","pf"," She looked at me absently."," Podívala se na mne nepřítomně."
"leaning","lean","opřela","opřít","pf"," I was on my way to get roaring drunk from sheer embarrassment when Jordan Baker came out of the house and stood at the head of the marble steps, leaning a little backward and looking with contemptuous interest down into the garden."," Málem bych se byl už jen z rozpaků pořádně opil, když vtom vyšla z domu Jordan Bakerová a stanula na horním konci mramorových schodů, lehce se opřela zády o zábradlí a pohlédla s přezíravým zájmem dolů do zahrady."
"looking","look","pohlédla","pohlédnout","pf"," I was on my way to get roaring drunk from sheer embarrassment when Jordan Baker came out of the house and stood at the head of the marble steps, leaning a little backward and looking with contemptuous interest down into the garden."," Málem bych se byl už jen z rozpaků pořádně opil, když vtom vyšla z domu Jordan Bakerová a stanula na horním konci mramorových schodů, lehce se opřela zády o zábradlí a pohlédla s přezíravým zájmem dolů do zahrady."
"found","find","shledal","shledat","pf"," Welcome or not, I found it necessary to attach myself to some one before I should begin to address cordial remarks to the passers-by."," Ať jí to bylo vhod nebo ne, shledal jsem, že je nutné, abych se k někomu připojil, než začnu srdečnými poznámkami oslovovat kolemjdoucí."
"attach","attach","připojil","připojit","pf"," Welcome or not, I found it necessary to attach myself to some one before I should begin to address cordial remarks to the passers-by."," Ať jí to bylo vhod nebo ne, shledal jsem, že je nutné, abych se k někomu připojil, než začnu srdečnými poznámkami oslovovat kolemjdoucí."
"begin","begin","začnu","začít","pf"," Welcome or not, I found it necessary to attach myself to some one before I should begin to address cordial remarks to the passers-by."," Ať jí to bylo vhod nebo ne, shledal jsem, že je nutné, abych se k někomu připojil, než začnu srdečnými poznámkami oslovovat kolemjdoucí."
"address","address","oslovovat","oslovovat","impf"," Welcome or not, I found it necessary to attach myself to some one before I should begin to address cordial remarks to the passers-by."," Ať jí to bylo vhod nebo ne, shledal jsem, že je nutné, abych se k někomu připojil, než začnu srdečnými poznámkami oslovovat kolemjdoucí."
"seem","seem","zdálo","zdát","impf"," The door that I pushed open, on the advice of an elevator boy, was marked ' The Swastika Holding Company ', and at first there did n't seem to be anyone inside."," Na dveřích, která jsem otevřel podle informací hocha u výtahu, bylo napsáno "" Akciová společnost Swastika "" a v prvním okamžiku se zdálo, že uvnitř nikdo není."
"shouted","shout","zavolal","zavolat","pf"," But when I 'd shouted ' hello ' several times in vain, an argument broke out behind a partition, and presently a lovely Jewess appeared at an interior door and scrutinized me with black hostile eyes."," Ale když jsem několikrát nadarmo zavolal "" haló "", ozvala se za přepážkou jakási hádka a nato se ve dveřích objevila rozkošná židovka a černýma nepřátelskýma očima si mě pátravě prohlížela."
"appeared","appear","objevila","objevit","pf"," But when I 'd shouted ' hello ' several times in vain, an argument broke out behind a partition, and presently a lovely Jewess appeared at an interior door and scrutinized me with black hostile eyes."," Ale když jsem několikrát nadarmo zavolal "" haló "", ozvala se za přepážkou jakási hádka a nato se ve dveřích objevila rozkošná židovka a černýma nepřátelskýma očima si mě pátravě prohlížela."
"scrutinized","scrutinize","prohlížela","prohlížet","impf"," But when I 'd shouted ' hello ' several times in vain, an argument broke out behind a partition, and presently a lovely Jewess appeared at an interior door and scrutinized me with black hostile eyes."," Ale když jsem několikrát nadarmo zavolal "" haló "", ozvala se za přepážkou jakási hádka a nato se ve dveřích objevila rozkošná židovka a černýma nepřátelskýma očima si mě pátravě prohlížela."
"said","say","řekla","říci","pf"," ' Nobody 's in, ' she said."," "" Nikdo tu není, "" řekla."
"tells","tell","říká","říkat","impf"," ' Perhaps I am, but I have a - almost a second sight, sometimes, that tells me what to do."," "" Snad jsem, ale mám - mám skoro něco jako ještě jeden zrak, který mi občas říká, co mám dělat."
"do","do","dělat","dělat","impf"," ' Perhaps I am, but I have a - almost a second sight, sometimes, that tells me what to do."," "" Snad jsem, ale mám - mám skoro něco jako ještě jeden zrak, který mi občas říká, co mám dělat."
"believe","believe","nevěříte","věřit","impf"," Maybe you do n't believe that, but science - '"," Možná že tomu nevěříte, ale věda - """
"continued","continue","pokračoval","pokračovat","impf"," ' I 've made a small investigation of this fellow, ' he continued."," "" Sehnal jsem si o tom chlapíku pár informací, "" pokračoval."
"gone","go","jít","jít","impf"," ' I could have gone deeper if I 'd known - '"," "" Mohl jsem jít hlouběji, kdybych byl věděl - """
"mean","mean","Chceš","chtít","impf"," ' Do you mean you 've been to a medium? ' inquired Jordan humorously."," "" Chceš říct, žes byl u média? "" zavtipkovala Jordan."
"went","go","Chodil","chodit","impf"," ' He went to Oggsford College in England."," "" Chodil na ogsfordskou universitu v Anglii."
"heard","hear","Slyšel","slyšet","impf"," ' I 've heard of it. '"," "" Slyšel jsem o ní. """
"answered","answer","odpověděl","odpovědět","pf"," ' Several years, ' he answered in a gratified way."," "" Několik let, "" odpověděl s uspokojením."
"said","say","říkám","říkat","impf"," He looked - and this is said in all contempt for the babbled slander of his garden - as if he had ' killed a man. '"," Vypadal - a to říkám, třebaže si ani za mák nevážím žvanivých pomluv z jeho zahrady - jako by byl "" někoho zabil. """
"killed","kill","zabil","zabít","pf"," He looked - and this is said in all contempt for the babbled slander of his garden - as if he had ' killed a man. '"," Vypadal - a to říkám, třebaže si ani za mák nevážím žvanivých pomluv z jeho zahrady - jako by byl "" někoho zabil. """
"described","describe","popsat","popsat","pf"," For a moment the set of his face could be described in just that fantastic way."," Výraz jeho obličeje bylo možno na okamžik popsat právě tímto fantastickým způsobem."
"passed","pass","Přešlo","přejít","pf"," It passed, and he began to talk excitedly to Daisy, denying everything, defending his name against accusations that had not been made."," Přešlo to a on začal vzrušeně mluvit k Daisy, všechno popřel a obhajoval svou pověst proti obviněním, která nebyla vůbec vyřčena."
"began","begin","začal","začít","pf"," It passed, and he began to talk excitedly to Daisy, denying everything, defending his name against accusations that had not been made."," Přešlo to a on začal vzrušeně mluvit k Daisy, všechno popřel a obhajoval svou pověst proti obviněním, která nebyla vůbec vyřčena."
"talk","talk","mluvit","mluvit","impf"," It passed, and he began to talk excitedly to Daisy, denying everything, defending his name against accusations that had not been made."," Přešlo to a on začal vzrušeně mluvit k Daisy, všechno popřel a obhajoval svou pověst proti obviněním, která nebyla vůbec vyřčena."
"denying","deny","popřel","popřít","pf"," It passed, and he began to talk excitedly to Daisy, denying everything, defending his name against accusations that had not been made."," Přešlo to a on začal vzrušeně mluvit k Daisy, všechno popřel a obhajoval svou pověst proti obviněním, která nebyla vůbec vyřčena."
"defending","defend","obhajoval","obhajovat","impf"," It passed, and he began to talk excitedly to Daisy, denying everything, defending his name against accusations that had not been made."," Přešlo to a on začal vzrušeně mluvit k Daisy, všechno popřel a obhajoval svou pověst proti obviněním, která nebyla vůbec vyřčena."
"say","say","řekni","říci","pf"," Stand up now, and say - How-de-do. '"," Tak se postav a řekni - Dobrý den. """
"took","take","uchopili","uchopit","pf"," Gatsby and I in turn leaned down and took the small reluctant hand."," Gatsby i já jsme se střídavě uklonili a uchopili malou zdráhající se ručku."
"think","think","Myslím","myslet","impf"," I do n't think he had ever really believed in its existence before."," Myslím, že do té doby sotva skutečně uvěřil v jeho existenci."
"believed","believe","Myslím","myslet","impf"," I do n't think he had ever really believed in its existence before."," Myslím, že do té doby sotva skutečně uvěřil v jeho existenci."
"believed","believe","uvěřil","uvěřit","pf"," I do n't think he had ever really believed in its existence before."," Myslím, že do té doby sotva skutečně uvěřil v jeho existenci."
"dressed","dress","Oblékla","obléknout","pf"," ' I got dressed before luncheon, ' said the child, turning eagerly to Daisy."," "" Oblékla jsem se před obědem, "" řeklo dítě a obrátilo se dychtivě k Daisy."
"said","say","řeklo","říci","pf"," ' I got dressed before luncheon, ' said the child, turning eagerly to Daisy."," "" Oblékla jsem se před obědem, "" řeklo dítě a obrátilo se dychtivě k Daisy."
"turning","turn","obrátilo","obrátit","pf"," ' I got dressed before luncheon, ' said the child, turning eagerly to Daisy."," "" Oblékla jsem se před obědem, "" řeklo dítě a obrátilo se dychtivě k Daisy."
"wanted","want","chtěla","chtít","impf"," ' That 's because your mother wanted to show you off. '"," "" To proto, že se s tebou maminka chtěla pochlubit. """
"heard","hear","zaslechl","zaslechnout","pf"," I had heard some story of her too, a critical, unpleasant story, but what it was I had forgotten long ago."," Také jsem o ní zaslechl nějakou historku, kritickou, nepříjemnou historku, ale už dávno jsem zapomněl, co to bylo."
"forgotten","forget","zapomněl","zapomenout","pf"," I had heard some story of her too, a critical, unpleasant story, but what it was I had forgotten long ago."," Také jsem o ní zaslechl nějakou historku, kritickou, nepříjemnou historku, ale už dávno jsem zapomněl, co to bylo."
"said","say","řekla","říci","pf"," ' Good night, ' she said softly."," "" Dobrou noc, "" řekla měkce."
"heard","hear","uslyšel","uslyšet","pf"," With fenders spread like wings we scattered light through half Astoria - only half, for as we twisted among the pillars of the elevated I heard the familiar ' jug-jug-j/ ia */ ' of a motorcycle, and a frantic policeman rode alongside."," S blatníky rozpjatými jako křídla přenesli jsme se lehce přes půl Astorie - jen půl, poněvadž když jsme proklouzli kolem pilířů zvýšené dráhy, uslyšel jsem povědomé "" puf - puf - puf "" motocyklu a vedle nás se objevil rozzuřený strážník."
"called","call","zvolal","zvolat","pf"," ' All right, old sport, ' called Gatsby."," "" Dobrá, kamaráde, "" zvolal Gatsby."
"slowed","slow","Zpomalili","zpomalit","pf"," We slowed down."," Zpomalili jsme."
"Taking","take","Vyňal","vyjmout","pf"," Taking a white card from his wallet, he waved it before the man 's eyes."," Vyňal z náprsní tašky bílý lístek a zamával mu s ním před očima."
"waved","wave","zamával","zamávat","pf"," Taking a white card from his wallet, he waved it before the man 's eyes."," Vyňal z náprsní tašky bílý lístek a zamával mu s ním před očima."
"dressed","dress","oblečena","obléci","pf"," She was dressed to play golf, and I remember thinking she looked like a good illustration, her chin raised a little jauntily, her hair the colour of an autumn leaf, her face the same brown tint as the fingerless glove on her knee."," Byla oblečena na golf a vzpomínám si, že jsem si myslel, že vypadá jako dobrá ilustrace, - bradu trochu okázale zdviženou a vlasy barvy podzimního listí, tvář téhož hnědavého nádechu jako rukavice bez prstů, které měla na koleně."
"remember","remember","vzpomínám","vzpomínat","impf"," She was dressed to play golf, and I remember thinking she looked like a good illustration, her chin raised a little jauntily, her hair the colour of an autumn leaf, her face the same brown tint as the fingerless glove on her knee."," Byla oblečena na golf a vzpomínám si, že jsem si myslel, že vypadá jako dobrá ilustrace, - bradu trochu okázale zdviženou a vlasy barvy podzimního listí, tvář téhož hnědavého nádechu jako rukavice bez prstů, které měla na koleně."
"thinking","think","myslel","myslet","impf"," She was dressed to play golf, and I remember thinking she looked like a good illustration, her chin raised a little jauntily, her hair the colour of an autumn leaf, her face the same brown tint as the fingerless glove on her knee."," Byla oblečena na golf a vzpomínám si, že jsem si myslel, že vypadá jako dobrá ilustrace, - bradu trochu okázale zdviženou a vlasy barvy podzimního listí, tvář téhož hnědavého nádechu jako rukavice bez prstů, které měla na koleně."
"thinking","think","měla","mít","impf"," She was dressed to play golf, and I remember thinking she looked like a good illustration, her chin raised a little jauntily, her hair the colour of an autumn leaf, her face the same brown tint as the fingerless glove on her knee."," Byla oblečena na golf a vzpomínám si, že jsem si myslel, že vypadá jako dobrá ilustrace, - bradu trochu okázale zdviženou a vlasy barvy podzimního listí, tvář téhož hnědavého nádechu jako rukavice bez prstů, které měla na koleně."
"told","tell","oznámila","oznámit","pf"," When I had finished she told me without comment that she was engaged to another man."," Když jsem domluvil, oznámila mi bez komentáře, že se zasnoubila s někým jiným."
"doubted","doubt","Pochyboval","pochybovat","impf"," I doubted that, though there were several she could have married at a nod of her head, but I pretended to be surprised."," Pochyboval jsem o tom, ačkoliv existovalo několik mužů, které si mohla vzít, jen kývnout prstem, ale předstíral jsem, že mě to překvapuje."
"pretended","pretend","předstíral","předstírat","impf"," I doubted that, though there were several she could have married at a nod of her head, but I pretended to be surprised."," Pochyboval jsem o tom, ačkoliv existovalo několik mužů, které si mohla vzít, jen kývnout prstem, ale předstíral jsem, že mě to překvapuje."
"surprised","surprise","překvapuje","překvapovat","impf"," I doubted that, though there were several she could have married at a nod of her head, but I pretended to be surprised."," Pochyboval jsem o tom, ačkoliv existovalo několik mužů, které si mohla vzít, jen kývnout prstem, ale předstíral jsem, že mě to překvapuje."
"began","begin","začal","začít","pf"," After a moment Tom got up and began wrapping the unopened bottle of whisky in the towel."," Po chvíli Tom vstal a začal balit neotevřenou láhev whisky do ručníku."
"wrapping","wrap","balit","balit","impf"," After a moment Tom got up and began wrapping the unopened bottle of whisky in the towel."," Po chvíli Tom vstal a začal balit neotevřenou láhev whisky do ručníku."
"answer","answer","Neodpověděl","odpovědět","pf"," I did n't answer."," Neodpověděl jsem."
"asked","ask","zeptal","zeptat","pf"," He asked again."," "" Nicku? "" zeptal se znova."
"remembered","remember","vzpomněl","vzpomenout","pf"," I just remembered that today 's my birthday. '"," Jenom jsem si vzpomněl, že mám dnes narozeniny. """
"explained","explain","vysvětlovala","vysvětlovat","impf"," ' In case there 's a fire or a flood, ' she explained, ' or any act of God. '"," "" Pro případ, že by vypukl oheň nebo přišla povodeň, "" vysvětlovala mi, "" nebo vůbec nějaký zásah vyšší moci. """
"said","say","řekl","říci","pf"," ' Do you mind if I eat with some people over here? ' he said."," "" Nebude vám vadit, když povečeřím s nějakými lidmi tamhle naproti? "" řekl."
"answered","answer","odpověděla","odpovědět","pf"," ' Go ahead, ' answered Daisy genially, ' and if you want to take down any addresses here 's my little gold pencil. ' ..."," "" Jen běž, "" odpověděla Daisy vesele, "" a jestli si chceš zapsat nějaké adresy, tady máš mou zlatou tužtičku. "" ..."
"want","want","chceš","chtít","impf"," ' Go ahead, ' answered Daisy genially, ' and if you want to take down any addresses here 's my little gold pencil. ' ..."," "" Jen běž, "" odpověděla Daisy vesele, "" a jestli si chceš zapsat nějaké adresy, tady máš mou zlatou tužtičku. "" ..."
"talking","talk","Mluví","mluvit","impf"," ' She 's been talking about it for ten years. '"," "" Mluví o tom už deset let. """
"rested","rest","opřel","opřít","pf"," He rested for a moment against the pump, shading his eyes."," Na chvíli se opřel o pumpu a zaclonil si oči."
"going","go","půjde","jít","impf"," ' And now she 's going whether she wants to or not."," "" A teď půjde, ať chce nebo nechce."
"wants","want","chce","chtít","impf"," ' And now she 's going whether she wants to or not."," "" A teď půjde, ať chce nebo nechce."
"wants","want","nechce","chtít","impf"," ' And now she 's going whether she wants to or not."," "" A teď půjde, ať chce nebo nechce."
"get","get","Dostanu","dostat","pf"," I 'm going to get her away. '"," Dostanu ji odtud. """
"got","get","přišel","přijít","pf"," ' I just got wised up to something funny the last two days, ' remarked Wilson."," "" Tyhle dva dni jsem přišel na to, že tu něco neklape, "" poznamenal Wilson."
"remarked","remark","poznamenal","poznamenat","pf"," ' I just got wised up to something funny the last two days, ' remarked Wilson."," "" Tyhle dva dni jsem přišel na to, že tu něco neklape, "" poznamenal Wilson."
"gazed","gaze","hleděl","hledět","impf"," After a moment the proprietor emerged from the interior of his establishment and gazed hollow-eyed at the car."," Po chvilce se zevnitř vynořil majitel podniku a hleděl vyvalenýma očima na auto."
"cried","cry","vykřikl","vykřiknout","pf"," ' Let 's have some gas! ' cried Tom roughly."," "" Dejte nám trochu benzinu, "" vykřikl Tom hrubě."
"think","think","myslíte","myslet","impf"," ' What do you think we stopped for - to admire the view? '"," "" Proč myslíte, že jsme zastavili - abychom se rozplývali nad vyhlídkou? """
"said","say","řekl","říci","pf"," ' I 'm sick, ' said Wilson without moving."," "" Je mi špatně, "" řekl Wilson a ani se nehnul."
"moving","move","nehnul","hnout","pf"," ' I 'm sick, ' said Wilson without moving."," "" Je mi špatně, "" řekl Wilson a ani se nehnul."
"see","see","vidím","vidět","impf"," ' I 'm delighted to see you, ' said Gatsby, standing on his porch."," "" Těší mě, že vás vidím, "" řekl Gatsby, stojící u vchodu."
"said","say","řekl","říci","pf"," ' I 'm delighted to see you, ' said Gatsby, standing on his porch."," "" Těší mě, že vás vidím, "" řekl Gatsby, stojící u vchodu."
"cared","care","záleželo","záležet","impf"," As though they cared!"," Jako by jim na tom záleželo!"
"walked","walk","Chodil","chodit","impf"," He walked around the room quickly, ringing bells."," Chodil rychle po pokoji a zvonil."
"ringing","ring","zvonil","zvonit","impf"," He walked around the room quickly, ringing bells."," Chodil rychle po pokoji a zvonil."
"see","see","Vidíte","vidět","impf"," ' You must see the faces of many people you 've heard about. '"," "" Vidíte přece tváře mnoha lidí, o kterých jste už slyšela. """
"heard","hear","slyšela","slyšet","impf"," ' You must see the faces of many people you 've heard about. '"," "" Vidíte přece tváře mnoha lidí, o kterých jste už slyšela. """
"indicated","indicate","ukázal","ukázat","pf"," ' Perhaps you know that lady, ' Gatsby indicated a gorgeous, scarcely human orchid of a woman who sat in state under a white-plum tree."," "" Tamhle tu dámu snad znáte, "" Gatsby ukázal na oslnivou, stěží lidskou ženskou orchidej, která seděla v plném lesku pod bílou švestkou."
"sat","sit","seděla","sedět","impf"," ' Perhaps you know that lady, ' Gatsby indicated a gorgeous, scarcely human orchid of a woman who sat in state under a white-plum tree."," "" Tamhle tu dámu snad znáte, "" Gatsby ukázal na oslnivou, stěží lidskou ženskou orchidej, která seděla v plném lesku pod bílou švestkou."
"got","get","Dostal","dostat","pf"," ' I got to West Egg by a side road, ' he went on, ' and left the car in my garage."," "" Dostal jsem se na Západní Vejce vedlejší silnicí, "" pokračoval, "" a nechal jsem vůz ve své garáži."
"went","go","pokračoval","pokračovat","impf"," ' I got to West Egg by a side road, ' he went on, ' and left the car in my garage."," "" Dostal jsem se na Západní Vejce vedlejší silnicí, "" pokračoval, "" a nechal jsem vůz ve své garáži."
"left","leave","nechal","nechat","pf"," ' I got to West Egg by a side road, ' he went on, ' and left the car in my garage."," "" Dostal jsem se na Západní Vejce vedlejší silnicí, "" pokračoval, "" a nechal jsem vůz ve své garáži."
"think","think","Myslím","myslet","impf"," I do n't think anybody saw us, but of course I ca n't be sure. '"," Myslím, že nás nikdo neviděl, ale jisté to ovšem není. """
"saw","see","neviděl","vidět","impf"," I do n't think anybody saw us, but of course I ca n't be sure. '"," Myslím, že nás nikdo neviděl, ale jisté to ovšem není. """
"find","find","nepovažoval","považovat","impf"," I disliked him so much by this time that I did n't find it necessary to tell him he was wrong."," Ošklivil se mi nyní tolik, že jsem nepovažoval za nutné mu říct, že se mýlí."
"tell","tell","říct","říci","pf"," I disliked him so much by this time that I did n't find it necessary to tell him he was wrong."," Ošklivil se mi nyní tolik, že jsem nepovažoval za nutné mu říct, že se mýlí."
"began","begin","začal","začít","pf"," A little overwhelmed, I began the generalized evasions which that question deserves."," Trochu mě to ohromilo a začal jsem se všeobecnými vytáčkami, jaké si podobná otázka zaslouží."
"deserves","deserve","zaslouží","zasloužit","pf"," A little overwhelmed, I began the generalized evasions which that question deserves."," Trochu mě to ohromilo a začal jsem se všeobecnými vytáčkami, jaké si podobná otázka zaslouží."
"tell","tell","povím","povědět","pf"," ' Well, I 'm going to tell you something about my life, ' he interrupted."," "" No dobře, povím vám něco o svém životě, "" přerušil mě."
"interrupted","interrupt","přerušil","přerušit","pf"," ' Well, I 'm going to tell you something about my life, ' he interrupted."," "" No dobře, povím vám něco o svém životě, "" přerušil mě."
"want","want","Nechci","chtít","impf"," T do n't want you to get a wrong idea of me from all these stories you hear. '"," "" Nechci, abyste měl o mně mylný názor, po všech těch historkách, které slyšíte. """
"hear","hear","slyšíte","slyšet","impf"," T do n't want you to get a wrong idea of me from all these stories you hear. '"," "" Nechci, abyste měl o mně mylný názor, po všech těch historkách, které slyšíte. """
"tell","tell","Řeknu","říci","pf"," ' I 'll tell you God 's truth. '"," "" Řeknu vám jen svatou pravdu. """
"recognized","recognize","poznal","poznat","pf"," The fact was infinitely astonishing to him, and I recognized first the unusual quality of wonder, and then the man - it was the late patron of Gatsby 's library."," Byl tím nesmírně překvapen a já jsem poznal nejdřív neobvyklý způsob údivu a potom toho člověka - byl to pozdní návštěvník Gatsbyho knihovny."
"said","say","řekl","říci","pf"," ' I know nothing whatever about mechanics, ' he said decisively."," "" Nevím vůbec nic o mašinách, "" řekl rozhodně."
"ask","ask","Neptejte","ptát","impf"," ' Do n't ask me, ' said Owl Eyes, washing his hands of the whole matter."," "" Neptejte se mě, "" řekl muž se sovíma očima a umyl si nad celou záležitostí ruce."
"said","say","řekl","říci","pf"," ' Do n't ask me, ' said Owl Eyes, washing his hands of the whole matter."," "" Neptejte se mě, "" řekl muž se sovíma očima a umyl si nad celou záležitostí ruce."
"washing","wash","umyl","umýt","pf"," ' Do n't ask me, ' said Owl Eyes, washing his hands of the whole matter."," "" Neptejte se mě, "" řekl muž se sovíma očima a umyl si nad celou záležitostí ruce."
"started","start","vyjeli","vyjet","pf"," It was seven o'clock when we got into the coupd with him and started for Long Island."," Bylo sedm hodin, když jsme s ním nasedli do roadsteru a vyjeli k Long Islandu."
"talked","talk","mluvil","mluvit","impf"," Tom talked incessantly, exulting and laughing, but his voice was as remote from Jordan and me as the foreign clamour on the sidewalk or the tumult of the elevated overhead."," Tom bez ustání mluvil, jásal a smál se, ale jeho hlas byl od Jordan i ode mne tak daleko, jako cizí lomoz na chodníku, nebo hřmění zvýšené dráhy nad hlavou."
"exulting","exult","jásal","jásat","impf"," Tom talked incessantly, exulting and laughing, but his voice was as remote from Jordan and me as the foreign clamour on the sidewalk or the tumult of the elevated overhead."," Tom bez ustání mluvil, jásal a smál se, ale jeho hlas byl od Jordan i ode mne tak daleko, jako cizí lomoz na chodníku, nebo hřmění zvýšené dráhy nad hlavou."
"convinced","convince","Přesvědčila","přesvědčit","pf"," She convinced herself of it, and cried into her handkerchief, as if the very suggestion was more than she could endure."," Přesvědčila o tom sama sebe a plakala do kapesníku, jako by už jen pouhá taková domněnka byla víc, než může snést."
"cried","cry","plakala","plakat","impf"," She convinced herself of it, and cried into her handkerchief, as if the very suggestion was more than she could endure."," Přesvědčila o tom sama sebe a plakala do kapesníku, jako by už jen pouhá taková domněnka byla víc, než může snést."
"endure","endure","snést","snést","pf"," She convinced herself of it, and cried into her handkerchief, as if the very suggestion was more than she could endure."," Přesvědčila o tom sama sebe a plakala do kapesníku, jako by už jen pouhá taková domněnka byla víc, než může snést."
"remain","remain","zůstat","zůstat","pf"," So Wilson was reduced to a man ' deranged by grief in order that the case might remain in its simplest form."," A tak z Wilsona udělali prostě člověka "" pomateného zármutkem "", aby případ mohl zůstat co nejjednodušší."
"seemed","seem","zdála","zdát","impf"," But all this part of it seemed remote and unessential."," Ale tato část celé záležitosti se zdála vzdálená a nepodstatná."
"found","find","octl","octnout","pf"," I found myself on Gatsby 's side, and alone."," Já se octl na Gatsbyho straně, a sám."
"tried","try","Pokusil","pokusit","pf"," I tried to show by my expression that I expected no affection."," Pokusil jsem se tvářit, jako že od ní žádnou milostnou přízeň neočekávám."
"expected","expect","neočekávám","očekávat","impf"," I tried to show by my expression that I expected no affection."," Pokusil jsem se tvářit, jako že od ní žádnou milostnou přízeň neočekávám."
"made","make","dělám","dělat","impf"," I knew right away I made a mistake."," Věděla jsem hned, že dělám chybu."
"borrowed","borrow","vypůjčil","vypůjčit","pf"," He borrowed somebody 's best suit to get married in, and never even told me about it, and the man came after it one day when he was out :"," Parádní šaty na svatbu si od někoho vypůjčil a ani slovo mi o tom neřekl, a ten člověk si pro ně jednou přišel, když on byl zrovna pryč."
"told","tell","neřekl","říci","pf"," He borrowed somebody 's best suit to get married in, and never even told me about it, and the man came after it one day when he was out :"," Parádní šaty na svatbu si od někoho vypůjčil a ani slovo mi o tom neřekl, a ten člověk si pro ně jednou přišel, když on byl zrovna pryč."
"get","get","přišel","přijít","pf"," He borrowed somebody 's best suit to get married in, and never even told me about it, and the man came after it one day when he was out :"," Parádní šaty na svatbu si od někoho vypůjčil a ani slovo mi o tom neřekl, a ten člověk si pro ně jednou přišel, když on byl zrovna pryč."
"came","come","přišel","přijít","pf"," He borrowed somebody 's best suit to get married in, and never even told me about it, and the man came after it one day when he was out :"," Parádní šaty na svatbu si od někoho vypůjčil a ani slovo mi o tom neřekl, a ten člověk si pro ně jednou přišel, když on byl zrovna pryč."
"heard","hear","slyším","slyšet","impf"," "" This is the first I ever heard about it. """," ' To je po prvé, co o tom slyším. '"
"saw","see","Viděl","vidět","impf"," He saw me looking with admiration at his car."," Viděl, jak se s obdivem dívám na jeho auto."
"saw","see","dívám","dívat","impf"," He saw me looking with admiration at his car."," Viděl, jak se s obdivem dívám na jeho auto."
"looking","look","dívám","dívat","impf"," He saw me looking with admiration at his car."," Viděl, jak se s obdivem dívám na jeho auto."
"seen","see","neviděl","vidět","impf"," ' Have n't you ever seen it before? '"," "" To jste ho ještě neviděl? """
"seen","see","Viděl","vidět","impf"," I 'd seen it."," Viděl jsem je."
"seen","see","viděli","vidět","impf"," Everybody had seen it."," Všichni je viděli."
"hear","hear","neslyšel","slyšet","impf"," I did n't hear the rest of the name, because I hung up the receiver."," Zbytek jména jsem neslyšel, protože jsem zavěsil."
