"saw","see","uviděl","uvidět","pf"," Then he saw the corn and the meat and the potatoes."," Potom uviděl kukuřici, maso a brambory."
"working","work","pracovali","pracovat","impf"," They were based for most of the week at Richmond Park in London, being briefed on new methods or working on unexploded bombs while fallow deer drifted around them."," Většinu týdne trávili na základně v Richmond Park v Londýně, byli tam seznamováni s novými metodami, anebo pracovali na nevybuchlých bombách, zatímco kolem nich parkem pobíhali daňci."
"found","find","našla","najít","pf"," She is always made to feel that she is the one who has found him, this man who knows darkness, who when drunk used to claim he was brought up by a family of owls."," Caravaggio Hanu vždycky nechá, aby si myslela, že ho našla ona, zrovna jeho, člověka, který se ve tmě vyzná, který v opilosti vždycky hlásal, že byl vychován soví rodinou."
"left","leave","odjel","odjet","pf"," After Madox left for England. """," Potom, co Madox odjel do Anglie? """
"pack","pack","sbalil","sbalit","pf"," I was supposed to make one more journey to the Gilf Kebir, to pack up the last of the base camp at Uweinat."," Měl jsem podniknout ještě jednu cestu do oblasti Gilf Kebíru, abych tam sbalil zbytek základního tábora v Uwénatu."
"thought","think","Myslel","myslet","impf"," I thought nothing more would happen between us."," Myslel jsem si, že už mezi námi k ničemu nedojde."
"met","meet","Nesetkal","setkat","pf"," I had not met her as a lover for almost a year."," Nesetkal jsem se s ní jako milenec téměř rok."
"preparing","prepare","připravovala","připravovat","impf"," A war was preparing itself somewhere like a hand entering an attic window."," Válka se kdesi připravovala jako ruka vnikající do podkrovního okna."
"ran","run","běžel","běžet","impf"," There was no light with him as he ran along the dark hall."," Beze světla běžel dlouhou chodbou."
"running","run","běžel","běžet","impf"," He scooped up the satchel, was out of the house and racing down the thirty-six chapel steps to the road, just running, cancelling the thought of exhaustion from his body."," Popadl brašnu a už byl venku z domu, hnal se po těch šestatřiceti schodech od kaple k silnici, prostě běžel a nepřipouštěl si žádnou myšlenku, jak je unavený."
"beginning","begin","začíná","začínat","impf"," The smell of flower and herb along the road wall, the beginning stitch at his side."," U cesty voní květiny a různé byliny a jeho začíná píchat v boku."
"hear","hear","Slyšel","slyšet","impf"," He could hear it all around him, surprised he was n't touched."," Slyšel pohyby všude kolem sebe, překvapovalo ho, že se ho nikdo nedotkl."
"surprised","surprise","překvapovalo","překvapovat","impf"," He could hear it all around him, surprised he was n't touched."," Slyšel pohyby všude kolem sebe, překvapovalo ho, že se ho nikdo nedotkl."
"touched","touch","nedotkl","dotknout","pf"," He could hear it all around him, surprised he was n't touched."," Slyšel pohyby všude kolem sebe, překvapovalo ho, že se ho nikdo nedotkl."
"walked","walk","šel","jít","impf"," Caravaggio walked over to the sofa and placed his hand down towards Hana."," Caravaggio šel k pohovce, shýbl se a natáhl ruku po Haně."
"Lying","lie","Ležel","ležet","impf"," Lying back on his cot at night, his arm raised within plaster, broken by his friends to protect him, to stop him trying to escape."," Ležel v noci na kavalci, paži v sádře zvednutou, zlomili mu ji přátelé, kteří se ho snažili chránit, zarazit ho, aby se nesnažil uprchnout."
"broken","break","zlomili","zlomit","pf"," Lying back on his cot at night, his arm raised within plaster, broken by his friends to protect him, to stop him trying to escape."," Ležel v noci na kavalci, paži v sádře zvednutou, zlomili mu ji přátelé, kteří se ho snažili chránit, zarazit ho, aby se nesnažil uprchnout."
"trying","try","snažili","snažit","impf"," Lying back on his cot at night, his arm raised within plaster, broken by his friends to protect him, to stop him trying to escape."," Ležel v noci na kavalci, paži v sádře zvednutou, zlomili mu ji přátelé, kteří se ho snažili chránit, zarazit ho, aby se nesnažil uprchnout."
"protect","protect","chránit","chránit","impf"," Lying back on his cot at night, his arm raised within plaster, broken by his friends to protect him, to stop him trying to escape."," Ležel v noci na kavalci, paži v sádře zvednutou, zlomili mu ji přátelé, kteří se ho snažili chránit, zarazit ho, aby se nesnažil uprchnout."
"stop","stop","zarazit","zarazit","pf"," Lying back on his cot at night, his arm raised within plaster, broken by his friends to protect him, to stop him trying to escape."," Ležel v noci na kavalci, paži v sádře zvednutou, zlomili mu ji přátelé, kteří se ho snažili chránit, zarazit ho, aby se nesnažil uprchnout."
"trying","try","nesnažil","snažit","impf"," Lying back on his cot at night, his arm raised within plaster, broken by his friends to protect him, to stop him trying to escape."," Ležel v noci na kavalci, paži v sádře zvednutou, zlomili mu ji přátelé, kteří se ho snažili chránit, zarazit ho, aby se nesnažil uprchnout."
"escape","escape","uprchnout","uprchnout","pf"," Lying back on his cot at night, his arm raised within plaster, broken by his friends to protect him, to stop him trying to escape."," Ležel v noci na kavalci, paži v sádře zvednutou, zlomili mu ji přátelé, kteří se ho snažili chránit, zarazit ho, aby se nesnažil uprchnout."
"insulted","insult","Neurazilo","urazit","pf"," He was not insulted when he heard I had signed up to replace him in the enlistment, no longer to be a doctor, he just laughed and sent a message through our father for me to be careful."," Neurazilo ho to, když slyšel, že jsem se přihlásil do armády, abych ho ve vojenské službě nahradil, a že už nebudu lékařem, jenom se zasmál a přes otce mi vzkázal, abych byl opatrný."
"heard","hear","slyšel","slyšet","impf"," He was not insulted when he heard I had signed up to replace him in the enlistment, no longer to be a doctor, he just laughed and sent a message through our father for me to be careful."," Neurazilo ho to, když slyšel, že jsem se přihlásil do armády, abych ho ve vojenské službě nahradil, a že už nebudu lékařem, jenom se zasmál a přes otce mi vzkázal, abych byl opatrný."
"replace","replace","nahradil","nahradit","pf"," He was not insulted when he heard I had signed up to replace him in the enlistment, no longer to be a doctor, he just laughed and sent a message through our father for me to be careful."," Neurazilo ho to, když slyšel, že jsem se přihlásil do armády, abych ho ve vojenské službě nahradil, a že už nebudu lékařem, jenom se zasmál a přes otce mi vzkázal, abych byl opatrný."
"laughed","laugh","zasmál","zasmát","pf"," He was not insulted when he heard I had signed up to replace him in the enlistment, no longer to be a doctor, he just laughed and sent a message through our father for me to be careful."," Neurazilo ho to, když slyšel, že jsem se přihlásil do armády, abych ho ve vojenské službě nahradil, a že už nebudu lékařem, jenom se zasmál a přes otce mi vzkázal, abych byl opatrný."
"go","go","dělám","dělat","impf"," He would never go to war against me or what I did."," Nikdy nevytáhne do boje proti mně anebo tomu, co dělám."
"did","do","dělám","dělat","impf"," He would never go to war against me or what I did."," Nikdy nevytáhne do boje proti mně anebo tomu, co dělám."
"stood","stand","Postavila","postavit","pf"," She stood on a chair at the foot of the bed and slowly tilted the mirror down at him."," Postavila se na židli v nohách postele a zvolna k němu zrcadlo skláněla."
"heard","hear","zaslechla","zaslechnout","pf"," She was in this position, her hands braced out in front of her, when she heard the faint shouts."," V této pozici, s rukama nataženýma před sebou, zaslechla slabé volání."
"Keep","keep","Držte","držet","impf"," "" Keep the mirror still, my dear, "" he said."," "" Držte to zrcadlo klidně, děvenko, "" ozval se."
"grown","grow","vyrůstal","vyrůstat","impf"," When he was a child he had grown up with an aunt, and on the grass of her lawn she had scattered a deck of cards face down and taught him the game of Pelmanism. Each player allowed to turn up two cards and, eventually, through memory pairing them off."," Jako dítě vyrůstal u tety a ta vždycky rozsypala na trávníku na zem balíček karet lícem dolů a učila ho pelmanismu, hře, kdy každý hráč smí otočit dvě karty a nakonec, pomocí paměti, z nich skládá dvojice."
"taught","teach","učila","učit","impf"," When he was a child he had grown up with an aunt, and on the grass of her lawn she had scattered a deck of cards face down and taught him the game of Pelmanism. Each player allowed to turn up two cards and, eventually, through memory pairing them off."," Jako dítě vyrůstal u tety a ta vždycky rozsypala na trávníku na zem balíček karet lícem dolů a učila ho pelmanismu, hře, kdy každý hráč smí otočit dvě karty a nakonec, pomocí paměti, z nich skládá dvojice."
"allowed","allow","smí","smět","impf"," When he was a child he had grown up with an aunt, and on the grass of her lawn she had scattered a deck of cards face down and taught him the game of Pelmanism. Each player allowed to turn up two cards and, eventually, through memory pairing them off."," Jako dítě vyrůstal u tety a ta vždycky rozsypala na trávníku na zem balíček karet lícem dolů a učila ho pelmanismu, hře, kdy každý hráč smí otočit dvě karty a nakonec, pomocí paměti, z nich skládá dvojice."
"turn","turn","otočit","otočit","pf"," When he was a child he had grown up with an aunt, and on the grass of her lawn she had scattered a deck of cards face down and taught him the game of Pelmanism. Each player allowed to turn up two cards and, eventually, through memory pairing them off."," Jako dítě vyrůstal u tety a ta vždycky rozsypala na trávníku na zem balíček karet lícem dolů a učila ho pelmanismu, hře, kdy každý hráč smí otočit dvě karty a nakonec, pomocí paměti, z nich skládá dvojice."
"recognize","recognize","rozpoznat","rozpoznat","pf"," This had been in another landscape, of trout streams, birdcalls that he could recognize from a halting fragment."," To bývalo v jiné krajině, kde byli v potocích pstruzi a ozývalo se ptačí volání, které dokázal rozpoznat i z kusých úryvků."
"enters","enter","vejde","vejít","pf"," When she enters she sees Kip and the English patient passing a can of condensed milk back and forth."," Když Hana vejde dovnitř, vidí Kipa a anglického pacienta, jak si mezi sebou podávají plechovku kondenzovaného mléka."
"sees","see","vidí","vidět","impf"," When she enters she sees Kip and the English patient passing a can of condensed milk back and forth."," Když Hana vejde dovnitř, vidí Kipa a anglického pacienta, jak si mezi sebou podávají plechovku kondenzovaného mléka."
"passing","pass","podávají","podávat","impf"," When she enters she sees Kip and the English patient passing a can of condensed milk back and forth."," Když Hana vejde dovnitř, vidí Kipa a anglického pacienta, jak si mezi sebou podávají plechovku kondenzovaného mléka."
"helped","help","pomáhala","pomáhat","impf"," The distraction of music helped him towards clear thought, to the possible forms of structure in the mine, to the personality that had laid the city of threads and then poured wet concrete over it."," Rozptylující hudba mu pomáhala jasně myslet, soustředit se na možnou konstrukci miny, na bytost, která položila celou velkoměstskou spleť vláken a potom je zalila mokrým betonem."
"laid","lay","položila","položit","pf"," The distraction of music helped him towards clear thought, to the possible forms of structure in the mine, to the personality that had laid the city of threads and then poured wet concrete over it."," Rozptylující hudba mu pomáhala jasně myslet, soustředit se na možnou konstrukci miny, na bytost, která položila celou velkoměstskou spleť vláken a potom je zalila mokrým betonem."
"meant","mean","znamenalo","znamenat","impf"," The tightening of the concrete ball in midair, braced with a second rope, meant the two wires would not pull away, no matter how hard he attacked it."," Upevnění betonové hroudy ve vzduchu, podpořené druhým lanem, znamenalo, že se ty dva dráty nevytrhnou, bez ohledu, jak intenzivně se do toho pustí."
"began","begin","začal","začít","pf"," He stood up and began to chisel the disguised mine gently, blowing away loose grain with his mouth, using the feather stick, chipping more concrete off."," Zvedl se a začal jemně osekávat zamaskovanou minu, ústy odfoukával uvolněnou drť, použil peroutku a zas odštípl kousek betonu."
"using","use","použil","použít","pf"," He stood up and began to chisel the disguised mine gently, blowing away loose grain with his mouth, using the feather stick, chipping more concrete off."," Zvedl se a začal jemně osekávat zamaskovanou minu, ústy odfoukával uvolněnou drť, použil peroutku a zas odštípl kousek betonu."
"met","meet","poznala","poznat","pf"," Then I met him, the man burned black."," A pak jsem poznala jeho, člověka do černa popáleného."
"adapted","adapt","přizpůsobili","přizpůsobit","pf"," After a week of the Sikh sapper 's presence around the villa they adapted to his habits of eating."," Po týdnu, co se sikhský ženista pohyboval kolem vily, se přizpůsobili jeho způsobu stravování."
"nods","nod","Přikývne","přikývnout","pf"," He nods and the pattern of leaves rolls off him."," Přikývne a krajkoví listí z jeho tváře mizí."
"painted","paint","malují","malovat","impf"," "" You used to be like those artists who painted only at night, a single light on in their street."," "" Bývals jako ti malíři, co malují jenom v noci, jediné rozsvícené světlo v jejich ulici."
"took","take","Vzal","vzít","pf"," You took me to that place, that cafe "" where they sold them."," Vzal jsi mě tam, do té kavárny, kde je prodávali."
"sold","sell","prodávali","prodávat","impf"," You took me to that place, that cafe "" where they sold them."," Vzal jsi mě tam, do té kavárny, kde je prodávali."
"bear","bear","snést","snést","pf"," Half my days I cannot bear not to touch you."," Polovinu dnů nemohu snést, že se tě nedotýkám."
"touch","touch","nedotýkám","dotýkat","impf"," Half my days I cannot bear not to touch you."," Polovinu dnů nemohu snést, že se tě nedotýkám."
"feel","feel","cítím","cítit","impf"," The rest of the time I feel it does n't matter"," Zbytek času cítím, že je jedno,"
"see","see","uvidím","uvidět","pf"," if I ever see you again."," zda tě ještě uvidím."
"bear","bear","snese","snést","pf"," it is how much you can bear."," ale o to, kolik člověk snese."
"attached","attach","připojeno","připojit","pf"," No date, no name attached."," Není připojeno datum ani jméno."
"sits","sit","Sedí","sedět","impf"," It sits on the petrol tank facing him, the black body in an embrace with his, facing the past over his shoulder, facing the countryside they are flying from, that receding palace of strangers on the Italian hill which shall never be rebuilt. "" And my words which I have put in thy mouth shall not depart out of thy mouth."," Sedí na benzinové nádrži čelem k němu, černé tělo, které ho objímá a hledí mu přes rameno do minulosti, hledí na krajinu, odkud prchají, na vzdalující se sídlo cizinců na italském kopci, které už nikdy nebude obnoveno."
"embrace","embrace","objímá","objímat","impf"," It sits on the petrol tank facing him, the black body in an embrace with his, facing the past over his shoulder, facing the countryside they are flying from, that receding palace of strangers on the Italian hill which shall never be rebuilt. "" And my words which I have put in thy mouth shall not depart out of thy mouth."," Sedí na benzinové nádrži čelem k němu, černé tělo, které ho objímá a hledí mu přes rameno do minulosti, hledí na krajinu, odkud prchají, na vzdalující se sídlo cizinců na italském kopci, které už nikdy nebude obnoveno."
"rebuilt","rebuild","obnoveno","obnovit","pf"," It sits on the petrol tank facing him, the black body in an embrace with his, facing the past over his shoulder, facing the countryside they are flying from, that receding palace of strangers on the Italian hill which shall never be rebuilt. "" And my words which I have put in thy mouth shall not depart out of thy mouth."," Sedí na benzinové nádrži čelem k němu, černé tělo, které ho objímá a hledí mu přes rameno do minulosti, hledí na krajinu, odkud prchají, na vzdalující se sídlo cizinců na italském kopci, které už nikdy nebude obnoveno."
"love","love","milovat","milovat","impf"," "" I can love him. """," "" Můžu ho milovat. """
"love","love","milovala","milovat","impf"," "" A twenty-year-old who throws herself out of the world to love a ghost! """," "" Dvacetiletá, která sama od sebe opustí tento svět, aby milovala přízrak! """
"protect","protect","chránit","chránit","impf"," "" You have to protect yourself from sadness."," "" Musíš se chránit před smutkem."
"learned","learn","poznal","poznat","pf"," This is the thing I learned."," Sám jsem to poznal."
"thinking","think","myslíš","myslet","impf"," If you take in someone else 's poison- thinking you can cure them by sharing it-you will instead store it within you."," Jestliže pozřeš jed někoho druhého - a myslíš si, že ho tím uzdravíš, když se s ním o něj podělíš - uložíš místo toho ten jed v sobě."
"cure","cure","uzdravíš","uzdravit","pf"," If you take in someone else 's poison- thinking you can cure them by sharing it-you will instead store it within you."," Jestliže pozřeš jed někoho druhého - a myslíš si, že ho tím uzdravíš, když se s ním o něj podělíš - uložíš místo toho ten jed v sobě."
"sharing","share","podělíš","podělit","pf"," If you take in someone else 's poison- thinking you can cure them by sharing it-you will instead store it within you."," Jestliže pozřeš jed někoho druhého - a myslíš si, že ho tím uzdravíš, když se s ním o něj podělíš - uložíš místo toho ten jed v sobě."
"store","store","uložíš","uložit","pf"," If you take in someone else 's poison- thinking you can cure them by sharing it-you will instead store it within you."," Jestliže pozřeš jed někoho druhého - a myslíš si, že ho tím uzdravíš, když se s ním o něj podělíš - uložíš místo toho ten jed v sobě."
"said","say","Řekl","říci","pf"," I said she was badly injured, in a cave in the Gilf Kebir, at Uweinat, north of the Ain Dua well."," Řekl jsem, že je těžce zraněná v jeskyni v oblasti Gilf Kebíru, v Uwénatu, severně od studny Ajn Dua."
"needed","need","Potřebuje","potřebovat","impf"," She needed water."," Potřebuje vodu."
"needed","need","Potřebuje","potřebovat","impf"," She needed food."," Potřebuje jídlo."
"go","go","Pojedu","jet","impf"," I would go back with them to guide them."," Pojedu s nimi zpátky, abych je tam dovedl."
"said","say","Řekl","říci","pf"," I said all I wanted was a jeep."," Řekl jsem, že chci jenom džíp."
"wanted","want","chci","chtít","impf"," I said all I wanted was a jeep."," Řekl jsem, že chci jenom džíp."
"beginning","begin","začínala","začínat","impf"," The war was beginning already."," Válka už začínala."
"whistling","whistle","píská","pískat","impf"," "" Who is whistling? "" asks the English patient one night, having not met or even seen the newcomer."," "" Kdo to píská? "" zeptal se jednou večer anglický pacient, který se s nově příchozím vojákem dosud nesetkal, ani ho nezahlédl."
"asks","ask","zeptal","zeptat","pf"," "" Who is whistling? "" asks the English patient one night, having not met or even seen the newcomer."," "" Kdo to píská? "" zeptal se jednou večer anglický pacient, který se s nově příchozím vojákem dosud nesetkal, ani ho nezahlédl."
"met","meet","nesetkal","setkat","pf"," "" Who is whistling? "" asks the English patient one night, having not met or even seen the newcomer."," "" Kdo to píská? "" zeptal se jednou večer anglický pacient, který se s nově příchozím vojákem dosud nesetkal, ani ho nezahlédl."
"seen","see","nezahlédl","zahlédnout","pf"," "" Who is whistling? "" asks the English patient one night, having not met or even seen the newcomer."," "" Kdo to píská? "" zeptal se jednou večer anglický pacient, který se s nově příchozím vojákem dosud nesetkal, ani ho nezahlédl."
"singing","sing","zpívá","zpívat","impf"," Always singing to himself as he lies upon the parapet looking up at a shift of clouds."," Pořád si pro sebe zpívá, když leží na parapetu a pozoruje pohybující se mraky."
"lies","lie","leží","ležet","impf"," Always singing to himself as he lies upon the parapet looking up at a shift of clouds."," Pořád si pro sebe zpívá, když leží na parapetu a pozoruje pohybující se mraky."
"remained","remain","zůstal","zůstat","pf"," He is the only one of them who has remained in uniform."," Jako jediný z nich zůstal v uniformě."
"appears","appear","vychází","vycházet","impf"," Immaculate, buckles shined, the sapper appears out of his tent, his turban symmetrically layered, the boots clean and banging into the wood or stone floors of the house."," Bez poskvrnky, knoflíky nablýskané, vychází ženista ze svého stanu, turban symetricky uvázaný, čisté vojenské boty rázně dopadají na dřevěné i kamenné podlahy domu."
"disappearing","disappear","mizí","mizet","impf"," Limbs begin disappearing in the suck of air."," Údy mizí, vzduch všechno nasává."
"reflected","reflect","odráží","odrážet","impf"," Caravaggio reflected in the black lake of his eye."," V černém jezeru jeho očí se odráží Caravaggio."
"flying","fly","Letí","letět","impf"," He is flying a rotted plane, the canvas sheetings on the wings ripping open in the speed."," Letí na shnilém letadle, plátěné potahy na křídlech se v té rychlosti trhají."
"ripping","rip","trhají","trhat","impf"," He is flying a rotted plane, the canvas sheetings on the wings ripping open in the speed."," Letí na shnilém letadle, plátěné potahy na křídlech se v té rychlosti trhají."
"wished","wish","Přál","přát","impf"," I wished to dedicate the monograph to her, to her voice, to her body that I imagined rose white out of a bed like a long bow, but it was a book I dedicated to a king."," Přál jsem si věnovat monografii jí, jejímu hlasu, jejímu tělu, které, jak jsem si představoval, se zvedá bílé z postele jako luk, ale věnoval jsem knihu králi."
"dedicate","dedicate","věnovat","věnovat","impf"," I wished to dedicate the monograph to her, to her voice, to her body that I imagined rose white out of a bed like a long bow, but it was a book I dedicated to a king."," Přál jsem si věnovat monografii jí, jejímu hlasu, jejímu tělu, které, jak jsem si představoval, se zvedá bílé z postele jako luk, ale věnoval jsem knihu králi."
"dedicated","dedicate","věnovat","věnovat","impf"," I wished to dedicate the monograph to her, to her voice, to her body that I imagined rose white out of a bed like a long bow, but it was a book I dedicated to a king."," Přál jsem si věnovat monografii jí, jejímu hlasu, jejímu tělu, které, jak jsem si představoval, se zvedá bílé z postele jako luk, ale věnoval jsem knihu králi."
"imagined","imagine","představoval","představovat","impf"," I wished to dedicate the monograph to her, to her voice, to her body that I imagined rose white out of a bed like a long bow, but it was a book I dedicated to a king."," Přál jsem si věnovat monografii jí, jejímu hlasu, jejímu tělu, které, jak jsem si představoval, se zvedá bílé z postele jako luk, ale věnoval jsem knihu králi."
"rose","rise","zvedá","zvedat","impf"," I wished to dedicate the monograph to her, to her voice, to her body that I imagined rose white out of a bed like a long bow, but it was a book I dedicated to a king."," Přál jsem si věnovat monografii jí, jejímu hlasu, jejímu tělu, které, jak jsem si představoval, se zvedá bílé z postele jako luk, ale věnoval jsem knihu králi."
"dedicate","dedicate","věnoval","věnovat","impf"," I wished to dedicate the monograph to her, to her voice, to her body that I imagined rose white out of a bed like a long bow, but it was a book I dedicated to a king."," Přál jsem si věnovat monografii jí, jejímu hlasu, jejímu tělu, které, jak jsem si představoval, se zvedá bílé z postele jako luk, ale věnoval jsem knihu králi."
"dedicated","dedicate","věnoval","věnovat","impf"," I wished to dedicate the monograph to her, to her voice, to her body that I imagined rose white out of a bed like a long bow, but it was a book I dedicated to a king."," Přál jsem si věnovat monografii jí, jejímu hlasu, jejímu tělu, které, jak jsem si představoval, se zvedá bílé z postele jako luk, ale věnoval jsem knihu králi."
"Believing","believe","Věřil","věřit","impf"," Believing such an obsession would be mocked, patronized by her polite and embarrassed shake of the head."," Věřil jsem, že by se takové posedlosti vysmála, odbyla ji zdvořilým a rozpačitým pokývnutím."
"began","begin","Začal","začít","pf"," I began to be doubly formal in her company."," Začal jsem v její společnosti udržovat dvojnásobně formální odstup."
"revealed","reveal","odhalena","odhalit","pf"," As if awkward about a previously revealed nakedness."," Jako bych se cítil trapně, že byla předčasně odhalena moje bezbrannost."
"desired","desire","chtěla","chtít","impf"," She would bang spikes into whatever walls she desired, whichever room she wanted to wake in, floating above all the filth and cordite and water on the floors, the rats that had started to appear coming down from the third storey."," Zatloukala si čepy do libovolných zdí, v kterékoli místnosti, kde se chtěla probudit, a vznášela se nad vší tou špínou, nitroglycerinovým prachem a vodou na podlahách, nad krysami, které se sem začaly odvažovat z třetího patra."
"wanted","want","chtěla","chtít","impf"," She would bang spikes into whatever walls she desired, whichever room she wanted to wake in, floating above all the filth and cordite and water on the floors, the rats that had started to appear coming down from the third storey."," Zatloukala si čepy do libovolných zdí, v kterékoli místnosti, kde se chtěla probudit, a vznášela se nad vší tou špínou, nitroglycerinovým prachem a vodou na podlahách, nad krysami, které se sem začaly odvažovat z třetího patra."
"wake","wake","probudit","probudit","pf"," She would bang spikes into whatever walls she desired, whichever room she wanted to wake in, floating above all the filth and cordite and water on the floors, the rats that had started to appear coming down from the third storey."," Zatloukala si čepy do libovolných zdí, v kterékoli místnosti, kde se chtěla probudit, a vznášela se nad vší tou špínou, nitroglycerinovým prachem a vodou na podlahách, nad krysami, které se sem začaly odvažovat z třetího patra."
"started","start","začaly","začít","pf"," She would bang spikes into whatever walls she desired, whichever room she wanted to wake in, floating above all the filth and cordite and water on the floors, the rats that had started to appear coming down from the third storey."," Zatloukala si čepy do libovolných zdí, v kterékoli místnosti, kde se chtěla probudit, a vznášela se nad vší tou špínou, nitroglycerinovým prachem a vodou na podlahách, nad krysami, které se sem začaly odvažovat z třetího patra."
"died","die","zemřel","zemřít","pf"," Each night she climbed into the khaki ghostline of hammock she had taken from a dead soldier, someone who had died under her care."," Každý večer vlezla do přízračného khaki hamaku, který sebrala mrtvému vojákovi, jednomu z těch, kdo zemřel, když o něho pečovala."
"carried","carry","nosila","nosit","impf"," She carried them in her suitcase, each containing a flake of pink rock and that wind."," Hana je s sebou nosila v kufříku, v každém se skrývala šupinka růžové skály a ten vítr."
"answered","answer","neodpověděla","odpovědět","pf"," But she has never answered them."," Nikdy však na ně neodpověděla."
"missed","miss","postrádá","postrádat","impf"," She has missed Clara with a woe but is unable to write to her, now, after all that has happened to her."," Bolestně Claru postrádá, ale není schopna jí napsat po všem tom, co se jí stalo."
"write","write","napsat","napsat","pf"," She has missed Clara with a woe but is unable to write to her, now, after all that has happened to her."," Bolestně Claru postrádá, ale není schopna jí napsat po všem tom, co se jí stalo."
"talk","talk","hovořit","hovořit","impf"," She cannot bear to talk of or even acknowledge the death of Patrick."," Není schopna hovořit o Patrickově smrti, anebo ji jen připustit."
"acknowledge","acknowledge","připustit","připustit","pf"," She cannot bear to talk of or even acknowledge the death of Patrick."," Není schopna hovořit o Patrickově smrti, anebo ji jen připustit."
"find","find","našla","najít","pf"," When she would sneak home in the early hours of the morning she would find him asleep on her father 's armchair, exhausted from professional or personal robberies."," Když se kdysi plížívala po půlnoci domů, obvykle ho našla, jak spí v otcově křesle, vyčerpán profesionálními i osobními zlodějnami."
"exhausted","exhaust","vyčerpán","vyčerpat","pf"," When she would sneak home in the early hours of the morning she would find him asleep on her father 's armchair, exhausted from professional or personal robberies."," Když se kdysi plížívala po půlnoci domů, obvykle ho našla, jak spí v otcově křesle, vyčerpán profesionálními i osobními zlodějnami."
"thought","think","Uvažovala","uvažovat","impf"," She thought about Caravaggio-some people you just had to embrace, in some way or another, had to bite into the muscle, to remain sane in their company."," Uvažovala o Caravaggiovi - některé lidi člověk prostě musí tak či onak přijmout, oblíbit si je, a musí se pořádně štípnout, aby si v jejich společnosti zachoval zdravý rozum."
"embrace","embrace","přijmout","přijmout","pf"," She thought about Caravaggio-some people you just had to embrace, in some way or another, had to bite into the muscle, to remain sane in their company."," Uvažovala o Caravaggiovi - některé lidi člověk prostě musí tak či onak přijmout, oblíbit si je, a musí se pořádně štípnout, aby si v jejich společnosti zachoval zdravý rozum."
"grab","grab","popadnout","popadnout","pf"," You needed to grab their hair and clutch it like a drowner so they would pull you into their midst."," Chce to popadnout je za pačesy a držet se jich jako tonoucí, aby vás vytáhli mezi sebe."
"clutch","clutch","popadnout","popadnout","pf"," You needed to grab their hair and clutch it like a drowner so they would pull you into their midst."," Chce to popadnout je za pačesy a držet se jich jako tonoucí, aby vás vytáhli mezi sebe."
"pull","pull","vytáhli","vytáhnout","pf"," You needed to grab their hair and clutch it like a drowner so they would pull you into their midst."," Chce to popadnout je za pačesy a držet se jich jako tonoucí, aby vás vytáhli mezi sebe."
"forgotten","forget","zapomněli","zapomenout","pf"," Within a week his real name, Kirpal Singh, had been forgotten."," Do týdne všichni zapomněli na jeho skutečné jméno, Kirpal Singh."
