"try","try","snaží","snažit","impf"," All you do is try to help, and people would think you ’ d murdered someone or something. ’"," Jeden se vždycky snaží pomoct, a lidi si nakonec myslí, že jsme někoho zamordovali nebo co. """
"survived","survive","přežil","přežít","pf"," A small trout, which had miraculously survived the fall, gamely began to swim towards Birmingham."," Maličký pstruh, který jakýmsi zázrakem přežil pád, začal statečně plavat směrem k Birmingamu."
"began","begin","začal","začít","pf"," A small trout, which had miraculously survived the fall, gamely began to swim towards Birmingham."," Maličký pstruh, který jakýmsi zázrakem přežil pád, začal statečně plavat směrem k Birmingamu."
"swim","swim","plavat","plavat","impf"," A small trout, which had miraculously survived the fall, gamely began to swim towards Birmingham."," Maličký pstruh, který jakýmsi zázrakem přežil pád, začal statečně plavat směrem k Birmingamu."
"said","say","řekl","říci","pf"," ‘ That was wonderful, ’ said Newt."," "" To bylo úžasné, "" řekl Newt."
"leaving","leave","nechala","nechat","pf"," She got up off the floor, leaving her clothes scattered across the carpet, and went into the bathroom."," Vstala z podlahy, rozházené šaty nechala ležet, kde byly, a vydala se do koupelny."
"mean","mean","myslím","myslet","impf"," ‘ I mean, it was really wonderful."," "" Já tím ale myslím, že to bylo vážně úžasné."
"hoped","hope","doufal","doufat","impf"," I always hoped it was going to be, and it was. ’"," Vždycky jsem doufal, že to takové bude, a bylo. """
"leaving","leave","opouštělo","opouštět","impf"," Four hundred and twenty practically dependable and very nearly cheap megawatts were leaving the station."," Elektrárnu neustále opouštělo čtyři sta dvacet spolehlivých a neobvykle levných megawattů."
"producing","produce","nevyráběla","vyrábět","impf"," According to the other dials, nothing was producing them."," Jenže podle většiny ostatních měřicích přístrojů je elektrárna nevyráběla."
"said","say","říkal","říkat","impf"," It wasn ’ t the sort of thing a responsible engineer said."," To nebyla slova, která by říkal vedoucí inženýr."
"say","say","Řekl","říci","pf"," What he did say was :"," Řekl úplně něco jiného :"
"ring","ring","zavoláš","zavolat","pf"," ‘ Alf, you ’ d better ring the station manager. ’"," "" Alfe, nejlepší bude, když zavoláš ředitele. """
"find","find","zjistila","zjistit","pf"," She would be quite bright, if she was ever put in a position to find out, but long ago found that being a scatterbrain, as she ’ d put it, gave you an easier journey through life."," Byla by docela chytrá, kdyby někdy dostala příležitost chytrou být, ale už dávno zjistila, že popletený naiva, jak to ona sama nazývala, to má v životě mnohem snazší."
"found","find","zjistila","zjistit","pf"," She would be quite bright, if she was ever put in a position to find out, but long ago found that being a scatterbrain, as she ’ d put it, gave you an easier journey through life."," Byla by docela chytrá, kdyby někdy dostala příležitost chytrou být, ale už dávno zjistila, že popletený naiva, jak to ona sama nazývala, to má v životě mnohem snazší."
"built","build","postavil","postavit","pf"," Newt had built it, and it picked up Radio Moscow."," Newt si to postavil a chytil na to Rádio Moskvu."
"written","write","Napsal","napsat","pf"," He ’ d written them a letter of complaint, but they never replied."," Napsal do redakce stížnost, ale nikdo mu neodpověděl."
"replied","reply","neodpověděl","odpovědět","pf"," He ’ d written them a letter of complaint, but they never replied."," Napsal do redakce stížnost, ale nikdo mu neodpověděl."
"doing","do","dělám","dělat","impf"," ‘ I really don ’ t know if I ’ m doing any good, ’ he said."," "" Já vážně nevím, jestli to, co tady dělám, je vůbec k něčemu. """
"said","say","odpověděl","odpovědět","pf"," ‘ Not just unscrews, ’ said Newt, his temper fraying."," "" Tady není nic, co by se dalo vyšroubovat, "" odpověděl jí Newt, jehož popuzenost rychle narůstala."
"sat","sit","Seděl","sedět","impf"," He sat at his desk quietly leafing through International Maritime Codes, whose six hundred pages contained brief yet pregnant messages designed to transmit the news of every conceivable nautical eventuality across the world with the minimum of confusion and, above all, cost."," Seděl u svého stolu a tiše listoval příručkou Mezinárodních námořních kódů, jejichž šest set stran obsahovalo krátké, ale obsažné věty sestavené tak, aby se s jejich pomocí dala vyslat zpráva o jakékoliv události na moři napříč celým světem s maximální výstižností a - to především - za minimální cenu."
"contained","contain","obsahovalo","obsahovat","impf"," He sat at his desk quietly leafing through International Maritime Codes, whose six hundred pages contained brief yet pregnant messages designed to transmit the news of every conceivable nautical eventuality across the world with the minimum of confusion and, above all, cost."," Seděl u svého stolu a tiše listoval příručkou Mezinárodních námořních kódů, jejichž šest set stran obsahovalo krátké, ale obsažné věty sestavené tak, aby se s jejich pomocí dala vyslat zpráva o jakékoliv události na moři napříč celým světem s maximální výstižností a - to především - za minimální cenu."
"wanted","want","Chtěl","chtít","impf"," What he wanted to say was this :"," Chtěl oznámit následující :"
"sailing","sail","Plul","plout","impf"," Was sailing SSW at position 33 ° N 47 ° 72´W."," Plul jsem jihojihovýchodně, souřadnice 33° S 47° 72 ' Z."
"assumed","assume","předpokládal","předpokládat","impf"," This isn ’ t general issue, even for American military vehicles, but Crowley automatically assumed that all vehicles he drove would have cassette players and therefore this one did, within seconds of his getting in."," Není to součást standardního vybavení, dokonce ani v amerických vojenských vozidlech, ale Crowley automaticky předpokládal, že všechna vozidla, která řídí, mají kazetový přehrávač, a proto se přehrávač objevil i v tomhle voze, a to několik vteřin potom, co nastoupili."
"drove","drive","řídí","řídit","impf"," This isn ’ t general issue, even for American military vehicles, but Crowley automatically assumed that all vehicles he drove would have cassette players and therefore this one did, within seconds of his getting in."," Není to součást standardního vybavení, dokonce ani v amerických vojenských vozidlech, ale Crowley automaticky předpokládal, že všechna vozidla, která řídí, mají kazetový přehrávač, a proto se přehrávač objevil i v tomhle voze, a to několik vteřin potom, co nastoupili."
"stayed","stay","zůstala","zůstat","pf"," The cassette that he put on as he drove was marked Handel ’ s Water Music, and it stayed Handel ’ s Water Music all the way home."," Na kazetě, kterou zasunul do přístroje, když se rozjeli, byla Handelova Vodní hudba a zůstala Vodní hudbou celou cestu domů."
"covered","cover","zahrnovala","zahrnovat","impf"," Or any of Sister Mary Loquacious ’ other suggestions, which had covered half of Hell, and most of the Golden Years of Hollywood."," Nezamlouvala se mu ani další jména, která mu sestra Užvaňková navrhovala a která zahrnovala jména snad poloviny Pekla a většinu jmen zlaté éry Hollywoodu."
"explained","explain","vysvětloval","vysvětlovat","impf"," ‘ I had fancied something more, well, traditional, ’ explained Mr Young."," "" Já jsem myslel na něco tak nějak víc ... tradičního, "" vysvětloval pan Young."
"see","see","Vidím","vidět","impf"," I can see it as clearly as Agnes might."," Vidím to stejně jasně, jak by to viděla Agnes."
"see","see","viděla","vidět","impf"," I can see it as clearly as Agnes might."," Vidím to stejně jasně, jak by to viděla Agnes."
"stretches","stretch","Táhne","táhnout","impf"," It stretches all the way to early retirement, a whip-round from the people in the office, a bright little neat flat somewhere, a neat little empty death."," Táhne se bez jediné zatáčky přímo k zasloužené penzi, večírku na rozloučenou, který uspořádají dlouholetí spolupracovníci, k pěknému malému bytečku bůhvíkde a jednoduché, tiché a nevýznamné smrti."
"going","go","zahynu","zahynout","pf"," Except now I ’ m going to die under the ruins of a cottage during what might just possibly be the end of the world."," Jenže teď to vypadá, že zahynu pod troskami tohohle domku v průběhu něčeho, co by mohlo být koncem světa."
"die","die","zahynu","zahynout","pf"," Except now I ’ m going to die under the ruins of a cottage during what might just possibly be the end of the world."," Jenže teď to vypadá, že zahynu pod troskami tohohle domku v průběhu něčeho, co by mohlo být koncem světa."
"attended","attend","navštěvoval","navštěvovat","impf"," He had attended a class in the 1870s run by John Maskelyne, and had spent almost a year practising sleight of hand, palming coins, and taking rabbits out of hats."," V roce 1870 navštěvoval třídu, kterou vedl John Maskelyne, a téměř rok strávil cvičením rukou, ukrýváním mincí v dlaních a taháním králíků z cylindru."
"taking","take","vedl","vést","impf"," He had attended a class in the 1870s run by John Maskelyne, and had spent almost a year practising sleight of hand, palming coins, and taking rabbits out of hats."," V roce 1870 navštěvoval třídu, kterou vedl John Maskelyne, a téměř rok strávil cvičením rukou, ukrýváním mincí v dlaních a taháním králíků z cylindru."
"spent","spend","strávil","strávit","pf"," He had attended a class in the 1870s run by John Maskelyne, and had spent almost a year practising sleight of hand, palming coins, and taking rabbits out of hats."," V roce 1870 navštěvoval třídu, kterou vedl John Maskelyne, a téměř rok strávil cvičením rukou, ukrýváním mincí v dlaních a taháním králíků z cylindru."
"reached","reach","dojel","dojet","pf"," She must be feeling like a train which had reached the end of the line but still had to keep going, somehow."," Musela si připadat jako vlak, který dojel na konec trati, ale přitom musí nějakým způsobem pokračovat v cestě."
"keep","keep","pokračovat","pokračovat","impf"," She must be feeling like a train which had reached the end of the line but still had to keep going, somehow."," Musela si připadat jako vlak, který dojel na konec trati, ale přitom musí nějakým způsobem pokračovat v cestě."
"going","go","pokračovat","pokračovat","impf"," She must be feeling like a train which had reached the end of the line but still had to keep going, somehow."," Musela si připadat jako vlak, který dojel na konec trati, ale přitom musí nějakým způsobem pokračovat v cestě."
"rang","ring","Zazvonil","zazvonit","pf"," The telephone rang."," Zazvonil telefon."
"dashed","dash","vrhl","vrhnout","pf"," Newt dashed for the kitchen and picked up the receiver on the second ring."," Newt se vrhl do kuchyně a zvedl sluchátko dřív, než stačil přístroj zazvonit podruhé."
"said","say","řekl","říci","pf"," ‘ Hello? ’ he said."," "" Haló? "" řekl."
"made","make","uvařil","uvařit","pf"," He went into the little kitchenette and made himself some cocoa and took some deep breaths."," Přemístil se do malé kuchyňky, uvařil si kakao a několikrát se zhluboka nadechl."
"read","read","přečetl","přečíst","pf"," Then he came back and read a prophecy at random."," Pak se vrátil ke knize a přečetl si namátkou vybrané proroctví."
"watched","watch","pozoroval","pozorovat","impf"," He watched a drip of water leak from the nozzle and slide slowly down the side of the plastic container, toward Crowley ’ s hand."," Ten už totiž chvilku pozoroval, jak se v ústí trysky rozprašovače vytvořila kapka vody, a teď pomalu klouže po zelené stěně nádobky přímo ke Crowleyho prstům."
"asked","ask","zeptal","zeptat","pf"," ‘ Do you know what this is? ’ asked Crowley."," "" Víš, co to je? "" zeptal se Crowley."
"say","say","říct","říci","pf"," They don ’ t have to say yes."," Lidi mi nemusej říct ano, jasný?"
"come","come","přišla","přijít","pf"," Pepper had erupted with a fury that had caused Greasy ’ s mother to come round that evening and complain."," Pepřenka vyletěla jako čertík ze škatulky vrhla se na něj a zřídila ho tak, že si toho večera jeho matka přišla stěžovat k jejím rodičům."
"looked","look","dívala","dívat","impf"," Pepper looked upon him, a giant male, as a natural enemy."," Pepřenka se na tohoto obrovského samečka dívala jako na svého přirozeného nepřítele."
"muttered","mutter","zamumlal","zamumlat","pf"," ‘ I ’ m going to go home unless I can have a go, ’ muttered Brother Brian."," "" Jestli mě tam taky nepustíte, "" zamumlal vzdorně bratr Brian, "" tak jdu domů."
"going","go","jdu","jít","impf"," ‘ I ’ m going to go home unless I can have a go, ’ muttered Brother Brian."," "" Jestli mě tam taky nepustíte, "" zamumlal vzdorně bratr Brian, "" tak jdu domů."
"go","go","jdu","jít","impf"," ‘ I ’ m going to go home unless I can have a go, ’ muttered Brother Brian."," "" Jestli mě tam taky nepustíte, "" zamumlal vzdorně bratr Brian, "" tak jdu domů."
"allowed","allow","nesmějí","smět","impf"," ‘ It ’ s not allowed for inquisitors to be tortured too, ’ said the Chief Inquisitor sternly, but without much real feeling."," "" Inkvizitoři nesmějí být mučeni, "" odpověděl mu hlavní inkvizitor odmítavě, ale bez valného přesvědčení."
"tortured","torture","mučeni","mučit","impf"," ‘ It ’ s not allowed for inquisitors to be tortured too, ’ said the Chief Inquisitor sternly, but without much real feeling."," "" Inkvizitoři nesmějí být mučeni, "" odpověděl mu hlavní inkvizitor odmítavě, ale bez valného přesvědčení."
"said","say","odpověděl","odpovědět","pf"," ‘ It ’ s not allowed for inquisitors to be tortured too, ’ said the Chief Inquisitor sternly, but without much real feeling."," "" Inkvizitoři nesmějí být mučeni, "" odpověděl mu hlavní inkvizitor odmítavě, ale bez valného přesvědčení."
"added","add","dodal","dodat","pf"," ‘ I wouldn ’ t mind Australia, ’ he added."," "" Vzal bych si Austrálii, "" dodal rychle."
"said","say","řekl","říci","pf"," ‘ Dog ’ s goin ’ to have Australia, ’ said Adam, his eyes glowing with the fires of creation, ‘ on account of him needin ’ a lot of space to run about."," "" Austrálii dostane Pes, "" řekl Adam a oči mu zaplály ohněm tvoření, "" protože potřebuje pořádný místo, kde by se mohl proběhnout."
"chase","chase","honit","honit","impf"," An ’ there ’ s all those rabbits and kangaroos for him to chase, an ’ - ’"," A taky jsou tam všichni ti králíci a klokani, který bude moct honit, a - """
"hope","hope","Doufám","doufat","impf"," ‘ I do hope there ’ s nothing too wrong with the child."," "" Doufám, že s tím dítětem je všechno v pořádku."
"see","see","uvidíme","uvidět","pf"," We ’ ll see how he reacts to the dog, anyway."," V každém případě uvidíme, jak zareaguje na toho psa."
"hope","hope","doufám","doufat","impf"," I hope he ’ ll send it back, or be frightened of it."," Já doufám, že ho vrátí, nebo se ho bude bát."
"name","name","pojmenuje","pojmenovat","pf"," If he does name it, we ’ ve lost."," Jestli ho ale pojmenuje, jsme ztraceni."
"lost","lose","ztraceni","ztratit","pf"," If he does name it, we ’ ve lost."," Jestli ho ale pojmenuje, jsme ztraceni."
"met","meet","nesetkal","setkat","pf"," He ’ d never met Agnes."," Nikdy se s Agnes nesetkal."
"broadcast","broadcast","vysílat","vysílat","impf"," Normally Heaven or Hell spotted the prophetic types and broadcast enough noises on the same mental channel to prevent any undue accuracy."," V běžném provozu jak Nebe, tak Peklo velmi rychle odhalilo prorocké tipy, a jakmile se tak stalo, začala ta či ona instituce vysílat na stejném duševním kanálu množství rušivých zvuků, které stačily zabránit nežádoucí přesnosti."
"prevent","prevent","zabránit","zabránit","pf"," Normally Heaven or Hell spotted the prophetic types and broadcast enough noises on the same mental channel to prevent any undue accuracy."," V běžném provozu jak Nebe, tak Peklo velmi rychle odhalilo prorocké tipy, a jakmile se tak stalo, začala ta či ona instituce vysílat na stejném duševním kanálu množství rušivých zvuků, které stačily zabránit nežádoucí přesnosti."
"searching","search","hledat","hledat","impf"," I could set them searching. ’"," Vydám příkaz, aby začali hledat. """
"admitted","admit","připustil","připustit","pf"," ‘ I, er, have something similar, ’ Crowley admitted."," "" No, já mám, jaksi, hm, něco podobného, "" připustil Crowley."
"think","think","Myslíš","myslet","impf"," Do you think they ought to work together? ’"," Myslíš, že by měli spolupracovat? """
"think","think","měli","mít","impf"," Do you think they ought to work together? ’"," Myslíš, že by měli spolupracovat? """
"said","say","odpověděl","odpovědět","pf"," ‘ I don ’ t think that would be a good idea, ’ he said."," "" To není dobrý nápad, "" odpověděl."
"speaking","speak","řečeno","říci","pf"," ‘ They ’ re not very sophisticated, politically speaking. ’"," "" Ti moji nejsou příliš sofistikovaní, řečeno politickou hantýrkou. """
"said","say","řekl","říci","pf"," ‘ But Mister Rajit ’ s from Bangladesh, or India, or somewhere, ’ he said."," "" Ale vždyť pan Rajit je z Bangladéše nebo Indie nebo odněkud odtamtud, "" řekl."
"thought","think","myslel","myslet","impf"," ‘ I thought Voodoo came from the West Indies. ’"," "" Já si myslel, že vúdú pochází odněkud z Karibského moře. """
"came","come","pochází","pocházet","impf"," ‘ I thought Voodoo came from the West Indies. ’"," "" Já si myslel, že vúdú pochází odněkud z Karibského moře. """
"seen","see","neviděl","vidět","impf"," Newt had never actually quite seen one of his superior ’ s cigarettes - it was something to do with the way he cupped his hands."," Newt vlastně nikdy neviděl žádnou z cigaret, které jeho nadřízený kouřil - to proto, že seržant držel ruce velmi zvláštním způsobem u sebe."
"disappear","disappear","mizet","mizet","impf"," He even made the ends disappear when he ’ d finished with them."," Dokonce když dokouřil, nechával jaksi záhadně mizet i nedopalky."
"suppose","suppose","předpokládám","předpokládat","impf"," I suppose I ’ m meant to feel a wave of warm, tender female something-or-other about this, she thought."," Čeká se ode mě, předpokládám, že ve mně něco takového vzbudí nával vřelé a něžné ženské náklonnosti, pomyslela si."
"thought","think","předpokládám","předpokládat","impf"," I suppose I ’ m meant to feel a wave of warm, tender female something-or-other about this, she thought."," Čeká se ode mě, předpokládám, že ve mně něco takového vzbudí nával vřelé a něžné ženské náklonnosti, pomyslela si."
"thought","think","pomyslela","pomyslet","pf"," I suppose I ’ m meant to feel a wave of warm, tender female something-or-other about this, she thought."," Čeká se ode mě, předpokládám, že ve mně něco takového vzbudí nával vřelé a něžné ženské náklonnosti, pomyslela si."
"picked","pick","vzal","vzít","pf"," Mr Young ’ s was the same pink as a surgical appliance, and had a snowman picked out on it in white icing."," Ten, který si vzal pan Young, měl nezdravě růžovou barvu připomínající chirurgický zákrok a na vrchní straně byl bílou polevou vyveden sněhulák."
"expect","expect","Myslím","myslet","impf"," ‘ I don ’ t expect you normally have these, ’ she said."," "" Myslím, že něco takového u vás nemáte, "" upozorňovala ho sestra."
"call","call","říká","říkat","impf"," ‘ They ’ re what you call cookies."," "" To je to, čemu se u vás říká biskity."
"call","call","říkáme","říkat","impf"," We call them bis-cuits. ’"," My jim říkáme sušenky. """
"struck","strike","postižena","postihnout","pf"," The Amazing Harvey and Wanda, Children ’ s Parties a Speciality, had both been struck down by an unexpected tummy bug, but by a providential turn of fortune a replacement had turned up practically out of the blue."," Úžasní Harvey a Linda, firma specializovaná na dětské oslavy, byla nečekaně postižena záchvatem střevní chřipky, ale řízením šťastného osudu se objevila náhrada ve chvíli, kdy už byla celá situace téměř beznadějná."
"wanted","want","chtěli","chtít","impf"," But if you wanted excitement, and interest, and crowded days, then every Them would prize a lowly position in Adam ’ s gang above leadership of any other gang anywhere."," Když ale chtěli zažít něco vzrušujícího, zajímavého, vyplnit dny, pak každý z Nich by byl raději tím nejposlednějším členem Adamovy party než náčelníkem kterékoliv jiné."
"said","say","řekl","říci","pf"," ‘ Don ’ t see why everyone ’ s so down on witches, ’ Adam said."," "" Nevím, co všichni proti čarodějkám mají, "" řekl Adam."
"sounded","sound","znělo","znít","impf"," This sounded promising."," To znělo slibně."
"blight","blight","kazí","kazit","impf"," ‘ Well, they blight crops, ’ said Pepper."," "" No, ony třeba kazí úrodu, "" vzpomněla si Pepřenka."
"tell","tell","řeknou","říci","pf"," And tell you if you ’ re going to be king and stuff."," Taky ti řeknou, jestli se třeba staneš králem a takové věci."
"think","think","Mám","mít","impf"," ‘ I think they ’ re pretending it didn ’ t happen. ’"," "" Mám dojem, že předstírají, že se to nestalo. """
"pretending","pretend","předstírají","předstírat","impf"," ‘ I think they ’ re pretending it didn ’ t happen. ’"," "" Mám dojem, že předstírají, že se to nestalo. """
"suppose","suppose","myslím","myslet","impf"," ‘ Mine too, I suppose."," "" Totéž si myslím já o těch našich."
"think","think","myslím","myslet","impf"," ‘ And I think mine are waiting to see what happens next, ’ said Aziraphale."," "" A taky si myslím, že naši čekají, co se teď bude dít, "" dodal Azirafal."
"waiting","wait","čekají","čekat","impf"," ‘ And I think mine are waiting to see what happens next, ’ said Aziraphale."," "" A taky si myslím, že naši čekají, co se teď bude dít, "" dodal Azirafal."
"nodded","nod","přikývl","přikývnout","pf"," Crowley nodded."," Crowley přikývl."
"go","go","šla","jít","impf"," Captain Vincent strongly suspected that despite all its electronics the ship was worth more sunk than afloat, and would probably go down as the most perfectly pinpointed wreck in nautical history."," Kapitán Vincent měl silné podezření, že navzdory veškeré elektronice na palubě by měla loď mnohem větší cenu potopená než plovoucí a byla by šla ke dnu jako nejlépe zaměřený vrak v celé námořní historii."
"meant","mean","znamenalo","znamenat","impf"," By inference, this also meant that he was more valuable dead than alive."," Mimochodem to znamenalo i to, že on, kapitán, měl větší cenu mrtvý než živý."
"realized","realize","neuvědomili","uvědomit","pf"," Although neither Master Bilton nor Master Scaggs realized it, the manuscript they had been sent was the sole prophetic work in all of human history to consist entirely of completely correct predictions concerning the following three hundred and forty odd years, being a precise and accurate description of the events that would culminate in Armageddon."," Přestože si to ani pan Bilion, ani pan Scaggs neuvědomili, rukopis, který jim byl takto osudem seslán, obsahoval jako jediný v celé historii naprosto pravdivá a bezchybná proroctví na následujících tři sta a čtyřicet podivných let, která měla předcházet konci světa a vyvrcholit Armageddonem."
"culminate","culminate","vyvrcholit","vyvrcholit","pf"," Although neither Master Bilton nor Master Scaggs realized it, the manuscript they had been sent was the sole prophetic work in all of human history to consist entirely of completely correct predictions concerning the following three hundred and forty odd years, being a precise and accurate description of the events that would culminate in Armageddon."," Přestože si to ani pan Bilion, ani pan Scaggs neuvědomili, rukopis, který jim byl takto osudem seslán, obsahoval jako jediný v celé historii naprosto pravdivá a bezchybná proroctví na následujících tři sta a čtyřicet podivných let, která měla předcházet konci světa a vyvrcholit Armageddonem."
"thought","think","myslela","myslet","impf"," ‘ I thought you people weren ’ t too keen on them, what with revoluting and throwing all those tea-sets into the river. ’"," "" A já si myslela, že zrovna vy tam u vás na ně nijak zvlášť netrpíte, s tou vaší revolucí, samostatností a házením čaje do moře. """
"say","say","pravilo","pravit","pf"," She chattered on, encouraged by the Order ’ s instruction that members should always say what was on their minds."," Švitořila dál, přesně podle regulí řádu, ve kterých se pravilo, že členové řádu mají říkat to, co jim právě slina na jazyk přinese."
