"broke","break","zlomil","zlomit","pf"," The boy in the house threw a stone at me and broke it. """," Chlapec z domu hodil po mně kamenem a zlomil mi je! """
"admired","admire","obdivovaly","obdivovat","impf"," Kotick roared in answer, and old Sea Catch waddled in, his mustache on end, blowing like a locomotive, while Matkah and the seal that was going to marry Kotick cowered down and admired their menfolk."," Kotík zařval v odpověď a starý Mořský Lupič valil se se zježeným knírem k němu, funě jako lokomotiva, mezitím co Matka a ona samička lachtaní, která se měla stát ženou Kotíkovou, se krčily k sobě a obdivovaly se svým pánům."
"fought","fight","bojovali","bojovat","impf"," It was a gorgeous fight, for the two fought as long as there was a seal that dared lift up his head, and then they paraded grandly up and down the beach side by side, bellowing."," Byl to nádherný boj, neboť ti dva bojovali, dokud tu bylo jediného lachtana, který se odvážil zdvihnouti hlavu, a když byli všichni přemoženi, procházeli se otec se synem, bok po boku, štěkajíce, hrdě pobřežím nahoru a dolů."
"lift","lift","zdvihnouti","zdvihnout","pf"," It was a gorgeous fight, for the two fought as long as there was a seal that dared lift up his head, and then they paraded grandly up and down the beach side by side, bellowing."," Byl to nádherný boj, neboť ti dva bojovali, dokud tu bylo jediného lachtana, který se odvážil zdvihnouti hlavu, a když byli všichni přemoženi, procházeli se otec se synem, bok po boku, štěkajíce, hrdě pobřežím nahoru a dolů."
"say","say","říci","říci","pf"," "" I 've followed the poltoos for twenty years, and I ca n't say I 've found it yet."," "" Honil jsem platýse po dvacet let, ale nemohu říci, že bych byl kdy takového ostrova našel."
"found","find","našel","najít","pf"," "" I 've followed the poltoos for twenty years, and I ca n't say I 've found it yet."," "" Honil jsem platýse po dvacet let, ale nemohu říci, že bych byl kdy takového ostrova našel."
"put","put","posadit","posadit","pf"," "" You could put a whole regiment of Dicks on my back without making me feel any better."," "" Mohl bys mi posadit na záda Dicků celý pluk, a přece bych se necítil lépe."
"feel","feel","necítil","cítit","impf"," "" You could put a whole regiment of Dicks on my back without making me feel any better."," "" Mohl bys mi posadit na záda Dicků celý pluk, a přece bych se necítil lépe."
"go","go","šel","jít","impf"," I know just enough to be uncomfortable, and not enough to go on in spite of it. """," Vím právě dost, abych se cítil nevolným a ne dost, abych šel ku předu přes to přese všechno. """
"understand","understand","nerozumíme","rozumět","impf"," "" We do not understand, "" said the bullocks."," "" Tomu nerozumíme, "" řekli voli."
"said","say","řekli","říci","pf"," "" We do not understand, "" said the bullocks."," "" Tomu nerozumíme, "" řekli voli."
"talking","talk","Nemluvím","mluvit","impf"," I 'm not talking to you."," Nemluvím také pro vás."
"smells","smell","páchne","páchnout","impf"," "" It is red stuff that soaks into the ground and smells. """," Je to červená kaše, která se vsákne do země a páchne. """
"hated","hate","nenáviděl","nenávidět","impf"," He very much preferred the camp life, and hated those broad, flat roads, with the daily grubbing for grass in the forage-reserve, and the long hours when there was nothing to do except to watch Kala Nag fidgeting in his pickets."," Měl mnohem raději život v táboře a nenáviděl ona rovná, rozlehlá cvičiště, onu denní žatvu trávy na místech vyhrazených za zásobárnu pro píci a ony dlouhé hodiny, kdy nebylo nic na práci, jen hlídat Kala Naga, který sebou nepokojně trhal u svého kolu."
"watch","watch","hlídat","hlídat","impf"," He very much preferred the camp life, and hated those broad, flat roads, with the daily grubbing for grass in the forage-reserve, and the long hours when there was nothing to do except to watch Kala Nag fidgeting in his pickets."," Měl mnohem raději život v táboře a nenáviděl ona rovná, rozlehlá cvičiště, onu denní žatvu trávy na místech vyhrazených za zásobárnu pro píci a ony dlouhé hodiny, kdy nebylo nic na práci, jen hlídat Kala Naga, který sebou nepokojně trhal u svého kolu."
"liked","like","líbilo","líbit","impf"," What Little Toomai liked was to scramble up bridle-paths that only an elephant could take;"," Malému Tumé líbilo se mnohem více, mohl - li lézti po horských stezkách, kudy se jen slon může odvážiti;"
"scramble","scramble","lézti","lézt","impf"," What Little Toomai liked was to scramble up bridle-paths that only an elephant could take;"," Malému Tumé líbilo se mnohem více, mohl - li lézti po horských stezkách, kudy se jen slon může odvážiti;"
"saying","say","řekl","říci","pf"," As I was saying, it was n't Dick 's fault."," Jak jsem řekl, nebylo to Dickovou vinou."
"lying","lie","ležel","ležet","impf"," The man was lying on the ground, and I stretched myself not to tread on him, and he slashed up at me."," Onen muž ležel na zemi a já se natáhl, abych naň nešlápl, a on ťal po mně ze spodu."
"stretched","stretch","natáhl","natáhnout","pf"," The man was lying on the ground, and I stretched myself not to tread on him, and he slashed up at me."," Onen muž ležel na zemi a já se natáhl, abych naň nešlápl, a on ťal po mně ze spodu."
"tread","tread","nešlápl","šlápnout","pf"," The man was lying on the ground, and I stretched myself not to tread on him, and he slashed up at me."," Onen muž ležel na zemi a já se natáhl, abych naň nešlápl, a on ťal po mně ze spodu."
"step","step","šlápnu","šlápnout","pf"," Next time I have to go over a man lying down I shall step on him - hard. """," Až mi bude příště zase běžeti přes člověka, šlápnu naň, a to důkladně. """
"said","say","řekl","říci","pf"," "" H 'm! "" said Billy;"," "" H ' m! "" řekl Billy;"
"sounds","sound","zní","znít","impf"," "" it sounds very foolish."," "" zní to velmi pošetile."
"fell","fall","upadl","upadnout","pf"," At last I fell over the tail-end of a gun, and by that knew I was somewhere near the Artillery lines where the cannon were stacked at night."," Konečně jsem upadl přes dolní konec dělové lafety a dle toho jsem poznal, že jsem kdesi u stanišť dělostřelectva, kde byla děla postavena přes noc."
"cried","cry","volal","volat","impf"," Then Rikki-tikki came up and cried :"," Tu vešel Riki - Tiki a volal :"
"said","say","odpověděla","odpovědět","pf"," "" All in good time, "" said she, without moving her eyes."," "" Všechno v pravý čas, "" odpověděla Nagaina, aniž by hnula i jen okem."
"moving","move","hnula","hnout","pf"," "" All in good time, "" said she, without moving her eyes."," "" Všechno v pravý čas, "" odpověděla Nagaina, aniž by hnula i jen okem."
"Look","look","Pohleď","pohledět","pf"," Look at your friends, Rikki-tikki."," Pohleď na své přátele, Riki - Tiki;"
"lying","lie","leže","ležet","impf"," One day, however, as he was lying half asleep in the warm water somewhere off the Island of Juan Fernandez, he felt faint and lazy all over, just as human people do when the spring is in their legs, and he remembered the good firm beaches of Novastoshnah seven thousand miles away, the games his companions played, the smell of the seaweed, the seal-roar, and the fighting."," Jednoho dne však, leže v polospánku v teplých vodách kdesi daleko u ostrova Juan Fernandez, cítil se neobyčejně líným, zrovna jako to cítí lidé, když mají jaro v nohách, a vzpomněl si bezděky na dobré, pevné břehy Novastošny, teď vzdálené na sedm tisíc mil, vzpomněl si na hry, jež prováděl se svými soudruhy, na vůni mořských chaluh, na řev lachtanů a na jejich zápasy."
"felt","feel","cítil","cítit","impf"," One day, however, as he was lying half asleep in the warm water somewhere off the Island of Juan Fernandez, he felt faint and lazy all over, just as human people do when the spring is in their legs, and he remembered the good firm beaches of Novastoshnah seven thousand miles away, the games his companions played, the smell of the seaweed, the seal-roar, and the fighting."," Jednoho dne však, leže v polospánku v teplých vodách kdesi daleko u ostrova Juan Fernandez, cítil se neobyčejně líným, zrovna jako to cítí lidé, když mají jaro v nohách, a vzpomněl si bezděky na dobré, pevné břehy Novastošny, teď vzdálené na sedm tisíc mil, vzpomněl si na hry, jež prováděl se svými soudruhy, na vůni mořských chaluh, na řev lachtanů a na jejich zápasy."
"felt","feel","cítí","cítit","impf"," One day, however, as he was lying half asleep in the warm water somewhere off the Island of Juan Fernandez, he felt faint and lazy all over, just as human people do when the spring is in their legs, and he remembered the good firm beaches of Novastoshnah seven thousand miles away, the games his companions played, the smell of the seaweed, the seal-roar, and the fighting."," Jednoho dne však, leže v polospánku v teplých vodách kdesi daleko u ostrova Juan Fernandez, cítil se neobyčejně líným, zrovna jako to cítí lidé, když mají jaro v nohách, a vzpomněl si bezděky na dobré, pevné břehy Novastošny, teď vzdálené na sedm tisíc mil, vzpomněl si na hry, jež prováděl se svými soudruhy, na vůni mořských chaluh, na řev lachtanů a na jejich zápasy."
"remembered","remember","vzpomněl","vzpomenout","pf"," One day, however, as he was lying half asleep in the warm water somewhere off the Island of Juan Fernandez, he felt faint and lazy all over, just as human people do when the spring is in their legs, and he remembered the good firm beaches of Novastoshnah seven thousand miles away, the games his companions played, the smell of the seaweed, the seal-roar, and the fighting."," Jednoho dne však, leže v polospánku v teplých vodách kdesi daleko u ostrova Juan Fernandez, cítil se neobyčejně líným, zrovna jako to cítí lidé, když mají jaro v nohách, a vzpomněl si bezděky na dobré, pevné břehy Novastošny, teď vzdálené na sedm tisíc mil, vzpomněl si na hry, jež prováděl se svými soudruhy, na vůni mořských chaluh, na řev lachtanů a na jejich zápasy."
"remembered","remember","vzpomněl","vzpomenout","pf"," One day, however, as he was lying half asleep in the warm water somewhere off the Island of Juan Fernandez, he felt faint and lazy all over, just as human people do when the spring is in their legs, and he remembered the good firm beaches of Novastoshnah seven thousand miles away, the games his companions played, the smell of the seaweed, the seal-roar, and the fighting."," Jednoho dne však, leže v polospánku v teplých vodách kdesi daleko u ostrova Juan Fernandez, cítil se neobyčejně líným, zrovna jako to cítí lidé, když mají jaro v nohách, a vzpomněl si bezděky na dobré, pevné břehy Novastošny, teď vzdálené na sedm tisíc mil, vzpomněl si na hry, jež prováděl se svými soudruhy, na vůni mořských chaluh, na řev lachtanů a na jejich zápasy."
"do","do","prováděl","provádět","impf"," One day, however, as he was lying half asleep in the warm water somewhere off the Island of Juan Fernandez, he felt faint and lazy all over, just as human people do when the spring is in their legs, and he remembered the good firm beaches of Novastoshnah seven thousand miles away, the games his companions played, the smell of the seaweed, the seal-roar, and the fighting."," Jednoho dne však, leže v polospánku v teplých vodách kdesi daleko u ostrova Juan Fernandez, cítil se neobyčejně líným, zrovna jako to cítí lidé, když mají jaro v nohách, a vzpomněl si bezděky na dobré, pevné břehy Novastošny, teď vzdálené na sedm tisíc mil, vzpomněl si na hry, jež prováděl se svými soudruhy, na vůni mořských chaluh, na řev lachtanů a na jejich zápasy."
"lent","lend","zapůjčil","zapůjčit","pf"," But the sweetmeat-seller in the camp lent him a little tom-tom - a drum beaten with the flat of the hand - and he sat down, cross-legged, before Kala Nag as the stars began to come out, the tom-tom in his lap, and he thumped and he thumped and he thumped, and the more he thought of the great honour that had been done to him, the more he thumped, all alone among the elephant-fodder."," Ale prodavač pamlsků v ležení zapůjčil mu malý tam - tam - bubínek, na který se tluče dlaní - a Tumé usedl před Kala Nagem, skřížil nohy a když se začaly objevovat hvězdy, položil bubínek na klín, a bubnoval, a bubnoval, a bubnoval a čím více přemýšlel o velké cti, která se mu stala, tím horlivěji bubnoval, sedě tu sám u kupy pice."
"beaten","beat","tluče","tlouci","impf"," But the sweetmeat-seller in the camp lent him a little tom-tom - a drum beaten with the flat of the hand - and he sat down, cross-legged, before Kala Nag as the stars began to come out, the tom-tom in his lap, and he thumped and he thumped and he thumped, and the more he thought of the great honour that had been done to him, the more he thumped, all alone among the elephant-fodder."," Ale prodavač pamlsků v ležení zapůjčil mu malý tam - tam - bubínek, na který se tluče dlaní - a Tumé usedl před Kala Nagem, skřížil nohy a když se začaly objevovat hvězdy, položil bubínek na klín, a bubnoval, a bubnoval, a bubnoval a čím více přemýšlel o velké cti, která se mu stala, tím horlivěji bubnoval, sedě tu sám u kupy pice."
"thumped","thump","tluče","tlouci","impf"," But the sweetmeat-seller in the camp lent him a little tom-tom - a drum beaten with the flat of the hand - and he sat down, cross-legged, before Kala Nag as the stars began to come out, the tom-tom in his lap, and he thumped and he thumped and he thumped, and the more he thought of the great honour that had been done to him, the more he thumped, all alone among the elephant-fodder."," Ale prodavač pamlsků v ležení zapůjčil mu malý tam - tam - bubínek, na který se tluče dlaní - a Tumé usedl před Kala Nagem, skřížil nohy a když se začaly objevovat hvězdy, položil bubínek na klín, a bubnoval, a bubnoval, a bubnoval a čím více přemýšlel o velké cti, která se mu stala, tím horlivěji bubnoval, sedě tu sám u kupy pice."
"thumped","thump","tluče","tlouci","impf"," But the sweetmeat-seller in the camp lent him a little tom-tom - a drum beaten with the flat of the hand - and he sat down, cross-legged, before Kala Nag as the stars began to come out, the tom-tom in his lap, and he thumped and he thumped and he thumped, and the more he thought of the great honour that had been done to him, the more he thumped, all alone among the elephant-fodder."," Ale prodavač pamlsků v ležení zapůjčil mu malý tam - tam - bubínek, na který se tluče dlaní - a Tumé usedl před Kala Nagem, skřížil nohy a když se začaly objevovat hvězdy, položil bubínek na klín, a bubnoval, a bubnoval, a bubnoval a čím více přemýšlel o velké cti, která se mu stala, tím horlivěji bubnoval, sedě tu sám u kupy pice."
"thumped","thump","tluče","tlouci","impf"," But the sweetmeat-seller in the camp lent him a little tom-tom - a drum beaten with the flat of the hand - and he sat down, cross-legged, before Kala Nag as the stars began to come out, the tom-tom in his lap, and he thumped and he thumped and he thumped, and the more he thought of the great honour that had been done to him, the more he thumped, all alone among the elephant-fodder."," Ale prodavač pamlsků v ležení zapůjčil mu malý tam - tam - bubínek, na který se tluče dlaní - a Tumé usedl před Kala Nagem, skřížil nohy a když se začaly objevovat hvězdy, položil bubínek na klín, a bubnoval, a bubnoval, a bubnoval a čím více přemýšlel o velké cti, která se mu stala, tím horlivěji bubnoval, sedě tu sám u kupy pice."
"thumped","thump","tluče","tlouci","impf"," But the sweetmeat-seller in the camp lent him a little tom-tom - a drum beaten with the flat of the hand - and he sat down, cross-legged, before Kala Nag as the stars began to come out, the tom-tom in his lap, and he thumped and he thumped and he thumped, and the more he thought of the great honour that had been done to him, the more he thumped, all alone among the elephant-fodder."," Ale prodavač pamlsků v ležení zapůjčil mu malý tam - tam - bubínek, na který se tluče dlaní - a Tumé usedl před Kala Nagem, skřížil nohy a když se začaly objevovat hvězdy, položil bubínek na klín, a bubnoval, a bubnoval, a bubnoval a čím více přemýšlel o velké cti, která se mu stala, tím horlivěji bubnoval, sedě tu sám u kupy pice."
