"spotted","spot","našli","najít","pf"," Would he have been spotted if he 'd gone across crouching under a rug on the floor behind the driver 's seat? '"," Kdyby se přikrčil za sedadlo, nebo schoval pod přikrývku, našli by ho? """
"hitting","hit","uhodil","uhodit","pf"," The one who was hitting you - what was he saying? '"," "" Ten, co uhodil vás ..., co řekl? """
"saying","say","řekl","říci","pf"," The one who was hitting you - what was he saying? '"," "" Ten, co uhodil vás ..., co řekl? """
"smiled","smile","Usmál","usmát","pf"," He smiled and shook his head."," Usmál se a potřásl hlavou."
"tell","tell","říct","říci","pf"," ' Ca n't tell."," "" Těžko říct."
"picked","pick","Vzal","vzít","pf"," He picked up the chart and showed me."," Vzal záznam a začal mi ho popisovat."
"sat","sit","Sedl","sednout","pf"," I sat instead in one of the Grand 's comfortable armchairs and thought about why men vanished."," Sedl jsem si do pohodlného hotelového křesla a přemýšlel o tom, proč a jak lidé mizí."
"thought","think","přemýšlel","přemýšlet","impf"," I sat instead in one of the Grand 's comfortable armchairs and thought about why men vanished."," Sedl jsem si do pohodlného hotelového křesla a přemýšlel o tom, proč a jak lidé mizí."
"vanished","vanish","mizí","mizet","impf"," I sat instead in one of the Grand 's comfortable armchairs and thought about why men vanished."," Sedl jsem si do pohodlného hotelového křesla a přemýšlel o tom, proč a jak lidé mizí."
"took","take","bere","brát","impf"," Sometimes they took someone else 's money with them to finance the future."," Někdy si takový člověk bere při útěku s sebou peníze, aby měl z čeho žít."
"smiled","smile","Usmála","usmát","pf"," She smiled and pointed through the window."," Usmála se a ukázala z okna."
"pointed","point","ukázala","ukázat","pf"," She smiled and pointed through the window."," Usmála se a ukázala z okna."
"starts","start","začíná","začínat","impf"," ' The path starts over there behind that big rock."," "" Stezka začíná tamhle za tou skalou."
"talking","talk","Mluvím","mluvit","impf"," ' I 'm talking about Arne putting on his scuba suit and diving into the pond at Ovrevoll to get Bob Sherman out of it. '"," "" Mluvím o tom, že to byl Arne, kdo se na závodišti potopil do rybníka a vylovil odtamtud tělo Boba Shermana. """
"saw","see","viděl","vidět","impf"," Arne had been sick when he saw the month-dead body."," Arnemu se udělalo zle, když viděl měsíc starou mrtvolu."
"lay","lie","Ležela","ležet","impf"," Waxy white and horrific, it lay back downwards on the tarmac, fingers laxly curled up to meet the rain."," Ležela tam, bílá, hrozná, dlaní vzhůru, s ohnutými prsty, na které dopadal déšť."
"said","say","neřekl","říci","pf"," What the child had not said, however, was that the hand was not alone."," Ta ruka však nebyla osamělá, a to nám chlapec neřekl."
"came","come","Šel","jít","impf"," He came with me round to the front of the stands and we walked over to where Baltzersen and the top policeman had rejoined the little boy."," Šel se mnou před tribuny a pak k Baltzersenovi a staršímu policistovi, kteří stáli nad vylekaným chlapcem."
"walked","walk","Šel","jít","impf"," He came with me round to the front of the stands and we walked over to where Baltzersen and the top policeman had rejoined the little boy."," Šel se mnou před tribuny a pak k Baltzersenovi a staršímu policistovi, kteří stáli nad vylekaným chlapcem."
"tell","tell","říct","říci","pf"," ' I must n't tell you."," "" To nesmím říct."
"felt","feel","vycítil","vycítit","pf"," I wondered if he felt in his turn the thud with which that news hit me."," Zdalipak vycítil, jak to se mnou trhlo ..."
"forgotten","forget","zapomněl","zapomenout","pf"," After ten minutes I began to wonder if he 'd simply forgotten about me and gone home, but he had n't."," Asi po deseti minutách jsem dostal strach, že na mne Erik jednoduše zapomněl a odjel domů, ale to se nestalo."
"gone","go","odjel","odjet","pf"," After ten minutes I began to wonder if he 'd simply forgotten about me and gone home, but he had n't."," Asi po deseti minutách jsem dostal strach, že na mne Erik jednoduše zapomněl a odjel domů, ale to se nestalo."
"said","say","řekl","říci","pf"," ' Hullo, ' he said, as I met him."," "" Ahoj, "" řekl, když jsem mu vyšel vstříc."
"Forgot","forget","zapomněl","zapomenout","pf"," Forgot all about it. '"," Málem jsem na to dočista zapomněl. """
"said","say","řekl","říci","pf"," ' You were lucky, ' he said."," "" Měl jste štěstí, "" řekl."
"Do","do","Děláte","dělat","impf"," ' Do you do this sort of thing often?"," "" Děláte to často?"
"do","do","Děláte","dělat","impf"," ' Do you do this sort of thing often?"," "" Děláte to často?"
"mean","mean","Myslím","myslet","impf"," Fight for your life, I mean. '"," Myslím, jestli často bojujete o holý život? """
"collect","collect","nesbíral","sbírat","impf"," ' But he would n't collect them himself? '"," "" Ale nesbíral je? """
"stretched","stretch","protáhl","protáhnout","pf"," I stood up, stretched, unpacked a few things, undressed, brushed my teeth."," Vstal jsem, protáhl se, nějaké věci jsem si vybalil, svlékl se a vyčistil si zuby."
"undressed","undress","svlékl","svléknout","pf"," I stood up, stretched, unpacked a few things, undressed, brushed my teeth."," Vstal jsem, protáhl se, nějaké věci jsem si vybalil, svlékl se a vyčistil si zuby."
"brushed","brush","vyčistil","vyčistit","pf"," I stood up, stretched, unpacked a few things, undressed, brushed my teeth."," Vstal jsem, protáhl se, nějaké věci jsem si vybalil, svlékl se a vyčistil si zuby."
"lay","lie","ležela","ležet","impf"," Bob 's helmet lay on my bed."," Bobova helma ležela na posteli."
"picked","pick","Vzal","vzít","pf"," I picked it up and dangled it by the chin strap as I pulled back the quilt and pushed up the pillows as a back-rest for reading before sleep."," Vzal jsem ji za řemínek, když jsem odhrnoval pokrývku a natřásal polštář, abych se o něj mohl opřít, až si v posteli budu před spaním číst."
"look","look","Podíval","podívat","pf"," He turned his head to look at me."," Podíval se na mne."
"asked","ask","zeptal","zeptat","pf"," ' Do you know her well? ' he asked."," "" Znáte se s ní dobře? "" zeptal se."
"said","say","řekl","říci","pf"," ' I regret the way we treated her, ' he said."," "" Je mi líto, že jsme se k ní nechovali líp, "" řekl."
"think","think","myslím","myslet","impf"," ' I think of it often."," "" Často na to myslím."
"agreed","agree","souhlasil","souhlasit","impf"," I agreed with him and offered no comfort."," Tiše jsem s ním souhlasil, ale nesnažil jsem se ho utěšit."
"shook","shake","otřáslo","otřást","pf"," The front door slammed behind him with a force that shook the building, and from the window I saw him running like the Olympics under the street lamps."," Bouchly za ním dveře, až to otřáslo celým domem, a pak už jsem oknem viděl, jak pádí ulicí ve světle pouličních lamp rychlostí olympionika."
"saw","see","viděl","vidět","impf"," The front door slammed behind him with a force that shook the building, and from the window I saw him running like the Olympics under the street lamps."," Bouchly za ním dveře, až to otřáslo celým domem, a pak už jsem oknem viděl, jak pádí ulicí ve světle pouličních lamp rychlostí olympionika."
"said","say","řekl","říci","pf"," ' Thanks, ' I said."," "" Děkuju vám, "" řekl jsem."
"lives","live","Bydlí","bydlet","impf"," ' She lives in a house beside the lake."," "" Bydlí v dům u jezero."
"goes","go","chodí","chodit","impf"," She goes away in the winter."," V zimě chodí pryč."
"takes","take","bere","brát","impf"," In the summer, she takes people who come to fish, but they have all gone now."," Když je v léto, bere hosty na ryby, teď už ne, všichni pryč."
"comes","come","chodí","chodit","impf"," Usually on Wednesdays she comes for food, so we have not gone to see her."," Ve středu chodí kupovat jídlo, my za ní nejdeme."
"gone","go","chodí","chodit","impf"," Usually on Wednesdays she comes for food, so we have not gone to see her."," Ve středu chodí kupovat jídlo, my za ní nejdeme."
"comes","come","nejdeme","jít","impf"," Usually on Wednesdays she comes for food, so we have not gone to see her."," Ve středu chodí kupovat jídlo, my za ní nejdeme."
"gone","go","nejdeme","jít","impf"," Usually on Wednesdays she comes for food, so we have not gone to see her."," Ve středu chodí kupovat jídlo, my za ní nejdeme."
"complain","complain","Nestěžují","stěžovat","impf"," ' Do n't the investors complain? '"," "" Nestěžují si investoři? """
"told","tell","Vyprávěl","vyprávět","impf"," He told me that there were many small private banks in Norway running building schemes, but that his own was one of the largest."," Vyprávěl mi, že v Norsku je celá řada soukromých stavebních bank, ale že ta jeho je největší."
"saw","see","Zahlédl","zahlédnout","pf"," He looked up and saw me, and again immediately began to aim."," Zahlédl mne a bleskově zacílil na vchod."
"go","go","odejít","odejít","pf"," They would n't go away."," Nechtěli odejít."
"stopped","stop","přestala","přestat","pf"," ' Anyway I stopped having dinner."," No nic, přestala jsem na večeře chodit."
"passed","pass","prošel","projít","pf"," He passed her without a glance on his way to collect his room key at the desk."," Muž kolem ní lhostejně prošel a zastavil se u recepce pro klíč od pokoje."
"walked","walk","Šel","jít","impf"," I walked over to her."," Šel jsem k ní."
"nodded","nod","přikývl","přikývnout","pf"," Arne nodded, blinking away as usual."," Arne přikývl a zamžikal, jako obvykle."
"nodded","nod","Přikývl","přikývnout","pf"," I nodded."," Přikývl jsem."
"Depends","depend","Záleží","záležet","impf"," ' Depends how much they 'd been paid to forget. '"," "" Záleží na tom, kolik by jim nabídli za mlčení. """
"think","think","myslíte","myslet","impf"," ' What do you think yourself? '"," "" Co vy si myslíte? """
"tell","tell","říct","říci","pf"," ' Hard to tell."," "" Těžko říct."
"mean","mean","myslím","myslet","impf"," There were n't any knowing looks, sort of, if you see what I mean. '"," Víte, jak to myslím, žádný významný pohledy. """
"asked","ask","zeptal","zeptat","pf"," I gathered that it met with the author 's approval because Lund asked when I would like him to start."," Pochopil jsem, že pan spisovatel nabídku přijal, protože se mne Lund vzápětí zeptal, kdy chci, aby řidič nastoupil."
"like","like","chci","chtít","impf"," I gathered that it met with the author 's approval because Lund asked when I would like him to start."," Pochopil jsem, že pan spisovatel nabídku přijal, protože se mne Lund vzápětí zeptal, kdy chci, aby řidič nastoupil."
"nodded","nod","přikývl","přikývnout","pf"," Lund nodded, put down the receiver, and said ' He will be here in half an hour."," Lund přikývl, zavěsil a oznámil mi, že jeho bratr přijede za půl hodiny."
"said","say","řekl","říci","pf"," ' He said he was at the races the day Bob Sherman disappeared."," "" Taky řekl, že byl na závodišti v den, kdy Bob Sherman zmizel."
"disappeared","disappear","zmizel","zmizet","pf"," ' He said he was at the races the day Bob Sherman disappeared."," "" Taky řekl, že byl na závodišti v den, kdy Bob Sherman zmizel."
"like","like","chtěl","chtít","impf"," He said he would like to tell me something about that."," Prý by mi k tomu chtěl něco říct."
"said","say","říct","říci","pf"," He said he would like to tell me something about that."," Prý by mi k tomu chtěl něco říct."
"tell","tell","říct","říci","pf"," He said he would like to tell me something about that."," Prý by mi k tomu chtěl něco říct."
"worked","work","pracuje","pracovat","impf"," He said he lived at Lillehammer and worked there in the timber yard."," Prý žije v Lillehammeru a pracuje tam v dřevařských závodech."
"asked","ask","Zeptal","zeptat","pf"," I asked him to come to Oslo, but he said he could n't take the day off."," Zeptal jsem se ho, jestli by nechtěl přijet do Oslo, ale že prý si nemůže vzít volno."
"come","come","přijet","přijet","pf"," I asked him to come to Oslo, but he said he could n't take the day off."," Zeptal jsem se ho, jestli by nechtěl přijet do Oslo, ale že prý si nemůže vzít volno."
"take","take","vzít","vzít","pf"," I asked him to come to Oslo, but he said he could n't take the day off."," Zeptal jsem se ho, jestli by nechtěl přijet do Oslo, ale že prý si nemůže vzít volno."
"meet","meet","sejít","sejít","pf"," He said he 'd meet me during his lunch break today."," Prý bychom se mohli sejít v Lillehammeru některý den v době, kdy má polední přestávku."
"understand","understand","rozumět","rozumět","impf"," It was very difficult to understand him clearly, as he spoke so little English."," Bylo mu špatně rozumět, neumí dobře anglicky."
"understand","understand","neumí","umět","impf"," It was very difficult to understand him clearly, as he spoke so little English."," Bylo mu špatně rozumět, neumí dobře anglicky."
"find","find","našel","najít","pf"," I want to find it - It belongs to his wife now. '"," Rád bych to sedlo našel, patří teď jeho ženě. """
"ask","ask","Zeptám","zeptat","pf"," ' I 'll ask Paddy, ' I said."," "" Zeptám se Paddyho, "" řekl jsem."
"said","say","řekl","říci","pf"," ' I 'll ask Paddy, ' I said."," "" Zeptám se Paddyho, "" řekl jsem."
"tell","tell","Řekneš","říci","pf"," Just tell it as you told me."," Řekneš jim to tak, jak jsi to vyprávěl mně."
"told","tell","Řekneš","říci","pf"," Just tell it as you told me."," Řekneš jim to tak, jak jsi to vyprávěl mně."
"tell","tell","vyprávěl","vyprávět","impf"," Just tell it as you told me."," Řekneš jim to tak, jak jsi to vyprávěl mně."
"told","tell","vyprávěl","vyprávět","impf"," Just tell it as you told me."," Řekneš jim to tak, jak jsi to vyprávěl mně."
"called","call","volám","volat","impf"," He sounded glad that I 'd called."," Byl rád, že volám."
"called","call","Zatelefonoval","zatelefonovat","pf"," Some man in a place called Lillehammer telephoned and said he could tell me something about Bob Sherman being killed."," Zatelefonoval mi nějaký člověk z Lillehammeru, že prý pro mne má nějaké informace o smrti Boba Shermana."
"telephoned","telephone","Zatelefonoval","zatelefonovat","pf"," Some man in a place called Lillehammer telephoned and said he could tell me something about Bob Sherman being killed."," Zatelefonoval mi nějaký člověk z Lillehammeru, že prý pro mne má nějaké informace o smrti Boba Shermana."
"saw","see","viděl","vidět","impf"," He said he almost saw it happen."," Prý tu vraždu málem viděl na vlastní oči."
"say","say","říct","říci","pf"," He would n't say any more on the phone, but I 'm going to meet him tomorrow."," Víc mi po telefonu nechtěl říct, ale zítra se s ním mám setkat."
"meet","meet","setkat","setkat","pf"," He would n't say any more on the phone, but I 'm going to meet him tomorrow."," Víc mi po telefonu nechtěl říct, ale zítra se s ním mám setkat."
"said","say","řekl","říci","pf"," ' Your house, too, is beautiful, ' I said."," "" Máš krásný dům, "" řekl jsem."
"think","think","Myslím","myslet","impf"," ' I think - I 'll go and see Mrs Sandvik, and see if she 'll tell me where Mikkel is. '"," "" Myslím, že bych měl zajít za paní Sandvikovou a zeptat se jí, jestli o Mikkelovi neví. """
"think","think","měl","mít","impf"," ' I think - I 'll go and see Mrs Sandvik, and see if she 'll tell me where Mikkel is. '"," "" Myslím, že bych měl zajít za paní Sandvikovou a zeptat se jí, jestli o Mikkelovi neví. """
"do","do","Udělám","udělat","pf"," And I will do what I must about keeping Mr Sandvik here all night. '"," Udělám, co je v mé moci, abych tu Sandvika zdržel přes noc. """
"keeping","keep","zdržel","zdržet","pf"," And I will do what I must about keeping Mr Sandvik here all night. '"," Udělám, co je v mé moci, abych tu Sandvika zdržel přes noc. """
"said","say","vyslovují","vyslovovat","impf"," The British pronounced ' l ' with their tongue lolling back in the throat, the Norwegians said theirs with the tongue tight up behind the teeth."," Britové "" l "" vyslovují s jazykem vzadu na patře, Norové s jazykem těsně za zuby."
"said","say","vyslovoval","vyslovovat","impf"," Retaining the Norwegian ' l ' gave Sandvik 's accent a light, dry, clear-vowelled quality which made everything he said sound logical and lucid."," Sandvik vyslovoval "" l "" jako Norové, díky tomu měl jasnou, zřetelnou dikci, ať řekl co řekl, měl člověk dojem, že to má hlavu a patu."
"said","say","řekl","říci","pf"," Retaining the Norwegian ' l ' gave Sandvik 's accent a light, dry, clear-vowelled quality which made everything he said sound logical and lucid."," Sandvik vyslovoval "" l "" jako Norové, díky tomu měl jasnou, zřetelnou dikci, ať řekl co řekl, měl člověk dojem, že to má hlavu a patu."
"said","say","řekl","říci","pf"," Retaining the Norwegian ' l ' gave Sandvik 's accent a light, dry, clear-vowelled quality which made everything he said sound logical and lucid."," Sandvik vyslovoval "" l "" jako Norové, díky tomu měl jasnou, zřetelnou dikci, ať řekl co řekl, měl člověk dojem, že to má hlavu a patu."
"asked","ask","zeptal","zeptat","pf"," ' Where to? ' he asked after two further bread rolls, four slices of cheese and several cups of coffee."," "" Kam se jede? "" zeptal se po dalších dvou rohlících, čtyřech plátcích sýra a několika šálcích kávy."
"think","think","myslíte","myslet","impf"," ' Why do you think they did n't search the Shermans ' house at once, as soon as they 'd killed Bob Sherman?"," "" Proč myslíte, že dům Boba Shermana neprohledali hned, bezprostředně po jeho smrti?"
"wait","wait","čekali","čekat","impf"," Why wait a month? '"," Proč s tím čekali celý měsíc? """
"died","die","zemřel","zemřít","pf"," It took him approximately ten seconds to decide I would n't have been given my job if I could n't do it, and I saw no need to tell him that my boss had died suddenly eighteen months earlier and left the manager-elect in charge a lot sooner than anyone intended."," Za pouhých deset vteřin si uvědomil, že bych nezastával své postavení, kdybych na ně nestačil, a já necítil potřebu mu vysvětlovat, že můj předchůdce před osmnácti měsíci náhle zemřel, a já, jeho zástupce, jsem funkci převzal podstatně dřív, než kdokoli předpokládal."
"took","take","převzal","převzít","pf"," It took him approximately ten seconds to decide I would n't have been given my job if I could n't do it, and I saw no need to tell him that my boss had died suddenly eighteen months earlier and left the manager-elect in charge a lot sooner than anyone intended."," Za pouhých deset vteřin si uvědomil, že bych nezastával své postavení, kdybych na ně nestačil, a já necítil potřebu mu vysvětlovat, že můj předchůdce před osmnácti měsíci náhle zemřel, a já, jeho zástupce, jsem funkci převzal podstatně dřív, než kdokoli předpokládal."
"pressed","press","stiskl","stisknout","pf"," He shrugged and gave several small nods of the head, but turned to the outboard and pressed the necessary knobs."," Pokrčil rameny, pokýval a stiskl příslušné knoflíky u motoru."
"expected","expect","očekával","očekávat","impf"," I had half expected it to prove as lifeless as my fingers, but the spark hit the gas in an orderly fashion and Arne pointed the sharp end back towards hot coffee and radiators."," Skoro jsem očekával, že motor budě stejně ztuhlý jako moje prsty a že nenaskočí, ale jiskra zasáhla palivo tak, jak se patří, motor ožil a Arne zamířil přídí směrem ke kávě a ústřednímu topení."
"hit","hit","zasáhla","zasáhnout","pf"," I had half expected it to prove as lifeless as my fingers, but the spark hit the gas in an orderly fashion and Arne pointed the sharp end back towards hot coffee and radiators."," Skoro jsem očekával, že motor budě stejně ztuhlý jako moje prsty a že nenaskočí, ale jiskra zasáhla palivo tak, jak se patří, motor ožil a Arne zamířil přídí směrem ke kávě a ústřednímu topení."
"pointed","point","zamířil","zamířit","pf"," I had half expected it to prove as lifeless as my fingers, but the spark hit the gas in an orderly fashion and Arne pointed the sharp end back towards hot coffee and radiators."," Skoro jsem očekával, že motor budě stejně ztuhlý jako moje prsty a že nenaskočí, ale jiskra zasáhla palivo tak, jak se patří, motor ožil a Arne zamířil přídí směrem ke kávě a ústřednímu topení."
"pulled","pull","Přitáhl","přitáhnout","pf"," I pulled my jacket collar up and made like a tortoise."," Přitáhl jsem si límec bundy přes tváře a zatáhl hlavu jako želva."
"pulled","pull","zatáhl","zatáhnout","pf"," I pulled my jacket collar up and made like a tortoise."," Přitáhl jsem si límec bundy přes tváře a zatáhl hlavu jako želva."
"did","do","udělal","udělat","pf"," ' What did you do? ' she asked."," "" Co jste jim udělal? "" zeptala se."
"do","do","udělal","udělat","pf"," ' What did you do? ' she asked."," "" Co jste jim udělal? "" zeptala se."
"laughed","laugh","zasmála","zasmát","pf"," She laughed, but returned to her questions."," Kývla, zasmála se, a vrátila se k původní otázce :"
"returned","return","vrátila","vrátit","pf"," She laughed, but returned to her questions."," Kývla, zasmála se, a vrátila se k původní otázce :"
"make","make","vydělal","vydělat","pf"," For instance, during the Poseidon nickel boom in Australia, you 'd have been able to make literally millions on the stock market through knowing infallibly in advance which of the dozens of prospecting companies had made the drilling that was richest in ore. '"," Dejme tomu ..., když došlo k ohromnému rozvoji těžby niklu v Austrálii, na burze byste vydělal miliony, kdybyste s jistotou předem věděl, která z mnoha těžebních společností má nejbohatší ložiska. """
"made","make","vydělal","vydělat","pf"," For instance, during the Poseidon nickel boom in Australia, you 'd have been able to make literally millions on the stock market through knowing infallibly in advance which of the dozens of prospecting companies had made the drilling that was richest in ore. '"," Dejme tomu ..., když došlo k ohromnému rozvoji těžby niklu v Austrálii, na burze byste vydělal miliony, kdybyste s jistotou předem věděl, která z mnoha těžebních společností má nejbohatší ložiska. """
"told","tell","Řekl","říci","pf"," I told him I expected better than he 'd just done for Rolf Torp."," Řekl jsem mu, že od něho očekávám lepší výkon, než jaký předvedl v sedle koně Rolfa Torpa."
"expected","expect","očekávám","očekávat","impf"," I told him I expected better than he 'd just done for Rolf Torp."," Řekl jsem mu, že od něho očekávám lepší výkon, než jaký předvedl v sedle koně Rolfa Torpa."
"done","do","předvedl","předvést","pf"," I told him I expected better than he 'd just done for Rolf Torp."," Řekl jsem mu, že od něho očekávám lepší výkon, než jaký předvedl v sedle koně Rolfa Torpa."
"said","say","Řekl","říci","pf"," He said he understood. '"," Řekl, že mu to je jasné. """
"went","go","šel","jít","impf"," ' After the race, he unsaddled the horse and went to weigh in."," "" Po dostihu odsedlal a šel na váhu."
"see","see","neviděl","vidět","impf"," I did n't see him again. '"," Pak už jsem ho neviděl. """
"tell","tell","Řekl","říci","pf"," ' While he was unsaddling, did he tell you how the mare had run? '"," "" Řekl vám při odsedlávání, jak klisna běžela? """
"run","run","běžela","běžet","impf"," ' While he was unsaddling, did he tell you how the mare had run? '"," "" Řekl vám při odsedlávání, jak klisna běžela? """
"speak","speak","nemluvil","mluvit","impf"," I did n't speak to Sherman. '"," Se Shermanem jsem nemluvil. """
"forgotten","forget","zapomněl","zapomenout","pf"," ' I 've forgotten your name, ' he said without apology."," "" Já zapomněl, jak se jmenujete, "" řekl věcně a bez rozpaků."
"said","say","řekl","říci","pf"," ' I 've forgotten your name, ' he said without apology."," "" Já zapomněl, jak se jmenujete, "" řekl věcně a bez rozpaků."
"smiled","smile","Usmál","usmát","pf"," I smiled and gave him one of the firm 's official cards."," Usmál jsem se a podal mu svoji úřední vizitku."
"gave","give","podal","podat","pf"," I smiled and gave him one of the firm 's official cards."," Usmál jsem se a podal mu svoji úřední vizitku."
"come","come","přijel","přijet","pf"," Holth said into the receiver, ' A Mr David Cleveland - come from England to try to find your husband. '"," "" Je tu pan David Cleveland ..., přijel z Anglie, chce najít vašeho muže. """
"find","find","najít","najít","pf"," Holth said into the receiver, ' A Mr David Cleveland - come from England to try to find your husband. '"," "" Je tu pan David Cleveland ..., přijel z Anglie, chce najít vašeho muže. """
"see","see","Postarám","postarat","pf"," ' I 'll see she 's looked after, ' he said."," "" Postarám se o ni, "" řekl."
"said","say","řekl","říci","pf"," ' I 'll see she 's looked after, ' he said."," "" Postarám se o ni, "" řekl."
"come","come","Nechoďte","chodit","impf"," ' If you come in, I will shoot you. '"," "" Nechoďte dovnitř, nebo vás zastřelím! """
"shoot","shoot","zastřelím","zastřelit","pf"," ' If you come in, I will shoot you. '"," "" Nechoďte dovnitř, nebo vás zastřelím! """
"want","want","Nechci","chtít","impf"," ' I only want to talk to you. '"," "" Nechci nic jiného, než si s vámi promluvit, "" ubezpečoval jsem ho."
"talk","talk","promluvit","promluvit","pf"," ' I only want to talk to you. '"," "" Nechci nic jiného, než si s vámi promluvit, "" ubezpečoval jsem ho."
"stay","stay","zůstat","zůstat","pf"," ' Mikkel - You ca n't stay here for ever. '"," "" Mikkeli, stejně tam nemůžete zůstat věčně. """
"shoot","shoot","zastřelím","zastřelit","pf"," ' If you come in, I 'll shoot. '"," "" Jestli sem vlezete, zastřelím vás! """
"talk","talk","mluvit","mluvit","impf"," ' All right - I 'll talk from here. '"," "" Dobře, budu s vámi tedy mluvit takhle. """
"left","leave","Svěřil","svěřit","pf"," I left three 10-kroner notes with him, and with a smile he took good care of those."," Svěřil jsem mu taky tři desetikorunové bankovky, takže byl spokojený a usmíval se."
"tell","tell","pověděla","povědět","pf"," Then you 'll have plenty of time to tell me about Bob."," Budete mít spoustu času na to, abyste mi o Bobovi všechno pověděla."
"speak","speak","řekl","říci","pf"," He looked more upset than ever when I asked him if I could speak to her alone, but in the end he reluctantly returned to the devastation below."," Když jsem mu řekl, že bych s Emmou chtěl mluvit chvíli o samotě, zatvářil se ještě poplašeněji, ale nakonec se vzchopil a odešel dolů, do té spouště."
"speak","speak","mluvit","mluvit","impf"," He looked more upset than ever when I asked him if I could speak to her alone, but in the end he reluctantly returned to the devastation below."," Když jsem mu řekl, že bych s Emmou chtěl mluvit chvíli o samotě, zatvářil se ještě poplašeněji, ale nakonec se vzchopil a odešel dolů, do té spouště."
"held","hold","Držel","držet","impf"," I held her hand."," Držel jsem ji za ruku."
"nodded","nod","přikývla","přikývnout","pf"," She nodded slightly."," Nepatrně přikývla."
"seen","see","vidět","vidět","impf"," ' I must have seen it."," "" Musela jsem ji vidět."
"think","think","Myslím","myslet","impf"," ' I do n't think so."," "" Myslím, že ne."
"remember","remember","Nevzpomínám","vzpomínat","impf"," I ca n't remember."," Nevzpomínám si."
"recovered","recover","vzpamatovat","vzpamatovat","pf"," He went down as far as one knee, partially recovered, and toppled altogether when I shoved again with the chair."," Klekl na jedno koleno, ale nestačil se vzpamatovat, než jsem do něj znovu vrazil křeslem."
"shoved","shove","vrazil","vrazit","pf"," He went down as far as one knee, partially recovered, and toppled altogether when I shoved again with the chair."," Klekl na jedno koleno, ale nestačil se vzpamatovat, než jsem do něj znovu vrazil křeslem."
