"give","give","dáš","dát","pf"," "" And you 're ready to give it to us? "" urged Loonquawl."," "" A ty nám ji dáš? "" loudil Lúnkvól."
"stopped","stop","ustala","ustat","pf"," Quite suddenly the barrage stopped, and the sudden silence afterwards was punctuated by a couple of strangled gurgles and thuds."," Palba náhle ustala a ticho, jež následovalo, protrhlo jen dvojité zachroptění a žuchnutí."
"began","begin","začal","začít","pf"," "" Computer ... "" began Zaphod ..."," "" Počítači ..., "" začal Zafod."
"waiting","wait","Čekám","čekat","impf"," "" I 'm waiting, "" interrupted Eddie."," "" Čekám, "" přerušil ho Eddie."
"interrupted","interrupt","přerušil","přerušit","pf"," "" I 'm waiting, "" interrupted Eddie."," "" Čekám, "" přerušil ho Eddie."
"wait","wait","čekat","čekat","impf"," "" I can wait all day if necessary ... """," "" Můžu klidně čekat celý den, když na to přijde ... """
"said","say","řekl","říci","pf"," "" Terrific, "" said Arthur."," "" Báječný ..., "" řekl Arthur."
"see","see","Nechápete","chápat","impf"," "" But do n't you see what this means? """," "" Nechápete, co to znamená? """
"die","die","umřeme","umřít","pf"," We 're going to die. """," Znamená to, že umřeme. """
"means","mean","znamená","znamenat","impf"," "" It means we must be on to something! """," "" ... to znamená, že tu o něco jde. """
"explain","explain","vysvětloval","vysvětlovat","impf"," Ford would get out of his skull on whisky, huddle into a corner with some girl and explain to her in slurred phrases that honestly the colour of the flying saucers did n't matter that much really."," Úplně zmagořený whisky zatáhl do koutku nějakou dívku a vysvětloval jí s poněkud rozmazanou výslovností, že na barvě těch talířů v podstatě zas tak moc nezáleží."
"matter","matter","nezáleží","záležet","impf"," Ford would get out of his skull on whisky, huddle into a corner with some girl and explain to her in slurred phrases that honestly the colour of the flying saucers did n't matter that much really."," Úplně zmagořený whisky zatáhl do koutku nějakou dívku a vysvětloval jí s poněkud rozmazanou výslovností, že na barvě těch talířů v podstatě zas tak moc nezáleží."
"ask","ask","ptal","ptát","impf"," Thereafter, staggering semi-paralytic down the night streets he would often ask passing policemen if they knew the way to Betelgeuse."," A když se potom poloparalyticky potácel nočními ulicemi, ptal se policajtů na cestu k Betelgeuze."
"think","think","Nemyslíte","myslet","impf"," The policemen would usually say something like, "" Do n't you think it 's about time you went off home sir? """," Odpovídali mu obvykle něco jako "" Nemyslíte, pane, že je čas vydat se domů? """
"considered","consider","myslet","myslet","impf"," "" Yes, "" said Arthur, "" we 'd be mad, all things considered, to think this was Southend. """," "" Hm, asi to tak bude, když si v téhle situaci můžeme myslet, že jsme v Southendu. """
"think","think","myslet","myslet","impf"," "" Yes, "" said Arthur, "" we 'd be mad, all things considered, to think this was Southend. """," "" Hm, asi to tak bude, když si v téhle situaci můžeme myslet, že jsme v Southendu. """
"think","think","myslíš","myslet","impf"," "" Well, do you think this is Southend? """," "" A ty si myslíš, že je tohle Southend? """
"said","say","řekl","říci","pf"," "" Yes, "" said a passing maniac."," "" To jo, "" řekl kolemjdoucí maniak."
"said","say","řekli","říci","pf"," "" To business! "" they said."," "" Tak nazdar vědci! "" řekli jednohlasně."
"beg","beg","Prosím","prosit","impf"," "" I beg your pardon? "" said Benji."," "" Prosím? "" řekl přísně Béda."
"said","say","řekl","říci","pf"," "" I beg your pardon? "" said Benji."," "" Prosím? "" řekl přísně Béda."
"thought","think","myslel","myslet","impf"," "" Sorry, I thought you were proposing a toast, "" he said."," "" Promiňte, myslel jsem, že navrhujete přípitek. """
"proposing","propose","navrhujete","navrhovat","impf"," "" Sorry, I thought you were proposing a toast, "" he said."," "" Promiňte, myslel jsem, že navrhujete přípitek. """
"composed","compose","uklidnily","uklidnit","pf"," Finally they composed themselves, and Benji moved forward to address Arthur."," Po chvíli se uklidnily, Béda předjel a promluvil k Arthurovi :"
"address","address","promluvil","promluvit","pf"," Finally they composed themselves, and Benji moved forward to address Arthur."," Po chvíli se uklidnily, Béda předjel a promluvil k Arthurovi :"
"said","say","řekl","říci","pf"," "" Well, "" said Ford, "" the Thumb 's an electronic sub-etha signalling device, the roundabout 's at Barnard 's Star six light years away, but otherwise, that 's more or less right. """," "" No, "" řekl Ford, "" až na to, že místo palce jsme zamávali elektronickým sub - eta vysílačem, a ten objezd je šest světelných let odtud u Barnardovy hvězdy, jsi to víceméně vystihl. """
"said","say","řekl","říci","pf"," "" Shade your eyes ... "" he said, and turned it on."," "" Zakryj si oči, "" řekl a rozsvítil."
"removing","remove","odstranila","odstranit","pf"," "" Meanwhile, the poor Babel fish, by effectively removing all barriers to communication between different races and cultures, has caused more and bloddier wars than anything else in the history of creation. """," A zatím nešťasná babylónská rybka tím, že odstranila veškeré překážky v komunikaci mezi různými rasami a kulturami, způsobila víc krveprolití než cokoliv jiného v historii stvoření. """
"caused","cause","způsobila","způsobit","pf"," "" Meanwhile, the poor Babel fish, by effectively removing all barriers to communication between different races and cultures, has caused more and bloddier wars than anything else in the history of creation. """," A zatím nešťasná babylónská rybka tím, že odstranila veškeré překážky v komunikaci mezi různými rasami a kulturami, způsobila víc krveprolití než cokoliv jiného v historii stvoření. """
"discover","discover","zjistil","zjistit","pf"," He was horrified to discover that the kick through hyperspace had n't killed him."," Ke svému zděšení zjistil, že kopanec uštědřený hypeprostorem ho nezabil."
"killed","kill","nezabil","zabít","pf"," He was horrified to discover that the kick through hyperspace had n't killed him."," Ke svému zděšení zjistil, že kopanec uštědřený hypeprostorem ho nezabil."
"existed","exist","existovala","existovat","impf"," He was now six light years from the place that the Earth would have been if it still existed."," Octl se rázem šest světelných let od místa, kde by bývala Země, kdyby existovala."
"published","publish","vyšla","vyjít","pf"," The reason why it was published in the form of a micro sub meson electronic component is that if it were printed in normal book form, an interstellar hitch hiker would require several inconveniently large buildings to carry it around in."," Tato kniha existovala ve formě mikrosubmezonového elektronického komponentu i proto, že kdyby vyšla v normální podobě, potřeboval by hvězdný stopař několik nepohodlně velkých budov, aby ji v nich mohl vláčet s sebou."
"require","require","potřeboval","potřebovat","impf"," The reason why it was published in the form of a micro sub meson electronic component is that if it were printed in normal book form, an interstellar hitch hiker would require several inconveniently large buildings to carry it around in."," Tato kniha existovala ve formě mikrosubmezonového elektronického komponentu i proto, že kdyby vyšla v normální podobě, potřeboval by hvězdný stopař několik nepohodlně velkých budov, aby ji v nich mohl vláčet s sebou."
"cried","cry","křičel","křičet","impf"," "" What? "" cried Arthur, backing away still further."," "" Cože? "" křičel Arthur a zděšeně couval."
"See","see","vidíte","vidět","impf"," "" See what I mean? "" said Zaphod and howled with pain because of something that Trillian did at that moment."," "" Tak vidíte, "" řekl Zafod a zařval bolestí, protože ho Trillian pod stolem kopla do kotníku."
"said","say","řekl","říci","pf"," "" See what I mean? "" said Zaphod and howled with pain because of something that Trillian did at that moment."," "" Tak vidíte, "" řekl Zafod a zařval bolestí, protože ho Trillian pod stolem kopla do kotníku."
"puzzled","puzzle","mátl","mást","impf"," He proffered people to be puzzled rather than contemptuous."," Raděj lidi mátl, než aby čelil jejich pohrdání."
"argue","argue","diskutovat","diskutovat","impf"," This above all appeared to Trillian to be genuinely stupid, but she could no longer be bothered to argue about it."," To připadalo Trillian úplně ze všeho nejhloupější, ale už ji prostě přestalo bavit o tom diskutovat."
"wanting","want","chtěl","chtít","impf"," She sighed and punched up a star map on the visiscreen so she could make it simple for him, whatever his reasons for wanting it to be that way."," S povzdechem nacvakala na obrazovku hvězdnou mapu, aby mu to tedy zjednodušila, ať už to tak chtěl z jakýchkoli důvodů."
"passed","pass","podal","podat","pf"," He passed it over again."," Ford mu opět podal knihu."
"stared","stare","zíral","zírat","impf"," Arthur stared at it."," Arthur zíral na potištěnou stránku."
"burst","burst","vybuchl","vybuchnout","pf"," "" It does n't have an entry! "" he burst out."," "" Vždyť tam to heslo není! "" vybuchl."
"looked","look","nahlédl","nahlédnout","pf"," Ford looked over his shoulder."," Ford mu nahlédl přes rameno."
"help","help","pomůže","pomoci","pf"," "" Will that help? "" asked the barman."," "" A pomůže to? "" zajímal se barman."
"Excuse","excuse","Promiňte","prominout","pf"," "" Excuse me, "" he said, "" I 've got to go. """," "" Promiňte, už musím jít. """
"go","go","jít","jít","impf"," "" Excuse me, "" he said, "" I 've got to go. """," "" Promiňte, už musím jít. """
"lie","lie","ležet","ležet","impf"," Somebody 's got to lie in front of the bulldozers have n't they?"," Někdo musí ležet tady před těmi buldozery, že?"
"stop","stop","nebránilo","bránit","impf"," Or there wo n't be anything to stop them driving into Mr Dent 's house will there? """," Jinak by jim nic nebránilo, aby převálcovali dům pana Denta, že ano? """
"disappointed","disappoint","zklamán","zklamat","pf"," Grunthos is reported to have been "" disappointed "" by the poem 's reception, and was about to embark on a reading of his twelvebook epic entitled My Favourite Bathtime Gurgles when his own major intestine, in a desperate attempt to save life and civilization, leapt straight up through his neck and throttled his brain."," Tvrdí se, že Chrochtos byl poněkud "" zklamán "" přijetím své básně, a přávě se chystal začít předčítat svou epickou skladbu o dvanácti knihách, nazvanou Mé oblíbené chrochty ve vaně, když vtom jeho vlastní tlusté střevo v zoufalém pokusu zachránit životy a civilizaci mu vyskočilo až do krku a zadusilo mozek."
"save","save","zachránit","zachránit","pf"," Grunthos is reported to have been "" disappointed "" by the poem 's reception, and was about to embark on a reading of his twelvebook epic entitled My Favourite Bathtime Gurgles when his own major intestine, in a desperate attempt to save life and civilization, leapt straight up through his neck and throttled his brain."," Tvrdí se, že Chrochtos byl poněkud "" zklamán "" přijetím své básně, a přávě se chystal začít předčítat svou epickou skladbu o dvanácti knihách, nazvanou Mé oblíbené chrochty ve vaně, když vtom jeho vlastní tlusté střevo v zoufalém pokusu zachránit životy a civilizaci mu vyskočilo až do krku a zadusilo mozek."
"leapt","leap","vyskočilo","vyskočit","pf"," Grunthos is reported to have been "" disappointed "" by the poem 's reception, and was about to embark on a reading of his twelvebook epic entitled My Favourite Bathtime Gurgles when his own major intestine, in a desperate attempt to save life and civilization, leapt straight up through his neck and throttled his brain."," Tvrdí se, že Chrochtos byl poněkud "" zklamán "" přijetím své básně, a přávě se chystal začít předčítat svou epickou skladbu o dvanácti knihách, nazvanou Mé oblíbené chrochty ve vaně, když vtom jeho vlastní tlusté střevo v zoufalém pokusu zachránit životy a civilizaci mu vyskočilo až do krku a zadusilo mozek."
"perished","perish","zanikla","zaniknout","pf"," The very worst poetry of all perished along with its creator Paula Nancy Millstone Jennings of Greenbridge, Essex, England in the destruction of the planet Earth."," Nejhorší poezie, jaké kdy byla napsána, zanikla spolu se svou tvůrkyní Paulou Nancy Millstone Jenningsovou z Greenbridge v hrabství Essex v Anglii při zkáze planety Země."
"smiled","smile","usmál","usmát","pf"," Prostetnic Vogon Jeltz smiled very slowly."," Prostenik Vogon Jelc se velmi zvolna usmál."
"got","get","zůstal","zůstat","pf"," "" I came for a week and got stuck for fifteen years. """," "" Chtěl jsem se zdržet týden, a zůstal jsem patnáct let. """
"get","get","dostal","dostat","pf"," "" But how did you get there in the first place then? """," "" Ale jak ses tam vůbec dostal? """
"Come","come","pojďte","jít","impf"," "" Come on, "" he droned, "" I 've been ordered to take you down to the bridge."," "" Tak pojďte, "" hučel monotónně, "" nařídili mi, že vás mám přivést na velitelský můstek."
"Call","call","říkáte","říkat","impf"," Call that job satisfaction?"," Tomu říkáte pracovní uspokojení?"
"turned","turn","Otočil","otočit","pf"," He turned and walked back to the hated door."," Otočil se a zamířil zpět k nenáviděným dveřím."
"turned","turn","zamířil","zamířit","pf"," He turned and walked back to the hated door."," Otočil se a zamířil zpět k nenáviděným dveřím."
"excuse","excuse","promiňte","prominout","pf"," "" Er, excuse me, "" said Ford following after him, "" which government owns this ship? """," "" Ehm, promiňte, "" Ford šel v závěsu za ním, "" ale které vládě patří tahle loď? """
"ignored","ignore","ignoroval","ignorovat","impf"," Marvin ignored him."," Marvin ho ignoroval."
"discern","discern","rozeznat","rozeznat","pf"," He peered at it, but was unable to discern any clear shape,"," Snažil se zahlédnout, jaké plavidlo by to mohlo být, ale ať namáhal oči sebevíc, nedokázal rozeznat žádný určitý tvar."
"entered","enter","vstoupil","vstoupit","pf"," "" Go away! "" he shouted at a young Vogon guard who entered the bridge at that moment."," "" Vypadni! "" zařval na mladého vogonského vojína, který právě vstoupil na velitelský můstek."
"delivered","deliver","podat","podat","pf"," He was glad it would n't now be him who delivered the report they 'd just received."," Byl rád, že zrovna on nebude muset podat hlášení, které před chvílí zachytili."
"demolished","demolish","zničeny","zničit","pf"," Though the planet Earth, the Islington flat and the telephone have all now been demolished, it is comforting to reflect that they are all in some small way commemorated by the fact that twenty-nine seconds later Ford and Arthur were rescued."," Ačkoliv planeta Země, islingtonský byt i telefon v něm byly nedávno zničeny, můžeme se utěšovat pomyšlením, že jejich památka zůstala alespoň do jisté míry zachována tím, že po dvaceti devíti vteřinách byli Ford s Arthurem zachráněni."
"rescued","rescue","zachráněni","zachránit","pf"," Though the planet Earth, the Islington flat and the telephone have all now been demolished, it is comforting to reflect that they are all in some small way commemorated by the fact that twenty-nine seconds later Ford and Arthur were rescued."," Ačkoliv planeta Země, islingtonský byt i telefon v něm byly nedávno zničeny, můžeme se utěšovat pomyšlením, že jejich památka zůstala alespoň do jisté míry zachována tím, že po dvaceti devíti vteřinách byli Ford s Arthurem zachráněni."
"open","open","začal","začít","pf"," A computer chatted to itself in alarm as it noticed an airlock open and close itself for no apparent reason."," Počítač si začal zděšeně brebentit pro sebe, když zjistil, že se jedna přechodová komora otevřela a zase zavřela bez jakéhokoliv zjevného důvodu."
"open","open","otevřela","otevřít","pf"," A computer chatted to itself in alarm as it noticed an airlock open and close itself for no apparent reason."," Počítač si začal zděšeně brebentit pro sebe, když zjistil, že se jedna přechodová komora otevřela a zase zavřela bez jakéhokoliv zjevného důvodu."
"close","close","zavřela","zavřít","pf"," A computer chatted to itself in alarm as it noticed an airlock open and close itself for no apparent reason."," Počítač si začal zděšeně brebentit pro sebe, když zjistil, že se jedna přechodová komora otevřela a zase zavřela bez jakéhokoliv zjevného důvodu."
"appeared","appear","objevila","objevit","pf"," A hole had just appeared in the Galaxy."," V Galaxii se právě objevila trhlina."
"see","see","uviděl","uvidět","pf"," Several tunnels also had their terminus here, and at the farther end of the chamber Arthur could see a large circle of dim irritating light."," Ústilo tu ještě několik dalších tunelů a na vzdáleném konci komory Arthur uviděl ohromný kruh matného, ale dráždivého světla."
"guessed","guess","odhadl","odhadnout","pf"," Arthur guessed ( quite wrongly ) that it might be ultra violet."," Arthur zcela nesprávně odhadl, že by mohlo být ultrafialové."
"regarded","regard","hleděl","hledět","impf"," Slartibartfast turned and regarded Arthur with his solemn old eyes."," Slartibartfast teď hleděl na Arthura vážnýma starýma očima."
"walk","walk","nepůjdeš","jít","impf"," "" And you 'll never walk alone ... Impact minus five seconds, it 's been great knowing you guys, God bless ..."," "" A nikdy nepůjdeš sám ... zásah za pět vteřin, jsem rád, že jsem vás poznal, hoši, spánembohem ..."
"said","say","Povídám","povídat","impf"," "" I said, "" yelled Trillian, "" does anyone know ... """," "" Povídám, "" zaječela Trillian, "" může mi někdo ... """
"continued","continue","pokračovalo","pokračovat","impf"," And the next thing that happened after that was that the Heart of Gold continued on its way perfectly normally with a rather fetchingly redesigned interior."," A další, co se přihodilo hned po ní, bylo, že Srdce ze zlata pokračovalo naprosto normálně ve své pouti a mělo teď rozkošně zařízený interiér."
"wish","wish","Přál","přát","impf"," "" I wish I had a daughter so I could forbid her to marry one ... """," Přál bych si mít dceru a zakázat jí, aby si ho vzala ... """
"forbid","forbid","zakázat","zakázat","pf"," "" I wish I had a daughter so I could forbid her to marry one ... """," Přál bych si mít dceru a zakázat jí, aby si ho vzala ... """
"need","need","nemusel","muset","impf"," "" You would n't need to, "" said Ford."," "" Ani bys nemusel, "" řekl Ford."
"said","say","řekl","říci","pf"," "" You would n't need to, "" said Ford."," "" Ani bys nemusel, "" řekl Ford."
"want","want","žádáme","žádat","impf"," "" We are quite definitely here as representatives of the Amalgamated Union[ ]of Philosophers, Sages, Luminaries and Other Thinking Persons, and we want this machine off, and we want it off now! """," "" Jsme tu docela určitě za Spojené odborové svazy filozofů, mudrců, osvícenců a jiných myslících osob a žádáme, abyste tuhle mašinu vypli, a to hned! """
"want","want","žádáme","žádat","impf"," "" We are quite definitely here as representatives of the Amalgamated Union[ ]of Philosophers, Sages, Luminaries and Other Thinking Persons, and we want this machine off, and we want it off now! """," "" Jsme tu docela určitě za Spojené odborové svazy filozofů, mudrců, osvícenců a jiných myslících osob a žádáme, abyste tuhle mašinu vypli, a to hned! """
"disappeared","disappear","zmizela","zmizet","pf"," Magrathea itself disappeared and its memory soon passed into the obscurity of legend."," Magrathea sama zmizela a vzpomínky na ni se zakrátko staly jen mlhavou legendou."
"waving","wave","mával","mávat","impf"," Ford was waving his arms about."," Ford tam divoce mával rukama."
"said","say","řekl","říci","pf"," "" OK, sure thing, guys, "" said the computer."," "" Jasná páka, hoši, "" řekl počítač."
"flattened","flatten","vyrovnala","vyrovnat","pf"," With a subtle roar the engines cut back in, the ship smoothly flattened out of its dive and headed back towards the missiles again."," Motory s tichým hukotem naskočily, loď hladce vyrovnala pád a obrátila se opět přídí proti střelám."
"started","start","začal","začít","pf"," The computer started to sing."," Počítač začal zpívat."
"sing","sing","zpívat","zpívat","impf"," The computer started to sing."," Počítač začal zpívat."
"walk","walk","kráčíš","kráčet","impf"," "" When you walk through the storm ... "" it whined nasally, "" hold your head up high ... """," "" Když bouří kráčíš ..., hlavu svou zpříma drž ..., "" kňoural huhňavě."
"hold","hold","drž","držet","impf"," "" When you walk through the storm ... "" it whined nasally, "" hold your head up high ... """," "" Když bouří kráčíš ..., hlavu svou zpříma drž ..., "" kňoural huhňavě."
"learned","learn","nenaučil","naučit","pf"," Because Ford never learned to say his original name, his father eventually died of shame, which is still a terminal disease in some parts of the Galaxy."," Protože se Ford nikdy nenaučil vyslovit své původní jméno, jeho otec nakonec zemřel hanbou, což je v některých částech Galaxie dosud smrtelná nemoc."
"say","say","vyslovit","vyslovit","pf"," Because Ford never learned to say his original name, his father eventually died of shame, which is still a terminal disease in some parts of the Galaxy."," Protože se Ford nikdy nenaučil vyslovit své původní jméno, jeho otec nakonec zemřel hanbou, což je v některých částech Galaxie dosud smrtelná nemoc."
"died","die","zemřel","zemřít","pf"," Because Ford never learned to say his original name, his father eventually died of shame, which is still a terminal disease in some parts of the Galaxy."," Protože se Ford nikdy nenaučil vyslovit své původní jméno, jeho otec nakonec zemřel hanbou, což je v některých částech Galaxie dosud smrtelná nemoc."
"translates","translate","vysvětlit","vysvětlit","pf"," The other kids at school nicknamed him Ix, which in the language of Betelgeuse Five translates as "" boy who is[ ]not able satisfactorily to explain what a Hrung is, nor why it should choose to collapse on Betelgeuse Seven "". ]"," Ve škole mu spolužáci přezdívali Ix, což v jazyce Betelgeuze pět znamená "" chlapec, který neumí uspokojivě vysvětlit, co je to Hrung, ani proč si vybral ke zhroucení zrovna Betelgeuze sedm ""."
"explain","explain","vysvětlit","vysvětlit","pf"," The other kids at school nicknamed him Ix, which in the language of Betelgeuse Five translates as "" boy who is[ ]not able satisfactorily to explain what a Hrung is, nor why it should choose to collapse on Betelgeuse Seven "". ]"," Ve škole mu spolužáci přezdívali Ix, což v jazyce Betelgeuze pět znamená "" chlapec, který neumí uspokojivě vysvětlit, co je to Hrung, ani proč si vybral ke zhroucení zrovna Betelgeuze sedm ""."
"choose","choose","vybral","vybrat","pf"," The other kids at school nicknamed him Ix, which in the language of Betelgeuse Five translates as "" boy who is[ ]not able satisfactorily to explain what a Hrung is, nor why it should choose to collapse on Betelgeuse Seven "". ]"," Ve škole mu spolužáci přezdívali Ix, což v jazyce Betelgeuze pět znamená "" chlapec, který neumí uspokojivě vysvětlit, co je to Hrung, ani proč si vybral ke zhroucení zrovna Betelgeuze sedm ""."
"see","see","neviděl","vidět","impf"," He looked about the cabin but could see very little;"," Rozhlížel se po kabině, ale moc toho neviděl."
"existed","exist","existovala","existovat","impf"," "" That ... "" said Zaphod, "" is the most improbable planet that ever existed. """," "" To je ... ta nejnepravděpodobnější planeta, jaká kdy existovala. """
"assumed","assume","domníval","domnívat","impf"," For instance, on the planet Earth, man had always assumed that he was more intelligent than dolphins because he had achieved so much - the wheel, New York, wars and so on - whilst all the dolphins had ever done was muck about in the water having a good time."," Tak například na planetě Zemi se člověk vždycky domníval, že je inteligentnější než delfín, protože toho tolik dokázal ( kolo, New York, války atd. ), kdežto delfíni odjakživa nedělali nic jiného, než se mrskali ve vodě a žili si jako prasata v žitě."
"done","do","nedělali","dělat","impf"," For instance, on the planet Earth, man had always assumed that he was more intelligent than dolphins because he had achieved so much - the wheel, New York, wars and so on - whilst all the dolphins had ever done was muck about in the water having a good time."," Tak například na planetě Zemi se člověk vždycky domníval, že je inteligentnější než delfín, protože toho tolik dokázal ( kolo, New York, války atd. ), kdežto delfíni odjakživa nedělali nic jiného, než se mrskali ve vodě a žili si jako prasata v žitě."
"see","see","vidět","vidět","impf"," From the heart of a dark nebula it is possible to see very few stars, and only very faintly, but they were there to be seen."," Uvnitř temného mračna je vidět jen málo hvězd a jen slabě, ale k vidění přece byly."
"seen","see","vidět","vidět","impf"," From the heart of a dark nebula it is possible to see very few stars, and only very faintly, but they were there to be seen."," Uvnitř temného mračna je vidět jen málo hvězd a jen slabě, ale k vidění přece byly."
"looked","look","pohlédl","pohlédnout","pf"," The robot obediently looked at them, then looked back."," Robot na ně poslušně pohlédl a odvrátil se."
"looked","look","pohlédl","pohlédnout","pf"," The robot obediently looked at them, then looked back."," Robot na ně poslušně pohlédl a odvrátil se."
"seen","see","neviděl","vidět","impf"," I 've never seen anything like it in my wildest dreams ... the two suns!"," Ani v nejdivočejších snech jsem neviděl nic takového ... dvě slunce!"
"seen","see","Viděl","vidět","impf"," "" I 've seen it, "" said Marvin."," "" Viděl jsem to, "" řekl chmurně Marvin."
"said","say","řekl","říci","pf"," "" I 've seen it, "" said Marvin."," "" Viděl jsem to, "" řekl chmurně Marvin."
"left","leave","přestal","přestat","pf"," He slumped against the wall again and carried on the tune from where he left off."," Opět sebou plácl na stěnu a pokračoval v melodii tam, kde před chvílí přestal."
