"say","say","říkáš","říkat","impf"," “ Why do you say that? ”"," "" Proč to říkáš? """
"say","say","neříkej","říkat","impf"," “ You mustn ’ t say that, ” he interrupted hotly, “ that ’ s not the way to talk. ”"," "" To neříkej, "" přerušil ji nesouhlasně, "" tak nesmíš mluvit! """
"interrupted","interrupt","přerušil","přerušit","pf"," “ You mustn ’ t say that, ” he interrupted hotly, “ that ’ s not the way to talk. ”"," "" To neříkej, "" přerušil ji nesouhlasně, "" tak nesmíš mluvit! """
"say","say","mluvit","mluvit","impf"," “ You mustn ’ t say that, ” he interrupted hotly, “ that ’ s not the way to talk. ”"," "" To neříkej, "" přerušil ji nesouhlasně, "" tak nesmíš mluvit! """
"talk","talk","mluvit","mluvit","impf"," “ You mustn ’ t say that, ” he interrupted hotly, “ that ’ s not the way to talk. ”"," "" To neříkej, "" přerušil ji nesouhlasně, "" tak nesmíš mluvit! """
"say","say","řekne","říci","pf"," “ It ’ s all very well for you to say that ’ s not the way, that ’ s not the way."," "" Tobě se řekne - nesmíš, nesmíš!"
"defended","defend","brání","bránit","impf"," “ You ’ re talking nonsense, ” the tailor defended himself weakly."," "" Blázníš! "" brání se mdle mistr."
"make","make","ušiješ","ušít","pf"," “ Well, then, will you make it or won ’ t you? ”"," "" Tak tedy - ušiješ? """
"do","do","dělat","dělat","impf"," What else can I do? ”"," Co dělat? """
"smells","smell","voní","vonět","impf"," Now I ’ ve got you, you ’ re leaning against my shoulder and your hair smells lovely."," Teď jsi tu ty, opíráš se mi o rameno a tolik ti voní vlasy."
"smell","smell","voní","vonět","impf"," What does it smell of?"," Čímpak ti to voní?"
"walked","walk","Chodili","chodit","impf"," They walked pressed side by side over other paths than those which criss-crossed the world outside their window, and the world swam in a blaze of sunlight and the ground beneath their feet was firm."," Chodili přimknuti tělem jeden k druhému po jiných cestách než těch, jaké překřižují zem za oknem, a svět tonul v záplavě slunečního světla a půda pod nohama byla pevná."
"ran","run","Běželi","běžet","impf"," They ran side by side over steep grassy slopes and the keen mountain wind ruffled her hair."," Běželi spolu po svažité, travnaté louce, břitký vítr z hor jí čechral vlasy."
"slid","slide","klouzl","klouznout","pf"," The first beam of sunlight slid over the old roof and lost itself in the thick leaves of the chestnut tree."," První paprsek tiše klouzl po staré střeše a uvízl kdesi v listnaté koruně kaštanu."
"talking","talk","rozmlouvá","rozmlouvat","impf"," The urgent tinkle of a bell rang through the house, Daddy was talking to someone at the gate and nodding his fine silver-haired head; returning towards the house along the path, he made for the garage."," Křepký zvonek proletí domem, táta s kýmsi rozmlouvá u branky, pokyvuje svou ušlechtilou stříbrnou hlavou, vrací se po pěšince domů a zamíří ke garáži."
"returning","return","vrací","vracet","impf"," The urgent tinkle of a bell rang through the house, Daddy was talking to someone at the gate and nodding his fine silver-haired head; returning towards the house along the path, he made for the garage."," Křepký zvonek proletí domem, táta s kýmsi rozmlouvá u branky, pokyvuje svou ušlechtilou stříbrnou hlavou, vrací se po pěšince domů a zamíří ke garáži."
"move","move","Nepohnula","pohnout","pf"," She did not move, even when heavy hobnailed boots clattered over the cobbles and reached her."," Nepohnula se, ani když k ní dupavým během po dlažbě dorazilo pár těžkých okovaných bot."
"reached","reach","dorazilo","dorazit","pf"," She did not move, even when heavy hobnailed boots clattered over the cobbles and reached her."," Nepohnula se, ani když k ní dupavým během po dlažbě dorazilo pár těžkých okovaných bot."
"said","say","řekl","říci","pf"," Somebody gave a whistle of surprise and said in a calm voice without any anger :"," Kdosi překvapeně hvízdl a řekl klidným hlasem už docela beze zloby :"
"asked","ask","zeptal","zeptat","pf"," He noticed her and asked :"," Všiml si toho a zeptal se :"
"turned","turn","obrátila","obrátit","pf"," What if I am? ” she retorted glumly, and then turned to him with a questioning look."," Co je ti do toho? "" odsekla rozladěně, ale pak se najednou na něho obrátila s otázkou ve tváři :"
"called","call","Říká","říkat","impf"," They called it the Protektorat Böhmen und Mähren, but old Čepek never called this becudgelled little state anything else but protentokrát - “ for the time being ”."," Říká se tomu Protektorát für Böhmen und Mähren, ale starý Čepek důsledně jmenuje tenhle vypráskaný státeček - protentokrát."
"called","call","Říká","říkat","impf"," They called it the Protektorat Böhmen und Mähren, but old Čepek never called this becudgelled little state anything else but protentokrát - “ for the time being ”."," Říká se tomu Protektorát für Böhmen und Mähren, ale starý Čepek důsledně jmenuje tenhle vypráskaný státeček - protentokrát."
"found","find","najde","najít","pf"," Mum always found a Biblical parallel for every occasion."," Pro každou příležitost snadno najde příměr v biblickém příběhu."
"going","go","zemřel","zemřít","pf"," The tailor ’ s wan hand caressed his hair, a hand as light as a breeze, and turned out the light above his head. On tiptoe the old man crept from the room, with a barely audible sigh, going back to his newspaper lying open on the kitchen table. On the front page was a large picture framed in black, and underneath it the announcement that SS-Obergruppenführer Reinhard Heydrich had died as a result of the murderous attack made on him."," Zvadlá krejčovská dlaň se mu smýkne po vlasech, lehká jako větřík, a zhasí světlo nad hlavou a krejčí se po špičkách a se sotva slyšitelným povzdechem vrací do kuchyně k rozečteným novinám, jejichž první stránka hlásá nad velkou fotografií v černém rámečku, že SS - Obergruppenführer Reinhard Heydrich zemřel na následky vražedného útoku."
"died","die","zemřel","zemřít","pf"," The tailor ’ s wan hand caressed his hair, a hand as light as a breeze, and turned out the light above his head. On tiptoe the old man crept from the room, with a barely audible sigh, going back to his newspaper lying open on the kitchen table. On the front page was a large picture framed in black, and underneath it the announcement that SS-Obergruppenführer Reinhard Heydrich had died as a result of the murderous attack made on him."," Zvadlá krejčovská dlaň se mu smýkne po vlasech, lehká jako větřík, a zhasí světlo nad hlavou a krejčí se po špičkách a se sotva slyšitelným povzdechem vrací do kuchyně k rozečteným novinám, jejichž první stránka hlásá nad velkou fotografií v černém rámečku, že SS - Obergruppenführer Reinhard Heydrich zemřel na následky vražedného útoku."
"digging","dig","hloubí","hloubit","impf"," She felt as though this very sympathy was digging a trench between her and the other people."," Zdálo se jí, že právě soucit hloubí příkop mezi ní a ostatními lidmi."
"hear","hear","Slyšíš","slyšet","impf"," Do you hear them?"," Slyšíš?"
"want","want","nechtěli","chtít","impf"," They did not even want to."," Ani nechtěli."
"laid","lay","Položila","položit","pf"," She laid her head on his chest and pressed her ear against him."," Položila mu hlavu na hrud "", přitiskla k ní ucho."
"pressed","press","přitiskla","přitisknout","pf"," She laid her head on his chest and pressed her ear against him."," Položila mu hlavu na hrud "", přitiskla k ní ucho."
"beating","beat","bije","bít","impf"," It ’ s beating in there."," Tam bije."
"Wait","wait","Počkej","počkat","pf"," Wait a minute, keep still so as I can hear."," Počkej, nehýbej se, ať slyším."
"hear","hear","slyším","slyšet","impf"," Wait a minute, keep still so as I can hear."," Počkej, nehýbej se, ať slyším."
"kiss","kiss","políbit","políbit","pf"," I ’ d like to kiss it if I could ... ”"," Chtěla bych je políbit, kdybych mohla ... """
"surrounded","surround","obklíčili","obklíčit","pf"," “ Those fellows, you know ... the men who did for Heydrich ... they surrounded them in the Orthodox church in Ressel Street ... ”"," "" No přece ... ty, co odkrouhli Heydricha ... obklíčili je v pravoslavném kostele v Resslovce ... """
"go","go","jděte","jít","impf"," Don ’ t stand about here, go in."," Nestůjte tady a jděte!"
"Go","go","Jděte","jít","impf"," Go home!"," Jděte domů!"
"get","get","dostat","dostat","pf"," I could hardly get here ... can ’ t you hear the row out in the street ...? ”"," Nemohl jsem se sem vůbec dostat ... slyšíte ten kravál z ulice ...? """
