"thought","think","myslel","myslet","impf"," "" I thought I saw children. """," "" A já si myslel, že vidím děti. """
"went","go","fungovat","fungovat","impf"," A minute later the lights went out and the phones went dead."," O minutu později zhasla veškerá světla a přestaly fungovat telefony."
"went","go","fungovat","fungovat","impf"," A minute later the lights went out and the phones went dead."," O minutu později zhasla veškerá světla a přestaly fungovat telefony."
"carried","carry","nesl","nést","impf"," Billy Passafaro, neatly shaved and wearing a short-sleeve white button-down, carried a four-foot length of two-by-four on which he 'd written WELCOME TO PHILADELPHIA!!"," Billy Passafaro, hladce oholený a oblečený do bílé košile s krátkými rukávy, nesl na metr dlouhém trámku tabuli, na kterou si napsal VÍTEJTE VE FILADELFII!!"
"written","write","napsal","napsat","pf"," Billy Passafaro, neatly shaved and wearing a short-sleeve white button-down, carried a four-foot length of two-by-four on which he 'd written WELCOME TO PHILADELPHIA!!"," Billy Passafaro, hladce oholený a oblečený do bílé košile s krátkými rukávy, nesl na metr dlouhém trámku tabuli, na kterou si napsal VÍTEJTE VE FILADELFII!!"
"invited","invite","pozvala","pozvat","pf"," A week after that, Brian took Denise home after work and she invited him inside."," Týden nato vezl Brian po práci Denisu domů a ona ho pozvala dál."
"asked","ask","zeptal","zeptat","pf"," Over the same fifty-dollar wine she 'd once served his wife, he asked if she and Robin had had a falling-out."," Nad stejným vínem za padesát dolarů, které před časem nalévala jeho manželce, se jí zeptal, jestli se s Robin nějak nepohodly."
"thought","think","myslel","myslet","impf"," "" That 's what I thought."," "" Přesně to jsem si myslel."
"made","make","udělali","udělat","pf"," with these prospective savings in hand, plus twenty-seven percent of the railroad 's stock, plus limitless junk financing, the Wroths made an irresistible tender offer and bought the railroad outright."," S touhle budoucí úsporou v hrsti, s dvaceti sedmi procenty akcií v kapse a s neomezenými prostředky na financování udělali Wrothovi nabídku, jaká se nedá odmítnout, a koupili železniční společnost nastojato."
"bought","buy","koupili","koupit","pf"," with these prospective savings in hand, plus twenty-seven percent of the railroad 's stock, plus limitless junk financing, the Wroths made an irresistible tender offer and bought the railroad outright."," S touhle budoucí úsporou v hrsti, s dvaceti sedmi procenty akcií v kapse a s neomezenými prostředky na financování udělali Wrothovi nabídku, jaká se nedá odmítnout, a koupili železniční společnost nastojato."
"gone","go","chodila","chodit","impf"," She 'd gone to school in a bright modernity and come home every day to an older, darker world."," Škola, do níž chodila, patřila do světlé moderní doby, ale domů se každý den vracela do staršího, temnějšího světa."
"come","come","chodila","chodit","impf"," She 'd gone to school in a bright modernity and come home every day to an older, darker world."," Škola, do níž chodila, patřila do světlé moderní doby, ale domů se každý den vracela do staršího, temnějšího světa."
"watched","watch","pozoroval","pozorovat","impf"," Brian, retriever, watched her intently."," Brian, retrívr, ji zaujatě pozoroval."
"says","say","říká","říkat","impf"," "" My architect says we can run a floor along the entire south wall of windows."," "" Můj architekt říká, "" začal vysvětlovat, "" že můžeme podél celé jižní stěny s okny položit vyvýšenou podlahu."
"Put","put","umístíme","umístit","pf"," Put the kitchen underneath."," Kuchyň umístíme dospod."
"bringing","bring","neseš","nést","impf"," "" Why are you bringing me cupcakes? "" he said."," "" Proč mi neseš koláčky? "" vyhrkl neohrabaně."
"set","set","položila","položit","pf"," Melissa knelt and set the plate on his doormat among the pulverized remains of ivy and dead tulips."," Melissa si klekla a položila talíř na rohožku mezi tlející zbytky břečťanu a uschlých tulipánů."
"leave","leave","nechám","nechat","pf"," "" I 'll just leave them here, "" she said, "" and you can do whatever you want with them."," "" Jen vám je tu nechám, "" prohlásila, "" a vy si s nimi můžete udělat, co se vám zlíbí."
"said","say","prohlásila","prohlásit","pf"," "" I 'll just leave them here, "" she said, "" and you can do whatever you want with them."," "" Jen vám je tu nechám, "" prohlásila, "" a vy si s nimi můžete udělat, co se vám zlíbí."
"do","do","udělat","udělat","pf"," "" I 'll just leave them here, "" she said, "" and you can do whatever you want with them."," "" Jen vám je tu nechám, "" prohlásila, "" a vy si s nimi můžete udělat, co se vám zlíbí."
"ran","run","utekla","utéci","pf"," She spread her arms and pirouetted off the doorstep and ran up the flagstone path on tiptoe."," Rozpřáhla ruce, piruetou se snesla ze schodů a po špičkách utekla po dlážděné cestě."
"write","write","Napiš","napsat","pf"," Please write or call."," Napiš nebo zavolej, prosím tě."
"call","call","zavolej","zavolat","pf"," Please write or call."," Napiš nebo zavolej, prosím tě."
"regarded","regard","považovalo","považovat","impf"," "" Throughout history, mankind has regarded sand and gravel as inexhaustible resources, "" said ECNR chairman Jacques Dor-mand."," "" V celé své historii považovalo lidstvo písek a štěrk za nevyčerpatelné zdroje, "" prohlásil předseda ERPZ Jacques Dormand."
"said","say","prohlásil","prohlásit","pf"," "" Throughout history, mankind has regarded sand and gravel as inexhaustible resources, "" said ECNR chairman Jacques Dor-mand."," "" V celé své historii považovalo lidstvo písek a štěrk za nevyčerpatelné zdroje, "" prohlásil předseda ERPZ Jacques Dormand."
"need","need","potřebuju","potřebovat","impf"," "" But what if I need something different on this Web page and others like it?"," "" Jenže co když potřebuju, aby se na téhle webové stránce - a všech dalších taky - objevilo něco jiného?"
"need","need","potřebuju","potřebovat","impf"," What if I need to erase what 's here and put, in good American English, that our country escaped the Russian financial plague?"," Co když potřebuju tohle vymazat a dostat tam v dobré americké angličtině informaci, že naší zemi se podařilo uniknout před ruským finančním morem?"
"erase","erase","vymazat","vymazat","pf"," What if I need to erase what 's here and put, in good American English, that our country escaped the Russian financial plague?"," Co když potřebuju tohle vymazat a dostat tam v dobré americké angličtině informaci, že naší zemi se podařilo uniknout před ruským finančním morem?"
"escaped","escape","uniknout","uniknout","pf"," What if I need to erase what 's here and put, in good American English, that our country escaped the Russian financial plague?"," Co když potřebuju tohle vymazat a dostat tam v dobré americké angličtině informaci, že naší zemi se podařilo uniknout před ruským finančním morem?"
"awarded","award","odměněn","odměnit","pf"," for $25, 000 the investor would be awarded perpetual title to an eponymous town "" of no fewer than 5, 000 souls "" and be granted a "" modern, hygienic form of droit du seigneur "" that met "" most of "" the guidelines established by the Third International Conference on Human Rights."," Za pětadvacet tisíc bude investor odměněn tím, že po něm bude pojmenováno město "" alespoň o pěti tisících obyvatelích "" a zaručeně se mu dostane "" moderní, hygienické formy droit du seigneur "", jež bude vyhovovat "" většině "" doporučení vydaných Třetím mezinárodním kongresem o lidských právech."
"met","meet","vyhovovat","vyhovovat","impf"," for $25, 000 the investor would be awarded perpetual title to an eponymous town "" of no fewer than 5, 000 souls "" and be granted a "" modern, hygienic form of droit du seigneur "" that met "" most of "" the guidelines established by the Third International Conference on Human Rights."," Za pětadvacet tisíc bude investor odměněn tím, že po něm bude pojmenováno město "" alespoň o pěti tisících obyvatelích "" a zaručeně se mu dostane "" moderní, hygienické formy droit du seigneur "", jež bude vyhovovat "" většině "" doporučení vydaných Třetím mezinárodním kongresem o lidských právech."
"laughed","laugh","smál","smát","impf"," "" But who laughed?"," "" Ale smál se někdo?"
"laughed","laugh","nesmál","smát","impf"," Nobody laughed."," Nikdo se nesmál."
"sent","send","posílali","posílat","impf"," They just sent money."," Prostě jen posílali peníze."
"awakened","awaken","probudil","probudit","pf"," With a jolt Alfred awakened to the tremor and slow pitching of the Gunnar Myrdal."," Alfred se s trhnutím probudil do hučení a pomalého houpání lodi Gunnar Myrdal."
"asked","ask","zeptal","zeptat","pf"," "" Who 's there? "" he asked half in challenge, half in fear."," "" Kdo je to tady? "" zeptal se Alfred napůl vyzývavě, napůl vyděšeně."
"sat","sit","posadil","posadit","pf"," Thin Scandinavian blankets fell away as he sat up and peered into the semidarkness, straining to hear past the boundaries of his self."," Když se posadil a zadíval se do šera, jež ho obklopovalo, a snažil se zaslechnout něco, co se mohlo odehrávat za hranicemi jeho těla, tenká skandinávská deka se mu svezla z nohou."
"hear","hear","zaslechnout","zaslechnout","pf"," Thin Scandinavian blankets fell away as he sat up and peered into the semidarkness, straining to hear past the boundaries of his self."," Když se posadil a zadíval se do šera, jež ho obklopovalo, a snažil se zaslechnout něco, co se mohlo odehrávat za hranicemi jeho těla, tenká skandinávská deka se mu svezla z nohou."
"ached","ache","bolelo","bolet","impf"," When she put on a sleeveless white T-shirt and boy 's jeans and tied her hair back so tightly that her head ached, she recognized herself."," Jakmile si na sebe vzala bílé triko bez rukávů a chlapecké džíny a vlasy si vzadu stáhla tak pevně, až ji to bolelo, taky se poznávala."
"opened","open","odhalil","odhalit","pf"," Don Armour unwrapped a sandwich and opened it to a slice of bologna on which the texture of bread was lithographed in yellow mustard."," Don Armour si rozbalil sendvič, rozlepil ho a odhalil plátek salámu, do jehož povrchu potřeného žlutou hořčicí se obtiskla struktura krajíce chleba."
"wrapped","wrap","zabalil","zabalit","pf"," He wrapped the sandwich up again loosely in its foil and looked at Denise as if she were the latest torment of his day."," Nedbale sendvič zase zabalil do alobalu a podíval se na Denisu, jako kdyby pro něj představovala poslední muka, která ho ten den čekají."
"looked","look","podíval","podívat","pf"," He wrapped the sandwich up again loosely in its foil and looked at Denise as if she were the latest torment of his day."," Nedbale sendvič zase zabalil do alobalu a podíval se na Denisu, jako kdyby pro něj představovala poslední muka, která ho ten den čekají."
"explained","explain","vysvětlovat","vysvětlovat","impf"," Alfred 's face was flushed with soup heat, the drama of a spoon, and also perhaps the effort of refusing to glance even once at the dazzling So derbladian decol- letage, while he explained to the Roths the mechanics of stabilizing an ocean liner."," Alfred měl obličej rozpálený od horké polívky a zápasu se lžící a možná také následkem úporné snahy nepodívat se ani jednou jedinkrát do omračujícího výstřihu paní Söderbladové a současně vysvětlovat Rothovým, jak se zajišťuje stabilita zaoceánských plavidel."
"paying","pay","věnovala","věnovat","impf"," Mrs. Roth was paying less attention to Alfred than to Enid."," Paní Rothová věnovala víc pozornosti Alfredovi než Enid."
