"draw","draw","nenakreslí","nakreslit","pf"," All right - on House-Tree-Person, look for someone who did n't draw the female figure first."," V testu lidské postavy hledejte toho, který nenakreslí jako první postavu svého rodokmenu ženu."
"leaned","lean","naklonil","naklonit","pf"," The man obligingly leaned into the trunk of his car for his sample case, and never saw Dr. Lecter come up behind him."," Bylo to poměrně jednoduché - ten člověk se naklonil nad zavazadlový prostor svého vozu pro kufřík se vzorky a vůbec nepostřehl, že zezadu se k němu blíží dr. Lecter."
"believed","believe","myslí","myslet","impf"," Dr. Lecter wondered if the police believed he was fool enough to fly from the airport."," Dr. Lectera by zajímalo, jestli si policie myslí, že by byl takový blázen a pokoušel se někam odletět."
"came","come","Přišel","přijít","pf"," Alonzo came for her."," Přišel pro ni Alonzo."
"held","hold","nesla","nést","impf"," She held her notes against her chest, walking head bent, trying to hold it all in her mind."," Poznámky si nesla přitisknuté k hrudi, kráčela se sklopenou hlavou, snažila se udržet všechno v paměti."
"hold","hold","nesla","nést","impf"," She held her notes against her chest, walking head bent, trying to hold it all in her mind."," Poznámky si nesla přitisknuté k hrudi, kráčela se sklopenou hlavou, snažila se udržet všechno v paměti."
"walking","walk","kráčela","kráčet","impf"," She held her notes against her chest, walking head bent, trying to hold it all in her mind."," Poznámky si nesla přitisknuté k hrudi, kráčela se sklopenou hlavou, snažila se udržet všechno v paměti."
"trying","try","snažila","snažit","impf"," She held her notes against her chest, walking head bent, trying to hold it all in her mind."," Poznámky si nesla přitisknuté k hrudi, kráčela se sklopenou hlavou, snažila se udržet všechno v paměti."
"held","hold","udržet","udržet","pf"," She held her notes against her chest, walking head bent, trying to hold it all in her mind."," Poznámky si nesla přitisknuté k hrudi, kráčela se sklopenou hlavou, snažila se udržet všechno v paměti."
"hold","hold","udržet","udržet","pf"," She held her notes against her chest, walking head bent, trying to hold it all in her mind."," Poznámky si nesla přitisknuté k hrudi, kráčela se sklopenou hlavou, snažila se udržet všechno v paměti."
"hurried","hurry","spěchala","spěchat","impf"," Eager for the outside air, she did n't even glance toward Chilton 's office as she hurried out of the hospital."," Těšila se ven na vzduch, takže se ani nepodívala směrem k Chiltonově kanceláři, a spěchala ven z ústavu."
"fits","fit","padne","padnout","pf"," Fredrica is wide and fat, but her uniform fits better than the others."," Fredrica je široká a tlustá, ale uniforma jí padne lépe než ostatním."
"kept","keep","nechala","nechat","pf"," Catherine came out holding the dog, kept the dog in the ambulance."," Kateřinu vytáhli nahoru se psem v náručí, nechala si ho u sebe i v sanitce."
"took","take","vzal","vzít","pf"," A fireman, instructed to drop it off at the animal shelter, took it home with him instead."," Jeden z hasičů, pověřený odvozem psa do místního útulku, si ho místo toho vzal k sobě domů."
"mean","mean","Myslím","myslet","impf"," I mean, wherever she is, I know she 's embarrassed you saw it."," Myslím si, že ať je teď kdekoli, musí se stydět při pomyšlení, že jste to tam viděla."
"saw","see","viděla","vidět","impf"," I mean, wherever she is, I know she 's embarrassed you saw it."," Myslím si, že ať je teď kdekoli, musí se stydět při pomyšlení, že jste to tam viděla."
"run","run","neutekla","utéci","pf"," Would n't you run away? """," Copak vy byste odtamtud neutekla? """
"said","say","říkal","říkat","impf"," "" Skip said maybe she 'd found her a chubby-chaser."," "" Skip říkal, že si možná našla někoho, kdo rád baculaté."
"found","find","našla","najít","pf"," "" Skip said maybe she 'd found her a chubby-chaser."," "" Skip říkal, že si možná našla někoho, kdo rád baculaté."
"see","see","spatřila","spatřit","pf"," Behind the net, Starling could see a table bolted to the floor and piled high with softcover books and papers, and a straight chair, also fastened down."," Za sítí spatřila Starlingová stůl přišroubovaný k podlaze, přecpaný haldou knih a papírů, dále obyčejnou židli, rovněž přišroubovanou k podlaze."
"reclined","recline","ležel","ležet","impf"," Dr. Hannibal Lecter himself reclined on his bunk, perusing the Italian edition of Vogue."," Na kavalci ležel dr. Hannibal Lecter a prohlížel si italské vydání Vogue."
"leave","leave","vynechat","vynechat","pf"," "" Yeah, and manners too, you ca n't leave that out. """," "" Ano, ještě vychování, to nemůžeš vynechat. """
"kept","keep","nechala","nechat","pf"," Mapp kept her reading light on for a while, until Starling 's breathing was regular."," Mappová nechala ještě chvíli svítit lampičku, než se dech Starlingové úplně zklidnil."
"letting","let","nedovolte","dovolit","pf"," Now 's the hardest test - not letting rage and frustration keep you from thinking."," Tahle zkouška je nejtěžší - nedovolte, aby vám vztek a frustrace bránily v přemýšlení."
"keep","keep","bránily","bránit","impf"," Now 's the hardest test - not letting rage and frustration keep you from thinking."," Tahle zkouška je nejtěžší - nedovolte, aby vám vztek a frustrace bránily v přemýšlení."
"command","command","ovládat","ovládat","impf"," It 's the core of whether you can command or not."," Jde jenom o to, jestli se dokážete ovládat nebo ne."
"found","find","Zjistila","zjistit","pf"," She found she did n't give a damn, or a shit for that matter, about being Special Agent Starling."," Zjistila, že je jí naprosto fuk, jestli je nebo není agentkou Starlingovou."
"thought","think","Pomyslila","pomyslit","pf"," She thought about the poor, fat, sad, dead girl she saw on the table in the funeral home at Potter, West Virginia."," Pomyslila na tu nebohou tlustou smutnou mrtvou dívku, kterou si prohlížela na stole pohřebního ústavu v Porteru v Západní Virginii."
"leave","leave","nenechal","nechat","pf"," No, he did n't leave a thing for you, Clarice. """," Ne, Clarice, nic tady pro vás nenechal. """
"calls","call","volal","volat","impf"," "" Would you like me to tell him something when he calls in? """," "" Mám mu něco vyřídit, kdyby volal? """
"leave","leave","Nenechal","nechat","pf"," "" Did he leave a Memphis phone number on his three-card? """," "" Nenechal někde u těch mých čísel svůj telefon do Memphisu? """
"call","call","říkal","říkat","impf"," "" No, he 'll call with it."," "" Ne, říkal, že sám dneska zavolá."
"call","call","zavolá","zavolat","pf"," "" No, he 'll call with it."," "" Ne, říkal, že sám dneska zavolá."
"thank","thank","děkuju","děkovat","impf"," "" Thanks ... thank you, Mr. Brigham. """," "" Díky ... děkuju vám, pane Brighame. """
"turned","turn","Otočil","otočit","pf"," He turned to Starling when he heard the pilot slam the door."," Otočil se ke Starlingové, když pilot zabouchl dveře."
"nodded","nod","Přikývla","přikývnout","pf"," She nodded."," Přikývla."
"Come","come","pojďte","jít","impf"," Come on with me, now, he said."," Tak pojďte se mnou, řekl."
"said","say","řekl","říci","pf"," Come on with me, now, he said."," Tak pojďte se mnou, řekl."
"washed","wash","umýt","umýt","pf"," She knew that she had washed twice - the last time she had stood up in the light, wanting him to see her body, not sure if he was looking down from behind the blinding light."," Musela se již dvakrát umýt - naposledy se hezky postavila do světla, chtěla, aby viděl její tělo, přestože neměla jistotu, jestli se na ni shora dívá - světlo ji příliš oslepovalo."
"stood","stand","postavila","postavit","pf"," She knew that she had washed twice - the last time she had stood up in the light, wanting him to see her body, not sure if he was looking down from behind the blinding light."," Musela se již dvakrát umýt - naposledy se hezky postavila do světla, chtěla, aby viděl její tělo, přestože neměla jistotu, jestli se na ni shora dívá - světlo ji příliš oslepovalo."
"wanting","want","chtěla","chtít","impf"," She knew that she had washed twice - the last time she had stood up in the light, wanting him to see her body, not sure if he was looking down from behind the blinding light."," Musela se již dvakrát umýt - naposledy se hezky postavila do světla, chtěla, aby viděl její tělo, přestože neměla jistotu, jestli se na ni shora dívá - světlo ji příliš oslepovalo."
"see","see","viděl","vidět","impf"," She knew that she had washed twice - the last time she had stood up in the light, wanting him to see her body, not sure if he was looking down from behind the blinding light."," Musela se již dvakrát umýt - naposledy se hezky postavila do světla, chtěla, aby viděl její tělo, přestože neměla jistotu, jestli se na ni shora dívá - světlo ji příliš oslepovalo."
"stood","stand","neměla","mít","impf"," She knew that she had washed twice - the last time she had stood up in the light, wanting him to see her body, not sure if he was looking down from behind the blinding light."," Musela se již dvakrát umýt - naposledy se hezky postavila do světla, chtěla, aby viděl její tělo, přestože neměla jistotu, jestli se na ni shora dívá - světlo ji příliš oslepovalo."
"see","see","dívá","dívat","impf"," She knew that she had washed twice - the last time she had stood up in the light, wanting him to see her body, not sure if he was looking down from behind the blinding light."," Musela se již dvakrát umýt - naposledy se hezky postavila do světla, chtěla, aby viděl její tělo, přestože neměla jistotu, jestli se na ni shora dívá - světlo ji příliš oslepovalo."
"looking","look","dívá","dívat","impf"," She knew that she had washed twice - the last time she had stood up in the light, wanting him to see her body, not sure if he was looking down from behind the blinding light."," Musela se již dvakrát umýt - naposledy se hezky postavila do světla, chtěla, aby viděl její tělo, přestože neměla jistotu, jestli se na ni shora dívá - světlo ji příliš oslepovalo."
"wanted","want","Chtěla","chtít","impf"," She wanted him to see."," Chtěla, aby si ji prohlédl."
"wanted","want","Chtěla","chtít","impf"," She wanted out of the pit."," Chtěla z té díry ven."
"wants","want","chce","chtít","impf"," Captain wants you at the CP. """," Kapitán vás chce mít u nápravného oddílu. """
"riding","ride","jeli","jet","impf"," Jacobs and Tate were in the elevator riding down to the lobby when a drop of blood fell on Tate 's shoulder."," Jacobs a Tate byli ve výtahu a jeli dolů do haly, když tu najednou dopadla Tateovi na rameno kapka krve."
"fell","fall","dopadla","dopadnout","pf"," Jacobs and Tate were in the elevator riding down to the lobby when a drop of blood fell on Tate 's shoulder."," Jacobs a Tate byli ve výtahu a jeli dolů do haly, když tu najednou dopadla Tateovi na rameno kapka krve."
"wondered","wonder","uvažovala","uvažovat","impf"," Starling wondered if the best things had been in the rubber cabbage in the refrigerator, and if so, who took them."," Starlingová uvažovala, jestli ty nejlepší šperky dávala do gumového zelí v ledničce, a pakliže ano, kdo je sebral."
"released","release","uvolnila","uvolnit","pf"," She hooked her finger under the side of the lid and released the secret drawer in the back of the jewelry box."," Prstem zajela ze strany pod víčko a uvolnila tajnou zásuvku na zadní straně krabičky."
"walked","walk","kráčeli","kráčet","impf"," The sun, still low in the east, shined red on the front of the asylum as they walked past."," Slunce nízko na východě ozařovalo vstup do ústavu, když kráčeli kolem."
"trailed","trail","sledoval","sledovat","impf"," Jeff trailed them slowly in the van, the radios crackling."," Jeff je pomalu sledoval v dodávce, v rádiu to prskalo."
"handed","hand","podal","podat","pf"," Once he handed a phone out the window to Crawford for a brief conversation."," Jednou vystrčil ruku z okénka a podal Crawfordovi telefon ke krátkému hovoru."
"file","file","podat","podat","pf"," "" Can I file obstruction of justice on Chilton? """," "" Mohu podat na Chiltona žalobu pro maření úředního výkonu? """
"walking","walk","kráčela","kráčet","impf"," Starling was walking slightly ahead."," Starlingová kráčela kousek před ním."
"see","see","viděl","vidět","impf"," Crawford could see her jaw muscles bunch after she asked."," Crawford jen viděl, jak jí ztvrdly svaly na čelistech, když mu tuto otázku položila."
"allow","allow","nepřipustil","připustit","pf"," "" I 'd never allow that, Barney. """," "" Barneyi, to bych nikdy nepřipustil. """
"question","question","vyslýchat","vyslýchat","impf"," "" You 'll be there when they question him? """," "" Vy tam budete, až ho budou vyslýchat? """
"said","say","řekl","říci","pf"," "" I could get him settled on the other end and be back here just a couple of hours behind my shift, "" Barney said."," "" Pomohl bych ho tam ubytovat a vrátil bych se jen několik hodin po službě, "" řekl Barney."
"show","show","předvedu","předvést","pf"," I 'll show them how to manage him, every step. """," Já jim předvedu, jak se s ním musí zacházet, krok po kroku. """
"said","say","řekl","říci","pf"," "" They better pay attention, "" Barney said."," "" Měli by si dávat pozor, "" řekl Barney."
"dialed","dial","Vytočila","vytočit","pf"," She dialed the van."," Vytočila dodávku."
"said","say","řekla","říci","pf"," "" I 'm at a pay phone outside the maximum security ward, "" Starling said."," "" Jsem u telefonu před oddělením zostřeného dozoru, "" řekla Starlingová."
"asked","ask","zeptal","zeptat","pf"," "" Dr. Lecter asked me if the insect in West Virginia was a butterfly."," "" Doktor Lecter se mě zeptal, jestli ta kukla v Západní Virginii byla kukla motýla."
"said","say","Řekl","říci","pf"," He said Buffalo Bill needs Catherine Martin because, I 'm quoting, ‘ He wants a vest with tits on it. '"," Řekl, že Buffalo Bill unesl Kateřinu Martinovou proto, cituji, protože ' potřebuje vestu s prsama '."
"needs","need","potřebuje","potřebovat","impf"," He said Buffalo Bill needs Catherine Martin because, I 'm quoting, ‘ He wants a vest with tits on it. '"," Řekl, že Buffalo Bill unesl Kateřinu Martinovou proto, cituji, protože ' potřebuje vestu s prsama '."
"wants","want","potřebuje","potřebovat","impf"," He said Buffalo Bill needs Catherine Martin because, I 'm quoting, ‘ He wants a vest with tits on it. '"," Řekl, že Buffalo Bill unesl Kateřinu Martinovou proto, cituji, protože ' potřebuje vestu s prsama '."
"wants","want","chce","chtít","impf"," He wants a ‘ more interesting ' offer from the Senator. """," Od senátorky Martinové chce ' zajímavou nabídku '. """
"find","find","našla","najít","pf"," "" Where did you find it?"," "" Kde jste to našla?"
"kill","kill","nezastřelila","zastřelit","pf"," Did you kill it with your gun?"," Snad jste to nezastřelila vlastní pistolí?"
"benefit","benefit","prospělo","prospět","pf"," It occurred to Starling how much Roden would benefit from an elbow smash in the hinge of his Jaw."," Starlingová uvažovala, do jaké míry by mu prospělo, kdyby dostal jednu ránu předloktím do čelisti."
"said","say","řekl","říci","pf"," "" Shhh, "" Pilcher said."," "" Nech toho, "" řekl Pilcher."
"Tell","tell","Řekněte","říci","pf"," "" Tell us where you found it."," "" Řekněte nám, kde jste to našli."
"found","find","našli","najít","pf"," "" Tell us where you found it."," "" Řekněte nám, kde jste to našli."
"put","put","položte","položit","pf"," "" You just put it in the tray and let it roll through."," "" Jen to položte na přepravku a posuňte to na druhou stranu k němu."
"pull","pull","přitáhnout","přitáhnout","pf"," If the tray 's inside, you can pull it back with the cord, or he can send it back."," Když bude přepravka uvnitř, můžete si ji přitáhnout zpátky za šňůru, nebo ať vám ji pošle on sám."
"send","send","pošle","poslat","pf"," If the tray 's inside, you can pull it back with the cord, or he can send it back."," Když bude přepravka uvnitř, můžete si ji přitáhnout zpátky za šňůru, nebo ať vám ji pošle on sám."
"reach","reach","Dosáhnout","dosáhnout","pf"," He ca n't reach you where the tray stops outside. """," Dosáhnout na vás nemůže, když je přepravka venku. """
"gave","give","podal","podat","pf"," The orderly gave her two magazines, their loose pages spilling out, three newspapers and several opened letters."," Zřízenec jí podal dva časopisy, uvolněné stránky vypadávaly ven, troje noviny a několik otevřených dopisů."
"agree","agree","Souhlasím","souhlasit","impf"," "" I agree with you - """," "" Souhlasím s vámi ... """
"deserve","deserve","Zaslouží","zasloužit","pf"," They deserve help and we can give it."," Zaslouží si pomoc a my ji můžeme poskytnout."
"give","give","poskytnout","poskytnout","pf"," They deserve help and we can give it."," Zaslouží si pomoc a my ji můžeme poskytnout."
"showed","show","ukazoval","ukazovat","impf"," He went out to sit with Klaus quite often and showed him the Valentines. """," Chodíval tam dost často, sedával s Klausem v autě a ukazoval mu ty valentinky. """
"died","die","zemřel","zemřít","pf"," "" And then Raspail himself ... died."," "" A potom sám Raspail ... zemřel."
"going","go","nevedla","vést","impf"," Therapy was n't going anywhere."," Terapie nikam nevedla."
"Stand","stand","Postavte","postavit","pf"," "" Stand him up beside the toilet, Barney, "" Dr. Chilton said without looking up."," "" Postavte ho vedle toalety, Barneyi, "" řekl dr. Chilton, aniž by se na něj podíval."
"said","say","řekl","říci","pf"," "" Stand him up beside the toilet, Barney, "" Dr. Chilton said without looking up."," "" Postavte ho vedle toalety, Barneyi, "" řekl dr. Chilton, aniž by se na něj podíval."
"looking","look","podíval","podívat","pf"," "" Stand him up beside the toilet, Barney, "" Dr. Chilton said without looking up."," "" Postavte ho vedle toalety, Barneyi, "" řekl dr. Chilton, aniž by se na něj podíval."
"wait","wait","počkejte","počkat","pf"," "" You and the others wait at your station. """," "" Vy a vaši pomocníci počkejte v kanceláři. """
"finished","finish","dočetl","dočíst","pf"," Dr. Chilton finished reading Dr. Lecter 's most recent exchange with the General Archives of Psychiatry."," Dr. Chilton si dočetl poslední korespondenci dr. Lectera s hlavním psychiatrickým archivem."
"tracked","track","sledoval","sledovat","impf"," A glint from behind the hockey mask as Dr. Lecter 's eyes tracked him, but Lecter 's head did n't move."," Rychlý pohyb očí za hokejovou maskou, jak dr. Lecter Chiltona sledoval, ale Lecterova hlava se ani nehnula."
"move","move","nehnula","hnout","pf"," A glint from behind the hockey mask as Dr. Lecter 's eyes tracked him, but Lecter 's head did n't move."," Rychlý pohyb očí za hokejovou maskou, jak dr. Lecter Chiltona sledoval, ale Lecterova hlava se ani nehnula."
"concern","concern","týkalo","týkat","impf"," There are reasons that do n't concern you."," Tedy nic, co by se týkalo vás osobně."
"said","say","řekla","říci","pf"," "" You 're jammed - Buffalo Bill - and the things in Nevada, "" Starling said."," "" Máte toho teď hodně - Buffalo Bill - ty případy v Nevadě, "" řekla Starlingová."
"said","say","Řekl","říci","pf"," "" You said tomorrow - you 're in a hurry."," "" Řekl jste zítra, tedy na to spěcháte."
"need","need","potřebujeme","potřebovat","impf"," "" Dr. Chilton, we really need these test results."," "" Doktore Chiltone, my ten test od něj dost nutně potřebujeme."
"said","say","říkal","říkat","impf"," If Dr. Lecter feels you 're his enemy - if he 's fixed on you, just as you 've said - we might have more luck if I approached him by myself."," Jestliže si vás doktor Lecter jednou zafixoval jako svého nepřítele ( jak jste mi prve říkal ), pak by zde byla jistá naděje, kdybych za ním šla sama."
"think","think","myslíte","myslet","impf"," What do you think? """," Co myslíte? """
"suggested","suggest","navrhnout","navrhnout","pf"," You might have suggested that in my office."," Mohla jste to navrhnout už u mě v kanceláři."
"sent","send","Poslal","poslat","pf"," I could have sent an orderly with you and saved the time. """," Poslal bych s vámi službu a ušetřil bych si čas. """
"saved","save","ušetřil","ušetřit","pf"," I could have sent an orderly with you and saved the time. """," Poslal bych s vámi službu a ušetřil bych si čas. """
"finding","find","najít","najít","pf"," The hard part is finding the caterpillar in the jungle."," Nejtěžší je v džungli najít housenku."
"said","say","Říkal","říkat","impf"," "" You said they can fight. """," "" Říkal jste, že koušou. """
"helped","help","pomohlo","pomoci","pf"," That helped us narrow the field so we could identify it so fast. """," To nám trochu pomohlo zúžit okruh, takže jsme ho potom identifikovali docela rychle. """
"narrow","narrow","zúžit","zúžit","pf"," That helped us narrow the field so we could identify it so fast. """," To nám trochu pomohlo zúžit okruh, takže jsme ho potom identifikovali docela rychle. """
"boasted","boast","chlubí","chlubit","impf"," Pilcher seemed suddenly embarrassed, as though he had boasted."," Pilcher se najednou zarazil, přišlo mu, že se dost chlubí."
"tell","tell","Řekla","říci","pf"," Will you tell me if there 's a body in there?"," Řekla byste mi alespoň, jestli je uvnitř nějaká mrtvola?"
"Tell","tell","řeknete","říci","pf"," Tell me and we 'll wait."," Když mi to řeknete, počkáme."
"wait","wait","počkáme","počkat","pf"," Tell me and we 'll wait."," Když mi to řeknete, počkáme."
"promise","promise","slibujeme","slibovat","impf"," We 'll be good, I promise."," Budeme hodní, slibujeme."
"wait","wait","počkala","počkat","pf"," "" I 'd wait if I were you, "" Starling said."," "" Být vámi, počkala bych, "" řekla Starlingová."
