"hear","hear","zaslechl","zaslechnout","pf"," He could hear, a long way off, the sound of approaching feet and arguing voices."," Kdesi v dálce zaslechl zvuk přibližujících se kroků a rozhádaných hlasů."
"began","begin","začalo","začít","pf"," It began to dawn on the mob that nothing was actually happening, and that Rincewind was in no condition to hurl insults, let alone magical fire."," Davu pomalu začalo docházet, že se nic neděje a že Mrakoplaš jim není schopný vrhnout do tváře ani nadávku, natož aby na ně vrhl nějaká magická zaklínadla."
"hurl","hurl","vrhnout","vrhnout","pf"," It began to dawn on the mob that nothing was actually happening, and that Rincewind was in no condition to hurl insults, let alone magical fire."," Davu pomalu začalo docházet, že se nic neděje a že Mrakoplaš jim není schopný vrhnout do tváře ani nadávku, natož aby na ně vrhl nějaká magická zaklínadla."
"hurl","hurl","vrhl","vrhnout","pf"," It began to dawn on the mob that nothing was actually happening, and that Rincewind was in no condition to hurl insults, let alone magical fire."," Davu pomalu začalo docházet, že se nic neděje a že Mrakoplaš jim není schopný vrhnout do tváře ani nadávku, natož aby na ně vrhl nějaká magická zaklínadla."
"advanced","advance","postupovat","postupovat","impf"," They advanced, watching his hands cautiously."," Začali pomalu postupovat kupředu a ostražitě pozorovali jeho ruce."
"watching","watch","pozorovali","pozorovat","impf"," They advanced, watching his hands cautiously."," Začali pomalu postupovat kupředu a ostražitě pozorovali jeho ruce."
"see","see","vidět","vidět","impf"," ‘ But you can still see the stars, ’ said Twoflower, ‘ the other stars, I mean."," "" Ale hvězdy jsou stále ještě vidět, "" upozorňoval je Dvoukvítek."
"trying","try","pokoušela","pokoušet","impf"," A group of star people and citizens were trying to batter them down."," Skupina hvězdonošů spojená s obyčejnými lidmi se je pokoušela vyrazit těžkým kůlem."
"get","get","nedostaneme","dostat","pf"," ‘ We 'll never get in."," "" Nikdy se dovnitř nedostaneme."
"going","go","jdeš","jít","impf"," Where are you going? ’"," Kam jdeš? """
"sitting","sit","seděl","sedět","impf"," The Head Librarian was sitting on top of his desk, quietly peeling an orange, and was well aware of that."," Hlavní knihovník seděl na svém stole, tiše loupal pomeranč a byl si nebezpečí plně vědom."
"looking","look","Hledám","hledat","impf"," ‘ I 'm looking for anything we 've got on the Pyramid of Tshut, ’ said Trymon."," "" Hledám cokoliv, co se týká pyramidy v Tsortu, "" obrátil se k němu Trémon."
"think","think","Neměli","mít","impf"," ‘ Do you think we 'd better go and look for him? ’"," "" Neměli bychom se po něm jít podívat? """
"Do","do","jít","jít","impf"," ‘ Do you think we 'd better go and look for him? ’"," "" Neměli bychom se po něm jít podívat? """
"go","go","jít","jít","impf"," ‘ Do you think we 'd better go and look for him? ’"," "" Neměli bychom se po něm jít podívat? """
"look","look","podívat","podívat","pf"," ‘ Do you think we 'd better go and look for him? ’"," "" Neměli bychom se po něm jít podívat? """
"said","say","odpověděl","odpovědět","pf"," ‘ He 's not a terribly good wizard, actually, ’ said Twoflower, drawing nearer the fire."," "" No, on zas není tak skvělý čaroděj, "" odpověděl mu Dvoukvítek a přisedl si blíž k ohni."
"shut","shut","zavřela","zavřít","pf"," As the sunlight hit it the book snapped shut and started to fall back to the tower."," Ve chvíli, kdy se knihy dotkly první sluneční paprsky, zavřela se a začala padat dolů k ochozu věže."
"started","start","začala","začít","pf"," As the sunlight hit it the book snapped shut and started to fall back to the tower."," Ve chvíli, kdy se knihy dotkly první sluneční paprsky, zavřela se a začala padat dolů k ochozu věže."
"fall","fall","padat","padat","impf"," As the sunlight hit it the book snapped shut and started to fall back to the tower."," Ve chvíli, kdy se knihy dotkly první sluneční paprsky, zavřela se a začala padat dolů k ochozu věže."
"realized","realize","uvědomilo","uvědomit","pf"," And many of the observers realized that dropping towards them was the single most magical thing on the Discworld."," Mnoho přihlížejících si uvědomilo, že samotný ten pád je nejkouzelnější věc na celé Zeměploše."
"elevated","elevate","pozvedl","pozvednout","pf"," He was n't good or evil or cruel or extreme in any way but one, which was that he had elevated greyness to the status of a fine art and cultivated a mind that was as bleak and pitiless and logical as the slopes of Hell."," Nebyl ani dobrý, ani zlý, ani krutý nebo výjimečný jakýmkoliv způsobem, snad s výjimkou jediné věci, pozvedl šeď a bezvýraznost na úroveň jemného umění a vypěstoval si mysl, která byla beznadějná, nemilosrdná a logická jako úbočí pekla."
"lit","light","zapálili","zapálit","pf"," ‘ Yes, because, you see, you 've lit it on his tongue. ’"," "" Jasně, protože vy jste mu ho zapálili rovnou na jazyku! """
"moved","move","pohnula","pohnout","pf"," Then the floor moved."," Pak se zem pohnula."
"happened","happen","odehrálo","odehrát","pf"," He nearly did n't awake at all, in fact a few decades later none of this could have happened."," Kdyby se všechno odehrálo o pár desítek let později, byl by se už asi nevzbudil vůbec a příběh by byl skončil jinak."
"remember","remember","nevzpomínal","vzpomínat","impf"," He could n't remember why he was in a hayloft, or why he was wearing someone else 's coat, but he did wake up with one idea right in the forefront of his mind."," Vůbec si nevzpomínal, proč leží na seníku, ani proč má cizí kabát, zato v hlavě mu seděla jediná utkvělá myšlenka."
"wearing","wear","má","mít","impf"," He could n't remember why he was in a hayloft, or why he was wearing someone else 's coat, but he did wake up with one idea right in the forefront of his mind."," Vůbec si nevzpomínal, proč leží na seníku, ani proč má cizí kabát, zato v hlavě mu seděla jediná utkvělá myšlenka."
"send","send","posílali","posílat","impf"," Rich merchants who have spent many years abroad send back home for specially-stoppered and sealed bottles of the stuff, which brings tears to their eyes."," Bohatí kupci, kteří žili dlouhá léta v zahraničí, si posílali domů pro speciálně zajištěné a zapečetěné lahve morporského vzduchu, pak si je v daleké cizině otvírali a čichali tu sílu, která jim vháněla slzy do očí."
"describe","describe","popsat","popsat","pf"," There is only really one way to describe the effect the smell of Ankh-Morpork has on the visiting nose, and that is by analogy."," Je jediný způsob, jak popsat účinek, který měl ankh - morporský vzduch na nos náhodného návštěvníka, a to zase jen pomocí přirovnání."
"take","take","Vezměte","vzít","pf"," Now take a chameleon."," Vezměte chameleona."
"Put","put","Položte","položit","pf"," Put the chameleon on the tartan."," Položte ho na tartan."
"trust","trust","věř","věřit","impf"," ‘ I know this thing, trust me."," "" Já tu věc znám, věř mi."
"said","say","prohlásil","prohlásit","pf"," ‘ Hurry up, ’ he said."," "" Pospěš si, "" prohlásil."
"think","think","Mám","mít","impf"," ‘ I think it 's going to go. ’"," "" Mám pocit, že každou chvilku vyrazí. """
"said","say","prohlásil","prohlásit","pf"," ‘ Stars are small lights in the sky, ’ said Twoflower."," "" Hvězdy jsou malá světýlka vysoko na obloze, "" prohlásil Dvoukvítek."
"say","say","neřekl","říci","pf"," ‘ I did n't say anything! ’"," "" Já jsem nic neřekl! """
"yelled","yell","vykřikla","vykřiknout","pf"," ‘ Yes you did, you silly man! ’ yelled Bethan."," "" Samozřejmě, že ano, ty hlupáku! "" vykřikla na něj Bethan."
"saw","see","Viděli","vidět","impf"," ‘ We saw your lips going up and down and everything! ’"," "" Viděli jsme přece, jak hýbeš pusou! """
"shut","shut","zavřel","zavřít","pf"," Rincewind shut his eyes."," Mrakoplaš zavřel oči."
"feel","feel","Cítil","cítit","impf"," Inside his mind he could feel the Spell scuttling off to hide behind his conscience, and muttering to itself."," Cítil, jak se mu hluboko v mozku pomalu šourá Zaklínadlo, něco si brumlá a pokouší se ukrýt za jeho vědomí."
"hide","hide","ukrýt","ukrýt","pf"," Inside his mind he could feel the Spell scuttling off to hide behind his conscience, and muttering to itself."," Cítil, jak se mu hluboko v mozku pomalu šourá Zaklínadlo, něco si brumlá a pokouší se ukrýt za jeho vědomí."
"said","say","odpověděl","odpovědět","pf"," ‘ All right, all right, ’ he said."," "" Dobře, dobře, "" odpověděl."
"need","need","Nemusíš","muset","impf"," ‘ No need to shout."," "" Nemusíš hned křičet."
"shout","shout","křičet","křičet","impf"," ‘ No need to shout."," "" Nemusíš hned křičet."
"said","say","prohlásil","prohlásit","pf"," ‘ Shometimesh we jusht have to take rishks, ’ he said."," "" Občaš proště mušíme riškovat, "" prohlásil."
"took","take","Trvalo","trvat","impf"," It took them half an hour to get down."," Trvalo jim přes půl hodiny, než se dostali dolů."
"took","take","dostali","dostat","pf"," It took them half an hour to get down."," Trvalo jim přes půl hodiny, než se dostali dolů."
"get","get","dostali","dostat","pf"," It took them half an hour to get down."," Trvalo jim přes půl hodiny, než se dostali dolů."
"need","need","nepotřebuješ","potřebovat","impf"," ‘ You do n't need to take pictures, you can just remember it! ’ he shouted."," "" Vždyť ty obrázky vůbec nepotřebuješ, stačí, když si to budeš všechno pamatovat! "" vykřikl zoufale."
"take","take","nepotřebuješ","potřebovat","impf"," ‘ You do n't need to take pictures, you can just remember it! ’ he shouted."," "" Vždyť ty obrázky vůbec nepotřebuješ, stačí, když si to budeš všechno pamatovat! "" vykřikl zoufale."
"remember","remember","pamatovat","pamatovat","impf"," ‘ You do n't need to take pictures, you can just remember it! ’ he shouted."," "" Vždyť ty obrázky vůbec nepotřebuješ, stačí, když si to budeš všechno pamatovat! "" vykřikl zoufale."
"shouted","shout","vykřikl","vykřiknout","pf"," ‘ You do n't need to take pictures, you can just remember it! ’ he shouted."," "" Vždyť ty obrázky vůbec nepotřebuješ, stačí, když si to budeš všechno pamatovat! "" vykřikl zoufale."
"said","say","odpověděl","odpovědět","pf"," ‘ It 's not the same, ’ said Twoflower calmly."," "" Když to není ono, "" odpověděl Dvoukvítek nevzrušeně."
"hope","hope","doufám","doufat","impf"," ‘ Oh, I do hope you 're not going. ’"," "" Ach, doufám, že už neodcházíte. """
"going","go","neodcházíte","odcházet","impf"," ‘ Oh, I do hope you 're not going. ’"," "" Ach, doufám, že už neodcházíte. """
"wore","wear","neměl","mít","impf"," Despite the snow he wore nothing more than a studded leather holdall and a pair of boots that could have easily accommodated a second pair of feet."," Navzdory zimě na sobě neměl nic jiného než jakýsi kožešinový pytel a pár bot, do kterých by se bez potíží vešel ještě jeden pár nohou."
"looked","look","díval","dívat","impf"," Rincewind looked carefully at the bed."," Mrakoplaš se na postel díval s nedůvěrou."
"said","say","prohlásil","prohlásit","pf"," A voice by Rincewind 's knee said :"," Hlas někde u Mrakoplašova kolena prohlásil :"
"persuaded","persuade","přemluveny","přemluvit","pf"," Thus it was that the sun and moon orbited the Disc because they were persuaded not to fall down, but did n't actually fly away because of uncertainty."," Tak například Slunce a Měsíc obíhaly Plochu proto, že byly přemluveny, aby nespadly a neuletěly do kosmu, protože měly strach z Nejistoty."
"fall","fall","nespadly","spadnout","pf"," Thus it was that the sun and moon orbited the Disc because they were persuaded not to fall down, but did n't actually fly away because of uncertainty."," Tak například Slunce a Měsíc obíhaly Plochu proto, že byly přemluveny, aby nespadly a neuletěly do kosmu, protože měly strach z Nejistoty."
"grow","grow","růst","růst","impf"," Charm allowed trees to grow and bloody-mindedness kept them up, and so on."," Nadpřirozeno umožňovalo stromům růst a Nasranost je udržovala ve vztyčené poloze a tak dál."
"kept","keep","udržovala","udržovat","impf"," Charm allowed trees to grow and bloody-mindedness kept them up, and so on."," Nadpřirozeno umožňovalo stromům růst a Nasranost je udržovala ve vztyčené poloze a tak dál."
"wish","wish","Chtěl","chtít","impf"," I wish I had a bronze torc for every user who did n't read the manual. ’"," Chtěl bych mít bronzový náramek za každého uživatele, který se vůbec neunavuje tím, aby alespoň nahlédl do manuálu. """
"asked","ask","zeptal","zeptat","pf"," ‘ What use is it, then, exactly? ’ asked Rincewind."," "" A k čemu to přesně je? "" zeptal se Mrakoplaš."
"use","use","použít","použít","pf"," ‘ You can use it to – to tell you what time of year it is, ’ said Belafon."," "" No, můžeš to použít ... s pomocí těch kamenů můžeš přesně určit roční dobu a čas, "" odpověděl Belafon."
"said","say","odpověděl","odpovědět","pf"," ‘ You can use it to – to tell you what time of year it is, ’ said Belafon."," "" No, můžeš to použít ... s pomocí těch kamenů můžeš přesně určit roční dobu a čas, "" odpověděl Belafon."
"mean","mean","myslíš","myslet","impf"," You mean if it 's covered in snow then it must be winter? ’"," To jako myslíš, když je na něm sníh, tak že je zima? """
"swerved","swerve","uhnul","uhnout","pf"," Instead, it swerved to one side and began a fast orbit – so fast that Galder appeared suddenly to be wearing a metal collar."," Místo toho uhnul k jedné straně a začal kroužit kolem Počasvoska tak rychle, že Galder vypadal, jako by měl kovový límec."
"began","begin","začal","začít","pf"," Instead, it swerved to one side and began a fast orbit – so fast that Galder appeared suddenly to be wearing a metal collar."," Místo toho uhnul k jedné straně a začal kroužit kolem Počasvoska tak rychle, že Galder vypadal, jako by měl kovový límec."
"wearing","wear","měl","mít","impf"," Instead, it swerved to one side and began a fast orbit – so fast that Galder appeared suddenly to be wearing a metal collar."," Místo toho uhnul k jedné straně a začal kroužit kolem Počasvoska tak rychle, že Galder vypadal, jako by měl kovový límec."
"turned","turn","otočil","otočit","pf"," He turned around, and to Trymon it seemed that he had suddenly grown several feet taller and much more powerful."," Starý čaroděj se otočil a Trémon měl dojem, že je mnohem vyšší a vyzařuje z něj tajemná síla."
"said","say","říkáš","říkat","impf"," ‘ Early in the morning? ’ said Galder pleasantly."," "" Přivstat, říkáš? "" usmál se na něj Galder mile."
"understand","understand","nerozumíte","rozumět","impf"," ‘ Look, ’ said Twoflower patiently, ‘ I do n't think you understand."," "" Heleďte, "" začal znovu trpělivě Dvoukvítek, "" vy mi asi nerozumíte."
"open","open","otevřít","otevřít","pf"," No-one can open the Luggage if it 's feeling in a locked mood. ’"," Nikdo nemůže otevřít Zavazadlo, když se samo rozhodne, že bude zamčené. """
"do","do","jde","jít","impf"," The wizards on the other side of the walls had no idea how to do a ) and no intention of doing b ) and many had in fact plumped for c ), which largely consisted of nipping out of hidden side doors and having it away on their toes as fast as possible, if not faster."," Čarodějové uvnitř ovšem neměli ani ponětí, jak vyhovět bodu a ) a ani v nejmenším chuť vyhovět bodu b ) a tak se většina z nich klonila k bodu c ), který říkal, aby se nahrnuli k tajným východům a utekli tak rychle, jak to jenom jde, a raději ještě rychleji."
"doing","do","jde","jít","impf"," The wizards on the other side of the walls had no idea how to do a ) and no intention of doing b ) and many had in fact plumped for c ), which largely consisted of nipping out of hidden side doors and having it away on their toes as fast as possible, if not faster."," Čarodějové uvnitř ovšem neměli ani ponětí, jak vyhovět bodu a ) a ani v nejmenším chuť vyhovět bodu b ) a tak se většina z nich klonila k bodu c ), který říkal, aby se nahrnuli k tajným východům a utekli tak rychle, jak to jenom jde, a raději ještě rychleji."
"remained","remain","zbývaly","zbývat","impf"," What reliable magic still remained in the University was being channelled into keeping the great gates secure."," Ty zbytky magie, které ještě ve zdech univerzity zbývaly, byly použity k zajištění velkých bran."
"believed","believe","věřil","věřit","impf"," He believed, against all experience, that the world was fundamentally understandable, and that if he could only equip himself with the right mental toolbox he could take the back off and see how it worked."," Proti všem praktickým zkušenostem věřil, že svět je v zásadě srozumitelné místo, a kdyby se mu podařilo vyzbrojit se příslušným duševním nářadím, mohl by obrázkovou skříňku rozebrat a přesvědčit se, jak vlastně funguje."
"equip","equip","vyzbrojit","vyzbrojit","pf"," He believed, against all experience, that the world was fundamentally understandable, and that if he could only equip himself with the right mental toolbox he could take the back off and see how it worked."," Proti všem praktickým zkušenostem věřil, že svět je v zásadě srozumitelné místo, a kdyby se mu podařilo vyzbrojit se příslušným duševním nářadím, mohl by obrázkovou skříňku rozebrat a přesvědčit se, jak vlastně funguje."
"worked","work","funguje","fungovat","impf"," He believed, against all experience, that the world was fundamentally understandable, and that if he could only equip himself with the right mental toolbox he could take the back off and see how it worked."," Proti všem praktickým zkušenostem věřil, že svět je v zásadě srozumitelné místo, a kdyby se mu podařilo vyzbrojit se příslušným duševním nářadím, mohl by obrázkovou skříňku rozebrat a přesvědčit se, jak vlastně funguje."
"seemed","seem","Zdálo","zdát","impf"," It seemed a lot of trouble to go to."," Zdálo se mu to všechno nějak příliš složité."
"died","die","zemřel","zemřít","pf"," Everyone knew that when a wizard died all the spells in his head would go free, so why bother to save Rincewind?"," Každý věděl, že když zemřel čaroděj, všechna zaklínadla, která nosil v hlavě, se uvolnila do prostoru, takže proč takové ciráty se záchranou nějakého Mrakoplaše?"
"go","go","zemřel","zemřít","pf"," Everyone knew that when a wizard died all the spells in his head would go free, so why bother to save Rincewind?"," Každý věděl, že když zemřel čaroděj, všechna zaklínadla, která nosil v hlavě, se uvolnila do prostoru, takže proč takové ciráty se záchranou nějakého Mrakoplaše?"
"sprained","sprain","vymkl","vymknout","pf"," Rincewind perched uncomfortably in front of Weems, who had sprained an ankle and was not in a good mood."," Mrakoplaš se nepohodlně kýval před Weemsem, který si vymkl kotník a byl ve velmi špatné náladě."
"sat","sit","seděl","sedět","impf"," Twoflower sat in front of Herrena which, since he was fairly short, meant that at least he kept his ears warm."," Dvoukvítek seděl před Herrenou, a protože byl mnohem menší než ona, měl tu výhodu, že měl alespoň uši v teple."
"kept","keep","měl","mít","impf"," Twoflower sat in front of Herrena which, since he was fairly short, meant that at least he kept his ears warm."," Dvoukvítek seděl před Herrenou, a protože byl mnohem menší než ona, měl tu výhodu, že měl alespoň uši v teple."
"kept","keep","měl","mít","impf"," Twoflower sat in front of Herrena which, since he was fairly short, meant that at least he kept his ears warm."," Dvoukvítek seděl před Herrenou, a protože byl mnohem menší než ona, měl tu výhodu, že měl alespoň uši v teple."
"let","let","nedovolí","dovolit","pf"," Herrena had n't quite worked out what the Luggage was, but she was bright enough to know that it would n't let Twoflower be killed."," Zatím sice nepochopila, co je Zvazadlo zač, ale byla dost chytrá na to, aby si uvědomila, že truhla nedovolí, aby byl Dvoukvítek zabit."
