"make","make","vydělávají","vydělávat","impf"," ' All these entrepreneurs make fortunes only because others incur expenses '."," "" Všichni podnikatelé vydělávají jenom tehdy, pokud ostatní utrácejí. """
"composed","compose","skládat","skládat","impf"," According to Linnaeus, the character should be composed of ' the most careful description of the fructification of the first species."," Podle Linného se bude charakter skládat z "" nejpečlivějšího popisu oplodí prvního druhu."
"resembles","resemble","podobá","podobat","impf"," It is in this way that language, properly speaking, is constituted, by a series of analogies that are a lateral extension of the language of action or at least of its vocal element : language resembles this vocal element, and ' it is this resemblance that facilitates the understanding of it."," Takto se konstituuje řeč ve vlastním slova smyslu, prostřednictvím analogické řady, jež laterálně protahuje řeč gest, nebo alespoň její zvukovou část : podobá se jí a "" právě tato podobnost usnadní její poznání."
"facilitates","facilitate","usnadní","usnadnit","pf"," It is in this way that language, properly speaking, is constituted, by a series of analogies that are a lateral extension of the language of action or at least of its vocal element : language resembles this vocal element, and ' it is this resemblance that facilitates the understanding of it."," Takto se konstituuje řeč ve vlastním slova smyslu, prostřednictvím analogické řady, jež laterálně protahuje řeč gest, nebo alespoň její zvukovou část : podobá se jí a "" právě tato podobnost usnadní její poznání."
"term","term","Nazýváme","nazývat","impf"," We term it analogy ..."," Nazýváme ji analogie ..."
"permit","permit","nedovoluje","dovolovat","impf"," You observe that analogy, which gives us law, does not permit us to choose signs at random or arbitrarily. '"," Vidíte, že analogie, jež nám je zákonem, nám nedovoluje vybírat znaky náhodně nebo libovolně ""."
"choose","choose","vybírat","vybírat","impf"," You observe that analogy, which gives us law, does not permit us to choose signs at random or arbitrarily. '"," Vidíte, že analogie, jež nám je zákonem, nám nedovoluje vybírat znaky náhodně nebo libovolně ""."
"limited","limit","omezil","omezit","pf"," In fact, it was the same complex of negative conditions that limited the realm of experience and made the use of optical instruments possible."," Ve skutečnosti stejný soubor negativních podmínek, který omezil oblast zkušenosti, umožnil využití optických nástrojů."
"renounce","renounce","vzdát","vzdát","pf"," To attempt to improve one 's power of observation by looking through a lens, one must renounce the attempt to achieve knowledge by means of the other senses or from hearsay."," Abychom mohli lépe pozorovat věci za pomoci čoček, musíme se nejdříve vzdát snahy poznávat prostřednictvím jiných smyslů nebo z doslechu."
"learned","learn","naučili","naučit","pf"," A change of scale in the visual sphere must have more value than the correlations between the various kinds of evidence that may be provided by one 's impressions, one 's reading, or learned compilations."," Změna měřítka pohledu musí mít větší hodnotu než korelace mezi svědectvím různých lidí, z jejich počitků, četby nebo toho, co se naučili."
"remain","remain","zůstala","zůstat","pf"," This unexpected affinity would remain in obscurity if there were not some signature on the plant, some mark, some word, as it were, telling us that it is good for diseases of the eye."," Tato příbuznost by zůstala ukryta ve stínu, kdyby na rostlině nebyla signatura, značka, která stejně jako slovo říkala, že rostlina se hodí k léčbě očí."
"telling","tell","říkala","říkat","impf"," This unexpected affinity would remain in obscurity if there were not some signature on the plant, some mark, some word, as it were, telling us that it is good for diseases of the eye."," Tato příbuznost by zůstala ukryta ve stínu, kdyby na rostlině nebyla signatura, značka, která stejně jako slovo říkala, že rostlina se hodí k léčbě očí."
"made","make","vytváří","vytvářet","impf"," It is this material - made up of nouns, verbs, words in general, but also of syllables and sounds - that languages join together to form propositions and sentences."," Právě tento materiál - jména, slovesa, slova obecně, ale také slabiky a hlásky - jazyk sjednocuje a vytváří z něj propozice a věty."
"governed","govern","neřídí","řídit","impf"," But the material unity constituted by the arrangement of sounds, syllables, and words is not governed by the mere combination of the element of representation."," Ale materiální jednota vytvořená uspořádáním hlásek, slabik a slov se neřídí čistou a prostou kombinatorikou elementů reprezentace."
"keeps","keep","udržovala","udržovat","impf"," The living being, by the action and sovereignty of the same force that keeps it in discontinuity with itself, finds itself subjected to a continuous relation with all that surrounds it."," Živá bytost je díky hře a nadvládě stejné síly, která ji udržovala v diskontinuitě se sebou samým, ve vztahu kontinuity s okolím."
"breathes","breathe","dýchá","dýchat","impf"," In order that the living being can live, there must exist several functional structures, all irreducible one to another, and also an uninterrupted movement between each one of those structures and the air it breathes, the water it drinks, the food it absorbs."," Aby živočich mohl žít, musí tu být několik navzájem neredukovatelných organizací a také neustálý pohyb mezi každou z nich a vzduchem, který dýchá, vodou, kterou pije, a potravou, kterou přijímá."
"drinks","drink","pije","pít","impf"," In order that the living being can live, there must exist several functional structures, all irreducible one to another, and also an uninterrupted movement between each one of those structures and the air it breathes, the water it drinks, the food it absorbs."," Aby živočich mohl žít, musí tu být několik navzájem neredukovatelných organizací a také neustálý pohyb mezi každou z nich a vzduchem, který dýchá, vodou, kterou pije, a potravou, kterou přijímá."
"think","think","myslíte","myslet","impf"," Have you ever understood at all precisely what thinking is, what you experience when you think, anything at all? ..."," "" Uvědomili jste si někdy trochu právě to, co myslíte, co zakoušíte, když myslíte, ať už je to cokoli? ..."
"think","think","myslíte","myslet","impf"," Have you ever understood at all precisely what thinking is, what you experience when you think, anything at all? ..."," "" Uvědomili jste si někdy trochu právě to, co myslíte, co zakoušíte, když myslíte, ať už je to cokoli? ..."
"think","think","Myslet","myslet","impf"," To think, as you see, is always to feel, and is nothing other than to feel."," Myslet, jak vidíte, znamená vždy pociťovat, neznamená to nic jiného než pociťovat. """
"see","see","vidíte","vidět","impf"," To think, as you see, is always to feel, and is nothing other than to feel."," Myslet, jak vidíte, znamená vždy pociťovat, neznamená to nic jiného než pociťovat. """
"feel","feel","pociťovat","pociťovat","impf"," To think, as you see, is always to feel, and is nothing other than to feel."," Myslet, jak vidíte, znamená vždy pociťovat, neznamená to nic jiného než pociťovat. """
"feel","feel","pociťovat","pociťovat","impf"," To think, as you see, is always to feel, and is nothing other than to feel."," Myslet, jak vidíte, znamená vždy pociťovat, neznamená to nic jiného než pociťovat. """
"feel","feel","pociťovat","pociťovat","impf"," To think, as you see, is always to feel, and is nothing other than to feel."," Myslet, jak vidíte, znamená vždy pociťovat, neznamená to nic jiného než pociťovat. """
"feel","feel","pociťovat","pociťovat","impf"," To think, as you see, is always to feel, and is nothing other than to feel."," Myslet, jak vidíte, znamená vždy pociťovat, neznamená to nic jiného než pociťovat. """
"ensure","ensure","zajišťují","zajišťovat","impf"," In natural history, structure and character ensure the theoretical closing of what remains open in language and gives rise on its frontiers to the projects of essentially uncompleted arts."," Struktura a charakter v přírodní historii zajišťují teoretické uzavření toho, co zůstává v řeči otevřené a co na svých hranicích plodí bytostně nezavršené umělecké projekty."
"remains","remain","zůstává","zůstávat","impf"," In natural history, structure and character ensure the theoretical closing of what remains open in language and gives rise on its frontiers to the projects of essentially uncompleted arts."," Struktura a charakter v přírodní historii zajišťují teoretické uzavření toho, co zůstává v řeči otevřené a co na svých hranicích plodí bytostně nezavršené umělecké projekty."
"causes","cause","vyvolávají","vyvolávat","impf"," Similarly, value, which automatically changes from being estimative to being appreciative, and money, which by growth or diminution of its quantity causes yet always limits fluctuations of prices, ensure in the sphere of wealth the congruity of attribution and articulation, and that of designation and derivation."," Stejně tak v řádu bohatství hodnota, která se z odhadní automaticky stává oceňovací, a peníze, které podle svého rostoucího či klesajícího množství vyvolávají, ale také vždy omezují, cenovou fluktuaci, garantují vzájemné přizpůsobení artikulace k atribuci a designace k derivaci."
"limits","limit","omezují","omezovat","impf"," Similarly, value, which automatically changes from being estimative to being appreciative, and money, which by growth or diminution of its quantity causes yet always limits fluctuations of prices, ensure in the sphere of wealth the congruity of attribution and articulation, and that of designation and derivation."," Stejně tak v řádu bohatství hodnota, která se z odhadní automaticky stává oceňovací, a peníze, které podle svého rostoucího či klesajícího množství vyvolávají, ale také vždy omezují, cenovou fluktuaci, garantují vzájemné přizpůsobení artikulace k atribuci a designace k derivaci."
"ensure","ensure","zajišťují","zajišťovat","impf"," Value and prices ensure the virtual closing of those segments that remain open in language."," Hodnota a cena zajišťují praktické uzavření segmentů, které v řeči zůstávají otevřené."
"remain","remain","zůstávají","zůstávat","impf"," Value and prices ensure the virtual closing of those segments that remain open in language."," Hodnota a cena zajišťují praktické uzavření segmentů, které v řeči zůstávají otevřené."
"employing","employ","používáme","používat","impf"," Finally, by employing the sounds an organ naturally produces to designate that organ : the glottal stop determined the name of the throat in which it occurs, and the dentals ( d and t ) are used to designate the teeth."," A nakonec užitím zvuků, které určitý orgán přirozeně vydává, pro jeho označení : artikulace ghen dala jméno krku ( gorge ), z něhož vychází, a k označení zubů ( dents ) používáme dentály ( d a t )."
"used","use","používáme","používat","impf"," Finally, by employing the sounds an organ naturally produces to designate that organ : the glottal stop determined the name of the throat in which it occurs, and the dentals ( d and t ) are used to designate the teeth."," A nakonec užitím zvuků, které určitý orgán přirozeně vydává, pro jeho označení : artikulace ghen dala jméno krku ( gorge ), z něhož vychází, a k označení zubů ( dents ) používáme dentály ( d a t )."
"changes","change","mění","měnit","impf"," Then - and this is the second phase of the event - knowledge in its positivity changes its nature and its form."," Takže - a to je další fáze události - vědění ve své pozitivitě mění povahu a formu."
"fix","fix","stanovit","stanovit","pf"," In this sense, the sixteenth century returns to the theory accepted during at least part of the Middle Ages, which gave either the prince or popular consent the right to fix the valor impositus of money, to modify its rate, to withdraw any category of coins or any particular metal."," V tomto smyslu se 16. století vrací k teorii přijímané minimálně během části středověku, která ponechávala vládci nebo lidovému souhlasu právo stanovit valor impositus peněz, měnit jeho hodnotu, stáhnout z oběhu určitý druh mincí nebo veškerý kov dle libosti."
"withdraw","withdraw","stáhnout","stáhnout","pf"," In this sense, the sixteenth century returns to the theory accepted during at least part of the Middle Ages, which gave either the prince or popular consent the right to fix the valor impositus of money, to modify its rate, to withdraw any category of coins or any particular metal."," V tomto smyslu se 16. století vrací k teorii přijímané minimálně během části středověku, která ponechávala vládci nebo lidovému souhlasu právo stanovit valor impositus peněz, měnit jeho hodnotu, stáhnout z oběhu určitý druh mincí nebo veškerý kov dle libosti."
"realized","realize","uskutečnit","uskutečnit","pf"," So the visible diversity of structures no longer emerges from the background of a table of variables, but from the background of a few great functional units capable of being realized and of accomplishing their aims in various ways :"," Takže viditelná rozmanitost struktur se už netyčí na podkladě tabulky proměnných, nýbrž na základě velkých funkčních jednotek, které se mohou uskutečnit a završit svůj účel různými způsoby :"
"accomplishing","accomplish","uskutečnit","uskutečnit","pf"," So the visible diversity of structures no longer emerges from the background of a table of variables, but from the background of a few great functional units capable of being realized and of accomplishing their aims in various ways :"," Takže viditelná rozmanitost struktur se už netyčí na podkladě tabulky proměnných, nýbrž na základě velkých funkčních jednotek, které se mohou uskutečnit a završit svůj účel různými způsoby :"
"resemble","resemble","podobá","podobat","impf"," What is common in all animals to each kind of organ considered reduces itself to very little indeed, and often organs resemble one another only in the effect they produce."," "" To, co je společné každému druhu orgánů pozorovaného u všech živočichů, se redukuje na minimum a často se podobá jedině svým účinkem."
"speak","speak","mluví","mluvit","impf"," What is unspoken in the world, in our gestures, in the whole enigmatic heraldry of our behaviour, our dreams, our sicknesses - does all that speak, and if so in what language and in obedience to what grammar?"," Co je němé ve světě, v našich gestech, v celém záhadném symbolu našeho chování, v našich snech a našich nemocech - zda toto všechno mluví, jakou řečí a jaké gramatice podléhá?"
"made","make","vyvolala","vyvolat","pf"," A great deal of attention is willingly paid to the beginnings of political economy, to Ricardo 's analysis of ground rent and the cost of production : that event is recognized as having reached vast dimensions, since, in the course of its progress, it has not only made possible the development of a science but also brought in its wake a certain number of economic and political mutations."," Často dopřáváme pozornost prvním momentům politické ekonomie, Ricardově analýze pozemkové renty a výrobních nákladů : uznáváme, že tato událost měla velký rozměr, neboť neumožnila pouze rozvoj jedné vědy, ale také vyvolala určité množství změn v ekonomice a politice."
"brought","bring","vyvolala","vyvolat","pf"," A great deal of attention is willingly paid to the beginnings of political economy, to Ricardo 's analysis of ground rent and the cost of production : that event is recognized as having reached vast dimensions, since, in the course of its progress, it has not only made possible the development of a science but also brought in its wake a certain number of economic and political mutations."," Často dopřáváme pozornost prvním momentům politické ekonomie, Ricardově analýze pozemkové renty a výrobních nákladů : uznáváme, že tato událost měla velký rozměr, neboť neumožnila pouze rozvoj jedné vědy, ale také vyvolala určité množství změn v ekonomice a politice."
"brings","bring","přivádí","přivádět","impf"," Moreover, this thought brings into a final light and, as it were, into an essentially reticent clarity, a certain stratum of the original in which no origin was in fact present, but in which man 's time ( which has no beginning ) made manifest, for a possible memory, the time of things ( which has no memory )."," Navíc toto myšlení přivádí do posledního a jakoby bytostně neochotného světla určitou vrstvu počátečního, kde, popravdě řečeno, žádný počátek není přítomen, ale kde se lidský čas bez začátku ukazuje pro možnou paměť jako čas bez vzpomínky na věci."
"thought","think","měly","mít","impf"," Finally, vowels were treated as the most fluid and unstable element of language, whereas the consonants were thought of as forming its solid framework ( does not Hebrew, for example, dispense with the writing of its vowels? )."," Samohlásky byly nakonec pojednávány jako nejohebnější a nejnestabilnější element řeči, zatímco souhlásky měly tvořit její pevnou architekturu ( nevypouští snad hebrejština samohlásky ze své psané podoby? )."
"forming","form","tvořit","tvořit","impf"," Finally, vowels were treated as the most fluid and unstable element of language, whereas the consonants were thought of as forming its solid framework ( does not Hebrew, for example, dispense with the writing of its vowels? )."," Samohlásky byly nakonec pojednávány jako nejohebnější a nejnestabilnější element řeči, zatímco souhlásky měly tvořit její pevnou architekturu ( nevypouští snad hebrejština samohlásky ze své psané podoby? )."
"turned","turn","obracejí","obracet","impf"," The other figures in the picture are also, for the most part, turned to face what must be taking place in front - towards the bright invisibility bordering the canvas, towards that balcony of light where their eyes can gaze at those who are gazing back at them, and not towards that dark recess which marks the far end of the room in which they are represented."," Také ostatní postavy na obraze se většinou obracejí k tomu, co se odehrává před nimi - k jasné neviditelnosti lemující obraz, k této záplavě světla, v němž musí vidět ty, co je pozorují, a ne do temného kouta, jenž uzavírá místnost, kde jsou zobrazováni."
"represented","represent","zobrazováni","zobrazovat","impf"," The other figures in the picture are also, for the most part, turned to face what must be taking place in front - towards the bright invisibility bordering the canvas, towards that balcony of light where their eyes can gaze at those who are gazing back at them, and not towards that dark recess which marks the far end of the room in which they are represented."," Také ostatní postavy na obraze se většinou obracejí k tomu, co se odehrává před nimi - k jasné neviditelnosti lemující obraz, k této záplavě světla, v němž musí vidět ty, co je pozorují, a ne do temného kouta, jenž uzavírá místnost, kde jsou zobrazováni."
"regulate","regulate","přizpůsobit","přizpůsobit","pf"," As in all the other cases, the remuneration of agricultural labour tends to regulate itself so as to provide that subsistence exactly."," Stejně jako ve všech dalších případech má odměna za zemědělskou práci tendenci přizpůsobit se právě této úrovni."
"say","say","řekněme","říci","pf"," The threshold between Classicism and modernity ( though the terms themselves have no importance - let us say between our prehistory and what is still contempory ) had been definitively crossed when words ceased to intersect with representations and to provide a spontaneous grid for the knowledge of things."," Práh mezi klasicismem a modernitou ( ale nezáleží na samotných slovech - řekněme mezi naší prehistorií a tím, co je pro nás stále přítomné ) byl definitivně překročen, když se slova přestala protínat s reprezentacemi a spontánně rámovat poznání věcí."
"crossed","cross","překročen","překročit","pf"," The threshold between Classicism and modernity ( though the terms themselves have no importance - let us say between our prehistory and what is still contempory ) had been definitively crossed when words ceased to intersect with representations and to provide a spontaneous grid for the knowledge of things."," Práh mezi klasicismem a modernitou ( ale nezáleží na samotných slovech - řekněme mezi naší prehistorií a tím, co je pro nás stále přítomné ) byl definitivně překročen, když se slova přestala protínat s reprezentacemi a spontánně rámovat poznání věcí."
"ceased","cease","přestala","přestat","pf"," The threshold between Classicism and modernity ( though the terms themselves have no importance - let us say between our prehistory and what is still contempory ) had been definitively crossed when words ceased to intersect with representations and to provide a spontaneous grid for the knowledge of things."," Práh mezi klasicismem a modernitou ( ale nezáleží na samotných slovech - řekněme mezi naší prehistorií a tím, co je pro nás stále přítomné ) byl definitivně překročen, když se slova přestala protínat s reprezentacemi a spontánně rámovat poznání věcí."
"crossed","cross","protínat","protínat","impf"," The threshold between Classicism and modernity ( though the terms themselves have no importance - let us say between our prehistory and what is still contempory ) had been definitively crossed when words ceased to intersect with representations and to provide a spontaneous grid for the knowledge of things."," Práh mezi klasicismem a modernitou ( ale nezáleží na samotných slovech - řekněme mezi naší prehistorií a tím, co je pro nás stále přítomné ) byl definitivně překročen, když se slova přestala protínat s reprezentacemi a spontánně rámovat poznání věcí."
"intersect","intersect","protínat","protínat","impf"," The threshold between Classicism and modernity ( though the terms themselves have no importance - let us say between our prehistory and what is still contempory ) had been definitively crossed when words ceased to intersect with representations and to provide a spontaneous grid for the knowledge of things."," Práh mezi klasicismem a modernitou ( ale nezáleží na samotných slovech - řekněme mezi naší prehistorií a tím, co je pro nás stále přítomné ) byl definitivně překročen, když se slova přestala protínat s reprezentacemi a spontánně rámovat poznání věcí."
"entrusted","entrust","svěřuje","svěřovat","impf"," However, at the other extremity of our culture, the question of language is entrusted to that form of speech which has no doubt never ceased to pose it, but which is now, for the first time, posing it to itself."," Zároveň na opačném konci naší kultury se otázka řeči svěřuje takové podobě mluvy, která ji nepochybně neustále kladla, ale která poprvé ji pokládá sama sobě."
"pose","pose","kladla","klást","impf"," However, at the other extremity of our culture, the question of language is entrusted to that form of speech which has no doubt never ceased to pose it, but which is now, for the first time, posing it to itself."," Zároveň na opačném konci naší kultury se otázka řeči svěřuje takové podobě mluvy, která ji nepochybně neustále kladla, ale která poprvé ji pokládá sama sobě."
"posing","pose","kladla","klást","impf"," However, at the other extremity of our culture, the question of language is entrusted to that form of speech which has no doubt never ceased to pose it, but which is now, for the first time, posing it to itself."," Zároveň na opačném konci naší kultury se otázka řeči svěřuje takové podobě mluvy, která ji nepochybně neustále kladla, ale která poprvé ji pokládá sama sobě."
"supporting","support","podporují","podporovat","impf"," On the other side of all the things that are, even beyond those that can be, supporting them to make them visible, and ceaselessly destroying them with the violence of death, life becomes a fundamental force, and one that is opposed to being in the same way as movement to immobility, as time to space, as the secret wish to the visible expression."," Z druhé strany všech věcí, které se nacházejí na této straně, dokonce těch, které mohou být, a podporují je, aby se mohly objevit a bez ustání je ničí násilím smrti, se život stává základní silou, která se staví proti bytí jako pohyb k nehybnosti, čas k prostoru, tajná vůle k viditelnému projevu."
"represent","represent","reprezentovat","reprezentovat","impf"," And though it is true that this is the last language still contemporaneous with Rousseau and Racine, though it is the last discourse that undertakes to ' represent ', to name, we are well enough aware that it simultaneously reduces this ceremony to the utmost precision ( it calls things by their strict name, thus eliminating the space occupied by rhetoric ) and extends it to infinity ( by naming everything, including the slightest of possibilities, for they are all traversed in accordance with the Universal Characteristic of Desire )."," A pokud je pravda, že jde o poslední řeč, která byla ještě společná řeči Rousseaua a Racina, pokud je to poslední diskurz, který se ještě pokouší "" reprezentovat "", to znamená jmenovat, víme dobře, že zároveň tuto ceremonii co nejvíce redukuje ( věci nazývá jejich přesnými jmény, a tím bortí celý rétorický prostor ) a protahuje ji do nekonečna ( tím, že jmenuje všechno a nezapomíná ani na tu nejmenší možnost, protože všechny procházejí Univerzální charakteristikou Žádosti )."
"represent","represent","znamená","znamenat","impf"," And though it is true that this is the last language still contemporaneous with Rousseau and Racine, though it is the last discourse that undertakes to ' represent ', to name, we are well enough aware that it simultaneously reduces this ceremony to the utmost precision ( it calls things by their strict name, thus eliminating the space occupied by rhetoric ) and extends it to infinity ( by naming everything, including the slightest of possibilities, for they are all traversed in accordance with the Universal Characteristic of Desire )."," A pokud je pravda, že jde o poslední řeč, která byla ještě společná řeči Rousseaua a Racina, pokud je to poslední diskurz, který se ještě pokouší "" reprezentovat "", to znamená jmenovat, víme dobře, že zároveň tuto ceremonii co nejvíce redukuje ( věci nazývá jejich přesnými jmény, a tím bortí celý rétorický prostor ) a protahuje ji do nekonečna ( tím, že jmenuje všechno a nezapomíná ani na tu nejmenší možnost, protože všechny procházejí Univerzální charakteristikou Žádosti )."
"name","name","nazývá","nazývat","impf"," And though it is true that this is the last language still contemporaneous with Rousseau and Racine, though it is the last discourse that undertakes to ' represent ', to name, we are well enough aware that it simultaneously reduces this ceremony to the utmost precision ( it calls things by their strict name, thus eliminating the space occupied by rhetoric ) and extends it to infinity ( by naming everything, including the slightest of possibilities, for they are all traversed in accordance with the Universal Characteristic of Desire )."," A pokud je pravda, že jde o poslední řeč, která byla ještě společná řeči Rousseaua a Racina, pokud je to poslední diskurz, který se ještě pokouší "" reprezentovat "", to znamená jmenovat, víme dobře, že zároveň tuto ceremonii co nejvíce redukuje ( věci nazývá jejich přesnými jmény, a tím bortí celý rétorický prostor ) a protahuje ji do nekonečna ( tím, že jmenuje všechno a nezapomíná ani na tu nejmenší možnost, protože všechny procházejí Univerzální charakteristikou Žádosti )."
"calls","call","nazývá","nazývat","impf"," And though it is true that this is the last language still contemporaneous with Rousseau and Racine, though it is the last discourse that undertakes to ' represent ', to name, we are well enough aware that it simultaneously reduces this ceremony to the utmost precision ( it calls things by their strict name, thus eliminating the space occupied by rhetoric ) and extends it to infinity ( by naming everything, including the slightest of possibilities, for they are all traversed in accordance with the Universal Characteristic of Desire )."," A pokud je pravda, že jde o poslední řeč, která byla ještě společná řeči Rousseaua a Racina, pokud je to poslední diskurz, který se ještě pokouší "" reprezentovat "", to znamená jmenovat, víme dobře, že zároveň tuto ceremonii co nejvíce redukuje ( věci nazývá jejich přesnými jmény, a tím bortí celý rétorický prostor ) a protahuje ji do nekonečna ( tím, že jmenuje všechno a nezapomíná ani na tu nejmenší možnost, protože všechny procházejí Univerzální charakteristikou Žádosti )."
"naming","name","nazývá","nazývat","impf"," And though it is true that this is the last language still contemporaneous with Rousseau and Racine, though it is the last discourse that undertakes to ' represent ', to name, we are well enough aware that it simultaneously reduces this ceremony to the utmost precision ( it calls things by their strict name, thus eliminating the space occupied by rhetoric ) and extends it to infinity ( by naming everything, including the slightest of possibilities, for they are all traversed in accordance with the Universal Characteristic of Desire )."," A pokud je pravda, že jde o poslední řeč, která byla ještě společná řeči Rousseaua a Racina, pokud je to poslední diskurz, který se ještě pokouší "" reprezentovat "", to znamená jmenovat, víme dobře, že zároveň tuto ceremonii co nejvíce redukuje ( věci nazývá jejich přesnými jmény, a tím bortí celý rétorický prostor ) a protahuje ji do nekonečna ( tím, že jmenuje všechno a nezapomíná ani na tu nejmenší možnost, protože všechny procházejí Univerzální charakteristikou Žádosti )."
"speak","speak","mluvit","mluvit","impf"," His whole journey is a quest for similitudes : the slightest analogies are pressed into service as dormant signs that must be reawakened and made to speak once more."," Celá jeho cesta je hledání podobnosti : ty nejmenší analogie jsou chápány jako uspané znaky, jež je třeba probudit, aby opět začaly mluvit."
