"assured","assure","ujistil","ujistit","pf"," Luria assured him that I would fit the bill and immediately wrote me the good news."," Luria jej ujistil, že se právě na to budu hodit, a ihned mi tyto dobré zprávy napsal."
"realized","realize","uvědomil","uvědomit","pf"," As soon as he entered he realized that it was a ghastly error, since not one of the young women enjoyed being tickled by the wet, scraggly hairs when he came within kissing distance."," Jakmile vstoupil, uvědomil si, že to byla osudná chyba, protože žádnou z dívek nepotěší šimrání vlhkými, splihlými chlupy, když se k ní přiblíží tak, aby ji mohl políbit."
"tickled","tickle","nepotěší","potěšit","pf"," As soon as he entered he realized that it was a ghastly error, since not one of the young women enjoyed being tickled by the wet, scraggly hairs when he came within kissing distance."," Jakmile vstoupil, uvědomil si, že to byla osudná chyba, protože žádnou z dívek nepotěší šimrání vlhkými, splihlými chlupy, když se k ní přiblíží tak, aby ji mohl políbit."
"kissing","kiss","políbit","políbit","pf"," As soon as he entered he realized that it was a ghastly error, since not one of the young women enjoyed being tickled by the wet, scraggly hairs when he came within kissing distance."," Jakmile vstoupil, uvědomil si, že to byla osudná chyba, protože žádnou z dívek nepotěší šimrání vlhkými, splihlými chlupy, když se k ní přiblíží tak, aby ji mohl políbit."
"went","go","šli","jít","impf"," They went home early and Francis, unexpectedly sober, thought more about his answer."," Brzy šli domů a Francis, nezvykle střízlivý, přemýšlel zase o svém nápadu."
"thought","think","přemýšlel","přemýšlet","impf"," They went home early and Francis, unexpectedly sober, thought more about his answer."," Brzy šli domů a Francis, nezvykle střízlivý, přemýšlel zase o svém nápadu."
"fall","fall","usnout","usnout","pf"," Thus he could fall asleep that night untroubled by the nightmare that he had given Crick carte blanche for another foray into frenzied inconsiderateness."," Mohl tak tuto noc usnout nerušen noční můrou, že dal Crickovi zelenou, aby se vrhl do další šílené nerozvážnosti."
"given","give","dal","dát","pf"," Thus he could fall asleep that night untroubled by the nightmare that he had given Crick carte blanche for another foray into frenzied inconsiderateness."," Mohl tak tuto noc usnout nerušen noční můrou, že dal Crickovi zelenou, aby se vrhl do další šílené nerozvážnosti."
"warn","warn","upozornil","upozornit","pf"," I then dashed down the stairs to the machine shop to warn them that I was about to draw up plans for models wanted within a week."," Seběhl jsem pak dolů do mechanické dílny, abych tam upozornil, že načrtnu plány pro modely, které budu potřebovat do týdne."
"wanted","want","potřebovat","potřebovat","impf"," I then dashed down the stairs to the machine shop to warn them that I was about to draw up plans for models wanted within a week."," Seběhl jsem pak dolů do mechanické dílny, abych tam upozornil, že načrtnu plány pro modely, které budu potřebovat do týdne."
"enchanted","enchant","okouzlena","okouzlit","pf"," Odile was positively enchanted with the French boy that my sister had brought along."," Odile byla okouzlena francouzským mládencem, kterého přivedla má sestra."
"brought","bring","přivedla","přivést","pf"," Odile was positively enchanted with the French boy that my sister had brought along."," Odile byla okouzlena francouzským mládencem, kterého přivedla má sestra."
"thought","think","myslel","myslet","impf"," However, if Maurice thought that Linus had a chance to steal the prize, he did n't let on."," Ale i kdyby si Maurice myslel, že Linus má naději cenu ukrást, neprojevil by se."
"thought","think","má","mít","impf"," However, if Maurice thought that Linus had a chance to steal the prize, he did n't let on."," Ale i kdyby si Maurice myslel, že Linus má naději cenu ukrást, neprojevil by se."
"steal","steal","ukrást","ukrást","pf"," However, if Maurice thought that Linus had a chance to steal the prize, he did n't let on."," Ale i kdyby si Maurice myslel, že Linus má naději cenu ukrást, neprojevil by se."
"numbered","number","sečteny","sečíst","pf"," Much more important was the news that Rosy 's days at King 's were numbered."," Daleko důležitější byly zprávy, že dny Rosy v King ' s jsou sečteny."
"told","tell","řekla","říci","pf"," She had told Maurice that she wanted soon to transfer to Bernal 's lab at Birkbeck College."," Mauricovi řekla, že chce brzy přejít do Bernalovy laboratoře v Birbeck College."
"wanted","want","chce","chtít","impf"," She had told Maurice that she wanted soon to transfer to Bernal 's lab at Birkbeck College."," Mauricovi řekla, že chce brzy přejít do Bernalovy laboratoře v Birbeck College."
"take","take","nevezme","vzít","pf"," Moreover, to Maurice 's surprise and relief, she would not take the DNA problem with her."," Navíc k Mauricovu překvapení a úlevě řekla, že si problematiku DNA s sebou nevezme."
"conclude","conclude","uzavřít","uzavřít","pf"," In the next several months she was to conclude her stay by writing up her work for publication."," V několika příštích měsících chce prý svůj pobyt uzavřít sepsáním svých prací pro publikaci."
"bought","buy","koupil","koupit","pf"," That evening I stopped by at the Cricks ' newly bought house, hoping that gossip with Odile would make me forget my stomach."," Toho večera jsem se zastavil v Crickově domě, který si právě koupil, s nadějí, že poklevetění s Odile mi dá zapomenout na žaludek."
"forget","forget","zapomenout","zapomenout","pf"," That evening I stopped by at the Cricks ' newly bought house, hoping that gossip with Odile would make me forget my stomach."," Toho večera jsem se zastavil v Crickově domě, který si právě koupil, s nadějí, že poklevetění s Odile mi dá zapomenout na žaludek."
"abandoned","abandon","Opustili","opustit","pf"," The Green Door recently had been abandoned for larger quarters on nearby Portugal Place."," Opustili Green Door, když získali větší prostory blízko Portugal Place."
"began","begin","začali","začít","pf"," After I was given a glass of warm milk we began discussing Peter Pauling 's discovery of Nina, Max 's young Danish au pair girl."," Po sklenici teplého mléka jsme se začali bavit o novém objevu Petera Paulinga, o Nině, mladé dánské au pair, zaměstnané u Maxe."
"seek","seek","hledat","hledat","impf"," With a Ph. D. in his pocket Crick could then seek employment elsewhere."," S doktorátem v kapse si Crick bude moci hledat zaměstnání jinde."
"appeal","appeal","odvolat","odvolat","pf"," No attempt was made to appeal the verdict."," Nepokoušeli jsme se proti rozsudku odvolat."
"refrained","refrain","zdrželi","zdržet","pf"," To the relief of Max and John, we refrained from publicly questioning Bragg 's decision."," K úlevě Maxe a Johna jsme se zdrželi toho, abychom veřejně zpochybňovali Braggovo rozhodnutí."
"reveal","reveal","ukázaly","ukázat","pf"," An open outcry would reveal that our professor was completely in the dark about what the initials DNA stood for."," Otevřené protesty by ukázaly, že náš profesor zcela tápe v temnotách, co se týče významu písmen DNA."
"give","give","nedala","dát","pf"," Rosy, of course, did not directly give us her data."," Rosy nám přirozeně sama své údaje přímo nedala."
"came","come","Přišli","přijít","pf"," We came upon them because of Max 's membership on a committee appointed by the Medical Research Council to look into the research activities of Randall 's lab to coordinate Biophysics research within its laboratories."," Přišli jsme na ně díky Maxovu členství v komisi, kterou Rada pro lékařský výzkum pověřila tím, aby posoudila výzkumnou aktivitu v Randallově laboratoři."
"wished","wish","chtěl","chtít","impf"," Since Randall wished to convince the outside committee that he had a productive research group, he had instructed his people to draw up a comprehensive summary of their accomplishments."," Protože Randall chtěl přesvědčit nezasvěcenou komisi, že má výkonnou výzkumnou skupinu, dal svým lidem pokyn, aby předložili komisi srozumitelný souhrn svých výsledků."
"convince","convince","přesvědčit","přesvědčit","pf"," Since Randall wished to convince the outside committee that he had a productive research group, he had instructed his people to draw up a comprehensive summary of their accomplishments."," Protože Randall chtěl přesvědčit nezasvěcenou komisi, že má výkonnou výzkumnou skupinu, dal svým lidem pokyn, aby předložili komisi srozumitelný souhrn svých výsledků."
"telling","tell","řekl","říci","pf"," Within a few minutes, however, Francis made me lose all interest in the outside world by telling me that only a small number of formal solutions were compatible both with the Cochran-Crick theory and with Rosy 's experimental data."," Ale za několik minut mě Francis zbavil veškerého zájmu o okolní svět, když mi řekl, že jak teorii Cochrana a Cricka, tak Rosyiným experimentálním údajům vyhovuje jen malý počet formálních řešení."
"show","show","ukázal","ukázat","pf"," Quickly he began to draw more diagrams to show me how simple the problem was."," Rychle načrtl několik diagramů, aby mi ukázal, jak je ten problém jednoduchý."
"eluded","elude","unikala","unikat","impf"," Though the mathematics eluded me, the crux of the matter was not difficult to follow."," I když mi matematika unikala, podstatu jsem pochopit dovedl."
"follow","follow","pochopit","pochopit","pf"," Though the mathematics eluded me, the crux of the matter was not difficult to follow."," I když mi matematika unikala, podstatu jsem pochopit dovedl."
"needed","need","potřeboval","potřebovat","impf"," Increasingly often, when Francis needed it to look up a crucial bond length, it would turn up on the quarter bench of lab space that John had given to me for experimental work."," Když se Francis potřeboval podívat na délku určité vazby, musel se stále častěji obrátit na tu čtvrtinu laboratorního stolu, kterou mi John přidělil na pokusy."
"look","look","podívat","podívat","pf"," Increasingly often, when Francis needed it to look up a crucial bond length, it would turn up on the quarter bench of lab space that John had given to me for experimental work."," Když se Francis potřeboval podívat na délku určité vazby, musel se stále častěji obrátit na tu čtvrtinu laboratorního stolu, kterou mi John přidělil na pokusy."
"needed","need","musel","muset","impf"," Increasingly often, when Francis needed it to look up a crucial bond length, it would turn up on the quarter bench of lab space that John had given to me for experimental work."," Když se Francis potřeboval podívat na délku určité vazby, musel se stále častěji obrátit na tu čtvrtinu laboratorního stolu, kterou mi John přidělil na pokusy."
"turn","turn","obrátit","obrátit","pf"," Increasingly often, when Francis needed it to look up a crucial bond length, it would turn up on the quarter bench of lab space that John had given to me for experimental work."," Když se Francis potřeboval podívat na délku určité vazby, musel se stále častěji obrátit na tu čtvrtinu laboratorního stolu, kterou mi John přidělil na pokusy."
"hoped","hope","Doufal","doufat","impf"," Somewhere in Pauling 's masterpiece I hoped the real secret would lie."," Doufal jsem, že skutečné tajemství je někde v Paulingově mistrovském díle."
"wrote","write","napsal","napsat","pf"," Armed with the assurance that Markham would not squeal, I humbly wrote a long letter to Washington, outlining how I might profit from being in the joint presence of Perutz and Markham."," Ozbrojen Markhamovým ujištěním, že nebude naříkat, napsal jsem do Washingtonu dlouhý, pokorný dopis, ve kterém jsem líčil, jaký užitek budu mít ze spojení Perutze a Markhama."
"thought","think","považoval","považovat","impf"," At the end of the letter I thought it honest to break the news officially that I was in Cambridge and would remain there until a decision was made."," Na závěr svého dopisu jsem považoval za čestné přiznat, že jsem v Cambridgi a chci zde počkat na konečné rozhodnutí."
"break","break","počkat","počkat","pf"," At the end of the letter I thought it honest to break the news officially that I was in Cambridge and would remain there until a decision was made."," Na závěr svého dopisu jsem považoval za čestné přiznat, že jsem v Cambridgi a chci zde počkat na konečné rozhodnutí."
"appreciate","appreciate","uznal","uznat","pf"," But a recent rereading of J. M. Gulland 's and D. O. Jordan 's papers on the acid and base titrations of DNA made me finally appreciate the strength of their conclusion that a large fraction, if not all, of the bases formed hydrogen bonds to other bases."," Ale když jsem si znova přečetl práce J. M. Gullanda a D. O. Jordana o kyselých a zásaditých titracích DNA, uznal jsem platnost jejich závěrů, že velká část bází, ne - li všechny, vytváří vodíkové vazby s jinými bázemi."
"made","make","vytváří","vytvářet","impf"," But a recent rereading of J. M. Gulland 's and D. O. Jordan 's papers on the acid and base titrations of DNA made me finally appreciate the strength of their conclusion that a large fraction, if not all, of the bases formed hydrogen bonds to other bases."," Ale když jsem si znova přečetl práce J. M. Gullanda a D. O. Jordana o kyselých a zásaditých titracích DNA, uznal jsem platnost jejich závěrů, že velká část bází, ne - li všechny, vytváří vodíkové vazby s jinými bázemi."
"got","get","dostal","dostat","pf"," I no sooner got to the office and began explaining my scheme than the American crystallographer Jerry Donohue protested that the idea would not work."," Sotva jsem se dostal do pracovny a začal vysvětlovat své schéma, hned mi americký krystalograf Jerry Donohue uvedl důvody, proč to nemůže fungovat."
"began","begin","začal","začít","pf"," I no sooner got to the office and began explaining my scheme than the American crystallographer Jerry Donohue protested that the idea would not work."," Sotva jsem se dostal do pracovny a začal vysvětlovat své schéma, hned mi americký krystalograf Jerry Donohue uvedl důvody, proč to nemůže fungovat."
"explaining","explain","vysvětlovat","vysvětlovat","impf"," I no sooner got to the office and began explaining my scheme than the American crystallographer Jerry Donohue protested that the idea would not work."," Sotva jsem se dostal do pracovny a začal vysvětlovat své schéma, hned mi americký krystalograf Jerry Donohue uvedl důvody, proč to nemůže fungovat."
"work","work","fungovat","fungovat","impf"," I no sooner got to the office and began explaining my scheme than the American crystallographer Jerry Donohue protested that the idea would not work."," Sotva jsem se dostal do pracovny a začal vysvětlovat své schéma, hned mi americký krystalograf Jerry Donohue uvedl důvody, proč to nemůže fungovat."
"assigned","assign","stanoveny","stanovit","pf"," The tautomeric forms I had copied out of Davidson 's book were, in Jerry 's opinion, incorrectly assigned."," Podle jeho mínění byly tautomerní formy, které jsem převzal z Davidsonovy knihy, stanoveny nesprávně."
"pictured","picture","zobrazují","zobrazovat","impf"," My immediate retort that several other texts also pictured guanine and thymine in the enol form cut no ice with Jerry."," Jerryho neobměkčila ani moje okamžitá odpověď, že i jiné texty zobrazují guanin a thymin v enolické formě."
"hit","hit","narazil","narazit","pf"," My morale automatically went down, until I hit upon a foolproof reason why subunits should be helically arranged."," Moje morálka tím automaticky klesla až do doby, než jsem narazil na nezvratný důkaz, proč podjednotky musí být uspořádány ve šroubovici."
"arranged","arrange","uspořádány","uspořádat","pf"," My morale automatically went down, until I hit upon a foolproof reason why subunits should be helically arranged."," Moje morálka tím automaticky klesla až do doby, než jsem narazil na nezvratný důkaz, proč podjednotky musí být uspořádány ve šroubovici."
"read","read","Četl","číst","impf"," In a moment of after-supper boredom I had read a Faraday Society Discussion on "" The Structure of Metals. """," Četl jsem Diskusi o struktuře kovů ve Faradayově společnosti."
"contained","contain","Obsahovala","obsahovat","impf"," It contained an ingenious theory by the theoretician F. C. Frank on how crystals grow."," Obsahovala duchaplnou práci teoretika F. C. Franka o tom, jak krystaly rostou."
"grow","grow","rostou","růst","impf"," It contained an ingenious theory by the theoretician F. C. Frank on how crystals grow."," Obsahovala duchaplnou práci teoretika F. C. Franka o tom, jak krystaly rostou."
"possessed","possess","měl","mít","impf"," Except for a few items picked up at an army PX, the clothes I still possessed had been chosen for a subsequent visit to the Italian Alps."," Kromě několika drobností z armádního výprodeje zůstalo mi jen oblečení, které jsem měl pro následující výlet do italských Alp."
"feared","fear","obávala","obávat","impf"," While I felt ease giving my talk on TMV in shorts, the French contingent feared that I would go one step further by arriving at Sans Souci in the same outfit."," Zatímco jsem považoval za přirozené přednášet o TMV v šortkách, francouzská strana se obávala, že půjdu ještě o krok dál a objevím se v San Souci ve stejném úboru."
"go","go","půjdu","jít","impf"," While I felt ease giving my talk on TMV in shorts, the French contingent feared that I would go one step further by arriving at Sans Souci in the same outfit."," Zatímco jsem považoval za přirozené přednášet o TMV v šortkách, francouzská strana se obávala, že půjdu ještě o krok dál a objevím se v San Souci ve stejném úboru."
"return","return","vrátit","vrátit","pf"," By the time Maurice arrived I was noticeably restless and impatient to return north."," V době Mauricova příjezdu jsem byl značně neklidný a netrpělivě jsem toužil vrátit se na sever."
"done","do","dělal","dělat","impf"," If I had even the slightest interest in marine animals, I would have done experiments."," Kdybych měl aspoň sebemenší zájem o mořské živočichy, byl bych dělal pokusy."
"betrayed","betray","prozrazovala","prozrazovat","impf"," The first part betrayed nervousness it did not come to the point, but conveyed an invitation to participate in a meeting on proteins to which he had decided to add a section on nucleic acids."," Jeho první část prozrazovala nervozitu - nesměřovala k věci, ale obsahovala pozvání na konferenci o proteinech, ke které chce připojit sekci o nukleových kyselinách."
"add","add","připojit","připojit","pf"," The first part betrayed nervousness it did not come to the point, but conveyed an invitation to participate in a meeting on proteins to which he had decided to add a section on nucleic acids."," Jeho první část prozrazovala nervozitu - nesměřovala k věci, ale obsahovala pozvání na konferenci o proteinech, ke které chce připojit sekci o nukleových kyselinách."
"asked","ask","ptal","ptát","impf"," Then he came out and asked for the details of the beautiful new structure I had written Delbrück about."," Teprve pak se ptal na detaily krásné nové struktury, o které jsem psal Delbrückovi."
"written","write","psal","psát","impf"," Then he came out and asked for the details of the beautiful new structure I had written Delbrück about."," Teprve pak se ptal na detaily krásné nové struktury, o které jsem psal Delbrückovi."
"mentioned","mention","zmínil","zmínit","pf"," Brietly I had Linus to myself after Delbrück mentioned that twelve months hence I was coming to Cal Tech."," Jen krátce jsem měl Linuse pro sebe, když se Delbrück zmínil, že jsem přišel před dvanácti měsíci na CalTech."
"coming","come","přišel","přijít","pf"," Brietly I had Linus to myself after Delbrück mentioned that twelve months hence I was coming to Cal Tech."," Jen krátce jsem měl Linuse pro sebe, když se Delbrück zmínil, že jsem přišel před dvanácti měsíci na CalTech."
"centered","center","soustředil","soustředit","pf"," Our conversation centered on the possibility that at Pasadena I might continue X-ray work with viruses."," Náš rozhovor se soustředil na to, že v Pasadeně bych mohl pokračovat v rentgenové práci s viry."
"continue","continue","pokračovat","pokračovat","impf"," Our conversation centered on the possibility that at Pasadena I might continue X-ray work with viruses."," Náš rozhovor se soustředil na to, že v Pasadeně bych mohl pokračovat v rentgenové práci s viry."
"done","do","dělají","dělat","impf"," When I brought up the X-ray pictures at King 's, Linus gave the opinion that very accurate X-ray work of the type done by his associates on amino acids was vital to our eventual understanding of the nucleic acids."," Když jsem se vytasil s rentgenovými snímky z King ' s, Pauling řekl, že pro to, abychom porozuměli nukleovým kyselinám, je podstatná velmi přesná práce s rentgenovými paprsky toho typu, jako dělají jeho spolupracovníci na aminokyselinách."
"got","get","dostal","dostat","pf"," I got much further with Ava Helen."," Mnohem dál jsem se dostal s Avou Helen."
"feared","fear","obával","obávat","impf"," Instead, for a moment he feared that I was going to be unusually tiresome."," Chvilku se obával, že budu neobyčejně únavný."
"revealed","reveal","odhalil","odhalit","pf"," However, as soon as I revealed the B-pattern details, he knew I was not pulling his leg."," Ale když jsem odhalil některé detaily uspořádání B, viděl, že ho netahám za nos."
"pulling","pull","netahám","tahat","impf"," However, as soon as I revealed the B-pattern details, he knew I was not pulling his leg."," Ale když jsem odhalil některé detaily uspořádání B, viděl, že ho netahám za nos."
"tried","try","snažil","snažit","impf"," Then for a day and a half I tried to find a suitable two-chain model with the backbone in the center."," Pak jsem se půldruhého dne snažil najít přijatelný dvouřetězcový model s nosičem uprostřed."
"find","find","najít","najít","pf"," Then for a day and a half I tried to find a suitable two-chain model with the backbone in the center."," Pak jsem se půldruhého dne snažil najít přijatelný dvouřetězcový model s nosičem uprostřed."
"seeing","see","viděl","vidět","impf"," So, seeing Francis absorbed by his thesis, I took off the afternoon to play tennis with Bertrand."," Když jsem viděl, že Francis pracuje na své disertaci, šel jsem si zahrát s Bertrandem tenis."
"play","play","zahrát","zahrát","pf"," So, seeing Francis absorbed by his thesis, I took off the afternoon to play tennis with Bertrand."," Když jsem viděl, že Francis pracuje na své disertaci, šel jsem si zahrát s Bertrandem tenis."
"escaped","escape","neuniklo","uniknout","pf"," "" It has not escaped our notice that the specific pairing we have postulated immediately suggests a possible copying mechanism for the genetic material. """," "" Naší pozornosti neuniklo, že specifické párování, které předpokládáme, bezprostředně naznačuje možný rozmnožovací mechanismus genetického materiálu. """
"postulated","postulate","předpokládáme","předpokládat","impf"," "" It has not escaped our notice that the specific pairing we have postulated immediately suggests a possible copying mechanism for the genetic material. """," "" Naší pozornosti neuniklo, že specifické párování, které předpokládáme, bezprostředně naznačuje možný rozmnožovací mechanismus genetického materiálu. """
"shown","show","ukázali","ukázat","pf"," Sir Lawrence was shown the paper in its nearly final form."," V téměř definitivním znění jsme článek ukázali siru Lawrencovi."
"suggesting","suggest","Navrhl","navrhnout","pf"," After suggesting a minor stylistic alteration, he enthusiastically expressed his willingness to post it to Nature with a strong covering letter."," Navrhl nám několik menších stylistických úprav a nanejvýš nadšeně byl ochoten poslat jej do Nature a doprovodit jej jednoznačně doporučujícím dopisem."
"post","post","poslat","poslat","pf"," After suggesting a minor stylistic alteration, he enthusiastically expressed his willingness to post it to Nature with a strong covering letter."," Navrhl nám několik menších stylistických úprav a nanejvýš nadšeně byl ochoten poslat jej do Nature a doprovodit jej jednoznačně doporučujícím dopisem."
"spent","spend","věnovat","věnovat","impf"," Thus the next several days were to be spent using a plumb line and a measuring stick to obtain the relative positions of all atoms in a single nucleotide."," Budeme se proto muset několik příštích dní věnovat použití olovnice a měření stability, abychom získali relativní polohu všech atomů v jednom nukleotidu."
"obtain","obtain","získali","získat","pf"," Thus the next several days were to be spent using a plumb line and a measuring stick to obtain the relative positions of all atoms in a single nucleotide."," Budeme se proto muset několik příštích dní věnovat použití olovnice a měření stability, abychom získali relativní polohu všech atomů v jednom nukleotidu."
"wanted","want","chtěla","chtít","impf"," After coffee Odile wanted to know whether they would still have to go into exile in Brooklyn if our work was as sensational as everyone told her."," Po kávě chtěla Odile vědět, jestli ještě půjdou do exilu v Brooklynu, když je naše práce tak senzační, jak jí každý říká."
"go","go","půjdou","jít","impf"," After coffee Odile wanted to know whether they would still have to go into exile in Brooklyn if our work was as sensational as everyone told her."," Po kávě chtěla Odile vědět, jestli ještě půjdou do exilu v Brooklynu, když je naše práce tak senzační, jak jí každý říká."
"told","tell","říká","říkat","impf"," After coffee Odile wanted to know whether they would still have to go into exile in Brooklyn if our work was as sensational as everyone told her."," Po kávě chtěla Odile vědět, jestli ještě půjdou do exilu v Brooklynu, když je naše práce tak senzační, jak jí každý říká."
"stay","stay","zůstat","zůstat","pf"," Perhaps we should stay on in Cambridge to solve other problems of equal importance."," Měli bychom asi zůstat v Cambridgi a věnovat se řešení jiných, stejně důležitých problémů."
"tell","tell","říct","říci","pf"," But Jean could not tell me whether was right."," Ovšem Jean mi tehdy nebyl schopen říct, zda je Linusova šroubovice správná."
"judge","judge","posoudit","posoudit","pf"," He was not an X-ray crystallographer and could not judge the model professionally."," Nebyl rentgenovým krystalografem, a nemohl tedy model odborně posoudit."
"thought","think","považovali","považovat","impf"," Several of his younger friends, however, trained in structural chemistry, thought the α-helix looked very pretty."," Někteří z jeho mladších přátel, školení ve strukturní chemii, považovali α - šroubovici za velmi zdařilou."
"accomplished","accomplish","vykonal","vykonat","pf"," If so, he had again accomplished a feat of extraordinary significance."," Bylo - li tomu tak, vykonal opět čin mimořádného významu."
"propose","propose","navrhl","navrhnout","pf"," He would be the first person to propose something solidly correct about the structure of a biologically important macromolecule."," Byl by první, kdo navrhl něco skutečně správného o struktuře biologicky významné makromolekuly."
"lent","lend","půjčil","půjčit","pf"," When necessary, he lent me the key or walked down the stair to unlock the heavy doors that led out onto Free School Lane."," Když to bylo nutné, klíč mi půjčil nebo sešel ze schodů a odemkl mi těžké dveře vedoucí na Free School Lane."
"develop","develop","vyvolal","vyvolat","pf"," Hugh was not in the lab when late on a midsummer June night I went back to shut down the X-ray tube and to develop the photograph of a new TMV sample."," Hugh v laboratoři nebyl, když jsem se tam jedné červnové noci vrátil, abych uklidil rentgenovou trubici a vyvolal snímek nového vzorku TMV."
"tilted","tilt","skloněn","sklonit","pf"," It was tilted at about 25 degrees, so that if I were lucky I 'd find the helical reflections."," Ten byl skloněn o 25 stupňů, takže když budu mít štěstí, najdu odrazy šroubovice."
"find","find","najdu","najít","pf"," It was tilted at about 25 degrees, so that if I were lucky I 'd find the helical reflections."," Ten byl skloněn o 25 stupňů, takže když budu mít štěstí, najdu odrazy šroubovice."
"held","hold","držel","držet","impf"," The moment I held the still wet negative against the light box, I knew we had it."," V okamžiku, kdy jsem držel proti světlu ještě mokrý negativ, viděl jsem, že ji mám."
"held","hold","mám","mít","impf"," The moment I held the still wet negative against the light box, I knew we had it."," V okamžiku, kdy jsem držel proti světlu ještě mokrý negativ, viděl jsem, že ji mám."
"understand","understand","porozumíme","porozumět","pf"," And when the structure of DNA was known, we might be in a better position to understand how genes work."," A když bude poznána struktura DNA, spíše porozumíme, jak fungují geny."
"work","work","fungují","fungovat","impf"," And when the structure of DNA was known, we might be in a better position to understand how genes work."," A když bude poznána struktura DNA, spíše porozumíme, jak fungují geny."
"worried","worry","trápil","trápit","impf"," Before Maurice 's talk I had worried about the possibility that the gene might be fantastically irregular."," Před Mauricovou přednáškou jsem se trápil možností, že gen by mohl být fantasticky nepravidelný."
"join","join","připojit","připojit","pf"," Immediately I began to wonder whether it would be possible for me to join Wilkins in working on DNA."," Hned mě napadlo, zda by bylo možné připojit se k Wilkinsovi při jeho práci na DNA."
"existed","exist","existovalo","existovat","impf"," On the other hand, if direct copying existed, his calculations might reveal attraction between identical bases."," Kdyby však existovalo přímé kopírování, jeho výpočty by mohly ukázat přitažlivost mezi shodnými bázemi."
"reveal","reveal","ukázat","ukázat","pf"," On the other hand, if direct copying existed, his calculations might reveal attraction between identical bases."," Kdyby však existovalo přímé kopírování, jeho výpočty by mohly ukázat přitažlivost mezi shodnými bázemi."
"bumped","bump","narazili","narazit","pf"," Several days later, when they bumped into each other in the Cavendish tea queue, Francis learned that a semirigorous argument hinted that adenine and thymine should stick to each other by their surfaces."," Po několika dnech, když na sebe narazili ve frontě na čaj v Cavendish, Francis se dověděl, že semirigorózní důkaz naznačuje, že adenin a thymin by mohly k sobě přiléhat svými plochými povrchy."
"learned","learn","dověděl","dovědět","pf"," Several days later, when they bumped into each other in the Cavendish tea queue, Francis learned that a semirigorous argument hinted that adenine and thymine should stick to each other by their surfaces."," Po několika dnech, když na sebe narazili ve frontě na čaj v Cavendish, Francis se dověděl, že semirigorózní důkaz naznačuje, že adenin a thymin by mohly k sobě přiléhat svými plochými povrchy."
