"kept","keep","udržoval","udržovat","impf"," I merely kept all dials at equilibrium in accordance with the will of the Master. """," Prostě jsem udržoval všechny hodnoty v rovnováze tak, jak si přeje Pán. """
"turned","turn","Obrátil","obrátit","pf"," He turned to Powell."," Obrátil se na Powella."
"going","go","dělat","dělat","impf"," "" What are we going to do now? """," "" Co budeme dělat teď? """
"do","do","dělat","dělat","impf"," "" What are we going to do now? """," "" Co budeme dělat teď? """
"uplifted","uplift","zvedla","zvednout","pf"," Powell felt tired, but uplifted."," Powell byl unavený, ale nálada se mu zvedla."
"run","run","řídit","řídit","impf"," He 's just shown he can run the station perfectly."," Právě dokázal, že je dokonale schopen řídit stanici."
"seen","see","nezažil","zažít","pf"," I 've never seen an electron storm handled so well. """," Ještě nikdy jsem nezažil, aby si někdo s elektronovou bouří poradil tak dobře. """
"solved","solve","nevyřešilo","vyřešit","pf"," "" Hut nothing 's solved."," "" Ale tím se nic nevyřešilo."
"heard","hear","Slyšel","slyšet","impf"," You heard what he said of the Master."," Slyšel jsi, co říkal o tom Pánovi."
"said","say","říkal","říkat","impf"," You heard what he said of the Master."," Slyšel jsi, co říkal o tom Pánovi."
"turned","turn","Otočil","otočit","pf"," He turned and stalked out of the room."," Otočil se a odkráčel z místnosti."
"passed","pass","minul","minout","pf"," He brushed past Michael Donovan on the threshold with a grave nod and passed down the corridor, oblivious to the astounded stare that followed him."," Ve dveřích s důstojným pokývnutím minul Michaela Donovana a lhostejný k jeho užaslému pohledu odcházel chodbou pryč."
"believe","believe","nevěří","věřit","impf"," What does n't he believe? """," Čemu nevěří? """
"insist","insist","trváte","trvat","impf"," Why should you insist so on an absolutely false view of life?"," Proč tak trváte na takové naprosto mylné představě o životě?"
"lack","lack","postrádají","postrádat","impf"," Admitted that non-robots lack the reasoning faculty, there is still the problem of -- """," I za předpokladu, že neroboti opravdu postrádají rozumové schopnosti, stále ještě zbývá problém - """
"shake","shake","otřáslo","otřást","pf"," Nothing in the Universe can shake them."," V celém vesmíru neexistuje nic, co by jimi otřáslo."
"going","go","Jdu","jít","impf"," I 'm going to bed. """," Jdu si lehnout. """
"sleep","sleep","neusnu","usnout","pf"," I ca n't sleep! """," Já neusnu! "" """
"try","try","zkusit","zkusit","pf"," But I might as well try -- as a matter of principle. """," Můžu to ale zkusit - čistě z principu. """
"pointed","point","ukazoval","ukazovat","impf"," The storm had arrived ahead of schedule, and Donovan 's florid face drained of blood as he pointed a shaking finger."," Bouře se přihnala proti očekávání dříve a Donovan měl své jindy červené tváře smrtelně bledé, když třesoucím se prstem ukazoval ven."
"wonder","wonder","nedivím","divit","impf"," "" It is so just the same and I do n't wonder that you refuse to believe."," "" Ano, je to tak, a já se vám ani nedivím, že tomu nechcete věřit."
"believe","believe","věřit","věřit","impf"," "" It is so just the same and I do n't wonder that you refuse to believe."," "" Ano, je to tak, a já se vám ani nedivím, že tomu nechcete věřit."
"accepted","accept","Přijal","přijmout","pf"," He accepted the sheets held out to him and gazed at them unseeingly."," Přijal od něho podávané listy papíru a nepřítomným zrakem na ně pohlédl."
"gazed","gaze","pohlédl","pohlédnout","pf"," He accepted the sheets held out to him and gazed at them unseeingly."," Přijal od něho podávané listy papíru a nepřítomným zrakem na ně pohlédl."
"serve","serve","Sloužit","sloužit","impf"," "" Of course, it is a great privilege to serve the Master."," "" Sloužit našemu Pánovi je samozřejmě veliké vyznamenání."
"replaced","replace","nahradil","nahradit","pf"," You must n't feel too badly about my having replaced you. """," Nesmíte si to tak brát, že teď jsem vás nahradil já. """
"gripped","grip","Popadl","popadnout","pf"," He gripped it hard in both fists and rose to his feet, still staring."," Popadl arch papíru do obou rukou, vyskočil ze židle a nepřestal si jej prohlížet."
"answer","answer","neodpověděl","odpovědět","pf"," Cutie did not answer immediately."," Chytroušek neodpověděl hned."
"grasped","grasp","popadl","popadnout","pf"," The other grasped Donovan 's wrist and drew him closer."," Druhou rukou popadl Donovana za zápěstí a přitáhl si ho k sobě."
"drew","draw","přitáhl","přitáhnout","pf"," The other grasped Donovan 's wrist and drew him closer."," Druhou rukou popadl Donovana za zápěstí a přitáhl si ho k sobě."
"like","like","Líbíte","líbit","impf"," "" I like you two."," "" Líbíte se mi, vy dva."
"served","serve","Sloužili","sloužit","impf"," You have served the Master well, and he will reward you for that."," Sloužili jste našemu Pánovi dobře a on se vám za to odmění."
"reward","reward","odmění","odměnit","pf"," You have served the Master well, and he will reward you for that."," Sloužili jste našemu Pánovi dobře a on se vám za to odmění."
"stared","stare","zíral","zírat","impf"," Powell, stubble-jawed and dry-lipped, stared out the port and pulled desperately at his mustache."," Powell se zarostlými tvářemi a oschlými rty zíral z okénka a zoufale se tahal za knír."
"pulled","pull","tahal","tahat","impf"," Powell, stubble-jawed and dry-lipped, stared out the port and pulled desperately at his mustache."," Powell se zarostlými tvářemi a oschlými rty zíral z okénka a zoufale se tahal za knír."
"sighed","sigh","vzdychl","vzdychnout","pf"," Cutie sighed, with the sound of wind humming through closely spaced wires."," Chytroušek vzdychl a zaznělo to jako šumění větru v natažených drátech."
"expected","expect","Očekával","očekávat","impf"," I expected it, but -- Well, the Master 's will he done! """," Očekával jsem to, ale - děj se vůle našeho Pána! """
"think","think","myslíte","myslet","impf"," "" It is best that you think so, "" Cutie sighed again."," "" Pro vás je asi lepší, když si to myslíte, "" povzdechl znovu Chytroušek."
"obey","obey","Poslouchám","poslouchat","impf"," "" I obey only the Master. """," "" Poslouchám jen svého Pána. """
"expect","expect","myslíte","myslet","impf"," "" Do you expect me, "" said Cutie slowly, "" to believe any such complicated, implausible hypothesis as you have just outlined?"," "" Vy si myslíte, "" pronesl CHTR - 1 pomalu, "" že uvěřím té vaší složité a nepravděpodobné teorii?"
"believe","believe","myslíte","myslet","impf"," "" Do you expect me, "" said Cutie slowly, "" to believe any such complicated, implausible hypothesis as you have just outlined?"," "" Vy si myslíte, "" pronesl CHTR - 1 pomalu, "" že uvěřím té vaší složité a nepravděpodobné teorii?"
"said","say","pronesl","pronést","pf"," "" Do you expect me, "" said Cutie slowly, "" to believe any such complicated, implausible hypothesis as you have just outlined?"," "" Vy si myslíte, "" pronesl CHTR - 1 pomalu, "" že uvěřím té vaší složité a nepravděpodobné teorii?"
"believe","believe","uvěřím","uvěřit","pf"," "" Do you expect me, "" said Cutie slowly, "" to believe any such complicated, implausible hypothesis as you have just outlined?"," "" Vy si myslíte, "" pronesl CHTR - 1 pomalu, "" že uvěřím té vaší složité a nepravděpodobné teorii?"
"believe","believe","nevěřím","věřit","impf"," Sorry, Powell, but I do n't believe it."," Je mi líto, Powelle, ale tomu nevěřím."
"read","read","četl","číst","impf"," I 've read them -- al1 of them!"," Já jsem je četl - všechny!"
"read","read","četl","číst","impf"," "" If you 've read them, what else is there to say?"," "" Když jsi je četl, tak co ještě chceš vědět?"
"dispute","dispute","pochybovat","pochybovat","impf"," You ca n't dispute their evidence."," Nemůžeš přece pochybovat o důkazech, které jsou v nich podány."
"created","create","stvořil","stvořit","pf"," They, too, were created by the Master -- and were meant for you, not for me. """," I ty stvořil Pán - a jsou určeny pro vás, ne pro mne. """
"Listen","listen","Poslyš","slyšet","impf"," "" Listen, Cutie, if there is no such thing as Earth, how do you account for what you see through a telescope? """," "" Poslyš, Chytroušku, když tedy neexistuje něco takového jako Země, jak vysvětluješ to, co vidíš v dalekohledu? """
"see","see","vidíš","vidět","impf"," "" Listen, Cutie, if there is no such thing as Earth, how do you account for what you see through a telescope? """," "" Poslyš, Chytroušku, když tedy neexistuje něco takového jako Země, jak vysvětluješ to, co vidíš v dalekohledu? """
"smiled","smile","usmál","usmát","pf"," The Earthman smiled."," Pozemšťan se usmál."
"got","get","Dostal","dostat","pf"," "" I 've got you, eh?"," "" Dostal jsem tě, co?"
"trust","trust","nevěří","věřit","impf"," How are we going to trust him with the station, if he does n't believe in Earth? """," Jak mu můžeme svěřit celou stanici, když nevěří, že existuje Země? """
"believe","believe","nevěří","věřit","impf"," How are we going to trust him with the station, if he does n't believe in Earth? """," Jak mu můžeme svěřit celou stanici, když nevěří, že existuje Země? """
"handle","handle","řídit","řídit","impf"," "" Can he handle the station? """," "" Je schopen řídit stanici? """
"believes","believe","věří","věřit","impf"," "" Then what 's the difference what he believes! """," "" Co potom záleží na tom, čemu věří? """
"said","say","říkal","říkat","impf"," "" It would be a simple job, "" he said."," "" Nebylo by na tom nic složitého, "" říkal."
"work","work","dělat","dělat","impf"," Whatever the background, one is face to face with an inscrutable positronic brain, which the slide-rule geniuses say should work thus-and-so."," Ať je člověk kdekoli, vždy stojí tváří v tvář nevyzpytatelnému pozitronickému mozku, který by - jak tvrdí géniové s logaritmickými pravítky - měl dělat to a to."
"do","do","nedělá","dělat","impf"," Except that they do n't."," Až na to, že to nedělá."
"listen","listen","poslouchej","poslouchat","impf"," Now I want you to listen carefully."," A teď mě, prosím tě, dobře poslouchej."
"obey","obey","poslouchat","poslouchat","impf"," As a matter of fact, it accounts for his refusal to obey us."," Mimochodem, tím se vysvětluje i to, že nás odmítl poslouchat."
"keep","keep","chránit","chránit","impf"," How can he keep humans from harm, whether he knows it or not?"," A jak může chránit lidi před nebezpečím, ať už si toho je vědom, nebo ne?"
"keeping","keep","udrží","udržet","pf"," Why, by keeping the energy beam stable."," No přece tím, že udrží paprsek energie v ohnisku."
"believe","believe","nevěříš","věřit","impf"," "" And if you do n't believe us, "" added Donovan, "" we 'll gladly take you apart! """," "" A když nám to nevěříš, "" dodal Donovan, "" tak tě klidně zase rozebereme! """
"added","add","dodal","dodat","pf"," "" And if you do n't believe us, "" added Donovan, "" we 'll gladly take you apart! """," "" A když nám to nevěříš, "" dodal Donovan, "" tak tě klidně zase rozebereme! """
"laughed","laugh","zasmál","zasmát","pf"," Cutie laughed."," Robot se zasmál."
"suppose","suppose","nemyslíš","myslet","impf"," Do you suppose he 's going to let us get near him with acid in our bands?"," Snad si nemyslíš, že nás nechá, abychom se k němu přiblížili s kyselinou v ruce?"
"let","let","nechá","nechat","pf"," Do you suppose he 's going to let us get near him with acid in our bands?"," Snad si nemyslíš, že nás nechá, abychom se k němu přiblížili s kyselinou v ruce?"
"tell","tell","říkám","říkat","impf"," We 've got to talk to him, I tell you."," Já ti říkám, že mu to musíme rozmluvit."
"Do","do","Udělej","udělat","pf"," "" Do something about it."," "" Udělej s tím něco!"
"entered","enter","vešel","vejít","pf"," Gregory Powell entered as he spoke, eyes on the graphed paper in his hands, and dropped into a chair."," Právě v tom okamžiku vešel Gregory Powell do místnosti a s očima upřenýma do grafů, které držel v ruce, usedl na židli."
"spread","spread","rozložil","rozložit","pf"," He spread the sheets out before him and began scribbling calculations."," Listy papíru si rozložil před sebe a začal čmárat jakési výpočty."
"began","begin","začal","začít","pf"," He spread the sheets out before him and began scribbling calculations."," Listy papíru si rozložil před sebe a začal čmárat jakési výpočty."
"waited","wait","čekal","čekat","impf"," Cutie waited silent1y."," Chytroušek mlčky čekal."
"dropped","drop","spadly","spadnout","pf"," The other sheets dropped to the floor, unheeded."," Ostatní listy spadly nepovšimnuty na zem."
"held","hold","udržel","udržet","pf"," "" He held it steady! """," "" On ho udržel! """
"kept","keep","udržel","udržet","pf"," "" You kept it in focus, "" stuttered Powell."," "" Tys ho udržel v ohnisku, "" vyrazil ze sebe Powell."
"listening","listen","Posloucháme","poslouchat","impf"," We 're listening. """," Posloucháme. """
"spent","spend","věnoval","věnovat","impf"," "" I have spent these last two days in concentrated introspection, "" said Cutie, "" and the results have been most interesting."," "" Poslední dva dny jsem se věnoval usilovnému bádání, "" řekl Chytroušek, "" a došel jsem k nanejvýš zajímavým závěrům."
"said","say","řekl","říci","pf"," "" I have spent these last two days in concentrated introspection, "" said Cutie, "" and the results have been most interesting."," "" Poslední dva dny jsem se věnoval usilovnému bádání, "" řekl Chytroušek, "" a došel jsem k nanejvýš zajímavým závěrům."
"felt","feel","cítil","cítit","impf"," I began at the one sure assumption I felt permitted to make."," Vyšel jsem z jediného nepochybného předpokladu, který jsem se cítil oprávněn učinit."
"make","make","učinit","učinit","pf"," I began at the one sure assumption I felt permitted to make."," Vyšel jsem z jediného nepochybného předpokladu, který jsem se cítil oprávněn učinit."
"exist","exist","Existuji","existovat","impf"," I, myself, exist, because I think -- """," Existuji, protože myslím - """
"think","think","myslím","myslet","impf"," I, myself, exist, because I think -- """," Existuji, protože myslím - """
"seem","seem","zdají","zdát","impf"," They seem so tiny because they are incredibly far off."," Tak malé se zdají proto, že jsou nesmírně daleko."
"directed","direct","směřují","směřovat","impf"," "" The dots to which our energy beams are directed, are nearer and much smal1er."," Tečky, ke kterým směřují naše paprsky, jsou mnohem blíž a jsou podstatně menší."
"come","come","pochází","pocházet","impf"," It is from one of these worlds that Donovan and I come."," Z jedné takové planety pochází tady Donovan a já."
"seated","seat","posadil","posadit","pf"," Powell stood up and seated himself at the table 's edge next to the robot."," Powell vstal z křesla a posadil se na kraj stolu k robotovi."
"felt","feel","Pocítil","pocítit","pf"," He felt a sudden strong sympathy for this strange machine."," Pocítil náhle k tomu podivnému stroji nečekaně silné sympatie."
"departed","depart","Odešel","odejít","pf"," He departed -- the picture of commiseration."," Odešel - ztělesnění lítosti a žalu."
"passed","pass","přešel","přejít","pf"," Donovan made scant acknowledgment and passed into the pilot room to take over the controls from Sam Evans."," Donovan mu stručně vylíčil situaci a přešel do pilotní kabiny, aby od Sama Evanse převzal řízení."
"take","take","převzal","převzít","pf"," Donovan made scant acknowledgment and passed into the pilot room to take over the controls from Sam Evans."," Donovan mu stručně vylíčil situaci a přešel do pilotní kabiny, aby od Sama Evanse převzal řízení."
"go","go","jít","jít","impf"," Where must I go? """," Kam mám jít? """
"said","say","řekl","říci","pf"," "" Down these stairs, "" he said."," "" Tudy dolů po schodech, "" řekl."
"do","do","dělat","dělat","impf"," "" You will he told what to do. """," "" Tam se dozvíš, co máš dělat. """
"gone","go","odešel","odejít","pf"," The MC model was gone and the two Earthmen were alone with the stil1 unmoving Cutie."," Model řady MC odešel a oba Pozemšťané osaměli s nehybným Chytrouškem."
"giving","give","poskytli","poskytnout","pf"," We 're giving you a good, logical explanation."," My jsme ti poskytli jasné, logické vysvětlení."
"beams","beam","vysílá","vysílat","impf"," "" The beams, "" was the stiff reply, "" are put out by the Master for his own purposes."," "" Paprsky, "" zněla odměřená odpověď, "" vysílá sám Pán a má pro to své důvody."
"Look","look","podívejte","podívat","pf"," "" Look at you, "" he said finally."," "" Jen se na sebe podívejte, "" řekl konečně."
"said","say","řekl","říci","pf"," "" Look at you, "" he said finally."," "" Jen se na sebe podívejte, "" řekl konečně."
"say","say","Neříkám","říkat","impf"," "" I say this in no spirit of contempt, but look at you!"," "" Neříkám to nikterak hanlivě, ale jen se na sebe podívejte!"
"look","look","podívejte","podívat","pf"," "" I say this in no spirit of contempt, but look at you!"," "" Neříkám to nikterak hanlivě, ale jen se na sebe podívejte!"
"exists","exist","existuje","existovat","impf"," You 'll find out whether Earth exists when relief gets here next week and we have to go hack to face the music. """," "" Však se přesvědčíš, že Země existuje, až sem za týden přijede náš nástupce a my se budeme muset vrátit dolů na kobereček. """
"gets","get","přijede","přijet","pf"," You 'll find out whether Earth exists when relief gets here next week and we have to go hack to face the music. """," "" Však se přesvědčíš, že Země existuje, až sem za týden přijede náš nástupce a my se budeme muset vrátit dolů na kobereček. """
"believe","believe","Nevěří","věřit","impf"," "" He does n't believe us, or the hooks, or his eyes. """," "" Nevěří ani nám, ani knihám, ani tomu, co vidí. """
"said","say","řekl","říci","pf"," "" No, "" said Powell bitterly, "" he 's a reasoning robot -- damn it."," "" Ne, "" řekl Powell hořce, "" on má svůj vlastní rozum - aby ho čert vzal."
"awaited","await","čekal","čekat","impf"," The robot awaited only the vitalizing flash of high-voltage electricity, and Powell paused with his hand on the switch."," Robot čekal jen na oživující výboj vysokého napětí a Powell s rukou na vypínači na okamžik zaváhal."
"watch","watch","dívej","dívat","impf"," "" Now watch this, Cutie."," "" Teď se dívej, Chytroušku."
"Watch","watch","dívej","dívat","impf"," Watch this carefully. """," Pozorně se dívej. """
"bent","bend","sklonili","sklonit","pf"," The two Earthmen bent anxiously over their creation."," Oba Pozemšťané se starostlivě sklonili nad svým výtvorem."
"made","make","provedl","provést","pf"," You 've made quite a few telescopic observations since being put together, Cutie."," Od té doby, co jsme tě sestrojili, jsi už provedl slušnou řádku pozorování."
"viewed","view","díváš","dívat","impf"," Have you noticed that several of those specks of light outside become disks when so viewed? """," Všiml sis, že některé světelné tečky tam venku se změní v kotoučky, když se na ně díváš dalekohledem? """
"magnified","magnify","nezvětší","zvětšit","pf"," "" Why are n't the stars equally magnified then? """," "" A proč se tedy nezvětší stejně i hvězdy? """
"scowled","scowl","zamračil","zamračit","pf"," He cast a look of furious frustration at the closed door and scowled bitterly at Donovan."," S bezmocnou zuřivostí pohlédl směrem ke dveřím a pak se rozhořčeně zamračil na Donovana."
"did","do","dělat","dělat","impf"," "" What did you expect me to do with that electrified scarecrow?"," "" A co jsem podle tebe s tím elektrickým strašákem měl dělat?"
"do","do","dělat","dělat","impf"," "" What did you expect me to do with that electrified scarecrow?"," "" A co jsem podle tebe s tím elektrickým strašákem měl dělat?"
"serve","serve","sloužíme","sloužit","impf"," What do we all serve?"," Čemu všichni sloužíme?"
"turned","turn","obrátil","obrátit","pf"," Donovan turned a startled look upon his companion."," Donovan se zmateně obrátil na svého spolupracovníka."
"bet","bet","Vsadím","vsadit","pf"," "" I 'll bet this tin-plated screwball is talking about the Energy Converter itself. """," "" Vsadím se, že ten plechový šašek má na mysli samotný energetický konvertor. """
"want","want","Chcete","chtít","impf"," Do you want the truth behind it all? """," Chcete slyšet, jak je to doopravdy`? """
"created","create","stvořil","stvořit","pf"," "" The Master created humans first as the lowest type, most easily formed."," "" Náš Pán nejdříve stvořil primitivní lidi s co nejjednodušším organismem."
"fallen","fall","upadl","upadnout","pf"," Donovan had fallen into a troubled slumber and Powell 's weary eyes rested upon him enviously."," Donovan upadl do neklidné dřímoty a Powell na něm závistivě spočinul unavenýma očima."
"explained","explain","nevysvětlil","vysvětlit","pf"," You have n't explained my existence. """," Ještě jste mi nevysvětlil mou existenci. """
"see","see","vidět","vidět","impf"," "" But you see more stars through a telescope."," "" Ale v dalekohledu je těch hvězd vidět víc."
"do","do","berou","brát","impf"," Where do they come from?"," Kde se tam berou?"
"do","do","berou","brát","impf"," Jumping Jupiter, where do they come from? """," Jasný Jupitere, kde se tam berou? """
"think","think","myslíte","myslet","impf"," "" Listen, Powell, do you think I 'm going to waste my time trying to pin physical interpretations upon every optical illusion of our instruments?"," "" Ale, Powelle, to si myslíte, že budu marnit čas a snažit se najít fyzikální vysvětlení všech optických klamů vašich přístrojů?"
"trying","try","snažit","snažit","impf"," "" Listen, Powell, do you think I 'm going to waste my time trying to pin physical interpretations upon every optical illusion of our instruments?"," "" Ale, Powelle, to si myslíte, že budu marnit čas a snažit se najít fyzikální vysvětlení všech optických klamů vašich přístrojů?"
"talking","talk","mluvíš","mluvit","impf"," "" What are you talking about? """," "" O čem to mluvíš? """
"established","establish","vybudovány","vybudovat","pf"," When these stations were first established to feed solar energy to the planets, they were run by humans."," Když byly vybudovány první stanice pro zásobování planet sluneční energií, obsluhovali je lidé."
"replace","replace","nahradit","nahradit","pf"," Robots were developed to replace human labor and now only two human executives are required for each station."," Proto byli vynalezeni roboti, kteří jsou schopni lidskou práci nahradit, a teď jsou na každé stanici zapotřebí jen dva lidé."
"trying","try","Snažíme","snažit","impf"," We are trying to replace even those, and that 's where you come in."," Snažíme se nahradit i ty a právě v tom je řada na tobě."
"replace","replace","nahradit","nahradit","pf"," We are trying to replace even those, and that 's where you come in."," Snažíme se nahradit i ty a právě v tom je řada na tobě."
"mean","mean","chceš","chtít","impf"," "" Just what do you mean, we 've lost our function? """," "" Co tím chceš říct, že jsme pozbyli své funkce? """
"created","create","stvořen","stvořit","pf"," "" Until I was created, "" answered Cutie, "" you tended the Master."," "" Než jsem byl stvořen já, "" odpověděl Chytroušek, "" sloužili jste Pánovi vy."
"answered","answer","odpověděl","odpovědět","pf"," "" Until I was created, "" answered Cutie, "" you tended the Master."," "" Než jsem byl stvořen já, "" odpověděl Chytroušek, "" sloužili jste Pánovi vy."
"tended","tend","sloužili","sloužit","impf"," "" Until I was created, "" answered Cutie, "" you tended the Master."," "" Než jsem byl stvořen já, "" odpověděl Chytroušek, "" sloužili jste Pánovi vy."
"do","do","dělat","dělat","impf"," "" Not quite, "" replied Powell bitterly, "" but what do you expect us to do now? """," "" Ne tak docela, "" řekl Powell kousavě, "" ale co tedy teď podle tebe máme dělat? """
"do","do","dělat","dělat","impf"," "" Not quite, "" replied Powell bitterly, "" but what do you expect us to do now? """," "" Ne tak docela, "" řekl Powell kousavě, "" ale co tedy teď podle tebe máme dělat? """
