"say","say","neodpovíš","odpovědět","pf"," ' Why do n't you say something, Niza? ' asked Judas miserably, hastening to keep pace with her."," "" Proč mi neodpovíš, Niso? "" žadonil Jidáš, když ji dohnal."
"traced","trace","kreslili","kreslit","impf"," The other woman came to the man 's assistance and they hit Ivan on the back with some instrument, though not painfully, traced some signs on the skin of his chest with the handle of a little hammer, hit him on the knees with more little hammers, making Ivan 's legs jerk, pricked his finger and drew blood from it, pricked his elbow joint, wrapped rubber bracelets round his arm ..."," Pak přispěchala lékaři na pomoc ošetřovatelka a společně Ivana píchali, naštěstí ne příliš bolestivě, do zad, kreslili držadlem kladívka jakési znaky do kůže na prsou, poklepávali mu kladívkem do kolen, až povyskočil, bodali ho do prsou, do ohybu lokte a brali mu krev, navlékali mu na ruce gumové náramky ..."
"drew","draw","kreslili","kreslit","impf"," The other woman came to the man 's assistance and they hit Ivan on the back with some instrument, though not painfully, traced some signs on the skin of his chest with the handle of a little hammer, hit him on the knees with more little hammers, making Ivan 's legs jerk, pricked his finger and drew blood from it, pricked his elbow joint, wrapped rubber bracelets round his arm ..."," Pak přispěchala lékaři na pomoc ošetřovatelka a společně Ivana píchali, naštěstí ne příliš bolestivě, do zad, kreslili držadlem kladívka jakési znaky do kůže na prsou, poklepávali mu kladívkem do kolen, až povyskočil, bodali ho do prsou, do ohybu lokte a brali mu krev, navlékali mu na ruce gumové náramky ..."
"pricked","prick","bodali","bodat","impf"," The other woman came to the man 's assistance and they hit Ivan on the back with some instrument, though not painfully, traced some signs on the skin of his chest with the handle of a little hammer, hit him on the knees with more little hammers, making Ivan 's legs jerk, pricked his finger and drew blood from it, pricked his elbow joint, wrapped rubber bracelets round his arm ..."," Pak přispěchala lékaři na pomoc ošetřovatelka a společně Ivana píchali, naštěstí ne příliš bolestivě, do zad, kreslili držadlem kladívka jakési znaky do kůže na prsou, poklepávali mu kladívkem do kolen, až povyskočil, bodali ho do prsou, do ohybu lokte a brali mu krev, navlékali mu na ruce gumové náramky ..."
"pricked","prick","bodali","bodat","impf"," The other woman came to the man 's assistance and they hit Ivan on the back with some instrument, though not painfully, traced some signs on the skin of his chest with the handle of a little hammer, hit him on the knees with more little hammers, making Ivan 's legs jerk, pricked his finger and drew blood from it, pricked his elbow joint, wrapped rubber bracelets round his arm ..."," Pak přispěchala lékaři na pomoc ošetřovatelka a společně Ivana píchali, naštěstí ne příliš bolestivě, do zad, kreslili držadlem kladívka jakési znaky do kůže na prsou, poklepávali mu kladívkem do kolen, až povyskočil, bodali ho do prsou, do ohybu lokte a brali mu krev, navlékali mu na ruce gumové náramky ..."
"smile","smile","usmíval","usmívat","impf"," Ivan could only smile bitterly to himself and ponder on the absurdity of it all."," Bezprizorný se jen v duchu trpce usmíval a napadlo ho, jak je to všecko divné a hloupé."
"said","say","prohlásil","prohlásit","pf"," Off you go home! ' said Azazello and Varenukha melted away."," Marš domů! "" prohlásil ryšavec a Varenucha se rozplynul ve vzduchu."
"melted","melt","rozplynul","rozplynout","pf"," Off you go home! ' said Azazello and Varenukha melted away."," Marš domů! "" prohlásil ryšavec a Varenucha se rozplynul ve vzduchu."
"ordered","order","poručil","poručit","pf"," ' Now all of you leave me alone with these two, ' ordered Woland, pointing to the master and Margarita."," "" A nyní mě nechtě s nimi samotného, "" poručil Woland a ukázal na Mistra a Markétu."
"pointing","point","ukázal","ukázat","pf"," ' Now all of you leave me alone with these two, ' ordered Woland, pointing to the master and Margarita."," "" A nyní mě nechtě s nimi samotného, "" poručil Woland a ukázal na Mistra a Markétu."
"vanished","vanish","zmizel","zmizet","pf"," With great agility the choirmaster jumped on board a moving bus bound for Arbat Square and vanished."," Regenschori se neobyčejně obratně vecpal do autobusu jedoucího k Arbatskému náměstí a zmizel."
"said","say","řekl","říci","pf"," ' That 's better, ' said Woland with a slight frown."," "" To už je lepší, "" řekl mág a přivřel víčka."
"replied","reply","odpověděl","odpovědět","pf"," ' I am no one, ' replied the master with a lopsided smile."," "" Momentálně nikdo, "" odpověděl Mistr a trpce se pousmál."
"pretending","pretend","předstírali","předstírat","impf"," The others said nothing, pretending to be watching the game with the smoke-rings."," Ostatní mlčeli a předstírali, že jsou plně zaměstnáni chytáním kroužků."
"turned","turn","otočila","otočit","pf"," ' Yes, it 's time, ' said Margarita uneasily and turned round as if looking for a cloak or something else to wear."," "" Je čas, "" opakovala zrozpačitělá Markéta a otočila se, jako by hledala plášť nebo přehoz;"
"looking","look","hledala","hledat","impf"," ' Yes, it 's time, ' said Margarita uneasily and turned round as if looking for a cloak or something else to wear."," "" Je čas, "" opakovala zrozpačitělá Markéta a otočila se, jako by hledala plášť nebo přehoz;"
"beginning","begin","začala","začít","pf"," Her nakedness was beginning to embarrass her."," nahota ji náhle začala tísnit."
"picked","pick","sebral","sebrat","pf"," In silence Woland picked up his greasy dressing-gown from the bed and Koroviev threw it over Margarita 's shoulders."," Woland beze slova sebral z postele svůj odřený a promaštěný župan a Korovjev ho přehodil Markétě přes ramena."
"whispered","whisper","zašeptala","zašeptat","pf"," ' Thank you, messire, ' whispered Margarita with a questioning glance at Woland."," "" Díky, maestro, "" zašeptala sotva slyšitelně a tázavě na něj pohlédla."
"tell","tell","pozná","poznat","pf"," This thing is solid gold, I can tell by its weight."," "" Ta věcička je z čistého zlata, pozná se to podle váhy."
"see","see","chápu","chápat","impf"," I quite see that I am being seduced into something shady which I shall bitterly regret ... '"," Co se dá dělat, chápu, že si mě kupujete, chcete mě zatáhnout do nějaké podivné machinace a že na to těžce doplatím ... """
"wait","wait","počkejte","počkat","pf"," ' No, no, wait! '"," "" Ne, počkejte!"
"Give","give","Dejte","dát","pf"," ' Give me back the cream! '"," Dejte sem ten krém! """
"gripped","grip","stiskla","stisknout","pf"," Margarita gripped the box tighter and went on :"," Markétka pevně stiskla v ruce krabičku a pokračovala :"
"went","go","pokračovala","pokračovat","impf"," Margarita gripped the box tighter and went on :"," Markétka pevně stiskla v ruce krabičku a pokračovala :"
"wait","wait","počkejte","počkat","pf"," ' No, please wait ..."," "" Ne, počkejte ..."
"hated","hate","nenáviděl","nenávidět","impf"," More than anything else in the world the Procurator hated the smell of attar of roses."," Ze všeho na světě nejvíc nenáviděl vůní růžového oleje."
"haunting","haunt","pronásledovala","pronásledovat","impf"," The omens for the day were bad, as this scent had been haunting him since dawn."," A dnes všecko předpovídalo špatný den, protože tahle vůně pronásledovala prokurátora od božího rána."
"brought","bring","nepřivezl","přivézt","pf"," He was fetched as usual in the morning by the car which took him to work, but it never brought him back and never called again."," Ráno pro něj přijel jako obyčejně vůz, aby ho odvezl do práce, ale zpátky nikoho nepřivezl a sám se taky nevrátil."
"vanished","vanish","zmizel","zmizet","pf"," He vanished without trace, to be unexpectedly replaced by another man."," Markétin soused nenávratně zmizel a na jeho místě stanul další nečekaný host."
"asked","ask","otázal","otázat","pf"," ' Now who 's this? ' asked Woland contemptuously, shielding his eyes from the candlelight."," "" Kdo je tohle? "" otázal se štítivě mág a zastínil si tvář před světlem."
"said","say","řekl","říci","pf"," Varenukha hung his head, sighed and said in a low voice :"," Varenucha zavzdychal a řekl tiše, hlavu sklopenou :"
"asked","ask","zeptal","zeptat","pf"," ' What is he babbling about? ' asked Woland, frowning."," "" Co to plácá? "" zeptal se Woland a svraštil obočí."
"pointed","point","ukázala","ukázat","pf"," Catching sight of them the lovely girl began sobbing even harder and pointed towards the office door."," Při pohledu na ně se sekretářka ještě zoufaleji rozeštkala a ukázala rukou na dveře."
"Following","follow","sledoval","sledovat","impf"," Following Rimsky 's horrified stare Varenukha glanced furtively round behind the chairback and realised that he had been found out."," Varenucha se podezíravě ohlédl, sledoval pohled Rimského a došlo mu, že je odhalen."
"did","do","učinil","učinit","pf"," He got up ( Rimsky did the same ) and took a pace away from the desk, clutching his briefcase."," Vstal ( totéž učinil ředitel ), ustoupil o krok od stolu a sevřel v rukou aktovku."
"clutching","clutch","sevřel","sevřít","pf"," He got up ( Rimsky did the same ) and took a pace away from the desk, clutching his briefcase."," Vstal ( totéž učinil ředitel ), ustoupil o krok od stolu a sevřel v rukou aktovku."
"go","go","začal","začít","pf"," When his wife had recovered from her first grief, Maximilian Andreyevich at once prepared to go to Moscow."," Sotva pominul první nával smutku, který přepadl manželku Poplavského, začal se Berliozův strýc chystat do Moskvy."
"prepared","prepare","chystat","chystat","impf"," When his wife had recovered from her first grief, Maximilian Andreyevich at once prepared to go to Moscow."," Sotva pominul první nával smutku, který přepadl manželku Poplavského, začal se Berliozův strýc chystat do Moskvy."
"reveal","reveal","odhalit","odhalit","pf"," Here I should reveal a secret about Maximilian Andreyevich."," Zde musíme odhalit jedno tajemství."
"said","say","Prohlásil","prohlásit","pf"," ' He said, ' replied the guest, shutting his eyes again, ' that he was grateful and blamed no one for taking his life. '"," "" Prohlásil, "" odvětil muž a znovu přivřel víčka, "" že s díky odmítá a že nikoho neobviňuje. """
"replied","reply","odvětil","odvětit","pf"," ' He said, ' replied the guest, shutting his eyes again, ' that he was grateful and blamed no one for taking his life. '"," "" Prohlásil, "" odvětil muž a znovu přivřel víčka, "" že s díky odmítá a že nikoho neobviňuje. """
"blamed","blame","neobviňuje","obviňovat","impf"," ' He said, ' replied the guest, shutting his eyes again, ' that he was grateful and blamed no one for taking his life. '"," "" Prohlásil, "" odvětil muž a znovu přivřel víčka, "" že s díky odmítá a že nikoho neobviňuje. """
"try","try","Nepokoušel","pokoušet","impf"," ' He did n't try to preach to the soldiers, did he? '"," "" Nepokoušel se mluvit v přítomnosti vojáků? """
"regarded","regard","pokládá","pokládat","impf"," His only words were that he regarded cowardice as one of the worst human sins. '"," Prohlásil pouze, že za jednu z hlavních lidských chyb pokládá zbabělost. """
"ran","run","běžel","běžet","impf"," Without waiting to hear any more, Berlioz ran on."," Nedíval se už nalevo ani napravo a běžel dál."
"walked","walk","šel","jít","impf"," At the park gates leading into Bronnaya Street, the identical man, whom a short while ago the editor had seen materialise out of a mirage, got up from a bench and walked toward him."," Vtom těsně před vyústěním do Bronné vstal z lavičky navlas stejný chlapík, jaký se dnes za slunečního žáru vyhoupl z dusného vzduchu, a šel mu vstříc."
"changed","change","změnil","změnit","pf"," At this he changed the tone of his voice and announced gaily :"," Pak změnil tón i zabarvení hlasu a vesele, hlasitě oznámil :"
"announced","announce","oznámil","oznámit","pf"," At this he changed the tone of his voice and announced gaily :"," Pak změnil tón i zabarvení hlasu a vesele, hlasitě oznámil :"
"exchanged","exchange","vyměnil","vyměnit","pf"," The man in charge ran a practised eye over the sheet of paper, muttered ' Mm'hh ' and exchanged a few words with his colleagues in a strange language."," Primář zběžně přelétl očima list, zabručel "" hm, hm ... "" a vyměnil si několik vět s ostatními v málo známém jazyce."
"speaks","speak","Mluví","mluvit","impf"," ' And he speaks Latin too - like Pilate ', mused Ivan sadly."," Mluví latinsky jako Pilát ... napadlo básníka a zesmutněl."
"smiled","smile","usmál","usmát","pf"," Koroviev smiled sweetly, wrinkling his nose."," Korovjev se sladce usmál, až se mu roztančily na nose stíny."
"sat","sit","usedli","usednout","pf"," Good relations having been re-established, all three sat down again on the bench."," Tím se znovu navázal hovor a všichni tři usedli na lavičku."
"tried","try","pokoušela","pokoušet","impf"," Margarita 's heart began to knock, she sighed deeply and tried to think of something."," Markétě se rozbušilo srdce, hluboce si povzdechla a pokoušela se posbírat rozházené myšlenky."
"Seeing","see","uviděla","uvidět","pf"," Seeing the cat board her tram, she yelled, shaking with anger :"," Sotva uviděla kocoura, jak leze do tramvaje, vykřikla zlostně :"
"yelled","yell","vykřikla","vykřiknout","pf"," Seeing the cat board her tram, she yelled, shaking with anger :"," Sotva uviděla kocoura, jak leze do tramvaje, vykřikla zlostně :"
"Go","go","Jedeš","jet","impf"," Go on - shoo!"," Jedeš!"
"call","call","zavolám","zavolat","pf"," Get off, or I 'll call the police! '"," Marš dolů, nebo zavolám milici! """
"went","go","pokračoval","pokračovat","impf"," When it had subsided Pilate went on :"," Když se znovu rozhostilo ticho, Pilát pokračoval :"
"studying","study","Zkoumá","zkoumat","impf"," ' He is studying me, ' thought Margarita and by an effort of will tried to stop her legs from trembling."," Zkoumá mě, napadlo Markétu, a násilím se přinutila, aby se jí neroztřásla kolena."
"cheer","cheer","povzbuzoval","povzbuzovat","impf"," The faces of the budding mountaineers darkened, but the director told them to cheer up and the specialist made jokes and assured them on his oath that singing would take up very little time and was a wonderfully useful accomplishment."," Tváře budoucích horolezců se zachmuřily, ale vedoucí všechny hbitě povzbuzoval, aby se toho nebáli, a odborník byl samá legrace a zapřísahal se, že zpěv zabere minimálně času a přitom má fůru výhod."
"take","take","zabere","zabrat","pf"," The faces of the budding mountaineers darkened, but the director told them to cheer up and the specialist made jokes and assured them on his oath that singing would take up very little time and was a wonderfully useful accomplishment."," Tváře budoucích horolezců se zachmuřily, ale vedoucí všechny hbitě povzbuzoval, aby se toho nebáli, a odborník byl samá legrace a zapřísahal se, že zpěv zabere minimálně času a přitom má fůru výhod."
"jump","jump","vyskočili","vyskočit","pf"," Well, of course, the girl went on, the first two to jump up were Fanov and Kosarchuk, both well-known toadies, and announced that they wanted to join."," Samozřejmě, jak sdělila dívka, první vyskočili Fanov a Kosarčuk, největší vrtichvosti v pobočce, a oznámili, že se hlásí do kroužku."
"announced","announce","oznámili","oznámit","pf"," Well, of course, the girl went on, the first two to jump up were Fanov and Kosarchuk, both well-known toadies, and announced that they wanted to join."," Samozřejmě, jak sdělila dívka, první vyskočili Fanov a Kosarčuk, největší vrtichvosti v pobočce, a oznámili, že se hlásí do kroužku."
"announced","announce","hlásí","hlásit","impf"," Well, of course, the girl went on, the first two to jump up were Fanov and Kosarchuk, both well-known toadies, and announced that they wanted to join."," Samozřejmě, jak sdělila dívka, první vyskočili Fanov a Kosarčuk, největší vrtichvosti v pobočce, a oznámili, že se hlásí do kroužku."
