"saw","see","spatří","spatřit","pf"," What would the Hermians do, when they saw him?"," Co Merkuřané podniknou, až ho spatří?"
"moving","move","pohyboval","pohybovat","impf"," So this time he had started with almost painful slowness, moving like an old man."," Tentokrát tedy začal téměř až bolestivě pomalu, pohyboval se jako nějaký stařík."
"leave","leave","opustil","opustit","pf"," He had been the last to leave the plain, and the others were strung out along the half-kilometre of stairway above him;"," Pláň opustil jako poslední a všichni ostatní se už roztáhli nad ním po schodišti na půl kilometru;"
"see","see","viděl","vidět","impf"," he could see their lights moving up the invisible slope ahead."," viděl jejich světla, jak se pohybují vzhůru po neviditelném svahu."
"moving","move","pohybují","pohybovat","impf"," he could see their lights moving up the invisible slope ahead."," viděl jejich světla, jak se pohybují vzhůru po neviditelném svahu."
"hoped","hope","doufal","doufat","impf"," He felt sick at heart at the failure of his mission, and even now hoped that this was only a temporary retreat."," Nezdar jeho výpravy ho bolel u srdce a stále ještě doufal, že ustupuje jenom načas."
"ceased","cease","ustane","ustat","pf"," When they reached the Hub, they could wait until any atmospheric disturbances had ceased."," Až dospějí na Střed, mohou vyčkat, až prudké atmosférické proudění ustane."
"approached","approach","blížila","blížit","impf"," There were places where the skin temperature approached fifteen hundred degrees, and Rodrigo had been very careful to keep in the shadows as far as possible."," Na některých místech se povrchová teplota blížila patnácti stům stupňů a Rodrigo si dával velký pozor, aby se pokud možno držel ve stínu."
"keep","keep","držel","držet","impf"," There were places where the skin temperature approached fifteen hundred degrees, and Rodrigo had been very careful to keep in the shadows as far as possible."," Na některých místech se povrchová teplota blížila patnácti stům stupňů a Rodrigo si dával velký pozor, aby se pokud možno držel ve stínu."
"fire","fire","Zapálila","zapálit","pf"," A second thruster started to fire, checking the spin given by the first."," Zapálila se druhá tryska a zbrzdila rotaci, kterou dala hlavici první."
"given","give","dala","dát","pf"," A second thruster started to fire, checking the spin given by the first."," Zapálila se druhá tryska a zbrzdila rotaci, kterou dala hlavici první."
"rid","rid","Zbav","zbavit","pf"," Get rid of it as quickly as you can."," Zbav se toho co nejrychleji. """
"straining","strain","namáhal","namáhat","impf"," Jimmy was still straining, unheroically and unsuccessfully, when there was a sudden flicker of light in the sky behind them."," Jimmy se stále ještě namáhal, zcela nehrdinsky a bezúspěšně, když náhle na obloze za nimi zaplápolalo světlo."
"turned","turn","obrátily","obrátit","pf"," All eyes turned towards the South Pole, and Jimmy instantly forgot his sickness."," Všechny oči se obrátily k Jižnímu pólu a Jimmy okamžitě zapomněl na to, že mu je špatně."
"forgot","forget","zapomněl","zapomenout","pf"," All eyes turned towards the South Pole, and Jimmy instantly forgot his sickness."," Všechny oči se obrátily k Jižnímu pólu a Jimmy okamžitě zapomněl na to, že mu je špatně."
"started","start","spustily","spustit","pf"," The Horns had started their firework display again."," Rohy znovu spustily svůj ohňostroj."
"determined","determine","rozhodl","rozhodnout","pf"," Mercer was determined to go head-first, for any other mode of locomotion would be awkward; moreover, this way he could more easily see what was in front of him."," Mercer se rozhodl, že půjde popředu, neboť všechny ostatní způsoby pohybu byly neohrabané, navíc takhle mohl mnohem snáz sledovat, co má před sebou."
"go","go","půjde","jít","impf"," Mercer was determined to go head-first, for any other mode of locomotion would be awkward; moreover, this way he could more easily see what was in front of him."," Mercer se rozhodl, že půjde popředu, neboť všechny ostatní způsoby pohybu byly neohrabané, navíc takhle mohl mnohem snáz sledovat, co má před sebou."
"see","see","sledovat","sledovat","impf"," Mercer was determined to go head-first, for any other mode of locomotion would be awkward; moreover, this way he could more easily see what was in front of him."," Mercer se rozhodl, že půjde popředu, neboť všechny ostatní způsoby pohybu byly neohrabané, navíc takhle mohl mnohem snáz sledovat, co má před sebou."
"imagine","imagine","představovat","představovat","impf"," For the first few hundred metres, therefore, he would imagine he was climbing upwardsd : only when the increasing pull of gravity made it impossible to maintain the illusion would he switch his mental directions one hundred and eighty degrees."," Pro prvních pár stovek metrů si tedy bude představovat, že šplhá vzhůru, až mu narůstající gravitace znemožní dál tuhle iluzi udržovat, prostě si jenom v hlavě přepne směry o sto osmdesát stupňů."
"climbing","climb","šplhá","šplhat","impf"," For the first few hundred metres, therefore, he would imagine he was climbing upwardsd : only when the increasing pull of gravity made it impossible to maintain the illusion would he switch his mental directions one hundred and eighty degrees."," Pro prvních pár stovek metrů si tedy bude představovat, že šplhá vzhůru, až mu narůstající gravitace znemožní dál tuhle iluzi udržovat, prostě si jenom v hlavě přepne směry o sto osmdesát stupňů."
"maintain","maintain","udržovat","udržovat","impf"," For the first few hundred metres, therefore, he would imagine he was climbing upwardsd : only when the increasing pull of gravity made it impossible to maintain the illusion would he switch his mental directions one hundred and eighty degrees."," Pro prvních pár stovek metrů si tedy bude představovat, že šplhá vzhůru, až mu narůstající gravitace znemožní dál tuhle iluzi udržovat, prostě si jenom v hlavě přepne směry o sto osmdesát stupňů."
"drink","drink","napít","napít","pf"," ' It 's water, but I would n't care to drink it - it smells like an algae culture that 's gone bad."," "" Je to voda, ale vůbec nemám chuť se napít - smrdí jako shnilé chaluhy."
"get","get","doneseme","donést","pf"," I can hardly wait to get it to the lab. '"," Nevím, jestli to vydržím, než ji doneseme do laboratoře. """
"walk","walk","chodit","chodit","impf"," ' Is the ice safe to walk on? '"," "" Je led dost bezpečný, aby se po něm dalo chodit? """
"felt","feel","cítil","cítit","impf"," then, when he felt quite comfortable, he opened his eyes and slowly turned to face Rama."," potom, když se už cítil celkem v pořádku, otevřel oči a zvolna se obrátil, aby se Rámovi vzepřel."
"opened","open","otevřel","otevřít","pf"," then, when he felt quite comfortable, he opened his eyes and slowly turned to face Rama."," potom, když se už cítil celkem v pořádku, otevřel oči a zvolna se obrátil, aby se Rámovi vzepřel."
"turned","turn","obrátil","obrátit","pf"," then, when he felt quite comfortable, he opened his eyes and slowly turned to face Rama."," potom, když se už cítil celkem v pořádku, otevřel oči a zvolna se obrátil, aby se Rámovi vzepřel."
"mistaken","mistake","splést","splést","pf"," The glare that filled the sky could not have been mistaken for sunlight;"," Záři, jež vyplňovala oblohu, si však nešlo splést se slunečním světlem;"
"told","tell","řekl","říci","pf"," So Rama 's sun, Norton told himself, must be hotter than ours."," Takže Rámovo slunce, řekl si Norton, je určitě teplejší než naše."
"understood","understand","chápal","chápat","impf"," And now he understood the purpose of those mysterious trenches, the Straight Valley and its five companions;"," Tak teď už chápal účel těch záhadných příkopů, Rovného údolí a jeho pěti protějšků;"
"looked","look","hleděli","hledět","impf"," His colleagues looked at him in alarm;"," Jeho kolegové na něj poplašeně hleděli;"
"explains","explain","vysvětluje","vysvětlovat","impf"," That explains everything!"," Tím se všechno vysvětluje!"
"avoid","avoid","vyhýbal","vyhýbat","impf"," For too much thinking along those lines evoked yet a third image of Rama, which he was anxious to avoid at all costs."," Neboť příliš mnoho uvažování o jejich liniích evokovalo třetí možný pohled na Rámu, jemuž se úzkostlivě a za každou cenu vyhýbal."
"needed","need","potřeboval","potřebovat","impf"," Every time Norton found this image creeping up on him, it needed all his willpower not to cling to the ladder again in mindless panic."," Pokaždé, když cítil, že se mu tahle představa plíží do mozku, potřeboval veškerou sílu vůle, aby se znovu v bezmyšlenkovité panice křečovitě nepověsil na žebřík."
"enter","enter","zúčastnit","zúčastnit","pf"," A sky-bike that could enter the Lunar Olympics, at a sixth of a gravity, would be even more sensational inside Rama, with no gravity at all."," Letadlo na šlapací pohon, se kterým by ses mohl zúčastnit Měsíční olympiády v prostředí s jednou šestinou pozemské gravitace, poletí ještě úžasněji uvnitř Rámy, kde není vůbec žádná tíže."
"fly","fly","letět","letět","impf"," You could fly it right along the axis, from the North Pole to the South - and back again. '"," Mohl bys letět přesně v ose ze Severního pólu k Jižnímu - a zase zpátky. """
"take","take","trvala","trvat","impf"," The one-way trip would take three hours, non-stop."," Cesta tam by nonstop trvala tři hodiny."
"rest","rest","odpočívat","odpočívat","impf"," But of course you could rest whenever you wanted to, as long as you kept near the axis. '"," Ale samozřejmě byste mohl odpočívat, kdy by se vám zachtělo, pokud byste se udržel na ose. """
"kept","keep","udržel","udržet","pf"," But of course you could rest whenever you wanted to, as long as you kept near the axis. '"," Ale samozřejmě byste mohl odpočívat, kdy by se vám zachtělo, pokud byste se udržel na ose. """
"congratulate","congratulate","blahopřeji","blahopřát","impf"," ' It 's a brilliant idea, and I congratulate you."," "" Je to skvělá myšlenka, a já ti blahopřeji."
"lose","lose","ztratí","ztratit","pf"," Everyone had been so certain that Rama would lose speed, so that it could be captured by the sun 's gravity and thus become a new planet of the solar system."," Všichni si byli jistí, že Ráma ztratí rychlost, takže by mohl být zachycen sluneční gravitací a stát se tudíž novou planetou sluneční soustavy."
"captured","capture","zachycen","zachytit","pf"," Everyone had been so certain that Rama would lose speed, so that it could be captured by the sun 's gravity and thus become a new planet of the solar system."," Všichni si byli jistí, že Ráma ztratí rychlost, takže by mohl být zachycen sluneční gravitací a stát se tudíž novou planetou sluneční soustavy."
"falling","fall","padal","padat","impf"," Rama was falling ever more swiftly into the sun."," Ráma padal stále rychleji a rychleji přímo do Slunce."
"escape","escape","uniknout","uniknout","pf"," As the details of its new orbit became more and more clearly defined, it was hard to see how Rama could possibly escape disaster."," Jak se stále víc a víc upřesňovaly podrobné údaje o Rámově nové dráze, bylo těžké nalézt způsob, jímž by snad mohl katastrofě uniknout."
"expect","expect","čekali","čekat","impf"," What did we expect? Norton asked himself."," A co jsme čekali? zeptal se Norton sám sebe."
"asked","ask","zeptal","zeptat","pf"," What did we expect? Norton asked himself."," A co jsme čekali? zeptal se Norton sám sebe."
"tell","tell","říct","říci","pf"," As far as they could tell, nothing had changed down there on the plain; but up here on the Northern dome, Rama had brought forth another wonder."," Pokud mohli říct, dole na pláni se nic nezměnilo, avšak tady nahoře na Severní kopuli jim Ráma připravil další div."
"changed","change","nezměnilo","změnit","pf"," As far as they could tell, nothing had changed down there on the plain; but up here on the Northern dome, Rama had brought forth another wonder."," Pokud mohli říct, dole na pláni se nic nezměnilo, avšak tady nahoře na Severní kopuli jim Ráma připravil další div."
"heard","hear","slyšeli","slyšet","impf"," So there was the origin of the sound they had heard."," Tak odsud pocházel zvuk, který slyšeli."
"believe","believe","věřit","věřit","impf"," Descending from some hidden source in ' the clouds three or four kilometres away was a waterfall, and for long minutes they stared at it silently, almost unable to believe their eyes."," Tři anebo čtyři kilometry od nich tryskal dolů ze zdroje skrytého v mracích vodopád, a oni na něj v tichu hleděli dlouhé minuty, takřka neschopni věřit vlastním očím."
"startled","startle","vyděsilo","vyděsit","pf"," He strongly approved of anything that startled Professor Davidson."," Výrazně se mu líbilo to, co tak vyděsilo profesora Davidsona."
"illuminated","illuminate","osvětlovala","osvětlovat","impf"," Brilliant beads, like ball lightning, raced along the six narrow valleys that had once illuminated this world."," V šesti úzkých údolích, která kdysi tento svět osvětlovala, se začaly míhat zářící korálky připomínající kulové blesky."
"moved","move","Pohybovaly","pohybovat","impf"," They moved from both Poles towards the Sea in a synchronized, hypnotic rhythm which could have only one meaning."," Pohybovaly se směrem od obou pólů k Válcovému moři v synchronizovaném, hypnotizujícím rytmu, který mohl mít jenom jediný význam."
"feel","feel","nepociťoval","pociťovat","impf"," there was not a man who did not feel a compulsion to turn back, and to seek oblivion in the water of Rama."," nebylo člověka, který by nepociťoval sílu, nutící jej, aby se neobrátil nazpátek a hledal zapomnění ve vodách Rámy."
"turn","turn","neobrátil","obrátit","pf"," there was not a man who did not feel a compulsion to turn back, and to seek oblivion in the water of Rama."," nebylo člověka, který by nepociťoval sílu, nutící jej, aby se neobrátil nazpátek a hledal zapomnění ve vodách Rámy."
"seek","seek","hledal","hledat","impf"," there was not a man who did not feel a compulsion to turn back, and to seek oblivion in the water of Rama."," nebylo člověka, který by nepociťoval sílu, nutící jej, aby se neobrátil nazpátek a hledal zapomnění ve vodách Rámy."
"called","call","volal","volat","impf"," ' Hub Control! ' Norton called urgently."," "" Řídící středisko! "" volal naléhavě Norton."
"felt","feel","cítil","cítit","impf"," No wonder that he sometimes felt a sense of insignificance, and even depression, as that cylinder of sculptured, ageless metal filled more and more of the sky."," Nebylo divu, že jak válec z tvarovaného, nestárnoucího kovu vyplňoval oblohu víc a víc, Norton cítil svou bezvýznamnost a někdy na něho dokonce padla sklíčenost."
"expect","expect","očekávat","očekávat","impf"," In every earlier landing he had known what to expect;"," Při všech dřívějších přistáních věděl, co může očekávat;"
"met","meet","setkali","setkat","pf"," It would have been wonderful to have met another intelligent species. '"," Bylo by nádherné, kdybychom se setkali s jinými inteligentními tvory."
"answered","answer","odpověděli","odpovědět","pf"," ' But at least we have answered one ancient question."," Ale i tak jsme aspoň odpověděli na prastarou otázku."
"tempted","tempt","sváděl","svádět","impf"," Commander Norton was sorely tempted, but, as captain, his first duty was to his ship."," Kapitán Norton sváděl boj s velkým pokušením - avšak jako velitele jej jeho hlavní povinnost vázala k lodi."
"left","leave","zanechal","zanechat","pf"," So that left his second officer, Lieut-Commander Mercer, as the obvious choice."," Takže zanechal na místě svého druhého důstojníka, poručíka Mercera, o výběru nemusel dlouho přemítat."
"Listen","listen","Poslechni","poslechnout","pf"," Listen. '"," Poslechni si. """
"heard","hear","uslyšel","uslyšet","pf"," Over the radio, he heard the familiar whistle of his own beacon, played back to him."," Z rádia uslyšel známé pískání svého vlastního majáku, které mu vysílali nazpět."
"heard","hear","zaslechnout","zaslechnout","pf"," it was a kind of basso-profundo flutter in which each individual vibration could be heard."," patřil do kategorie kmitů basso - profundo, v nichž je možné zaslechnout každou jednotlivou vibraci."
"rose","rise","narůstala","narůstat","impf"," it rose and fell, rose and fell with a period of about five seconds."," narůstala a klesala, narůstala a klesala s periodou asi pěti sekund."
"rose","rise","narůstala","narůstat","impf"," it rose and fell, rose and fell with a period of about five seconds."," narůstala a klesala, narůstala a klesala s periodou asi pěti sekund."
"fell","fall","klesala","klesat","impf"," it rose and fell, rose and fell with a period of about five seconds."," narůstala a klesala, narůstala a klesala s periodou asi pěti sekund."
"fell","fall","klesala","klesat","impf"," it rose and fell, rose and fell with a period of about five seconds."," narůstala a klesala, narůstala a klesala s periodou asi pěti sekund."
"rose","rise","narůstala","narůstat","impf"," it rose and fell, rose and fell with a period of about five seconds."," narůstala a klesala, narůstala a klesala s periodou asi pěti sekund."
"rose","rise","narůstala","narůstat","impf"," it rose and fell, rose and fell with a period of about five seconds."," narůstala a klesala, narůstala a klesala s periodou asi pěti sekund."
"fell","fall","klesala","klesat","impf"," it rose and fell, rose and fell with a period of about five seconds."," narůstala a klesala, narůstala a klesala s periodou asi pěti sekund."
"fell","fall","klesala","klesat","impf"," it rose and fell, rose and fell with a period of about five seconds."," narůstala a klesala, narůstala a klesala s periodou asi pěti sekund."
"give","give","Dám","dát","pf"," I 'll give you a Go-No-Go as soon as I 've analysed these samples."," Dám vám zelenou, anebo červenou hned, jakmile vzorky zanalyzuji."
"want","want","Nechci","chtít","impf"," I do n't want to raise false hopes - but I think you can make it. '"," Nechci ve vás vzbuzovat falešné naděje - ale myslím, že na to stačíte. """
"think","think","myslím","myslet","impf"," I do n't want to raise false hopes - but I think you can make it. '"," Nechci ve vás vzbuzovat falešné naděje - ale myslím, že na to stačíte. """
"play","play","vsadit","vsadit","pf"," ' One other point : should we play safe and send a party only halfway down the stair - and back - or should we go the whole way on the first attempt? '"," "" Další bod : máme vsadit na jistotu a máme vyslat skupinu jenom do poloviny schodiště - a hned zpátky -, anebo mají hned na první pokus urazit celou cestu? """
"send","send","vyslat","vyslat","pf"," ' One other point : should we play safe and send a party only halfway down the stair - and back - or should we go the whole way on the first attempt? '"," "" Další bod : máme vsadit na jistotu a máme vyslat skupinu jenom do poloviny schodiště - a hned zpátky -, anebo mají hned na první pokus urazit celou cestu? """
"see","see","nevidím","vidět","impf"," But time is short, and I can see no danger in going all the way - and looking around when we get there. '"," Jenže je ho málo a nevidím žádné nebezpečí v tom, když uděláme celou cestu najednou - a dole se trochu rozhlédneme kolem sebe. """
"want","want","chtěl","chtít","impf"," ' Thanks, Laura - that 's all I want to know."," "" Díky, Lauro - to je všechno, co jsem chtěl vědět."
"heard","hear","vyslechl","vyslechnout","pf"," stripped of its religious overtones, Rodrigo 's theory was at best as convincing as half a dozen others he had heard."," Rodrigova teorie, svlečená ze svého náboženského hávu, byla přinejmenším stejně přesvědčivá jako půltucet jiných, které vyslechl."
"befall","befall","postihnout","postihnout","pf"," Suppose some catastrophe was about to befall the human race, and a benevolent higher intelligence knew all about it?"," Co když má lidstvo postihnout katastrofa a nějaká dobrotivá vyšší inteligence o tom všem ví?"
"spent","spend","strávil","strávit","pf"," He had become fascinated by telescopes when he was only six or seven years old, and much of his youth had been spent collecting lenses of all shapes and sizes."," Když mu bylo šest nebo sedm roků, fascinovaly ho dalekohledy a velkou část svého mládí strávil sbíráním čoček všech tvarů a velikostí."
"making","make","vyráběl","vyrábět","impf"," These he had mounted in cardboard tubes, making instruments of ever-increasing power until he was familiar with the moon and planets, the nearer space-stations, and the entire landscape within thirty kilometres of his home."," Ty potom zasazoval do lepenkových trubic a vyráběl si přístroje se stále silnějším zvětšením, až se dokonale seznámil s Měsícem a s planetami, bližšími kosmickými stanicemi a s veškerou krajinou do třiceti kilometrů od svého domova."
"fallen","fall","spadl","spadnout","pf"," ' So - have you ever fallen two hundred and fifty on Earth? '"," "" Tak - už jste někdy spadl na Zemi z dvou set padesáti? """
"reach","reach","dosáhnout","dosáhnout","pf"," In this atmosphere, you ca n't reach more than ninety kilometres an hour - whether you fall two hundred or two thousand metres."," Ve zdejší atmosféře nemůžeš dosáhnout větší rychlosti než devadesáti kilometrů za hodinu - ať padáš dvě stě nebo dva tisíce metrů."
"fall","fall","padáš","padat","impf"," In this atmosphere, you ca n't reach more than ninety kilometres an hour - whether you fall two hundred or two thousand metres."," Ve zdejší atmosféře nemůžeš dosáhnout větší rychlosti než devadesáti kilometrů za hodinu - ať padáš dvě stě nebo dva tisíce metrů."
"work","work","nepracuje","pracovat","impf"," ' Any kind of propulsion system, Sir Robert, that does n't work on the rocket principle."," "" Jakýkoli druh pohonu, sire Roberte, který nepracuje na raketovém principu."
"look","look","hledat","hledat","impf"," At present, we do n't know where to look for such a drive, and most scientists doubt if it exists. '"," V současné době netušíme, kde takový způsob pohonu hledat, a většina vědců pochybuje, že vůbec existuje. """
"doubt","doubt","pochybuje","pochybovat","impf"," At present, we do n't know where to look for such a drive, and most scientists doubt if it exists. '"," V současné době netušíme, kde takový způsob pohonu hledat, a většina vědců pochybuje, že vůbec existuje. """
"exists","exist","existuje","existovat","impf"," At present, we do n't know where to look for such a drive, and most scientists doubt if it exists. '"," V současné době netušíme, kde takový způsob pohonu hledat, a většina vědců pochybuje, že vůbec existuje. """
"believe","believe","nevěřil","věřit","impf"," According to the history books - though no one could really believe it - there had been a time when the old United Nations had ' 72 members."," Podle historických knížek - ačkoli tomu stejně nikdo doopravdy nevěřil - bývaly doby, kdy stará Organizace spojených národů mívala 172 členů."
