"call","call","říká","říkat","impf"," At the moment she 's in my apartment in the neighborhood they call Little Berlin."," Je momentálně v mém bytě ve čtvrti, které se tu říká Malý Berlín."
"disappear","disappear","zmizela","zmizet","pf"," He waited for her to dress lightning-fast and disappear beneath the bed, which he managed meanwhile to make up."," Počkal, až se bleskurychle oblékla a zmizela pod lůžkem, které mezitím stačil zastlat."
"saw","see","uviděl","uvidět","pf"," Anything of hers he saw he shoved over to her with his leg."," Pokud ještě uviděl její věci, zasunul je nohou k ní."
"suppressed","suppress","potlačil","potlačit","pf"," For the first time in years - maybe for the first time in his life - he was at peace, as both a German and a human, because he had suppressed his Germanity for humanity 's sake."," Po mnoha letech, a snad vůbec poprvé! přiznal si, byl sám se sebou jako Němec i člověk v míru, a to ve chvíli, kdy potlačil své němectví ve prospěch lidství."
"exchanged","exchange","vyměnili","vyměnit","pf"," Both older men exchanged a long glance."," Oba starší muži si vyměnili dlouhý pohled."
"vanished","vanish","zmizel","zmizet","pf"," - I 'll inform the council immediately, the second said and thereupon vanished."," - Vyrozumím hned Radu, promluvil druhý a bez odkladu zmizel."
"said","say","řekl","říci","pf"," - We 're very grateful to you, Mr. Buback, Beran said, - and personally I think it took great courage."," - Jsme vám velmi zavázáni, pane Bubacku, řekl pak Beran, - a já osobně to chápu naopak jako projev velké statečnosti."
"took","take","chápu","chápat","impf"," - We 're very grateful to you, Mr. Buback, Beran said, - and personally I think it took great courage."," - Jsme vám velmi zavázáni, pane Bubacku, řekl pak Beran, - a já osobně to chápu naopak jako projev velké statečnosti."
"stay","stay","Zůstanete","zůstat","pf"," Will you stay in contact with us?"," Zůstanete s námi ve spojení?"
"try","try","pokusit","pokusit","pf"," - I 'll try."," - Hodlám se o to pokusit."
"comforted","comfort","uklidnil","uklidnit","pf"," The conversation with his mother comforted Morava."," R ozhovor s matkou Moravu uklidnil."
"keeping","keep","uchovat","uchovat","pf"," For years he had felt guilty for ruining her dream of keeping the smithy in the family."," Léta se nedokázal vyrovnat s tím, že zmařil její sen uchovat i pro příští generace rodinné řemeslo."
"lead","lead","vede","vést","impf"," - Where do those doors lead? he asked Lokajík."," - Kam to vede? zeptal se Lokajíka."
"asked","ask","zeptal","zeptat","pf"," - Where do those doors lead? he asked Lokajík."," - Kam to vede? zeptal se Lokajíka."
"requested","request","požádal","požádat","pf"," - Have a look there, he requested Litera, - but be careful ..."," - Mrkněte tam! požádal Literu, - ale opatrně."
"expecting","expect","Čekal","čekat","impf"," He had been expecting this pronouncement for almost a week now as various institutions vanished from Prague on a daily basis, but had not dared to think it through."," Čekal podobnou větu už pár dnů, jak z Prahy mizely dnes a denně nejrůznější instituce, ale pořád si ji netroufal domyslet."
"vanished","vanish","mizely","mizet","impf"," He had been expecting this pronouncement for almost a week now as various institutions vanished from Prague on a daily basis, but had not dared to think it through."," Čekal podobnou větu už pár dnů, jak z Prahy mizely dnes a denně nejrůznější instituce, ale pořád si ji netroufal domyslet."
"dared","dare","netroufal","troufat","impf"," He had been expecting this pronouncement for almost a week now as various institutions vanished from Prague on a daily basis, but had not dared to think it through."," Čekal podobnou větu už pár dnů, jak z Prahy mizely dnes a denně nejrůznější instituce, ale pořád si ji netroufal domyslet."
"exist","exist","existovat","existovat","impf"," Once the fiery column had rolled past, telephones and post offices would no longer exist, and millions of homeless would wander across a devastated Germany like nomads."," Až se přežene ohnivý válec, uměl si představit, přestane existovat i telefon a pošta a zpustošeným Německem budou jak nomádi putovat miliony bezdomovců."
"wander","wander","putovat","putovat","impf"," Once the fiery column had rolled past, telephones and post offices would no longer exist, and millions of homeless would wander across a devastated Germany like nomads."," Až se přežene ohnivý válec, uměl si představit, přestane existovat i telefon a pošta a zpustošeným Německem budou jak nomádi putovat miliony bezdomovců."
"heard","hear","uslyšel","uslyšet","pf"," His head cleared when he heard the clamor."," Probral se, když uslyšel jásot."
"woke","wake","probudil","probudit","pf"," And when he woke up, he knew he was READY again."," A když se probudil, věděl, že je PŘIPRAVEN, že na to opět má."
"find","find","obstarat","obstarat","pf"," Time to find himself an alibi, the instruments, and some new clothes."," Zbývalo obstarat si alibi, náčiní a nový převlek."
"explain","explain","nevysvětlí","vysvětlit","pf"," There was no point in drawing it out : if she would n't explain why she stood him up, he would end it."," Rozhodl se, že ji rázně překoná : nevysvětlí - li mu, proč ho nechala marně čekat, skončí to!"
"end","end","skončí","skončit","pf"," There was no point in drawing it out : if she would n't explain why she stood him up, he would end it."," Rozhodl se, že ji rázně překoná : nevysvětlí - li mu, proč ho nechala marně čekat, skončí to!"
"kissed","kiss","políbila","políbit","pf"," And when she hungrily kissed him like before, he lost his desire to ask the question."," A když ho stejně chtivě políbila, ztratil chuť položit svou otázku."
"lost","lose","ztratil","ztratit","pf"," And when she hungrily kissed him like before, he lost his desire to ask the question."," A když ho stejně chtivě políbila, ztratil chuť položit svou otázku."
"come","come","dojdou","dojít","pf"," - Of course, we will continue to review any reports that come in, but this trap should be flawless."," - Nepřestaneme ovšem dál vyhodnocovat všechna oznámení, která nám ještě dojdou, ale tahle past nesmí mít vadu."
"laugh","laugh","smát","smát","impf"," Everyone had to laugh at that."," Tomu se museli smát všichni."
"flee","flee","uprchnout","uprchnout","pf"," His classmates were afraid to flee, so Robert risked it alone."," Protože se spolužáci přesto báli společně uprchnout, riskl to Robert sám."
"put","put","posadil","posadit","pf"," a truck driver put him in a sick deliveryman 's seat, and took him all the way to Prague."," šofér náklaďáku ho posadil na místo nemocného závozníka a provezl až do Prahy."
"find","find","najdeme","najít","pf"," I doubt we 'll even find his fingerprints."," Myslím, že sotva najdeme cizí otisky."
"watched","watch","pozoroval","pozorovat","impf"," He had timidly watched the unshaven man with his luxuriant forelock, but the Communist 's stubborn aloofness somehow attracted the boy at the same time."," Dlouho tenkrát bojácně pozoroval zarostlého mužíka s bujnou kšticí, ale jeho osamělá vzpurnost ho současně čímsi přitahovala."
"attracted","attract","přitahovala","přitahovat","impf"," He had timidly watched the unshaven man with his luxuriant forelock, but the Communist 's stubborn aloofness somehow attracted the boy at the same time."," Dlouho tenkrát bojácně pozoroval zarostlého mužíka s bujnou kšticí, ale jeho osamělá vzpurnost ho současně čímsi přitahovala."
"inaugurating","inaugurate","zahájíme","zahájit","pf"," The first announcement inaugurating our regular city radio broadcasts- - here he waved the paper in the air - contains an appeal for calm, order, and reason that will be welcomed by the Germans."," První hlášení, kterým zahájíme pravidelné relace městského rozhlasu ... zamával ve vzduchu papírem, - obsahuje i Němcům vítanou výzvu ke klidu, pořádku a rozumu."
"waved","wave","zamával","zamávat","pf"," The first announcement inaugurating our regular city radio broadcasts- - here he waved the paper in the air - contains an appeal for calm, order, and reason that will be welcomed by the Germans."," První hlášení, kterým zahájíme pravidelné relace městského rozhlasu ... zamával ve vzduchu papírem, - obsahuje i Němcům vítanou výzvu ke klidu, pořádku a rozumu."
"contains","contain","obsahuje","obsahovat","impf"," The first announcement inaugurating our regular city radio broadcasts- - here he waved the paper in the air - contains an appeal for calm, order, and reason that will be welcomed by the Germans."," První hlášení, kterým zahájíme pravidelné relace městského rozhlasu ... zamával ve vzduchu papírem, - obsahuje i Němcům vítanou výzvu ke klidu, pořádku a rozumu."
"begin","begin","začaly","začít","pf"," However, word combinations in the text contain hidden instructions to our neighborhood offices and primary Resistance groups, who will begin the immediate, unobtrusive isolation of German units and offices located directly in the capital."," V textu jsou však slovní vazby nahrazující šifry, vybízející naše obvodní oddělení i hlavní odbojové skupiny, aby okamžitě začaly s nenápadnou izolací německých jednotek i úřadoven umístěných přímo v hlavním městě."
"begin","begin","začneme","začít","pf"," Gentlemen, good luck with your instructions and I 'll see you at thirteen hundred hours, when we begin."," Pánové, dobré pořízení a na shledanou ve třináct nula nula, kdy začneme."
"started","start","nastartoval","nastartovat","pf"," The chauffeur shrugged and started the engine."," Šofér pokrčil rameny a nastartoval."
"placed","place","uložil","uložit","pf"," He packed his booty in wax paper next to the rolled-up straps in the suitcase and placed it out in the chilly entrance hall."," Svou kořist ve voskovaném papíru opatrně uložil k smotanému řemení do splasklého kufru a ten raději postavil do chladné předsíně."
"placed","place","postavil","postavit","pf"," He packed his booty in wax paper next to the rolled-up straps in the suitcase and placed it out in the chilly entrance hall."," Svou kořist ve voskovaném papíru opatrně uložil k smotanému řemení do splasklého kufru a ten raději postavil do chladné předsíně."
"touched","touch","Dotkl","dotknout","pf"," He touched the skin on the shoulder."," Dotkl se kůže na rameni."
"did","do","nešel","jít","impf"," But he did not go into the bedroom, although it might have been more pleasant."," Ale do ložnice, kde muselo být určitě příjemněji, přesto nešel."
"go","go","nešel","jít","impf"," But he did not go into the bedroom, although it might have been more pleasant."," Ale do ložnice, kde muselo být určitě příjemněji, přesto nešel."
"acceded","accede","souhlasil","souhlasit","impf"," Morava acceded, and because there was a first-aid ambulance a few paces along, Litera coaxed him into letting them have a look."," Morava souhlasil, a protože o pár kroků dál stála sanitka první pomoci, dokázal ho Litera přemluvit i k tomu, aby se dal na místě ošetřit."
"coaxed","coax","přemluvit","přemluvit","pf"," Morava acceded, and because there was a first-aid ambulance a few paces along, Litera coaxed him into letting them have a look."," Morava souhlasil, a protože o pár kroků dál stála sanitka první pomoci, dokázal ho Litera přemluvit i k tomu, aby se dal na místě ošetřit."
"began","begin","začal","začít","pf"," Then he began combing the streets again, stubbornly convinced that Rypl would come into his own in exactly this sort of anarchy."," Pak už začal zas neúnavně pročesávat ulice, zavile přesvědčen, že právě v tomhle bezvládí si Rypl přichází na své."
"convinced","convince","přesvědčen","přesvědčit","pf"," Then he began combing the streets again, stubbornly convinced that Rypl would come into his own in exactly this sort of anarchy."," Pak už začal zas neúnavně pročesávat ulice, zavile přesvědčen, že právě v tomhle bezvládí si Rypl přichází na své."
"come","come","přichází","přicházet","impf"," Then he began combing the streets again, stubbornly convinced that Rypl would come into his own in exactly this sort of anarchy."," Pak už začal zas neúnavně pročesávat ulice, zavile přesvědčen, že právě v tomhle bezvládí si Rypl přichází na své."
"tried","try","snažil","snažit","impf"," He noticed Jitka 's sudden start and tried to reassure her."," Neunikl mu Jitčin úlek a snažil se ji hned upokojit."
"written","write","zapsal","zapsat","pf"," The technician had already written it down."," Technik si to už zapsal."
"find","find","najdem","najít","pf"," - Where will we find an apartment? Šebesta wanted to know."," - Kde najdem takový byt? chtěl vědět Šebesta."
"wanted","want","chtěl","chtít","impf"," - Where will we find an apartment? Šebesta wanted to know."," - Kde najdem takový byt? chtěl vědět Šebesta."
"met","meet","setkaly","setkat","pf"," Morava 's eyes once again met Jitka 's, this time questioningly."," Moravovy oči se znovu setkaly s Jitčinými, tentokrát tázavě."
"surprised","surprise","překvapila","překvapit","pf"," The reaction surprised and nonplussed him, and they sat staring at each other this way for a few long seconds before the Czech spoke again."," Reakce ho překvapila, nevěděl si s ní rady, tak na sebe mlčky hleděli pár dlouhých vteřin, než se znovu ozval Čech."
"nonplussed","nonplus","překvapila","překvapit","pf"," The reaction surprised and nonplussed him, and they sat staring at each other this way for a few long seconds before the Czech spoke again."," Reakce ho překvapila, nevěděl si s ní rady, tak na sebe mlčky hleděli pár dlouhých vteřin, než se znovu ozval Čech."
"remember","remember","Nepamatoval","pamatovat","impf"," He did not remember when anyone last confused him as much as this young man, and the only thing he could think to say was - Thank you."," Nepamatoval si, kdy ho naposled někdo přivedl do rozpaků podobně jako ten mladý muž, a nebyl v rychlosti schopen vymyslet si něco lepšího než Děkuji."
"think","think","Nepamatoval","pamatovat","impf"," He did not remember when anyone last confused him as much as this young man, and the only thing he could think to say was - Thank you."," Nepamatoval si, kdy ho naposled někdo přivedl do rozpaků podobně jako ten mladý muž, a nebyl v rychlosti schopen vymyslet si něco lepšího než Děkuji."
"Thank","thank","Děkuji","děkovat","impf"," He did not remember when anyone last confused him as much as this young man, and the only thing he could think to say was - Thank you."," Nepamatoval si, kdy ho naposled někdo přivedl do rozpaků podobně jako ten mladý muž, a nebyl v rychlosti schopen vymyslet si něco lepšího než Děkuji."
"corroborated","corroborate","potvrdil","potvrdit","pf"," In Brno they stopped at the vintner 's hotel, and the horrified clerk, stammering, corroborated the facts."," V Brně se stavili v hotelu a vyděšený recepční jim koktavě potvrdil všechny údaje."
"suspects","suspect","podezírá","podezírat","impf"," - Who suspects him, and why? he asked tensely."," - Kdo a proč ho podezírá? zeptal se napjatě."
"asked","ask","zeptal","zeptat","pf"," - Who suspects him, and why? he asked tensely."," - Kdo a proč ho podezírá? zeptal se napjatě."
"showed","show","projevil","projevit","pf"," For the first time the German showed something like human interest."," Prvně, co ho znal, projevil Němec cosi jako lidský zájem."
"raining","rain","Pršelo","pršet","impf"," It was raining."," Pršelo."
"accompany","accompany","doprovodil","doprovodit","pf"," he ordered Beran to accompany him as he toured the path of the raid."," Ten mu nařídil, aby ho doprovodil po celé trase náletu."
"Catch","catch","Chyť","chytit","pf"," Catch him, Jan!"," Chyť tu nestvůru, Jene!"
"began","begin","začínal","začínat","impf"," Grete stepped into the bathroom as Buback began his soak in the tub."," G rete vstoupila do koupelny, když se Buback začínal louhovat ve vaně."
"heard","hear","neslyšel","slyšet","impf"," He had not heard her arrive over the din of the water and was all the happier to see her."," Pro rachot vody ji neslyšel přicházet, tím víc se teď zaradoval."
"arrive","arrive","přicházet","přicházet","impf"," He had not heard her arrive over the din of the water and was all the happier to see her."," Pro rachot vody ji neslyšel přicházet, tím víc se teď zaradoval."
"come","come","přijde","přijít","pf"," Buback never knew for sure when and if she would come."," Nikdy nevěděl s jistotou, kdy a zda vůbec přijde."
"repeat","repeat","Opakuji","opakovat","impf"," I repeat ..."," Opakuji ..."
"found","find","našli","najít","pf"," Actually the day before, but they only found her yesterday."," Vlastně už předevčírem, ale teprve včera ji našli."
"remained","remain","Zůstal","zůstat","pf"," Although the blaze remained localized, the affected apartment was almost completely burned out."," Zůstal sice lokalizován na postižený byt, který zato skoro vyhořel."
"say","say","nevyslovil","vyslovit","pf"," Then why did n't he say so?"," Tak proč ji nevyslovil?"
"diverted","divert","odvedla","odvést","pf"," Remembering her diverted his thoughts again down that same channel with an insistence that almost frightened him."," Vzpomínka na ni odvedla zas jeho myšlenky jediným směrem s naléhavostí, která ho až lekala."
"try","try","Zkusil","zkusit","pf"," Before then I 'll try to visit a couple of pubs, see if someone 'll buy it from us."," Zkusil bych předtím obejít pár hospod, jestli je od nás někdo nekoupí."
"buy","buy","nekoupí","koupit","pf"," Before then I 'll try to visit a couple of pubs, see if someone 'll buy it from us."," Zkusil bych předtím obejít pár hospod, jestli je od nás někdo nekoupí."
"took","take","dostal","dostat","pf"," He insisted that the raid took down the building right next door, and he 'd even begun to persuade himself that the bomb did it to her."," Tvrdí, že zásah dostal hned vedlejší dům, a začal si už namlouvat, že jí se to stalo při tom."
"begun","begin","začal","začít","pf"," He insisted that the raid took down the building right next door, and he 'd even begun to persuade himself that the bomb did it to her."," Tvrdí, že zásah dostal hned vedlejší dům, a začal si už namlouvat, že jí se to stalo při tom."
"missed","miss","uniklo","uniknout","pf"," Morava was on guard because Beran 's expression announced he had missed something crucial."," Byl ve střehu, protože Beranův pohled věštil, že mu něco veledůležitého uniklo."
"calling","call","nevolá","volat","impf"," The skeletal figure had clearly noticed that at a certain point - after his confrontation with Buback, in fact - the colonel stopped calling personally and began sending all his messages through Kroloff."," Tomu smrtihlavovi, pod jeho lebkou si Buback uměl představit skutečné hnáty! nemohlo uniknout, že standartenführer od jisté chvíle nevolá osobně, ale dává přes něho vyřizovat vzkazy."
"press","press","přitisknout","přitisknout","pf"," On the way upstairs they had to stop and press against the wall of the staircase as two technicians dragged the last dripping slice of ice past them."," Na schodech se museli zastavit a přitisknout ke zdi, aby kolem nich mohli dva technikáři provléct poslední mokvající plát ledu."
"carrying","carry","nesl","nést","impf"," A third man followed them rather perplexedly, carrying five small frozen objects wrapped in wax paper."," Třetí muž za nimi bezradně nesl pět malých zmrzlých předmětů ve voskovaném plátně."
"harm","harm","ublížit","ublížit","pf"," - He could harm you some other way."," - Může ti ublížit jinak!"
"arrange","arrange","zařídí","zařídit","pf"," Then Meckerle will arrange it, he hesitated to say."," Tak to zařídí Meckerle! nechtěl vyslovit."
"say","say","vyslovit","vyslovit","pf"," Then Meckerle will arrange it, he hesitated to say."," Tak to zařídí Meckerle! nechtěl vyslovit."
"spare","spare","ušetřit","ušetřit","pf"," He hoped at least to spare her that."," Alespoň toho ji chtěl ušetřit."
"come","come","nepřijel","přijet","pf"," - If he does n't come, he said instead, - and they get me first, you 'll pull the trigger on your sweet pistol, agreed?"," - Kdyby nepřijel, řekl místo toho, - a mě tu dostali dřív, stiskneš spoušť své něžné pistolky, platí?"
"get","get","nepřijel","přijet","pf"," - If he does n't come, he said instead, - and they get me first, you 'll pull the trigger on your sweet pistol, agreed?"," - Kdyby nepřijel, řekl místo toho, - a mě tu dostali dřív, stiskneš spoušť své něžné pistolky, platí?"
"said","say","řekl","říci","pf"," - If he does n't come, he said instead, - and they get me first, you 'll pull the trigger on your sweet pistol, agreed?"," - Kdyby nepřijel, řekl místo toho, - a mě tu dostali dřív, stiskneš spoušť své něžné pistolky, platí?"
"get","get","dostali","dostat","pf"," - If he does n't come, he said instead, - and they get me first, you 'll pull the trigger on your sweet pistol, agreed?"," - Kdyby nepřijel, řekl místo toho, - a mě tu dostali dřív, stiskneš spoušť své něžné pistolky, platí?"
"pull","pull","stiskneš","stisknout","pf"," - If he does n't come, he said instead, - and they get me first, you 'll pull the trigger on your sweet pistol, agreed?"," - Kdyby nepřijel, řekl místo toho, - a mě tu dostali dřív, stiskneš spoušť své něžné pistolky, platí?"
