"dance","dance","tančí","tančit","impf"," One tries to dance, lurching unbalanced, with a white marble statue;"," Jeden člověk tančí se sochou z bílého mramoru."
"gulps","gulp","Spolkne","spolknout","pf"," She gulps down her milk, sitting back and kicking off her boots."," Spolkne doušek mléka, opře se a skopne si boty."
"puts","put","Položí","položit","pf"," She puts her plate on her lap and her grubbily stockinged feet on the table, selecting and spearing morsels from on high."," Položí si talíř na klín, nohy v ušpiněných ponožkách hodí na stůl a sousta si vybírá a nabodává z výšky."
"selecting","select","vybírá","vybírat","impf"," She puts her plate on her lap and her grubbily stockinged feet on the table, selecting and spearing morsels from on high."," Položí si talíř na klín, nohy v ušpiněných ponožkách hodí na stůl a sousta si vybírá a nabodává z výšky."
"find","find","nenašli","najít","pf"," ‘ What was it you did not find? ’ I ask her."," "" A co jste tedy nenašli? "" vyzvídám."
"heard","hear","zaslechl","zaslechnout","pf"," I think I heard them tell the servants they were taking me to a doctor, but there is no doctor."," Tuším, že jsem zaslechl, jak sluhům říkají, že mě vezou k doktorovi, ale tady žádný nikde není."
"tell","tell","říkají","říkat","impf"," I think I heard them tell the servants they were taking me to a doctor, but there is no doctor."," Tuším, že jsem zaslechl, jak sluhům říkají, že mě vezou k doktorovi, ale tady žádný nikde není."
"helped","help","pomohli","pomoci","pf"," I am not being taken to be helped, unless it ’ s to be helped to die."," Neodvážejí mě, aby mi pomohli - leda tak do hrobu."
"helped","help","pomohli","pomoci","pf"," I am not being taken to be helped, unless it ’ s to be helped to die."," Neodvážejí mě, aby mi pomohli - leda tak do hrobu."
"rid","rid","zbavit","zbavit","pf"," not a man, not a fellow human being, just something to be got rid of."," ani člověk, ani spolubližní, jen pouhé cosi, čeho se musejí zbavit."
"believes","believe","myslí","myslet","impf"," The lieutenant believes I wanted to kill her, or you, my dear, or both of you."," Podporučice si myslí, že jsem chtěl zabít ji nebo tebe, drahá, anebo rovnou obě dvě."
"wanted","want","chtěl","chtít","impf"," The lieutenant believes I wanted to kill her, or you, my dear, or both of you."," Podporučice si myslí, že jsem chtěl zabít ji nebo tebe, drahá, anebo rovnou obě dvě."
"kill","kill","zabít","zabít","pf"," The lieutenant believes I wanted to kill her, or you, my dear, or both of you."," Podporučice si myslí, že jsem chtěl zabít ji nebo tebe, drahá, anebo rovnou obě dvě."
"surrendered","surrender","vydáno","vydat","pf"," liquidated to the transitory currency of destructive glee, surrendered for no more than the fleeting, blood-hot rush the vandal feels."," utraceno za nepevnou měnu rozpustilého ničení, vydáno za pomíjivý nával horkosti, který vandal pocítí."
"feels","feel","pocítí","pocítit","pf"," liquidated to the transitory currency of destructive glee, surrendered for no more than the fleeting, blood-hot rush the vandal feels."," utraceno za nepevnou měnu rozpustilého ničení, vydáno za pomíjivý nával horkosti, který vandal pocítí."
"feels","feel","cítím","cítit","impf"," There is, nevertheless, a part of me that exults in what ’ s been done, and which feels freed, liberated by all this havoc."," Avšak kdesi v hloubi jsem tím, co se tu stalo, nadšen a cítím se vší tou pohromou vysvobozen, vyvázán."
"originated","originate","pocházela","pocházet","impf"," Where has so much of our irregular enjoyment originated, if not from breakage?"," Z čeho pocházela většina našich nekonvenčních radostí, když ne z boření?"
"rises","rise","vstane","vstát","pf"," She yawns, then rises."," Zívne a pak vstane."
"announces","announce","oznámí","oznámit","pf"," ‘ And now I ’ m going to sleep, ’ she announces, stretching her arms."," "" Teď si dám dvacet, "" oznámí a protáhne se."
"stretching","stretch","protáhne","protáhnout","pf"," ‘ And now I ’ m going to sleep, ’ she announces, stretching her arms."," "" Teď si dám dvacet, "" oznámí a protáhne se."
"raised","raise","vyvolala","vyvolat","pf"," You, my dear, would not witness the spectre you ’ d raised for a second time until our tryst on the castle ’ s roof, a decade later, one warm night, above a party."," Ty, drahá, podruhé uhlídáš přízrak, který jsi vyvolala, až za deset let při našem dostaveníčku na střeše zámku, jedné vlahé noci při slavnosti."
"sit","sit","sednout","sednout","pf"," Perhaps I should just sit here on the bucket until the morning."," Možná bych si měl sednout na okov a počkat do rána."
"remember","remember","vzpomenou","vzpomenout","pf"," They will take pity on me eventually, or just remember me, and perhaps lower a rope to let me out."," Nakonec se nade mnou slitují, či si na mě jen vzpomenou a spustí dolů provaz, aby mi pomohli ven."
"leave","leave","nechají","nechat","pf"," perhaps they will leave me here until I die, or throw rocks and stones down, burying me."," Třeba mě tu nechají, dokud neumřu, nebo mě tu zaházejí kamením a pohřbí."
"die","die","neumřu","umřít","pf"," perhaps they will leave me here until I die, or throw rocks and stones down, burying me."," Třeba mě tu nechají, dokud neumřu, nebo mě tu zaházejí kamením a pohřbí."
"burying","bury","pohřbí","pohřbít","pf"," perhaps they will leave me here until I die, or throw rocks and stones down, burying me."," Třeba mě tu nechají, dokud neumřu, nebo mě tu zaházejí kamením a pohřbí."
"protecting","protect","chrání","chránit","impf"," beneath the barrel there is a parallel pair of long, sealed tubes and protecting its crew there is a flat plate sloped over the breech, where a confusion of wheels, handles, levers and two small bucket-seats are perched above a broad circular base that looks as if it can be lowered to take the weapon ’ s weight."," pod hlavní jsou dvě rovnoběžné zatavené trubky a posádku chrání plochý plát šikmo nad závěrem, kde se nachází změť kol, táhel, pák a dvě malé sedačky na široké kruhové základně, která vypadá, že se dá spustit, aby zbraň podpírala."
"lowered","lower","spustit","spustit","pf"," beneath the barrel there is a parallel pair of long, sealed tubes and protecting its crew there is a flat plate sloped over the breech, where a confusion of wheels, handles, levers and two small bucket-seats are perched above a broad circular base that looks as if it can be lowered to take the weapon ’ s weight."," pod hlavní jsou dvě rovnoběžné zatavené trubky a posádku chrání plochý plát šikmo nad závěrem, kde se nachází změť kol, táhel, pák a dvě malé sedačky na široké kruhové základně, která vypadá, že se dá spustit, aby zbraň podpírala."
"wears","wear","má","mít","impf"," He is tall and spindly with silvery-dark hair and wears small thin-rimmed glasses sitting high on a great narrow hook of nose."," Je vysoký a hubený, vlasy má prokvetlé a na obrovském úzkém zahnutém nose má vysoko posazené brýličky s tenkými obroučkami."
"wears","wear","má","mít","impf"," He is tall and spindly with silvery-dark hair and wears small thin-rimmed glasses sitting high on a great narrow hook of nose."," Je vysoký a hubený, vlasy má prokvetlé a na obrovském úzkém zahnutém nose má vysoko posazené brýličky s tenkými obroučkami."
"open","open","otevírám","otevírat","impf"," I stand, open the piano stool and leaf through the sheet music inside."," Vstávám, otevírám stoličku a probírám se notami uvnitř."
"put","put","pokládám","pokládat","impf"," I open the lid and put the music on its stand."," Odklápím víko a pokládám part na stojánek."
"add","add","dodám","dodat","pf"," I read, play, and add the occasional pedestrian embellishment, a mere conduit for the marks on the paper, the sounds in the head of the composer, the form of the work;"," Přehrávám hudbu podle psaných not a sem tam dodám nějakou banální ozdobu, jsem pouhé médium pro značky na papíře, tóny v hlavě skladatele, formu díla;"
"see","see","nevidím","vidět","impf"," ‘ Damn, I can ’ t see ... ’"," "" Sakra, já tam nevidím ... """
"pointing","point","ukazovala","ukazovat","impf"," ‘ This is her fault, hers! ’ Mother wailed, pointing at you."," "" To je její vina, její! "" naříkala matka a ukazovala na tebe."
"ask","ask","prosím","prosit","impf"," ‘ Please tell Morgan not to worry, and I ’ d ask you not to force her to come down here if she doesn ’ t want to."," "" Tak prosím řekněte Morgan, ať si nedělá starosti, a buďte tak hodná a nenuťte ji chodit dolů, jestli se jí nechce."
"tell","tell","řekněte","říci","pf"," ‘ Please tell Morgan not to worry, and I ’ d ask you not to force her to come down here if she doesn ’ t want to."," "" Tak prosím řekněte Morgan, ať si nedělá starosti, a buďte tak hodná a nenuťte ji chodit dolů, jestli se jí nechce."
"force","force","nenuťte","nutit","impf"," ‘ Please tell Morgan not to worry, and I ’ d ask you not to force her to come down here if she doesn ’ t want to."," "" Tak prosím řekněte Morgan, ať si nedělá starosti, a buďte tak hodná a nenuťte ji chodit dolů, jestli se jí nechce."
"come","come","chodit","chodit","impf"," ‘ Please tell Morgan not to worry, and I ’ d ask you not to force her to come down here if she doesn ’ t want to."," "" Tak prosím řekněte Morgan, ať si nedělá starosti, a buďte tak hodná a nenuťte ji chodit dolů, jestli se jí nechce."
"want","want","nechce","chtít","impf"," ‘ Please tell Morgan not to worry, and I ’ d ask you not to force her to come down here if she doesn ’ t want to."," "" Tak prosím řekněte Morgan, ať si nedělá starosti, a buďte tak hodná a nenuťte ji chodit dolů, jestli se jí nechce."
"presses","press","zatlačí","zatlačit","pf"," She nods to the loud ballroom and presses me on the back."," Pokyne k hlučnému sálu a zatlačí mě do zad."
"recall","recall","vzpomínám","vzpomínat","impf"," My gaze, filtered through the blurring eyelash veil of my half-closed eyes, stays fixed upon that caked dirt lying on our colours, and I recall our second tryst."," Přivřenýma očima skrz závoj řas se rozmazaně dívám na okoralé bláto na našem erbu a vzpomínám na naše druhé dostaveníčko."
"gaze","gaze","Zírám","zírat","impf"," I gaze around, shaking my head, my senses reeling at the realisation of the scope and scale of what has been lost here."," Zírám kolem sebe, kroutím hlavou a smysly mě přecházejí, když si uvědomuji měřítko a rozsah všeho, co přišlo nazmar."
"owe","owe","nedlužily","dlužit","impf"," And did these materials, this wealth of merchandise and art not owe me one last balance of enjoyment, one last cherishing, even if it was just the valedictory recognition of their lost worth?"," A nedlužily mi snad tyto předměty, tato přemíra statků a uměleckých výtvorů poslední potěšení, ještě jediné pokochání, byť jen jako poslední sbohem a uznání jejich zmařené hodnoty?"
"left","leave","odcházeli","odcházet","impf"," And with all that, vanished too is so much of what drew us back even as we left the castle, those few days ago."," Zároveň vzalo zasvé i mnohé z toho, co nás přese všechno táhlo zpátky, když jsme ze zámku před několika málo dny odcházeli."
"slipping","slip","klouzali","klouzat","impf"," or with others, in a tangle of candlelit and lambent bodies, smothered and abandoned within a shared blizzard of caresses, sweet and tart and gentle and fierce and lenient and strict and lubricious and raw, all slipping, struggling, pushing and forcing our way to a staggered multiplicity of release."," nebo ve světle svic ve spleti lesknoucích se těl, zavaleni a odevzdáni vzájemné smršti laskání sladkých i palčivých, jemných i dravých, vlídných i rázných, vlhkých i drásajících, všichni jsme klouzali, zápolili, tlačili se a drali k mnohonásobné úlevě."
"pushing","push","tlačili","tlačit","impf"," or with others, in a tangle of candlelit and lambent bodies, smothered and abandoned within a shared blizzard of caresses, sweet and tart and gentle and fierce and lenient and strict and lubricious and raw, all slipping, struggling, pushing and forcing our way to a staggered multiplicity of release."," nebo ve světle svic ve spleti lesknoucích se těl, zavaleni a odevzdáni vzájemné smršti laskání sladkých i palčivých, jemných i dravých, vlídných i rázných, vlhkých i drásajících, všichni jsme klouzali, zápolili, tlačili se a drali k mnohonásobné úlevě."
"forcing","force","tlačili","tlačit","impf"," or with others, in a tangle of candlelit and lambent bodies, smothered and abandoned within a shared blizzard of caresses, sweet and tart and gentle and fierce and lenient and strict and lubricious and raw, all slipping, struggling, pushing and forcing our way to a staggered multiplicity of release."," nebo ve světle svic ve spleti lesknoucích se těl, zavaleni a odevzdáni vzájemné smršti laskání sladkých i palčivých, jemných i dravých, vlídných i rázných, vlhkých i drásajících, všichni jsme klouzali, zápolili, tlačili se a drali k mnohonásobné úlevě."
"raise","raise","vytáhnu","vytáhnout","pf"," I touch your cold head and raise it out."," Nahmatám tvé studené vlasy a vytáhnu je."
"taken","take","odeberou","odebrat","pf"," A heave on the rope, and you are taken from me, the head I cradled hauled up, bumping off the stones, jerking dripping away, your black hair in straight lines dropping long and soft inside the rain ’ s rough sympathy."," Zatahají za provaz a odeberou mi tě, hlavu, kterou jsem choval, vytáhnou vzhůru, naráží do kamenů, odráží se a crčí z ní, černé vlasy ti v rovných čarách spadají dlouze a měkce spolu s drsnou soustrastí deště."
"says","say","odpoví","odpovědět","pf"," ‘ Yes, ’ she says quickly."," "" Jo, "" odpoví úsečně."
"looks","look","Podívá","podívat","pf"," She looks at me."," Podívá se na mě."
"watch","watch","Hledím","hledět","impf"," I watch."," Hledím na ni."
"remembered","remember","vzpomněla","vzpomenout","pf"," ‘ I remembered Half-caste ’ s name, his old name, civilian name, when I kissed him. ’"," "" Když jsem mu dala pusu, vzpomněla jsem si, jak se jmenuje doopravdy, v civilu. """
"doubt","doubt","pochybuji","pochybovat","impf"," And even if I were well and whole and in the best of spirits I doubt I could assume the lieutenant ’ s mantle so."," A i kdybych byl živý a zdravý a v nejlepší síle, pochybuji, že bych si byl schopen navléct velitelčin mantl."
"want","want","chtějí","chtít","impf"," These soldiers know what they want to do, they have a mission and a course, they are within their natural environment, however much they may resent it, however they may yearn for resumed civilian roles."," Tito vojáci vědí, co chtějí, mají cíl a směr, jsou ve svém přirozeném prostředí, přestože ho třeba nenávidí a přestože se třeba touží znovu ujmout svých civilních rolí."
"want","want","touží","toužit","impf"," These soldiers know what they want to do, they have a mission and a course, they are within their natural environment, however much they may resent it, however they may yearn for resumed civilian roles."," Tito vojáci vědí, co chtějí, mají cíl a směr, jsou ve svém přirozeném prostředí, přestože ho třeba nenávidí a přestože se třeba touží znovu ujmout svých civilních rolí."
"yearn","yearn","touží","toužit","impf"," These soldiers know what they want to do, they have a mission and a course, they are within their natural environment, however much they may resent it, however they may yearn for resumed civilian roles."," Tito vojáci vědí, co chtějí, mají cíl a směr, jsou ve svém přirozeném prostředí, přestože ho třeba nenávidí a přestože se třeba touží znovu ujmout svých civilních rolí."
"see","see","vidím","vidět","impf"," I look down and there at my feet, like another wounded soldier, I see a bee, crawling heavy and awkward, clambering blindly over the cold surface of the gravel track, dying in its thick, furry uniform as the season ’ s chill turns against it."," Skloním hlavu a vidím, jak se mi u chodidel jako další raněný voják plazí včela, ztěžka, slepě a nemotorně po studené štěrkové cestě, umírá ve vlastním tlustém chlupatém stejnokroji, jak se chlad ročního období obrací proti ní."
"dying","die","umírá","umírat","impf"," I look down and there at my feet, like another wounded soldier, I see a bee, crawling heavy and awkward, clambering blindly over the cold surface of the gravel track, dying in its thick, furry uniform as the season ’ s chill turns against it."," Skloním hlavu a vidím, jak se mi u chodidel jako další raněný voják plazí včela, ztěžka, slepě a nemotorně po studené štěrkové cestě, umírá ve vlastním tlustém chlupatém stejnokroji, jak se chlad ročního období obrací proti ní."
"turns","turn","obrací","obracet","impf"," I look down and there at my feet, like another wounded soldier, I see a bee, crawling heavy and awkward, clambering blindly over the cold surface of the gravel track, dying in its thick, furry uniform as the season ’ s chill turns against it."," Skloním hlavu a vidím, jak se mi u chodidel jako další raněný voják plazí včela, ztěžka, slepě a nemotorně po studené štěrkové cestě, umírá ve vlastním tlustém chlupatém stejnokroji, jak se chlad ročního období obrací proti ní."
"felt","feel","cítím","cítit","impf"," Still, for all my fear – felt in the guts that will bear the brunt of my release – I think I can still savour the fact that my life ends with a blank, and see the possibilities for touches the soldiers might not appreciate."," Přesto, přes všechen strach, který cítím v kříži ( ten tíhu mého vysvobození odnese nejvíc ), si - aspoň myslím - dokážu vychutnat skutečnost, že můj život skončí v prázdnu, a všímám si všelijakých zajímavých detailů, které by vojáci nedovedli ocenit."
"think","think","myslím","myslet","impf"," Still, for all my fear – felt in the guts that will bear the brunt of my release – I think I can still savour the fact that my life ends with a blank, and see the possibilities for touches the soldiers might not appreciate."," Přesto, přes všechen strach, který cítím v kříži ( ten tíhu mého vysvobození odnese nejvíc ), si - aspoň myslím - dokážu vychutnat skutečnost, že můj život skončí v prázdnu, a všímám si všelijakých zajímavých detailů, které by vojáci nedovedli ocenit."
"savour","savour","vychutnat","vychutnat","pf"," Still, for all my fear – felt in the guts that will bear the brunt of my release – I think I can still savour the fact that my life ends with a blank, and see the possibilities for touches the soldiers might not appreciate."," Přesto, přes všechen strach, který cítím v kříži ( ten tíhu mého vysvobození odnese nejvíc ), si - aspoň myslím - dokážu vychutnat skutečnost, že můj život skončí v prázdnu, a všímám si všelijakých zajímavých detailů, které by vojáci nedovedli ocenit."
"ends","end","skončí","skončit","pf"," Still, for all my fear – felt in the guts that will bear the brunt of my release – I think I can still savour the fact that my life ends with a blank, and see the possibilities for touches the soldiers might not appreciate."," Přesto, přes všechen strach, který cítím v kříži ( ten tíhu mého vysvobození odnese nejvíc ), si - aspoň myslím - dokážu vychutnat skutečnost, že můj život skončí v prázdnu, a všímám si všelijakých zajímavých detailů, které by vojáci nedovedli ocenit."
"appreciate","appreciate","ocenit","ocenit","pf"," Still, for all my fear – felt in the guts that will bear the brunt of my release – I think I can still savour the fact that my life ends with a blank, and see the possibilities for touches the soldiers might not appreciate."," Přesto, přes všechen strach, který cítím v kříži ( ten tíhu mého vysvobození odnese nejvíc ), si - aspoň myslím - dokážu vychutnat skutečnost, že můj život skončí v prázdnu, a všímám si všelijakých zajímavých detailů, které by vojáci nedovedli ocenit."
"want","want","Přál","přát","impf"," And so I want the hawk to come down and peck some living part of me, or the soldiers to raise me up now, place an old tin helmet on my head, sponge some water into my mouth and stick a bayonet in my side ..."," Přál bych si třeba, aby dravec sletěl dolů a uklovl ze mě kus živého masa, nebo aby mě teď vojáci vyzvedli, nasadili mi na hlavu plechovou přilbu, vyždímali mi hubkou trochu vody do úst a vrazili mi do boku bajonet ..."
