"allowed","allow","nesměla","smět","impf"," I did not know what to do that first Sunday I was not allowed to go home."," První neděli, kdy jsem nesměla jít domů, jsem nevěděla, co dělat."
"want","want","nechtěla","chtít","impf"," I did not want to remain at the house, though - whatever Catholics did on Sundays, I did not want to be among them."," V domě jsem však zůstat nehodlala - ať si katolíci dělají o nedělích cokoli, já jsem mezi nimi být nechtěla."
"left","leave","Odešli","odejít","pf"," They left together to go to the Jesuit church around the corner in the Molenpoort, the girls wearing good dresses, even Tanneke changed into a yellowish brown wool dress, and carrying Johannes."," Odešli společně do jezuitského kostela za rohem na Molenpoortu, děvčata oblečená ve svátečních šatech, dokonce i Tanneke se převlékla do žlutavě hnědých vlněných šatů a nesla Johannese."
"go","go","Odešli","odejít","pf"," They left together to go to the Jesuit church around the corner in the Molenpoort, the girls wearing good dresses, even Tanneke changed into a yellowish brown wool dress, and carrying Johannes."," Odešli společně do jezuitského kostela za rohem na Molenpoortu, děvčata oblečená ve svátečních šatech, dokonce i Tanneke se převlékla do žlutavě hnědých vlněných šatů a nesla Johannese."
"carrying","carry","nesla","nést","impf"," They left together to go to the Jesuit church around the corner in the Molenpoort, the girls wearing good dresses, even Tanneke changed into a yellowish brown wool dress, and carrying Johannes."," Odešli společně do jezuitského kostela za rohem na Molenpoortu, děvčata oblečená ve svátečních šatech, dokonce i Tanneke se převlékla do žlutavě hnědých vlněných šatů a nesla Johannese."
"heard","hear","zaslechla","zaslechnout","pf"," That morning as I arrived at the Meat Hall I heard a man ahead of me say the quarantine had been lifted."," Ten den ráno jsem po příchodu do Masných krámů zaslechla, jak nějaký muž přede mnou říká, že karanténu zrušili."
"say","say","říká","říkat","impf"," That morning as I arrived at the Meat Hall I heard a man ahead of me say the quarantine had been lifted."," Ten den ráno jsem po příchodu do Masných krámů zaslechla, jak nějaký muž přede mnou říká, že karanténu zrušili."
"lifted","lift","zrušili","zrušit","pf"," That morning as I arrived at the Meat Hall I heard a man ahead of me say the quarantine had been lifted."," Ten den ráno jsem po příchodu do Masných krámů zaslechla, jak nějaký muž přede mnou říká, že karanténu zrušili."
"hurried","hurry","Spěchala","spěchat","impf"," I hurried to Pieter 's stall."," Spěchala jsem k Pieterovu stánku."
"waiting","wait","čekalo","čekat","impf"," Father and son were both there, and several people were waiting to be served."," Byli tam otec i syn a několik lidí čekalo na obsloužení."
"went","go","šla","jít","impf"," I ignored them and went straight up to Pieter the son."," Nevšímala jsem si jich a šla jsem rovnou k Pieterovi mladšímu."
"hang","hang","visela","viset","impf"," When I went up to bed I checked to see if he had pulled the cloth to hang as it had before I touched it."," Cestou nahoru na lůžko jsem se přesvědčila, jestli látku stáhl, aby visela stejně jako předtím, než jsem sejí dotkla já."
"touched","touch","dotkla","dotknout","pf"," When I went up to bed I checked to see if he had pulled the cloth to hang as it had before I touched it."," Cestou nahoru na lůžko jsem se přesvědčila, jestli látku stáhl, aby visela stejně jako předtím, než jsem sejí dotkla já."
"held","hold","Podržela","podržet","pf"," I held up my candle to the easel - he had resketched in reddish brown the folds of the blue cloth."," Podržela jsem svíci u stojanu - přepracoval načrtnutí záhybů modré látky načervenalou hnědí."
"made","make","Provedl","provést","pf"," He had made my change."," Provedl moji změnu."
"smiling","smile","usmívajíc","usmívat","impf"," I lay in bed that night smiling in the dark."," Tu noc jsem uléhala do postele usmívajíc se do tmy."
"came","come","přišel","přijít","pf"," The next morning he came in as I was cleaning around the jewellery box."," Následující ráno přišel, právě když jsem uklízela kolem šperkovnice."
"cleaning","clean","uklízela","uklízet","impf"," The next morning he came in as I was cleaning around the jewellery box."," Následující ráno přišel, právě když jsem uklízela kolem šperkovnice."
"seen","see","neviděl","vidět","impf"," He had never before seen me making my measurements."," Nikdy předtím mě neviděl, jak provádím svoje odměřování."
"making","make","provádím","provádět","impf"," He had never before seen me making my measurements."," Nikdy předtím mě neviděl, jak provádím svoje odměřování."
"sit","sit","sedět","sedět","impf"," When they were bent over the box with the black robe over their heads, it became easier for me to sit and think of nothing, as I knew he wanted me to."," Když se skláněli nad skříňkou s černým pláštěm přes hlavu, bylo pro mě snazší sedět a na nic nemyslet, tak, jak jsem věděla, že to po mně chtějí."
"think","think","nemyslet","myslet","impf"," When they were bent over the box with the black robe over their heads, it became easier for me to sit and think of nothing, as I knew he wanted me to."," Když se skláněli nad skříňkou s černým pláštěm přes hlavu, bylo pro mě snazší sedět a na nic nemyslet, tak, jak jsem věděla, že to po mně chtějí."
"wanted","want","chtějí","chtít","impf"," When they were bent over the box with the black robe over their heads, it became easier for me to sit and think of nothing, as I knew he wanted me to."," Když se skláněli nad skříňkou s černým pláštěm přes hlavu, bylo pro mě snazší sedět a na nic nemyslet, tak, jak jsem věděla, že to po mně chtějí."
"kept","keep","nechal","nechat","pf"," He had van Leeuwenhoek move the painting on the back wall several times before he was satisfied with its position, then open and shut shutters while he kept his head under the robe."," Několikrát nechal van Leeuwenhoeka posunout obraz na zadní stěně, než byl s jeho umístěním srozuměn, a pak otvírat a zavírat okenice, zatímco sám setrvával s hlavou pod pláštěm."
"move","move","posunout","posunout","pf"," He had van Leeuwenhoek move the painting on the back wall several times before he was satisfied with its position, then open and shut shutters while he kept his head under the robe."," Několikrát nechal van Leeuwenhoeka posunout obraz na zadní stěně, než byl s jeho umístěním srozuměn, a pak otvírat a zavírat okenice, zatímco sám setrvával s hlavou pod pláštěm."
"open","open","otvírat","otvírat","impf"," He had van Leeuwenhoek move the painting on the back wall several times before he was satisfied with its position, then open and shut shutters while he kept his head under the robe."," Několikrát nechal van Leeuwenhoeka posunout obraz na zadní stěně, než byl s jeho umístěním srozuměn, a pak otvírat a zavírat okenice, zatímco sám setrvával s hlavou pod pláštěm."
"shut","shut","zavírat","zavírat","impf"," He had van Leeuwenhoek move the painting on the back wall several times before he was satisfied with its position, then open and shut shutters while he kept his head under the robe."," Několikrát nechal van Leeuwenhoeka posunout obraz na zadní stěně, než byl s jeho umístěním srozuměn, a pak otvírat a zavírat okenice, zatímco sám setrvával s hlavou pod pláštěm."
"seemed","seem","zdál","zdát","impf"," At last he seemed satisfied."," Konečně se zdál spokojen."
"showed","show","ukázal","ukázat","pf"," I was as amazed as you the first time my friend showed it to me. '"," Žasl jsem stejně jako ty, když mi to můj přítel prvně ukázal. """
"look","look","díváte","dívat","impf"," ' But why do you look at it, sir, when you can look at your own painting? '"," "" Ale proč se na to díváte, pane, když se můžete podívat na svůj vlastní obraz? """
"look","look","díváte","dívat","impf"," ' But why do you look at it, sir, when you can look at your own painting? '"," "" Ale proč se na to díváte, pane, když se můžete podívat na svůj vlastní obraz? """
"look","look","podívat","podívat","pf"," ' But why do you look at it, sir, when you can look at your own painting? '"," "" Ale proč se na to díváte, pane, když se můžete podívat na svůj vlastní obraz? """
"look","look","podívat","podívat","pf"," ' But why do you look at it, sir, when you can look at your own painting? '"," "" Ale proč se na to díváte, pane, když se můžete podívat na svůj vlastní obraz? """
"understand","understand","nerozumíš","rozumět","impf"," ' You do not understand. '"," "" Ty tomu nerozumíš. """
"use","use","Používám","používat","impf"," I use it to help me see, so that I am able to make the painting. '"," Používám ho proto, že mi pomáhá vidět, díky němu ten obraz dokážu namalovat. """
"help","help","pomáhá","pomáhat","impf"," I use it to help me see, so that I am able to make the painting. '"," Používám ho proto, že mi pomáhá vidět, díky němu ten obraz dokážu namalovat. """
"see","see","vidět","vidět","impf"," I use it to help me see, so that I am able to make the painting. '"," Používám ho proto, že mi pomáhá vidět, díky němu ten obraz dokážu namalovat. """
"use","use","používáte","používat","impf"," ' But - you use your eyes to see. '"," "" Jenže - k vidění používáte oči. """
"regretted","regret","Litovala","litovat","impf"," I regretted it the moment the words left my mouth."," Litovala jsem toho, sotva jsem ta slova vypustila z úst."
"left","leave","vypustila","vypustit","pf"," I regretted it the moment the words left my mouth."," Litovala jsem toho, sotva jsem ta slova vypustila z úst."
"did","do","provedla","provést","pf"," What did you do? '"," Co jsi provedla? """
"do","do","provedla","provést","pf"," What did you do? '"," Co jsi provedla? """
"looking","look","hledal","hledat","impf"," More and more my father was looking to find fault with me, at times even siding with Tanneke."," Otec čím dál častěji hledal vinu u mě a občas dokonce stranil Tanneke."
"thought","think","uvažovala","uvažovat","impf"," I thought quickly."," Rychle jsem uvažovala."
"looked","look","podívala","podívat","pf"," My mother looked at me reproachfully."," Matka se na mě vyčítavě podívala."
"lied","lie","lžu","lhát","impf"," She knew when I lied."," Poznala, kdy lžu."
"feeling","feel","necítil","cítit","impf"," If my father had n't been feeling so miserable he might have noticed from my voice as well."," Kdyby se otec necítil tak mizerně, zřejmě by to z mého hlasu také postřehl."
"noticed","notice","postřehl","postřehnout","pf"," If my father had n't been feeling so miserable he might have noticed from my voice as well."," Kdyby se otec necítil tak mizerně, zřejmě by to z mého hlasu také postřehl."
"replied","reply","odvětila","odvětit","pf"," ' Sewing, ' I replied."," "" Šije, "" odvětila jsem."
"Carrying","carry","Nosí","nosit","impf"," Carrying water."," Nosí vodu."
"Washing","wash","Pere","prát","impf"," Washing sheets."," Pere povlečení."
"like","like","Chtěla","chtít","impf"," ' You would like me to paint you with your mop? '"," "" Chtěla bys, abych tě namaloval se smetákem? """
"paint","paint","namaloval","namalovat","pf"," ' You would like me to paint you with your mop? '"," "" Chtěla bys, abych tě namaloval se smetákem? """
"sounded","sound","Zněl","znít","impf"," He sounded as if he were speaking to himself."," Zněl, jako by mluvil sám se sebou."
"speaking","speak","mluvil","mluvit","impf"," He sounded as if he were speaking to himself."," Zněl, jako by mluvil sám se sebou."
"want","want","Nechci","chtít","impf"," ' I do not want you to paint me with my mop. '"," "" Nechci, abyste mě maloval se smetákem. """
"paint","paint","maloval","malovat","impf"," ' I do not want you to paint me with my mop. '"," "" Nechci, abyste mě maloval se smetákem. """
"answer","answer","neodpověděl","odpovědět","pf"," To my surprise he did n't answer her."," K mému překvapení jí neodpověděl."
"turned","turn","otočil","otočit","pf"," He simply turned and climbed the stairs again, leaving me alone to face her."," Prostě se otočil, zamířil zpátky po schodech nahoru a nechal mě s ní samotnou."
"turned","turn","zamířil","zamířit","pf"," He simply turned and climbed the stairs again, leaving me alone to face her."," Prostě se otočil, zamířil zpátky po schodech nahoru a nechal mě s ní samotnou."
"leaving","leave","nechal","nechat","pf"," He simply turned and climbed the stairs again, leaving me alone to face her."," Prostě se otočil, zamířil zpátky po schodech nahoru a nechal mě s ní samotnou."
"felt","feel","cítila","cítit","impf"," The truth was the easiest answer, though I often felt uneasy telling Cornelia the truth."," Nejjednodušší odpovědí byla pravda, ačkoli jsem se často cítila nesvá, kdyžjsem Cornelii říkala pravdu."
"telling","tell","říkala","říkat","impf"," The truth was the easiest answer, though I often felt uneasy telling Cornelia the truth."," Nejjednodušší odpovědí byla pravda, ačkoli jsem se často cítila nesvá, kdyžjsem Cornelii říkala pravdu."
"bought","buy","Koupila","koupit","pf"," ' I 've bought some paint things for your father, ' I explained."," "" Koupila jsem nějaké potřeby na přípravu barev pro tvého otce, "" vysvětlila jsem."
"explained","explain","vysvětlila","vysvětlit","pf"," ' I 've bought some paint things for your father, ' I explained."," "" Koupila jsem nějaké potřeby na přípravu barev pro tvého otce, "" vysvětlila jsem."
"ask","ask","požádal","požádat","pf"," ' Did he ask you to? '"," "" On tě o to požádal? """
"speak","speak","mluvila","mluvit","impf"," ' I would like to speak to you for a moment, ' I said quickly, before Pieter had a chance even to look surprised."," "" Ráda bych s tebou chvilku mluvila, "" pronesla jsem rychle, dřív než Pieter stihl byť i jen vypadat překvapeně."
"said","say","mluvila","mluvit","impf"," ' I would like to speak to you for a moment, ' I said quickly, before Pieter had a chance even to look surprised."," "" Ráda bych s tebou chvilku mluvila, "" pronesla jsem rychle, dřív než Pieter stihl byť i jen vypadat překvapeně."
"said","say","pronesla","pronést","pf"," ' I would like to speak to you for a moment, ' I said quickly, before Pieter had a chance even to look surprised."," "" Ráda bych s tebou chvilku mluvila, "" pronesla jsem rychle, dřív než Pieter stihl byť i jen vypadat překvapeně."
"jumped","jump","vyskočil","vyskočit","pf"," His companion immediately jumped up and offered me his chair."," Jeho společník okamžitě vyskočil a nabídl mi svou židli."
"offered","offer","nabídl","nabídnout","pf"," His companion immediately jumped up and offered me his chair."," Jeho společník okamžitě vyskočil a nabídl mi svou židli."
"said","say","řekl","říci","pf"," ' Of course, ' Pieter said."," "" Ovšem, "" řekl Pieter."
"followed","follow","následoval","následovat","impf"," He nodded to his friend and followed me across the street."," Pokývl svému příteli a následoval mě přes ulici."
"pleased","please","těší","těšit","impf"," From his expression it was not clear whether or not he was pleased to see me."," Z jeho výrazu nebylo jasné, zda ho těší, že mě vidí, nebo ne."
"see","see","vidí","vidět","impf"," From his expression it was not clear whether or not he was pleased to see me."," Z jeho výrazu nebylo jasné, zda ho těší, že mě vidí, nebo ne."
"get","get","Přinesla","přinést","pf"," ' Will you get me something as well? '"," "" Přinesla bys něco i pro mě? """
"write","write","napíšu","napsat","pf"," ' Wait, I 'll write it down. '"," "" Počkej, já ti to napíšu. """
"disappeared","disappear","Zmizel","zmizet","pf"," He disappeared and I waited."," Zmizel a já jsem čekala."
"waited","wait","čekala","čekat","impf"," He disappeared and I waited."," Zmizel a já jsem čekala."
"bring","bring","přines","přinést","pf"," ' Give the apothecary the paper inside and bring what he gives you back to me. '"," "" Dej lékárníkovi papírek, který je uvnitř, a přines mi, co ti dá s sebou. """
"Give","give","dá","dát","pf"," ' Give the apothecary the paper inside and bring what he gives you back to me. '"," "" Dej lékárníkovi papírek, který je uvnitř, a přines mi, co ti dá s sebou. """
"gives","give","dá","dát","pf"," ' Give the apothecary the paper inside and bring what he gives you back to me. '"," "" Dej lékárníkovi papírek, který je uvnitř, a přines mi, co ti dá s sebou. """
"nodded","nod","Přikývla","přikývnout","pf"," I nodded and tucked the pouch into a fold of my shawl, pleased with this secret request."," Přikývla jsem a strčila jsem si váček do záhybu šálu, potěšena jeho tajnou žádostí."
"tucked","tuck","strčila","strčit","pf"," I nodded and tucked the pouch into a fold of my shawl, pleased with this secret request."," Přikývla jsem a strčila jsem si váček do záhybu šálu, potěšena jeho tajnou žádostí."
"pleased","please","potěšena","potěšit","pf"," I nodded and tucked the pouch into a fold of my shawl, pleased with this secret request."," Přikývla jsem a strčila jsem si váček do záhybu šálu, potěšena jeho tajnou žádostí."
"found","find","našla","najít","pf"," When I could I smuggled to him treats from Tanneke 's kitchen - stewed cherries, dried apricots, a cold sausage, once a handful of dried rose petals I had found in Catharina 's cupboard."," Kdykoli to šlo, propašovala jsem mu z Tannečiny kuchyně pamlsky - kompotované třešně, sušené meruňky, studenou uzenku, jednou i hrst suchých růžových lístků, jež jsem našla v Catharinině skříni."
"began","begin","začala","začít","pf"," ' The baker 's daughter stands in a bright corner by a window, ' I began patiently."," "" Pekařova dcera stojí ve světlém koutě u okna, "" začala jsem trpělivě."
"looking","look","dívá","dívat","impf"," ' She is facing us, but is looking out the window, down to her right."," "" Je čelem k nám, ale dívá se z okna dole po své pravici."
"like","like","chtěla","chtít","impf"," What would you like today? '"," Co byste dnes chtěla? """
"Going","go","jdeš","jít","impf"," ' Going so early?"," "" To tam jdeš takhle brzy?"
"go","go","chodíme","chodit","impf"," We always go later in the day. '"," My vždycky chodíme až později. """
"look","look","nepohlédla","pohlédnout","pf"," Tanneke still did not look at me."," Tanneke na mě stále ani nepohlédla."
"tying","tie","Vázala","vázat","impf"," She was tying white ribbons into five-pointed stars in Cornelia 's hair."," Vázala Cornelii do vlasů bílé stuhy ve tvaru pěticípých hvězd."
"thought","think","Mám","mít","impf"," I´m free while the water is heating and thought I would go now, ' I replied simply."," "" Mám čas, než se ohřeje voda, tak mě napadlo, že tam zajdu teď, "" odpověděla jsem prostě."
"heating","heat","ohřeje","ohřát","pf"," I´m free while the water is heating and thought I would go now, ' I replied simply."," "" Mám čas, než se ohřeje voda, tak mě napadlo, že tam zajdu teď, "" odpověděla jsem prostě."
"replied","reply","odpověděla","odpovědět","pf"," I´m free while the water is heating and thought I would go now, ' I replied simply."," "" Mám čas, než se ohřeje voda, tak mě napadlo, že tam zajdu teď, "" odpověděla jsem prostě."
"add","add","Nedodala","dodat","pf"," I did not add that the best cuts were to be had early, even if the butcher or fishmonger promised to set aside things for the family."," Nedodala jsem, že nejlepší kousky se musí koupit časně, i když řezník nebo obchodník s rybami slíbí, že dají pro rodinu zboží stranou."
"promised","promise","slíbí","slíbit","pf"," I did not add that the best cuts were to be had early, even if the butcher or fishmonger promised to set aside things for the family."," Nedodala jsem, že nejlepší kousky se musí koupit časně, i když řezník nebo obchodník s rybami slíbí, že dají pro rodinu zboží stranou."
"add","add","dají","dát","pf"," I did not add that the best cuts were to be had early, even if the butcher or fishmonger promised to set aside things for the family."," Nedodala jsem, že nejlepší kousky se musí koupit časně, i když řezník nebo obchodník s rybami slíbí, že dají pro rodinu zboží stranou."
"set","set","dají","dát","pf"," I did not add that the best cuts were to be had early, even if the butcher or fishmonger promised to set aside things for the family."," Nedodala jsem, že nejlepší kousky se musí koupit časně, i když řezník nebo obchodník s rybami slíbí, že dají pro rodinu zboží stranou."
"agree","agree","souhlasit","souhlasit","impf"," He will agree - he usually does."," Bude souhlasit - jako obvykle."
"pay","pay","zaplatí","zaplatit","pf"," And he will pay more for it. '"," A zaplatí za něj víc. """
"respond","respond","neodpovídal","odpovídat","impf"," He still did not respond."," Stále neodpovídal."
"said","say","řekla","říci","pf"," ' We 're further in debt, ' Maria Thins said bluntly."," "" Máme další dluhy, "" řekla Maria Thins na rovinu."
"need","need","potřebujeme","potřebovat","impf"," ' We need the money. '"," "" Ty peníze potřebujeme. """
"ask","ask","požádá","požádat","pf"," ' He may ask that she be in it, ' he said."," "" Třeba požádá, aby na něm byla ona, "" ozval se."
"said","say","Mluvil","mluvit","impf"," His voice was low but I was able to hear what he said, though only later did I understand what he meant."," Mluvil tichým hlasem, já jsem však slyšela, co řekl, ačkoli teprve později jsem pochopila, jak to myslel."
"hear","hear","slyšela","slyšet","impf"," His voice was low but I was able to hear what he said, though only later did I understand what he meant."," Mluvil tichým hlasem, já jsem však slyšela, co řekl, ačkoli teprve později jsem pochopila, jak to myslel."
"said","say","řekl","říci","pf"," His voice was low but I was able to hear what he said, though only later did I understand what he meant."," Mluvil tichým hlasem, já jsem však slyšela, co řekl, ačkoli teprve později jsem pochopila, jak to myslel."
"understand","understand","pochopila","pochopit","pf"," His voice was low but I was able to hear what he said, though only later did I understand what he meant."," Mluvil tichým hlasem, já jsem však slyšela, co řekl, ačkoli teprve později jsem pochopila, jak to myslel."
"meant","mean","myslel","myslet","impf"," His voice was low but I was able to hear what he said, though only later did I understand what he meant."," Mluvil tichým hlasem, já jsem však slyšela, co řekl, ačkoli teprve později jsem pochopila, jak to myslel."
"see","see","vidět","vidět","impf"," It was long and tedious work, but very satisfying to see the colour grow cleaner with each wash, and closer to what was needed."," Byla to zdlouhavá a únavná práce, velmi mě však uspokojovalo vidět, jak se barva každým omytím očišťuje a přibližuje tomu, co je třeba."
"allow","allow","nedovolil","dovolit","pf"," The only colour he did not allow me to handle was ultramarine."," Jedinou barvou, s níž mi zacházet nedovolil, byl ultramarín."
"worked","work","pracoval","pracovat","impf"," Lapis lazuli was so expensive, and the process of extracting a pure blue from the stone so difficult, that he worked with it himself."," Lapis lazuli byl tak drahý a postup extrahování čisté modři z kamene natolik obtížný, že s ním pracoval sám."
"discovered","discover","zjistila","zjistit","pf"," As I had discovered with van Ruijven, however, it was more often the man pursuing the maid than the other way round."," Jak jsem však zjistila podle van Ruijvena, častěji muž pronásledoval služku nežli naopak."
"pursuing","pursue","pronásledoval","pronásledovat","impf"," As I had discovered with van Ruijven, however, it was more often the man pursuing the maid than the other way round."," Jak jsem však zjistila podle van Ruijvena, častěji muž pronásledoval služku nežli naopak."
"talk","talk","hovořit","hovořit","impf"," I did not hear them talk of it myself - Maertge told me one morning."," Sama jsem je o tom hovořit neslyšela - řekla mi to jednou ráno Maertge."
"hear","hear","neslyšela","slyšet","impf"," I did not hear them talk of it myself - Maertge told me one morning."," Sama jsem je o tom hovořit neslyšela - řekla mi to jednou ráno Maertge."
"told","tell","řekla","říci","pf"," I did not hear them talk of it myself - Maertge told me one morning."," Sama jsem je o tom hovořit neslyšela - řekla mi to jednou ráno Maertge."
"thought","think","pomyslela","pomyslet","pf"," And a tile is a tile, I thought, and nothing like his paintings."," A kachel je kachel, pomyslela jsem si, to s jeho malováním nemá nic společného."
"thought","think","nemá","mít","impf"," And a tile is a tile, I thought, and nothing like his paintings."," A kachel je kachel, pomyslela jsem si, to s jeho malováním nemá nic společného."
"wanted","want","Chtěla","chtít","impf"," I wanted him to understand that white was not simply white."," Chtěla jsem, aby otec pochopil, že bílá není prostě bílá."
"understand","understand","pochopil","pochopit","pf"," I wanted him to understand that white was not simply white."," Chtěla jsem, aby otec pochopil, že bílá není prostě bílá."
"doing","do","dělá","dělat","impf"," ' What is she doing? ' he asked after a moment."," "" Co ta žena dělá? "" zeptal se otec po chvíli."
"asked","ask","zeptal","zeptat","pf"," ' What is she doing? ' he asked after a moment."," "" Co ta žena dělá? "" zeptal se otec po chvíli."
"seemed","seem","zdálo","zdát","impf"," Although it was not far, each breath I took seemed to freeze inside me so that by the time I pushed into the shop I was unable to speak."," Nebylo to sice daleko, ale zdálo se mi, jako by každé vdechnutí v mém nitru zamrzlo, takže než jsem vklouzla do obchodu, nebyla jsem schopna mluvit."
"speak","speak","mluvit","mluvit","impf"," Although it was not far, each breath I took seemed to freeze inside me so that by the time I pushed into the shop I was unable to speak."," Nebylo to sice daleko, ale zdálo se mi, jako by každé vdechnutí v mém nitru zamrzlo, takže než jsem vklouzla do obchodu, nebyla jsem schopna mluvit."
"made","make","vyráběla","vyrábět","impf"," I had never been to an apothecary, not even before I became a maid - my mother had made all of our remedies."," Nikdy dřív jsem žádnou lékárnu nenavštívila, ani předtím, než jsem se stala služkou - všechny naše léky vyráběla matka."
"say","say","řekne","říci","pf"," Then one day he looked up and looked away, and I knew what he would say."," Pak jednoho dne vzhlédl a odvrátil zrak, takže mi bylo jasné, co řekne."
"wait","wait","počkat","počkat","pf"," I had to wait until he finished with several customers."," Musela jsem počkat, dokud neobsloužil několik zákazníků."
"wanted","want","chtělo","chtít","impf"," I felt so sick I wanted to sit down, but the floor was speckled with blood."," Bylo mi tak zle, že se mi chtělo sednout si na zem, podlaha však byla potřísněna krví."
"sit","sit","sednout","sednout","pf"," I felt so sick I wanted to sit down, but the floor was speckled with blood."," Bylo mi tak zle, že se mi chtělo sednout si na zem, podlaha však byla potřísněna krví."
"came","come","přišel","přijít","pf"," At last Pieter the son took off his apron and came over."," Konečně si Pieter mladší sundal zástěru a přišel ke mně."
"said","say","řekl","říci","pf"," ' It is your sister, Agnes, ' he said softly."," "" Jde o tvou sestru Agnes, "" řekl měkce."
"wanted","want","chtěl","chtít","impf"," It became harder to hide what I was doing when he wanted me to help him make the paints."," Jakmile chtěl, abych mu pomáhala s přípravou barev, začalo být těžší tajit, co dělám."
"help","help","pomáhala","pomáhat","impf"," It became harder to hide what I was doing when he wanted me to help him make the paints."," Jakmile chtěl, abych mu pomáhala s přípravou barev, začalo být těžší tajit, co dělám."
"doing","do","dělám","dělat","impf"," It became harder to hide what I was doing when he wanted me to help him make the paints."," Jakmile chtěl, abych mu pomáhala s přípravou barev, začalo být těžší tajit, co dělám."
"make","make","dělám","dělat","impf"," It became harder to hide what I was doing when he wanted me to help him make the paints."," Jakmile chtěl, abych mu pomáhala s přípravou barev, začalo být těžší tajit, co dělám."
"took","take","zavedl","zavést","pf"," One morning he took me up to the attic, reached by a ladder in the storeroom next to the studio."," Jednou ráno mě zavedl nahoru na půdu, přístupnou po žebříku z komory vedle ateliéru."
"seen","see","spatřila","spatřit","pf"," Now there was one easily seen - the map hanging on the wall behind the woman had been removed from both the painting and the scene itself."," Teď jsem spatřila jednu snadno patrnou - mapa visící na stěně za ženou byla odstraněna z obrazu i ze scény samé."
"removed","remove","odstraněna","odstranit","pf"," Now there was one easily seen - the map hanging on the wall behind the woman had been removed from both the painting and the scene itself."," Teď jsem spatřila jednu snadno patrnou - mapa visící na stěně za ženou byla odstraněna z obrazu i ze scény samé."
"expected","expect","nečekala","čekat","impf"," I would not have expected it of him."," Byla bych ji od něj nečekala."
"escaped","escape","unikly","uniknout","pf"," Her cap was askew so that tiny blonde curls escaped and hung about her forehead like bees which she swatted at impatiently several times."," Čepec měla nakřivo, takže jí zpod něj unikly drobné plavé kadeře a poletovaly jí kolem čela jako včely, až se po nich několikrát netrpělivě ohnala."
"needed","need","potřeboval","potřebovat","impf"," Her collar needed straightening and was not as crisp as it could be."," Její límec potřeboval vypnout a nebyl tak čistý, jak by mohl být."
"saw","see","viděla","vidět","impf"," She pushed her grey mantle back from her shoulders, and I saw then that under her dark blue dress a baby was growing."," Šedý plášť si shrnula z ramen, takže jsem viděla, že pod tmavomodrými šaty jí roste dítě."
"growing","grow","roste","růst","impf"," She pushed her grey mantle back from her shoulders, and I saw then that under her dark blue dress a baby was growing."," Šedý plášť si shrnula z ramen, takže jsem viděla, že pod tmavomodrými šaty jí roste dítě."
"look","look","díváš","dívat","impf"," ' He has a wooden box that you look in and - see things. '"," "" On má dřevěnou truhlu, do které se díváš a - vidíš věci. """
"see","see","díváš","dívat","impf"," ' He has a wooden box that you look in and - see things. '"," "" On má dřevěnou truhlu, do které se díváš a - vidíš věci. """
