"looked","look","pohlédli","pohlédnout","pf"," The two men looked at each other with a scare."," Oba na sebe vystrašeně pohlédli."
"take","take","vezmi","vzít","pf"," I want you to postpone all other engagements for to-night - ay, even if you were summoned to the bedside of an emperor; to take a cab, unless your carriage should be actually at the door; and, with this letter in your hand for consultation, to drive straight to my house."," Prosím tě, abys odřekl všechny své závazky na dnešní večer, i kdyby tě třeba povolali k nemocnému císaři - abys vsedl do drožky, nečeká - li právě na tebe před domem tvůj kočár, a ihned přijel sem - tenhle dopis vezmi s sebou pro případ, že by sis nevěděl rady."
"shared","share","rozděleny","rozdělit","pf"," My two natures had memory in common, but all other faculties were most unequally shared between them."," Mé dvě povahy měly společnou paměť, ale všechny ostatní schopnosti byly mezi ně rozděleny velmi nerovnoměrně."
"conceals","conceal","skrývá","skrývat","impf"," Jekyll ( who was a composite ) now with the most sensitive apprehensions, now with a greedy gusto, projected and shared in the pleasures and adventures of Hyde; but Hyde was indifferent to Jekyll, or but remembered him as the mountain bandit remembers the cavern in which he conceals himself from pursuit."," Jekyll ( který se skládal z obou ) ve chvílích, kdy ze sebe vyloučil Hyda a bral účast v jeho zábavách a dobrodružstvích, měl někdy přitom zlé předtuchy, jindy se zas do toho pouštěl s náramnou chutí, ale Hyde Jekylla vůbec nedbal, leda jen do té míry, jak si horský bandita někdy připomíná jeskyni, v níž se skrývá před pronásledováním."
"thinking","think","zdálo","zdát","impf"," And when at last, thinking the driver had begun to grow suspicious, he discharged the cab and ventured on foot, attired in his misfitting clothes, an object marked out for observation, into the midst of the nocturnal passengers, these two base passions raged within him like a tempest."," A když se mu zdálo, že ho drožkář začíná už podezírat, vystoupil z drožky a pustil se dál pěšky, v plandavých šatech, v nichž byl terčem pozornosti nočních chodců, mezi něž se vmísil, a ty dvě mrzké náruživosti v něm řádily jako bouře."
"begun","begin","začíná","začínat","impf"," And when at last, thinking the driver had begun to grow suspicious, he discharged the cab and ventured on foot, attired in his misfitting clothes, an object marked out for observation, into the midst of the nocturnal passengers, these two base passions raged within him like a tempest."," A když se mu zdálo, že ho drožkář začíná už podezírat, vystoupil z drožky a pustil se dál pěšky, v plandavých šatech, v nichž byl terčem pozornosti nočních chodců, mezi něž se vmísil, a ty dvě mrzké náruživosti v něm řádily jako bouře."
"raged","rage","řádily","řádit","impf"," And when at last, thinking the driver had begun to grow suspicious, he discharged the cab and ventured on foot, attired in his misfitting clothes, an object marked out for observation, into the midst of the nocturnal passengers, these two base passions raged within him like a tempest."," A když se mu zdálo, že ho drožkář začíná už podezírat, vystoupil z drožky a pustil se dál pěšky, v plandavých šatech, v nichž byl terčem pozornosti nočních chodců, mezi něž se vmísil, a ty dvě mrzké náruživosti v něm řádily jako bouře."
"walked","walk","Šel","jít","impf"," He walked fast, hunted by his fears, chattering to himself, skulking through the less frequented thoroughfares, counting the minutes that still divided him from midnight."," Šel rychle, poháněný obavami, pořád si něco bručel, loudal se méně frekventovanými ulicemi a počítal minuty, které mu ještě zbývaly do půlnoci."
"counting","count","počítal","počítat","impf"," He walked fast, hunted by his fears, chattering to himself, skulking through the less frequented thoroughfares, counting the minutes that still divided him from midnight."," Šel rychle, poháněný obavami, pořád si něco bručel, loudal se méně frekventovanými ulicemi a počítal minuty, které mu ještě zbývaly do půlnoci."
"received","receive","dostal","dostat","pf"," On the ninth of January, now four days ago, I received by the evening delivery a registered envelope, addressed in the hand of my colleague and old school-companion, Henry Jekyll."," Devátého ledna, tedy před čtyřmi dny, dostal jsem poštou doporučenou zásilku s adresou, vlastnoručně psanou mým kolegou a bývalým spolužákem Henrym Jekyllem."
"surprised","surprise","překvapilo","překvapit","pf"," I was a good deal surprised by this; for we were by no means in the habit of correspondence; I had seen the man, dined with him, indeed, the night before; and I could imagine nothing in our intercourse that should justify the formality of registration."," Velice mě to překvapilo, protože jsme si nebyli zvyklí dopisovat - vždyť jsem se s ním teprve předešlého večera setkal na večeři a neměl jsem tušení, že bychom spolu byli mluvili o něčem tak důležitém, aby to bylo zapotřebí stvrdit doporučeným dopisem."
"returned","return","odpověděl","odpovědět","pf"," “ Well, it was this way, ” returned Mr Enfield :"," "" Bylo to takhle, "" odpověděl pan Enfield."
"seen","see","vidět","vidět","impf"," “ I was coming home from some place at the end of the world, about three o ’ clock of a black winter morning, and my way lay through a part of town where there was literally nothing to be seen but lamps."," "" Jednou jsem se asi ve tři hodiny ráno vracel domů až bůhví odkud - tma jako v pytli, bylo to v zimě, a má cesta vedla městskou čtvrtí, kde nebylo doslova vidět nic než svítilny."
"follow","follow","nevyplývá","vyplývat","impf"," For these two were old friends, old mates both at school and college, both thorough respecters of themselves and of each other, and, what does not always follow, men who thoroughly enjoyed each other ’ s company."," Byli totiž s panem Uttersonem staří přátelé, dávní spolužáci ze školy i z univerzity, oba měli sami k sobě i navzájem jeden k druhému úctu, a což z toho vždy nevyplývá, jeden i druhý si libovali v přítelově společnosti."
"suppose","suppose","Předpokládám","předpokládat","impf"," “ I suppose, Lanyon, ” he said, “ you and I must be the two oldest friends that Henry Jekyll has? ”"," "" Předpokládám, Lanyone, že my dva jsme patrně nejstarší přátelé, které Henry Jekyll má, "" spustil."
"stood","stand","měla","mít","impf"," It seems she was romantically given; for she sat down upon her box, which stood immediately under the window, and fell into a dream of musing."," Služebná měla zřejmě romantické sklony, protože se posadila na truhlu pod oknem a snivě se zadumala."
"sat","sit","posadila","posadit","pf"," It seems she was romantically given; for she sat down upon her box, which stood immediately under the window, and fell into a dream of musing."," Služebná měla zřejmě romantické sklony, protože se posadila na truhlu pod oknem a snivě se zadumala."
"tell","tell","Říkal","říkat","impf"," “ Did I ever tell you that I once saw him, and shared your feeling of repulsion? ”"," "" Říkal jsem ti někdy, že jsem ho tu jednou viděl a že mě odpuzoval zrovna tak jako tebe? """
"saw","see","viděl","vidět","impf"," “ Did I ever tell you that I once saw him, and shared your feeling of repulsion? ”"," "" Říkal jsem ti někdy, že jsem ho tu jednou viděl a že mě odpuzoval zrovna tak jako tebe? """
"returned","return","odpověděl","odpovědět","pf"," “ It was impossible to do the one without the other, ” returned Enfield."," "" Jeho zevnějšek musí odpuzovat každého, kdo ho uvidí, "" odpověděl Enfield."
"thought","think","považoval","považovat","impf"," “ And, by the way, what an ass you must have thought me, not to know that this was a back way to Dr Jekyll ’ s!"," "" Ale mimochodem, tys mě jistě považoval za velkého osla, když jsem nevěděl, že je tohle zadní vchod do Jekyllova domu, co?"
"called","call","vyvolal","vyvolat","pf"," This familiar that I called out of my own soul, and sent forth alone to do his good pleasure, was a being inherently malign and villainous; his every act and thought centred on self; drinking pleasure with bestial avidity from any degree of torture to another; relentless like a man of stone."," Ten můj nerozlučný druh, kterého jsem vyvolal ze své vlastní duše a poslal samotného na honbu za zábavou, byl tvor vrozeně ničemný a zločinný, veškerým svým myšlením a konáním sledoval jen sobecké zájmy, zvířecky chtivě slintal rozkoší, jak jen mohl co nejvíc ztýrat druhého - nemilosrdný jako člověk z kamene."
"do","do","vyvolal","vyvolat","pf"," This familiar that I called out of my own soul, and sent forth alone to do his good pleasure, was a being inherently malign and villainous; his every act and thought centred on self; drinking pleasure with bestial avidity from any degree of torture to another; relentless like a man of stone."," Ten můj nerozlučný druh, kterého jsem vyvolal ze své vlastní duše a poslal samotného na honbu za zábavou, byl tvor vrozeně ničemný a zločinný, veškerým svým myšlením a konáním sledoval jen sobecké zájmy, zvířecky chtivě slintal rozkoší, jak jen mohl co nejvíc ztýrat druhého - nemilosrdný jako člověk z kamene."
"sent","send","poslal","poslat","pf"," This familiar that I called out of my own soul, and sent forth alone to do his good pleasure, was a being inherently malign and villainous; his every act and thought centred on self; drinking pleasure with bestial avidity from any degree of torture to another; relentless like a man of stone."," Ten můj nerozlučný druh, kterého jsem vyvolal ze své vlastní duše a poslal samotného na honbu za zábavou, byl tvor vrozeně ničemný a zločinný, veškerým svým myšlením a konáním sledoval jen sobecké zájmy, zvířecky chtivě slintal rozkoší, jak jen mohl co nejvíc ztýrat druhého - nemilosrdný jako člověk z kamene."
"Think","think","Pamatuj","pamatovat","impf"," Think of me at this hour, in a strange place, labouring under a blackness of distress that no fancy can exaggerate, and yet well aware that, if you ill but punctually serve me, my troubles will roll away like a story that is told."," Pamatuj, že v téhle chvíli, v těchhle podivných místech snáším nejukrutnější duševní muka, jaká ani nejbujnější obraznost nemůže zveličit, ale přitom vím, že když vykonáš přesně všechno, oč tě prosím, mé úzkosti se rozplynou, jako by skončilo nějaké hrůzné vyprávění."
"struck","strike","napadly","napadnout","pf"," P. S. - I had already sealed this up when a fresh terror struck upon my soul."," P. S. - Už jsem tohle zapečetil, a najednou mi napadly nové obavy."
"fled","flee","utekl","utéci","pf"," “ Or he may have fled, ” said Utterson, and he turned to examine the door in the by street."," "" Nebo třeba doktor utekl, "" namítl Utterson a obrátil se ke dveřím do uličky."
"turned","turn","obrátil","obrátit","pf"," “ Or he may have fled, ” said Utterson, and he turned to examine the door in the by street."," "" Nebo třeba doktor utekl, "" namítl Utterson a obrátil se ke dveřím do uličky."
"observed","observe","podotkl","podotknout","pf"," “ This does not look like use, ” observed the lawyer."," "" Vypadá to, že se jím už dávno neodmyká, "" podotkl advokát."
"engaged","engage","zabýval","zabývat","impf"," Hitherto it had touched him on the intellectual side alone; but now his imagination also was engaged, or rather enslaved; and as he lay and tossed in the gross darkness of the night and the curtained room, Mr Enfield ’ s tale went by before his mind in a scroll of lighted pictures."," Až dosud se jí zabýval jen po rozumové stránce, ale té noci zaujala, či spíše ujařmila i jeho obraznost, a když se tak převaloval v nočních temnotách v pokoji za staženými roletami, odvíjelo se mu v duchu vyprávění pana Enfielda jako sled světelných obrazů."
"engaged","engage","zaujala","zaujmout","pf"," Hitherto it had touched him on the intellectual side alone; but now his imagination also was engaged, or rather enslaved; and as he lay and tossed in the gross darkness of the night and the curtained room, Mr Enfield ’ s tale went by before his mind in a scroll of lighted pictures."," Až dosud se jí zabýval jen po rozumové stránce, ale té noci zaujala, či spíše ujařmila i jeho obraznost, a když se tak převaloval v nočních temnotách v pokoji za staženými roletami, odvíjelo se mu v duchu vyprávění pana Enfielda jako sled světelných obrazů."
"said","say","řekl","říci","pf"," “ This will make a deal of noise, ” he said."," "" Tohle se rozkřikne po celém Londýně, "" řekl."
"help","help","pomoci","pomoci","pf"," “ And perhaps you can help us to the man. ”"," "" Snad byste nám mohl pomoci dopadnout toho člověka. """
"showed","show","ukázal","ukázat","pf"," And he briefly narrated what the maid had seen, and showed the broken stick."," Stručně mu pověděl, čeho byla služebná svědkem, a ukázal mu kus přeražené hole."
"thank","thank","Děkuji","děkovat","impf"," “ Here, thank you, ” said the lawyer; and he drew near and leaned on the tall fender."," "" Děkuji, počkám tady, "" odpověděl advokát, přistoupil k ohni a opřel se o vysokou mřížku před krbem."
"said","say","odpověděl","odpovědět","pf"," “ Here, thank you, ” said the lawyer; and he drew near and leaned on the tall fender."," "" Děkuji, počkám tady, "" odpověděl advokát, přistoupil k ohni a opřel se o vysokou mřížku před krbem."
"leaned","lean","opřel","opřít","pf"," “ Here, thank you, ” said the lawyer; and he drew near and leaned on the tall fender."," "" Děkuji, počkám tady, "" odpověděl advokát, přistoupil k ohni a opřel se o vysokou mřížku před krbem."
"cried","cry","vykřikl","vykřiknout","pf"," “ Ah, that ’ s not Jekyll ’ s voice - it ’ s Hyde ’ s! ” cried Utterson."," "" Vida, to přece není hlas Jekyllův - to je hlas Hydův! "" vykřikl Utterson."
"drawn","draw","přitažena","přitáhnout","pf"," This brought them to the fireside, where the easy chair was drawn cosily up, and the tea things stood ready to the sitter ’ s elbow, the very sugar in the cup."," To je přilákalo ke krbu, k němuž byla útulně přitažena lenoška se stolkem na dosah ruky, prostřeným k čaji, ba i s kostkou cukru v šálku."
"shone","shine","vynikala","vynikat","impf"," Even on Sunday, when it veiled its more florid charms and lay comparatively empty of passage, the street shone out in contrast to its dingy neighbourhood, like a fire in a forest; and with its freshly painted shutters, well-polished brasses, and general cleanliness and gaiety of note, instantly caught and pleased the eye of the passenger."," I v neděli, kdy ulička zastírala své vábnější půvaby a ruch tam byl poměrně nepatrný, vynikala oproti zchátralému sousedství leskem jako oheň v lese a její rolety s čerstvým nátěrem, vyleštěné mosazné mříže, všeobecná čistota a veselá tvářnost okamžitě zalahodily očím chodců."
"fear","fear","obávám","obávat","impf"," Evil, I fear, founded - evil was sure to come - of that connection."," "" Věru se obávám, že nakonec - že z téhle známosti nakonec - muselo vzejít - něco zlého."
"come","come","vzejít","vzejít","pf"," Evil, I fear, founded - evil was sure to come - of that connection."," "" Věru se obávám, že nakonec - že z téhle známosti nakonec - muselo vzejít - něco zlého."
"believe","believe","věřím","věřit","impf"," Ay, truly, I believe you; I believe poor Harry is killed; and I believe his murderer ( for what purpose, God alone can tell ) is still lurking in his victim ’ s room."," Tak se mi zdá, že máte pravdu - už věřím, že chudák Henry je zavražděný, a věřím, že se jeho vrah - bůhsámví proč - zavírá v pracovně se svou obětí."
"believe","believe","věřím","věřit","impf"," Ay, truly, I believe you; I believe poor Harry is killed; and I believe his murderer ( for what purpose, God alone can tell ) is still lurking in his victim ’ s room."," Tak se mi zdá, že máte pravdu - už věřím, že chudák Henry je zavražděný, a věřím, že se jeho vrah - bůhsámví proč - zavírá v pracovně se svou obětí."
"believe","believe","věřím","věřit","impf"," Ay, truly, I believe you; I believe poor Harry is killed; and I believe his murderer ( for what purpose, God alone can tell ) is still lurking in his victim ’ s room."," Tak se mi zdá, že máte pravdu - už věřím, že chudák Henry je zavražděný, a věřím, že se jeho vrah - bůhsámví proč - zavírá v pracovně se svou obětí."
"believe","believe","věřím","věřit","impf"," Ay, truly, I believe you; I believe poor Harry is killed; and I believe his murderer ( for what purpose, God alone can tell ) is still lurking in his victim ’ s room."," Tak se mi zdá, že máte pravdu - už věřím, že chudák Henry je zavražděný, a věřím, že se jeho vrah - bůhsámví proč - zavírá v pracovně se svou obětí."
"believe","believe","věřím","věřit","impf"," Ay, truly, I believe you; I believe poor Harry is killed; and I believe his murderer ( for what purpose, God alone can tell ) is still lurking in his victim ’ s room."," Tak se mi zdá, že máte pravdu - už věřím, že chudák Henry je zavražděný, a věřím, že se jeho vrah - bůhsámví proč - zavírá v pracovně se svou obětí."
"believe","believe","věřím","věřit","impf"," Ay, truly, I believe you; I believe poor Harry is killed; and I believe his murderer ( for what purpose, God alone can tell ) is still lurking in his victim ’ s room."," Tak se mi zdá, že máte pravdu - už věřím, že chudák Henry je zavražděný, a věřím, že se jeho vrah - bůhsámví proč - zavírá v pracovně se svou obětí."
"came","come","přišel","přijít","pf"," The footman came at the summons, very white and nervous."," Druhý sluha na tu výzvu ihned přišel, velice bledý a znervóznělý."
"said","say","řekl","říci","pf"," “ Pull yourself together, Bradshaw, ” said the lawyer."," "" Vzchopte se, Bradshawe, "" řekl advokát."
"think","think","myslím","myslet","impf"," I sometimes think if we knew all, we should be more glad to get away. ”"," Jenže někdy si myslím, že kdybychom věděli všechno, byli bychom radši, že to má skončit. """
"think","think","má","mít","impf"," I sometimes think if we knew all, we should be more glad to get away. ”"," Jenže někdy si myslím, že kdybychom věděli všechno, byli bychom radši, že to má skončit. """
"seen","see","Viděl","vidět","impf"," “ Have you seen him? ”"," "" Viděl ses s ním v poslední době? """
"changed","change","změnil","změnit","pf"," But Lanyon ’ s face changed, and he held up a trembling hand."," Ale Lanyon se ihned v tváři změnil a varovně pozdvihl třesoucí se ruku."
"wish","wish","nechci","chtít","impf"," „ I wish to see or hear no more of Dr Jekyll, ” he said, in a loud, unsteady voice."," "" Víckrát už Jekylla nechci vidět a nechci o něm slyšet, "" řekl hlučným, ale rozechvělým hlasem."
"see","see","vidět","vidět","impf"," „ I wish to see or hear no more of Dr Jekyll, ” he said, in a loud, unsteady voice."," "" Víckrát už Jekylla nechci vidět a nechci o něm slyšet, "" řekl hlučným, ale rozechvělým hlasem."
"wish","wish","nechci","chtít","impf"," „ I wish to see or hear no more of Dr Jekyll, ” he said, in a loud, unsteady voice."," "" Víckrát už Jekylla nechci vidět a nechci o něm slyšet, "" řekl hlučným, ale rozechvělým hlasem."
"hear","hear","slyšet","slyšet","impf"," „ I wish to see or hear no more of Dr Jekyll, ” he said, in a loud, unsteady voice."," "" Víckrát už Jekylla nechci vidět a nechci o něm slyšet, "" řekl hlučným, ale rozechvělým hlasem."
"said","say","řekl","říci","pf"," „ I wish to see or hear no more of Dr Jekyll, ” he said, in a loud, unsteady voice."," "" Víckrát už Jekylla nechci vidět a nechci o něm slyšet, "" řekl hlučným, ale rozechvělým hlasem."
"see","see","viděl","vidět","impf"," The lawyer, looking forth from the entry, could soon see what manner of man he had to deal with."," Advokát vyhlédl ze vrat a za chvíli už viděl, s kým má co do činění."
"sprang","spring","vyskočil","vyskočit","pf"," At sight of Mr Utterson, he sprang up from his chair and welcomed him with both hands."," Jakmile uviděl pana Uttersona, vyskočil ze židle a srdečně mu podal obě ruce."
"thought","think","pomyslil","pomyslit","pf"," “ Yes, ” he thought; ” he is a doctor, he must know his own state and that his days are counted; and the knowledge is more than he can bear. ”"," "" Vždyť je lékař, "" pomyslil si, "" musí tedy vědět, jaký je jeho stav, že jeho dny jsou sečteny - a to vědomí asi těžko snáší. """
"bear","bear","snáší","snášet","impf"," “ Yes, ” he thought; ” he is a doctor, he must know his own state and that his days are counted; and the knowledge is more than he can bear. ”"," "" Vždyť je lékař, "" pomyslil si, "" musí tedy vědět, jaký je jeho stav, že jeho dny jsou sečteny - a to vědomí asi těžko snáší. """
"declared","declare","prohlásil","prohlásit","pf"," And yet when Utterson remarked on his ill looks, it was with an air of great firmness that Lanyon declared himself a doomed man."," Jenže, když se Utterson Lanyonovi zmínil, jak vypadá špatně, ten prohlásil zcela odhodlaně, že mu vůbec není pomoci."
"touched","touch","dotkli","dotknout","pf"," “ Well, but since we have touched upon this business, and for the last time, I hope, ” continued the doctor, “ there is one point I should like you to understand."," "" Nu, když jsme se té věci už dotkli, a doufám naposled, "" pokračoval doktor, "" rád bych, abys pochopil jedno."
"hope","hope","doufám","doufat","impf"," “ Well, but since we have touched upon this business, and for the last time, I hope, ” continued the doctor, “ there is one point I should like you to understand."," "" Nu, když jsme se té věci už dotkli, a doufám naposled, "" pokračoval doktor, "" rád bych, abys pochopil jedno."
"continued","continue","pokračoval","pokračovat","impf"," “ Well, but since we have touched upon this business, and for the last time, I hope, ” continued the doctor, “ there is one point I should like you to understand."," "" Nu, když jsme se té věci už dotkli, a doufám naposled, "" pokračoval doktor, "" rád bych, abys pochopil jedno."
"understand","understand","pochopil","pochopit","pf"," “ Well, but since we have touched upon this business, and for the last time, I hope, ” continued the doctor, “ there is one point I should like you to understand."," "" Nu, když jsme se té věci už dotkli, a doufám naposled, "" pokračoval doktor, "" rád bych, abys pochopil jedno."
"told","tell","říkal","říkat","impf"," I know you have seen him; he told me so; and I fear he was rude."," Já vím, že jste se seznámili, říkal mi o tom, a obávám se, že se choval hrubě."
"fear","fear","obávám","obávat","impf"," I know you have seen him; he told me so; and I fear he was rude."," Já vím, že jste se seznámili, říkal mi o tom, a obávám se, že se choval hrubě."
"began","begin","začal","začít","pf"," Then he began slowly to mount the street, pausing every step or two, and putting his hand to his brow like a man in mental perplexity."," Potom začal zvolna odcházet uličkou, po každých dvou krocích se zastavoval a sahal si rukou na čelo jako zmámený."
"did","do","konal","konat","impf"," He was busy, he was much in the open air, he did good; his face seemed to open and brighten, as if with an inward consciousness of service; and for more than two months the doctor was at peace."," Měl hodně práce, pobýval hodně venku na vzduchu a konal dobré skutky, v obličeji jen kvetl, jako by se mu rozjasňoval vědomím vlastní prospěšnosti, a nejméně dva měsíce si žil v klidu."
"walk","walk","chodí","chodit","impf"," ’ so it will walk all day, sir, ” whispered Poole; “ ay, and the better part of the night."," "" A tak to tam chodí celý den, pane Uttersone, "" šeptl Poole, "" ba i skoro celou noc."
"comes","come","přijde","přijít","pf"," Only when a new sample comes from the chemist, there ’ s a bit of a break."," Jen když přijde z lékárny nějaký nový vzorek, pak to na chvilku přestane."
"prepared","prepare","připravil","připravit","pf"," I had long since prepared my tincture; I purchased at once, from a firm of wholesale chemists, a large quantity of a particular salt, which I knew, from my experiments, to be the last ingredient required; and, late one accursed night, I compounded the elements, watched them boil and smoke together in the glass, and when the ebullition had subsided, with a strong glow of courage, drank off the potion."," Už dávno jsem si připravil potřebný roztok - nakoupil jsem v jednom drogistickém velkoskladu značné množství určité chemikálie, o níž jsem se při svých pokusech přesvědčil, že je poslední nutnou přísadou, a jednoho proklatého večera jsem v pozdních hodinách ty součástky smíchal ve skleněném poháru, pozoroval jsem, jak přitom vrou a jak se z nich kouří, a když vření ustalo, s odvážným zápalem jsem tu kapalinu vypil."
"purchased","purchase","nakoupil","nakoupit","pf"," I had long since prepared my tincture; I purchased at once, from a firm of wholesale chemists, a large quantity of a particular salt, which I knew, from my experiments, to be the last ingredient required; and, late one accursed night, I compounded the elements, watched them boil and smoke together in the glass, and when the ebullition had subsided, with a strong glow of courage, drank off the potion."," Už dávno jsem si připravil potřebný roztok - nakoupil jsem v jednom drogistickém velkoskladu značné množství určité chemikálie, o níž jsem se při svých pokusech přesvědčil, že je poslední nutnou přísadou, a jednoho proklatého večera jsem v pozdních hodinách ty součástky smíchal ve skleněném poháru, pozoroval jsem, jak přitom vrou a jak se z nich kouří, a když vření ustalo, s odvážným zápalem jsem tu kapalinu vypil."
"compounded","compound","smíchal","smíchat","pf"," I had long since prepared my tincture; I purchased at once, from a firm of wholesale chemists, a large quantity of a particular salt, which I knew, from my experiments, to be the last ingredient required; and, late one accursed night, I compounded the elements, watched them boil and smoke together in the glass, and when the ebullition had subsided, with a strong glow of courage, drank off the potion."," Už dávno jsem si připravil potřebný roztok - nakoupil jsem v jednom drogistickém velkoskladu značné množství určité chemikálie, o níž jsem se při svých pokusech přesvědčil, že je poslední nutnou přísadou, a jednoho proklatého večera jsem v pozdních hodinách ty součástky smíchal ve skleněném poháru, pozoroval jsem, jak přitom vrou a jak se z nich kouří, a když vření ustalo, s odvážným zápalem jsem tu kapalinu vypil."
"watched","watch","pozoroval","pozorovat","impf"," I had long since prepared my tincture; I purchased at once, from a firm of wholesale chemists, a large quantity of a particular salt, which I knew, from my experiments, to be the last ingredient required; and, late one accursed night, I compounded the elements, watched them boil and smoke together in the glass, and when the ebullition had subsided, with a strong glow of courage, drank off the potion."," Už dávno jsem si připravil potřebný roztok - nakoupil jsem v jednom drogistickém velkoskladu značné množství určité chemikálie, o níž jsem se při svých pokusech přesvědčil, že je poslední nutnou přísadou, a jednoho proklatého večera jsem v pozdních hodinách ty součástky smíchal ve skleněném poháru, pozoroval jsem, jak přitom vrou a jak se z nich kouří, a když vření ustalo, s odvážným zápalem jsem tu kapalinu vypil."
