"breathe","breathe","dýchat","dýchat","impf"," Suddenly he had anonymous eyes on him and he could breathe again!"," Anonymní oči byly náhle všude s ním a on mohl zase dýchat!"
"bored","bore","nudí","nudit","impf"," He read out a long speech that bored even the few enthusiasts who had come to hear it."," Čte dlouhý projev, který nudí i těch několik nadšenců, kteří si ho přišli poslechnout."
"come","come","přišli","přijít","pf"," He read out a long speech that bored even the few enthusiasts who had come to hear it."," Čte dlouhý projev, který nudí i těch několik nadšenců, kteří si ho přišli poslechnout."
"stress","stress","podtrhl","podtrhnout","pf"," From time to time, to stress a point, he would raise his index finger, as if threatening the audience."," Občas, aby podtrhl myšlenku, zvedne ukazovák, jako by lidem v sále hrozil."
"raise","raise","zvedne","zvednout","pf"," From time to time, to stress a point, he would raise his index finger, as if threatening the audience."," Občas, aby podtrhl myšlenku, zvedne ukazovák, jako by lidem v sále hrozil."
"threatening","threaten","hrozil","hrozit","impf"," From time to time, to stress a point, he would raise his index finger, as if threatening the audience."," Občas, aby podtrhl myšlenku, zvedne ukazovák, jako by lidem v sále hrozil."
"heard","hear","uslyšel","uslyšet","pf"," When the distinguished émigré heard from the lips of a painter whose pictures he had never seen that he resembled Communist President Novotny, he turned scarlet, then white, then scarlet again, then white once more; he tried to say something, did not succeed, and fell silent."," Když zasloužilý emigrant uslyšel z úst malířky, jejíž obrazy nikdy neviděl, že se podobá komunistickému prezidentovi Novotnému, zbrunátněl, zbledl, ještě jednou zbrunátněl, ještě jednou zbledl, neřekl nic a odmlčel se."
"seen","see","neviděl","vidět","impf"," When the distinguished émigré heard from the lips of a painter whose pictures he had never seen that he resembled Communist President Novotny, he turned scarlet, then white, then scarlet again, then white once more; he tried to say something, did not succeed, and fell silent."," Když zasloužilý emigrant uslyšel z úst malířky, jejíž obrazy nikdy neviděl, že se podobá komunistickému prezidentovi Novotnému, zbrunátněl, zbledl, ještě jednou zbrunátněl, ještě jednou zbledl, neřekl nic a odmlčel se."
"resembled","resemble","podobá","podobat","impf"," When the distinguished émigré heard from the lips of a painter whose pictures he had never seen that he resembled Communist President Novotny, he turned scarlet, then white, then scarlet again, then white once more; he tried to say something, did not succeed, and fell silent."," Když zasloužilý emigrant uslyšel z úst malířky, jejíž obrazy nikdy neviděl, že se podobá komunistickému prezidentovi Novotnému, zbrunátněl, zbledl, ještě jednou zbrunátněl, ještě jednou zbledl, neřekl nic a odmlčel se."
"say","say","neřekl","říci","pf"," When the distinguished émigré heard from the lips of a painter whose pictures he had never seen that he resembled Communist President Novotny, he turned scarlet, then white, then scarlet again, then white once more; he tried to say something, did not succeed, and fell silent."," Když zasloužilý emigrant uslyšel z úst malířky, jejíž obrazy nikdy neviděl, že se podobá komunistickému prezidentovi Novotnému, zbrunátněl, zbledl, ještě jednou zbrunátněl, ještě jednou zbledl, neřekl nic a odmlčel se."
"left","leave","odešla","odejít","pf"," Everyone else kept silent until Sabina stood up and left."," Všichni mlčeli spolu s ním, až se Sabina konečně zvedla a odešla."
"seek","seek","hledají","hledat","impf"," The obsession of the former is lyrical : what they seek in women is themselves, their ideal, and since an ideal is by definition something that can never be found, they are disappointed again and again."," Posedlost těch prvních je lyrická : hledají v ženách sami sebe, svůj ideál a jsou stále znovu a znovu zklamáni, protože ideál je, jak známo, to, co se najít nikdy nedá."
"disappointed","disappoint","zklamáni","zklamat","pf"," The obsession of the former is lyrical : what they seek in women is themselves, their ideal, and since an ideal is by definition something that can never be found, they are disappointed again and again."," Posedlost těch prvních je lyrická : hledají v ženách sami sebe, svůj ideál a jsou stále znovu a znovu zklamáni, protože ideál je, jak známo, to, co se najít nikdy nedá."
"found","find","najít","najít","pf"," The obsession of the former is lyrical : what they seek in women is themselves, their ideal, and since an ideal is by definition something that can never be found, they are disappointed again and again."," Posedlost těch prvních je lyrická : hledají v ženách sami sebe, svůj ideál a jsou stále znovu a znovu zklamáni, protože ideál je, jak známo, to, co se najít nikdy nedá."
"propels","propel","žene","hnát","impf"," The disappointment that propels them from woman to woman gives their inconstancy a kind of romantic excuse, so that many sentimental women are touched by their unbridled philandering."," Zklamání, které je žene od ženy k ženě, dává jejich nestálosti jakousi romantickou omluvu, takže mnohé sentimentální dámy jsou s to být jejich urputnou polygamností dojaty."
"gives","give","dává","dávat","impf"," The disappointment that propels them from woman to woman gives their inconstancy a kind of romantic excuse, so that many sentimental women are touched by their unbridled philandering."," Zklamání, které je žene od ženy k ženě, dává jejich nestálosti jakousi romantickou omluvu, takže mnohé sentimentální dámy jsou s to být jejich urputnou polygamností dojaty."
"touched","touch","dojaty","dojmout","pf"," The disappointment that propels them from woman to woman gives their inconstancy a kind of romantic excuse, so that many sentimental women are touched by their unbridled philandering."," Zklamání, které je žene od ženy k ženě, dává jejich nestálosti jakousi romantickou omluvu, takže mnohé sentimentální dámy jsou s to být jejich urputnou polygamností dojaty."
"touching","touch","dotkne","dotknout","pf"," Even though it was your own personal, beloved arm, you would be horrified at the possibility of its touching you!"," Přes to, že by to byla vaše důvěrně známá vlastní ruka, měli byste hrůzu z toho, že se vás dotkne!"
"written","write","napsat","napsat","pf"," And since dissertations can be written about everything under the sun, the number of topics is infinite."," Témat je nekonečné množství, protože o všem na světě je možno napsat pojednání."
"means","mean","znamená","znamenat","impf"," That 's why one banned book in your former country means infinitely more than the billions of words spewed out by our universities. '"," To je důvod, proč ti říkám, že jedna zakázaná kniha ve tvé bývalé vlasti znamená nekonečně víc než miliardy slov, které chrlí naše university. """
"riding","ride","jel","jet","impf"," Sabina was riding Franz and had betrayed Franz."," Franz jel na Sabině a zrazoval svou ženu, Sabina jela na Franzovi a zrazovala Franze."
"riding","ride","jela","jet","impf"," Sabina was riding Franz and had betrayed Franz."," Franz jel na Sabině a zrazoval svou ženu, Sabina jela na Franzovi a zrazovala Franze."
"seen","see","viděl","vidět","impf"," For twenty years he had seen his mother - a poor, weak creature who needed his protection - in his wife."," Po víc než dvacet let viděl ve své ženě svou matku, slabou bytost, kterou je třeba chránit;"
"rid","rid","zbavit","zbavit","pf"," This image was deeply rooted in him, and he could not rid himself of it in two days."," ta představa v něm byla příliš zakořeněna, než aby se jí mohl zbavit během dvou dnů."
"help","help","pomoci","pomoci","pf"," Since I ca n't cope with her by myself, you must help me. '"," Když na ni nestačím já sám, musíš mi pomoci. """
"make","make","udělat","udělat","pf"," But even with Karenin 's help Tomas failed to make her happy."," Ale ani s Kareninovou pomocí se mu ji nepodařilo udělat šťastnou."
"occupied","occupy","obsadily","obsadit","pf"," He became aware of his failure some years later, on approximately the tenth day after his country was occupied by Russian tanks."," Uvědomil si to asi desátého dne poté, co jeho zemi obsadily ruské tanky."
"reducing","reduce","Zredukovali","zredukovat","pf"," What were these two trying to make him swallow, reducing his whole life to a single small idea about Oedipus or even less : to a single primitive ' no! ' in the face of the regime."," Zredukovali jeho život na jednu malou myšlenku o Oidipovi a vlastně na něco ještě menšího : na jedno primitivní "" ne! "", které řekl do tváře režimu."
"asked","ask","zeptat","zeptat","pf"," Of course he could have come out and asked him what kind of relationship he had with his mother, but he felt that it would have been tactless in the presence of a third party."," Mohl se ho teď ovšem zeptat přímo, jaké jsou jeho vztahy s matkou, ale zdálo se mu to netaktní v přítomnosti cizího člověka."
"came","come","přešel","přejít","pf"," At last the editor came to the point."," Konečně přešel redaktor k jádru věci."
"want","want","chcete","chtít","impf"," ' What is it you want to do? ' asked Tomas."," "" Co chcete udělat? "" ptal se Tomáš."
"do","do","udělat","udělat","pf"," ' What is it you want to do? ' asked Tomas."," "" Co chcete udělat? "" ptal se Tomáš."
"asked","ask","ptal","ptát","impf"," ' What is it you want to do? ' asked Tomas."," "" Co chcete udělat? "" ptal se Tomáš."
"lay","lie","ležel","ležet","impf"," The camera lay directly in front of her on the cupboard floor, but she would not bend to pick it up."," Aparát ležel před ní na dně skříně, ale neshýbla se k němu :"
"take","take","Nevezmu","vzít","pf"," ' I wo n't take it along."," "" Nevezmu ho."
"think","think","myslit","myslit","impf"," I refuse to think about losing Karenin."," Nechci myslit na to, že Karenin nebude."
"said","say","řekl","říci","pf"," ' I 'm sorry, ' said Tomas."," "" Nezlob se, "" řekl Tomáš."
"said","say","řekla","říci","pf"," ' That 's all right, ' said Tereza mildly."," "" Já se nezlobím, "" řekla Tereza mírně."
"catch","catch","přistihla","přistihnout","pf"," ' I catch myself thinking about him in the past tense all the time."," "" Já už jsem se tolikrát přistihla, že na něho myslím v minulém čase."
"thinking","think","myslím","myslet","impf"," ' I catch myself thinking about him in the past tense all the time."," "" Já už jsem se tolikrát přistihla, že na něho myslím v minulém čase."
"saw","see","viděl","vidět","impf"," When he saw a woman in her clothes, he could naturally imagine more or less what she would look like naked ( his experience as a doctor supplementing his experience as a lover ), but between the approximation of the idea and the precision of reality there was a small gap of the unimaginable, and it was this hiatus that gave him no rest."," Když viděl ženu v šatech, uměl si ovšem přibližně představit, jak bude vypadat nahá ( zde jeho zkušenost lékaře doplňovala ještě zkušenost milence ), ale mezi přibližností představy a přesností skutečnosti zůstávala malá mezera nepředstavitelného a ta ho nenechávala v klidu."
"imagine","imagine","představit","představit","pf"," When he saw a woman in her clothes, he could naturally imagine more or less what she would look like naked ( his experience as a doctor supplementing his experience as a lover ), but between the approximation of the idea and the precision of reality there was a small gap of the unimaginable, and it was this hiatus that gave him no rest."," Když viděl ženu v šatech, uměl si ovšem přibližně představit, jak bude vypadat nahá ( zde jeho zkušenost lékaře doplňovala ještě zkušenost milence ), ale mezi přibližností představy a přesností skutečnosti zůstávala malá mezera nepředstavitelného a ta ho nenechávala v klidu."
"supplementing","supplement","doplňovala","doplňovat","impf"," When he saw a woman in her clothes, he could naturally imagine more or less what she would look like naked ( his experience as a doctor supplementing his experience as a lover ), but between the approximation of the idea and the precision of reality there was a small gap of the unimaginable, and it was this hiatus that gave him no rest."," Když viděl ženu v šatech, uměl si ovšem přibližně představit, jak bude vypadat nahá ( zde jeho zkušenost lékaře doplňovala ještě zkušenost milence ), ale mezi přibližností představy a přesností skutečnosti zůstávala malá mezera nepředstavitelného a ta ho nenechávala v klidu."
"accustomed","accustom","zvyknou","zvyknout","pf"," When parents live with their children through childhood, they grow accustomed to that kind of similarity; it seems trivial to them or, if they stop and think about it, amusing."," Když žijí rodiče s dětmi od dětství, tak si na takovou podobnost zvyknou, připadá jim banální a pokud si ji čas od času uvědomí, může se jim zdát zábavná."
"seems","seem","zdát","zdát","impf"," When parents live with their children through childhood, they grow accustomed to that kind of similarity; it seems trivial to them or, if they stop and think about it, amusing."," Když žijí rodiče s dětmi od dětství, tak si na takovou podobnost zvyknou, připadá jim banální a pokud si ji čas od času uvědomí, může se jim zdát zábavná."
"think","think","zdát","zdát","impf"," When parents live with their children through childhood, they grow accustomed to that kind of similarity; it seems trivial to them or, if they stop and think about it, amusing."," Když žijí rodiče s dětmi od dětství, tak si na takovou podobnost zvyknou, připadá jim banální a pokud si ji čas od času uvědomí, může se jim zdát zábavná."
"talking","talk","mluvil","mluvit","impf"," But Tomas was talking to his son for the first time in his life!"," Ale Tomáš mluvil se svým synem poprvé v životě!"
"sitting","sit","sedět","sedět","impf"," He was not used to sitting face to face with his own asymmetrical mouth!"," Nebyl zvyklý sedět proti vlastnímu zkřivenému rtu!"
"Imagine","imagine","Představte","představit","pf"," Imagine having an arm amputated and implanted on someone else."," Představte si, že by vám amputovali ruku a transplantovali ji na jiného člověka."
"sitting","sit","seděl","sedět","impf"," Imagine that person sitting opposite you and gesticulating with it in your face."," Ten člověk by pak seděl proti vám a tou rukou gestikuloval ve vaší těsné blízkosti."
"left","leave","odešel","odejít","pf"," ' Well, I do n't feel at all like fighting. ' And he left."," Nemám nejmenší chuť bojovat, "" řekl Franz a odešel."
"asked","ask","zeptal","zeptat","pf"," If someone had asked her what had come over her, she would have been hard pressed to find words for it."," Kdyby se jí někdo zeptal, co se jí stalo, nenašla by pro to slov."
"find","find","nenašla","najít","pf"," If someone had asked her what had come over her, she would have been hard pressed to find words for it."," Kdyby se jí někdo zeptal, co se jí stalo, nenašla by pro to slov."
"give","give","dá","dát","pf"," When we want to give expression to a dramatic situation in our lives, we tend to use metaphors of heaviness."," Životní drama se dá vždycky vyjádřit metaforou tíže."
"give","give","vyjádřit","vyjádřit","pf"," When we want to give expression to a dramatic situation in our lives, we tend to use metaphors of heaviness."," Životní drama se dá vždycky vyjádřit metaforou tíže."
"celebrating","celebrate","oslavují","oslavovat","impf"," The women, overjoyed by their sameness, their lack of diversity, were, in fact, celebrating their imminent demise, which would render their sameness absolute."," Ženy, které se radují nad svou stejností a nerozlišeností, oslavují vlastně svou budoucí smrt, která učiní jejich stejnost absolutní."
"render","render","učiní","učinit","pf"," The women, overjoyed by their sameness, their lack of diversity, were, in fact, celebrating their imminent demise, which would render their sameness absolute."," Ženy, které se radují nad svou stejností a nerozlišeností, oslavují vlastně svou budoucí smrt, která učiní jejich stejnost absolutní."
"sank","sink","klesala","klesat","impf"," After every report of his pistol, they burst into joyous laughter, and as each corpse sank beneath the surface, they sang even louder."," Proto po každé ráně z pistole se začaly radostně smát a zatímco mrtvola klesala pod hladinu, ony ještě zesílily svůj zpěv."
"shoot","shoot","střílel","střílet","impf"," But why was Tomas the one doing the shooting? And why was he out to shoot Tereza with the rest of them?"," A proč to byl právě Tomáš, kdo střílel, a proč chtěl zastřelit i Terezu?"
"shoot","shoot","zastřelit","zastřelit","pf"," But why was Tomas the one doing the shooting? And why was he out to shoot Tereza with the rest of them?"," A proč to byl právě Tomáš, kdo střílel, a proč chtěl zastřelit i Terezu?"
"spend","spend","strávil","strávit","pf"," Franz 's friend from the Sorbonne suggested they spend the evening together, but he preferred to be alone."," Přítel ze Sorbonny zval Franze, aby s ním strávil večer, ale on chtěl zůstat sám."
"thinking","think","myslil","myslit","impf"," He kept thinking about Sabina, feeling her eyes on him. Whenever he felt her long stare, he began to doubt himself : he had never known quite what Sabina thought."," Pořád myslil na Sabinu a cítil na sobě její dlouhý pohled, pod nímž vždycky začal pochybovat sám o sobě, protože nevěděl, co si Sabina opravdu myslí."
"thought","think","myslil","myslit","impf"," He kept thinking about Sabina, feeling her eyes on him. Whenever he felt her long stare, he began to doubt himself : he had never known quite what Sabina thought."," Pořád myslil na Sabinu a cítil na sobě její dlouhý pohled, pod nímž vždycky začal pochybovat sám o sobě, protože nevěděl, co si Sabina opravdu myslí."
"feeling","feel","cítil","cítit","impf"," He kept thinking about Sabina, feeling her eyes on him. Whenever he felt her long stare, he began to doubt himself : he had never known quite what Sabina thought."," Pořád myslil na Sabinu a cítil na sobě její dlouhý pohled, pod nímž vždycky začal pochybovat sám o sobě, protože nevěděl, co si Sabina opravdu myslí."
"felt","feel","cítil","cítit","impf"," He kept thinking about Sabina, feeling her eyes on him. Whenever he felt her long stare, he began to doubt himself : he had never known quite what Sabina thought."," Pořád myslil na Sabinu a cítil na sobě její dlouhý pohled, pod nímž vždycky začal pochybovat sám o sobě, protože nevěděl, co si Sabina opravdu myslí."
"began","begin","začal","začít","pf"," He kept thinking about Sabina, feeling her eyes on him. Whenever he felt her long stare, he began to doubt himself : he had never known quite what Sabina thought."," Pořád myslil na Sabinu a cítil na sobě její dlouhý pohled, pod nímž vždycky začal pochybovat sám o sobě, protože nevěděl, co si Sabina opravdu myslí."
"doubt","doubt","pochybovat","pochybovat","impf"," He kept thinking about Sabina, feeling her eyes on him. Whenever he felt her long stare, he began to doubt himself : he had never known quite what Sabina thought."," Pořád myslil na Sabinu a cítil na sobě její dlouhý pohled, pod nímž vždycky začal pochybovat sám o sobě, protože nevěděl, co si Sabina opravdu myslí."
"thinking","think","myslí","myslet","impf"," He kept thinking about Sabina, feeling her eyes on him. Whenever he felt her long stare, he began to doubt himself : he had never known quite what Sabina thought."," Pořád myslil na Sabinu a cítil na sobě její dlouhý pohled, pod nímž vždycky začal pochybovat sám o sobě, protože nevěděl, co si Sabina opravdu myslí."
"thought","think","myslí","myslet","impf"," He kept thinking about Sabina, feeling her eyes on him. Whenever he felt her long stare, he began to doubt himself : he had never known quite what Sabina thought."," Pořád myslil na Sabinu a cítil na sobě její dlouhý pohled, pod nímž vždycky začal pochybovat sám o sobě, protože nevěděl, co si Sabina opravdu myslí."
"woke","wake","vzbudil","vzbudit","pf"," When he woke up the next morning, he found Tereza, who was still asleep, holding his hand."," Ráno se vzbudil a zjistil, že Tereza, která ještě spala, ho drží za ruku."
"found","find","zjistil","zjistit","pf"," When he woke up the next morning, he found Tereza, who was still asleep, holding his hand."," Ráno se vzbudil a zjistil, že Tereza, která ještě spala, ho drží za ruku."
"holding","hold","drží","držet","impf"," When he woke up the next morning, he found Tereza, who was still asleep, holding his hand."," Ráno se vzbudil a zjistil, že Tereza, která ještě spala, ho drží za ruku."
"breathed","breathe","Dýchala","dýchat","impf"," And while she breathed the deep breath of sleep and held his hand ( firmly : he was unable to disengage it from her grip ), the enormously heavy suitcase stood by the bed."," Dýchala hluboce ze spánku, držela ho za ruku ( pevně, nebyl s to se vymanit z toho sevřeni ) a nesmírně těžký kufr stál vedle gauče."
"held","hold","držela","držet","impf"," And while she breathed the deep breath of sleep and held his hand ( firmly : he was unable to disengage it from her grip ), the enormously heavy suitcase stood by the bed."," Dýchala hluboce ze spánku, držela ho za ruku ( pevně, nebyl s to se vymanit z toho sevřeni ) a nesmírně těžký kufr stál vedle gauče."
"loosening","loosen","uvolnit","uvolnit","pf"," He refrained from loosening his hand from her grip for fear of waking her, and turned carefully on his side to observe her better."," Bál se uvolnit ruku z jejího sevřeni, aby ji neprobudil, a jen velmi opatrně se obrátil na bok, aby ji mohl lépe pozorovat."
"waking","wake","neprobudil","probudit","pf"," He refrained from loosening his hand from her grip for fear of waking her, and turned carefully on his side to observe her better."," Bál se uvolnit ruku z jejího sevřeni, aby ji neprobudil, a jen velmi opatrně se obrátil na bok, aby ji mohl lépe pozorovat."
"turned","turn","obrátil","obrátit","pf"," He refrained from loosening his hand from her grip for fear of waking her, and turned carefully on his side to observe her better."," Bál se uvolnit ruku z jejího sevřeni, aby ji neprobudil, a jen velmi opatrně se obrátil na bok, aby ji mohl lépe pozorovat."
"observe","observe","pozorovat","pozorovat","impf"," He refrained from loosening his hand from her grip for fear of waking her, and turned carefully on his side to observe her better."," Bál se uvolnit ruku z jejího sevřeni, aby ji neprobudil, a jen velmi opatrně se obrátil na bok, aby ji mohl lépe pozorovat."
"leaving","leave","opustit","opustit","pf"," ' You 've been out there risking your life for this country. How can you be so nonchalant about leaving it? '"," "" Když jsem tě viděl, jak jsi byla s to riskovat život kvůli této zemi, jak je to možné, že bys ji teď mohla opustit? """
"changed","change","změnilo","změnit","pf"," ' Now that Dubček is back, things have changed, ' said Tereza."," "" Od té doby, co se Dubček vrátil, všechno se změnilo, "" řekla Tereza."
"said","say","řekla","říci","pf"," ' Now that Dubček is back, things have changed, ' said Tereza."," "" Od té doby, co se Dubček vrátil, všechno se změnilo, "" řekla Tereza."
"lasted","last","trvala","trvat","impf"," It was true : the general euphoria lasted no longer than the first week."," Byla to pravda : ta všeobecná euforie trvala jen prvních sedm dnů okupace."
"thought","think","Nemyslil","myslit","impf"," He thought of nothing else for several days."," Nemyslil několik dnů než na to."
"began","begin","začali","začít","pf"," Then they timidly ventured a few more looks upward and began to smile slightly."," Pak se ještě několikrát nesměle podívali vzhůru a začali se usmívat."
"smile","smile","usmívat","usmívat","impf"," Then they timidly ventured a few more looks upward and began to smile slightly."," Pak se ještě několikrát nesměle podívali vzhůru a začali se usmívat."
"filled","fill","Naplňovala","naplňovat","impf"," They were filled with a strange pride, a pride they had never known before : the flag they were carrying had been consecrated by blood."," Naplňovala je zvláštní a dosud nepoznaná pýcha, že prapor, který nesou, je posvěcen krví."
"carrying","carry","nesou","nést","impf"," They were filled with a strange pride, a pride they had never known before : the flag they were carrying had been consecrated by blood."," Naplňovala je zvláštní a dosud nepoznaná pýcha, že prapor, který nesou, je posvěcen krví."
"formed","form","tvořila","tvořit","impf"," The border was formed by a small river; but because a long wall, six feet high and lined with sandbags to protect Thai sharpshooters, ran alongside it, it was invisible."," Hranici tvořila malá říčka, ale nebylo ji vidět, protože se podél ní táhla dlouhá zeď, vysoká půldruhého metru, na které byly položeny pytle s pískem pro tajlandské střelce."
"wanted","want","Chtěl","chtít","impf"," He wanted them to send immediately for the girl with the glasses."," Chtěl, aby dali okamžitě zprávu studentce s velikými brýlemi."
"wanted","want","Chtěl","chtít","impf"," He wanted to shout that he could n't stand having anyone but her at his side."," Chtěl křičet, že u sebe nesnese nikoho jiného než ji."
"shout","shout","křičet","křičet","impf"," He wanted to shout that he could n't stand having anyone but her at his side."," Chtěl křičet, že u sebe nesnese nikoho jiného než ji."
"stand","stand","nesnese","snést","pf"," He wanted to shout that he could n't stand having anyone but her at his side."," Chtěl křičet, že u sebe nesnese nikoho jiného než ji."
"speak","speak","mluvit","mluvit","impf"," But he realized with horror that he could not speak."," Ale zjistil s hrůzou, že nemůže mluvit."
"looked","look","Díval","dívat","impf"," He looked up at Marie-Claude with infinite hatred and tried to turn away from her."," Díval se na Marii - Claude s nekonečnou nenávistí a chtěl se od ní odvrátit ke zdi."
"turn","turn","odvrátit","odvrátit","pf"," He looked up at Marie-Claude with infinite hatred and tried to turn away from her."," Díval se na Marii - Claude s nekonečnou nenávistí a chtěl se od ní odvrátit ke zdi."
"move","move","pohnout","pohnout","pf"," But he could not move his body."," Ale nemohl pohnout tělem."
"move","move","hýbat","hýbat","impf"," No, he could not even move his head."," Ale ani hlavou nemohl hýbat."
"closed","close","zavřel","zavřít","pf"," He closed his eyes so as not to see her."," Proto zavřel oči, aby ji neviděl."
"see","see","neviděl","vidět","impf"," He closed his eyes so as not to see her."," Proto zavřel oči, aby ji neviděl."
"said","say","řekl","říci","pf"," ' I know she 's always pretty, ' said the young man, ' but today she has such pretty clothes on, too."," "" Já vím, že je vždycky krásná, "" řekl mladík, "" ale dnes se také krásně oblékla."
"seen","see","vidět","vidět","impf"," I 've never seen you in that dress."," Nikdy vás nebylo vidět v těchhle šatech."
"responded","respond","odpověděl","odpovědět","pf"," After a short while, the dog responded with some yelps of his own."," V tu chvíli pes odpověděl pánovi svým vrčením."
"wanted","want","chtěli","chtít","impf"," Those yelps were Karenin 's smile, and they wanted it to last as long as possible."," To zavrčení bylo Kareninův úsměv a oni chtěli, aby ten úsměv trval co nejdéle."
"last","last","trval","trvat","impf"," Those yelps were Karenin 's smile, and they wanted it to last as long as possible."," To zavrčení bylo Kareninův úsměv a oni chtěli, aby ten úsměv trval co nejdéle."
"looked","look","Dívala","dívat","impf"," When Tereza looked at Tomas, her eyes went not to his eyes but to a point three or four inches higher, to his hair, which gave off the aroma of other women 's groins."," Dívala se na Tomáše, ale její pohled nemířil do jeho očí nýbrž o deset centimetrů výš, do jeho vlasů, které voněly cizím klínem."
"went","go","nemířil","mířit","impf"," When Tereza looked at Tomas, her eyes went not to his eyes but to a point three or four inches higher, to his hair, which gave off the aroma of other women 's groins."," Dívala se na Tomáše, ale její pohled nemířil do jeho očí nýbrž o deset centimetrů výš, do jeho vlasů, které voněly cizím klínem."
"complain","complain","stěžovat","stěžovat","impf"," I know I should n't complain."," Já vím, že si nesmím stěžovat."
"forbidden","forbid","zakázala","zakázat","pf"," Ever since you came back to Prague for me, I 've forbidden myself to be jealous."," Od té doby, co jsi se vrátil kvůli mně do Prahy, zakázala jsem si žárlit."
"want","want","Nechci","chtít","impf"," I do n't want to be jealous. I suppose I 'm just not strong enough to stand up to it."," Nechci žárlit, ale nejsem dost silná, abych se tomu ubránila."
"need","need","potřebovali","potřebovat","impf"," He might need some shots of cactuses and roses and things. '"," Možná že by tam potřebovali fotky kaktusů, růží a tak. """
"Thank","thank","děkuji","děkovat","impf"," ' Thank you very much, ' Tereza said sincerely, because it was clear that the woman sitting opposite her was full of good will."," Moc vám děkuji, "" řekla Tereza upřímně, protože viděla, ze žena naproti ní je plna ochoty."
"said","say","řekla","říci","pf"," ' Thank you very much, ' Tereza said sincerely, because it was clear that the woman sitting opposite her was full of good will."," Moc vám děkuji, "" řekla Tereza upřímně, protože viděla, ze žena naproti ní je plna ochoty."
"said","say","řekla","říci","pf"," But then she said to herself, Why take pictures of cactuses?"," Ale pak si řekla : proč bych měla fotografovat kaktusy?"
"Recalling","recall","vzpomněla","vzpomenout","pf"," Recalling the book she had held in her hand there, she had a sudden flash of insight that made her cheeks bum red."," Když si teď vzpomněla na knihu, kterou tam držela v ruce, něco si náhle uvědomila a zrudly ji tváře :"
"held","hold","držela","držet","impf"," Recalling the book she had held in her hand there, she had a sudden flash of insight that made her cheeks bum red."," Když si teď vzpomněla na knihu, kterou tam držela v ruce, něco si náhle uvědomila a zrudly ji tváře :"
"announced","announce","prohlásil","prohlásit","pf"," The engineer announced he would bring in some coffee."," Inženýr prohlásil, že přinese kávu."
"bring","bring","přinese","přinést","pf"," The engineer announced he would bring in some coffee."," Inženýr prohlásil, že přinese kávu."
"returned","return","vracela","vracet","impf"," Again and again she returned to that situation : how long was he away when he went for the coffee?"," Znovu a znovu se k té situaci vracela :"
"marched","march","Pochodovala","pochodovat","impf"," While she marched around the pool naked with a large group of other women, Tomas stood over them in a basket hanging from the pool 's arched roof, shouting at them, making them sing and do knee-bends."," Pochodovala kolem bazénu nahá se spoustou jiných nahých žen, Tomáš byl nahoře v koši zavěšeném pod klenbou plovárny, křičel na ně, nutil je zpívat a dělat dřepy."
