"say","say","řekl","říci","pf"," What else can I say about them?"," Co bych o nich ještě řekl?"
"push","push","snaží","snažit","impf"," The brutality, the aggressivity, the exaggerations which some of the creators in today 's small theatres use to try to break through the vicious circle of alienated human existence, to touch something authentic, can very easily push them right to the threshold of the ridiculous, simply because they are the result of a “ short circuit ”."," Brutalita, agresívnost, extatičnost a podobné věci, jimiž se snaží někteří tvůrci dnešních malých divadel prorazit bludný kruh odcizené lidské existence a dotknout se něčeho autentického, je mohou velmi snadno uvrhnout na sám práh směšnosti prostě proto, že jsou výsledkem "" krátkého spojení ""."
"break","break","prorazit","prorazit","pf"," The brutality, the aggressivity, the exaggerations which some of the creators in today 's small theatres use to try to break through the vicious circle of alienated human existence, to touch something authentic, can very easily push them right to the threshold of the ridiculous, simply because they are the result of a “ short circuit ”."," Brutalita, agresívnost, extatičnost a podobné věci, jimiž se snaží někteří tvůrci dnešních malých divadel prorazit bludný kruh odcizené lidské existence a dotknout se něčeho autentického, je mohou velmi snadno uvrhnout na sám práh směšnosti prostě proto, že jsou výsledkem "" krátkého spojení ""."
"touch","touch","dotknout","dotknout","pf"," The brutality, the aggressivity, the exaggerations which some of the creators in today 's small theatres use to try to break through the vicious circle of alienated human existence, to touch something authentic, can very easily push them right to the threshold of the ridiculous, simply because they are the result of a “ short circuit ”."," Brutalita, agresívnost, extatičnost a podobné věci, jimiž se snaží někteří tvůrci dnešních malých divadel prorazit bludný kruh odcizené lidské existence a dotknout se něčeho autentického, je mohou velmi snadno uvrhnout na sám práh směšnosti prostě proto, že jsou výsledkem "" krátkého spojení ""."
"skipped","skip","přeskočit","přeskočit","pf"," But no phase can just be skipped over; modern man must descend the spiral of his own absurdity to the lowest point; only then can he look beyond it."," Zdá se mi, že žádnou fázi nelze přeskočit a že moderní člověk musí obkroužit spirálu vlastní absurdity až k jejímu nejhlubšímu bodu, aby mohl pohlédnout za ni;"
"look","look","pohlédnout","pohlédnout","pf"," But no phase can just be skipped over; modern man must descend the spiral of his own absurdity to the lowest point; only then can he look beyond it."," Zdá se mi, že žádnou fázi nelze přeskočit a že moderní člověk musí obkroužit spirálu vlastní absurdity až k jejímu nejhlubšímu bodu, aby mohl pohlédnout za ni;"
"wrote","write","napsal","napsat","pf"," As Ivan Jirous wrote about Temptation : the hope in the play lies in the observation that you ca n't make a pact with the devil."," Jak napsal Jirous o Pokoušení : naděje té hry je v poznatku, že s ďáblem se paktovat nelze."
"make","make","učinit","učinit","pf"," But this is an observation the viewer must make himself - I can only help him to come to that conclusion by demonstrating what happens when you do make a pact with the devil."," Ten poznatek musí ovšem učinit divák - já mu k němu pomohu jen tím, že mu předvedu, jak to dopadá, když se člověk s ďáblem paktuje."
"come","come","učinit","učinit","pf"," But this is an observation the viewer must make himself - I can only help him to come to that conclusion by demonstrating what happens when you do make a pact with the devil."," Ten poznatek musí ovšem učinit divák - já mu k němu pomohu jen tím, že mu předvedu, jak to dopadá, když se člověk s ďáblem paktuje."
"do","do","učinit","učinit","pf"," But this is an observation the viewer must make himself - I can only help him to come to that conclusion by demonstrating what happens when you do make a pact with the devil."," Ten poznatek musí ovšem učinit divák - já mu k němu pomohu jen tím, že mu předvedu, jak to dopadá, když se člověk s ďáblem paktuje."
"make","make","učinit","učinit","pf"," But this is an observation the viewer must make himself - I can only help him to come to that conclusion by demonstrating what happens when you do make a pact with the devil."," Ten poznatek musí ovšem učinit divák - já mu k němu pomohu jen tím, že mu předvedu, jak to dopadá, když se člověk s ďáblem paktuje."
"help","help","pomohu","pomoci","pf"," But this is an observation the viewer must make himself - I can only help him to come to that conclusion by demonstrating what happens when you do make a pact with the devil."," Ten poznatek musí ovšem učinit divák - já mu k němu pomohu jen tím, že mu předvedu, jak to dopadá, když se člověk s ďáblem paktuje."
"demonstrating","demonstrate","předvedu","předvést","pf"," But this is an observation the viewer must make himself - I can only help him to come to that conclusion by demonstrating what happens when you do make a pact with the devil."," Ten poznatek musí ovšem učinit divák - já mu k němu pomohu jen tím, že mu předvedu, jak to dopadá, když se člověk s ďáblem paktuje."
"do","do","předvedu","předvést","pf"," But this is an observation the viewer must make himself - I can only help him to come to that conclusion by demonstrating what happens when you do make a pact with the devil."," Ten poznatek musí ovšem učinit divák - já mu k němu pomohu jen tím, že mu předvedu, jak to dopadá, když se člověk s ďáblem paktuje."
"repeat","repeat","Opakuji","opakovat","impf"," I repeat what Glucksmann said : our mission is to warn, to predict horrors, to see clearly what is evil."," Opakuji Glucksmanna : naším posláním je varovat, věštit hrůzy, jasnozřivě poznávat, co je zlé."
"warn","warn","varovat","varovat","impf"," I repeat what Glucksmann said : our mission is to warn, to predict horrors, to see clearly what is evil."," Opakuji Glucksmanna : naším posláním je varovat, věštit hrůzy, jasnozřivě poznávat, co je zlé."
"took","take","nepřijímal","přijímat","impf"," I took part in secret masses in prison, but I did n't take communion."," Ve vězení jsem se účastnil tajných mší, ale nepřijímal jsem."
"take","take","nepřijímal","přijímat","impf"," I took part in secret masses in prison, but I did n't take communion."," Ve vězení jsem se účastnil tajných mší, ale nepřijímal jsem."
"mean","mean","neznamená","znamenat","impf"," Just because most of them did not end up as political functionaries does not mean that they did not have power."," Jestli se většina z nich nedala plně na funkcionářskou dráhu, neznamená to, že by moc neměli."
"open","open","otevřít","otevřít","pf"," That was why I tried to open the question of exile."," Proto jsem tehdy chtěl téma exilu otevřít."
"see","see","Pozoruji","pozorovat","impf"," But I see I 've got away from your original question."," Pozoruji však, že jsem dost odbočil od vaší původní otázky -"
"met","meet","Setkal","setkat","pf"," You met with Ferdinand Peroutka."," Setkal jste se s Ferdinandem Peroutkou."
"compare","compare","Srovnáváme","srovnávat","impf"," If we compare how society behaves now, how it expresses itself, what it dares to do - or, rather, what a significant minority dares to do - with how it was in the early seventies, those differences must be obvious."," Srovnáváme - li, jak se společnost dnes chová, jak se projevuje, čeho se odvažuje - nebo čeho se odvažují její signifikantní menšiny - s jejím tehdejším stavem, musíme ty rozdíly vidět."
"behaves","behave","chová","chovat","impf"," If we compare how society behaves now, how it expresses itself, what it dares to do - or, rather, what a significant minority dares to do - with how it was in the early seventies, those differences must be obvious."," Srovnáváme - li, jak se společnost dnes chová, jak se projevuje, čeho se odvažuje - nebo čeho se odvažují její signifikantní menšiny - s jejím tehdejším stavem, musíme ty rozdíly vidět."
"astonished","astonish","překvapen","překvapit","pf"," I was astonished at the scope of its work, at the response it had had, at the explosion of writing it had inspired, at the marvelous atmosphere of solidarity in its midst."," byl jsem totálně zaskočen a překvapen rozsahem její práce, odezvou, kterou má, výbuchem svobodného psaní, k němuž vedla, báječnou atmosférou pospolitosti, která v jejím prostředí vznikla."
"taken","take","udělaly","udělat","pf"," I had the intense feeling that, during my few months in prison, history had taken a greater step forward than during the preceding eight years."," Měl jsem prostě intenzívní dojem, že za těch pár měsíců, co jsem byl pryč, udělaly dějiny větší skok než za osm předchozích let."
"exists","exist","existuje","existovat","impf"," Apart from Fialka 's Pantomime, which has been housed in the Theatre on the Balustrade from the very beginning until today, the dramatic component still exists today too."," Vedle Fialkový pantomimy, která působí v Divadle Na zábradlí od jejího počátku dodnes, tam dodnes existuje i činohra."
"seen","see","viděl","vidět","impf"," I 've seen some of the recent productions and I must say they were wonderful."," Některá její představení z poslední doby jsem viděl a musím říct, že byla výborná."
"say","say","říct","říci","pf"," I 've seen some of the recent productions and I must say they were wonderful."," Některá její představení z poslední doby jsem viděl a musím říct, že byla výborná."
"describe","describe","popsal","popsat","pf"," How would you describe your present ideas regarding a more meaningful way of organizing the world?"," Jak byste popsal své současné představy o nějakém smysluplnějším uspořádáni světa?"
"organizing","organize","uspořádáni","uspořádat","pf"," How would you describe your present ideas regarding a more meaningful way of organizing the world?"," Jak byste popsal své současné představy o nějakém smysluplnějším uspořádáni světa?"
"thought","think","nemá","mít","impf"," The picture seems to have no mystery to it; a computer might have painted it according to a set of programmed instructions; there is no view through it to somewhere beyond; the picture itself is superfluous, because the idea can be thought or expressed otherwise."," Zdálo by se, že takový obraz nemá tajemství, že ho mohl namalovat computer podle nějakého programu, že tu není průhled kamkoli dál, že ten obraz je vlastně zbytečný, protože ho lze myslet či vyslovit."
"painted","paint","namalovat","namalovat","pf"," The picture seems to have no mystery to it; a computer might have painted it according to a set of programmed instructions; there is no view through it to somewhere beyond; the picture itself is superfluous, because the idea can be thought or expressed otherwise."," Zdálo by se, že takový obraz nemá tajemství, že ho mohl namalovat computer podle nějakého programu, že tu není průhled kamkoli dál, že ten obraz je vlastně zbytečný, protože ho lze myslet či vyslovit."
"thought","think","myslet","myslet","impf"," The picture seems to have no mystery to it; a computer might have painted it according to a set of programmed instructions; there is no view through it to somewhere beyond; the picture itself is superfluous, because the idea can be thought or expressed otherwise."," Zdálo by se, že takový obraz nemá tajemství, že ho mohl namalovat computer podle nějakého programu, že tu není průhled kamkoli dál, že ten obraz je vlastně zbytečný, protože ho lze myslet či vyslovit."
"expressed","express","vyslovit","vyslovit","pf"," The picture seems to have no mystery to it; a computer might have painted it according to a set of programmed instructions; there is no view through it to somewhere beyond; the picture itself is superfluous, because the idea can be thought or expressed otherwise."," Zdálo by se, že takový obraz nemá tajemství, že ho mohl namalovat computer podle nějakého programu, že tu není průhled kamkoli dál, že ten obraz je vlastně zbytečný, protože ho lze myslet či vyslovit."
"convinced","convince","přesvědčen","přesvědčit","pf"," I 'm convinced that such a picture too - minus the melting watches and the cracked eggs - can have its own secret."," Jsem přesvědčen, že i takový obraz - bez tekoucích hodinek a nakřáplých vajíček - může mít své tajemství."
"understood","understand","chápal","chápat","impf"," I 'm a writer, and I 've always understood my mission to be to speak the truth about the world I live in, to bear witness to its terrors and its miseries - in other words, to warn rather than hand out prescriptions for change."," Jsem spisovatel a své poslání jsem vždycky chápal jako povinnost říkat pravdu o světě, v němž žiju, vypovídat o jeho hrůzách a mizérii, tedy spíš varovat než dávat návody."
"speak","speak","říkat","říkat","impf"," I 'm a writer, and I 've always understood my mission to be to speak the truth about the world I live in, to bear witness to its terrors and its miseries - in other words, to warn rather than hand out prescriptions for change."," Jsem spisovatel a své poslání jsem vždycky chápal jako povinnost říkat pravdu o světě, v němž žiju, vypovídat o jeho hrůzách a mizérii, tedy spíš varovat než dávat návody."
"warn","warn","varovat","varovat","impf"," I 'm a writer, and I 've always understood my mission to be to speak the truth about the world I live in, to bear witness to its terrors and its miseries - in other words, to warn rather than hand out prescriptions for change."," Jsem spisovatel a své poslání jsem vždycky chápal jako povinnost říkat pravdu o světě, v němž žiju, vypovídat o jeho hrůzách a mizérii, tedy spíš varovat než dávat návody."
"organized","organize","zorganizovali","zorganizovat","pf"," First we organized a petition of writers protesting against the decision of the Union 's Central Committee."," Nejprve jsme zorganizovali petici spisovatelů, protestující proti rozhodnutí ústředního výboru Svazu."
"signed","sign","Podepsalo","podepsat","pf"," If I recall correctly, about two hundred writers signed it."," Podepsalo ji, tuším, asi dvě stě spisovatelů."
"followed","follow","Následovala","následovat","impf"," That petition was followed by another, demanding an extraordinary congress of the Union."," Následovala další petice : za svolání mimořádného sjezdu Svazu."
"sign","sign","podepíše","podepsat","pf"," According to the statutes, if a third of the membership sign the petition, a congress must be held."," Podle stanov stačilo, když to podepíše třetina členů, a sjezd se musí konat."
"held","hold","konat","konat","impf"," According to the statutes, if a third of the membership sign the petition, a congress must be held."," Podle stanov stačilo, když to podepíše třetina členů, a sjezd se musí konat."
"need","need","potřebuje","potřebovat","impf"," What does a person need to become a writer?"," Co člověk podle vás potřebuje k tomu, aby se stal spisovatelem?"
"reply","reply","odpověděl","odpovědět","pf"," How would you reply to my fifteen-year-old son, Ondřej, if he asked you that question?"," Co byste odpověděl třeba mému patnáctiletému synovi Ondřejovi, kdyby se vás zeptal?"
"asked","ask","zeptal","zeptat","pf"," How would you reply to my fifteen-year-old son, Ondřej, if he asked you that question?"," Co byste odpověděl třeba mému patnáctiletému synovi Ondřejovi, kdyby se vás zeptal?"
"remember","remember","vzpomínáte","vzpomínat","impf"," How do you remember 1968, and how do you see it today, eighteen years later?"," Jak si vzpomínáte na rok 1968 a jak ho vidíte dnes, po osmnácti letech?"
"see","see","vidíte","vidět","impf"," How do you remember 1968, and how do you see it today, eighteen years later?"," Jak si vzpomínáte na rok 1968 a jak ho vidíte dnes, po osmnácti letech?"
"understand","understand","chápu","chápat","impf"," I understand 1968 as the logical outcome and culmination of a long process, lasting for many years, in which, as I say, society gradually became aware of itself and liberated itself; I do n't see it just as the clash of two political establishments and the temporary victory of the more liberal one."," Rok 1968 chápu jako logickou dohru a vyvrcholení celého předchozího vývoje, toho dlouhého procesu "" sebeuvědomování a sebeosvobozování společnosti "", jak tomu říkám, nikoli tedy jako pouhé střetnutí dvou politických garnitur a dočasné vítězství té liberálnější."
"see","see","chápu","chápat","impf"," I understand 1968 as the logical outcome and culmination of a long process, lasting for many years, in which, as I say, society gradually became aware of itself and liberated itself; I do n't see it just as the clash of two political establishments and the temporary victory of the more liberal one."," Rok 1968 chápu jako logickou dohru a vyvrcholení celého předchozího vývoje, toho dlouhého procesu "" sebeuvědomování a sebeosvobozování společnosti "", jak tomu říkám, nikoli tedy jako pouhé střetnutí dvou politických garnitur a dočasné vítězství té liberálnější."
"say","say","říkám","říkat","impf"," I understand 1968 as the logical outcome and culmination of a long process, lasting for many years, in which, as I say, society gradually became aware of itself and liberated itself; I do n't see it just as the clash of two political establishments and the temporary victory of the more liberal one."," Rok 1968 chápu jako logickou dohru a vyvrcholení celého předchozího vývoje, toho dlouhého procesu "" sebeuvědomování a sebeosvobozování společnosti "", jak tomu říkám, nikoli tedy jako pouhé střetnutí dvou politických garnitur a dočasné vítězství té liberálnější."
"taken","take","udělali","udělat","pf"," In one sense, we 've invented everything for ourselves : we 've taken one small step forward ourselves, but this small step logically demanded further actions, which, although in a sense they go on without us, would probably never have happened without that first step."," V jistém smyslu jsme si vlastně všechno na sebe ušili sami : udělali jsme jeden krůček, ale ten krůček vyvolal logicky jakési další děje, které sice už běžely jaksi mimo nás, ale které by možná bez toho prvního krůčku vůbec nenastaly."
"happened","happen","nenastaly","nastat","pf"," In one sense, we 've invented everything for ourselves : we 've taken one small step forward ourselves, but this small step logically demanded further actions, which, although in a sense they go on without us, would probably never have happened without that first step."," V jistém smyslu jsme si vlastně všechno na sebe ušili sami : udělali jsme jeden krůček, ale ten krůček vyvolal logicky jakési další děje, které sice už běžely jaksi mimo nás, ale které by možná bez toho prvního krůčku vůbec nenastaly."
"complain","complain","stěžovat","stěžovat","impf"," Do we really have a right to complain?"," Máme opravdu právo si stěžovat?"
"demand","demand","žádat","žádat","impf"," After all, our approach - which was to demand concrete things, books, magazines, democratization within the Union, etc., etc., and not to get mixed up in political discussions, which always involve some compromise with the powers that be, or at least the acceptance, for the sake of discussion, of some of their sacrosanct dogmas and a certain form of language - was a constructive approach that in no way threatened to evoke a national or international scandal!"," Naše koncepce - žádat konkrétní věci, knihy, časopisy, demokratizaci Svazu atd. atd. a neplést se do politických diskusí, které vždycky předpokládají už nějakou adaptaci na moc, přinejmenším přijetí některých nezpochybnitelných dogmat a určitého jazyka - byla přece v podstatě konstruktivní, z toho věru žádný celonárodní nebo mezinárodní skandál nehrozí!"
"involve","involve","žádat","žádat","impf"," After all, our approach - which was to demand concrete things, books, magazines, democratization within the Union, etc., etc., and not to get mixed up in political discussions, which always involve some compromise with the powers that be, or at least the acceptance, for the sake of discussion, of some of their sacrosanct dogmas and a certain form of language - was a constructive approach that in no way threatened to evoke a national or international scandal!"," Naše koncepce - žádat konkrétní věci, knihy, časopisy, demokratizaci Svazu atd. atd. a neplést se do politických diskusí, které vždycky předpokládají už nějakou adaptaci na moc, přinejmenším přijetí některých nezpochybnitelných dogmat a určitého jazyka - byla přece v podstatě konstruktivní, z toho věru žádný celonárodní nebo mezinárodní skandál nehrozí!"
"threatened","threaten","nehrozí","hrozit","impf"," After all, our approach - which was to demand concrete things, books, magazines, democratization within the Union, etc., etc., and not to get mixed up in political discussions, which always involve some compromise with the powers that be, or at least the acceptance, for the sake of discussion, of some of their sacrosanct dogmas and a certain form of language - was a constructive approach that in no way threatened to evoke a national or international scandal!"," Naše koncepce - žádat konkrétní věci, knihy, časopisy, demokratizaci Svazu atd. atd. a neplést se do politických diskusí, které vždycky předpokládají už nějakou adaptaci na moc, přinejmenším přijetí některých nezpochybnitelných dogmat a určitého jazyka - byla přece v podstatě konstruktivní, z toho věru žádný celonárodní nebo mezinárodní skandál nehrozí!"
"dealt","deal","jednal","jednat","impf"," Auersperg, who was head of the cultural department, dealt with me."," Se mnou jednal už zmíněný Auersperg, který byl tehdy vedoucím oddělení kultury;"
"written","write","Napsal","napsat","pf"," I 've written a few plays, a few articles, I 've done some time in prison."," Napsal pár her, pár článků, chvíli jsem byl ve vězení."
"raise","raise","chovám","chovat","impf"," I ask myself these questions, and I harbor these feelings, so perhaps the danger of self-worship you raise is not my problem."," Takové otázky si tedy kladu a takové pocity chovám a snad je z toho patrné, že nebezpečí sebezbožnění, o němž mluvíte, není asi můj problém."
"judged","judge","posoudit","posoudit","pf"," But I could be wrong; something like that is probably best judged by the people around me."," Třeba se ale mýlím, takovou věc by muselo posoudit spíš mé okolí -"
"began","begin","začal","začít","pf"," At the time, it bothered me that Kundera - and he was far from being the only one - began to explain the Soviet occupation and the Czechoslovak accommodation to it as part of our national lot, as though the Soviets had come here not to renew their version of order in a disobedient dominion but simply to fulfill the ancient Czech destiny, and as though for the same reason the representatives of our state had to sign the Moscow protocols."," Mně tehdy vadilo, že Kundera - a zdaleka to nedělal jen on - začal vysvětlovat sovětskou okupaci a československou adaptaci na ni naším národním údělem : jako by sem Sověti nepřišli proto, aby obnovili svůj druh pořádku v neposlušném dominiu, ale proto, aby naplnili odvěký český úděl, a jako by z téhož důvodu představitelé našeho státu museli podepsat moskevské protokoly."
"explain","explain","vysvětlovat","vysvětlovat","impf"," At the time, it bothered me that Kundera - and he was far from being the only one - began to explain the Soviet occupation and the Czechoslovak accommodation to it as part of our national lot, as though the Soviets had come here not to renew their version of order in a disobedient dominion but simply to fulfill the ancient Czech destiny, and as though for the same reason the representatives of our state had to sign the Moscow protocols."," Mně tehdy vadilo, že Kundera - a zdaleka to nedělal jen on - začal vysvětlovat sovětskou okupaci a československou adaptaci na ni naším národním údělem : jako by sem Sověti nepřišli proto, aby obnovili svůj druh pořádku v neposlušném dominiu, ale proto, aby naplnili odvěký český úděl, a jako by z téhož důvodu představitelé našeho státu museli podepsat moskevské protokoly."
"began","begin","nepřišli","přijít","pf"," At the time, it bothered me that Kundera - and he was far from being the only one - began to explain the Soviet occupation and the Czechoslovak accommodation to it as part of our national lot, as though the Soviets had come here not to renew their version of order in a disobedient dominion but simply to fulfill the ancient Czech destiny, and as though for the same reason the representatives of our state had to sign the Moscow protocols."," Mně tehdy vadilo, že Kundera - a zdaleka to nedělal jen on - začal vysvětlovat sovětskou okupaci a československou adaptaci na ni naším národním údělem : jako by sem Sověti nepřišli proto, aby obnovili svůj druh pořádku v neposlušném dominiu, ale proto, aby naplnili odvěký český úděl, a jako by z téhož důvodu představitelé našeho státu museli podepsat moskevské protokoly."
"come","come","nepřišli","přijít","pf"," At the time, it bothered me that Kundera - and he was far from being the only one - began to explain the Soviet occupation and the Czechoslovak accommodation to it as part of our national lot, as though the Soviets had come here not to renew their version of order in a disobedient dominion but simply to fulfill the ancient Czech destiny, and as though for the same reason the representatives of our state had to sign the Moscow protocols."," Mně tehdy vadilo, že Kundera - a zdaleka to nedělal jen on - začal vysvětlovat sovětskou okupaci a československou adaptaci na ni naším národním údělem : jako by sem Sověti nepřišli proto, aby obnovili svůj druh pořádku v neposlušném dominiu, ale proto, aby naplnili odvěký český úděl, a jako by z téhož důvodu představitelé našeho státu museli podepsat moskevské protokoly."
"renew","renew","obnovili","obnovit","pf"," At the time, it bothered me that Kundera - and he was far from being the only one - began to explain the Soviet occupation and the Czechoslovak accommodation to it as part of our national lot, as though the Soviets had come here not to renew their version of order in a disobedient dominion but simply to fulfill the ancient Czech destiny, and as though for the same reason the representatives of our state had to sign the Moscow protocols."," Mně tehdy vadilo, že Kundera - a zdaleka to nedělal jen on - začal vysvětlovat sovětskou okupaci a československou adaptaci na ni naším národním údělem : jako by sem Sověti nepřišli proto, aby obnovili svůj druh pořádku v neposlušném dominiu, ale proto, aby naplnili odvěký český úděl, a jako by z téhož důvodu představitelé našeho státu museli podepsat moskevské protokoly."
"fulfill","fulfill","naplnili","naplnit","pf"," At the time, it bothered me that Kundera - and he was far from being the only one - began to explain the Soviet occupation and the Czechoslovak accommodation to it as part of our national lot, as though the Soviets had come here not to renew their version of order in a disobedient dominion but simply to fulfill the ancient Czech destiny, and as though for the same reason the representatives of our state had to sign the Moscow protocols."," Mně tehdy vadilo, že Kundera - a zdaleka to nedělal jen on - začal vysvětlovat sovětskou okupaci a československou adaptaci na ni naším národním údělem : jako by sem Sověti nepřišli proto, aby obnovili svůj druh pořádku v neposlušném dominiu, ale proto, aby naplnili odvěký český úděl, a jako by z téhož důvodu představitelé našeho státu museli podepsat moskevské protokoly."
"sign","sign","podepsat","podepsat","pf"," At the time, it bothered me that Kundera - and he was far from being the only one - began to explain the Soviet occupation and the Czechoslovak accommodation to it as part of our national lot, as though the Soviets had come here not to renew their version of order in a disobedient dominion but simply to fulfill the ancient Czech destiny, and as though for the same reason the representatives of our state had to sign the Moscow protocols."," Mně tehdy vadilo, že Kundera - a zdaleka to nedělal jen on - začal vysvětlovat sovětskou okupaci a československou adaptaci na ni naším národním údělem : jako by sem Sověti nepřišli proto, aby obnovili svůj druh pořádku v neposlušném dominiu, ale proto, aby naplnili odvěký český úděl, a jako by z téhož důvodu představitelé našeho státu museli podepsat moskevské protokoly."
"end","end","nekončí","končit","impf"," The list of my private paradoxes does n't end here, it 's just the beginning."," Tím ovšem mé privátní paradoxy nekončí, ale teprve začínají."
"respect","respect","ctít","ctít","impf"," First of all, he should know his own language and respect it, although not even that is unequivocal."," Především by měl asi tak trošku znát svůj jazyk a ctít ho - ale ani to vlastně není tak jasné :"
"stress","stress","zdůrazňuji","zdůrazňovat","impf"," When young authors show me their texts, I usually stress the importance of diligence and hard work."," Když za mnou někdy přicházejí mladí autoři a nosí své texty, zdůrazňuji obvykle význam píle a pracovitosti."
"think","think","Myslím","myslet","impf"," I think that everyone, as far as possible, should have the same chances."," Myslím, že všichni by měli mít, pokud možno, stejné šance."
"think","think","měli","mít","impf"," I think that everyone, as far as possible, should have the same chances."," Myslím, že všichni by měli mít, pokud možno, stejné šance."
"think","think","mít","mít","impf"," I think that everyone, as far as possible, should have the same chances."," Myslím, že všichni by měli mít, pokud možno, stejné šance."
"use","use","využije","využít","pf"," What use we make of them - that of course is another matter."," Jak jich kdo využije - to je ovšem už jiná věc."
"think","think","Nezdá","zdát","impf"," When you think about your origins in this way, are n't you attributing some validity to the rules of the system that has held sway in Czechoslovakia since 1948?"," Nezdá se vám, že jste vlastně trochu přistoupil na pravidla systému, který v Československu od roku 1948 vládne, když o svém původu tolik a tak diferencovaně přemýšlíte?"
"think","think","přemýšlíte","přemýšlet","impf"," When you think about your origins in this way, are n't you attributing some validity to the rules of the system that has held sway in Czechoslovakia since 1948?"," Nezdá se vám, že jste vlastně trochu přistoupil na pravidla systému, který v Československu od roku 1948 vládne, když o svém původu tolik a tak diferencovaně přemýšlíte?"
"say","say","řekl","říci","pf"," It 's a diabolical task, and the first and only thing I can say about it right now is that my life, my work, my position, everything I 've done, seems intertwined with a suspiciously large number of paradoxes."," První, co bych řekl, jsa postaven před tento trochu ďábelský úkol, a zároveň zřejmě to jediné, co jsem pro tuto chvíli schopen k tomu říct, je, že můj život, má práce, mé postavení a působení se mi zdají být utkány z podezřele velkého množství paradoxů."
"say","say","říct","říci","pf"," It 's a diabolical task, and the first and only thing I can say about it right now is that my life, my work, my position, everything I 've done, seems intertwined with a suspiciously large number of paradoxes."," První, co bych řekl, jsa postaven před tento trochu ďábelský úkol, a zároveň zřejmě to jediné, co jsem pro tuto chvíli schopen k tomu říct, je, že můj život, má práce, mé postavení a působení se mi zdají být utkány z podezřele velkého množství paradoxů."
