"trying","try","pokusila","pokusit","pf"," By that time, all three were trying to catch it and help me out by lightening the load."," Na tomto místě se medvíďata pokusila ocas chytit a odlehčit mi tak od nákladu."
"marking","mark","znamenalo","znamenat","impf"," At first I thought it was an extravagant attempt at marking, but on closer inspection I could see incisor marks on the tree that indicated the bear was eating the cambium layer between the bark and the sapwood."," V první chvíli mne napadlo, že jde o poněkud výstřední pokud značkování, ale při bližším průzkumu místa jsem na stromě našel stopy po řezácích, což znamenalo, že medvěd požíral vrstvu kambia, neboli mízního pletiva mezi kůrou a bělovým dřevem."
"understand","understand","chápat","chápat","impf"," "" Thus, in order for an individual to intentionally deceive another, it must have the capacity to represent its own beliefs, to understand that by engaging in some action it can alter someone else 's beliefs, and as a result of such actions, that individual will be misled into believing something that is not true ( i.e. that it deviates from some notion of reality ). """," ´Tudíž, chce - li jednotlivec záměrně oklamat druhého, musí mít schopnost vypodobnit své vlastní přesvědčení, chápat, že jeho použití v jisté situaci může změnit přesvědčení někoho jiného, a výsledkem takového jednání pak onen dotyčný může být uveden v omyl a uvěřit něčemu, co není pravdou ( například něčemu, co se nějakým způsobem liší od jisté představy reality ). ´"
"alter","alter","změnit","změnit","pf"," "" Thus, in order for an individual to intentionally deceive another, it must have the capacity to represent its own beliefs, to understand that by engaging in some action it can alter someone else 's beliefs, and as a result of such actions, that individual will be misled into believing something that is not true ( i.e. that it deviates from some notion of reality ). """," ´Tudíž, chce - li jednotlivec záměrně oklamat druhého, musí mít schopnost vypodobnit své vlastní přesvědčení, chápat, že jeho použití v jisté situaci může změnit přesvědčení někoho jiného, a výsledkem takového jednání pak onen dotyčný může být uveden v omyl a uvěřit něčemu, co není pravdou ( například něčemu, co se nějakým způsobem liší od jisté představy reality ). ´"
"believing","believe","uvěřit","uvěřit","pf"," "" Thus, in order for an individual to intentionally deceive another, it must have the capacity to represent its own beliefs, to understand that by engaging in some action it can alter someone else 's beliefs, and as a result of such actions, that individual will be misled into believing something that is not true ( i.e. that it deviates from some notion of reality ). """," ´Tudíž, chce - li jednotlivec záměrně oklamat druhého, musí mít schopnost vypodobnit své vlastní přesvědčení, chápat, že jeho použití v jisté situaci může změnit přesvědčení někoho jiného, a výsledkem takového jednání pak onen dotyčný může být uveden v omyl a uvěřit něčemu, co není pravdou ( například něčemu, co se nějakým způsobem liší od jisté představy reality ). ´"
"tried","try","Pokusil","pokusit","pf"," I tried to introduce her to Teddy, but they scared each other."," Pokusil jsem se představit ji Teddymu, ale jeden druhého se polekali."
"introduce","introduce","představit","představit","pf"," I tried to introduce her to Teddy, but they scared each other."," Pokusil jsem se představit ji Teddymu, ale jeden druhého se polekali."
"scared","scare","polekali","polekat","pf"," I tried to introduce her to Teddy, but they scared each other."," Pokusil jsem se představit ji Teddymu, ale jeden druhého se polekali."
"call","call","zavolal","zavolat","pf"," I came back in the afternoon to call Curls up to see Phoebe and a couple of girls from Lyme she had brought out to see a bear."," Odpoledne jsem se vrátil a zavolal Kudrlinku, ať se mnou jde nahoru za Phoebe a několika přítelkyněmi z Lyme, které má žena pozvala, ať se přijdou podívat na medvěda."
"came","come","jde","jít","impf"," I came back in the afternoon to call Curls up to see Phoebe and a couple of girls from Lyme she had brought out to see a bear."," Odpoledne jsem se vrátil a zavolal Kudrlinku, ať se mnou jde nahoru za Phoebe a několika přítelkyněmi z Lyme, které má žena pozvala, ať se přijdou podívat na medvěda."
"call","call","pozvala","pozvat","pf"," I came back in the afternoon to call Curls up to see Phoebe and a couple of girls from Lyme she had brought out to see a bear."," Odpoledne jsem se vrátil a zavolal Kudrlinku, ať se mnou jde nahoru za Phoebe a několika přítelkyněmi z Lyme, které má žena pozvala, ať se přijdou podívat na medvěda."
"came","come","přijdou","přijít","pf"," I came back in the afternoon to call Curls up to see Phoebe and a couple of girls from Lyme she had brought out to see a bear."," Odpoledne jsem se vrátil a zavolal Kudrlinku, ať se mnou jde nahoru za Phoebe a několika přítelkyněmi z Lyme, které má žena pozvala, ať se přijdou podívat na medvěda."
"call","call","přijdou","přijít","pf"," I came back in the afternoon to call Curls up to see Phoebe and a couple of girls from Lyme she had brought out to see a bear."," Odpoledne jsem se vrátil a zavolal Kudrlinku, ať se mnou jde nahoru za Phoebe a několika přítelkyněmi z Lyme, které má žena pozvala, ať se přijdou podívat na medvěda."
"see","see","přijdou","přijít","pf"," I came back in the afternoon to call Curls up to see Phoebe and a couple of girls from Lyme she had brought out to see a bear."," Odpoledne jsem se vrátil a zavolal Kudrlinku, ať se mnou jde nahoru za Phoebe a několika přítelkyněmi z Lyme, které má žena pozvala, ať se přijdou podívat na medvěda."
"see","see","přijdou","přijít","pf"," I came back in the afternoon to call Curls up to see Phoebe and a couple of girls from Lyme she had brought out to see a bear."," Odpoledne jsem se vrátil a zavolal Kudrlinku, ať se mnou jde nahoru za Phoebe a několika přítelkyněmi z Lyme, které má žena pozvala, ať se přijdou podívat na medvěda."
"see","see","podívat","podívat","pf"," I came back in the afternoon to call Curls up to see Phoebe and a couple of girls from Lyme she had brought out to see a bear."," Odpoledne jsem se vrátil a zavolal Kudrlinku, ať se mnou jde nahoru za Phoebe a několika přítelkyněmi z Lyme, které má žena pozvala, ať se přijdou podívat na medvěda."
"see","see","podívat","podívat","pf"," I came back in the afternoon to call Curls up to see Phoebe and a couple of girls from Lyme she had brought out to see a bear."," Odpoledne jsem se vrátil a zavolal Kudrlinku, ať se mnou jde nahoru za Phoebe a několika přítelkyněmi z Lyme, které má žena pozvala, ať se přijdou podívat na medvěda."
"come","come","přijít","přijít","pf"," That kind of information would not only come in handy with any future orphans I 'd get to raise, but could help make it much easier to control situations where people and bears are in conflict."," Tento typ informací nejenže mi měl do budoucna přijít vhod při výchově dalších medvědích sirotků, ale navíc i pomoci snáze zvládat situace, kdy se medvědi dostanou do křížku s lidmi."
"get","get","přijít","přijít","pf"," That kind of information would not only come in handy with any future orphans I 'd get to raise, but could help make it much easier to control situations where people and bears are in conflict."," Tento typ informací nejenže mi měl do budoucna přijít vhod při výchově dalších medvědích sirotků, ale navíc i pomoci snáze zvládat situace, kdy se medvědi dostanou do křížku s lidmi."
"help","help","pomoci","pomoci","pf"," That kind of information would not only come in handy with any future orphans I 'd get to raise, but could help make it much easier to control situations where people and bears are in conflict."," Tento typ informací nejenže mi měl do budoucna přijít vhod při výchově dalších medvědích sirotků, ale navíc i pomoci snáze zvládat situace, kdy se medvědi dostanou do křížku s lidmi."
"get","get","dostanou","dostat","pf"," That kind of information would not only come in handy with any future orphans I 'd get to raise, but could help make it much easier to control situations where people and bears are in conflict."," Tento typ informací nejenže mi měl do budoucna přijít vhod při výchově dalších medvědích sirotků, ale navíc i pomoci snáze zvládat situace, kdy se medvědi dostanou do křížku s lidmi."
"come","come","Přišel","přijít","pf"," The time had come for radio collars to keep track of the cubs."," Přišel čas nasadit medvíďatům obojky s rádiovou vysílačkou, které budou sledovat jejich stopy."
"call","call","nevolal","volat","impf"," No longer could I arrive near the cage and simply call them out of the nearby woods; not only might they not respond right away, but more and more they might not even be nearby."," Už jsme nechodíval ke kleci a jen tak jednoduše je nevolal ven a na procházku do okolního lesa, stále častěji totiž nebyli k mání ani v okolním lese."
"do","do","udělat","udělat","pf"," All I could do now was to spend as much time as I could with them in an effort to keep them out of trouble."," Jediné, co jsem ve stávající situaci mohl udělat, byl trávit s nimi co nejvíc času a snažit se je ušetřit potíží."
"did","do","dělal","dělat","impf"," For the next few days that 's exactly what I did."," A přesně to jsem také během následujících několika dnů dělal."
"arrived","arrive","dorazil","dorazit","pf"," When I arrived the morning of May 9, it seemed like any other morning;"," Devátého května jsem ráno jako obvykle dorazil ke kleci a vše se zdálo být v nejlepším pořádku;"
"seemed","seem","zdálo","zdát","impf"," When I arrived the morning of May 9, it seemed like any other morning;"," Devátého května jsem ráno jako obvykle dorazil ke kleci a vše se zdálo být v nejlepším pořádku;"
"came","come","přiběhla","přiběhnout","pf"," the cubs came to me when I called, and we took a short walk in Cole 's swamp."," medvíďata na zavolání přiběhla a všechno jsme se vydali na krátký výlet ke Coleově mokřině."
"waited","wait","Počkala","počkat","pf"," She waited for us to leave before returning to her cubs."," Počkala, až odejdeme a pak se vrátila pro medvíďata."
"leave","leave","odejdeme","odejít","pf"," She waited for us to leave before returning to her cubs."," Počkala, až odejdeme a pak se vrátila pro medvíďata."
"returning","return","vrátila","vrátit","pf"," She waited for us to leave before returning to her cubs."," Počkala, až odejdeme a pak se vrátila pro medvíďata."
"noticed","notice","všiml","všimnout","pf"," On another day, we were walking in to see Squirty when I noticed that Kim reeked of citronella."," Při další výpravě za drobnou jsem si všiml, že Kim je cítit citronellovou silicí proti komárům."
"reeked","reek","cítit","cítit","impf"," On another day, we were walking in to see Squirty when I noticed that Kim reeked of citronella."," Při další výpravě za drobnou jsem si všiml, že Kim je cítit citronellovou silicí proti komárům."
"followed","follow","Následovali","následovat","impf"," They followed me through the first pass and swung wide into the base of the next ledge, where they picked up my scent trail and rejoined me as I climbed onto the third level."," Následovali mne první soutěskou a zeširoka se jeden po druhém vyhoupli až k patě další terasy, kde zachytili mou pachovou stopu a znovu se ke mně přidali, když jsem šplhal na třetí terasu."
"climbed","climb","šplhal","šplhat","impf"," They followed me through the first pass and swung wide into the base of the next ledge, where they picked up my scent trail and rejoined me as I climbed onto the third level."," Následovali mne první soutěskou a zeširoka se jeden po druhém vyhoupli až k patě další terasy, kde zachytili mou pachovou stopu a znovu se ke mně přidali, když jsem šplhal na třetí terasu."
"pulling","pull","přitáhl","přitáhnout","pf"," The Boy marked a spruce by pulling the boughs down and rubbing them over his shoulders."," Boy označkoval douglasku tak, že si k sobě přitáhl silné větve a otíral je o šíji."
"brought","bring","přinesl","přinést","pf"," I brought a little surprise for the cubs and placed it on the path on my way to the cage one day later in July."," Jednoho dne koncem července jsem medvídkům přinesl malé překvapení a položil je na cestičku, kudy vždycky přicházívám ke kleci."
"placed","place","položil","položit","pf"," I brought a little surprise for the cubs and placed it on the path on my way to the cage one day later in July."," Jednoho dne koncem července jsem medvídkům přinesl malé překvapení a položil je na cestičku, kudy vždycky přicházívám ke kleci."
"improved","improve","nezlepšil","zlepšit","pf"," Her condition had not improved;"," Její stav se nijak nezlepšil;"
"ate","eat","jedli","jíst","impf"," While Curls and the Boy ate, I pondered all the new questions that had arisen just this month : Was Squirty attracted to this particular male?"," Zatímco Kudrlinka s Boyem jedli, přemítal jsem o všech nových otázkách, které se vynořily jen za poslední měsíc : dá se říci, že Drobnou právě k tomuto konkrétnímu medvědímu samci cosi přitahovalo?"
"pondered","ponder","přemítal","přemítat","impf"," While Curls and the Boy ate, I pondered all the new questions that had arisen just this month : Was Squirty attracted to this particular male?"," Zatímco Kudrlinka s Boyem jedli, přemítal jsem o všech nových otázkách, které se vynořily jen za poslední měsíc : dá se říci, že Drobnou právě k tomuto konkrétnímu medvědímu samci cosi přitahovalo?"
"attracted","attract","přitahovalo","přitahovat","impf"," While Curls and the Boy ate, I pondered all the new questions that had arisen just this month : Was Squirty attracted to this particular male?"," Zatímco Kudrlinka s Boyem jedli, přemítal jsem o všech nových otázkách, které se vynořily jen za poslední měsíc : dá se říci, že Drobnou právě k tomuto konkrétnímu medvědímu samci cosi přitahovalo?"
"go","go","neodešla","odejít","pf"," Why did n't both girls go with him?"," A proč s ním neodešla obě děvčata?"
"did","do","jde","jít","impf"," As to the wild sow, why did she try to defend the Boy and Curls from me?"," A pokud jde o onu volně žijící samici, proč se snažila Boye a Kudrlinku přede mnou bránit?"
"try","try","snažila","snažit","impf"," As to the wild sow, why did she try to defend the Boy and Curls from me?"," A pokud jde o onu volně žijící samici, proč se snažila Boye a Kudrlinku přede mnou bránit?"
"defend","defend","bránit","bránit","impf"," As to the wild sow, why did she try to defend the Boy and Curls from me?"," A pokud jde o onu volně žijící samici, proč se snažila Boye a Kudrlinku přede mnou bránit?"
"let","let","nechala","nechat","pf"," Why did she let them travel with her?"," A jak to, že je vůbec nechala, aby putovali s ní?"
"coming","come","přicházeli","přicházet","impf"," At least four bears were coming in to feed in the same stand of oaks."," Na stejný plácek s duby přicházeli za potravou nejméně čtyři medvědi."
"follow","follow","následovat","následovat","impf"," It was apparent that LB would follow me, so I needed to allow time to handle whatever might happen when we separated."," Bylo jasné, že mne MH bude následovat, a tak jsem chtěl mít dost času, abych zvládl případné medvídkovy kousky, kterým se mohl naučit během našeho odloučení."
"handle","handle","zvládl","zvládnout","pf"," It was apparent that LB would follow me, so I needed to allow time to handle whatever might happen when we separated."," Bylo jasné, že mne MH bude následovat, a tak jsem chtěl mít dost času, abych zvládl případné medvídkovy kousky, kterým se mohl naučit během našeho odloučení."
"checking","check","kontrolovala","kontrolovat","impf"," After a few more minutes of checking my breath, my camera, and my person, Squirty carefully placed her feet exactly in the tracks she had made emerging from the den, backing in carefully."," Chvíli kontrolovala můj dech, můj fotoaparát, a vůbec mne celého, a pak se opatrně vrátila do brlohu a cestou přitom pečlivě pokládala tlapy do otisků, které udělala předtím, když vylezla ven a šla ke mně."
"placed","place","pokládala","pokládat","impf"," After a few more minutes of checking my breath, my camera, and my person, Squirty carefully placed her feet exactly in the tracks she had made emerging from the den, backing in carefully."," Chvíli kontrolovala můj dech, můj fotoaparát, a vůbec mne celého, a pak se opatrně vrátila do brlohu a cestou přitom pečlivě pokládala tlapy do otisků, které udělala předtím, když vylezla ven a šla ke mně."
"made","make","udělala","udělat","pf"," After a few more minutes of checking my breath, my camera, and my person, Squirty carefully placed her feet exactly in the tracks she had made emerging from the den, backing in carefully."," Chvíli kontrolovala můj dech, můj fotoaparát, a vůbec mne celého, a pak se opatrně vrátila do brlohu a cestou přitom pečlivě pokládala tlapy do otisků, které udělala předtím, když vylezla ven a šla ke mně."
"get","get","dostat","dostat","pf"," On the days that I could get out there, I would meet Squirty at the Lambert clearing at a specific time to give her a small bag of corn which she had to take directly out of my hand, a way to maintain my relationship with her without attracting other bears by leaving the food on the ground."," Během dní, kdy jsem měl možnost dostat se na mýtinu na Lambertu, chodíval jsem za Drobnou v určitou dobu a pokaždé jí přinesl malý sáček kukuřice, kterou mi však musela jíst přímo z ruky, abychom tak udrželi náš přátelský vztah a nelákali přitom další medvědy tím, že pokládáme jídlo na zem."
"take","take","dostat","dostat","pf"," On the days that I could get out there, I would meet Squirty at the Lambert clearing at a specific time to give her a small bag of corn which she had to take directly out of my hand, a way to maintain my relationship with her without attracting other bears by leaving the food on the ground."," Během dní, kdy jsem měl možnost dostat se na mýtinu na Lambertu, chodíval jsem za Drobnou v určitou dobu a pokaždé jí přinesl malý sáček kukuřice, kterou mi však musela jíst přímo z ruky, abychom tak udrželi náš přátelský vztah a nelákali přitom další medvědy tím, že pokládáme jídlo na zem."
"get","get","přinesl","přinést","pf"," On the days that I could get out there, I would meet Squirty at the Lambert clearing at a specific time to give her a small bag of corn which she had to take directly out of my hand, a way to maintain my relationship with her without attracting other bears by leaving the food on the ground."," Během dní, kdy jsem měl možnost dostat se na mýtinu na Lambertu, chodíval jsem za Drobnou v určitou dobu a pokaždé jí přinesl malý sáček kukuřice, kterou mi však musela jíst přímo z ruky, abychom tak udrželi náš přátelský vztah a nelákali přitom další medvědy tím, že pokládáme jídlo na zem."
