"descended","descend","sestupoval","sestupovat","impf"," The camerlegno felt like he was floating as he descended into the Niche of the Palliums."," Když sestupoval do Palliového výklenku, měl camerlengo pocit, jako by plaval."
"did","do","šlo","jít","impf"," Titles did n't work either because many historical documents were untitled letters or parchment fragments."," Nevycházelo se ani z názvu díla, protože u mnoha historických dokumentů šlo o dopisy bez názvu anebo o pouhé zlomky děl."
"work","work","šlo","jít","impf"," Titles did n't work either because many historical documents were untitled letters or parchment fragments."," Nevycházelo se ani z názvu díla, protože u mnoha historických dokumentů šlo o dopisy bez názvu anebo o pouhé zlomky děl."
"felt","feel","pocítil","pocítit","pf"," Langdon felt a sudden chill realizing that he was about to see a dead body."," Langdon pocítil náhlé mrazení, když si uvědomil, že zanedlouho uvidí mrtvé tělo."
"realizing","realize","uvědomil","uvědomit","pf"," Langdon felt a sudden chill realizing that he was about to see a dead body."," Langdon pocítil náhlé mrazení, když si uvědomil, že zanedlouho uvidí mrtvé tělo."
"see","see","uvidí","uvidět","pf"," Langdon felt a sudden chill realizing that he was about to see a dead body."," Langdon pocítil náhlé mrazení, když si uvědomil, že zanedlouho uvidí mrtvé tělo."
"discovered","discover","objevil","objevit","pf"," It was a weakness he 'd discovered as an art student when the teacher informed the class that Leonardo da Vinci had gained his expertise in the human form by exhuming corpses and dissecting their musculature."," Tuhle slabost u sebe objevil jako student dějin umění, když učitel vykládal třídě o tom, že Leonardo da Vinci získal svoji odbornou znalost lidského těla exhumací mrtvol a pitváním jejich svalstva."
"gained","gain","získal","získat","pf"," It was a weakness he 'd discovered as an art student when the teacher informed the class that Leonardo da Vinci had gained his expertise in the human form by exhuming corpses and dissecting their musculature."," Tuhle slabost u sebe objevil jako student dějin umění, když učitel vykládal třídě o tom, že Leonardo da Vinci získal svoji odbornou znalost lidského těla exhumací mrtvol a pitváním jejich svalstva."
"felt","feel","cítila","cítit","impf"," Oddly, the only thing that felt right in her life at the moment was the presence of a total stranger."," Kupodivu jediná věc, u níž v té chvíli cítila, že je v jejím životě na pravém místě, byla přítomnost jednoho úplného cizince."
"Take","take","Vezměte","vzít","pf"," Take Madonna, for example."," Vezměte si takovou Madonnu."
"heard","hear","slyšel","slyšet","impf"," Chartrand had only been at the Vatican a few months when he heard the story of the bomb that blew up the camerlegno 's mother before the kid 's very eyes."," Chartrand byl ve Vatikánu teprve pár měsíců, když slyšel vyprávět o bombě, která camerlengovi zabila matku přímo před očima, když byl ještě malý."
"killed","kill","zabíjel","zabíjet","impf"," He had killed last night, killed and mutilated, and for him killing was like heroin ... each encounter satisfying only temporarily before increasing his longing for more."," Minulou noc zabíjel, zabíjel a zohavoval, a zabíjení bylo pro něho jako heroin ... každý případ jej uspokojil pouze na čas a touha se záhy dostavila znovu, s ještě větší silou."
"killed","kill","zabíjel","zabíjet","impf"," He had killed last night, killed and mutilated, and for him killing was like heroin ... each encounter satisfying only temporarily before increasing his longing for more."," Minulou noc zabíjel, zabíjel a zohavoval, a zabíjení bylo pro něho jako heroin ... každý případ jej uspokojil pouze na čas a touha se záhy dostavila znovu, s ještě větší silou."
"killing","kill","zabíjel","zabíjet","impf"," He had killed last night, killed and mutilated, and for him killing was like heroin ... each encounter satisfying only temporarily before increasing his longing for more."," Minulou noc zabíjel, zabíjel a zohavoval, a zabíjení bylo pro něho jako heroin ... každý případ jej uspokojil pouze na čas a touha se záhy dostavila znovu, s ještě větší silou."
"killed","kill","zabíjel","zabíjet","impf"," He had killed last night, killed and mutilated, and for him killing was like heroin ... each encounter satisfying only temporarily before increasing his longing for more."," Minulou noc zabíjel, zabíjel a zohavoval, a zabíjení bylo pro něho jako heroin ... každý případ jej uspokojil pouze na čas a touha se záhy dostavila znovu, s ještě větší silou."
"killed","kill","zabíjel","zabíjet","impf"," He had killed last night, killed and mutilated, and for him killing was like heroin ... each encounter satisfying only temporarily before increasing his longing for more."," Minulou noc zabíjel, zabíjel a zohavoval, a zabíjení bylo pro něho jako heroin ... každý případ jej uspokojil pouze na čas a touha se záhy dostavila znovu, s ještě větší silou."
"killing","kill","zabíjel","zabíjet","impf"," He had killed last night, killed and mutilated, and for him killing was like heroin ... each encounter satisfying only temporarily before increasing his longing for more."," Minulou noc zabíjel, zabíjel a zohavoval, a zabíjení bylo pro něho jako heroin ... každý případ jej uspokojil pouze na čas a touha se záhy dostavila znovu, s ještě větší silou."
"satisfying","satisfy","uspokojil","uspokojit","pf"," He had killed last night, killed and mutilated, and for him killing was like heroin ... each encounter satisfying only temporarily before increasing his longing for more."," Minulou noc zabíjel, zabíjel a zohavoval, a zabíjení bylo pro něho jako heroin ... každý případ jej uspokojil pouze na čas a touha se záhy dostavila znovu, s ještě větší silou."
"studied","study","Pozoroval","pozorovat","impf"," He studied the sleeping woman beside him."," Pozoroval ženu spící vedle něho."
"felt","feel","cítil","cítit","impf"," Running his palm across her neck, he felt aroused with the knowledge that he could end her life in an instant."," Když sunul dlaň po jejím krku, cítil se vzrušený při pomyšlení, že může v jediném okamžiku ukončit její život."
"end","end","ukončit","ukončit","pf"," Running his palm across her neck, he felt aroused with the knowledge that he could end her life in an instant."," Když sunul dlaň po jejím krku, cítil se vzrušený při pomyšlení, že může v jediném okamžiku ukončit její život."
"matter","matter","záleží","záležet","impf"," What would it matter?"," Co na tom záleží?"
"urged","urge","naléhal","naléhat","impf"," “ Signore, ” the guard urged, pointing to his watch again."," "" Pane, "" naléhal opět voják poklepávaje na hodinky."
"nodded","nod","přikývl","přikývnout","pf"," Olivetti nodded and started to leave."," Olivetti přikývl a měl se k odchodu."
"leaving","leave","odcházíte","odcházet","impf"," “ You 're leaving to SWEEP the chapel? ”"," "" Vy odcházíte, abyste zametl v kapli? """
"turned","turn","obrátil","obrátit","pf"," Olivetti turned, his eyes boring through her."," Olivetti se obrátil probodávaje ji očima."
"understand","understand","rozumět","rozumět","impf"," “ Not something I would expect you to understand. ”"," "" Ale to je něco, čemu podle mého soudu sotva budete rozumět. """
"smiled","smile","Smál","smát","impf"," He smiled at Langdon, who was kneeling now, holding the metal bar."," Smál se klečícímu Langdonovi do očí."
"lifting","lift","zdvihl","zdvihnout","pf"," As Langdon scrambled to his feet, lifting the bar again, his wet turtleneck and pants felt suddenly more restrictive."," Když se Langdon zase vydrápal na nohy a zdvihl tyč, cítil, že ho mokrý rolák a kalhoty nepříjemně omezují v pohybu."
"felt","feel","cítil","cítit","impf"," As Langdon scrambled to his feet, lifting the bar again, his wet turtleneck and pants felt suddenly more restrictive."," Když se Langdon zase vydrápal na nohy a zdvihl tyč, cítil, že ho mokrý rolák a kalhoty nepříjemně omezují v pohybu."
"move","move","pohyboval","pohybovat","impf"," The Hassassin, half-clothed, seemed to move much faster, the wound on his foot apparently not slowing him at all."," Hassassin, do půl těla nahý, se pohyboval rychleji a zranění na noze ho zřejmě nijak nezpomalovalo."
"slowing","slow","nezpomalovalo","zpomalovat","impf"," The Hassassin, half-clothed, seemed to move much faster, the wound on his foot apparently not slowing him at all."," Hassassin, do půl těla nahý, se pohyboval rychleji a zranění na noze ho zřejmě nijak nezpomalovalo."
"sensed","sense","vycítil","vycítit","pf"," Langdon sensed this was a man accustomed to pain."," Langdon vycítil, že jde o muže zvyklého snášet bolest."
"remembered","remember","Vzpomněl","vzpomenout","pf"," He remembered setting the alarm."," Vzpomněl si, že hodinky nařídil na buzení."
"sat","sit","Posadil","posadit","pf"," He sat bolt upright."," Posadil se a vydržel sedět zpříma."
"sat","sit","sedět","sedět","impf"," He sat bolt upright."," Posadil se a vydržel sedět zpříma."
"listening","listen","neposlouchal","poslouchat","impf"," Langdon was n't listening."," Langdon je ani neposlouchal."
"ached","ache","bolelo","bolet","impf"," His whole body ached, but he knew he needed to act immediately."," Celé tělo ho bolelo, věděl ale, že musí jednat okamžitě."
"needed","need","musí","muset","impf"," His whole body ached, but he knew he needed to act immediately."," Celé tělo ho bolelo, věděl ale, že musí jednat okamžitě."
"act","act","jednat","jednat","impf"," His whole body ached, but he knew he needed to act immediately."," Celé tělo ho bolelo, věděl ale, že musí jednat okamžitě."
"approached","approach","blížil","blížit","impf"," A POMPIERO approached Langdon across the church."," Napříč hlavní lodí se k němu blížil jeden z hasičů."
"leading","lead","vedl","vést","impf"," And as if that were not enough, leading solely and directly to the castle 's main entrance stood the famous Bridge of Angels ... a dramatic approachway adorned by twelve towering angels carved by none other than Bernini himself."," A jako by to všechno ještě nestačilo, přímo ke hlavnímu vchodu do hradu vedl slavný Andělský most ... dramatická přístupová cesta zkrášlená dvanácti sochami andělů, které nepocházely od nikoho jiného než od samotného Berniniho."
"dividing","divide","rozdělovalo","rozdělovat","impf"," the cross 's central arm passed DIRECTLY through the center of the castle 's bridge, dividing it into two equal halves."," Hlavní rameno tohoto kříže totiž procházelo přesně středem Andělského mostu a rozdělovalo jej na dvě stejné poloviny."
"holding","hold","držel","držet","impf"," Langdon retrieved his tweed coat, holding it away from his dripping body."," Langdon sebral své tvídové sako, ale pro jistotu je držel dál od těla, z něhož kapala voda."
"extending","extend","rozšířili","rozšířit","pf"," We were extending our search."," My jsme prohledávanou oblast rozšířili."
"poisoned","poison","otráven","otrávit","pf"," “ Robert, ” Vittoria said, taking his wounded hand in hers and looking it over, “ the Pope was poisoned."," "" Roberte, "" oslovila jej Vittoria, prohlížejíc jeho poraněnou ruku, "" papež byl skutečně otráven."
"killed","kill","zavraždili","zavraždit","pf"," The Illuminati killed him. ”"," Ilumináti ho zavraždili. """
"clamped","clamp","sevřela","sevřít","pf"," It groped until it found Langdon 's neck and clamped down."," Šátrala mezi nimi, až nahmatala Langdonův krk a pevně ho sevřela."
"tried","try","pokoušel","pokoušet","impf"," Langdon tried to fight back against the iron fist now crushing his larynx, but he found his left sleeve pinched beneath the edge of the coffin."," Langdon se pokoušel odtrhnout železnou pěst drtící jeho hrdlo, zjistil však, že má levý rukáv přiskřípnutý hranou rakve."
"found","find","zjistil","zjistit","pf"," Langdon tried to fight back against the iron fist now crushing his larynx, but he found his left sleeve pinched beneath the edge of the coffin."," Langdon se pokoušel odtrhnout železnou pěst drtící jeho hrdlo, zjistil však, že má levý rukáv přiskřípnutý hranou rakve."
"came","come","vstoupil","vstoupit","pf"," Everyone who came to St. Peter 's knew what was in the golden casket."," Ostatně každý, kdo do Svatopetrského chrámu vstoupil, věděl, co se v té zlaté rakvi nachází."
"said","say","odpověděl","odpovědět","pf"," “ Actually, no, ” the camerlegno said."," "" Po pravdě řečeno, nikoli, "" odpověděl camerlengo."
"thought","think","myslela","myslet","impf"," “ But I thought - ”"," "" Ale já jsem myslela - """
"nodded","nod","přikývl","přikývnout","pf"," Olivetti nodded, looking impressed."," Olivetti přikývl, zřejmě dojat."
"underestimated","underestimate","Podceňoval","podceňovat","impf"," “ I have underestimated you, signore. ”"," "" Podceňoval jsem vás, signore. """
"hear","hear","neslyšel","slyšet","impf"," The camerlegno did not seem to hear."," "" Camerlengo jako by to neslyšel."
"speak","speak","mluvit","mluvit","impf"," “ I will speak openly, signore."," "" Budu mluvit otevřeně, signore."
"Let","let","Dovolte","dovolit","pf"," Let me advise you on the present situation."," Dovolte, abych vám poradil, jak si v téhle situaci počínat."
"advise","advise","poradil","poradit","pf"," Let me advise you on the present situation."," Dovolte, abych vám poradil, jak si v téhle situaci počínat."
"found","find","nenašel","najít","pf"," “ But nobody has ever actually found it? ”"," "" A přitom je zatím ještě nikdo nenašel? """
"smiled","smile","usmál","usmát","pf"," Langdon smiled."," Langdon se usmál."
"pressed","press","stiskl","stisknout","pf"," He twisted one of the tiny dials and pressed a button."," zvolil jednu z melodií a stiskl knoflík."
"look","look","nedívejte","dívat","impf"," So do n't look directly at the sample."," Proto se nedívejte přímo na vzorek."
"thought","think","přemýšlel","přemýšlet","impf"," Langdon thought."," Langdon přemýšlel."
"realized","realize","pochopila","pochopit","pf"," An instant later, Vittoria realized why."," Vittoria hned pochopila proč."
"burned","burn","hořela","hořet","impf"," His torch still burned bright, the smoke mixing with the smell of moss and stale air."," Pochodeň dosud jasně hořela a její kouř se mísil s pachem mechu a zatuchlého vzduchu."
"mixing","mix","mísil","mísit","impf"," His torch still burned bright, the smoke mixing with the smell of moss and stale air."," Pochodeň dosud jasně hořela a její kouř se mísil s pachem mechu a zatuchlého vzduchu."
"surrounded","surround","Obklopovalo","obklopovat","impf"," Silence surrounded him."," Obklopovalo jej ticho."
"waited","wait","čekal","čekat","impf"," He waited in the darkness, trusting."," Důvěřivě čekal ve tmě."
"leapt","leap","vyskočil","vyskočit","pf"," Langdon had grabbed it, slid his hands through the loops, held on, and leapt out into the void."," Langdon strčil ruce do poutek, sevřel je a vyskočil do prázdna."
"fell","fall","Padal","padat","impf"," Langdon fell like a rock."," Padal jako kámen."
"saw","see","spatřil","spatřit","pf"," I just saw the cause of death. ”"," Právě jsem spatřil příčinu smrti. """
"caught","catch","chytil","chytit","pf"," Langdon caught her arm."," Langdon ji chytil za ruku."
"go","go","Půjdu","jít","impf"," I 'll go. ”"," Půjdu tam sám. """
"checking","check","zkoumal","zkoumat","impf"," Gunther Glick was checking his map of Rome, apparently lost."," Gunther Glick pořád zkoumal svůj plán Říma a bylo zřejmé, že zabloudil."
"feared","fear","obávala","obávat","impf"," As she had feared, his mystery caller had phoned back, this time with information."," Jak se obávala, tajemný volající se ozval znovu, tentokrát s konkrétní informací."
"see","see","spatřil","spatřit","pf"," A new clamor arose from the crowd, and the pilot looked over to see a line of cardinals processing solemnly out of the Vatican onto St. Peter 's Square."," Hluk davu se vzedmul a pilot spatřil průvod kardinálů velebně vycházejících z Vatikánu na Svatopetrské náměstí."
"leaving","leave","opouštějí","opouštět","impf"," The cardinals ' relief to be leaving ground zero seemed to be quickly overcome by looks of bewilderment at the spectacle now going on outside the church."," Zjevnou úlevu z toho, že opouštějí místo očekávaného totálního zničení, záhy vystřídaly rozpaky nad divadlem, které se odehrávalo před bazilikou."
"looked","look","hleděly","hledět","impf"," His eyes looked like two black slits as he stared down at her body."," Dvě černé štěrbiny jeho očí hleděly dolů na její tělo."
"sensed","sense","cítila","cítit","impf"," Vittoria sensed he was imagining the deeds he was about to perform."," Vittoria cítila, že si v duchu představuje, co všechno s ní záhy udělá."
"imagining","imagine","představuje","představovat","impf"," Vittoria sensed he was imagining the deeds he was about to perform."," Vittoria cítila, že si v duchu představuje, co všechno s ní záhy udělá."
"perform","perform","udělá","udělat","pf"," Vittoria sensed he was imagining the deeds he was about to perform."," Vittoria cítila, že si v duchu představuje, co všechno s ní záhy udělá."
"dropped","drop","nechal","nechat","pf"," Slowly, as if to taunt her, the Hassassin removed his soaking belt and dropped it on the floor."," Pomalu, jako by se jí chtěl vysmívat, rozepnul svůj vodou prosáklý opasek a nechal ho spadnout na podlahu."
"dropped","drop","spadnout","spadnout","pf"," Slowly, as if to taunt her, the Hassassin removed his soaking belt and dropped it on the floor."," Pomalu, jako by se jí chtěl vysmívat, rozepnul svůj vodou prosáklý opasek a nechal ho spadnout na podlahu."
"closed","close","Zavřela","zavřít","pf"," She closed her eyes."," Zavřela oči."
"opened","open","otevřela","otevřít","pf"," When she opened them again, the Hassassin had produced a switchblade knife."," Když je opět otevřela, Hassassin právě vytahoval nůž."
"saw","see","spatřila","spatřit","pf"," Vittoria saw her own terrified reflection in the steel."," V lesknoucí se oceli spatřila Vittoria vlastní vyděšenou tvář."
"used","use","použit","použít","pf"," Ever since the island had been used to quarantine the sick during the Roman plague of A.D. 1656, it had been thought to have mystic healing properties."," Od té doby, co byl za římského moru léta páně 1656 použit ke karanténní izolaci nemocných, se ostrovu připisovaly tajemné léčivé vlastnosti."
"pulled","pull","vytáhli","vytáhnout","pf"," The body was battered when they pulled it onto shore."," Když muže vytáhli na břeh, bylo patrné, že je těžce poraněný."
"thought","think","měl","mít","impf"," The man still had a faint pulse, which was amazing, they thought."," Přesto měl sice slabý, ale přece jen hmatný pulz, čemuž se všichni podivili."
"kept","keep","udrželo","udržet","pf"," They wondered if it was Isola Tiberina 's mythical reputation for healing that had somehow kept his heart pumping."," Řekli si, že to byla možná tajemná léčivá moc ostrova, co udrželo jeho srdce v chodu."
"coming","come","přijít","přijít","pf"," “ The Illuminati leader is coming HERE? ”"," "" Vůdce iluminátů, a přijít sem? """
"branding","brand","vypálil","vypálit","pf"," “ To perform the final branding. ”"," "" Aby vypálil poslední znamení. """
"shot","shoot","vrhl","vrhnout","pf"," Langdon shot a frightened glance to Vittoria."," Langdon vrhl zděšený pohled směrem k Vittorii."
"wrote","write","Napsal","napsat","pf"," He wrote once that when he looked through his telescope at the spinning planets, he could hear God 's voice in the music of the spheres."," Napsal, že když se jednou díval svým dalekohledem na kroužící planety, uslyšel v hudbě sfér Boží hlas."
"looked","look","díval","dívat","impf"," He wrote once that when he looked through his telescope at the spinning planets, he could hear God 's voice in the music of the spheres."," Napsal, že když se jednou díval svým dalekohledem na kroužící planety, uslyšel v hudbě sfér Boží hlas."
"hear","hear","uslyšel","uslyšet","pf"," He wrote once that when he looked through his telescope at the spinning planets, he could hear God 's voice in the music of the spheres."," Napsal, že když se jednou díval svým dalekohledem na kroužící planety, uslyšel v hudbě sfér Boží hlas."
"held","hold","Měl","mít","impf"," He held that science and religion were not enemies, but rather ALLIES - two different languages telling the same story, a story of symmetry and balance ... heaven and hell, night and day, hot and cold, God and Satan."," Měl za to, že věda a církev nejsou nepřátelé, nýbrž spojenci - dva různé jazyky vyprávějící stejný příběh, příběh o symetrii a rovnováze ... nebe a pekla, dne a noci, tepla a chladu, Boha a Satana."
"rejoiced","rejoice","radovaly","radovat","impf"," Both science and religion rejoiced in God 's symmetry ... the endless contest of light and dark. ”"," Jak věda, tak náboženství se radovaly z božské symetrie ... v nekonečném boji světla a tmy. """
"looked","look","podíval","podívat","pf"," Langdon looked at the list in his hand."," Langdon se podíval do seznamu, který měl v ruce."
"met","meet","setkaly","setkat","pf"," Kohler 's eyes met Langdon 's, and it was the same stony gaze that had greeted Langdon at CERN earlier that day."," Kohlerovy oči se setkaly s Langdonovýma, a Langdon v nich spatřil stejně kamenný pohled, s jakým jej Kohler téhož dne zrána uvítal v CERNu."
"greeted","greet","uvítal","uvítat","pf"," Kohler 's eyes met Langdon 's, and it was the same stony gaze that had greeted Langdon at CERN earlier that day."," Kohlerovy oči se setkaly s Langdonovýma, a Langdon v nich spatřil stejně kamenný pohled, s jakým jej Kohler téhož dne zrána uvítal v CERNu."
"rising","rise","vystupují","vystupovat","impf"," The eyes looked even harder in death, the loathing and enmity rising to the surface."," Ba dokonce se zdálo, že s blížící se smrtí je jeho pohled ještě tvrdší, že opovržení a nenávist ještě otevřeněji vystupují na povrch."
"trying","try","snaží","snažit","impf"," The scientist 's body quivered, and Langdon sensed he was trying to move."," Vědcovo tělo se zachvělo a Langdon zpozoroval, že se snaží se pohnout."
"move","move","pohnout","pohnout","pf"," The scientist 's body quivered, and Langdon sensed he was trying to move."," Vědcovo tělo se zachvělo a Langdon zpozoroval, že se snaží se pohnout."
"keep","keep","měl","mít","impf"," He struggled to keep up, but his legs felt like stone."," Langdon dělal co mohl, ale nohy měl těžké jako balvany."
"awoke","awake","Probudil","probudit","pf"," Robert Langdon awoke with a start."," Probudil se leknutím."
"lay","lie","ležet","ležet","impf"," He lay still for a long time in the foreign softness of the bed, unable to figure out where he was."," Zůstal ještě dlouho ležet v nezvykle měkké posteli a za nic na světě nemohl přijít na to, kde je."
"thought","think","Uvažoval","uvažovat","impf"," He thought of the killer 's words at the fountain."," Uvažoval o tom, co říkal ten zabiják u fontány."
"come","come","dojít","dojít","pf"," Langdon had come too far to fail now."," Langdonovi už se podařilo dojít příliš daleko, než aby nyní ztroskotal."
"fail","fail","ztroskotal","ztroskotat","pf"," Langdon had come too far to fail now."," Langdonovi už se podařilo dojít příliš daleko, než aby nyní ztroskotal."
"pounding","pound","tlouklo","tlouci","impf"," His heart was pounding."," Srdce mu prudce tlouklo."
"starting","start","začal","začít","pf"," Frustration and hatred were starting to cripple his senses."," Pocit zklamání a nenávisti už mu začal zatemňovat zdravý rozum."
"saw","see","spatřil","spatřit","pf"," When he saw the blood on the floor, Langdon 's first thought was for Vittoria."," Když spatřil na podlaze krev, první myšlenka se týkala Vittorie."
"WORKED","work","pracoval","pracovat","impf"," I WORKED UNDER THE CARDINAL'S TUTELAGE FOR MANY YEARS, the camerlegno had said."," Pod biskupovým poručnictvím jsem pracoval řadu let."
"speaking","speak","hovořil","hovořit","impf"," Vittoria recalled the camerlegno speaking those words in reference to the cardinal who had “ saved ” him from the army."," Camerlengo tenkrát hovořil o kardinálovi, který ho "" zachránil ""."
"saved","save","zachránil","zachránit","pf"," Vittoria recalled the camerlegno speaking those words in reference to the cardinal who had “ saved ” him from the army."," Camerlengo tenkrát hovořil o kardinálovi, který ho "" zachránil ""."
"understood","understand","pochopila","pochopit","pf"," Now, however, Vittoria understood the rest of the story."," Teď tedy pochopila konec pohádky."
"taken","take","vzal","vzít","pf"," That very cardinal who had taken the camerlegno under his wing had apparently later risen to the papacy and brought with him his young protégé to serve as chamberlain."," Kardinál, který vzal camerlegna pod ochranná křídla, se později stal papežem a ze svého chráněnce udělal komořího."
"taken","take","udělal","udělat","pf"," That very cardinal who had taken the camerlegno under his wing had apparently later risen to the papacy and brought with him his young protégé to serve as chamberlain."," Kardinál, který vzal camerlegna pod ochranná křídla, se později stal papežem a ze svého chráněnce udělal komořího."
"need","need","Musíme","muset","impf"," We need to work together here. ”"," Musíme zde pracovat společně. """
"work","work","pracovat","pracovat","impf"," We need to work together here. ”"," Musíme zde pracovat společně. """
"turn","turn","neotočila","otočit","pf"," Vittoria came to a full stop halfway across the lab, but she did not turn."," Vittoria se zastavila napůl cesty přes laboratoř, ale neotočila se."
"want","want","Chci","chtít","impf"," “ I want to find the antimatter."," "" Chci najít ten vzorek antihmoty."
"find","find","najít","najít","pf"," “ I want to find the antimatter."," "" Chci najít ten vzorek antihmoty."
"want","want","chci","chtít","impf"," And I want to know who killed my father. ”"," A chci vědět, kdo zabil mého otce. """
"killed","kill","zabil","zabít","pf"," And I want to know who killed my father. ”"," A chci vědět, kdo zabil mého otce. """
"waited","wait","Čekala","čekat","impf"," She waited."," Čekala."
"killed","kill","zavraždil","zavraždit","pf"," “ Vittoria, we already know who killed your father."," "" Vittorie, my už víme, kdo ho zavraždil."
"turned","turn","otočila","otočit","pf"," Now Vittoria turned."," Teprve teď se Vittoria otočila."
"tell","tell","říci","říci","pf"," “ I did n't know how to tell you."," "" Nevěděl jsem, jak vám to říci."
"killed","kill","zabil","zabít","pf"," “ You KNOW who killed my father? ”"," "" Vy víte, kdo mi zabil otce? """
"suggesting","suggest","navrhujete","navrhovat","impf"," And yet, what you are suggesting regarding the camerlegno ... it cannot possibly be God 's will. ”"," A přece to, co tu navrhujete, pokud jde o camerlegna - snad nemůže být Boží vůle. """
"say","say","říct","říci","pf"," “ How ... can you say that? ” one of the cardinals finally demanded."," "" Jak to můžete říct? "" zeptal se konečně jeden z kardinálů."
"survived","survive","přežil","přežít","pf"," The man survived death itself!"," Ten muž přežil samotnou smrt!"
