"talking","talk","mluví","mluvit","impf"," The crowd hadn ’ t the faintest idea what he was talking about, but they loved it nevertheless."," Schůzovníci netušili, o čem mluví, ale stejně se jim to líbilo."
"decided","decide","rozhodl","rozhodnout","pf"," After two minutes Ford decided it was time something happened."," Po dvou minutách se Ford rozhodl, že je načase, aby se něco dělo."
"said","say","pronesl","pronést","pf"," “ Hello, ” he said."," "" Ahoj, "" pronesl zkusmo."
"drew","draw","přitáhly","přitáhnout","pf"," The women drew their children slightly closer to them."," Ženy přitáhly děti trochu blíž."
"made","make","neudělali","udělat","pf"," The men made hardly any discernible move and yet their whole disposition made it clear that the greeting was not welcome - it was not resented in any great degree, it was just not welcome."," Muži neudělali žádný postřehnutelný pohyb, a přece celým vzezřením dávali najevo, že jim pozdrav není po chuti - ne že by snad proti němu měli něco zvláštního, jen jim prostě nebyl po chuti."
"made","make","neudělali","udělat","pf"," The men made hardly any discernible move and yet their whole disposition made it clear that the greeting was not welcome - it was not resented in any great degree, it was just not welcome."," Muži neudělali žádný postřehnutelný pohyb, a přece celým vzezřením dávali najevo, že jim pozdrav není po chuti - ne že by snad proti němu měli něco zvláštního, jen jim prostě nebyl po chuti."
"awoke","awake","probudili","probudit","pf"," At that moment, all the passengers awoke."," Cestující se naráz probudili."
"screamed","scream","řvali","řvát","impf"," They screamed and bawled and hollered till Zaphod thought his ears would shatter."," Hulákali, řvali a ječeli, až měl Zafod dojem, že se mu rozskočí hlava."
"bawled","bawl","řvali","řvát","impf"," They screamed and bawled and hollered till Zaphod thought his ears would shatter."," Hulákali, řvali a ječeli, až měl Zafod dojem, že se mu rozskočí hlava."
"hollered","holler","řvali","řvát","impf"," They screamed and bawled and hollered till Zaphod thought his ears would shatter."," Hulákali, řvali a ječeli, až měl Zafod dojem, že se mu rozskočí hlava."
"thought","think","měl","mít","impf"," They screamed and bawled and hollered till Zaphod thought his ears would shatter."," Hulákali, řvali a ječeli, až měl Zafod dojem, že se mu rozskočí hlava."
"struggled","struggle","zápasili","zápasit","impf"," They struggled and writhed as the stewardess patiently moved up the aisle placing a small cup of coffee and a packet of biscuits in front of each one of them."," Svíjeli se a zápasili s pouty, zatímco letuška klidně postupovala uličkou a servírovala každému malý šálek kávy a balíček sušenek."
"moved","move","postupovala","postupovat","impf"," They struggled and writhed as the stewardess patiently moved up the aisle placing a small cup of coffee and a packet of biscuits in front of each one of them."," Svíjeli se a zápasili s pouty, zatímco letuška klidně postupovala uličkou a servírovala každému malý šálek kávy a balíček sušenek."
"rose","rise","zvedl","zvednout","pf"," Then one of them rose from his seat."," Jeden z cestujících se náhle zvedl."
"turned","turn","Otočil","otočit","pf"," He turned and looked at Zaphod."," Otočil se a pohlédl na Zafoda."
"looked","look","pohlédl","pohlédnout","pf"," He turned and looked at Zaphod."," Otočil se a pohlédl na Zafoda."
"blinked","blink","mrkal","mrkat","impf"," Max blinked in amazement."," Max mrkal úžasem."
"come","come","přišel","přijít","pf"," Zarquon has come again! ”"," Zarquon znovu přišel! """
"handed","hand","podal","podat","pf"," Thunderous applause broke out as Max strode across the stage and handed his microphone to the Prophet."," Za bouřlivého potlesku přešel Max scénu a podal mikrofon Prorokovi."
"let","let","nechal","nechat","pf"," Ford let it pass."," Ford to nechal plavat."
"said","say","řekl","říci","pf"," “ I see, ” he said."," "" Aha, "" řekl."
"achieve","achieve","dosáhnout","dosáhnout","pf"," “ What ’ s that supposed to achieve? ” asked Ford."," "" Čeho tím chceš dosáhnout? "" zeptal se Ford."
"asked","ask","zeptal","zeptat","pf"," “ What ’ s that supposed to achieve? ” asked Ford."," "" Čeho tím chceš dosáhnout? "" zeptal se Ford."
"got","get","přimět","přimět","pf"," “ We ’ ve got to encourage them to evolve!"," "" Musíme je přimět, aby se vyvíjeli."
"evolve","evolve","vyvíjeli","vyvíjet","impf"," “ We ’ ve got to encourage them to evolve!"," "" Musíme je přimět, aby se vyvíjeli."
"said","say","pronesl","pronést","pf"," “ Errrrrrrrrrrr ... ” said Number Two."," "" Éééé ..., "" pronesl Jednička."
"Pull","pull","Tahej","tahat","impf"," Pull them out."," Tahej."
"closed","close","zavřel","zavřít","pf"," Arthur closed his eyes and plunged his hand into the towelful of stones."," Arthur zavřel oči a ponořil ruku do ručníku plného kamení."
"plunged","plunge","ponořil","ponořit","pf"," Arthur closed his eyes and plunged his hand into the towelful of stones."," Arthur zavřel oči a ponořil ruku do ručníku plného kamení."
"pulled","pull","vytáhl","vytáhnout","pf"," He jiggled them about, pulled out four and handed them to Ford."," Prohrábl je, pak vytáhl čtyři a podal je Fordovi."
"handed","hand","podal","podat","pf"," He jiggled them about, pulled out four and handed them to Ford."," Prohrábl je, pak vytáhl čtyři a podal je Fordovi."
"got","get","dostal","dostat","pf"," Ford laid them along the ground in the order he got them."," Ford je narovnal na trávu v pořadí, v jakém je dostal."
"shouted","shout","zavolal","zavolat","pf"," “ Beeblebrox, over here! ” he shouted."," "" Tady, Bíblbrox! "" zavolal."
"built","build","vybudován","vybudovat","pf"," It is built on the fragmented remains of an eventually ruined planet which is ( wioll haven be ) enclosed in a vast time bubble and projected forward in time to the precise moment of the End of the Universe."," Je vybudován na troskách zničené planety, která je ( bude byta ) uzavřena v obrovské časové bublině a katapultována v čase přesně do okamžiku konce vesmíru."
"enclosed","enclose","uzavřena","uzavřít","pf"," It is built on the fragmented remains of an eventually ruined planet which is ( wioll haven be ) enclosed in a vast time bubble and projected forward in time to the precise moment of the End of the Universe."," Je vybudován na troskách zničené planety, která je ( bude byta ) uzavřena v obrovské časové bublině a katapultována v čase přesně do okamžiku konce vesmíru."
"say","say","řekla","říci","pf"," This is, many would say, impossible."," Spousta lidí by řekla, že je to nemožné."
"understood","understand","chápe","chápat","impf"," Again, tricky to know why this is understood as fighting behaviour."," I zde je těžko říct, proč se takové chování chápe jako příprava ke rvačce."
"stolen","steal","ukradl","ukrást","pf"," Zaphod Beeblebrox was now the ex-President of the Galaxy, and though every police force in the Galaxy was currently pursuing both him and this ship he had stolen, the Vogon was not interested."," Exprezidenta teď honili všichni policajti celé Galaxie i s lodí, kterou ukradl, ale to Vogona nezajímalo."
"doing","do","dělá","dělat","impf"," “ What ’ s he doing in the car park? ” asked Arthur."," "" Co dělá na parkovišti? "" podivil se Arthur."
"see","see","vidět","vidět","impf"," Out of the window, they could see nothing but the flickering light of the force beams, and vague green streaks which were presumably the distorted shapes of the Frogstar Fighters."," Venku nebylo vidět nic než mihotavé světlo silových paprsků a nezřetelné nazelenalé šmouhy - zdeformované podoby Žabích válečných strojů."
"walked","walk","procházel","procházet","impf"," He walked slowly down the aisle as in a dream."," Jako ve snu procházel uličkou mezi sedadly."
"reached","reach","došla","dojít","pf"," By the time he was half-way down the aisle, the stewardess had reached the other end."," Když dospěl asi do poloviny, letuška už došla na konec."
"turned","turn","Obrátila","obrátit","pf"," She turned and spoke."," Obrátila se a sladce zahovořila :"
"Thank","thank","děkujeme","děkovat","impf"," “ Good afternoon ladies and gentlemen, ” she said sweetly, “ Thank you for bearing with us during this slight delay."," "" Dobré odpoledne, dámy a pánové, děkujeme vám, že s námi snášíte toto drobné zdržení."
"bearing","bear","snášíte","snášet","impf"," “ Good afternoon ladies and gentlemen, ” she said sweetly, “ Thank you for bearing with us during this slight delay."," "" Dobré odpoledne, dámy a pánové, děkujeme vám, že s námi snášíte toto drobné zdržení."
"wake","wake","probuďte","probudit","pf"," If you would like to wake up now I will serve you coffee and biscuits. ”"," Laskavě se probuďte, podám vám kávu a sušenky. """
"serve","serve","podám","podat","pf"," If you would like to wake up now I will serve you coffee and biscuits. ”"," Laskavě se probuďte, podám vám kávu a sušenky. """
"rise","rise","zdvihají","zdvihat","impf"," Behind me the speaker stacks rise like a sheer cliff face, and high above me the sun is shining away and doesn ’ t know what ’ s going to hit it."," Jako strmé útesy se za mnou zdvihají věže reproduktorů a vysoko nahoře svítí o sto šest slunce a netuší, co ho čeká."
"shining","shine","svítí","svítit","impf"," Behind me the speaker stacks rise like a sheer cliff face, and high above me the sun is shining away and doesn ’ t know what ’ s going to hit it."," Jako strmé útesy se za mnou zdvihají věže reproduktorů a vysoko nahoře svítí o sto šest slunce a netuší, co ho čeká."
"do","do","způsobí","způsobit","pf"," The environmentalist lobby do know what ’ s going to hit it, and they claim that the concert will cause earthquakes, tidal waves, hurricanes, irreparable damage to the atmosphere, and all the usual things that environmentalists usually go on about."," Delegace ochránců životního prostředí ví, co ho čeká - tvrdí, že koncert způsobí zemětřesení, přílivové vlny, hurikány, nenapravitelné změny v atmosféře a tak dále - zkrátka všechno to, o čem ochránci životního prostředí neustále mluví."
"cause","cause","způsobí","způsobit","pf"," The environmentalist lobby do know what ’ s going to hit it, and they claim that the concert will cause earthquakes, tidal waves, hurricanes, irreparable damage to the atmosphere, and all the usual things that environmentalists usually go on about."," Delegace ochránců životního prostředí ví, co ho čeká - tvrdí, že koncert způsobí zemětřesení, přílivové vlny, hurikány, nenapravitelné změny v atmosféře a tak dále - zkrátka všechno to, o čem ochránci životního prostředí neustále mluví."
"saw","see","Viděl","vidět","impf"," All he saw, however, was the dust, the rubble and the towering hulks of the encircling buildings."," Viděl však jen prach, zborcené zdivo a tyčící se vraky okolních budov."
"passed","pass","prošli","projít","pf"," A young Vl ’ Hurg officer and his green steaming young lady passed through the large smoked glass doors at the far end of the bar into the dazzling light of the main body of the Restaurant beyond."," Na opačném konci baru právě prošli dveřmi z kouřového skla mladý l ' hurgský důstojník a jeho mladičká dáma, z níž se zeleně kouřilo, a vnořili se do oslnivých světel hlavního sálu Restaurantu."
"smoked","smoke","kouřilo","kouřit","impf"," A young Vl ’ Hurg officer and his green steaming young lady passed through the large smoked glass doors at the far end of the bar into the dazzling light of the main body of the Restaurant beyond."," Na opačném konci baru právě prošli dveřmi z kouřového skla mladý l ' hurgský důstojník a jeho mladičká dáma, z níž se zeleně kouřilo, a vnořili se do oslnivých světel hlavního sálu Restaurantu."
"steal","steal","ukrást","ukrást","pf"," I wouldn ’ t be able to go and be President, and I wouldn ’ t be able to steal this ship, which must be the important thing."," Nedokázal bych stát se prezidentem a nedokázal bych ukrást tuhle loď, a to je určitě hodně důležitý."
"watched","watch","pozorovali","pozorovat","impf"," From a nearby hillside Ford Prefect and Arthur Dent watched the horror of which they could not feel a part."," Ford Prefect a Arthur Dent z blízkého vršku pozorovali hrůzy, jejichž součástí se však cítit nemohli."
"feel","feel","cítit","cítit","impf"," From a nearby hillside Ford Prefect and Arthur Dent watched the horror of which they could not feel a part."," Ford Prefect a Arthur Dent z blízkého vršku pozorovali hrůzy, jejichž součástí se však cítit nemohli."
"mean","mean","chcete","chtít","impf"," “ Oh, ” said Arthur brightly, “ you mean we ’ ve travelled in time but not in space. ”"," "" Aha, "" poznamenal Arthur bystře, chcete říct, že jsme cestovali v čase, nikoli v prostoru. """
"said","say","říct","říci","pf"," “ Oh, ” said Arthur brightly, “ you mean we ’ ve travelled in time but not in space. ”"," "" Aha, "" poznamenal Arthur bystře, chcete říct, že jsme cestovali v čase, nikoli v prostoru. """
"travelled","travel","cestovali","cestovat","impf"," “ Oh, ” said Arthur brightly, “ you mean we ’ ve travelled in time but not in space. ”"," "" Aha, "" poznamenal Arthur bystře, chcete říct, že jsme cestovali v čase, nikoli v prostoru. """
"enjoy","enjoy","těší","těšit","impf"," The Lalamatine district is one of those very few areas which doesn ’ t enjoy a perpetual Saturday afternoon - it enjoys instead the cool of a perpetual early Saturday evening."," Lalamatinská čtvrť je z těch mále oblastí, kde nevládne věčné sobotní odpoledne, - místo toho se těší příjemnému chladu věčného sobotního večera."
"enjoys","enjoy","těší","těšit","impf"," The Lalamatine district is one of those very few areas which doesn ’ t enjoy a perpetual Saturday afternoon - it enjoys instead the cool of a perpetual early Saturday evening."," Lalamatinská čtvrť je z těch mále oblastí, kde nevládne věčné sobotní odpoledne, - místo toho se těší příjemnému chladu věčného sobotního večera."
"lie","lie","leží","ležet","impf"," Behind it lie the night clubs."," Za Lalamatinskou leží čtvrť nočních podniků."
"interrogate","interrogate","nevyslechnete","vyslechnout","pf"," “ Don ’ t you want to interrogate the prisoners, sir? ” he squealed."," "" Copak zajatce ani nevyslechnete, pane? "" zakvičel."
"get","get","dostal","dostat","pf"," “ To get information out of them, sir!"," "" Abyste z nich dostal informace, pane!"
"find","find","zjistit","zjistit","pf"," To find out why they came here! ”"," Musíme zjistit, co tu vlastně chtějí! """
"approach","approach","blížil","blížit","impf"," Slowly the deer would approach, step by step, until it was almost nuzzling him, whereupon Ford Prefect would reach out to it and break its neck."," Sob se k němu zvolna krok za krokem blížil, až se ho téměř dotýkal čenichem, načež Ford vztáhl ruku a zlomil mu vaz."
"break","break","zlomil","zlomit","pf"," Slowly the deer would approach, step by step, until it was almost nuzzling him, whereupon Ford Prefect would reach out to it and break its neck."," Sob se k němu zvolna krok za krokem blížil, až se ho téměř dotýkal čenichem, načež Ford vztáhl ruku a zlomil mu vaz."
"remember","remember","vzpomínáš","vzpomínat","impf"," That bit, remember? ”"," Tahle pasáž, vzpomínáš? """
"says","say","povídá","povídat","impf"," “ Your God person puts an apple tree in the middle of a garden and says do what you like guys, oh, but don ’ t eat the apple."," "" Jak ten váš Bůh zasadí doprostřed zahrady jabloň a povídá, hele, dělejte si co chcete, jen si nesmíte vzít jablko."
"do","do","dělejte","dělat","impf"," “ Your God person puts an apple tree in the middle of a garden and says do what you like guys, oh, but don ’ t eat the apple."," "" Jak ten váš Bůh zasadí doprostřed zahrady jabloň a povídá, hele, dělejte si co chcete, jen si nesmíte vzít jablko."
"like","like","chcete","chtít","impf"," “ Your God person puts an apple tree in the middle of a garden and says do what you like guys, oh, but don ’ t eat the apple."," "" Jak ten váš Bůh zasadí doprostřed zahrady jabloň a povídá, hele, dělejte si co chcete, jen si nesmíte vzít jablko."
"do","do","vzít","vzít","pf"," “ Your God person puts an apple tree in the middle of a garden and says do what you like guys, oh, but don ’ t eat the apple."," "" Jak ten váš Bůh zasadí doprostřed zahrady jabloň a povídá, hele, dělejte si co chcete, jen si nesmíte vzít jablko."
"leaps","leap","vyskočí","vyskočit","pf"," Surprise surprise, they eat it and he leaps out from behind a bush shouting ‘ Gotcha ’."," Oni ho, což je ohromný překvapení, snědí, načež Bůh vyskočí z roští a pokřikuje ' A mám vás '."
"want","want","chtěl","chtít","impf"," Most of all he didn ’ t want to be standing in an office block arguing with an elevator."," Ale vůbec ze všeho nejmíň chtěl stát v třicetiposchoďovém věžáku a handrkovat se s výtahem."
"asked","ask","zeptal","zeptat","pf"," “ Like what other possibilities? ” he asked wearily."," "" Jaké možnosti, například? "" zeptal se unaveně."
"imagine","imagine","představuju","představovat","impf"," Or so I imagine I ’ m told."," Nebo si aspoň představuju, že to říkají."
"told","tell","říkají","říkat","impf"," Or so I imagine I ’ m told."," Nebo si aspoň představuju, že to říkají."
"come","come","přijdou","přijít","pf"," When the men come, or when in my mind the men come in their six black ships, do they come in your mind too?"," Když přijdou ti muži, nebo když v mých představách přijdou ti muži v šesti lesklých černých lodích, přicházejí i ve tvých představách?"
"come","come","přijdou","přijít","pf"," When the men come, or when in my mind the men come in their six black ships, do they come in your mind too?"," Když přijdou ti muži, nebo když v mých představách přijdou ti muži v šesti lesklých černých lodích, přicházejí i ve tvých představách?"
"come","come","přijdou","přijít","pf"," When the men come, or when in my mind the men come in their six black ships, do they come in your mind too?"," Když přijdou ti muži, nebo když v mých představách přijdou ti muži v šesti lesklých černých lodích, přicházejí i ve tvých představách?"
"come","come","přijdou","přijít","pf"," When the men come, or when in my mind the men come in their six black ships, do they come in your mind too?"," Když přijdou ti muži, nebo když v mých představách přijdou ti muži v šesti lesklých černých lodích, přicházejí i ve tvých představách?"
"come","come","přijdou","přijít","pf"," When the men come, or when in my mind the men come in their six black ships, do they come in your mind too?"," Když přijdou ti muži, nebo když v mých představách přijdou ti muži v šesti lesklých černých lodích, přicházejí i ve tvých představách?"
"come","come","přijdou","přijít","pf"," When the men come, or when in my mind the men come in their six black ships, do they come in your mind too?"," Když přijdou ti muži, nebo když v mých představách přijdou ti muži v šesti lesklých černých lodích, přicházejí i ve tvých představách?"
"come","come","přicházejí","přicházet","impf"," When the men come, or when in my mind the men come in their six black ships, do they come in your mind too?"," Když přijdou ti muži, nebo když v mých představách přijdou ti muži v šesti lesklých černých lodích, přicházejí i ve tvých představách?"
"come","come","přicházejí","přicházet","impf"," When the men come, or when in my mind the men come in their six black ships, do they come in your mind too?"," Když přijdou ti muži, nebo když v mých představách přijdou ti muži v šesti lesklých černých lodích, přicházejí i ve tvých představách?"
"come","come","přicházejí","přicházet","impf"," When the men come, or when in my mind the men come in their six black ships, do they come in your mind too?"," Když přijdou ti muži, nebo když v mých představách přijdou ti muži v šesti lesklých černých lodích, přicházejí i ve tvých představách?"
"see","see","vidíš","vidět","impf"," What do you see pussy? ”"," Co asi vidíš, kočičko? """
"met","meet","setkal","setkat","pf"," “ But I ’ ve just had a report that a representative of Disaster Area met with the environmentalists at lunchtime, and had them all shot, so nothing now lies in the way of ... ”"," Právě jsme dostali hlášení od zástupce skupiny Postižená oblast, který se v poledne s ochránci setkal a dal je všechny postřílet, takže už nic nestojí v cestě ... """
"turned","turn","Obrátil","obrátit","pf"," He turned to Ford."," Obrátil se k Fordovi."
"think","think","Myslím","myslet","impf"," “ I think so, ” said Ford."," "" Myslím, že jo, "" přikývl Ford."
"think","think","myslíš","myslet","impf"," “ Tell me what you think I ’ m thinking. ”"," "" Řekni mi, co si myslíš, že si myslím. """
"think","think","myslím","myslet","impf"," “ Tell me what you think I ’ m thinking. ”"," "" Řekni mi, co si myslíš, že si myslím. """
"think","think","Myslím","myslet","impf"," “ I think you ’ re thinking it ’ s time we get off this ship. ”"," "" Myslím, že si myslíš, že je načase vypadnout z téhle lodi. """
"thinking","think","Myslím","myslet","impf"," “ I think you ’ re thinking it ’ s time we get off this ship. ”"," "" Myslím, že si myslíš, že je načase vypadnout z téhle lodi. """
"think","think","myslíš","myslet","impf"," “ I think you ’ re thinking it ’ s time we get off this ship. ”"," "" Myslím, že si myslíš, že je načase vypadnout z téhle lodi. """
"thinking","think","myslíš","myslet","impf"," “ I think you ’ re thinking it ’ s time we get off this ship. ”"," "" Myslím, že si myslíš, že je načase vypadnout z téhle lodi. """
"get","get","dostat","dostat","pf"," “ They ’ ll have to come and get me first. ”"," "" Jenže nejdřív mě musej dostat. """
"need","need","Nemusel","muset","impf"," He didn ’ t need to do this since his body was supplied with the peculiar assortment of gases it required for survival from a small intravenous device strapped to his leg."," Nemusel to dělat, protože zvláštní směs plynů, které jeho tělo potřebovalo k přežití, přijímal rovnou do žíly prostřednictvím nepatrného zařízení, připevněného k noze."
"do","do","dělat","dělat","impf"," He didn ’ t need to do this since his body was supplied with the peculiar assortment of gases it required for survival from a small intravenous device strapped to his leg."," Nemusel to dělat, protože zvláštní směs plynů, které jeho tělo potřebovalo k přežití, přijímal rovnou do žíly prostřednictvím nepatrného zařízení, připevněného k noze."
"need","need","potřebovalo","potřebovat","impf"," He didn ’ t need to do this since his body was supplied with the peculiar assortment of gases it required for survival from a small intravenous device strapped to his leg."," Nemusel to dělat, protože zvláštní směs plynů, které jeho tělo potřebovalo k přežití, přijímal rovnou do žíly prostřednictvím nepatrného zařízení, připevněného k noze."
"required","require","potřebovalo","potřebovat","impf"," He didn ’ t need to do this since his body was supplied with the peculiar assortment of gases it required for survival from a small intravenous device strapped to his leg."," Nemusel to dělat, protože zvláštní směs plynů, které jeho tělo potřebovalo k přežití, přijímal rovnou do žíly prostřednictvím nepatrného zařízení, připevněného k noze."
"order","order","objednali","objednat","pf"," “ Now, if you would care to order drinks at last, ” he said, “ I will then show you to your table. ”"," "" Tak kdybyste si laskavě už konečně objednali ten aperitiv, uvedl bych vás ke stolu, "" řekl s povzdechem."
"show","show","uvedl","uvést","pf"," “ Now, if you would care to order drinks at last, ” he said, “ I will then show you to your table. ”"," "" Tak kdybyste si laskavě už konečně objednali ten aperitiv, uvedl bych vás ke stolu, "" řekl s povzdechem."
"said","say","řekl","říci","pf"," “ Now, if you would care to order drinks at last, ” he said, “ I will then show you to your table. ”"," "" Tak kdybyste si laskavě už konečně objednali ten aperitiv, uvedl bych vás ke stolu, "" řekl s povzdechem."
"grasped","grasp","Popadl","popadnout","pf"," He grasped Arthur by the arm."," Popadl Arthura za paži."
"came","come","přijde","přijít","pf"," No, life was very pleasant, and the greatest thing about it was that when the hot spring was found, complete with leafy glade en suite, and when in the fullness of time the cry came reverberating across the hills that the soap mine had been located and was producing five hundred cakes a day it would be more pleasant still."," Ano, život byl velmi příjemný a nejúžasnější na něm, že jednou, až bude nalezen horký pramen i se slunnou pasekou, až přijde čas, kdy okolními vrchy zazní volání, že byl objeven důl, produkující pět set kostek mýdla denně, bude žití ještě příjemnější."
"found","find","objeven","objevit","pf"," No, life was very pleasant, and the greatest thing about it was that when the hot spring was found, complete with leafy glade en suite, and when in the fullness of time the cry came reverberating across the hills that the soap mine had been located and was producing five hundred cakes a day it would be more pleasant still."," Ano, život byl velmi příjemný a nejúžasnější na něm, že jednou, až bude nalezen horký pramen i se slunnou pasekou, až přijde čas, kdy okolními vrchy zazní volání, že byl objeven důl, produkující pět set kostek mýdla denně, bude žití ještě příjemnější."
"located","locate","objeven","objevit","pf"," No, life was very pleasant, and the greatest thing about it was that when the hot spring was found, complete with leafy glade en suite, and when in the fullness of time the cry came reverberating across the hills that the soap mine had been located and was producing five hundred cakes a day it would be more pleasant still."," Ano, život byl velmi příjemný a nejúžasnější na něm, že jednou, až bude nalezen horký pramen i se slunnou pasekou, až přijde čas, kdy okolními vrchy zazní volání, že byl objeven důl, produkující pět set kostek mýdla denně, bude žití ještě příjemnější."
"indicated","indicate","ukázal","ukázat","pf"," In the pandemonium that instantly followed, the only action to follow was that of Ford Prefect lunging across the cabin to the small black box that Arthur had indicated and stabbing repeatedly at the single small black button set into it."," Ve zmatku, který vypukl, dávala smysl jen jediná akce - Ford přeskočil kabinu, vrhl se k černé skříňce, na niž Arthur ukázal a začal zuřivě mačkat jediný černý knoflík, kterým se zřejmě ovládala."
"want","want","chceš","chtít","impf"," You want to meet the man who rules the Universe. ”"," "" Ty dobře víš, Bíblbroxi, že chceš najít bytost, která vládne vesmíru. """
"rules","rule","vládne","vládnout","impf"," You want to meet the man who rules the Universe. ”"," "" Ty dobře víš, Bíblbroxi, že chceš najít bytost, která vládne vesmíru. """
"cook","cook","vařit","vařit","impf"," “ Can he cook? ” said Zaphod."," "" Umí vařit? "" zeptal se dychtivě Zafod."
"added","add","dodal","dodat","pf"," On reflection he added :"," Po úvaze dodal :"
"raised","raise","pozvedla","pozvednout","pf"," A small group of hairy men with helmets sat looking very pleased with themselves, and raised their glasses to him."," Skupinka vlasatých mužů v helmicích, tvářících se velmi samolibě, pozvedla sklenice směrem k Maxovi."
"thought","think","pomyslel","pomyslet","pf"," Has-beens, he thought to himself."," Vyřízené veličiny, pomyslel si."
"did","do","předvedla","předvést","pf"," They did their trick with the lightning again."," Božstva znovu předvedla svůj trik s bleskem."
"gave","give","věnoval","věnovat","impf"," Max gave them a very thin lipped smile."," Max jim věnoval poněkud nucený úsměv."
"sighed","sigh","Vzdychl","vzdychnout","pf"," He sighed and put it down again."," Vzdychl a zase je odložil."
"put","put","položil","položit","pf"," The letter he put down next to it was an I."," Písmeno, vedle něhož je položil, bylo O."
"expressed","express","vyjadřovalo","vyjadřovat","impf"," By a curious coincidence the resulting word perfectly expressed the way Arthur was feeling about things just then."," Podivnou shodou okolností výsledné slovo vyjadřovalo dost přesně Arthurovy momentální pocity."
"stared","stare","zíral","zírat","impf"," He stared at it for a moment."," Chvíli na ně zíral."
"done","do","Neudělal","udělat","pf"," He hadn ’ t done it deliberately, it was just a random chance."," Neudělal to schválně, byla to hra náhody."
"lasts","last","trvá","trvat","impf"," The treatment lasts seconds, but the effect lasts the rest of your life! ”"," Mučení trvá pár vteřin, následky celý život! """
"lasts","last","trvá","trvat","impf"," The treatment lasts seconds, but the effect lasts the rest of your life! ”"," Mučení trvá pár vteřin, následky celý život! """
"asked","ask","zeptal","zeptat","pf"," “ You ever had a Pan Galactic Gargle Blaster? ” asked Zaphod sharply."," "" Už jsi někdy pil Pangalaktický megacloumák? "" zeptal se Zafod ostře."
"preparing","prepare","chystají","chystat","impf"," And as the photon storms gather in swirling crowds around us, preparing to tear apart the last of the red hot suns, I know you ’ re all going to settle back and enjoy with me what I know we will find all an immensely exciting and terminal experience. ”"," A zatímco kolem nás zuří fotonové bouře v děsivých smrštích a chystají se rozervat zbytky rudě žhnoucích sluncí, vy se jistě pěkně usadíte a budete se mnou vychutnávat to, co určitě bude nám všem připadat jako nesmírně vzrušující, absolutní podívaná. """
"settle","settle","usadíte","usadit","pf"," And as the photon storms gather in swirling crowds around us, preparing to tear apart the last of the red hot suns, I know you ’ re all going to settle back and enjoy with me what I know we will find all an immensely exciting and terminal experience. ”"," A zatímco kolem nás zuří fotonové bouře v děsivých smrštích a chystají se rozervat zbytky rudě žhnoucích sluncí, vy se jistě pěkně usadíte a budete se mnou vychutnávat to, co určitě bude nám všem připadat jako nesmírně vzrušující, absolutní podívaná. """
