"loved","love","miluji","milovat","impf"," I had n't known I loved her."," Nevěděl jsem, že ji miluji."
"mean","mean","myslel","myslet","impf"," "" What did you mean? """," "" Jak jste to předtím myslel? """
"thank","thank","děkuju","děkovat","impf"," "" No, thank you. """," "" Pěkně děkuju. """
"offer","offer","nabídnout","nabídnout","pf"," I had nothing but a lot of ruins to offer anyone, and she had the whole world to choose from, the sister of Colin Ross."," Nemohl jsem jí nabídnout nic než trosky, a ona měla celý svět, mohla si vybrat, koho chtěla, byla sestra Colina Rosse."
"choose","choose","vybrat","vybrat","pf"," I had nothing but a lot of ruins to offer anyone, and she had the whole world to choose from, the sister of Colin Ross."," Nemohl jsem jí nabídnout nic než trosky, a ona měla celý svět, mohla si vybrat, koho chtěla, byla sestra Colina Rosse."
"choose","choose","chtěla","chtít","impf"," I had nothing but a lot of ruins to offer anyone, and she had the whole world to choose from, the sister of Colin Ross."," Nemohl jsem jí nabídnout nic než trosky, a ona měla celý svět, mohla si vybrat, koho chtěla, byla sestra Colina Rosse."
"stay","stay","zůstanu","zůstat","pf"," If I was an iceberg, as Honey said, I 'd better stay an iceberg."," Jestli měla Honey pravdu a já byl ledovec, bude nejlíp, když ledovcem zůstanu."
"said","say","Slíbil","slíbit","pf"," I would fetch them from the bar, I said, once the check was done."," Slíbil jsem svým cestujícím, že se pro ně stavím v baru, až bude všechno hotovo."
"pointed","point","ukazoval","ukazovat","impf"," The fuel meter still resolutely pointed to nought, which was slightly optimistic, but the electrical fault had been cured : no overload now on the generator."," Průtokoměr paliva sice ještě stále povzbudivě ukazoval na nulu, ale elektrika už byla v pořádku, generátor nebyl přetížený."
"watched","watch","Díval","dívat","impf"," I watched her neat blue and white back view and stifled a sudden unexpected inclination to run after her and give her a Chanter type farewell."," Díval jsem se za ní, vypadala odzadu v modrobílých šatech moc pěkně a já dostal najednou nehoráznou chuť se za ní rozběhnout a rozloučit se s ní jako Chanter."
"met","meet","potkal","potkat","pf"," When I walked across the track towards the aeroplane I met Kenny Bayst coming back from it with his raincoat over his arm."," Když jsem přecházel přes dráhu na cestě k letadlu, potkal jsem Kennyho Baysta, který se právě odtamtud vracel s pláštěm přes ruku."
"tell","tell","říct","říci","pf"," "" You tell Miss Annie effing Villars that I 'm not coming back with you."," "" Můžete říct milostpaní Villarsové, že s vámi nepoletím zpátky."
"flying","fly","Letěla","letět","impf"," "" She was on track to Lichfield, ETA Lichfield five three, flying visual on top at flight level four five. """," "" Letěla na Lichfield, nad který by měla přiletět v padesáté třetí minutě ETA, letěla nad mraky, letová hladina čtyři tisíce pět set stop. """
"flying","fly","letěla","letět","impf"," "" She was on track to Lichfield, ETA Lichfield five three, flying visual on top at flight level four five. """," "" Letěla na Lichfield, nad který by měla přiletět v padesáté třetí minutě ETA, letěla nad mraky, letová hladina čtyři tisíce pět set stop. """
"climbing","climb","stoupal","stoupat","impf"," We had been climbing steadily ourselves."," Taky jsem vytrvale stoupal."
"left","leave","nezapomeňte","zapomenout","pf"," "" Then it was the Major who borrowed the keys from me, to go over to the aircraft to fetch the Sporting Life which he had left there."," Ale nezapomeňte, že si major ode mne půjčil klíče od letadla, protože si tam údajně chtěl zajít pro noviny."
"borrowed","borrow","půjčil","půjčit","pf"," "" Then it was the Major who borrowed the keys from me, to go over to the aircraft to fetch the Sporting Life which he had left there."," Ale nezapomeňte, že si major ode mne půjčil klíče od letadla, protože si tam údajně chtěl zajít pro noviny."
"offered","offer","Nabízel","nabízet","impf"," He would n't let me go, though I offered."," Nabízel jsem se, že mu tam dojdu, a on nechtěl."
"locked","lock","zamkl","zamknout","pf"," He came back saying he had locked up again, and gave me back the keys."," Když se vrátil, tvrdil, že zamkl, a vrátil mi klíče."
"telephone","telephone","zatelefonovat","zatelefonovat","pf"," I could perhaps telephone to the Board of Trade ... but the Board of Trade and I were hardly on speaking terms."," Mohl bych možná zatelefonovat na ministerstvo ... jenže moje vztahy k ministerstvu nebyly zrovna nejlepší."
"expected","expect","neočekávali","očekávat","impf"," But I imagined that they had n't expected any serious opposition, and it must have been clear to them from the beginning that I did n't play their rules."," Ti chlapi ale vůbec neočekávali, že by se jim mohl někdo postavit na odpor, a taky brzy zjistili, že nedodržuji pravidla hry."
"read","read","přečíst","přečíst","pf"," We will need, you see, to hold them up in the window, so that Nancy and Colin can read what we want them to do. """," Budeme písmena přidržovat proti oknu, aby je Colin a Nancy mohli přečíst, musíme jim napsat, co mají dělat. """
"need","need","musíme","muset","impf"," We will need, you see, to hold them up in the window, so that Nancy and Colin can read what we want them to do. """," Budeme písmena přidržovat proti oknu, aby je Colin a Nancy mohli přečíst, musíme jim napsat, co mají dělat. """
"hold","hold","mají","mít","impf"," We will need, you see, to hold them up in the window, so that Nancy and Colin can read what we want them to do. """," Budeme písmena přidržovat proti oknu, aby je Colin a Nancy mohli přečíst, musíme jim napsat, co mají dělat. """
"do","do","dělat","dělat","impf"," We will need, you see, to hold them up in the window, so that Nancy and Colin can read what we want them to do. """," Budeme písmena přidržovat proti oknu, aby je Colin a Nancy mohli přečíst, musíme jim napsat, co mají dělat. """
"ruled","rule","řídit","řídit","impf"," As it ruled every cranny of a professional pilot 's life, this was hardly surprising."," Bylo to samozřejmé, profesionální piloti se museli řídit leteckým řádem prakticky na každém kroku."
"informed","inform","sděleno","sdělit","pf"," "" We have been informed that on Friday last you contravened Article 25, paragraph 4, subsection, a, and Regulation 8, paragraph 2. """," "" Bylo nám sděleno, že jste minulý pátek porušil článek dvacet pět, paragraf čtvrtý, bod a, a nařízení osmé, paragraf druhý. """
"need","need","Potřebujete","potřebovat","impf"," "" What you need now is a strong brandy. """," "" Potřebujete se teď něčeho pořádného napít. """
"took","take","Nesl","nést","impf"," He took his disappointment with charming grace, reassuring Annie that the colt would do better next time."," Nesl neúspěch důstojně a s úsměvem a utěšoval Annii Villarsovou, že to jistě bude příště lepší."
"smiled","smile","usmála","usmát","pf"," She smiled at him in soft agreement and bestowed on the jockey a look which would have bored a hole through steel plating."," Půvabně, vděčně se na vévodu usmála a jezdce obdařila pohledem ostrým jako meč."
"regretted","regret","litoval","litovat","impf"," After the attentions of Kenny Bayst 's assailants I regretted not having it around."," Po střetnutí s chlapy, kteří přepadli Kennyho Baysta, jsem tak litoval, že ten přístroj nemáme."
"get","get","poznáte","poznat","pf"," "" How will we know when we get to Cambridge? "" asked the Duke."," "" Jak poznáte, že jsme v Cambridgi? "" ptal se vévoda."
"asked","ask","ptal","ptát","impf"," "" How will we know when we get to Cambridge? "" asked the Duke."," "" Jak poznáte, že jsme v Cambridgi? "" ptal se vévoda."
"said","say","odpověděla","odpovědět","pf"," "" Oh, she 's fine, thanks, "" Nancy said."," "" Děkuji, daří se jí docela slušně, "" odpověděla Nancy."
"turned","turn","Obrátila","obrátit","pf"," She turned to me and there was less joy in her eyes than in her voice."," Obrátila se ke mně a viděl jsem, že jí radost v očích pohasla."
"slept","sleep","Spal","spát","impf"," I slept on a divan bed in Colin 's study, a small room crammed with racing trophies, filing cabinets and form books."," Spal jsem na gauči v Colinově pracovně, v malém pokoji, přecpaném loveckými trofejemi, registraturami a stohy dostihových ročenek."
"put","put","Postavil","postavit","pf"," He put the cup down on the small table beside the divan and pulled back the curtains."," Postavil šálek na malý stolek u gauče a roztáhl záclony."
"matter","matter","nezáleží","záležet","impf"," "" That does n't matter. """," "" Na tom přece nezáleží. """
"said","say","řekl","říci","pf"," "" It would n't to Nancy, "" he said."," "" Zato Nancy určitě ne, "" řekl."
"mean","mean","Chceš","chtít","impf"," "" Do you mean ... she was n't so far out ... after all? """," "" Chceš říct, že vlastně nebyla tak docela ... tak docela vedle? """
"closed","close","uzavřena","uzavřít","pf"," The school is temporarily closed, and we are not sure when it will reopen. """," Škola je přechodně uzavřena a my nevíme, kdy bude vyučování opět zahájeno. """
"agreed","agree","připustila","připustit","pf"," "" That ... er ... is so, "" she agreed."," "" Hm ... ano, máme, "" připustila."
"ask","ask","zeptat","zeptat","pf"," "" I can ask any schoolboy who does chemistry. """," "" Můžu se na to zeptat kteréhokoli školáka, který se zajímá o chemii. """
"hesitated","hesitate","Zaváhal","zaváhat","pf"," He hesitated."," Zaváhal."
"imply","imply","nenaznačil","naznačit","pf"," He would never, as the tall man had, say or imply that there could be any fault in his Government or the Board."," Nikdy by nepřiznal nebo nenaznačil, tak jako jeho vysoký kolega, že by se jeho vláda nebo ministerstvo mohly dopustit jakéhokoli přehmatu."
"said","say","řekl","říci","pf"," "" I am sure he will be pleased to hear your views, "" I said politely."," "" Pana Rosse jistě bude zajímat váš názor, "" řekl jsem zdvořile."
"pay","pay","zaplatí","zaplatit","pf"," "" And no doubt he will pay any expenses incurred in his rescue. """," "" Jsem přesvědčen, že rád zaplatí všechny výlohy, které vám při této záchranné akci vzniknou. """
"incurred","incur","vzniknou","vzniknout","pf"," "" And no doubt he will pay any expenses incurred in his rescue. """," "" Jsem přesvědčen, že rád zaplatí všechny výlohy, které vám při této záchranné akci vzniknou. """
"tried","try","snažili","snažit","impf"," After that there was a long period in which we both tried to make the best of it, and a last six months in which we had torn each other 's nerves and emotions to shreds."," Pak přišlo dlouhé období, ve kterém jsme se oba poctivě snažili, a pak posledních šest měsíců, kdy jsme si už vzájemně drásali a ničili nervy."
"tried","try","snažil","snažit","impf"," Since then I had tried more or less deliberately not to feel anything for anybody."," Od té doby jsem se snažil nemít k nikomu a k ničemu žádný vztah."
"inquire","inquire","ptal","ptát","impf"," It is I who am here to inquire into you, not the other way round. """," Já jsem tady proto, abych se ptal vás, a vy, abyste mi odpovídal, ne abyste se vy ptal mě. """
"inquire","inquire","ptal","ptát","impf"," It is I who am here to inquire into you, not the other way round. """," Já jsem tady proto, abych se ptal vás, a vy, abyste mi odpovídal, ne abyste se vy ptal mě. """
"warned","warn","varovali","varovat","impf"," "" And they even warned me, "" he muttered."," "" Však oni mě varovali, "" zamumlal."
"muttered","mutter","zamumlal","zamumlat","pf"," "" And they even warned me, "" he muttered."," "" Však oni mě varovali, "" zamumlal."
"hope","hope","Doufám","doufat","impf"," "" I hope you find the Major, "" I said politely, ' before he plants any more little devices in inconvenient places. """," "" Doufám, že majora najdete dřív, než zase něco někam nastrčí, "" poznamenal jsem zdvořile."
"find","find","najdete","najít","pf"," "" I hope you find the Major, "" I said politely, ' before he plants any more little devices in inconvenient places. """," "" Doufám, že majora najdete dřív, než zase něco někam nastrčí, "" poznamenal jsem zdvořile."
"paid","pay","vyplatila","vyplatit","pf"," Insurance, on the other hand, had done them proud : paid off the HP and left them with capital in hand."," Zato pojišťovna se zachovala kavalírsky : vyplatila společnost, od které Harley letadlo koupil, a ještě zbyl slušný kapitál pro Derrydown."
"waved","wave","zamávala","zamávat","pf"," She held them up and Nancy waved."," Ukázala číslice i písmena a Nancy zamávala."
"hired","hire","najal","najmout","pf"," The Derrydowns Six had been hired by an un-clued-up trainer who had separately agreed to share the trip with both Annie Villars and Kenny Bayst."," Mého cherokee si najal jeden nezasvěcený trenér, který, aniž se s někým poradil, slíbil volná místa v letadle Annie Villarsové i Kennymu Baystovi."
"hiring","hire","najal","najmout","pf"," Jarvis Kitch, the hiring trainer, who could have helped, retreated into a huff."," Trenér Jarvis Kitch, který si mě najal, místo aby se snažil náladu trochu spravit, se urazil a s nikým se nebavil."
"send","send","vyslat","vyslat","pf"," "" And how big would the transmitter have to be to send perhaps three different signals? """," "" A jak velká asi mohla být ta vysílačka, když bylo zapotřebí vyslat tři různé signály? """
"said","say","odpověděl","odpovědět","pf"," "" Millibars, "" I said."," "" Milibary, "" odpověděl jsem."
"fill","fill","vyplnit","vyplnit","pf"," I gave him a sketch of an appreciative smile and walked up to fill in the records in the office."," Pokusil jsem se o vděčný úsměv a odešel jsem do kanceláře vyplnit záznamy."
"ask","ask","požádal","požádat","pf"," I climbed up there to see her and ask her a considerable favour."," Zašel jsem za ní a požádal ji o velkou laskavost."
"Borrow","borrow","půjčit","půjčit","pf"," "" Borrow my Mini? "" she repeated in surprise."," "" Vy si chcete půjčit moje mini? "" podivila se."
"nodded","nod","Přikývl","přikývnout","pf"," I nodded."," Přikývl jsem."
"taking","take","použil","použít","pf"," The nitric acid slowly dissolved the copper wire, taking, at that concentration, probably about an hour and a half to complete the process. """," Při nízké koncentraci kyseliny, jakou pachatel použil, mohlo trvat hodinu až hodinu a půl, než se drát proleptal. """
"taking","take","trvat","trvat","impf"," The nitric acid slowly dissolved the copper wire, taking, at that concentration, probably about an hour and a half to complete the process. """," Při nízké koncentraci kyseliny, jakou pachatel použil, mohlo trvat hodinu až hodinu a půl, než se drát proleptal. """
"considering","consider","uvažoval","uvažovat","impf"," He stopped, considering."," Odmlčel se a uvažoval."
"leave","leave","nechat","nechat","pf"," We could n't leave them to struggle and look somewhere else for the ones we wanted ..."," Nemohli bychom je nechat napospas osudu a odletět jinam, hledat ty, na kterých nám tolik záleží."
"look","look","hledat","hledat","impf"," We could n't leave them to struggle and look somewhere else for the ones we wanted ..."," Nemohli bychom je nechat napospas osudu a odletět jinam, hledat ty, na kterých nám tolik záleží."
"wanted","want","hledat","hledat","impf"," We could n't leave them to struggle and look somewhere else for the ones we wanted ..."," Nemohli bychom je nechat napospas osudu a odletět jinam, hledat ty, na kterých nám tolik záleží."
"say","say","Řekněte","říci","pf"," "" You say, and I 'll write them down, and then make them. """," "" Řekněte která, já si je napíšu a pak je vystříhám. """
"write","write","napíšu","napsat","pf"," "" You say, and I 'll write them down, and then make them. """," "" Řekněte která, já si je napíšu a pak je vystříhám. """
"meant","mean","Myslel","myslet","impf"," "" I really meant, sir, his ... er ... character. """," "" Myslel jsem, jaký je vůbec, jakou má povahu ... """
"left","leave","Nechal","nechat","pf"," I left everything where it was and eased myself out on to the wing."," Nechal jsem všechno tak, jak to bylo a vysoukal se ven na křídlo."
"mean","mean","znamená","znamenat","impf"," What does it mean? """," Co to znamená? """
"sighed","sigh","vzdychl","vzdychnout","pf"," "" I do n't know, "" I sighed."," "" To je právě to, že nevím, "" vzdychl jsem."
"did","do","udělal","udělat","pf"," "" I only know who did it."," "" Já jenom vím, kdo to udělal."
"said","say","řekl","říci","pf"," "" Well done with Rudiments, sir, "" I said."," "" Gratuluji k Rudimentsovi, pane, "" řekl jsem."
"found","find","zjistila","zjistit","pf"," Had found she could n't : had gone on again in what she thought was the direction of Cambridge."," Pak asi zjistila, že se zmýlila a vrátila se na původní trasu na Cambridge."
"turned","turn","Otočil","otočit","pf"," He turned on his heel and walked away."," Otočil se na patě a odešel."
"won","win","vyhrál","vyhrát","pf"," Rudiments won the big race."," Rudiments vyhrál hlavní dostih."
"hear","hear","slyšel","slyšet","impf"," I could hear the boos all the way from the stands."," Z dálky jsem slyšel nespokojený křik zklamaného publika."
"sleep","sleep","usnul","usnout","pf"," I yawned, leaned back in my seat, and went to sleep."," Zívl jsem, uvelebil se na svém sedadle a usnul."
"flung","fling","odhodil","odhodit","pf"," I stretched my right arm forward to meet it and when it landed on my hand I flung it with a bowling action high into the air behind where I was standing, back as far as I could over the parked rows, because behind them, at the rear, there was empty space."," Napřáhl jsem po ní ruku a jakmile jsem ji zachytil, odhodil jsem ji vší silou za sebe, dozadu, za poslední zaparkované vozy, kde nikdo nebyl."
"says","say","Říká","říkat","impf"," He wo n't be riding again before next season, he says."," Říká, že tuhle sezónu už jezdit nebude."
"riding","ride","jezdit","jezdit","impf"," He wo n't be riding again before next season, he says."," Říká, že tuhle sezónu už jezdit nebude."
"told","tell","Říká","říkat","impf"," Sent them a tenner, he told me, so he 's hoping to collect two thousand pounds at least."," Říká, že zaplatil deset liber a že doufá, že dostane aspoň dva tisíce."
"hoping","hope","doufá","doufat","impf"," Sent them a tenner, he told me, so he 's hoping to collect two thousand pounds at least."," Říká, že zaplatil deset liber a že doufá, že dostane aspoň dva tisíce."
"told","tell","řekla","říci","pf"," Chanter 's landlady told Nancy where he had gone ... somewhere in Manchester, to do a painting of industrial chimneys, she thought ... but Nancy decided it was n't Chanter she wanted ... and she did n't know what to do, she still felt muddled ... and then outside the art school she met a girl who had been a student with us in London."," Chanterova bytná řekla Nancy, kam jel ... je prý někde v Manchesteru a maluje tam tovární komíny ... ale Nancy se rozhodla, že žádného Chantera nechce ... nevěděla ale, co dělat ... byla ještě rozčilená a zmatená ... no, a potom před tou školou potkala jednu dívku, která s námi studovala v Londýně."
"gone","go","jel","jet","impf"," Chanter 's landlady told Nancy where he had gone ... somewhere in Manchester, to do a painting of industrial chimneys, she thought ... but Nancy decided it was n't Chanter she wanted ... and she did n't know what to do, she still felt muddled ... and then outside the art school she met a girl who had been a student with us in London."," Chanterova bytná řekla Nancy, kam jel ... je prý někde v Manchesteru a maluje tam tovární komíny ... ale Nancy se rozhodla, že žádného Chantera nechce ... nevěděla ale, co dělat ... byla ještě rozčilená a zmatená ... no, a potom před tou školou potkala jednu dívku, která s námi studovala v Londýně."
"decided","decide","rozhodla","rozhodnout","pf"," Chanter 's landlady told Nancy where he had gone ... somewhere in Manchester, to do a painting of industrial chimneys, she thought ... but Nancy decided it was n't Chanter she wanted ... and she did n't know what to do, she still felt muddled ... and then outside the art school she met a girl who had been a student with us in London."," Chanterova bytná řekla Nancy, kam jel ... je prý někde v Manchesteru a maluje tam tovární komíny ... ale Nancy se rozhodla, že žádného Chantera nechce ... nevěděla ale, co dělat ... byla ještě rozčilená a zmatená ... no, a potom před tou školou potkala jednu dívku, která s námi studovala v Londýně."
"wanted","want","nechce","chtít","impf"," Chanter 's landlady told Nancy where he had gone ... somewhere in Manchester, to do a painting of industrial chimneys, she thought ... but Nancy decided it was n't Chanter she wanted ... and she did n't know what to do, she still felt muddled ... and then outside the art school she met a girl who had been a student with us in London."," Chanterova bytná řekla Nancy, kam jel ... je prý někde v Manchesteru a maluje tam tovární komíny ... ale Nancy se rozhodla, že žádného Chantera nechce ... nevěděla ale, co dělat ... byla ještě rozčilená a zmatená ... no, a potom před tou školou potkala jednu dívku, která s námi studovala v Londýně."
"gone","go","dělat","dělat","impf"," Chanter 's landlady told Nancy where he had gone ... somewhere in Manchester, to do a painting of industrial chimneys, she thought ... but Nancy decided it was n't Chanter she wanted ... and she did n't know what to do, she still felt muddled ... and then outside the art school she met a girl who had been a student with us in London."," Chanterova bytná řekla Nancy, kam jel ... je prý někde v Manchesteru a maluje tam tovární komíny ... ale Nancy se rozhodla, že žádného Chantera nechce ... nevěděla ale, co dělat ... byla ještě rozčilená a zmatená ... no, a potom před tou školou potkala jednu dívku, která s námi studovala v Londýně."
"do","do","dělat","dělat","impf"," Chanter 's landlady told Nancy where he had gone ... somewhere in Manchester, to do a painting of industrial chimneys, she thought ... but Nancy decided it was n't Chanter she wanted ... and she did n't know what to do, she still felt muddled ... and then outside the art school she met a girl who had been a student with us in London."," Chanterova bytná řekla Nancy, kam jel ... je prý někde v Manchesteru a maluje tam tovární komíny ... ale Nancy se rozhodla, že žádného Chantera nechce ... nevěděla ale, co dělat ... byla ještě rozčilená a zmatená ... no, a potom před tou školou potkala jednu dívku, která s námi studovala v Londýně."
"did","do","dělat","dělat","impf"," Chanter 's landlady told Nancy where he had gone ... somewhere in Manchester, to do a painting of industrial chimneys, she thought ... but Nancy decided it was n't Chanter she wanted ... and she did n't know what to do, she still felt muddled ... and then outside the art school she met a girl who had been a student with us in London."," Chanterova bytná řekla Nancy, kam jel ... je prý někde v Manchesteru a maluje tam tovární komíny ... ale Nancy se rozhodla, že žádného Chantera nechce ... nevěděla ale, co dělat ... byla ještě rozčilená a zmatená ... no, a potom před tou školou potkala jednu dívku, která s námi studovala v Londýně."
"do","do","dělat","dělat","impf"," Chanter 's landlady told Nancy where he had gone ... somewhere in Manchester, to do a painting of industrial chimneys, she thought ... but Nancy decided it was n't Chanter she wanted ... and she did n't know what to do, she still felt muddled ... and then outside the art school she met a girl who had been a student with us in London."," Chanterova bytná řekla Nancy, kam jel ... je prý někde v Manchesteru a maluje tam tovární komíny ... ale Nancy se rozhodla, že žádného Chantera nechce ... nevěděla ale, co dělat ... byla ještě rozčilená a zmatená ... no, a potom před tou školou potkala jednu dívku, která s námi studovala v Londýně."
"met","meet","potkala","potkat","pf"," Chanter 's landlady told Nancy where he had gone ... somewhere in Manchester, to do a painting of industrial chimneys, she thought ... but Nancy decided it was n't Chanter she wanted ... and she did n't know what to do, she still felt muddled ... and then outside the art school she met a girl who had been a student with us in London."," Chanterova bytná řekla Nancy, kam jel ... je prý někde v Manchesteru a maluje tam tovární komíny ... ale Nancy se rozhodla, že žádného Chantera nechce ... nevěděla ale, co dělat ... byla ještě rozčilená a zmatená ... no, a potom před tou školou potkala jednu dívku, která s námi studovala v Londýně."
