"said","say","řekl","říci","pf"," “ No, no, it is not so bad as that, ” said Holmes, smiling."," "" Snad to nebude tak hrozné, "" řekl Holmes s úsměvem."
"said","say","pravil","pravit","pf"," ‘ Mr. Holmes, I beg that you will bring this interview to an end, ’ said the icy voice."," ' Pane Holmesi, prosím vás, abyste tento hovor ukončil, ' pravil ledový hlas."
"quote","quote","uvést","uvést","pf"," I could quote many more."," Mohl bych uvést řadu dalších."
"inform","inform","sdělte","sdělit","pf"," Well, Sir James, you will inform your client that I am turning my mind upon Baron Gruner."," Nu, sire Jamesi, sdělte svému klientovi, že soustředím pozornost na barona Grunera."
"say","say","říci","říci","pf"," I can say no more."," Víc nemohu říci."
"dare","dare","troufám","troufat","impf"," I have some sources of information of my own, and I dare say we may find some means of opening the matter up. ”"," Mám některé vlastní zdroje informací a troufám si říci, že patrně najdeme nějaký způsob, jak do té záležitosti zasáhnout. """
"say","say","říci","říci","pf"," I have some sources of information of my own, and I dare say we may find some means of opening the matter up. ”"," Mám některé vlastní zdroje informací a troufám si říci, že patrně najdeme nějaký způsob, jak do té záležitosti zasáhnout. """
"find","find","najdeme","najít","pf"," I have some sources of information of my own, and I dare say we may find some means of opening the matter up. ”"," Mám některé vlastní zdroje informací a troufám si říci, že patrně najdeme nějaký způsob, jak do té záležitosti zasáhnout. """
"left","leave","zapomněl","zapomenout","pf"," When our visitor had left us Holmes sat so long in deep thought that it seemed to me that he had forgotten my presence."," Po návštěvníkově odchodu zůstal Holmes tak dlouho hluboce zamyšlen, až jsem usoudil, že zapomněl na mou přítomnost."
"forgotten","forget","zapomněl","zapomenout","pf"," When our visitor had left us Holmes sat so long in deep thought that it seemed to me that he had forgotten my presence."," Po návštěvníkově odchodu zůstal Holmes tak dlouho hluboce zamyšlen, až jsem usoudil, že zapomněl na mou přítomnost."
"forced","force","donucen","donutit","pf"," Our hands have been forced."," Byl jsem k tomu donucen."
"see","see","přijmout","přijmout","pf"," Can Mr. Godfrey see us? ”"," Může nás pan Godfrey přijmout? """
"waiting","wait","očekává","očekávat","impf"," “ Yes, he is waiting inside. ”"," "" Ano, očekává vás uvnitř. """
"turned","turn","Otočil","otočit","pf"," He turned and led us into a large plainly furnished front room."," Otočil se a uvedl nás do prostorného, jednoduše zařízeného salónu."
"waited","wait","vyčkával","vyčkávat","impf"," I would have waited a little longer, but his visit to America forced my hand."," Byl bych ještě pár dní vyčkával, ale jeho odjezd do Ameriky mne donutil jednat."
"forced","force","donutil","donutit","pf"," I would have waited a little longer, but his visit to America forced my hand."," Byl bych ještě pár dní vyčkával, ale jeho odjezd do Ameriky mne donutil jednat."
"left","leave","zanechal","zanechat","pf"," He would never have left so compromising a document behind him."," Nebyl by přece zanechal tak kompromitující dokument tady."
"came","come","přišel","přijít","pf"," That was where you and your blue saucer came in."," Tak jste přišel na řadu vy a modrá miska."
"made","make","udělat","udělat","pf"," It was four years ago that I had it made, and what do you think I chose for the word and figures? ”"," Dal jsem si to udělat před čtyřmi lety, a co myslíte, jaké slovo a číslice jsem si zvolil? """
"do","do","udělat","udělat","pf"," It was four years ago that I had it made, and what do you think I chose for the word and figures? ”"," Dal jsem si to udělat před čtyřmi lety, a co myslíte, jaké slovo a číslice jsem si zvolil? """
"think","think","myslíte","myslet","impf"," It was four years ago that I had it made, and what do you think I chose for the word and figures? ”"," Dal jsem si to udělat před čtyřmi lety, a co myslíte, jaké slovo a číslice jsem si zvolil? """
"chose","choose","zvolil","zvolit","pf"," It was four years ago that I had it made, and what do you think I chose for the word and figures? ”"," Dal jsem si to udělat před čtyřmi lety, a co myslíte, jaké slovo a číslice jsem si zvolil? """
"chose","choose","vybral","vybrat","pf"," “ Well, I chose AUGUST for the word, and 1914 for the figures, and here we are. ”"," "" Za slovo jsem si vybral SRPEN a za číslice 1914, a ten čas nyní nadešel. """
"cried","cry","zvolal","zvolat","pf"," “ There is only one man, ” he cried."," "" Je pouze jeden muž - "" zvolal."
"said","say","řekl","říci","pf"," “ Exactly, ” said Holmes."," "" Přesně tak, "" řekl Holmes."
"cried","cry","zvolal","zvolat","pf"," “ And most of that information came through you, ” he cried."," "" A tyto informace jsem většinou dostal vaším prostřednictvím! "" zvolal."
"said","say","řekl","říci","pf"," “ It is certainly a little untrustworthy, ” said Holmes."," "" Ty údaje nebudou ovšem příliš spolehlivé, "" řekl Holmes."
"require","require","Potřeboval","potřebovat","impf"," “ It will require some checking and you have little time to check it."," "" Potřeboval byste si je ověřit, a na to vám už nezbude čas."
"check","check","ověřit","ověřit","pf"," “ It will require some checking and you have little time to check it."," "" Potřeboval byste si je ověřit, a na to vám už nezbude čas."
"desire","desire","přáli","přát","impf"," His people would be placed in a very dreadful position, since they would desire to save him from segregation."," Jeho rodina by se ocitla v strašlivé situaci, neboť by si přáli zachránit ho před deportací."
"save","save","zachránit","zachránit","pf"," His people would be placed in a very dreadful position, since they would desire to save him from segregation."," Jeho rodina by se ocitla v strašlivé situaci, neboť by si přáli zachránit ho před deportací."
"needed","need","muselo","muset","impf"," Great secrecy would be needed to prevent rumours from getting about and subsequent interference by the authorities."," Všechno by se muselo uchovávat v přísné tajnosti, aby nezačaly kolovat řeči, které by měly za následek, že by se do toho vložily úřady."
"found","find","najít","najít","pf"," A devoted medical man, if sufficiently paid, would easily be found to take charge of the sufferer."," Nebylo by tak těžké najít oddaného lékaře, který by za dostatečnou odměnu pečoval o trpitele."
"tell","tell","řekla","říci","pf"," “ I ’ ll lay he didn ‘ t tell her all, ” said Miss Winter."," "" Vsadila bych se, že se jí ze všeho nevyzpovídal, "" řekla slečna Winterová."
"said","say","řekla","říci","pf"," “ I ’ ll lay he didn ‘ t tell her all, ” said Miss Winter."," "" Vsadila bych se, že se jí ze všeho nevyzpovídal, "" řekla slečna Winterová."
"look","look","podíval","podívat","pf"," He would speak of someone in his velvet way and then look at me with a steady eye and say :"," Vyprávěl mi o někom tím svým hedvábným hlasem a pak se mi podíval zpříma do očí a řek :"
"murmured","murmur","zamumlal","zamumlat","pf"," “ I shall indeed be proud, ” he murmured."," "" Budu si to pokládat za čest, "" zamumlal."
"ask","ask","Požádám","požádat","pf"," “ Then I will ask Sir James to step this way."," "" Požádám tedy sira Jamese, aby se k nám přidružil."
"give","give","poskytl","poskytnout","pf"," Meanwhile, Colonel Emsworth, we may perhaps assemble in your study, where I could give the necessary explanations. ”"," My bychom se snad zatím mohli odebrat do vaší pracovny, plukovníku, kde bych vám poskytl potřebné vysvětlení. """
"miss","miss","postrádat","postrádat","impf"," And here it is that I miss my Watson."," A v této chvíli začínám nejvíce postrádat přítele Watsona."
"elevate","elevate","pozvednout","pozvednout","pf"," By cunning questions and ejaculations of wonder he could elevate my simple art, which is but systematized common sense, into a prodigy."," Důmyslnými otázkami a hlasitými projevy úžasu dokázal vždy pozvednout mé prosté schopnosti, jež nejsou ničím jiným než projevem logického rozumového uvažování, na rovinu zázraku."
"walked","walk","procházel","procházet","impf"," Finally, holding either arm, the two friends walked him very slowly down the garden walk which he had trod with such proud confidence when he received the congratulations of the famous diplomatist only a few hours before."," Nakonec ho oba přátelé každý z jedné strany chytli v podpaží a pomalu ho vlekli zahradní pěšinou, kudy procházel s tak hrdou sebedůvěrou, když přijímal blahopřání proslulého diplomata, sotva před pár hodinami."
"received","receive","přijímal","přijímat","impf"," Finally, holding either arm, the two friends walked him very slowly down the garden walk which he had trod with such proud confidence when he received the congratulations of the famous diplomatist only a few hours before."," Nakonec ho oba přátelé každý z jedné strany chytli v podpaží a pomalu ho vlekli zahradní pěšinou, kudy procházel s tak hrdou sebedůvěrou, když přijímal blahopřání proslulého diplomata, sotva před pár hodinami."
"trust","trust","Doufám","doufat","impf"," “ I trust that you are as comfortable as circumstances permit, ” said Holmes when the final arrangements were made."," "" Doufám, že se vám sedí tak pohodlně, jak je to za daných okolností možné, "" řekl Holmes, když byli konečně připraveni na cestu."
"said","say","řekl","říci","pf"," “ I trust that you are as comfortable as circumstances permit, ” said Holmes when the final arrangements were made."," "" Doufám, že se vám sedí tak pohodlně, jak je to za daných okolností možné, "" řekl Holmes, když byli konečně připraveni na cestu."
"made","make","připraveni","připravit","pf"," “ I trust that you are as comfortable as circumstances permit, ” said Holmes when the final arrangements were made."," "" Doufám, že se vám sedí tak pohodlně, jak je to za daných okolností možné, "" řekl Holmes, když byli konečně připraveni na cestu."
"hunt","hunt","pátrat","pátrat","impf"," “ He may pick up some garbage in the darker recesses of the underworld, for it is down there, amid the black roots of crime, that we must hunt for this man ’ s secrets. ”"," "" Možná že v temných koutech podsvětí vykutá nějakou špínu, protože právě tam, v hloubi mezi černými kořeny zločinu, musíme pátrat po tajných záležitostech tohoto muže. """
"turn","turn","odvrátí","odvrátit","pf"," “ But if the lady will not accept what is already known, why should any fresh discovery of yours turn her from her purpose? ”"," "" Jestli však dotyčná dáma nepřikládá víry tomu, co už je známo, sotva ji nějaký nový objev odvrátí od jejího záměru. """
"avert","avert","odvrátit","odvrátit","pf"," It is a terrible thing, Mr. Holmes, to see a dreadful event, an atrocious situation, preparing itself before your eyes, to clearly understand whither it will lead and yet to be utterly unable to avert it."," Připadá mi strašné, pane Holmesi, přihlížet, jak se blíží děsivá událost, hrůzná situace, vědět jasně, k čemu to povede, a nebýt s to ji odvrátit."
"aid","aid","pomoci","pomoci","pf"," It was a piteous business, if it was indeed so, but even now it was my duty to hunt him out and see if I could aid him."," Je to žalostné, pokud se ukáže, že hádám správně, ale i v tom případě jsem pokládal za svou povinnost ho vypátrat a přesvědčit se, jestli bych mu nemohl nějak pomoci."
"pondering","ponder","přemýšlel","přemýšlet","impf"," I was anxiously pondering the matter when I looked up, and there was Godfrey Emsworth standing before me. ”"," Usilovně jsem o tom všem přemýšlel, až jsem pozvedl oči, a tu stál přede mnou Godfrey Emsworth. """
"continue","continue","pokračujte","pokračovat","impf"," “ Pray continue, ” I said."," "" Prosím pokračujte, "" vybídl jsem ho."
"pressed","press","tiskl","tisknout","impf"," “ He was outside the window, Mr. Holmes, with his face pressed against the glass."," "" Stál za oknem, pane Holmesi, a tiskl obličej na sklo."
"moving","move","pohybuje","pohybovat","impf"," It was a long path and the light was not very good, but it seemed to me something was moving ahead of me."," Byla to dlouhá stezka a dosti temná, ale měl jsem pocit, že se přede mnou cosi pohybuje."
"ran","run","Běžel","běžet","impf"," I ran on and called his name, but it was no use."," Běžel jsem a volal ho jménem, leč nadarmo."
"called","call","volal","volat","impf"," I ran on and called his name, but it was no use."," Běžel jsem a volal ho jménem, leč nadarmo."
"hesitating","hesitate","Váhal","váhat","impf"," I stood hesitating, and as I did so I heard distinctly the sound of a closing door."," Váhal jsem, kudy se dát, a přitom jsem zřetelně zaslechl zvuk zavíraných dveří."
"heard","hear","zaslechl","zaslechnout","pf"," I stood hesitating, and as I did so I heard distinctly the sound of a closing door."," Váhal jsem, kudy se dát, a přitom jsem zřetelně zaslechl zvuk zavíraných dveří."
"said","say","řekl","říci","pf"," “ The old sweet song, ” said Holmes."," "" Obehraná písnička, "" řekl Holmes."
"cried","cry","zvolal","zvolat","pf"," “ Curse you, you double traitor! ” cried the German, straining against his bonds and glaring murder from his furious eyes."," "" Proklínám vás, vy dvojnásobný zrádče! "" zvolal Němec, začal se zmítat v popruzích a z rozzuřených očí vrhal vražedné pohledy."
"Tell","tell","Povězte","povědět","pf"," Tell me a little about the Northern Wei dynasty and its place in the history of ceramics. ”"," Povězte mi tedy aspoň něco o Severní dynastii Wej a čím přispěla k rozvoji čínského umění. """
"sprang","spring","Vyskočil","vyskočit","pf"," I sprang from my chair in simulated anger."," Vyskočil jsem z křesla v předstíraném hněvu."
"came","come","Přišel","přijít","pf"," “ I came here to do you a favour, and not to be examined as if I were a schoolboy."," "" Přišel jsem vám prokázat laskavost, a ne se dát zkoušet jako žáček."
"examined","examine","zkoušet","zkoušet","impf"," “ I came here to do you a favour, and not to be examined as if I were a schoolboy."," "" Přišel jsem vám prokázat laskavost, a ne se dát zkoušet jako žáček."
"answer","answer","odpovídat","odpovídat","impf"," My knowledge on these subjects may be second only to your own, but I certainly shall not answer questions which have been put in so offensive a way. ”"," Mé znalosti z tohoto oboru se možná nevyrovnají znalostem vašim, avšak odmítám se vší rozhodností odpovídat na otázky, které jsou mi kladeny tak urážlivým způsobem. """
"put","put","kladeny","klást","impf"," My knowledge on these subjects may be second only to your own, but I certainly shall not answer questions which have been put in so offensive a way. ”"," Mé znalosti z tohoto oboru se možná nevyrovnají znalostem vašim, avšak odmítám se vší rozhodností odpovídat na otázky, které jsou mi kladeny tak urážlivým způsobem. """
"looked","look","Hleděl","hledět","impf"," He looked at me steadily."," Hleděl na mě upřeně."
"sat","sit","Usedl","usednout","pf"," I sat beside him and bent my head."," Usedl jsem vedle lůžka a sklonil hlavu."
"bent","bend","sklonil","sklonit","pf"," I sat beside him and bent my head."," Usedl jsem vedle lůžka a sklonil hlavu."
"asked","ask","Zeptal","zeptat","pf"," I had asked him whether anything was stirring, and for answer he had shot his long, thin, nervous arm out of the sheets which enveloped him and had drawn an envelope from the inside pocket of the coat which hung beside him."," Zeptal jsem se ho, je - li něco nového, a namísto odpovědi vystřelila přítelova dlouhá, štíhlá, nervní paže z prostěradel, jež ho zahalovala, a z náprsní kapsy kabátu na věšáku poblíž vyňala obálku."
"shot","shoot","vystřelila","vystřelit","pf"," I had asked him whether anything was stirring, and for answer he had shot his long, thin, nervous arm out of the sheets which enveloped him and had drawn an envelope from the inside pocket of the coat which hung beside him."," Zeptal jsem se ho, je - li něco nového, a namísto odpovědi vystřelila přítelova dlouhá, štíhlá, nervní paže z prostěradel, jež ho zahalovala, a z náprsní kapsy kabátu na věšáku poblíž vyňala obálku."
"handed","hand","podával","podávat","impf"," “ It may be some fussy, self-important fool; it may be a matter of life or death, ” said he as he handed me the note."," "" Možná že jde o výplod nějakého přepjatého a sebevědomého hlupáka, a možná že je to otázka života a smrti, "" poznamenal, když mi podával list."
"tell","tell","řekni","říci","pf"," Ralph, tell Mr. Godfrey and Mr. Kent that in five minutes we shall be with them. ”"," Ralphe, řekni panu Godfreyovi a panu Kentovi, že k nim za pět minut přijdeme. """
"passed","pass","uplynula","uplynout","pf"," At the end of that time we passed down the garden path and found ourselves in front of the mystery house at the end."," Jakmile tato doba uplynula, vykročili jsme po cestičce parkem k tajemnému domku."
"said","say","řekl","říci","pf"," “ This is very sudden, Colonel Emsworth, ” said he."," "" Tohle je nečekaný obrat, plukovníku, "" řekl."
"help","help","pomoci","pomoci","pf"," “ I can ’ t help it, Mr. Kent."," "" Nemohl jsem si pomoci, pane Kente."
"recover","recover","nevzpamatovala","vzpamatovat","pf"," She could never recover from such a humiliation. ”"," Anglie by se z takové potupy už nikdy nevzpamatovala. """
"bring","bring","přivezu","přivézt","pf"," Will come without fail to-night and bring new sparking plugs."," Dostavím se určitě dnes večer a přivezu nové svíčky."
"see","see","chápete","chápat","impf"," “ You see he poses as a motor expert and I keep a full garage."," "" Vydává se za automechanika, chápete, a já mám v garáži několik vozů."
"keep","keep","mám","mít","impf"," “ You see he poses as a motor expert and I keep a full garage."," "" Vydává se za automechanika, chápete, a já mám v garáži několik vozů."
"examining","examine","prohlédl","prohlédnout","pf"," “ From Portsmouth at midday, ” said the secretary, examining the superscription."," "" Odesláno v poledne z Portsmouthu, "" poznamenal rada, když si prohlédl razítko."
"fell","fall","dopadla","dopadnout","pf"," Their blow fell - or his blow rather, for never could I believe that the lady was privy to it."," Jejich rána dopadla - přesněji řečeno jeho rána, neboť jsem si nedokázal představit, že by do toho byla zasvěcena i slečna de Mervillová."
"presume","presume","Předpokládám","předpokládat","impf"," I presume it is not this old tragedy which has come up again? ”"," Předpokládám, že se znovu nerozbouřila hladina kolem někdejší tragédie? """
"revenge","revenge","nepomstěn","pomstít","pf"," To revenge crime is important, but to prevent it is more so."," Je důležité, aby zločin nezůstal nepomstěn, ale zabránit zločinu je zajisté ještě důležitější."
"prevent","prevent","zabránit","zabránit","pf"," To revenge crime is important, but to prevent it is more so."," Je důležité, aby zločin nezůstal nepomstěn, ale zabránit zločinu je zajisté ještě důležitější."
"held","hold","držel","držet","impf"," He held our cards in his hand, and he tore them up and stamped on the fragments."," Naše navštívenky, které držel v ruce, roztrhal a útržky podupal."
"tore","tear","roztrhal","roztrhat","pf"," He held our cards in his hand, and he tore them up and stamped on the fragments."," Naše navštívenky, které držel v ruce, roztrhal a útržky podupal."
"told","tell","neřekl","říci","pf"," “ Have I not told you, you infernal busybody, that you are warned off the premises?"," "" Cožpak jsem vám neřekl, vy všetečko proklatý, že sem máte zakázaný přístup?"
"use","use","použít","použít","pf"," If you enter again without my leave I shall be within my rights if I use violence."," Jestli se sem znovu vetřete bez dovolení, budu mít právo použít násilí."
"shoot","shoot","Zastřelím","zastřelit","pf"," I ’ ll shoot you, sir!"," Zastřelím vás, pane!"
"laughed","laugh","zasmál","zasmát","pf"," Von Bork laughed."," Von Bork se zasmál."
"said","say","řekl","říci","pf"," “ I don ’ t know about that, ” said the other thoughtfully."," "" Nevím, nevím, "" řekl jeho společník zamyšleně."
"smoke","smoke","Nekouříte","kouřit","impf"," “ Don ’ t you smoke?"," "" Nekouříte?"
"light","light","zapálil","zapálit","pf"," Then you will excuse me if I light my pipe."," Dovolte tedy, abych si zapálil dýmku."
"wakened","waken","probudil","probudit","pf"," It was morning when I wakened, and it seemed to me that instead of coming out into a world of sanity I had emerged into some extraordinary nightmare."," Když jsem se ráno probudil, měl jsem dojem, že jsem v nějakém nepřirozeně hrůzném světě namísto v střízlivé skutečnosti."
"waving","wave","mával","mávat","impf"," In front of me was standing a small, dwarf-like man with a huge, bulbous head, who was jabbering excitedly in Dutch, waving two horrible hands which looked to me like brown sponges."," Přede mnou stál nějaký človíček, malý jako trpaslík, s velkou cibulovitou hlavou : rozčileně cosi brebentil holandsky a mával příšernýma rukama, které vypadaly jako hnědé houby."
"determined","determine","rozhodl","rozhodnout","pf"," The case was a strong one - so strong that I determined to act as if it were actually proved."," To byly pádné důvody - tak pádné, že jsem se rozhodl jednat, jako by to byla skutečně prokázaná věc."
"act","act","jednat","jednat","impf"," The case was a strong one - so strong that I determined to act as if it were actually proved."," To byly pádné důvody - tak pádné, že jsem se rozhodl jednat, jako by to byla skutečně prokázaná věc."
"noticed","notice","zpozoroval","zpozorovat","pf"," When on arriving here I noticed that Ralph, who carries out the meals, had gloves which are impregnated with disinfectants, my last doubts were removed."," Když jsem po příjezdu sem zpozoroval, že Ralph, který nosí do domku jídlo, má rukavice napuštěné dezinfekčním prostředkem, padly mé poslední pochyby."
"carries","carry","nosí","nosit","impf"," When on arriving here I noticed that Ralph, who carries out the meals, had gloves which are impregnated with disinfectants, my last doubts were removed."," Když jsem po příjezdu sem zpozoroval, že Ralph, který nosí do domku jídlo, má rukavice napuštěné dezinfekčním prostředkem, padly mé poslední pochyby."
"carries","carry","má","mít","impf"," When on arriving here I noticed that Ralph, who carries out the meals, had gloves which are impregnated with disinfectants, my last doubts were removed."," Když jsem po příjezdu sem zpozoroval, že Ralph, který nosí do domku jídlo, má rukavice napuštěné dezinfekčním prostředkem, padly mé poslední pochyby."
"showed","show","ukázalo","ukázat","pf"," A single word showed you, sir, that your secret was discovered, and if I wrote rather than said it, it was to prove to you that my discretion was to be trusted. ”"," Jediné slovo vám ukázalo, pane, že vaše tajemství je odhaleno, a tím, že jsem je napsal, raději než vyslovil, jsem vám chtěl ukázat, že se můžete spolehnout na mou diskrétnost. """
"prove","prove","ukázalo","ukázat","pf"," A single word showed you, sir, that your secret was discovered, and if I wrote rather than said it, it was to prove to you that my discretion was to be trusted. ”"," Jediné slovo vám ukázalo, pane, že vaše tajemství je odhaleno, a tím, že jsem je napsal, raději než vyslovil, jsem vám chtěl ukázat, že se můžete spolehnout na mou diskrétnost. """
"showed","show","odhaleno","odhalit","pf"," A single word showed you, sir, that your secret was discovered, and if I wrote rather than said it, it was to prove to you that my discretion was to be trusted. ”"," Jediné slovo vám ukázalo, pane, že vaše tajemství je odhaleno, a tím, že jsem je napsal, raději než vyslovil, jsem vám chtěl ukázat, že se můžete spolehnout na mou diskrétnost. """
"discovered","discover","odhaleno","odhalit","pf"," A single word showed you, sir, that your secret was discovered, and if I wrote rather than said it, it was to prove to you that my discretion was to be trusted. ”"," Jediné slovo vám ukázalo, pane, že vaše tajemství je odhaleno, a tím, že jsem je napsal, raději než vyslovil, jsem vám chtěl ukázat, že se můžete spolehnout na mou diskrétnost. """
"wrote","write","napsal","napsat","pf"," A single word showed you, sir, that your secret was discovered, and if I wrote rather than said it, it was to prove to you that my discretion was to be trusted. ”"," Jediné slovo vám ukázalo, pane, že vaše tajemství je odhaleno, a tím, že jsem je napsal, raději než vyslovil, jsem vám chtěl ukázat, že se můžete spolehnout na mou diskrétnost. """
"said","say","vyslovil","vyslovit","pf"," A single word showed you, sir, that your secret was discovered, and if I wrote rather than said it, it was to prove to you that my discretion was to be trusted. ”"," Jediné slovo vám ukázalo, pane, že vaše tajemství je odhaleno, a tím, že jsem je napsal, raději než vyslovil, jsem vám chtěl ukázat, že se můžete spolehnout na mou diskrétnost. """
"showed","show","ukázat","ukázat","pf"," A single word showed you, sir, that your secret was discovered, and if I wrote rather than said it, it was to prove to you that my discretion was to be trusted. ”"," Jediné slovo vám ukázalo, pane, že vaše tajemství je odhaleno, a tím, že jsem je napsal, raději než vyslovil, jsem vám chtěl ukázat, že se můžete spolehnout na mou diskrétnost. """
"prove","prove","ukázat","ukázat","pf"," A single word showed you, sir, that your secret was discovered, and if I wrote rather than said it, it was to prove to you that my discretion was to be trusted. ”"," Jediné slovo vám ukázalo, pane, že vaše tajemství je odhaleno, a tím, že jsem je napsal, raději než vyslovil, jsem vám chtěl ukázat, že se můžete spolehnout na mou diskrétnost. """
"trusted","trust","spolehnout","spolehnout","pf"," A single word showed you, sir, that your secret was discovered, and if I wrote rather than said it, it was to prove to you that my discretion was to be trusted. ”"," Jediné slovo vám ukázalo, pane, že vaše tajemství je odhaleno, a tím, že jsem je napsal, raději než vyslovil, jsem vám chtěl ukázat, že se můžete spolehnout na mou diskrétnost. """
"think","think","Myslím","myslet","impf"," I think that Mr. Kent had better be with her until she recovers from this joyous shock. ”"," Myslím, že by se jí pan Kent měl věnovat, dokud se nevzpamatuje z tohoto radostného otřesu. """
"think","think","měl","mít","impf"," I think that Mr. Kent had better be with her until she recovers from this joyous shock. ”"," Myslím, že by se jí pan Kent měl věnovat, dokud se nevzpamatuje z tohoto radostného otřesu. """
"recovers","recover","nevzpamatuje","vzpamatovat","pf"," I think that Mr. Kent had better be with her until she recovers from this joyous shock. ”"," Myslím, že by se jí pan Kent měl věnovat, dokud se nevzpamatuje z tohoto radostného otřesu. """
"turned","turn","obrátil","obrátit","pf"," As they turned to the car Holmes pointed back to the moonlit sea and shook a thoughtful head."," Když vykročili opět k vozu, obrátil se Holmes, ukázal na moře ozářené měsícem a zamyšleně pokývl hlavou."
"pointed","point","ukázal","ukázat","pf"," As they turned to the car Holmes pointed back to the moonlit sea and shook a thoughtful head."," Když vykročili opět k vozu, obrátil se Holmes, ukázal na moře ozářené měsícem a zamyšleně pokývl hlavou."
"changing","change","mění","měnit","impf"," You are the one fixed point in a changing age."," Všechno se mění, jen vy zůstáváte stále stejný."
"take","take","Vezmu","vzít","pf"," I ’ ll take that book and pack it with the rest. ”"," Vezmu si ty dokumenty a přibalím je k ostatním. """
"held","hold","držel","držet","impf"," The American held the small parcel in his hand, but made no motion to give it up."," Američan držel balíček v ruce, ale nejevil snahu jej předat."
"give","give","předat","předat","pf"," The American held the small parcel in his hand, but made no motion to give it up."," Američan držel balíček v ruce, ale nejevil snahu jej předat."
"needed","need","Potřeboval","potřebovat","impf"," It happened, however, that my own affairs needed a lot of straightening out, after two years ’ absence, and so it is only this week that I have been able to take up Godfrey ’ s case again."," Potřeboval jsem si však vyřídit některé vlastní záležitosti - není divu, byl jsem dva roky pryč - a tak jsem se mohl Godfreyho případu věnovat až tento týden."
"take","take","Potřeboval","potřebovat","impf"," It happened, however, that my own affairs needed a lot of straightening out, after two years ’ absence, and so it is only this week that I have been able to take up Godfrey ’ s case again."," Potřeboval jsem si však vyřídit některé vlastní záležitosti - není divu, byl jsem dva roky pryč - a tak jsem se mohl Godfreyho případu věnovat až tento týden."
"mean","mean","hodlám","hodlat","impf"," But since I have taken it up I mean to drop everything in order to see it through. ”"," Ale když už jsem se toho podjal, hodlám nechat všeho ostatního, dokud se nedopátrám pravdy. """
"drop","drop","nechat","nechat","pf"," But since I have taken it up I mean to drop everything in order to see it through. ”"," Ale když už jsem se toho podjal, hodlám nechat všeho ostatního, dokud se nedopátrám pravdy. """
"amused","amuse","bavili","bavit","impf"," Behind him stood a group of people who seemed to be intensely amused by the situation, but a chill came over me as I looked at them."," Za ním stála skupinka lidí, kteří se tím výjevem zřejmě bavili, ale mě při pohledu na ně zamrazilo."
"prove","prove","ukázalo","ukázat","pf"," But suppose - I am bound to take every possibility into account - that it should prove afterwards that you had no right to sell? ”"," Co kdyby se však později ukázalo - musím brát v úvahu všechny možnosti - že jste nebyl oprávněn soupravu prodávat? """
