"mentioned","mention","zmínil","zmínit","pf"," He mentioned the vicinity to the realtor as an area where he was interested in buying a lot on which to build a beach house for his wife and four children."," O okolí domu se před agentkou zmínil jako o místu, o jehož koupi se velice zajímá, aby tam mohl postavit plážový dům pro svoji ženu a čtyři děti."
"said","say","Řekl","říci","pf"," "" He said much worse than that, "" she said quietly."," "" Řekl spoustu horších věcí, "" řekla tiše."
"said","say","Řekl","říci","pf"," "" He said much worse than that, "" she said quietly."," "" Řekl spoustu horších věcí, "" řekla tiše."
"said","say","řekla","říci","pf"," "" He said much worse than that, "" she said quietly."," "" Řekl spoustu horších věcí, "" řekla tiše."
"said","say","řekla","říci","pf"," "" He said much worse than that, "" she said quietly."," "" Řekl spoustu horších věcí, "" řekla tiše."
"lay","lie","ležel","ležet","impf"," When the smoke cleared, literally, Raymond lay dead on the floor. """," Když se rozptýlil dým, ležel Raymond na podlaze mrtvý. """
"murdered","murder","Zavraždil","zavraždit","pf"," "" He murdered him, "" Wick said in disbelief."," "" Zavraždil ho, "" řekl Wick nevěřícně."
"said","say","řekl","říci","pf"," "" He murdered him, "" Wick said in disbelief."," "" Zavraždil ho, "" řekl Wick nevěřícně."
"whispered","whisper","zašeptal","zašeptat","pf"," "" What matters to me, "" he whispered, "" is that you 're with me now."," "" Pro mě je teď důležité, že jsi se mnou, "" zašeptal."
"trust","trust","důvěřuješ","důvěřovat","impf"," That you trust me enough to be here with me like this. """," "" Že mi důvěřuješ natolik, že tady takhle se mnou ležíš. """
"turned","turn","Otočila","otočit","pf"," She turned and took his face between her hands."," Otočila se a on uchopil její obličej do dlaní."
"took","take","uchopil","uchopit","pf"," She turned and took his face between her hands."," Otočila se a on uchopil její obličej do dlaní."
"feel","feel","cítím","cítit","impf"," Of the way you made me feel. """," Bála jsem se toho, jak se s tebou cítím. """
"fought","fight","Bojovala","bojovat","impf"," "" I fought it. """," "" Bojovala jsem s tím. """
"persuaded","persuade","přesvědčil","přesvědčit","pf"," Finally, though, he persuaded both doctors, and himself, that he was cured."," Nicméně nakonec oba lékaře i sebe přesvědčil, že je vyléčený."
"told","tell","řekl","říci","pf"," "" I 'm over it, "" he told the psychologist."," "" Překonal jsem to, "" řekl psychologovi."
"triggered","trigger","spustilo","spustit","pf"," "" Whatever triggered the attacks-and it was a combination of things-has passed."," "" Ať už ty záchvaty spustilo cokoliv, a byla to kombinace různých příčin, pominulo to."
"passed","pass","pominulo","pominout","pf"," "" Whatever triggered the attacks-and it was a combination of things-has passed."," "" Ať už ty záchvaty spustilo cokoliv, a byla to kombinace různých příčin, pominulo to."
"wakes","wake","probudí","probudit","pf"," I 'll be in the OR, but as soon as he wakes up I want to know about it. """," Budu na operačním sále, ale jakmile se probudí, chci o tom vědět. """
"want","want","chci","chtít","impf"," I 'll be in the OR, but as soon as he wakes up I want to know about it. """," Budu na operačním sále, ale jakmile se probudí, chci o tom vědět. """
"curbed","curb","potlačila","potlačit","pf"," Before leaving, she gazed down at her patient, but curbed the impulse to brush a wayward strand of hair off his forehead."," Před odchodem se na pacienta dlouze zadívala, ale potlačila nutkání odhrnout mu z čela pramen vlasů."
"want","want","Nechci","chtít","impf"," "" I do n't want to hear what he says."," "" Nechci slyšet, co vykládá."
"hear","hear","slyšet","slyšet","impf"," "" I do n't want to hear what he says."," "" Nechci slyšet, co vykládá."
"want","want","Nechci","chtít","impf"," I do n't want to hear a goddamn word about that son of a bitch 's civil rights being violated, okay? """," Nechci slyšet jediné slovo o tom, že jsou porušována občanská práva toho parchanta, jasný? """
"hear","hear","slyšet","slyšet","impf"," I do n't want to hear a goddamn word about that son of a bitch 's civil rights being violated, okay? """," Nechci slyšet jediné slovo o tom, že jsou porušována občanská práva toho parchanta, jasný? """
"glanced","glance","pohlédl","pohlédnout","pf"," After a time, Oren glanced toward the corner near the ceiling."," Po nějaké chvíli Oren pohlédl do rohu."
"work","work","funguje","fungovat","impf"," "" TV work all right? """," "" Televize funguje? """
"came","come","přišel","přijít","pf"," Wick had muted the sound when Oren came in."," Wick ztišil zvuk, když Oren přišel."
"died","die","umřel","umřít","pf"," "" I died a thousand deaths while he was holding that knife on you. """," "" Snad tisíckrát jsem umřel, když tě ohrožoval tím nožem. """
"detain","detain","zdrží","zdržet","pf"," "" I was afraid that something had happened to detain you, that you and Oren would n't be in place."," "" Já měla strach, že vás něco zdrží, že nebudete s Orenem namístě."
"got","get","přišla","přijít","pf"," When I got home I was tempted to look in the kitchen pantry and under the bed to make sure you were there. """," Když jsem přišla domů, byla jsem v pokušení nakouknout do spíže a pod postel, jestli tam jste. """
"kept","keep","nezadrželo","zadržet","pf"," "" Hell could n't have kept me away. """," "" Ani samo peklo by mě nezadrželo. """
"thank","thank","děkuju","děkovat","impf"," "" I just thank God it worked. """," "" Jenom děkuju Bohu, že vyšel. """
"drew","draw","Přitáhl","přitáhnout","pf"," He drew her tighter against him and ground his crotch against her bottom."," Přitáhl si ji k sobě blíž a otřel se jí rozkrokem o zadek."
"Feel","feel","Cítíš","cítit","impf"," "" Feel that?"," "" Cítíš to?"
"gets","get","získávám","získávat","impf"," That 's what gets women 's attention."," Tímhle si získávám pozornost žen."
"Say","say","Řekni","říci","pf"," "" Say pretty please, Rennie. """," "" Řekni hezky prosím, Rennie. """
"Say","say","Řekni","říci","pf"," "" Say pretty please and I may let you suck it before I kill you. """," "" Řekni hezky, prosím, a možná ti ho nechám vykouřit, než tě zabiju. """
"let","let","nechám","nechat","pf"," "" Say pretty please and I may let you suck it before I kill you. """," "" Řekni hezky, prosím, a možná ti ho nechám vykouřit, než tě zabiju. """
"kill","kill","zabiju","zabít","pf"," "" Say pretty please and I may let you suck it before I kill you. """," "" Řekni hezky, prosím, a možná ti ho nechám vykouřit, než tě zabiju. """
"felt","feel","pocítila","pocítit","pf"," At Wick 's singsong voice, Rennie felt him start."," Rennie pocítila, jak sebou při Wickově zpěvavém hlasu trhl."
"pronounced","pronounce","prohlásila","prohlásit","pf"," All had been memorable for one reason or another, from his adoring kindergarten teacher, to the policewoman who had pronounced him the biggest asshole she 'd ever had the displeasure of knowing, to Crystal the waitress."," Na každém něco z toho či onoho důvodu bylo, od jeho zbožňované učitelky v mateřské školce přes policistku, která o něm prohlásila, že je největší pitomec, jakého měla to pochybné potěšení poznat, až po tu číšnici Crystal."
"make","make","udělal","udělat","pf"," He never failed to make an impression."," Vždycky udělal dojem."
"took","take","bral","brát","impf"," It was just one of those things, a component of himself that he 'd been born with and more or less took for granted, like his palm print or his crooked front tooth."," S tím se narodil a víceméně to bral jako samozřejmost, jako čáry na dlani nebo pokřivený přední zub."
"put","put","dala","dát","pf"," So he had made arrangements from his jail cell through his lawyer for a cleaning service to put his condo back together, then to sanitize it against police contamination."," Takže si z cely prostřednictvím svého právníka zařídil, aby mu dala uklízecí služba byt do pořádku, aby se zbavil policejního zamoření."
"arranged","arrange","zařídil","zařídit","pf"," He had also arranged to have it swept for electronic surveillance devices."," Rovněž zařídil prohlídku bytu, jestli tam není odposlouchávací zařízení."
"reported","report","oznámil","oznámit","pf"," "" It 's clean, "" his lawyer had reported as they celebrated his release over drinks at the City Club."," "" Máte to čisté, "" oznámil mu právník, když oslavovali nad skleničkou v klubu City jeho propuštění."
"celebrated","celebrate","oslavovali","oslavovat","impf"," "" It 's clean, "" his lawyer had reported as they celebrated his release over drinks at the City Club."," "" Máte to čisté, "" oznámil mu právník, když oslavovali nad skleničkou v klubu City jeho propuštění."
"thought","think","myslela","myslet","impf"," "" I would have thought you wanted to follow in your big brother 's footsteps. """," "" Bývala bych myslela, že jsi chtěl jít ve stopách svého staršího bratra. """
"wanted","want","chtěl","chtít","impf"," "" I would have thought you wanted to follow in your big brother 's footsteps. """," "" Bývala bych myslela, že jsi chtěl jít ve stopách svého staršího bratra. """
"think","think","Myslíš","myslet","impf"," "" You think? """," "" Myslíš? """
"sitting","sit","sedíš","sedět","impf"," "" I ca n't see you sitting behind a desk for eight hours a day."," "" Nedovedu si tě představit, jak sedíš osm hodin denně za psacím stolem."
"lying","lie","lžeš","lhát","impf"," I should have known you were lying when you tried to pass yourself off as a computer software salesman. """," Měla jsem poznat, že mi lžeš, když jsi mi tvrdil, že prodáváš počítačový software. """
"Thank","thank","Děkuji","děkovat","impf"," Thank you for the offer, but my answer is no. """," Děkuji za nabídku, ale moje odpověď zní ne. """
"refused","refuse","odmítli","odmítnout","pf"," To her surprise, they refused to accept that answer and pressed her into thinking it over for a day or two more."," K jejímu překvapení odmítli její ne přijmout a naléhali na ni, aby si dopřála den dva na rozmyšlenou."
"accept","accept","přijmout","přijmout","pf"," To her surprise, they refused to accept that answer and pressed her into thinking it over for a day or two more."," K jejímu překvapení odmítli její ne přijmout a naléhali na ni, aby si dopřála den dva na rozmyšlenou."
"wanted","want","Chtěla","chtít","impf"," She had wanted the position and knew she was qualified, but it would feel wrong to get a career boost from Lee 's death."," Chtěla to místo a věděla, že je na ně kvalifikovaná, ale necítila by se dobře, kdyby jí ke kariérnímu postupu pomohla Leeova smrt."
"feel","feel","necítila","cítit","impf"," She had wanted the position and knew she was qualified, but it would feel wrong to get a career boost from Lee 's death."," Chtěla to místo a věděla, že je na ně kvalifikovaná, ale necítila by se dobře, kdyby jí ke kariérnímu postupu pomohla Leeova smrt."
"take","take","vzít","vzít","pf"," Wesley was another factor to take into account."," Dále bylo zapotřebí vzít v úvahu Wesleyho."
"met","meet","poznala","poznat","pf"," "" This guy I met in the bar?"," "" Ten chlápek, co jsem ho poznala v baru?"
"drinking","drink","pijete","pít","impf"," "" Hey, cowboy, how come you 're drinking alone? """," "" Hej, kovboji, jak to, že pijete sám? """
"warn","warn","upozornit","upozornit","pf"," "" I 'll warn you right now, miss, I 'm not good company tonight."," "" Musím vás hned upozornit, slečno, že dnes večer nejsem dobrý společník."
"drinking","drink","piju","pít","impf"," That 's why I 'm drinking alone. """," To proto piju sám. """
"Try","try","Zkuste","zkusit","pf"," "" Try me."," "" Zkuste to se mnou."
"bet","bet","Vsadím","vsadit","pf"," I 'll bet I can stand your company. """," Vsadím se, že vaši společnost vydržím. """
"stand","stand","vydržím","vydržet","pf"," I 'll bet I can stand your company. """," Vsadím se, že vaši společnost vydržím. """
"prepared","prepare","připravila","připravit","pf"," She rinsed out the soaking carafe of the coffeemaker, then prepared it for tomorrow morning and set the timer."," Vypláchla odmočenou nádobu od kávovaru a pak jej připravila na ráno a nastavila časoměr."
"set","set","připravila","připravit","pf"," She rinsed out the soaking carafe of the coffeemaker, then prepared it for tomorrow morning and set the timer."," Vypláchla odmočenou nádobu od kávovaru a pak jej připravila na ráno a nastavila časoměr."
"set","set","nastavila","nastavit","pf"," She rinsed out the soaking carafe of the coffeemaker, then prepared it for tomorrow morning and set the timer."," Vypláchla odmočenou nádobu od kávovaru a pak jej připravila na ráno a nastavila časoměr."
"eat","eat","sníst","sníst","pf"," She knew she should eat something, but the thought of food made her nauseous."," Věděla, že by měla něco sníst, ale při pomyšlení na jídlo se jí dělalo zle."
"made","make","dělalo","dělat","impf"," She knew she should eat something, but the thought of food made her nauseous."," Věděla, že by měla něco sníst, ale při pomyšlení na jídlo se jí dělalo zle."
"left","leave","nechala","nechat","pf"," She left her handbag on the table-she did n't think she had the strength to lift it-and turned off the kitchen light."," Kabelku nechala ležet na stole - připadalo jí, že nemá dost sil ji zvednout - a zhasla v kuchyni."
"think","think","nemá","mít","impf"," She left her handbag on the table-she did n't think she had the strength to lift it-and turned off the kitchen light."," Kabelku nechala ležet na stole - připadalo jí, že nemá dost sil ji zvednout - a zhasla v kuchyni."
"lift","lift","zvednout","zvednout","pf"," She left her handbag on the table-she did n't think she had the strength to lift it-and turned off the kitchen light."," Kabelku nechala ležet na stole - připadalo jí, že nemá dost sil ji zvednout - a zhasla v kuchyni."
"switched","switch","rozsvítila","rozsvítit","pf"," Then, as she started toward the living room, she paused and switched the light back on."," Vykročila směrem k obývacímu pokoji, ale cestou se zastavila a znovu rozsvítila."
"required","require","vyžadovalo","vyžadovat","impf"," He much preferred the personal involvement his occupation required."," Dával mnohem větší přednost osobní účasti, kterou jeho zaměstnání vyžadovalo."
"relied","rely","spoléhal","spoléhat","impf"," He relied on Weenie strictly to provide him with information on his clients and his targets."," Na Weenieho spoléhal vyloženě v tom, že mu poskytne informace o jeho klientech a obětech."
"provide","provide","poskytne","poskytnout","pf"," He relied on Weenie strictly to provide him with information on his clients and his targets."," Na Weenieho spoléhal vyloženě v tom, že mu poskytne informace o jeho klientech a obětech."
"told","tell","Sdělil","sdělit","pf"," He told Weenie that was what he was after tonight."," Sdělil Weeniemu, že o tohle mu dnes večer jde."
"say","say","říkáš","říkat","impf"," "" You always say that, too, Lozada."," "" To taky vždycky říkáš, Lozado."
"killed","kill","zabil","zabít","pf"," She had borne thirty-one young last year, all of which Lozada had killed as soon as they had climbed off her back, thereby declaring their independence from her."," Loni porodila jedenatřicet mláďat, která Lozada všechna zabil, jen co jí slezla ze zad, a tím projevila svoji nezávislost."
"saw","see","uviděl","uvidět","pf"," When he saw Wick he paled, which was remarkable considering that his complexion was already the pasty color of a toad 's belly."," Když uviděl Wicka, zesinal, což bylo podivuhodné vzhledem k tomu, že jeho pokožka už předtím měla bledou barvu ropušího břicha."
"asked","ask","zeptal","zeptat","pf"," "" You know Mr. Threadgill? "" Oren asked pleasantly."," "" Znáte pana Threadgilla? "" zeptal se Oren vlídně."
"sat","sit","posadil","posadit","pf"," Oren sat down adjacent to Weenie."," Oren se posadil vedle Weenieho."
"let","let","necháte","nechat","pf"," You 'll be more comfortable if you let me get you into bed before it does. """," Bude vám mnohem pohodlněji, když mě necháte, abych vás, než k tomu dojde, dostala do postele. """
"get","get","dostala","dostat","pf"," You 'll be more comfortable if you let me get you into bed before it does. """," Bude vám mnohem pohodlněji, když mě necháte, abych vás, než k tomu dojde, dostala do postele. """
"talk","talk","promluvit","promluvit","pf"," "" We 've got to talk, Rennie. """," "" Musíme si promluvit, Rennie. """
"tried","try","pokusila","pokusit","pf"," Or tried."," Nebo se o to aspoň pokusila."
"did","do","Udělal","udělat","pf"," He did as she instructed."," Udělal, jak mu řekla."
"want","want","chtěl","chtít","impf"," What do you want me to say?"," Co bys chtěl, abych říkal?"
"say","say","říkal","říkat","impf"," What do you want me to say?"," Co bys chtěl, abych říkal?"
"want","want","chceš","chtít","impf"," Or do you want me to kneel and beg forgiveness?"," Nebo chceš, abych si klekl a prosil o odpuštění?"
"beg","beg","prosil","prosit","impf"," Or do you want me to kneel and beg forgiveness?"," Nebo chceš, abych si klekl a prosil o odpuštění?"
"Kiss","kiss","Políbil","políbit","pf"," Kiss your ring?"," Políbil ti prsten?"
"Kiss","kiss","Políbil","políbit","pf"," Kiss your ass?"," Políbil ti zadek?"
"doing","do","prováděl","provádět","impf"," "" What the hell were you doing, Wick? """," "" Cos to ksakru prováděl, Wicku? """
"walking","walk","kráčejí","kráčet","impf"," It was a rear shot of Wick and Rennie outside the country club walking toward her car."," Byl to záběr Wicka a Rennie zezadu, jak kráčejí k jejímu vozu."
"surprise","surprise","nepřekvapilo","překvapit","pf"," Which did n't surprise him."," Což ho nepřekvapilo."
"worked","work","pracovala","pracovat","impf"," She 'd worked her ass off today."," Dneska pracovala do úmoru."
"assumed","assume","Předpokládalo","předpokládat","impf"," It was assumed that he belonged to one of the families who had set up temporary camp with magazines and cups of vending-machine coffee."," Předpokládalo se, že patří k některé rodině, které se tam dočasně utábořily s časopisy a kelímky kávy z prodejních automatů."
"chose","choose","Vybral","vybrat","pf"," He chose a chair in the corner, pulled his straw cowboy hat low over his brow, and partially hid behind an edition of USA Today."," Vybral si židli v rohu, stáhl si slaměný kovbojský klobouk hluboko do čela a částečně se schoval za výtisk USA Today."
"hid","hide","schoval","schovat","pf"," He chose a chair in the corner, pulled his straw cowboy hat low over his brow, and partially hid behind an edition of USA Today."," Vybral si židli v rohu, stáhl si slaměný kovbojský klobouk hluboko do čela a částečně se schoval za výtisk USA Today."
"giving","give","dává","dávat","impf"," He liked to think of Grace giving his partner an earful."," Zamlouvalo se mu pomyšlení, jak Grace dává manželovi do těla."
"listen","listen","poslouchal","poslouchat","impf"," If there was anyone on earth Oren would listen to, it was his wife, whom he not only loved but also respected for her insight."," Jestli existoval vůbec někdo, koho Oren poslouchal, pak to byla jeho žena, kterou nejen miloval, ale rovněž ctil pro její schopnost porozumění."
"loved","love","miloval","milovat","impf"," If there was anyone on earth Oren would listen to, it was his wife, whom he not only loved but also respected for her insight."," Jestli existoval vůbec někdo, koho Oren poslouchal, pak to byla jeho žena, kterou nejen miloval, ale rovněž ctil pro její schopnost porozumění."
"respected","respect","ctil","ctít","impf"," If there was anyone on earth Oren would listen to, it was his wife, whom he not only loved but also respected for her insight."," Jestli existoval vůbec někdo, koho Oren poslouchal, pak to byla jeho žena, kterou nejen miloval, ale rovněž ctil pro její schopnost porozumění."
"see","see","neviděla","vidět","impf"," "" Yeah, well, she did n't see the romantic setting that I did."," "" Jo, no, neviděla ten romantický výjev, co já."
"seen","see","neviděla","vidět","impf"," She has n't seen this, either. """," Ani tohle neviděla. """
"withdrew","withdraw","vytáhl","vytáhnout","pf"," From the breast pocket of his sport jacket, Oren withdrew several sheets of paper that had been folded together lengthwise."," Z náprsní kapsy sportovního saka vytáhl Oren několik podélně přeložených listů papíru."
"said","say","řekl","říci","pf"," "" As I said, we 'll see. """," "" Jak jsem řekl, uvidíme. """
"see","see","uvidíme","uvidět","pf"," "" As I said, we 'll see. """," "" Jak jsem řekl, uvidíme. """
"smiled","smile","usmál","usmát","pf"," Lozada smiled back at Rennie."," Lozada se usmál na Rennie."
"See","see","uvidíme","uvidět","pf"," See you very soon."," Brzy se uvidíme."
"loves","love","miluje","milovat","impf"," Detective Wesley loves to grandstand."," Detektiv Wesley miluje velká gesta."
"asked","ask","zeptal","zeptat","pf"," They stared at the silent program for several moments before Oren asked if it was a good show."," Chvíli civěli na němý program, pak se Oren zeptal, jestli je to dobrý pořad."
"explained","explain","vysvětlil","vysvětlit","pf"," "" Those two are mother and daughter, "" Wick explained."," "" Ty dvě jsou matka s dcerou, "" vysvětlil Wick."
"slept","sleep","spala","spát","impf"," "" The daughter slept with the mother 's husband. """," "" Ta dcera spala s matčiným manželem. """
"pulled","pull","vytáhl","vytáhnout","pf"," When he had Wick somewhat subdued, he struggled to his knees and pulled his service revolver from his shoulder holster."," Když Wicka trochu zkrotil, zvedl se na kolena a vytáhl z pouzdra služební revolver."
"pointed","point","Zamířil","zamířit","pf"," He pointed it down at Wick."," Zamířil na Wicka."
"smarted","smart","pálily","pálit","impf"," Tears of pain smarted in his eyes, but he could see the bore of Oren 's handgun clearly enough."," Wicka pálily v očích slzy bolesti, ale hlaveň Kršnovy zbraně viděl dost jasně."
"see","see","viděl","vidět","impf"," Tears of pain smarted in his eyes, but he could see the bore of Oren 's handgun clearly enough."," Wicka pálily v očích slzy bolesti, ale hlaveň Kršnovy zbraně viděl dost jasně."
"hearing","hear","zaslechli","zaslechnout","pf"," Upon hearing the commotion, several other plain-clothesmen rushed into the room."," Někteří detektivové v civilu zaslechli hluk a vběhli do místnosti."
"watch","watch","Nedívám","dívat","impf"," "" I do n't watch the news or read the papers. """," "" Nedívám se na zprávy ani nečtu noviny. """
"read","read","nečtu","číst","impf"," "" I do n't watch the news or read the papers. """," "" Nedívám se na zprávy ani nečtu noviny. """
"saved","save","ušetřil","ušetřit","pf"," "" Must not. Because if you had, you 'd have sped straight to Fort Worth and saved me this trip. """," "" To určitě ne, jelikož kdyby jo, přiřítil by ses rovnou do Fort Worthu a ušetřil mi tuhle cestu. """
"need","need","Potřebuješ","potřebovat","impf"," You need to hear it. """," Potřebuješ to slyšet. """
"hear","hear","slyšet","slyšet","impf"," You need to hear it. """," Potřebuješ to slyšet. """
"started","start","začala","začít","pf"," Laura started her periods. """," Laura začala menstruovat. """
"smiled","smile","usmál","usmát","pf"," Oren smiled."," Oren se usmál."
"said","say","říkala","říkat","impf"," Grace said to give you a kiss from her. """," Grace říkala, že ti mám dát za ni pusu. """
"give","give","dát","dát","pf"," Grace said to give you a kiss from her. """," Grace říkala, že ti mám dát za ni pusu. """
"said","say","říkala","říkat","impf"," "" That 's what she said."," "" Tak to říkala."
"imagining","imagine","představoval","představovat","impf"," Wick smiled, imagining Oren silently counting to ten."," Usmíval se, představoval si Orena, jak tiše počítá do deseti."
"counting","count","počítá","počítat","impf"," Wick smiled, imagining Oren silently counting to ten."," Usmíval se, představoval si Orena, jak tiše počítá do deseti."
"meant","mean","Chtěl","chtít","impf"," I only meant to be gentlemanly. """," Chtěl jsem se zachovat jako džentlmen, nic víc. """
"thank","thank","děkuji","děkovat","impf"," "" Then thank you for being a gentleman."," "" Potom vám za to děkuji."
"reopened","reopen","otevřel","otevřít","pf"," Wick immediately reopened it and leaned in, putting his face inches from hers."," Okamžitě je znovu otevřel a naklonil se dovnitř, až měl obličej blízko její tváře."
"leaned","lean","naklonil","naklonit","pf"," Wick immediately reopened it and leaned in, putting his face inches from hers."," Okamžitě je znovu otevřel a naklonil se dovnitř, až měl obličej blízko její tváře."
"think","think","myslím","myslet","impf"," "" Just FYI, Dr. Newton, if I 'd been flirting you 'd know by now that I think your eyes are sensational, and that I 'll probably have a real dirty dream about your mouth."," "" Jenom aby bylo mezi námi jasno, doktorko Newtonová, kdybych s vámi flirtoval, to už byste teď věděla, že si myslím, že máte úžasné oči a že se mi pravděpodobně bude zdát vzrušující sen o vašich ústech."
"think","think","máte","mít","impf"," "" Just FYI, Dr. Newton, if I 'd been flirting you 'd know by now that I think your eyes are sensational, and that I 'll probably have a real dirty dream about your mouth."," "" Jenom aby bylo mezi námi jasno, doktorko Newtonová, kdybych s vámi flirtoval, to už byste teď věděla, že si myslím, že máte úžasné oči a že se mi pravděpodobně bude zdát vzrušující sen o vašich ústech."
"think","think","zdát","zdát","impf"," "" Just FYI, Dr. Newton, if I 'd been flirting you 'd know by now that I think your eyes are sensational, and that I 'll probably have a real dirty dream about your mouth."," "" Jenom aby bylo mezi námi jasno, doktorko Newtonová, kdybych s vámi flirtoval, to už byste teď věděla, že si myslím, že máte úžasné oči a že se mi pravděpodobně bude zdát vzrušující sen o vašich ústech."
"looking","look","Pohlédl","pohlédnout","pf"," He took in Wick 's bare chest and made a point of looking down at the fly he had hurriedly buttoned."," Pohlédl na Wickovu nahou hruď a zvlášť významný pohled hodil na jeho poklopec, který si předtím s takovým spěchem zapnul."
"buttoned","button","zapnul","zapnout","pf"," He took in Wick 's bare chest and made a point of looking down at the fly he had hurriedly buttoned."," Pohlédl na Wickovu nahou hruď a zvlášť významný pohled hodil na jeho poklopec, který si předtím s takovým spěchem zapnul."
"hope","hope","Doufám","doufat","impf"," "" I hope you 're decent enough, man enough, to handle that responsibility. """," "" Doufám, že jste dost slušný a dost chlap, abyste tuhle odpovědnost zvládl. """
"handle","handle","zvládl","zvládnout","pf"," "" I hope you 're decent enough, man enough, to handle that responsibility. """," "" Doufám, že jste dost slušný a dost chlap, abyste tuhle odpovědnost zvládl. """
"watching","watch","pozoroval","pozorovat","impf"," When Rennie came in from the corral, Wick was watching coffee drip from the filter basket into the carafe."," Když se Rennie vrátila z výběhu, Wick pozoroval, jak káva překapává přes filtr do nádoby."
"wearing","wear","měl","mít","impf"," Bare-chested and barefoot, he was wearing only blue jeans."," Byl bos a bez trička, měl na sobě jenom modré džíny."
"seems","seem","zdá","zdát","impf"," Peterson seems competent enough, but- """," Peterson se zdá schopný, ale - """
"cooperating","cooperate","Nespolupracuješ","spolupracovat","impf"," "" You 're not cooperating. """," "" Nespolupracuješ. """
"said","say","Říkal","říkat","impf"," "" He said I 'm not cooperating? """," "" Říkal, že nespolupracuju? """
"cooperating","cooperate","nespolupracuju","spolupracovat","impf"," "" He said I 'm not cooperating? """," "" Říkal, že nespolupracuju? """
"stop","stop","přestaň","přestat","pf"," "" Then stop acting like one."," "" Potom se tak přestaň chovat."
"said","say","Říkal","říkat","impf"," He said you rarely leave the mike on and only have the earpiece in about half the time. """," Říkal, že málokdy necháváš zapnutý mikrofon a sluchátko že si bereš sotva polovinu doby, co bys měl. """
"leave","leave","necháváš","nechávat","impf"," He said you rarely leave the mike on and only have the earpiece in about half the time. """," Říkal, že málokdy necháváš zapnutý mikrofon a sluchátko že si bereš sotva polovinu doby, co bys měl. """
"needed","need","potřeboval","potřebovat","impf"," The bed, sad and sagging as it was, looked inviting, but he needed a shower first."," Postel, smutná a proležená, i tak vypadala vábně, ale nejdřív se potřeboval osprchovat."
"rush","rush","nespěchal","spěchat","impf"," Even at this hour of the morning the hot water ran out before he could work up a sufficient lather, but he did n't rush."," Dokonce i v tuto časnou hodinu došla teplá voda dřív, než se stačil pořádně namydlit, ale nespěchal."
"disappears","disappear","zmizí","zmizet","pf"," You know what usually happens when he disappears for a few days. """," Víš, co se obvykle stane, když na několik dní zmizí. """
"like","like","Nelíbí","líbit","impf"," "" I do n't like it. """," "" Nelíbí se mi to. """
"saved","save","zachránila","zachránit","pf"," I 've got people all over town talking up your affair with the surgeon who saved your life."," Mám všude po městě lidi, kteří vykládají o tvém románku s doktorkou, která ti zachránila život."
"tell","tell","řeknou","říci","pf"," They 'll probably tell the people at the hospital that Wesley 's gun accidentally fired while he was cleaning it. Or something. """," V nemocnici asi řeknou, že Wesleymu náhodou spustila pistole, když ji čistil, nebo tak něco. """
"cleaning","clean","čistil","čistit","impf"," They 'll probably tell the people at the hospital that Wesley 's gun accidentally fired while he was cleaning it. Or something. """," V nemocnici asi řeknou, že Wesleymu náhodou spustila pistole, když ji čistil, nebo tak něco. """
