"found","find","našlo","najít","pf"," ‘ The garment found on the strand was placed there in order to mislead?"," "" To tílko, které se našlo na pobřeží, tam bylo nastražené, mělo svést ze stopy?"
"came","come","přišel","přijít","pf"," Lucy did not, again, write to Ralph, as she had known she wouldn ’ t, not even when a note came from him, as also she had known it would."," Lucy už Ralphovi nenapsala, což ostatně věděla předem, ani když od něj přišel vzkaz, což rovněž vytušila."
"happening","happen","odehrály","odehrát","pf"," The confusions of an afternoon, so strangely happening, calmed in retrospect, and yet for Lucy the afternoon had not dulled to greyness but had kept its colours as fresh as in a painting."," Zmatky toho odpoledne, které se odehrály tak zvláštně, se v retrospektivním pohledu zklidnily, a přece ono odpoledne pro Lucy nezešedlo, ale uchovalo si barvy stejně čerstvé jako na obraze."
"kept","keep","uchovalo","uchovat","pf"," The confusions of an afternoon, so strangely happening, calmed in retrospect, and yet for Lucy the afternoon had not dulled to greyness but had kept its colours as fresh as in a painting."," Zmatky toho odpoledne, které se odehrály tak zvláštně, se v retrospektivním pohledu zklidnily, a přece ono odpoledne pro Lucy nezešedlo, ale uchovalo si barvy stejně čerstvé jako na obraze."
"turned","turn","obrátilo","obrátit","pf"," The car stopped, and turned back."," Auto se zastavilo, pak se obrátilo a odjelo."
"revealed","reveal","prozradila","prozradit","pf"," She revealed this to him as he was setting out to make what new last arrangements were necessary with Aloysius Sullivan."," To mu prozradila, právě když se chystal za Aloysiem Sullivanem vyřídit poslední nutné záležitosti."
"leave","leave","vyjet","vyjet","pf"," ‘ All the way to us over here when we ’ re about to leave? ’"," "" Proč mají putovat takovou dálku až sem, když se zrovna chystáme vyjet? """
"wrote","write","napsala","napsat","pf"," She wrote a note instead, empowering him to receive the certificates on her behalf."," Místo toho napsala pár řádek, jimiž ho zmocnila přijmout akcie za ni."
"empowering","empower","zmocnila","zmocnit","pf"," She wrote a note instead, empowering him to receive the certificates on her behalf."," Místo toho napsala pár řádek, jimiž ho zmocnila přijmout akcie za ni."
"receive","receive","přijmout","přijmout","pf"," She wrote a note instead, empowering him to receive the certificates on her behalf."," Místo toho napsala pár řádek, jimiž ho zmocnila přijmout akcie za ni."
"want","want","chci","chtít","impf"," ‘ It ’ s how I want it, ’ she said then."," "" Já to takhle chci, "" řekla mu tehdy."
"said","say","řekla","říci","pf"," ‘ It ’ s how I want it, ’ she said then."," "" Já to takhle chci, "" řekla mu tehdy."
"came","come","přijel","přijet","pf"," Captain Gault ’ s declaration was starkly empty of sentiment, but the Registrar ’ s clerk who came to Lahardane to transcribe it was moved and sympathetic."," Prohlášení kapitána Gaulta bylo zcela prosto emocí, ale notářova koncipienta, který jej přijel do Lahardanu přepsat, dojalo a soucítil s nimi."
"moved","move","dojalo","dojmout","pf"," Captain Gault ’ s declaration was starkly empty of sentiment, but the Registrar ’ s clerk who came to Lahardane to transcribe it was moved and sympathetic."," Prohlášení kapitána Gaulta bylo zcela prosto emocí, ale notářova koncipienta, který jej přijel do Lahardanu přepsat, dojalo a soucítil s nimi."
"wait","wait","čekat","čekat","impf"," ‘ Why should we wait longer now? ’ Heloise asked when the man had gone."," "" Proč bychom teď měli dál čekat? "" zeptala se Heloise, když ten muž odešel."
"asked","ask","zeptala","zeptat","pf"," ‘ Why should we wait longer now? ’ Heloise asked when the man had gone."," "" Proč bychom teď měli dál čekat? "" zeptala se Heloise, když ten muž odešel."
"gone","go","odešel","odejít","pf"," ‘ Why should we wait longer now? ’ Heloise asked when the man had gone."," "" Proč bychom teď měli dál čekat? "" zeptala se Heloise, když ten muž odešel."
"want","want","nechci","chtít","impf"," If they are wrong, there is, for me, a horror I do not want to know."," Jestli se mýlí, pak je tu pro mě hrůza, kterou nechci poznat."
"said","say","řekl","říci","pf"," ‘ All that, ’ he said, and there was something about her mother not wanting ever to know the news from Ireland, and how his love had caused him too assiduously to protect her and take from her a greater marvel than she saw in pictures."," "" A vůbec, "" řekl a pak následovalo něco o tom, jak její matka nechtěla vůbec slyšet zprávy z Irska a jak ji z lásky až příliš horlivě chránil a připravil ji o větší zázrak, než ona viděla v obrazech."
"wanting","want","nechtěla","chtít","impf"," ‘ All that, ’ he said, and there was something about her mother not wanting ever to know the news from Ireland, and how his love had caused him too assiduously to protect her and take from her a greater marvel than she saw in pictures."," "" A vůbec, "" řekl a pak následovalo něco o tom, jak její matka nechtěla vůbec slyšet zprávy z Irska a jak ji z lásky až příliš horlivě chránil a připravil ji o větší zázrak, než ona viděla v obrazech."
"protect","protect","chránil","chránit","impf"," ‘ All that, ’ he said, and there was something about her mother not wanting ever to know the news from Ireland, and how his love had caused him too assiduously to protect her and take from her a greater marvel than she saw in pictures."," "" A vůbec, "" řekl a pak následovalo něco o tom, jak její matka nechtěla vůbec slyšet zprávy z Irska a jak ji z lásky až příliš horlivě chránil a připravil ji o větší zázrak, než ona viděla v obrazech."
"saw","see","viděla","vidět","impf"," ‘ All that, ’ he said, and there was something about her mother not wanting ever to know the news from Ireland, and how his love had caused him too assiduously to protect her and take from her a greater marvel than she saw in pictures."," "" A vůbec, "" řekl a pak následovalo něco o tom, jak její matka nechtěla vůbec slyšet zprávy z Irska a jak ji z lásky až příliš horlivě chránil a připravil ji o větší zázrak, než ona viděla v obrazech."
"apologizing","apologize","omlouval","omlouvat","impf"," He sought no sympathy but blankly laid out these facts as if apologizing for some failure in himself."," Nedožadoval se soucitu, jen bez výrazu vyložil tato fakta, jako by se omlouval za nějaké vlastní selhání."
"nodded","nod","Přikývla","přikývnout","pf"," She nodded."," Přikývla."
"ran","run","utíkají","utíkat","impf"," In novels people ran away."," V románech lidé utíkají."
"marrying","marry","vdala","vdát","pf"," When he had been against her marrying that boy, when he had been against the friendship, he hadn ’ t understood what Bridget had, she being quicker than he was in ways like that."," Když byl proti tomu, aby se vdala za toho chlapce, když byl proti jejich přátelství, nepochopil to, co Bridget, protože jí to v těchto záležitostech myslelo rychleji."
"understood","understand","nepochopil","pochopit","pf"," When he had been against her marrying that boy, when he had been against the friendship, he hadn ’ t understood what Bridget had, she being quicker than he was in ways like that."," Když byl proti tomu, aby se vdala za toho chlapce, když byl proti jejich přátelství, nepochopil to, co Bridget, protože jí to v těchto záležitostech myslelo rychleji."
"said","say","prohlásila","prohlásit","pf"," ‘ It ’ s the lonesomeness would worry you, ’ Bridget had said."," "" Měl by ses bát spíš její osamělosti, "" prohlásila Bridget tenkrát."
"worried","worry","báli","bát","impf"," It worried both of them now."," Teď už se báli oba."
"shout","shout","křičet","křičet","impf"," The lorry driver had to shout when the motion of another saw began, adding to the snarl of beech planks slowly cut."," Šofér náklaďáku musel křičet, když se další pila dala do pohybu a přidala se k vrčení vydávaného pomalu řezanými březovými fošnami."
"adding","add","dala","dát","pf"," The lorry driver had to shout when the motion of another saw began, adding to the snarl of beech planks slowly cut."," Šofér náklaďáku musel křičet, když se další pila dala do pohybu a přidala se k vrčení vydávaného pomalu řezanými březovými fošnami."
"adding","add","přidala","přidat","pf"," The lorry driver had to shout when the motion of another saw began, adding to the snarl of beech planks slowly cut."," Šofér náklaďáku musel křičet, když se další pila dala do pohybu a přidala se k vrčení vydávaného pomalu řezanými březovými fošnami."
"saying","say","Říká","říkat","impf"," ‘ They ’ re saying Mrs Gault died. ’"," "" Říká se, že paní Gaultová umřela. """
"died","die","umřela","umřít","pf"," ‘ They ’ re saying Mrs Gault died. ’"," "" Říká se, že paní Gaultová umřela. """
"gave","give","dal","dát","pf"," Ralph gave the man the invoice that had been prepared."," Ralph dal tomu muži připravenou fakturu."
"sit","sit","sedíme","sedět","impf"," It ’ s just that sometimes in the evenings when we sit there in the rectory we think of a young girl on her own – or, not quite, of course, but still a little on her own."," Já jen že když občas sedíme na faře, myslíme na mladou dívku, která je sama - tedy samozřejmě ne úplně, ale pořád je trošku sama."
"think","think","myslíme","myslet","impf"," It ’ s just that sometimes in the evenings when we sit there in the rectory we think of a young girl on her own – or, not quite, of course, but still a little on her own."," Já jen že když občas sedíme na faře, myslíme na mladou dívku, která je sama - tedy samozřejmě ne úplně, ale pořád je trošku sama."
"hope","hope","doufáme","doufat","impf"," And we hope, Bridget, we hope. ’"," A doufáme, Bridget, doufáme. """
"hope","hope","doufáme","doufat","impf"," And we hope, Bridget, we hope. ’"," A doufáme, Bridget, doufáme. """
"hope","hope","doufáme","doufat","impf"," And we hope, Bridget, we hope. ’"," A doufáme, Bridget, doufáme. """
"hope","hope","doufáme","doufat","impf"," And we hope, Bridget, we hope. ’"," A doufáme, Bridget, doufáme. """
"spoken","speak","mluvil","mluvit","impf"," The language spoken by the waiter who brought her coffee was a language she had never heard spoken before, very word of it incomprehensible."," Jazyk, jímž mluvil číšník, který jí přinesl kávu, ještě v životě neslyšela, ani jedno slovo z něj jí nebylo srozumitelné."
"spoken","speak","mluvil","mluvit","impf"," The language spoken by the waiter who brought her coffee was a language she had never heard spoken before, very word of it incomprehensible."," Jazyk, jímž mluvil číšník, který jí přinesl kávu, ještě v životě neslyšela, ani jedno slovo z něj jí nebylo srozumitelné."
"brought","bring","přinesl","přinést","pf"," The language spoken by the waiter who brought her coffee was a language she had never heard spoken before, very word of it incomprehensible."," Jazyk, jímž mluvil číšník, který jí přinesl kávu, ještě v životě neslyšela, ani jedno slovo z něj jí nebylo srozumitelné."
"heard","hear","neslyšela","slyšet","impf"," The language spoken by the waiter who brought her coffee was a language she had never heard spoken before, very word of it incomprehensible."," Jazyk, jímž mluvil číšník, který jí přinesl kávu, ještě v životě neslyšela, ani jedno slovo z něj jí nebylo srozumitelné."
"fill","fill","zaplnila","zaplnit","pf"," Swiss walkers came in a bunch to fill the tables around her, their sticks and haversacks piled on to the unoccupied chairs."," Skupina švýcarských turistů zaplnila stoly kolem ní a jejich hole a torny se navršily na neobsazených židlích."
"took","take","zavedla","zavést","pf"," Another journey took her across the Italian border."," Další cesta ji zavedla přes italskou hranici."
"stay","stay","zůstat","zůstat","pf"," ‘ Won ’ t you stay a while when you finish with the boys? ’"," "" Nechtěl bys tu chvíli zůstat, až budeš s kluky hotový? """
"finished","finish","skončil","skončit","pf"," It was the end of the first week in September when he finished his tutoring."," S doučováním skončil na konci prvního zářijového týdne."
"walking","walk","kráčet","kráčet","impf"," This was always the best part – walking slowly through the waves, the coldness rising, invigorating on her skin, the pull of the undertow at her feet."," To na tom bylo vždycky nejlepší - kráčet pomalu vlnami, nechat ten chlad stoupat a napružit jí kůži, cítit tah protiproudu u nohou."
"rising","rise","stoupat","stoupat","impf"," This was always the best part – walking slowly through the waves, the coldness rising, invigorating on her skin, the pull of the undertow at her feet."," To na tom bylo vždycky nejlepší - kráčet pomalu vlnami, nechat ten chlad stoupat a napružit jí kůži, cítit tah protiproudu u nohou."
"spread","spread","Roztáhla","roztáhnout","pf"," She spread out her arms to swim beyond her depth, then floated with the tide."," Roztáhla ruce a začala plavat, když už nohama nestačila, pak se nechala unášet přílivem."
"swim","swim","plavat","plavat","impf"," She spread out her arms to swim beyond her depth, then floated with the tide."," Roztáhla ruce a začala plavat, když už nohama nestačila, pak se nechala unášet přílivem."
"floated","float","plavat","plavat","impf"," She spread out her arms to swim beyond her depth, then floated with the tide."," Roztáhla ruce a začala plavat, když už nohama nestačila, pak se nechala unášet přílivem."
"guessed","guess","uhádla","uhádnout","pf"," Lucy guessed that her mother – perhaps from this same source – had learnt that St Cecilia had been born to be a martyr, had been murdered when she mocked the ancient gods, becoming after death the holy patron of musicians, as St Catherine was of saddlers and Charles Borromeo of starch-makers, as St Elizabeth sought mercy for all sufferers from toothache."," Lucy uhádla, že se její matka - možná ze stejného zdroje - dozvěděla, že svatá Cecilie se zrodila předurčená stát se mučednicí, byla zavražděna, když se vysmívala starým bohům, a po smrti se stala patronkou hudebníků, tak jako svatá Kateřina je ochránkyní sedlářů a Karel Boromejský výrobců škrobu, tak jako svatá Alžběta oroduje za všechny, kdož trpí bolestí zubů."
"learnt","learn","dozvěděla","dozvědět","pf"," Lucy guessed that her mother – perhaps from this same source – had learnt that St Cecilia had been born to be a martyr, had been murdered when she mocked the ancient gods, becoming after death the holy patron of musicians, as St Catherine was of saddlers and Charles Borromeo of starch-makers, as St Elizabeth sought mercy for all sufferers from toothache."," Lucy uhádla, že se její matka - možná ze stejného zdroje - dozvěděla, že svatá Cecilie se zrodila předurčená stát se mučednicí, byla zavražděna, když se vysmívala starým bohům, a po smrti se stala patronkou hudebníků, tak jako svatá Kateřina je ochránkyní sedlářů a Karel Boromejský výrobců škrobu, tak jako svatá Alžběta oroduje za všechny, kdož trpí bolestí zubů."
"born","bear","zrodila","zrodit","pf"," Lucy guessed that her mother – perhaps from this same source – had learnt that St Cecilia had been born to be a martyr, had been murdered when she mocked the ancient gods, becoming after death the holy patron of musicians, as St Catherine was of saddlers and Charles Borromeo of starch-makers, as St Elizabeth sought mercy for all sufferers from toothache."," Lucy uhádla, že se její matka - možná ze stejného zdroje - dozvěděla, že svatá Cecilie se zrodila předurčená stát se mučednicí, byla zavražděna, když se vysmívala starým bohům, a po smrti se stala patronkou hudebníků, tak jako svatá Kateřina je ochránkyní sedlářů a Karel Boromejský výrobců škrobu, tak jako svatá Alžběta oroduje za všechny, kdož trpí bolestí zubů."
"murdered","murder","zavražděna","zavraždit","pf"," Lucy guessed that her mother – perhaps from this same source – had learnt that St Cecilia had been born to be a martyr, had been murdered when she mocked the ancient gods, becoming after death the holy patron of musicians, as St Catherine was of saddlers and Charles Borromeo of starch-makers, as St Elizabeth sought mercy for all sufferers from toothache."," Lucy uhádla, že se její matka - možná ze stejného zdroje - dozvěděla, že svatá Cecilie se zrodila předurčená stát se mučednicí, byla zavražděna, když se vysmívala starým bohům, a po smrti se stala patronkou hudebníků, tak jako svatá Kateřina je ochránkyní sedlářů a Karel Boromejský výrobců škrobu, tak jako svatá Alžběta oroduje za všechny, kdož trpí bolestí zubů."
"born","bear","trpí","trpět","impf"," Lucy guessed that her mother – perhaps from this same source – had learnt that St Cecilia had been born to be a martyr, had been murdered when she mocked the ancient gods, becoming after death the holy patron of musicians, as St Catherine was of saddlers and Charles Borromeo of starch-makers, as St Elizabeth sought mercy for all sufferers from toothache."," Lucy uhádla, že se její matka - možná ze stejného zdroje - dozvěděla, že svatá Cecilie se zrodila předurčená stát se mučednicí, byla zavražděna, když se vysmívala starým bohům, a po smrti se stala patronkou hudebníků, tak jako svatá Kateřina je ochránkyní sedlářů a Karel Boromejský výrobců škrobu, tak jako svatá Alžběta oroduje za všechny, kdož trpí bolestí zubů."
"went","go","odešla","odejít","pf"," Alms were begged for the church ’ s repair and then the woman went."," Žena si od Lucy vyprosila milodar na opravu kostela a pak odešla."
"left","leave","odjela","odjet","pf"," Lucy left Montemarmoreo reluctantly, yet knowing she would not ever return."," Lucy odjela z Montemarmorea zdráhavě, ovšem s vědomím, že se sem již nikdy nevrátí."
"return","return","nevrátí","vrátit","pf"," Lucy left Montemarmoreo reluctantly, yet knowing she would not ever return."," Lucy odjela z Montemarmorea zdráhavě, ovšem s vědomím, že se sem již nikdy nevrátí."
"thought","think","Myslel","myslet","impf"," I thought word might have reached the Mount Bellew cousins but it seems they, too, left Ireland a while back."," Myslel jsem, že o tom třeba mohli vědět bratranci v Mount Bellew, ale i ti podle všeho už před časem odjeli z Irska."
"left","leave","odjeli","odjet","pf"," I thought word might have reached the Mount Bellew cousins but it seems they, too, left Ireland a while back."," Myslel jsem, že o tom třeba mohli vědět bratranci v Mount Bellew, ale i ti podle všeho už před časem odjeli z Irska."
"remembered","remember","Vzpomněla","vzpomenout","pf"," Once they ’ d been, she remembered, but she hadn ’ t heard them mentioned since they ’ d gone to England."," Vzpomněla si, že kdysi nějaké styky udržovali, ale neslyšela o nich jedinou zmínku od té doby, co odjeli do Anglie."
"mentioned","mention","Vzpomněla","vzpomenout","pf"," Once they ’ d been, she remembered, but she hadn ’ t heard them mentioned since they ’ d gone to England."," Vzpomněla si, že kdysi nějaké styky udržovali, ale neslyšela o nich jedinou zmínku od té doby, co odjeli do Anglie."
"heard","hear","neslyšela","slyšet","impf"," Once they ’ d been, she remembered, but she hadn ’ t heard them mentioned since they ’ d gone to England."," Vzpomněla si, že kdysi nějaké styky udržovali, ale neslyšela o nich jedinou zmínku od té doby, co odjeli do Anglie."
"gone","go","odjeli","odjet","pf"," Once they ’ d been, she remembered, but she hadn ’ t heard them mentioned since they ’ d gone to England."," Vzpomněla si, že kdysi nějaké styky udržovali, ale neslyšela o nich jedinou zmínku od té doby, co odjeli do Anglie."
"come","come","přicházejí","přicházet","impf"," For that they come, to be amazed again that such peace is there : all they have heard, and still hear now, does not record it."," Kvůli tomu přicházejí, nechat se znovu ohromit, že takový mír v duši existuje : nic z toho, co slyšely a pořád ještě slýchají, to nedokáže postihnout."
"amazed","amaze","ohromit","ohromit","pf"," For that they come, to be amazed again that such peace is there : all they have heard, and still hear now, does not record it."," Kvůli tomu přicházejí, nechat se znovu ohromit, že takový mír v duši existuje : nic z toho, co slyšely a pořád ještě slýchají, to nedokáže postihnout."
"heard","hear","slyšely","slyšet","impf"," For that they come, to be amazed again that such peace is there : all they have heard, and still hear now, does not record it."," Kvůli tomu přicházejí, nechat se znovu ohromit, že takový mír v duši existuje : nic z toho, co slyšely a pořád ještě slýchají, to nedokáže postihnout."
"hear","hear","slyšely","slyšet","impf"," For that they come, to be amazed again that such peace is there : all they have heard, and still hear now, does not record it."," Kvůli tomu přicházejí, nechat se znovu ohromit, že takový mír v duši existuje : nic z toho, co slyšely a pořád ještě slýchají, to nedokáže postihnout."
"died","die","umřel","umřít","pf"," not that that dog had died, but even so."," ne že by ten pes tenkrát umřel, ale i tak."
"wanted","want","chtěl","chtít","impf"," Henry wanted everything to be all right, pretending too."," Henry chtěl, aby všechno bylo v pořádku, i on předstíral."
"pretending","pretend","předstíral","předstírat","impf"," Henry wanted everything to be all right, pretending too."," Henry chtěl, aby všechno bylo v pořádku, i on předstíral."
"learning","learn","učí","učit","impf"," ‘ She ’ s right good at learning her poetry, Captain. ’"," "" Básničky se učí úplně snadno, kapitáne. """
"followed","follow","sledoval","sledovat","impf"," He had followed him today and, as he continued to observe the two figures on the promenade, tears that were not tears of sorrow or dismay welled behind his eyes, spilt out on to his hollow cheeks and ran down into the collar of his shirt."," Dnes ho sledoval, a jak dál pozoroval ty dvě postavy na promenádě, vhrkly mu do očí slzy, které nebyly slzami zármutku či hrůzy, a po vpadlých tvářích mu stékaly do límečku košile."
"observe","observe","sledoval","sledovat","impf"," He had followed him today and, as he continued to observe the two figures on the promenade, tears that were not tears of sorrow or dismay welled behind his eyes, spilt out on to his hollow cheeks and ran down into the collar of his shirt."," Dnes ho sledoval, a jak dál pozoroval ty dvě postavy na promenádě, vhrkly mu do očí slzy, které nebyly slzami zármutku či hrůzy, a po vpadlých tvářích mu stékaly do límečku košile."
"observe","observe","pozoroval","pozorovat","impf"," He had followed him today and, as he continued to observe the two figures on the promenade, tears that were not tears of sorrow or dismay welled behind his eyes, spilt out on to his hollow cheeks and ran down into the collar of his shirt."," Dnes ho sledoval, a jak dál pozoroval ty dvě postavy na promenádě, vhrkly mu do očí slzy, které nebyly slzami zármutku či hrůzy, a po vpadlých tvářích mu stékaly do límečku košile."
"arrive","arrive","přijel","přijet","pf"," Sometimes, not often, the postman didn ’ t arrive until late in the day, but the postman wouldn ’ t have been invited into the drawing-room for tea."," Někdy, ne moc často, přijel pošťák až odpoledne, jenže toho by nikdo nepozval do obýváku na čaj."
"invited","invite","nepozval","pozvat","pf"," Sometimes, not often, the postman didn ’ t arrive until late in the day, but the postman wouldn ’ t have been invited into the drawing-room for tea."," Někdy, ne moc často, přijel pošťák až odpoledne, jenže toho by nikdo nepozval do obýváku na čaj."
"said","say","řekla","říci","pf"," ‘ I have the kettle on to boil, ’ Bridget said, wiping her floury hands on her apron."," "" Postavila jsem vodu na čaj, "" řekla Bridget a utřela si zamoučené ruce o zástěru."
"wiping","wipe","utřela","utřít","pf"," ‘ I have the kettle on to boil, ’ Bridget said, wiping her floury hands on her apron."," "" Postavila jsem vodu na čaj, "" řekla Bridget a utřela si zamoučené ruce o zástěru."
"trust","trust","Nevěřila","věřit","impf"," She didn ’ t trust herself to say more."," Nevěřila si, a tak už raději víc neřekla."
"say","say","neřekla","říci","pf"," She didn ’ t trust herself to say more."," Nevěřila si, a tak už raději víc neřekla."
"heard","hear","Zaslechla","zaslechnout","pf"," Had Bridget heard a voice?"," Zaslechla Bridget nějaký hlas?"
