"remove","remove","odstranit","odstranit","pf"," And the way to remove the mistake is to get a more sophisticated concept of causation."," A tento omyl je možno odstranit tak, že zpřesníme pojem kauzality."
"allow","allow","připouštějí","připouštět","impf"," And such disjunctive connections between the higher order phenomena and the lower order do indeed allow us to have rich sciences, but they do not allow for strict laws, because the form of the loose connections will permit of laws that have exceptions."," A taková disjunktivní spojení mezi fenomény vyššího a nižšího řádu mnohé vědy opravdu připouštějí, nepřipouštějí však striktní zákony, neboť forma volného spojení dovoluje výjimky."
"allow","allow","připouštějí","připouštět","impf"," And such disjunctive connections between the higher order phenomena and the lower order do indeed allow us to have rich sciences, but they do not allow for strict laws, because the form of the loose connections will permit of laws that have exceptions."," A taková disjunktivní spojení mezi fenomény vyššího a nižšího řádu mnohé vědy opravdu připouštějí, nepřipouštějí však striktní zákony, neboť forma volného spojení dovoluje výjimky."
"allow","allow","nepřipouštějí","připouštět","impf"," And such disjunctive connections between the higher order phenomena and the lower order do indeed allow us to have rich sciences, but they do not allow for strict laws, because the form of the loose connections will permit of laws that have exceptions."," A taková disjunktivní spojení mezi fenomény vyššího a nižšího řádu mnohé vědy opravdu připouštějí, nepřipouštějí však striktní zákony, neboť forma volného spojení dovoluje výjimky."
"allow","allow","nepřipouštějí","připouštět","impf"," And such disjunctive connections between the higher order phenomena and the lower order do indeed allow us to have rich sciences, but they do not allow for strict laws, because the form of the loose connections will permit of laws that have exceptions."," A taková disjunktivní spojení mezi fenomény vyššího a nižšího řádu mnohé vědy opravdu připouštějí, nepřipouštějí však striktní zákony, neboť forma volného spojení dovoluje výjimky."
"allow","allow","dovoluje","dovolovat","impf"," And such disjunctive connections between the higher order phenomena and the lower order do indeed allow us to have rich sciences, but they do not allow for strict laws, because the form of the loose connections will permit of laws that have exceptions."," A taková disjunktivní spojení mezi fenomény vyššího a nižšího řádu mnohé vědy opravdu připouštějí, nepřipouštějí však striktní zákony, neboť forma volného spojení dovoluje výjimky."
"allow","allow","dovoluje","dovolovat","impf"," And such disjunctive connections between the higher order phenomena and the lower order do indeed allow us to have rich sciences, but they do not allow for strict laws, because the form of the loose connections will permit of laws that have exceptions."," A taková disjunktivní spojení mezi fenomény vyššího a nižšího řádu mnohé vědy opravdu připouštějí, nepřipouštějí však striktní zákony, neboť forma volného spojení dovoluje výjimky."
"permit","permit","dovoluje","dovolovat","impf"," And such disjunctive connections between the higher order phenomena and the lower order do indeed allow us to have rich sciences, but they do not allow for strict laws, because the form of the loose connections will permit of laws that have exceptions."," A taková disjunktivní spojení mezi fenomény vyššího a nižšího řádu mnohé vědy opravdu připouštějí, nepřipouštějí však striktní zákony, neboť forma volného spojení dovoluje výjimky."
"studied","study","zkoumají","zkoumat","impf"," I am going to suggest that there are certain radical differences between human behaviour and the phenomena studied in the natural sciences. I will argue that these differences account both for the failures and the successes that we have had in the human sciences."," Pokusím se vyložit, že mezi lidským chováním a fenomény, které zkoumají přírodní vědy, jsou zásadní rozdíly a že úspěchy i selhání sociálních věd lze vysvětlit na základě těchto rozdílů."
"call","call","upozornil","upozornit","pf"," At the beginning I want to call your attention to an important difference between the form of commonsense explanations of human behaviour and the standard form of scientific explanation."," Nejprve bych ovšem rád upozornil na jeden důležitý rozdíl mezi formou běžného vysvětlení lidského chování a formou standardního vědeckého vysvětlení."
"explaining","explain","vysvětluje","vysvětlovat","impf"," According to the standard theory of scientific explanation, explaining a phenomenon consists in showing how its occurrence follows from certain scientific laws."," Standardní vědecké vysvětlení vysvětluje fenomén tak, že ukáže vědeckou zákonitost jeho výskytu."
"showing","show","ukáže","ukázat","pf"," According to the standard theory of scientific explanation, explaining a phenomenon consists in showing how its occurrence follows from certain scientific laws."," Standardní vědecké vysvětlení vysvětluje fenomén tak, že ukáže vědeckou zákonitost jeho výskytu."
"speak","speak","mluvit","mluvit","impf"," We can speak metaphorically of any system as if it were following rules, the solar system for example."," O kterémkoli systému, například slunečním, můžeme mluvit tak, jako by se řídil podle pravidel."
"following","follow","řídil","řídit","impf"," We can speak metaphorically of any system as if it were following rules, the solar system for example."," O kterémkoli systému, například slunečním, můžeme mluvit tak, jako by se řídil podle pravidel."
"use","use","užívá","užívat","impf"," It is OK to use a psychological metaphor to explain the computer."," Je v pořádku, užívá - li se metafory psychiky k vysvětlení počítače."
"take","take","vezme","vzít","pf"," The[ ]confusion comes when you take the metaphor literally and use the metaphorical computer sense of rule-following to try to explain the psychological sense of rule-following, on which the metaphor was based in the first place."," K záměně dochází, když se metafora vezme doslova a když se metaforického smyslu, v němž se podle pravidel řídí počítače, užije k výkladu toho, jak se podle pravidel řídí psychika, což ovšem bylo základem původní metafory."
"use","use","užije","užít","pf"," The[ ]confusion comes when you take the metaphor literally and use the metaphorical computer sense of rule-following to try to explain the psychological sense of rule-following, on which the metaphor was based in the first place."," K záměně dochází, když se metafora vezme doslova a když se metaforického smyslu, v němž se podle pravidel řídí počítače, užije k výkladu toho, jak se podle pravidel řídí psychika, což ovšem bylo základem původní metafory."
"see","see","vidím","vidět","impf"," I see the world from my point of view; you see it from your point of view."," Svět tedy vidím ze svého hlediska a vy jej vidíte zase z hlediska vašeho."
"see","see","vidím","vidět","impf"," I see the world from my point of view; you see it from your point of view."," Svět tedy vidím ze svého hlediska a vy jej vidíte zase z hlediska vašeho."
"see","see","vidíte","vidět","impf"," I see the world from my point of view; you see it from your point of view."," Svět tedy vidím ze svého hlediska a vy jej vidíte zase z hlediska vašeho."
"see","see","vidíte","vidět","impf"," I see the world from my point of view; you see it from your point of view."," Svět tedy vidím ze svého hlediska a vy jej vidíte zase z hlediska vašeho."
"think","think","předpokládáme","předpokládat","impf"," Since the seventeenth century we have come to think of reality as something which must be equally accessible to all competent observers - that is, we think it must be objective."," Od sedmnáctého století si skutečnost představujeme jako něco, co musí být stejnou měrou přístupné všem kompetentním pozorovatelům - to znamená, že předpokládáme, že realita musí být objektivní."
"think","think","předpokládáme","předpokládat","impf"," Since the seventeenth century we have come to think of reality as something which must be equally accessible to all competent observers - that is, we think it must be objective."," Od sedmnáctého století si skutečnost představujeme jako něco, co musí být stejnou měrou přístupné všem kompetentním pozorovatelům - to znamená, že předpokládáme, že realita musí být objektivní."
"supposing","suppose","předpokládáme","předpokládat","impf"," In the case of liquidity, solidity, and transparency, we have no difficulty at all in supposing that the surface features are caused by the behaviour of elements at the micro-level, and at the same time we accept that the surface phenomena just are features of the very systems in question."," V případě kapalnosti, pevnosti a průhlednosti bez obtíží předpokládáme, že povrchové vlastnosti jsou způsobeny chováním částic v jiné rovině, a zároveň akceptujeme skutečnost, že povrchové fenomény jsou prostě vlastnostmi systémů, o něž nám jde."
"caused","cause","způsobeny","způsobit","pf"," In the case of liquidity, solidity, and transparency, we have no difficulty at all in supposing that the surface features are caused by the behaviour of elements at the micro-level, and at the same time we accept that the surface phenomena just are features of the very systems in question."," V případě kapalnosti, pevnosti a průhlednosti bez obtíží předpokládáme, že povrchové vlastnosti jsou způsobeny chováním částic v jiné rovině, a zároveň akceptujeme skutečnost, že povrchové fenomény jsou prostě vlastnostmi systémů, o něž nám jde."
"think","think","Myslím","myslet","impf"," I think the clearest way of stating this point is to say that the surface feature is both caused by the behaviour of micro-elements, and at the same time is realised in the system that is made up of the micro-elements."," Myslím, že to lze formulovat i tak, že chování mikročástic je příčinou jisté vlastnosti vyššího řádu a příslušná vlastnost vyššího řádu se zároveň realizuje v systému, který se skládá z mikročástic."
"determined","determine","určeny","určit","pf"," because it doesn ’ t follow from the fact that particles are only statistically determined that the human mind can force the statistically-determined particles to swerve from their paths."," Neboť z toho, že jsou částice určeny jen statisticky, nevyplývá, že je lidská mysl může vypudit z jejich drah."
"follow","follow","nevyplývá","vyplývat","impf"," because it doesn ’ t follow from the fact that particles are only statistically determined that the human mind can force the statistically-determined particles to swerve from their paths."," Neboť z toho, že jsou částice určeny jen statisticky, nevyplývá, že je lidská mysl může vypudit z jejich drah."
"learn","learn","naučit","naučit","pf"," It is the assumption that if the output of a system is meaningful, in the sense that, for example, our ability to learn a language or our ability to recognise faces is a meaningful cognitive ability, then there must be some theory, internalised somehow in our brains, that underlies this ability."," Je to předpoklad, že je - li výstup systému významový, ve smyslu, v jakém je například naše schopnost naučit se jazyku nebo identifikovat tváře významovou kognitivní schopností, pak v našem mozku musí být internalizovaná teorie, která je jejím základem."
"represents","represent","reprezentuje","reprezentovat","impf"," It is a form of energy whereby[ ]the cause, either in the form of desires or intentions, represents the very state of affairs that it causes."," Je to forma energie, skrze niž příčina, ať už v podobě přání nebo záměru, reprezentuje právě ten stav věcí, který způsobuje."
"explain","explain","vysvětlit","vysvětlit","pf"," Now let ’ s go back to some of those points about action that[ ]we noticed at the beginning, because I think we have assembled enough pieces to explain them."," Chtěl bych se teď vrátit k některým aspektům jednání, kterých jsem se na začátku dotkl jen letmo, neboť jsem přesvědčen, že už jsem toho řekl tolik, abych je mohl vysvětlit."
"enabled","enable","umožňuje","umožňovat","impf"," We noticed that actions[ ]had preferred descriptions, and that, in fact, common sense enabled us to identify what the preferred descriptions of actions were."," Všimli jsme si, že jednání se popisuje jistým preferovaným způsobem a že náš zdravý rozum nám tento způsob umožňuje identifikovat."
"think","think","Myslím","myslet","impf"," But in the end there ’ s no way I think they[ ]can do that, because these principles don ’ t just describe the phenomena : they themselves partly go to make up the phenomena."," Myslím však, že to v podstatě není možné, protože zmíněné principy dané fenomény nejen popisují, ale zčásti je i vytvářejí."
"describe","describe","popisují","popisovat","impf"," But in the end there ’ s no way I think they[ ]can do that, because these principles don ’ t just describe the phenomena : they themselves partly go to make up the phenomena."," Myslím však, že to v podstatě není možné, protože zmíněné principy dané fenomény nejen popisují, ale zčásti je i vytvářejí."
"make","make","vytvářejí","vytvářet","impf"," But in the end there ’ s no way I think they[ ]can do that, because these principles don ’ t just describe the phenomena : they themselves partly go to make up the phenomena."," Myslím však, že to v podstatě není možné, protože zmíněné principy dané fenomény nejen popisují, ale zčásti je i vytvářejí."
"doing","do","dělá","dělat","impf"," When[ ]Freud is doing his metapsychology, that is, when he is giving the theory of what he is doing, he often uses scientific comparisons."," Tam, kde se Freud pouští do metapsychologie - formuluje - li teorii toho, co dělá -, užívá vědecké příměry."
"doing","do","dělá","dělat","impf"," When[ ]Freud is doing his metapsychology, that is, when he is giving the theory of what he is doing, he often uses scientific comparisons."," Tam, kde se Freud pouští do metapsychologie - formuluje - li teorii toho, co dělá -, užívá vědecké příměry."
"uses","use","užívá","užívat","impf"," When[ ]Freud is doing his metapsychology, that is, when he is giving the theory of what he is doing, he often uses scientific comparisons."," Tam, kde se Freud pouští do metapsychologie - formuluje - li teorii toho, co dělá -, užívá vědecké příměry."
"following","follow","řídily","řídit","impf"," Now notice that if they are following this rule, then its meaning must play a causal role in the production of their behaviour."," V případě, že se řídily tímto pravidlem, hrál jeho význam kauzální roli při vzniku jejich chování."
"play","play","hrál","hrát","impf"," Now notice that if they are following this rule, then its meaning must play a causal role in the production of their behaviour."," V případě, že se řídily tímto pravidlem, hrál jeho význam kauzální roli při vzniku jejich chování."
"learn","learn","dozvědět","dozvědět","pf"," I was interested to learn this rule because it is not a rule that I follow."," Bylo pro mě zajímavé se dozvědět, že takové pravidlo existuje, jelikož to není pravidlo, kterým bych se řídil."
"follow","follow","řídil","řídit","impf"," I was interested to learn this rule because it is not a rule that I follow."," Bylo pro mě zajímavé se dozvědět, že takové pravidlo existuje, jelikož to není pravidlo, kterým bych se řídil."
"follow","follow","neřídím","řídit","impf"," In fact, I don ’ t follow a rule at all when I park a car."," Popravdě řečeno se pří parkování neřídím žádným pravidlem."
"done","do","jednat","jednat","impf"," Is it ever true to[ ]say of a person that he could have done otherwise, all other conditions remaining the same?"," Je vůbec možné říci, že někdo by za jistých okolností mohl jednat jinak?"
"chose","choose","volil","volit","impf"," For example, given that a[ ]person chose to vote for the Tories, could he have chosen to vote for one of the other parties, all other conditions remaining the same?"," Předpokládejme, že někdo volil konzervativce, mohl nicméně za daných okolností volit i jinou stranu?"
"vote","vote","volil","volit","impf"," For example, given that a[ ]person chose to vote for the Tories, could he have chosen to vote for one of the other parties, all other conditions remaining the same?"," Předpokládejme, že někdo volil konzervativce, mohl nicméně za daných okolností volit i jinou stranu?"
"chosen","choose","volil","volit","impf"," For example, given that a[ ]person chose to vote for the Tories, could he have chosen to vote for one of the other parties, all other conditions remaining the same?"," Předpokládejme, že někdo volil konzervativce, mohl nicméně za daných okolností volit i jinou stranu?"
"vote","vote","volil","volit","impf"," For example, given that a[ ]person chose to vote for the Tories, could he have chosen to vote for one of the other parties, all other conditions remaining the same?"," Předpokládejme, že někdo volil konzervativce, mohl nicméně za daných okolností volit i jinou stranu?"
"chose","choose","volit","volit","impf"," For example, given that a[ ]person chose to vote for the Tories, could he have chosen to vote for one of the other parties, all other conditions remaining the same?"," Předpokládejme, že někdo volil konzervativce, mohl nicméně za daných okolností volit i jinou stranu?"
"vote","vote","volit","volit","impf"," For example, given that a[ ]person chose to vote for the Tories, could he have chosen to vote for one of the other parties, all other conditions remaining the same?"," Předpokládejme, že někdo volil konzervativce, mohl nicméně za daných okolností volit i jinou stranu?"
"chosen","choose","volit","volit","impf"," For example, given that a[ ]person chose to vote for the Tories, could he have chosen to vote for one of the other parties, all other conditions remaining the same?"," Předpokládejme, že někdo volil konzervativce, mohl nicméně za daných okolností volit i jinou stranu?"
"vote","vote","volit","volit","impf"," For example, given that a[ ]person chose to vote for the Tories, could he have chosen to vote for one of the other parties, all other conditions remaining the same?"," Předpokládejme, že někdo volil konzervativce, mohl nicméně za daných okolností volit i jinou stranu?"
"determines","determine","určuje","určovat","impf"," it determines how one state will be transformed into a subsequent state."," určuje, jak se jeden stav převádí ve druhý."
"following","follow","řídil","řídit","impf"," And we can speak metaphorically as if this were a matter of following rules."," To lze metaforicky popsat tak, jako by se při tom počítač řídil podle pravidel."
"follow","follow","řídí","řídit","impf"," But in the literal sense in which human beings follow rules computers do not follow rules, they only act as if they were following rules."," V doslovném významu, v jakém se podle pravidel řídí lidé, se ovšem počítače podle pravidel neřídí, i když se tak navenek chovají."
"follow","follow","řídí","řídit","impf"," But in the literal sense in which human beings follow rules computers do not follow rules, they only act as if they were following rules."," V doslovném významu, v jakém se podle pravidel řídí lidé, se ovšem počítače podle pravidel neřídí, i když se tak navenek chovají."
"following","follow","řídí","řídit","impf"," But in the literal sense in which human beings follow rules computers do not follow rules, they only act as if they were following rules."," V doslovném významu, v jakém se podle pravidel řídí lidé, se ovšem počítače podle pravidel neřídí, i když se tak navenek chovají."
"follow","follow","neřídí","řídit","impf"," But in the literal sense in which human beings follow rules computers do not follow rules, they only act as if they were following rules."," V doslovném významu, v jakém se podle pravidel řídí lidé, se ovšem počítače podle pravidel neřídí, i když se tak navenek chovají."
"follow","follow","neřídí","řídit","impf"," But in the literal sense in which human beings follow rules computers do not follow rules, they only act as if they were following rules."," V doslovném významu, v jakém se podle pravidel řídí lidé, se ovšem počítače podle pravidel neřídí, i když se tak navenek chovají."
"following","follow","neřídí","řídit","impf"," But in the literal sense in which human beings follow rules computers do not follow rules, they only act as if they were following rules."," V doslovném významu, v jakém se podle pravidel řídí lidé, se ovšem počítače podle pravidel neřídí, i když se tak navenek chovají."
"raise","raise","zvedl","zvednout","pf"," In the James case, a patient ’ s arm is anaesthetised, and it is[ ]held at his side in a dark room, and he is then ordered to raise it."," U Jamese se pacientovi umrtví ruka, která se mu v temné místnosti podrží u těla, načež se pacient vyzve, aby ruku zvedl."
"does","do","udělá","udělat","pf"," He does what he thinks is obeying the order, but is later[ ]quite surprised to discover that his arm didn ’ t go up."," A on udělá, co pokládá za uposlechnutí výzvy, později však ke svému překvapení zjistí, že jeho ruka se ani nepohnula."
"discover","discover","zjistí","zjistit","pf"," He does what he thinks is obeying the order, but is later[ ]quite surprised to discover that his arm didn ’ t go up."," A on udělá, co pokládá za uposlechnutí výzvy, později však ke svému překvapení zjistí, že jeho ruka se ani nepohnula."
"seem","seem","zdát","zdát","impf"," It should seem no more mysterious, in principle, that this hunk of matter, this grey and white oatmeal-textured substance of the brain, should be conscious than it seems mysterious that this other hunk of matter, this collection of nucleo-protein molecules stuck onto a calcium frame, should be alive."," To, že se kus hmoty v podobě šedobílé kašovité substance mozku vyznačuje vědomím, by se nám principiálně nemělo zdát záhadnější než to, že jiný kus hmoty v podobě shluku nukleoproteinových molekul držících na vápníkové kostře se vyznačuje životem."
"seems","seem","zdát","zdát","impf"," It should seem no more mysterious, in principle, that this hunk of matter, this grey and white oatmeal-textured substance of the brain, should be conscious than it seems mysterious that this other hunk of matter, this collection of nucleo-protein molecules stuck onto a calcium frame, should be alive."," To, že se kus hmoty v podobě šedobílé kašovité substance mozku vyznačuje vědomím, by se nám principiálně nemělo zdát záhadnější než to, že jiný kus hmoty v podobě shluku nukleoproteinových molekul držících na vápníkové kostře se vyznačuje životem."
"understand","understand","rozumí","rozumět","impf"," The way, in short, to dispel the mystery is to understand the processes."," Zkrátka, celá záhada mizí, rozumí - li člověk příslušným procesům."
"described","describe","popsáno","popsat","pf"," From a mathematical point of view, [ ]anything whatever can be described as if it were a digital computer."," Z matematického hlediska může být cokoliv popsáno jako digitální počítač."
"described","describe","popsat","popsat","pf"," And that ’ s because it can be described as instantiating or implementing a computer program."," Cokoliv se totiž dá popsat jako příprava nebo realizace počítačového programu."
"explained","explain","vysvětlit","vysvětlit","pf"," For example, the solidity of the table in front of me is explained by the lattice structure occupied by the molecules of which the table is composed."," Pevnost stolu přede mnou lze například vysvětlit pomocí strukturní mřížky, kterou tvoří molekuly, z nichž se skládá stůl."
"composed","compose","skládá","skládat","impf"," For example, the solidity of the table in front of me is explained by the lattice structure occupied by the molecules of which the table is composed."," Pevnost stolu přede mnou lze například vysvětlit pomocí strukturní mřížky, kterou tvoří molekuly, z nichž se skládá stůl."
"explained","explain","vysvětlit","vysvětlit","pf"," Similarly, the liquidity of the water is explained by the nature of the interactions between the H2O molecules."," Podobně lze kapalnost vody vysvětlit jako vzájemné působení molekul H2 O."
"explained","explain","vysvětlovány","vysvětlovat","impf"," Those macro-features are causally explained by the behaviour of elements at the micro-level."," Vlastnosti makrosystémů jsou tak vysvětlovány kauzálně - chováním mikročástic."
"suggest","suggest","nabízí","nabízet","impf"," I want to suggest that this provides a perfectly ordinary model for explaining the puzzling relationships between the mind and the brain."," Myslím, že se tu nabízí nádherně jednoduchý model pro vysvětlení záhadných vztahů mezi myslí a mozkem."
"look","look","Dívám","dívat","impf"," I just look at the kerb and try to get as close to the kerb as I can without bashing into the cars in front of and behind me."," Dívám se směrem k chodníku a snažím se k němu dostat co nejblíž, aniž bych vrazil do auta před sebou nebo za sebou."
"try","try","snažím","snažit","impf"," I just look at the kerb and try to get as close to the kerb as I can without bashing into the cars in front of and behind me."," Dívám se směrem k chodníku a snažím se k němu dostat co nejblíž, aniž bych vrazil do auta před sebou nebo za sebou."
"get","get","dostat","dostat","pf"," I just look at the kerb and try to get as close to the kerb as I can without bashing into the cars in front of and behind me."," Dívám se směrem k chodníku a snažím se k němu dostat co nejblíž, aniž bych vrazil do auta před sebou nebo za sebou."
"viewed","view","viděno","vidět","impf"," But notice, it might turn out that my behaviour viewed from outside, viewed externally, is identical with the behaviour of the person who is following the rule."," Je však možné, že viděno zvenčí, vypadá moje chování jako chování toho, kdo se takovým pravidlem řídí."
"viewed","view","viděno","vidět","impf"," But notice, it might turn out that my behaviour viewed from outside, viewed externally, is identical with the behaviour of the person who is following the rule."," Je však možné, že viděno zvenčí, vypadá moje chování jako chování toho, kdo se takovým pravidlem řídí."
"following","follow","řídí","řídit","impf"," But notice, it might turn out that my behaviour viewed from outside, viewed externally, is identical with the behaviour of the person who is following the rule."," Je však možné, že viděno zvenčí, vypadá moje chování jako chování toho, kdo se takovým pravidlem řídí."
"following","follow","řídím","řídit","impf"," Still, it would not be true to say of me that I was following the rule."," Jenže to neznamená, že se jím opravdu řídím."
"show","show","prokázaly","prokázat","pf"," The formal properties of the behaviour are not sufficient to show that a rule is being followed."," Formální vlastnosti chování nestačí na to, aby prokázaly, že se někdo řídí podle pravidel."
"followed","follow","řídí","řídit","impf"," The formal properties of the behaviour are not sufficient to show that a rule is being followed."," Formální vlastnosti chování nestačí na to, aby prokázaly, že se někdo řídí podle pravidel."
"answered","answer","odpověděl","odpovědět","pf"," I have already answered this claim in the first chapter, so I don ’ t need to discuss it further here."," Na toto tvrzení jsem odpověděl již v první kapitole, a proto je zde nemusím dále rozvádět."
"need","need","nemusím","muset","impf"," I have already answered this claim in the first chapter, so I don ’ t need to discuss it further here."," Na toto tvrzení jsem odpověděl již v první kapitole, a proto je zde nemusím dále rozvádět."
"say","say","řekne","říci","pf"," For example, in a[ ]normal conversation, one doesn ’ t reflect on what one is going to say next, one just says it."," V normálním rozhovoru si například člověk nerozmýšlí, co řekne, ale prostě to řekne."
"says","say","řekne","říci","pf"," For example, in a[ ]normal conversation, one doesn ’ t reflect on what one is going to say next, one just says it."," V normálním rozhovoru si například člověk nerozmýšlí, co řekne, ale prostě to řekne."
