"explain","explain","nevysvětluje","vysvětlovat","impf"," It 's just a word, it does n't explain anything."," Je to jen slovo a nevysvětluje nic."
"thought","think","věřit","věřit","impf"," I thought you might n't believe any of this, so when I called her this time I used the telephone answering machine to record the call. """," Myslel jsem, že ničemu z toho nebudeš věřit, takže když jsem jí tentokrát volal, nahrál jsem to na telefonní záznamník. """
"believe","believe","věřit","věřit","impf"," I thought you might n't believe any of this, so when I called her this time I used the telephone answering machine to record the call. """," Myslel jsem, že ničemu z toho nebudeš věřit, takže když jsem jí tentokrát volal, nahrál jsem to na telefonní záznamník. """
"called","call","volal","volat","impf"," I thought you might n't believe any of this, so when I called her this time I used the telephone answering machine to record the call. """," Myslel jsem, že ničemu z toho nebudeš věřit, takže když jsem jí tentokrát volal, nahrál jsem to na telefonní záznamník. """
"record","record","nahrál","nahrát","pf"," I thought you might n't believe any of this, so when I called her this time I used the telephone answering machine to record the call. """," Myslel jsem, že ničemu z toho nebudeš věřit, takže když jsem jí tentokrát volal, nahrál jsem to na telefonní záznamník. """
"heard","hear","slyšet","slyšet","impf"," "" Beep, beep, beep, "" said Ford, "" is exactly what is being heard all over that guy 's ship, while he sleeps, in the ice, going slowly round a little-known moon of Sesefras Magna."," "" Píp, píp, píp, "" zapípal zuřivě Ford, "" přesně to je slyšet po celé lodi toho chlápka, a on zatím spí v ledu a přitom pomalu krouží kolem málo známého měsíce planety Sesefras Magna."
"sleeps","sleep","spí","spát","impf"," "" Beep, beep, beep, "" said Ford, "" is exactly what is being heard all over that guy 's ship, while he sleeps, in the ice, going slowly round a little-known moon of Sesefras Magna."," "" Píp, píp, píp, "" zapípal zuřivě Ford, "" přesně to je slyšet po celé lodi toho chlápka, a on zatím spí v ledu a přitom pomalu krouží kolem málo známého měsíce planety Sesefras Magna."
"decided","decide","usoudil","usoudit","pf"," "" I see, "" said Arthur again, and decided that now was the time to ask the big one."," "" Aha, "" přisvědčil Arthur a usoudil, že teď přišel čas položit velkou otázku."
"see","see","přišel","přijít","pf"," "" I see, "" said Arthur again, and decided that now was the time to ask the big one."," "" Aha, "" přisvědčil Arthur a usoudil, že teď přišel čas položit velkou otázku."
"did","do","předvedla","předvést","pf"," She did another of the shrugs which would have brought such joy into the life of a simple cushion from Squornshellous Beta."," Znovu předvedla ono pokrčení ramen, jaké by vneslo tolik radosti do života prostomyslného polštáře z Bety Škůrodravé."
"kissed","kiss","políbili","políbit","pf"," He picked her up in his arms and they kissed again."," Zvedl ji do náručí a znovu se políbili."
"wanted","want","chtěl","chtít","impf"," It was just that he was fun in such an exhausting way because, being in advertising, he always wanted you to know how much fun he was having and where he had got his jacket from."," Jenomže ta legrace byla dost vyčerpávající, protože vzhledem k tomu, že pracoval v reklamě, vždycky chtěl, aby všichni věděli, jak dobře se baví a odkud má sako."
"hid","hide","schoval","schovat","pf"," Mindful of this, Arthur hid behind a van."," S vědomím toho všeho se Arthur schoval za čísi dodávku."
"opened","open","otevřely","otevřít","pf"," The door opened and Will came out, wearing a leather flying jacket that he 'd got a mate of his at the Road Research Laboratory to crash a car into specially, in order to get that battered look."," Dveře se otevřely a Will vyšel ven, na sobě koženou leteckou bundu, do které mu kamarád z Laboratoří pro silniční výzkum speciálně naboural autem, aby získala onen správně patinovaný vzhled."
"got","get","získala","získat","pf"," The door opened and Will came out, wearing a leather flying jacket that he 'd got a mate of his at the Road Research Laboratory to crash a car into specially, in order to get that battered look."," Dveře se otevřely a Will vyšel ven, na sobě koženou leteckou bundu, do které mu kamarád z Laboratoří pro silniční výzkum speciálně naboural autem, aby získala onen správně patinovaný vzhled."
"get","get","získala","získat","pf"," The door opened and Will came out, wearing a leather flying jacket that he 'd got a mate of his at the Road Research Laboratory to crash a car into specially, in order to get that battered look."," Dveře se otevřely a Will vyšel ven, na sobě koženou leteckou bundu, do které mu kamarád z Laboratoří pro silniční výzkum speciálně naboural autem, aby získala onen správně patinovaný vzhled."
"Do","do","Nedělejte","dělat","impf"," Do n't worry if you do n't know how the machine works and you ca n't speak the language, do n't understand the geography or indeed the basic physics of the area, and have large green antennae growing out of your head."," Nedělejte si starosti s tím, že nevíte, jak stroj funguje a že neumíte místní jazyk, nevíte nic o místopisu ani o fyzikálních zákonech, které tam platí, případně vám z hlavy vyrůstají velká, zelená tykadla."
"do","do","Nedělejte","dělat","impf"," Do n't worry if you do n't know how the machine works and you ca n't speak the language, do n't understand the geography or indeed the basic physics of the area, and have large green antennae growing out of your head."," Nedělejte si starosti s tím, že nevíte, jak stroj funguje a že neumíte místní jazyk, nevíte nic o místopisu ani o fyzikálních zákonech, které tam platí, případně vám z hlavy vyrůstají velká, zelená tykadla."
"do","do","Nedělejte","dělat","impf"," Do n't worry if you do n't know how the machine works and you ca n't speak the language, do n't understand the geography or indeed the basic physics of the area, and have large green antennae growing out of your head."," Nedělejte si starosti s tím, že nevíte, jak stroj funguje a že neumíte místní jazyk, nevíte nic o místopisu ani o fyzikálních zákonech, které tam platí, případně vám z hlavy vyrůstají velká, zelená tykadla."
"Do","do","funguje","fungovat","impf"," Do n't worry if you do n't know how the machine works and you ca n't speak the language, do n't understand the geography or indeed the basic physics of the area, and have large green antennae growing out of your head."," Nedělejte si starosti s tím, že nevíte, jak stroj funguje a že neumíte místní jazyk, nevíte nic o místopisu ani o fyzikálních zákonech, které tam platí, případně vám z hlavy vyrůstají velká, zelená tykadla."
"do","do","funguje","fungovat","impf"," Do n't worry if you do n't know how the machine works and you ca n't speak the language, do n't understand the geography or indeed the basic physics of the area, and have large green antennae growing out of your head."," Nedělejte si starosti s tím, že nevíte, jak stroj funguje a že neumíte místní jazyk, nevíte nic o místopisu ani o fyzikálních zákonech, které tam platí, případně vám z hlavy vyrůstají velká, zelená tykadla."
"do","do","funguje","fungovat","impf"," Do n't worry if you do n't know how the machine works and you ca n't speak the language, do n't understand the geography or indeed the basic physics of the area, and have large green antennae growing out of your head."," Nedělejte si starosti s tím, že nevíte, jak stroj funguje a že neumíte místní jazyk, nevíte nic o místopisu ani o fyzikálních zákonech, které tam platí, případně vám z hlavy vyrůstají velká, zelená tykadla."
"understand","understand","neumíte","umět","impf"," Do n't worry if you do n't know how the machine works and you ca n't speak the language, do n't understand the geography or indeed the basic physics of the area, and have large green antennae growing out of your head."," Nedělejte si starosti s tím, že nevíte, jak stroj funguje a že neumíte místní jazyk, nevíte nic o místopisu ani o fyzikálních zákonech, které tam platí, případně vám z hlavy vyrůstají velká, zelená tykadla."
"growing","grow","vyrůstají","vyrůstat","impf"," Do n't worry if you do n't know how the machine works and you ca n't speak the language, do n't understand the geography or indeed the basic physics of the area, and have large green antennae growing out of your head."," Nedělejte si starosti s tím, že nevíte, jak stroj funguje a že neumíte místní jazyk, nevíte nic o místopisu ani o fyzikálních zákonech, které tam platí, případně vám z hlavy vyrůstají velká, zelená tykadla."
"Believe","believe","Věřte","věřit","impf"," Believe me, this is the best way of staying inconspicuous."," Věřte mi, že je to nejlepší způsob, jak zůstat nenápadný."
"staying","stay","zůstat","zůstat","pf"," Believe me, this is the best way of staying inconspicuous."," Věřte mi, že je to nejlepší způsob, jak zůstat nenápadný."
"showing","show","ukazovat","ukazovat","impf"," "" If your body is really weird try showing it to people in the streets for money."," Pokud máte skutečně hodně divné tělo, zkuste je ukazovat na ulici za peníze."
"stays","stay","zůstane","zůstat","pf"," "" Here, for whatever reason, is the world, and here it stays."," "" Tady je, ať už z jakéhokoli důvodu, a tady také zůstane."
"founded","found","založen","založit","pf"," "" In other words - and this is the rock solid principle on which the whole of the Corporation 's Galaxy-wide success is founded - their fundamental design flaws are completely hidden by their superficial design flaws. """," "" Jinými slovy - a to je skálopevný základ, na němž je založen celogalaktický úspěch této společnosti - povrchní konstrukční vady jejích výrobků zcela zakrývají jejich zásadní konstrukční vady. """
"hidden","hide","zakrývají","zakrývat","impf"," "" In other words - and this is the rock solid principle on which the whole of the Corporation 's Galaxy-wide success is founded - their fundamental design flaws are completely hidden by their superficial design flaws. """," "" Jinými slovy - a to je skálopevný základ, na němž je založen celogalaktický úspěch této společnosti - povrchní konstrukční vady jejích výrobků zcela zakrývají jejich zásadní konstrukční vady. """
"sell","sell","prodal","prodat","pf"," "" And this guy, "" ranted Ford, "" was on a drive to sell more of them!"," "" A tenhle chlápek, "" řečnil dál Ford, "" právě podnikal akci, aby jich prodal ještě víc!"
"explore","explore","zkoumat","zkoumat","impf"," His five-year mission to seek out and explore strange new worlds, and sell Advanced Music Substitute Systems to their restaurants, elevators and wine bars!"," V průběhu pět let trvající mise měl objevovat a zkoumat nové světy a prodávat do tamních restaurací, výtahů a barů Vyspělá zařízení pro simulaci hudby!"
"sell","sell","prodávat","prodávat","impf"," His five-year mission to seek out and explore strange new worlds, and sell Advanced Music Substitute Systems to their restaurants, elevators and wine bars!"," V průběhu pět let trvající mise měl objevovat a zkoumat nové světy a prodávat do tamních restaurací, výtahů a barů Vyspělá zařízení pro simulaci hudby!"
"closed","close","zavřel","zavřít","pf"," He absorbed the enveloping darkness, slowly relaxed his limbs from end to end, eased and regulated his breathing, gradually cleared his mind of all thought, closed his eyes and was completely incapable of getting to sleep."," Vnímal okolní temnotu, zvolna uvolňoval končetiny od jednoho konce k druhému, zklidňoval a zpravidelňoval dech, až postupně vypudil z mysli všechny myšlenky, zavřel oči a byl naprosto neschopný usnout."
"sleep","sleep","usnout","usnout","pf"," He absorbed the enveloping darkness, slowly relaxed his limbs from end to end, eased and regulated his breathing, gradually cleared his mind of all thought, closed his eyes and was completely incapable of getting to sleep."," Vnímal okolní temnotu, zvolna uvolňoval končetiny od jednoho konce k druhému, zklidňoval a zpravidelňoval dech, až postupně vypudil z mysli všechny myšlenky, zavřel oči a byl naprosto neschopný usnout."
"caught","catch","Přistihl","přistihnout","pf"," He caught himself doing something he had never really expected to do again."," Přistihl se, že dělá něco, o čem si nikdy nemyslel, že to ještě kdy dělat bude."
"doing","do","dělá","dělat","impf"," He caught himself doing something he had never really expected to do again."," Přistihl se, že dělá něco, o čem si nikdy nemyslel, že to ještě kdy dělat bude."
"do","do","dělá","dělat","impf"," He caught himself doing something he had never really expected to do again."," Přistihl se, že dělá něco, o čem si nikdy nemyslel, že to ještě kdy dělat bude."
"expected","expect","nemyslel","myslet","impf"," He caught himself doing something he had never really expected to do again."," Přistihl se, že dělá něco, o čem si nikdy nemyslel, že to ještě kdy dělat bude."
"doing","do","dělat","dělat","impf"," He caught himself doing something he had never really expected to do again."," Přistihl se, že dělá něco, o čem si nikdy nemyslel, že to ještě kdy dělat bude."
"do","do","dělat","dělat","impf"," He caught himself doing something he had never really expected to do again."," Přistihl se, že dělá něco, o čem si nikdy nemyslel, že to ještě kdy dělat bude."
"wondered","wonder","Uvažoval","uvažovat","impf"," He wondered where Ford Prefect was."," Uvažoval, kde je asi Ford Prefect."
"concerning","concern","týkala","týkat","impf"," By an extraordinary coincidence, the following day there were two reports in the paper, one concerning the most astonishing incidents with a flying saucer, and the other about a series of unseemly riots in pubs."," Neuvěřitelnou shodou okolností otiskly noviny příštího dne dvě zprávy, z čehož jedna se týkala šokující nehody létajícího talíře a druhá série ošklivých výtržností v hospodách."
"sounds","sound","zní","znít","impf"," "" I know it sounds crazy, and everybody says it was hallucinations, but if that was hallucinations then I have hallucinations in big screen 3D with 16-track Dolby Stereo and should probably hire myself out to people who are bored with shark movies."," "" Vím, že to zní praštěně a všichni říkají, že to byly halucinace, ale pokud to byly halucinace, pak mám halucinace na obrovské třídimenzionální obrazovce s šestnáctistopým dolby stereo a nejspíš by si mě měli půjčovat lidi, které už nudí filmy o žralocích."
"says","say","říkají","říkat","impf"," "" I know it sounds crazy, and everybody says it was hallucinations, but if that was hallucinations then I have hallucinations in big screen 3D with 16-track Dolby Stereo and should probably hire myself out to people who are bored with shark movies."," "" Vím, že to zní praštěně a všichni říkají, že to byly halucinace, ale pokud to byly halucinace, pak mám halucinace na obrovské třídimenzionální obrazovce s šestnáctistopým dolby stereo a nejspíš by si mě měli půjčovat lidi, které už nudí filmy o žralocích."
"bored","bore","nudí","nudit","impf"," "" I know it sounds crazy, and everybody says it was hallucinations, but if that was hallucinations then I have hallucinations in big screen 3D with 16-track Dolby Stereo and should probably hire myself out to people who are bored with shark movies."," "" Vím, že to zní praštěně a všichni říkají, že to byly halucinace, ale pokud to byly halucinace, pak mám halucinace na obrovské třídimenzionální obrazovce s šestnáctistopým dolby stereo a nejspíš by si mě měli půjčovat lidi, které už nudí filmy o žralocích."
"ripped","rip","roztrhla","roztrhnout","pf"," It was as if the ground was literally ripped from under my feet, and ... and ... """," Bylo to, jako by se mi Země doslova roztrhla pod nohama, a ... a ... """
"say","say","říci","říci","pf"," She patted the grass lightly, as if for reassurance, and then seemed to change her mind about what she was going to say."," Lehce poplácala trávu, jako by se chtěla ujistit, a pak si zřejmě rozmyslela, co chce říci."
"woke","wake","Probudila","probudit","pf"," "" And I woke up in hospital."," "" Probudila jsem se v nemocnici."
"says","say","Řiká","říkat","impf"," "" She says it 's nonsense and I make a fuss and complain about nothing, but, "" he paused dramatically and darted out dangerous looks from his eyes, "" she always brings the washing in when I phone to say I 'm on me way home! """," "" Řiká, že je to nesmysl a že dělám cavyky a furt si stěžuju kvůli úplnýmu nic, ale, "" dramaticky se odmlčel a střelil nebezpečným pohledem z koutku oka, "" kdykoliv zavolám, že jedu domů, dycky uklidí prádlo! """
"say","say","Řiká","říkat","impf"," "" She says it 's nonsense and I make a fuss and complain about nothing, but, "" he paused dramatically and darted out dangerous looks from his eyes, "" she always brings the washing in when I phone to say I 'm on me way home! """," "" Řiká, že je to nesmysl a že dělám cavyky a furt si stěžuju kvůli úplnýmu nic, ale, "" dramaticky se odmlčel a střelil nebezpečným pohledem z koutku oka, "" kdykoliv zavolám, že jedu domů, dycky uklidí prádlo! """
"make","make","dělám","dělat","impf"," "" She says it 's nonsense and I make a fuss and complain about nothing, but, "" he paused dramatically and darted out dangerous looks from his eyes, "" she always brings the washing in when I phone to say I 'm on me way home! """," "" Řiká, že je to nesmysl a že dělám cavyky a furt si stěžuju kvůli úplnýmu nic, ale, "" dramaticky se odmlčel a střelil nebezpečným pohledem z koutku oka, "" kdykoliv zavolám, že jedu domů, dycky uklidí prádlo! """
"phone","phone","zavolám","zavolat","pf"," "" She says it 's nonsense and I make a fuss and complain about nothing, but, "" he paused dramatically and darted out dangerous looks from his eyes, "" she always brings the washing in when I phone to say I 'm on me way home! """," "" Řiká, že je to nesmysl a že dělám cavyky a furt si stěžuju kvůli úplnýmu nic, ale, "" dramaticky se odmlčel a střelil nebezpečným pohledem z koutku oka, "" kdykoliv zavolám, že jedu domů, dycky uklidí prádlo! """
"added","add","dodal","dodat","pf"," And, "" he added, "" I love it. """," A navíc, "" dodal, "" se mi to moc líbí. """
"love","love","líbí","líbit","impf"," And, "" he added, "" I love it. """," A navíc, "" dodal, "" se mi to moc líbí. """
"turned","turn","otočil","otočit","pf"," He turned sharply and squinted through his spectacles at Fenchurch."," Prudce se otočil a zašilhal přes brýle na Fenchurch."
"feel","feel","cítil","cítit","impf"," Arthur steered her away and could feel her silently quaking."," Arthur ji zakormidloval trochu dál a cítil, jak se bezhlesně třese."
"stopped","stop","přestala","přestat","pf"," "" Next guess, "" she said, when she had stopped giggling, "" come on. """," "" Můžeš hádat znova, "" vyzvala ho, když se přestala smát."
"looking","look","dívala","dívat","impf"," "" Then one day - and remember I 'd been looking at this picture every night for years - I suddenly noticed that the raft had a sail."," A pak jednoho dne - nezapomeň, že jsem se na ten obrázek dívala noc co noc po několik let - jsem si najednou všimla, že vor má plachtu."
"seen","see","neviděla","vidět","impf"," Never seen it before."," Nikdy předtím jsem ji neviděla."
"swimming","swim","plavala","plavat","impf"," The otter was fine, he was just swimming along. """," S vydrou bylo všechno v pořádku, jen si tak plavala. """
"needs","need","potřebuje","potřebovat","impf"," Fine up till there, but needs a final sting before the credits. """," Až sem to bylo dobré, ale před závěrečnými titulky to potřebuje větší švih. """
"repeated","repeat","opakovala","opakovat","impf"," "" Very odd, "" she repeated, "" for days before, the strangest feeling had been building in me, as if I was going to give birth."," "" Strašně divné, "" opakovala, "" celé dny předtím ve mně narůstal strašně divný pocit, jako kdybych měla porodit."
"silenced","silence","zmlkly","zmlknout","pf"," Exactly how serious, the American Express Company had got to know very rapidly, and the increasingly strident and panic-stricken demands of its debt collection department were only silenced by the unexpected demolition of the entire planet by the Vogons to make way for a new hyperspace bypass."," Jak vážná chyba to byla, zjistila společnost American Express Company velmi rychle, a stále důraznější, téměř panické požadavky jejich oddělení pro vyřizování dluhů zmlkly teprve po nečekané demolici planety vogonskou četou, která čistila terén pro novou hyperprostorovou dálnici."
"kept","keep","ponechal","ponechat","pf"," He had kept it ever since because he found it useful to carry a form of currency that no one would accept."," Ford si kartu ponechal, protože zjistil, že je užitečné mít s sebou měnu, kterou nikdo není ochoten přijmout."
"found","find","zjistil","zjistit","pf"," He had kept it ever since because he found it useful to carry a form of currency that no one would accept."," Ford si kartu ponechal, protože zjistil, že je užitečné mít s sebou měnu, kterou nikdo není ochoten přijmout."
"kept","keep","mít","mít","impf"," He had kept it ever since because he found it useful to carry a form of currency that no one would accept."," Ford si kartu ponechal, protože zjistil, že je užitečné mít s sebou měnu, kterou nikdo není ochoten přijmout."
"carry","carry","mít","mít","impf"," He had kept it ever since because he found it useful to carry a form of currency that no one would accept."," Ford si kartu ponechal, protože zjistil, že je užitečné mít s sebou měnu, kterou nikdo není ochoten přijmout."
"accept","accept","přijmout","přijmout","pf"," He had kept it ever since because he found it useful to carry a form of currency that no one would accept."," Ford si kartu ponechal, protože zjistil, že je užitečné mít s sebou měnu, kterou nikdo není ochoten přijmout."
"said","say","pronesl","pronést","pf"," "" Credit? "" he said."," "" Úvěr? "" pronesl."
"went","go","odešel","odejít","pf"," When all the information that he could think was relevant had been dumped into the module, he unplugged it again, tossed it lightly in the palm of his hand, put the Guide away in his satchel, smirked, and went in search of the ship 's computer data banks."," Když do modulu načerpal veškeré relevantní informace, zase ho vypnul, lehce ho nadhodil na dlani, uklidil Průvodce do brašny, spokojeně se zašklíbil a odešel pátrat po databankách palubního počítače."
"bob","bob","poskakují","poskakovat","impf"," "" The purpose of having the sun go low in the evenings, in the summer, especially in parks, "" said the voice earnestly, "" is to make girl 's breasts bob up and down more clearly to the eye."," "" Důvodem, proč slunce za letních večerů, a zvláště v parcích, klesá tak nízko, "" vykládal vážný hlas, "" je, aby bylo lépe vidět, jak dívkám poskakují kozičky."
"lived","live","bydlel","bydlet","impf"," On prehistoric Earth he had lived in a cave, not a nice cave, a lousy cave, but ..."," Na prehistorické Zemi bydlel v jeskyni, ne zrovna pěkné, vlastně dost hnusné, ale ..."
"hated","hate","nenáviděl","nenávidět","impf"," It had been a totally lousy cave and he had hated it."," Byla to dokonale hnusná jeskyně a on ji nenáviděl."
"lived","live","bydlel","bydlet","impf"," But he had lived in it for five years which made it home of some kind, and a person likes to keep track of his homes."," Ale bydlel v ní pět let, takže se z ní stal v jistém smyslu domov, a člověk má rád přehled, kde všude byl doma."
"keep","keep","má","mít","impf"," But he had lived in it for five years which made it home of some kind, and a person likes to keep track of his homes."," Ale bydlel v ní pět let, takže se z ní stal v jistém smyslu domov, a člověk má rád přehled, kde všude byl doma."
"buy","buy","koupit","koupit","pf"," Arthur Dent was such a person and so he went to Exeter to buy a computer."," Arthur patřil k tomuto typu lidí, a tak se vydal do Exeteru koupit si počítač."
"wanted","want","chtěl","chtít","impf"," That was what he really wanted, of course, a computer."," No ovšem, to je to, co vlastně doopravdy chtěl, počítač."
"stretched","stretch","táhly","táhnout","impf"," And the inner walls stretched down, folded curiously, and opened at the end as if, by an optical illusion which would have had Maurits C. Escher frowning and wondering how it was done, to enclose the Pacific Ocean itself."," Vnitřní zdi se táhly dolů, zvláštně se ohýbaly a na konci se zase otvíraly, a jakoby jakousi optickou iluzí - při pohledu na niž by se Maurits C. Escher zamračil a zadumal by se, jak to asi udělali - obsahovaly i samotný Tichý oceán."
"opened","open","otvíraly","otvírat","impf"," And the inner walls stretched down, folded curiously, and opened at the end as if, by an optical illusion which would have had Maurits C. Escher frowning and wondering how it was done, to enclose the Pacific Ocean itself."," Vnitřní zdi se táhly dolů, zvláštně se ohýbaly a na konci se zase otvíraly, a jakoby jakousi optickou iluzí - při pohledu na niž by se Maurits C. Escher zamračil a zadumal by se, jak to asi udělali - obsahovaly i samotný Tichý oceán."
"done","do","udělali","udělat","pf"," And the inner walls stretched down, folded curiously, and opened at the end as if, by an optical illusion which would have had Maurits C. Escher frowning and wondering how it was done, to enclose the Pacific Ocean itself."," Vnitřní zdi se táhly dolů, zvláštně se ohýbaly a na konci se zase otvíraly, a jakoby jakousi optickou iluzí - při pohledu na niž by se Maurits C. Escher zamračil a zadumal by se, jak to asi udělali - obsahovaly i samotný Tichý oceán."
"thought","think","pomysleli","pomyslet","pf"," Good, they thought to themselves, "" Hello "" is something we can cope with."," Fajn, pomysleli si, "" Ahoj "", to je něco, s čím se ještě dokážeme vypořádat."
"Read","read","Přečtěte","přečíst","pf"," Read it through again and you 'll get it."," Přečtěte si to ještě jednou a pochopíte."
"get","get","pochopíte","pochopit","pf"," Read it through again and you 'll get it."," Přečtěte si to ještě jednou a pochopíte."
"changing","change","mění","měnit","impf"," The Galaxy is a rapidly changing place."," Galaxie, se rychle mění."
"reached","reach","dorazil","dorazit","pf"," Once it had reached his feet, and the whole of his body was alerted to the fact that his eyes were now closed and was not panicked by it, he slowly, very, very slowly, revolved his body one way and his mind the other."," Když dorazil do nohou - a celé tělo si teď uvědomovalo, že má zavřené oči a nevyvolávalo to v něm paniku - zvolna, velmi, velmi zvolna obrátil tělo jedním směrem a mysl druhým."
"feel","feel","Cítil","cítit","impf"," He could feel the air clear about him now, breezing around him quite cheerfully, untroubled by his being there, and slowly, very, very slowly, as from a deep and distant sleep, he opened his eyes."," Cítil teď kolem sebe volný vzduch, jak si docela vesele vane a vůbec mu jeho přítomnost nevadí, a zvolna, velmi, velmi zvolna, jakoby z hlubokého, vzdáleného spánku, otevřel oči."
"opened","open","otevřel","otevřít","pf"," He could feel the air clear about him now, breezing around him quite cheerfully, untroubled by his being there, and slowly, very, very slowly, as from a deep and distant sleep, he opened his eyes."," Cítil teď kolem sebe volný vzduch, jak si docela vesele vane a vůbec mu jeho přítomnost nevadí, a zvolna, velmi, velmi zvolna, jakoby z hlubokého, vzdáleného spánku, otevřel oči."
"watching","watch","sleduji","sledovat","impf"," "" Yes, "" she said, "" and I 'm watching you like a lynx to see if you 're going to ask the same silly question that everybody asks me until I want to scream."," "" Ano, "" potvrdila, "" a já vás sleduji rysím pohledem, jestli mi položíte tutéž pitomou otázku, kterou mi dává kdekdo, až mám chuť ječet."
"see","see","sleduji","sledovat","impf"," "" Yes, "" she said, "" and I 'm watching you like a lynx to see if you 're going to ask the same silly question that everybody asks me until I want to scream."," "" Ano, "" potvrdila, "" a já vás sleduji rysím pohledem, jestli mi položíte tutéž pitomou otázku, kterou mi dává kdekdo, až mám chuť ječet."
"do","do","uděláte","udělat","pf"," I shall be cross and disappointed if you do."," Budu protivná a zklamaná, jestli to uděláte."
"threw","throw","vrhl","vrhnout","pf"," He threw himself, sweating, on to the sofa."," Zalitý potem se vrhl na pohovku."
"do","do","předvedl","předvést","pf"," "" Anyway, "" he said, "" dramatic arrival do n't you think? """," "" Že jsem ti ale předvedl dramatický příjezd, co říkáš? """
"said","say","říkáš","říkat","impf"," "" Anyway, "" he said, "" dramatic arrival do n't you think? """," "" Že jsem ti ale předvedl dramatický příjezd, co říkáš? """
"stunned","stun","ohromil","ohromit","pf"," The flying saucer in which Ford Prefect had stowed away had stunned the world."," Létající talíř, v němž na černo přicestoval Ford Prefect, ohromil celý svět."
"floating","float","neplavali","plavat","impf"," Finally there was no doubt, no possibility of mistake, no hallucinations, no mysterious CIA agents found floating in reservoirs."," Teď už nebylo pochyb, nebylo možné, aby šlo o omyl nebo halucinace, žádní agenti CIA neplavali v nádržích."
