"write","write","sepsat","sepsat","pf"," You may wonder why I should write a genealogy."," Možná se ptáte, proč jsem se rozhodla sepsat svůj rodokmen."
"grows","grow","rostou","růst","impf"," My family tree begins with what in fact is a tree, a cedar of straight grain that grows in Northern California and Oregon."," Můj rodokmen začíná skutečným kmenem, a to kmenem cedru, které rostou v severní Kalifornii a ve státě Oregon."
"includes","include","obsahuje","obsahovat","impf"," To increase their strength and smoothness the leads are then treated with a hot mixture which includes candelilla wax from Mexico, paraffin wax, and hydrogenated natural fats."," Pro zvýšení pevnosti a hladkosti se poté tuha napustí horkou směsí, která obsahuje mimo jiné svíčkový vosk z Mexika, parafín a hydrogenované přírodní tuky."
"involves","involve","vyžaduje","vyžadovat","impf"," Why, even the processes by which the lacquer is made a beautiful yellow involves the skills of more persons than one can enumerate!"," Pouhé vytvoření nádherného odstínu žluté barvy, jakým jsem nabarvena, vyžaduje dovednosti více lidí, než si dokážete představit."
"arrange","arrange","uspořádají","uspořádat","pf"," For, if one is aware that these know-hows will naturally, yes, automatically, arrange themselves into creative and productive patterns in response to human necessity and demand-that is, in the absence of governmental or any other coercive master-minding-then one will possess an absolutely essential ingredient for freedom : a faith in free people."," Protože když si uvědomíte, že tyto dílčí znalosti se přirozeně, automaticky uspořádají do tvůrčích a produktivních seskupení tak, jak to po nich vyžadují lidské potřeby a požadavky - bez jakéhokoliv vládního nebo jiného donucení - potom získáte naprosto zásadní složku svobody : důvěru ve svobodné lidi."
"saw","see","neviděli","vidět","impf"," Indeed, there are some among this vast multitude who never saw a pencil nor would they know how to use one."," Mezi lidmi, kteří se podíleli na mé výrobě, jsou možná i tací, kteří nikdy neviděli tužku a nevěděli by, jak ji používat."
"use","use","používat","používat","impf"," Indeed, there are some among this vast multitude who never saw a pencil nor would they know how to use one."," Mezi lidmi, kteří se podíleli na mé výrobě, jsou možná i tací, kteří nikdy neviděli tužku a nevěděli by, jak ji používat."
"mixed","mix","míchá","míchat","impf"," The graphite is mixed with clay from Mississippi in which ammonium hydroxide is used in the refining process."," Dovezený grafit se míchá s mississippským jílem, přičemž v průběhu zušlechtění se využívá hydroxid amonný."
"added","add","přidána","přidat","pf"," Then wetting agents are added such as sulfonated tallow-animal fats chemically reacted with sulfuric acid."," Potom jsou přidána zvlhčovadla, jako například sulfonovaný lůj, který vznikne chemickou reakcí zvířecího tuku s kyselinou sírovou."
"read","read","číst","číst","impf"," I am a lead pencil-the ordinary wooden pencil familiar to all boys and girls and adults who can read and write."," Jsem tužka, obyčejná dřevěná tužka, jakou znají všichni lidé, děti i dospělí, kteří umějí číst a psát."
"write","write","psát","psát","impf"," I am a lead pencil-the ordinary wooden pencil familiar to all boys and girls and adults who can read and write."," Jsem tužka, obyčejná dřevěná tužka, jakou znají všichni lidé, děti i dospělí, kteří umějí číst a psát."
"assembled","assemble","sestaveny","sestavit","pf"," My many ingredients are assembled, fabricated, and finished by Eberhard Faber Pencil Company. )"," Mé četné složky jsou sestaveny a zpracovány v továrně na tužky, která nese jméno Eberhard Faber Pencil Company. )"
"fabricated","fabricate","sestaveny","sestavit","pf"," My many ingredients are assembled, fabricated, and finished by Eberhard Faber Pencil Company. )"," Mé četné složky jsou sestaveny a zpracovány v továrně na tužky, která nese jméno Eberhard Faber Pencil Company. )"
"makes","make","neprovádí","provádět","impf"," Neither the worker in the oil field nor the chemist nor the digger of graphite or clay nor any who mans or makes the ships or trains or trucks nor the one who runs the machine that does the knurling on my bit of metal nor the president of the company performs his singular task because he wants me."," Nikdo ze zúčastněných, tedy ani dělník u ropných vrtů, ani chemik v továrně na tužky, ani řidič vlaku nebo automobilu převážejícího cedrové dřevo, ba dokonce ani sám ředitel firmy na výrobu tužek neprovádí svůj díl práce proto, že by mě sám potřeboval."
"does","do","neprovádí","provádět","impf"," Neither the worker in the oil field nor the chemist nor the digger of graphite or clay nor any who mans or makes the ships or trains or trucks nor the one who runs the machine that does the knurling on my bit of metal nor the president of the company performs his singular task because he wants me."," Nikdo ze zúčastněných, tedy ani dělník u ropných vrtů, ani chemik v továrně na tužky, ani řidič vlaku nebo automobilu převážejícího cedrové dřevo, ba dokonce ani sám ředitel firmy na výrobu tužek neprovádí svůj díl práce proto, že by mě sám potřeboval."
"performs","perform","neprovádí","provádět","impf"," Neither the worker in the oil field nor the chemist nor the digger of graphite or clay nor any who mans or makes the ships or trains or trucks nor the one who runs the machine that does the knurling on my bit of metal nor the president of the company performs his singular task because he wants me."," Nikdo ze zúčastněných, tedy ani dělník u ropných vrtů, ani chemik v továrně na tužky, ani řidič vlaku nebo automobilu převážejícího cedrové dřevo, ba dokonce ani sám ředitel firmy na výrobu tužek neprovádí svůj díl práce proto, že by mě sám potřeboval."
"wants","want","potřeboval","potřebovat","impf"," Neither the worker in the oil field nor the chemist nor the digger of graphite or clay nor any who mans or makes the ships or trains or trucks nor the one who runs the machine that does the knurling on my bit of metal nor the president of the company performs his singular task because he wants me."," Nikdo ze zúčastněných, tedy ani dělník u ropných vrtů, ani chemik v továrně na tužky, ani řidič vlaku nebo automobilu převážejícího cedrové dřevo, ba dokonce ani sám ředitel firmy na výrobu tužek neprovádí svůj díl práce proto, že by mě sám potřeboval."
"wants","want","potřebuje","potřebovat","impf"," Each one wants me less, perhaps, than does a child in the first grade."," Většina z nich mne asi potřebuje méně než mě potřebují například děti na prvním stupni základní školy."
"wants","want","potřebují","potřebovat","impf"," Each one wants me less, perhaps, than does a child in the first grade."," Většina z nich mne asi potřebuje méně než mě potřebují například děti na prvním stupni základní školy."
"contains","contain","Má","mít","impf"," My “ lead ” itself-it contains no lead at all-is complex."," Má tuha je sama o sobě velmi složitou věcí."
"say","say","říci","říci","pf"," Now, you may say that I go too far in relating the picker of a coffee berry in far off Brazil and food growers elsewhere to my creation; that this is an extreme position."," Mohli byste říci, že zacházím příliš daleko, když do své výroby zahrnuji i sběrače kávových zrn v brazilském vnitrozemí."
"made","make","vyrábí","vyrábět","impf"," It is a rubber-like product made by reacting rape- seed oil from the Dutch East Indies with sulfur chloride."," Za gumování je v "" gumě "" odpovědná speciální složka, která se vyrábí chemicky, reakcí řepkového oleje dovezeného z holandské Východní Indie s chloridem sirným."
"added","add","přidal","přidat","pf"," But to these miracles which manifest themselves in Nature an even more extraordinary miracle has been added : the configuration of creative human energies-millions of tiny know-hows configurating naturally and spontaneously in response to human necessity and desire and in the absence of any human master-minding!"," Ale k těmto zázrakům, které se objevují v přírodě, se přidal jeden ještě větší zázrak : konfigurace tvůrčí lidské energie - milióny dílčích znalostí seskupené přirozeně a spontánně podle lidských potřeb a požadavků, bez jakéhokoliv centrálního organizování!"
"insist","insist","trvám","trvat","impf"," Since only God can make a tree, I insist that only God could make me."," Jen Bůh dokáže stvořit strom, takže trvám na tom, že jen Bůh by mne dokázal stvořit."
"put","put","dát","dát","pf"," Man can no more direct these millions of know-hows to bring me into being than he can put molecules together to create a tree."," Člověk nedokáže řídit milióny těchto dílčích znalostí tak, abych vznikla, stejně tak jako nedokáže dát dohromady jednotlivé molekuly, aby vznikl strom."
"possesses","possess","nemá","mít","impf"," No individual possesses enough know-how to perform a nation ’ s mail delivery any more than any individual possesses enough know-how to make a pencil."," Nikdo nemá sám o sobě dostatečné znalosti a schopnosti k tomu, aby mohl provozovat celonárodní doručování zásilek - stejně tak, jako nikdo nemá dostatek znalostí a schopností k vyrobení tužky."
"possesses","possess","nemá","mít","impf"," No individual possesses enough know-how to perform a nation ’ s mail delivery any more than any individual possesses enough know-how to make a pencil."," Nikdo nemá sám o sobě dostatečné znalosti a schopnosti k tomu, aby mohl provozovat celonárodní doručování zásilek - stejně tak, jako nikdo nemá dostatek znalostí a schopností k vyrobení tužky."
"possesses","possess","nemá","mít","impf"," No individual possesses enough know-how to perform a nation ’ s mail delivery any more than any individual possesses enough know-how to make a pencil."," Nikdo nemá sám o sobě dostatečné znalosti a schopnosti k tomu, aby mohl provozovat celonárodní doručování zásilek - stejně tak, jako nikdo nemá dostatek znalostí a schopností k vyrobení tužky."
"possesses","possess","nemá","mít","impf"," No individual possesses enough know-how to perform a nation ’ s mail delivery any more than any individual possesses enough know-how to make a pencil."," Nikdo nemá sám o sobě dostatečné znalosti a schopnosti k tomu, aby mohl provozovat celonárodní doručování zásilek - stejně tak, jako nikdo nemá dostatek znalostí a schopností k vyrobení tužky."
"satisfy","satisfy","uspokojit","uspokojit","pf"," Now, in the absence of faith in free people-in the unawareness that millions of tiny know-hows would naturally and miraculously form and cooperate to satisfy this necessity-the individual cannot help but reach the erroneous conclusion that mail can be delivered only by governmental “ master-minding. ”"," Pokud někomu chybí důvěra ve svobodné lidi - což se snadno stane, pokud člověku chybí povědomí o miliónech malých kouscích znalostí, které se dohromady přirozeně a zázračně dokáží spojit a uspokojit danou potřebu - potom může dospět ke zdánlivě nevyhnutelnému, ale mylnému závěru, že dopisy není možné doručit jinak než skrze vládní organizaci."
"delivered","deliver","doručit","doručit","pf"," Now, in the absence of faith in free people-in the unawareness that millions of tiny know-hows would naturally and miraculously form and cooperate to satisfy this necessity-the individual cannot help but reach the erroneous conclusion that mail can be delivered only by governmental “ master-minding. ”"," Pokud někomu chybí důvěra ve svobodné lidi - což se snadno stane, pokud člověku chybí povědomí o miliónech malých kouscích znalostí, které se dohromady přirozeně a zázračně dokáží spojit a uspokojit danou potřebu - potom může dospět ke zdánlivě nevyhnutelnému, ale mylnému závěru, že dopisy není možné doručit jinak než skrze vládní organizaci."
"found","find","najít","najít","pf"," No trace of such a person can be found."," Nikoho takového není možné najít."
"said","say","Říká","říkat","impf"," It has been said that “ only God can make a tree. ”"," Říká se, že "" pouze Bůh "" dokáže stvořit strom."
"agree","agree","souhlasíme","souhlasit","impf"," Why do we agree with this?"," Proč s tím souhlasíme?"
"persist","persist","setrvávat","setrvávat","impf"," This is a species of the grievous error in which mankind cannot too long persist without peril."," Jde o ukázku hlubokého omylu, ve kterém nemůže lidstvo setrvávat dlouho, aniž by tím na sebe přivolalo pohromu."
"mined","mine","těží","těžit","impf"," The graphite is mined in Ceylon."," Grafit na její výrobu se těží na Cejlonu v Indickém oceánu."
"understand","understand","pochopit","pochopit","pf"," In fact, if you can understand me-no, that ’ s too much to ask of anyone-if you can become aware of the miraculousness which I symbolize, you can help save the freedom mankind is so unhappily losing."," Kdybyste mne dokázali pochopit - ne, to je pro smrtelníka asi příliš obtížné - kdybyste si dokázali uvědomit zázračnost, kterou symbolizuji, mohli byste pomoci zachránit svobodu, kterou si lidstvo nechává tak nešťastně proklouznout mezi prsty."
"symbolize","symbolize","symbolizuji","symbolizovat","impf"," In fact, if you can understand me-no, that ’ s too much to ask of anyone-if you can become aware of the miraculousness which I symbolize, you can help save the freedom mankind is so unhappily losing."," Kdybyste mne dokázali pochopit - ne, to je pro smrtelníka asi příliš obtížné - kdybyste si dokázali uvědomit zázračnost, kterou symbolizuji, mohli byste pomoci zachránit svobodu, kterou si lidstvo nechává tak nešťastně proklouznout mezi prsty."
"help","help","pomoci","pomoci","pf"," In fact, if you can understand me-no, that ’ s too much to ask of anyone-if you can become aware of the miraculousness which I symbolize, you can help save the freedom mankind is so unhappily losing."," Kdybyste mne dokázali pochopit - ne, to je pro smrtelníka asi příliš obtížné - kdybyste si dokázali uvědomit zázračnost, kterou symbolizuji, mohli byste pomoci zachránit svobodu, kterou si lidstvo nechává tak nešťastně proklouznout mezi prsty."
"save","save","zachránit","zachránit","pf"," In fact, if you can understand me-no, that ’ s too much to ask of anyone-if you can become aware of the miraculousness which I symbolize, you can help save the freedom mankind is so unhappily losing."," Kdybyste mne dokázali pochopit - ne, to je pro smrtelníka asi příliš obtížné - kdybyste si dokázali uvědomit zázračnost, kterou symbolizuji, mohli byste pomoci zachránit svobodu, kterou si lidstvo nechává tak nešťastně proklouznout mezi prsty."
"make","make","vyrobit","vyrobit","pf"," Yet, not a single person on the face of this earth knows how to make me."," Žádný jednotlivec by mne sám bez cizí pomoci nedokázal vyrobit."
"say","say","říci","říci","pf"," We can say, for instance, that a certain molecular configuration manifests itself as a tree."," Můžeme například říci, že určité seskupení molekul se projevuje jako strom."
"manifests","manifest","projevuje","projevovat","impf"," We can say, for instance, that a certain molecular configuration manifests itself as a tree."," Můžeme například říci, že určité seskupení molekul se projevuje jako strom."
