"close","close","zavřít","zavřít","pf"," I have to close the hatch behind us. '"," Musím za námi zavřít příklop. """
"said","say","řekl","říci","pf"," ' A normal man, ' he said."," "" Normální člověk, "" řekl."
"committed","commit","nespáchal","spáchat","pf"," A man who has never committed a disgraceful act?"," Takový, který nikdy nespáchal nic zvráceného?"
"think","think","Myslíš","myslet","impf"," Do you think we 'll find some way ...? '"," Myslíš, že se najde nějaký prostředek ... """
"find","find","najde","najít","pf"," Do you think we 'll find some way ...? '"," Myslíš, že se najde nějaký prostředek ... """
"looking","look","Pohlédl","pohlédnout","pf"," Thin, sickly looking, his peeling face deeply lined, he turned towards me :"," Pohlédl na mne, pohublý, s vráštitým, loupajícím se obličejem."
"learn","learn","nedovíme","dovědět","pf"," We 're unlikely to learn anything about IT, but about ourselves ... '"," "" O něm se nedovíme pravděpodobně nic, ale snad o sobě ... """
"turned","turn","Otočil","otočit","pf"," He turned, picked up his papers, and went out."," Otočil se, sebral svá lejstra a odešel."
"picked","pick","sebral","sebrat","pf"," He turned, picked up his papers, and went out."," Otočil se, sebral svá lejstra a odešel."
"went","go","odešel","odejít","pf"," He turned, picked up his papers, and went out."," Otočil se, sebral svá lejstra a odešel."
"depends","depend","záleží","záležet","impf"," In a way, it depends on you. '"," Do jisté míry to záleží i na tobě. """
"attack","attack","útočil","útočit","impf"," Do n't attack."," Ne ... abys útočil."
"realized","realize","uvědomil","uvědomit","pf"," Besides, when I got closer - when I was forty yards away, or even sooner - I realized that it was no ordinary child."," Ostatně, sotva jsem se k němu přiblížil - byl jsem od něho takových čtyřicet metrů nebo ještě o něco dál - uvědomil jsem si, že s ním není něco v pořádku."
"mean","mean","myslíš","myslet","impf"," What do you mean?"," Co tím myslíš?"
"explain","explain","vysvětlím","vysvětlit","pf"," I 'll explain."," Hned to vysvětlím."
"closed","close","uzavřena","uzavřít","pf"," The Council - Shannahan, Timolis and Trahier - rejected the motion and the affair was closed."," Rada expedice ve složení Shannahan, Timolis a Trahier se k tomuto návrhu vyslovila záporně a tím byla celá záležitost uzavřena."
"discover","discover","zjistit","zjistit","pf"," Ravintzer, in spite of his researches, had been unable to discover if this letter had ever been sent."," Ravintzerovi se nepodařilo zjistit, zda byl tento dopis odeslán, ani jaké byly jeho důsledky."
"sent","send","odeslán","odeslat","pf"," Ravintzer, in spite of his researches, had been unable to discover if this letter had ever been sent."," Ravintzerovi se nepodařilo zjistit, zda byl tento dopis odeslán, ani jaké byly jeho důsledky."
"said","say","řekla","říci","pf"," ' No, ' she said at last, ' be quiet, do n't talk like that."," "" Ne, "" řekla, "" mlč, je to zbytečné."
"function","function","Pracovaly","pracovat","impf"," Only the ultra-shortwave transmitters continued to function, and contact was restricted to a radius of about twenty miles."," Pracovaly jen přístroje na ultrakrátkých vlnách, jež umožňovaly spojení maximálně do vzdálenosti pětadvaceti mil."
"seen","see","viděl","vidět","impf"," And what 's more, someone you 've seen only today. '"," A tys ji viděl naposledy dneska. """
"write","write","nenapíšeš","napsat","pf"," ' Why not write the truth? '"," "" A proč nenapíšeš pravdu? """
"repeated","repeat","opakoval","opakovat","impf"," ' Why? ' he repeated."," "" Proč? ... "" opakoval."
"add","add","dodat","dodat","pf"," Ravintzer 's book was full of this sort of intellectual speculation, prefaced, it is only fair to add, by an introduction in which the editor dissociated himself from some of the texts reproduced."," A právě duševní potrava tohoto druhu byla náplní Ravintzerovy knihy, která ostatně měla - to je nutno spravedlivě dodat - jeho vlastní úvod, v němž se od onoho panoptika distancoval."
"considered","consider","Domníval","domnívat","impf"," He considered, with some justice, that such a collection could provide an invaluable period document as much for the historian as for the psychologist of science."," Domníval se jen, a jistě ne bezdůvodně, že taková sbírka může jednou být cenným dobovým dokumentem jak pro historika, tak pro psychologa vědy."
"pointing","point","ukazovala","ukazovat","impf"," Only a neon arrow glowed, pointing towards a moving walkway which was silently unreeling."," Jenom neónová šipka ukazovala směrem k nehlučně běžícímu pohyblivému chodníku."
"remembered","remember","Vzpomněl","vzpomenout","pf"," I remembered how the blank stare of the night had frightened me the day before, and I smiled at the thought."," Vzpomněl jsem si, jak mě včera navečer vyděsila prázdnota zdejšího prostoru, a téměř jsem se tomu usmál."
"frightened","frighten","vyděsila","vyděsit","pf"," I remembered how the blank stare of the night had frightened me the day before, and I smiled at the thought."," Vzpomněl jsem si, jak mě včera navečer vyděsila prázdnota zdejšího prostoru, a téměř jsem se tomu usmál."
"smiled","smile","usmál","usmát","pf"," I remembered how the blank stare of the night had frightened me the day before, and I smiled at the thought."," Vzpomněl jsem si, jak mě včera navečer vyděsila prázdnota zdejšího prostoru, a téměř jsem se tomu usmál."
"left","leave","odejít","odejít","pf"," I should have controlled myself and left the room, but I had lost patience."," Správně bych byl měl vlastně odejít, ale moje trpělivost přetekla."
"arrived","arrive","přiletěli","přiletět","pf"," How could I know where he is since I 've only just arrived?"," "" Jak mohu vědět, kde je, když jsem teprv před chvílí přiletěli."
"thought","think","myslil","myslit","impf"," I thought for a moment that she really was going to dash them to the floor, but she looked across at me and smiled :"," Na okamžik jsem si myslil, že jimi skutečně mrští o zem, ale pohledla na mne bystře a usmála se."
"Do","do","dělat","dělat","impf"," ' Do n't worry, I 'm not going to make scenes. '"," "" Neboj se, nebudu dělat scény. """
"going","go","dělat","dělat","impf"," ' Do n't worry, I 'm not going to make scenes. '"," "" Neboj se, nebudu dělat scény. """
"make","make","dělat","dělat","impf"," ' Do n't worry, I 'm not going to make scenes. '"," "" Neboj se, nebudu dělat scény. """
"felt","feel","nepociťoval","pociťovat","impf"," I had never felt its gigantic presence so strongly, or its powerful changeless silence, or the secret forces that gave the waves their regular rise and fall."," Ještě nikdy jsem tak nepociťoval jeho obrovitou přítomnost, jeho silné, bezpodmínečné mlčení, pravidelně dýchající línými vlnami."
"behaving","behave","choval","chovat","impf"," During that last week, I had been behaving so normally that Snow had stopped keeping a watchful eye on me."," Celý následující týden jsem se choval tak rozumně, že mě nakonec přestaly pronásledovat nedůvěřivé záblesky ve Snautových očích."
"keeping","keep","choval","chovat","impf"," During that last week, I had been behaving so normally that Snow had stopped keeping a watchful eye on me."," Celý následující týden jsem se choval tak rozumně, že mě nakonec přestaly pronásledovat nedůvěřivé záblesky ve Snautových očích."
"stopped","stop","přestaly","přestat","pf"," During that last week, I had been behaving so normally that Snow had stopped keeping a watchful eye on me."," Celý následující týden jsem se choval tak rozumně, že mě nakonec přestaly pronásledovat nedůvěřivé záblesky ve Snautových očích."
"arrive","arrive","Přiletěli","přiletět","pf"," We arrive here as we are in reality, and when the page is turned and that reality is revealed to us - that part of our reality which we would prefer to pass over in silence - then we do n't like it any more. '"," Přiletěli jsme sem takoví, jací skutečně jsme, ale když nám druhá strana tu pravdu ukazuje - tu část pravdy, kterou zamlčujeme - nechceme se s tím smířit! """
"like","like","nechceme","chtít","impf"," We arrive here as we are in reality, and when the page is turned and that reality is revealed to us - that part of our reality which we would prefer to pass over in silence - then we do n't like it any more. '"," Přiletěli jsme sem takoví, jací skutečně jsme, ale když nám druhá strana tu pravdu ukazuje - tu část pravdy, kterou zamlčujeme - nechceme se s tím smířit! """
"wanted","want","chtěli","chtít","impf"," ' I 'm talking about what we all wanted : contact with another civilization."," "" To, co jsme chtěli : kontakt s jinou civilizací."
"smiled","smile","usmíval","usmívat","impf"," Snow smiled."," Snaut se stále ještě usmíval."
"concerned","concern","zabývá","zabývat","impf"," ' You must know that science is concerned with phenomena rather than causes."," "" Měl bys vědět, že věda se zabývá jenom tím, jak se co děje, a ne tím, proč se tak děje."
"took","take","Pochopil","pochopit","pf"," It took me a minute to understand what she meant."," Pochopil jsem."
"understand","understand","Pochopil","pochopit","pf"," It took me a minute to understand what she meant."," Pochopil jsem."
"began","begin","začal","začít","pf"," I got up and began to hunt through drawers and shelves, pushing aside books and instruments."," Vstal jsem a začal se prohrabovat v zásuvkách stolku pod oknem."
"fell","fall","Padaly","padat","impf"," they fell halfway down her nose."," Padaly jí do polovičky nosu."
"emerge","emerge","objevilo","objevit","pf"," Now and then a bolder, more interesting concept might emerge, but it always amounted to a kind of indictment of the ocean, viewed as the end-product of a development which long ago, thousands of years before, had gone through a phase of superior organization, and now had nothing more than a physical unity."," Tu a tam se sice objevilo zajímavější, odvážnější pojetí, ale všechny tyto teorie považovaly oceán za jakýsi koncový produkt vývoje, za něco, co má už období nejvyšší organizovanosti za sebou a co se teď, soudržné už jen fyzicky, rozpadá na množství zbytečných, nesmyslných, agonálních útvarů."
"viewed","view","považovaly","považovat","impf"," Now and then a bolder, more interesting concept might emerge, but it always amounted to a kind of indictment of the ocean, viewed as the end-product of a development which long ago, thousands of years before, had gone through a phase of superior organization, and now had nothing more than a physical unity."," Tu a tam se sice objevilo zajímavější, odvážnější pojetí, ale všechny tyto teorie považovaly oceán za jakýsi koncový produkt vývoje, za něco, co má už období nejvyšší organizovanosti za sebou a co se teď, soudržné už jen fyzicky, rozpadá na množství zbytečných, nesmyslných, agonálních útvarů."
"start","start","začít","začít","pf"," ' We can start today, but the recording will take some time. '"," "" Mohli bychom začít třeba už dneska, ale nějaký čas nám zabere ještě ten záznam. """
"take","take","zabere","zabrat","pf"," ' We can start today, but the recording will take some time. '"," "" Mohli bychom začít třeba už dneska, ale nějaký čas nám zabere ještě ten záznam. """
"mean","mean","Myslíš","myslet","impf"," You mean the encephalogram? '"," Myslíš encefalogram? """
"agreed","agree","souhlasil","souhlasit","impf"," ' Yes, you agreed."," "" No ovšem, souhlasil jsi přece."
"said","say","řekla","říci","pf"," ' You 're too kind, ' she said."," "" Ty jsi tak hodný ... "" řekla."
"beat","beat","bil","bít","impf"," I 'd rather you beat me. '"," A já bych radši, kdybys mě bil! """
"went","go","Šla","jít","impf"," She went back to the table and began to clear away the plates."," Šla ke stolu a začla sklízet talíře."
"went","go","začla","začít","pf"," She went back to the table and began to clear away the plates."," Šla ke stolu a začla sklízet talíře."
"began","begin","začla","začít","pf"," She went back to the table and began to clear away the plates."," Šla ke stolu a začla sklízet talíře."
"gazed","gaze","Hleděl","hledět","impf"," I gazed out at the ocean."," Hleděl jsem do temně modré prázdnoty."
"seemed","seem","zdálo","zdát","impf"," As I replaced the ninth volume of Giese on the shelf, the plastic-coated steel floor seemed to shudder under my feet."," Když jsem stavěl devátý svazek Giesovy monografie do police, zdálo se mi, že ocel pokrytá vrstvou měkké pěnové hmoty se mi pod nohama zachvěla."
"cast","cast","vrhaly","vrhat","impf"," The scarlet rays cast a glow over the smooth skin of her left cheek and the shadows of her eyelashes fell across her face."," Paprsek pronikající škvírou mezi záclonami jí pozlatil aksamitové chmýříčko na levé tváři a řasy vrhaly na lícní kosti dlouhý stín."
"closed","close","sevřel","sevřít","pf"," I closed my eyelids tightly."," A pevně jsem sevřel víčka ve snaze probudit se."
"made","make","Pochopil","pochopit","pf"," It deciphered them and made use of them, in the same way as one uses a recipe or a blueprint."," Pochopil je jako recept, jako konstrukční plán ..."
"hidden","hide","schoval","schovat","pf"," The Station held its course, and after fifteen minutes the colossal ruby throbbing with dying gleams was once again hidden beneath the horizon."," Stanice však nezměnila kurs a asi po čtvrthodině se kolos blikající červeně jako dohasínající lampa z rubínového skla schoval opět za obzor."
