"kills","kill","zabil","zabít","pf"," Eat it so that the point of the hook goes into your heart and kills you, he thought."," Spolkni to tak, aby ti hrot háku pronikl do srdce a zabil tě, pomyslel si."
"took","take","Uchopil","uchopit","pf"," He took hold of the line carefully so that it did not fit into any of the fresh line cuts and shifted his weight so that he could put his left hand into the sea on the other side of the skiff."," Uchopil opatrně šňůru, aby mu nikde nepřišla do čerstvých zářezů, a přesunul váhu těla tak, že mohl ponořit na druhé straně člunu do moře levičku."
"shifted","shift","přesunul","přesunout","pf"," He took hold of the line carefully so that it did not fit into any of the fresh line cuts and shifted his weight so that he could put his left hand into the sea on the other side of the skiff."," Uchopil opatrně šňůru, aby mu nikde nepřišla do čerstvých zářezů, a přesunul váhu těla tak, že mohl ponořit na druhé straně člunu do moře levičku."
"thought","think","uvažoval","uvažovat","impf"," Why was I not born with two good hands? he thought."," Proč jsem se nenarodil s oběma rukama v pořádku? uvažoval v duchu."
"playing","play","hrál","hrát","impf"," "" The great Sisler 's father was never poor and he, the father, was playing in the Big Leagues when he was my age."," "" Táta slavného Sislera nikdy nebyl chudý a hrál v první lize, když byl tak starý jako já. """
"seen","see","viděl","vidět","impf"," "" When I was your age I was before the mast on a square rigged ship that ran to Africa and I have seen lions on the beaches in the evening. """," "" Když jsem já byl tak starý jako ty, sloužil jsem jako námořník na plachetnici, co plula do Afriky, a viděl jsem večer na pobřeží lvy. """
"told","tell","vyprávěl","vyprávět","impf"," You told me. """," To jste mi vyprávěl. """
"said","say","odpověděl","odpovědět","pf"," "" Baseball I think, "" the boy said."," "" Radši o baseballu, "" odpověděl chlapec."
"left","leave","nechal","nechat","pf"," Then he baited another line and left it coiled in the shade of the bow."," Pak navnadil ještě jednu šňůru a nechal ji stočenou ve stínu přídě."
"watching","watch","pozoroval","pozorovat","impf"," He went back to rowing and to watching the long-winged black bird who was working, now, low over the water."," Dal se zase do veslování a pozoroval černého ptáka s dlouhými perutěmi, který teď kroužil nízko nad vodou."
"kill","kill","zabít","zabít","pf"," Now I must convince him and then I must kill him."," Teď ji musím zkrotit a pak ji musím zabít."
"kept","keep","pokračovala","pokračovat","impf"," But the fish kept on circling slowly and the old man was wet with sweat and tired deep into his bones two hours later."," Ale ryba pokračovala v pomalém kroužení a stařec byl po dalších dvou hodinách mokrý potem a zmožený únavou až do morku kostí."
"tell","tell","zjistit","zjistit","pf"," But the circles were much shorter now and from the way the line slanted he could tell the fish had risen steadily while he swam."," Jenže kruhy teď byly daleko kratší a z úhlu, který svírala šňůra s hladinou, mohl zjistit, že ryba pluje stále blíž a blíž při povrchu."
"swam","swim","pluje","plout","impf"," But the circles were much shorter now and from the way the line slanted he could tell the fish had risen steadily while he swam."," Jenže kruhy teď byly daleko kratší a z úhlu, který svírala šňůra s hladinou, mohl zjistit, že ryba pluje stále blíž a blíž při povrchu."
"seeing","see","viděl","vidět","impf"," For an hour the old man had been seeing black spots before his eyes and the sweat salted his eyes and salted the cut over his eye and on his forehead."," Dobrou hodinu viděl stařec černé mžitky před očima, pot ho slaně pálil v odřenině nad okem a na čele."
"hurt","hurt","nebolelo","bolet","impf"," The sun was two hours higher now and it did not hurt his eyes so much to look into the east."," Slunce zatím vystoupilo o dvě hodiny výše a už ho tak nebolelo do očí, když se podíval na východ."
"look","look","podíval","podívat","pf"," The sun was two hours higher now and it did not hurt his eyes so much to look into the east."," Slunce zatím vystoupilo o dvě hodiny výše a už ho tak nebolelo do očí, když se podíval na východ."
"thought","think","pomyslil","pomyslit","pf"," All my life the early sun has hurt my eyes, he thought."," Celý život mě časné slunce pálí do očí, pomyslil si stařec."
"look","look","podívat","podívat","pf"," In the evening I can look straight into it without getting the blackness."," Večer se můžu podívat přímo do slunce a nezatmí se mi před očima."
"jump","jump","skáče","skákat","impf"," "" God let him jump, "" the old man said."," "" Pane bože, ať skáče! "" řekl stařec nahlas."
"said","say","řekl","říci","pf"," "" God let him jump, "" the old man said."," "" Pane bože, ať skáče! "" řekl stařec nahlas."
"handle","handle","zvládl","zvládnout","pf"," "" I have enough line to handle him. """," "" Mám dost šňůry, abych ji zvládl. """
"increase","increase","zvětšit","zvětšit","pf"," Maybe if I can increase the tension just a little it will hurt him and he will jump, he thought."," Možná, že kdybych dokázal aspoň trochu zvětšit napětí, že by ji to bolelo a začala by skákat, pomyslel si."
"hurt","hurt","bolelo","bolet","impf"," Maybe if I can increase the tension just a little it will hurt him and he will jump, he thought."," Možná, že kdybych dokázal aspoň trochu zvětšit napětí, že by ji to bolelo a začala by skákat, pomyslel si."
"jump","jump","skákat","skákat","impf"," Maybe if I can increase the tension just a little it will hurt him and he will jump, he thought."," Možná, že kdybych dokázal aspoň trochu zvětšit napětí, že by ji to bolelo a začala by skákat, pomyslel si."
"thought","think","pomyslel","pomyslet","pf"," Maybe if I can increase the tension just a little it will hurt him and he will jump, he thought."," Možná, že kdybych dokázal aspoň trochu zvětšit napětí, že by ji to bolelo a začala by skákat, pomyslel si."
"gained","gain","vybojoval","vybojovat","pf"," "" Now! "" he said aloud and struck hard with both hands, gained a yard of line and then struck again and again, swinging with each arm alternately on the cord with all the strength of his arms and the pivoted weight of his body."," "" Teď! "" vykřikl hlasitě a trhl prudce oběma rukama, vybojoval si metr šňůry a pak se znovu a znovu chápal střídavě oběma rukama vytahovaného lana a komíhal se na něm veškerou silou paží i váhou svého těla, vzepřeného jako čep."
"held","hold","měl","mít","impf"," His line was strong and made for heavy fish and he held it against his back until it was so taut that beads of water were jumping from it."," Šňůru měl pevnou, dělanou na těžké ryby, a teď si ji přehodil přes záda a táhl, až se napjala tak, že od ní odstřikovaly kapičky vody."
"slid","slide","sklouzl","sklouznout","pf"," The shark let go of the fish and slid down, swallowing what he had taken as he died."," Žralok se pustil ryby a sklouzl do hloubky, polykaje ve smrtelném tažení urvané sousto."
"swallowing","swallow","polykaje","polykat","impf"," The shark let go of the fish and slid down, swallowing what he had taken as he died."," Žralok se pustil ryby a sklouzl do hloubky, polykaje ve smrtelném tažení urvané sousto."
"heard","hear","slyšel","slyšet","impf"," He clubbed at heads and heard the jaws chop and the shaking of the skiff as they took hold below."," Bušil je po hlavách a slyšel zahryzávající se čelisti a cítil, jak lomcují loďkou, když se pustili do ryby zespodu."
"feel","feel","cítil","cítit","impf"," He clubbed desperately at what he could only feel and hear and he felt something seize the club and it was gone."," Bušil zoufale do něčeho, co jenom cítil a slyšel, a pak něco chňaplo po kyji a kyj byl ten tam."
"felt","feel","cítil","cítit","impf"," He clubbed desperately at what he could only feel and hear and he felt something seize the club and it was gone."," Bušil zoufale do něčeho, co jenom cítil a slyšel, a pak něco chňaplo po kyji a kyj byl ten tam."
"hear","hear","slyšel","slyšet","impf"," He clubbed desperately at what he could only feel and hear and he felt something seize the club and it was gone."," Bušil zoufale do něčeho, co jenom cítil a slyšel, a pak něco chňaplo po kyji a kyj byl ten tam."
"jerked","jerk","Vytrhl","vytrhnout","pf"," He jerked the tiller free from the rudder and beat and chopped with it, holding it in both hands and driving it down again and again."," Vytrhl z kormidla jeho rukojeť a bil a bušil jí, svíral ji oběma rukama a tloukl znovu a znovu do vln."
"holding","hold","svíral","svírat","impf"," He jerked the tiller free from the rudder and beat and chopped with it, holding it in both hands and driving it down again and again."," Vytrhl z kormidla jeho rukojeť a bil a bušil jí, svíral ji oběma rukama a tloukl znovu a znovu do vln."
"going","go","půjde","jít","impf"," "" Tomorrow is going to be a good day with this current, "" he said."," "" Při tomhle proudu to zítra půjde dobře, "" poznamenal."
"going","go","pojedete","jet","impf"," "" Where are you going? "" the boy asked."," "" Kam pojedete? "" zeptal se ho chlapec."
"asked","ask","zeptal","zeptat","pf"," "" Where are you going? "" the boy asked."," "" Kam pojedete? "" zeptal se ho chlapec."
"want","want","Chci","chtít","impf"," I want to be out before it is light. """," Chci vyrazit před svítáním. """
"try","try","Pokusím","pokusit","pf"," "" I 'll try to get him to work far out, "" the boy said."," "" Pokusím se ho přimět, aby vyplul taky dál, "" řekl chlapec."
"get","get","přimět","přimět","pf"," "" I 'll try to get him to work far out, "" the boy said."," "" Pokusím se ho přimět, aby vyplul taky dál, "" řekl chlapec."
"said","say","řekl","říci","pf"," "" I 'll try to get him to work far out, "" the boy said."," "" Pokusím se ho přimět, aby vyplul taky dál, "" řekl chlapec."
"stopped","stop","Zůstal","zůstat","pf"," He stopped for a moment and looked back and saw in the reflection from the street light the great tail of the fish standing up well behind the skiff 's stern."," Zůstal na chvilku stát, ohlédl se a uviděl v odrazu pouliční lampy ohromný rybí ocas, tyčící se hezky daleko za zádí člunu."
"saw","see","uviděl","uvidět","pf"," He stopped for a moment and looked back and saw in the reflection from the street light the great tail of the fish standing up well behind the skiff 's stern."," Zůstal na chvilku stát, ohlédl se a uviděl v odrazu pouliční lampy ohromný rybí ocas, tyčící se hezky daleko za zádí člunu."
"saw","see","Viděl","vidět","impf"," He saw the white naked line of his backbone and the dark mass of the head with the projecting bill and all the nakedness between."," Viděl nahou bílou linii rybí páteře a temný masiv hlavy s vyčnívajícím mečem a všechnu tu nahotu mezi tím."
"fell","fall","padl","padnout","pf"," He started to climb again and at the top he fell and lay for some time with the mast across his shoulder."," Dal se znovu do šplhání a nahoře padl a zůstal chvíli ležet se stěžněm přes rameno."
"lay","lie","ležet","ležet","impf"," He started to climb again and at the top he fell and lay for some time with the mast across his shoulder."," Dal se znovu do šplhání a nahoře padl a zůstal chvíli ležet se stěžněm přes rameno."
"tried","try","Pokusil","pokusit","pf"," He tried to get up."," Pokusil se vstát."
"said","say","řekl","říci","pf"," "" You 're tired, old man, "" he said."," "" Jsi unavený, staříku, "" řekl si."
"saw","see","spatřil","spatřit","pf"," The old man saw the brown fins coming along the wide trail the fish must make in the water."," Stařec spatřil hnědé ploutve blížící se v širokém sledu, který jistě ryba ve vodě zanechávala."
"reached","reach","sáhl","sáhnout","pf"," He jammed the tiller, made the sheet fast and reached under the stern for the club."," Zaklesl rukojeť kormidla, uvázal škot a sáhl pod zadní paloubku pro kyj."
"turned","turn","otočil","otočit","pf"," He turned then and placed the two flying fish inside the two fillets of fish and putting his knife back in its sheath, he worked his way slowly back to the bow."," Pak se otočil, vložil obě létavé ryby mezi řízky rybího masa, strčil nůž do pochvy a doplazil se pomalu zpátky na příď."
"carried","carry","měl","mít","impf"," His back was bent with the weight of the line across it and he carried the fish in his right hand."," Hřbet měl ohnuty tlakem šňůry a rybu nesl v pravačce."
"carried","carry","nesl","nést","impf"," His back was bent with the weight of the line across it and he carried the fish in his right hand."," Hřbet měl ohnuty tlakem šňůry a rybu nesl v pravačce."
"liked","like","líbila","líbit","impf"," I wonder how the great DiMaggio would have liked the way I hit him in the brain?"," Rád bych věděl, jak by se slavnému DiMaggiovi líbila ta rána, kterou jsem ho zasáhl do mozku?"
"hit","hit","zasáhl","zasáhnout","pf"," I wonder how the great DiMaggio would have liked the way I hit him in the brain?"," Rád bych věděl, jak by se slavnému DiMaggiovi líbila ta rána, kterou jsem ho zasáhl do mozku?"
"think","think","nemyslíš","myslet","impf"," But do you think my hands were as great a handicap as the bone spurs?"," Ale nemyslíš, že ty moje ruce jsou právě takový handicap jako kostní ostruha?"
"stepped","step","šlápl","šlápnout","pf"," I never had anything wrong with my heel except the time the sting ray stung it when I stepped on him when swimming and paralyzed the lower leg and made the unbearable pain."," Nikdy jsem s patou nic neměl, leda tenkrát, když jsem při koupání šlápl na hrotnatého rejnoka a když mi to ochromilo celé lýtko a nesnesitelně to bolelo."
"paralyzed","paralyze","ochromilo","ochromit","pf"," I never had anything wrong with my heel except the time the sting ray stung it when I stepped on him when swimming and paralyzed the lower leg and made the unbearable pain."," Nikdy jsem s patou nic neměl, leda tenkrát, když jsem při koupání šlápl na hrotnatého rejnoka a když mi to ochromilo celé lýtko a nesnesitelně to bolelo."
"stung","sting","bolelo","bolet","impf"," I never had anything wrong with my heel except the time the sting ray stung it when I stepped on him when swimming and paralyzed the lower leg and made the unbearable pain."," Nikdy jsem s patou nic neměl, leda tenkrát, když jsem při koupání šlápl na hrotnatého rejnoka a když mi to ochromilo celé lýtko a nesnesitelně to bolelo."
"said","say","řekl","říci","pf"," "" Think about something cheerful, old man, "" he said."," "" Mysli radši na něco veselého, staříku! "" řekl si nahlas."
"washed","wash","omýval","omývat","impf"," Then he shifted the heavy line from his right hand to his left and washed his right hand in the sea while he watched the sun go into the ocean and the slant of the big cord."," Pak si přendal těžkou šňůru z pravé ruky do levé a omýval si pravičku v moři, zatím co pozoroval, jak slunce zapadá do oceánu a pod jakým úhlem se šňůra noří do vln."
"watched","watch","pozoroval","pozorovat","impf"," Then he shifted the heavy line from his right hand to his left and washed his right hand in the sea while he watched the sun go into the ocean and the slant of the big cord."," Pak si přendal těžkou šňůru z pravé ruky do levé a omýval si pravičku v moři, zatím co pozoroval, jak slunce zapadá do oceánu a pod jakým úhlem se šňůra noří do vln."
"changed","change","nezměnilo","změnit","pf"," "" He has n't changed at all, "" he said."," "" Vůbec se to nezměnilo, "" řekl."
"said","say","řekl","říci","pf"," "" He has n't changed at all, "" he said."," "" Vůbec se to nezměnilo, "" řekl."
"watching","watch","pozoroval","pozorovat","impf"," But watching the movement of the water against his hand he noted that it was perceptibly slower."," Ale když pozoroval, jak mu voda naráží na ruku, všiml si, že přece jen znatelně zpomalili."
"noted","note","pozoroval","pozorovat","impf"," But watching the movement of the water against his hand he noted that it was perceptibly slower."," Ale když pozoroval, jak mu voda naráží na ruku, všiml si, že přece jen znatelně zpomalili."
"said","say","řekl","říci","pf"," "" I 'll lash the two oars together across the stern and that will slow him in the night, "" he said."," "" Vzepřu obě vesla na zádi, a to ji v noci přibrzdí, "" řekl po chvíli."
"gave","give","dal","dát","pf"," "" Perico gave it to me at the bodega, "" he explained."," "" Perico mi je dal v hospodě, "" vysvětlil chlapci."
"explained","explain","vysvětlil","vysvětlit","pf"," "" Perico gave it to me at the bodega, "" he explained."," "" Perico mi je dal v hospodě, "" vysvětlil chlapci."
"keep","keep","Nechám","nechat","pf"," I 'll keep yours and mine together on ice and we can share them in the morning."," Nechám vaše se svými u ledu a ráno se o ně můžeme rozdělit."
"share","share","rozdělit","rozdělit","pf"," I 'll keep yours and mine together on ice and we can share them in the morning."," Nechám vaše se svými u ledu a ráno se o ně můžeme rozdělit."
"tell","tell","Povíte","povědět","pf"," When I come back you can tell me about the baseball. """," Povíte mi pak o baseballu, až se vrátím. """
"lose","lose","prohrát","prohrát","pf"," "" The Yankees cannot lose. """," "" Yankeeové nemůžou prohrát. """
"take","take","vzal","vzít","pf"," "" If you were my boy I 'd take you out and gamble, "" he said."," "" Kdybys byl můj, vzal bych tě s sebou a vsadil bych všechno na jednu kartu, "" řekl mu."
"said","say","řekl","říci","pf"," "" If you were my boy I 'd take you out and gamble, "" he said."," "" Kdybys byl můj, vzal bych tě s sebou a vsadil bych všechno na jednu kartu, "" řekl mu."
"get","get","sehnat","sehnat","pf"," "" May I get the sardines?"," "" Smím sehnat ty sardinky?"
"get","get","opatřit","opatřit","pf"," I know where I can get four baits too. """," Vím taky, kde opatřit čtyři návnady. """
"put","put","Dal","dát","pf"," I put them in salt in the box. """," Dal jsem je do bedničky se solí. """
"Let","let","Nechte","nechat","pf"," "" Let me get four fresh ones. """," "" Nechte mě, seženu vám čtyři čerstvé! """
"get","get","seženu","sehnat","pf"," "" Let me get four fresh ones. """," "" Nechte mě, seženu vám čtyři čerstvé! """
"thought","think","nemá","mít","impf"," When he thought that he knew that he was not being clear-headed and he thought he should chew some more of the dolphin."," Uvědomil si při takových úvahách, že nemá docela jasno v hlavě, a napadlo ho, že by měl sežvýkat ještě kousek dorády."
"thought","think","nemá","mít","impf"," When he thought that he knew that he was not being clear-headed and he thought he should chew some more of the dolphin."," Uvědomil si při takových úvahách, že nemá docela jasno v hlavě, a napadlo ho, že by měl sežvýkat ještě kousek dorády."
"thought","think","měl","mít","impf"," When he thought that he knew that he was not being clear-headed and he thought he should chew some more of the dolphin."," Uvědomil si při takových úvahách, že nemá docela jasno v hlavě, a napadlo ho, že by měl sežvýkat ještě kousek dorády."
"thought","think","měl","mít","impf"," When he thought that he knew that he was not being clear-headed and he thought he should chew some more of the dolphin."," Uvědomil si při takových úvahách, že nemá docela jasno v hlavě, a napadlo ho, že by měl sežvýkat ještě kousek dorády."
"told","tell","řekl","říci","pf"," But I ca n't, he told himself."," Ale to nemůžu, řekl si pro sebe."
"want","want","Nechtěl","chtít","impf"," He did not want to look at the fish."," Nechtěl se podívat na rybu."
"look","look","podívat","podívat","pf"," He did not want to look at the fish."," Nechtěl se podívat na rybu."
"destroyed","destroy","zničena","zničit","pf"," He knew that half of him had been destroyed."," Věděl, že polovička je z ní zničena."
"see","see","uvidět","uvidět","pf"," "" Then I should see the glow of Havana.."," "" To bych pak měl uvidět světla Havany."
"see","see","uvidím","uvidět","pf"," If I am too far to the eastward I will see the lights of one of the new beaches. """," A jestli jsem se dostal moc daleko na východ, uvidím světla na některé z těch nových pláží. """
"hope","hope","Doufám","doufat","impf"," I hope no one has been too worried."," Doufám, že si se mnou nikdo nedělal moc velké starosti."
"Think","think","Mají","mít","impf"," Think of the great DiMaggio. """," Mají přece v mužstvu slavného DiMaggia. """
"fear","fear","bát","bát","impf"," "" Be careful or you will fear even the Reds of Cincinnati and the White Sox of Chicago. """," "" Dej si pozor, nebo se začneš bát i Rudochů z Cincinnati nebo Běloponožkářů z Chicaga! """
"tell","tell","řeknete","říci","pf"," "" You study it and tell me when I come back. """," "" Vy to už proštudujete a řeknete mi, až se vrátím. """
"think","think","Neměli","mít","impf"," "" Do you think we should buy a terminal of the lottery with an eighty-five?"," "" Neměli bychom si na pětaosmdesátku vsadit do posledního kola loterie?"
"said","say","odpověděl","odpovědět","pf"," "" We can do that, "" the boy said."," "" To bychom mohli, "" odpověděl chlapec."
"looked","look","podíval","podívat","pf"," Come on, he thought and looked down into the dark water at the slant of the line."," Seber se, řekl si v duchu a podíval se dolů do temné vody na úhel šňůry s hladinou."
"strengthen","strengthen","posílí","posílit","pf"," Eat it now and it will strengthen the hand."," Najez se teď, posílí ti to ruku!"
"Eat","eat","Sněz","sníst","pf"," Eat the bonito now."," Sněz teď toho bonita!"
"picked","pick","Vzal","vzít","pf"," He picked up a piece and put it in his mouth and chewed it slowly."," Vzal si kousek, strčil si ho do úst a pomalu žvýkal."
"pulling","pull","přitahoval","přitahovat","impf"," They were normal at the tension that he was pulling on the line."," Při tom úsilí, s jakým přitahoval šňůru, byly obvyklé."
"fail","fail","zklamat","zklamat","pf"," "" I could not fail myself and die on a fish like this, "" he said."," "" Nesmím přece zklamat sám sebe a umřít při takovéhle rybě, "" řekl si nahlas."
"die","die","umřít","umřít","pf"," "" I could not fail myself and die on a fish like this, "" he said."," "" Nesmím přece zklamat sám sebe a umřít při takovéhle rybě, "" řekl si nahlas."
"said","say","řekl","říci","pf"," "" I could not fail myself and die on a fish like this, "" he said."," "" Nesmím přece zklamat sám sebe a umřít při takovéhle rybě, "" řekl si nahlas."
"help","help","pomoz","pomoci","pf"," "" Now that I have him coming so beautifully, God help me endure."," "" Panebože, pomoz mi vydržet, teď když mi to s ní jde tak krásně!"
"endure","endure","vydržet","vydržet","pf"," "" Now that I have him coming so beautifully, God help me endure."," "" Panebože, pomoz mi vydržet, teď když mi to s ní jde tak krásně!"
"coming","come","jde","jít","impf"," "" Now that I have him coming so beautifully, God help me endure."," "" Panebože, pomoz mi vydržet, teď když mi to s ní jde tak krásně!"
"thought","think","pomyslel","pomyslet","pf"," The hands cure quickly, he thought."," Ruce se mi brzo zacelí, pomyslel si."
"clean","clean","vyčistilo","vyčistit","pf"," I bled them clean and the salt water will heal them."," Krvácení rány vyčistilo a slaná voda je zahojí."
"keep","keep","udržet","udržet","pf"," All I must do is keep the head clear."," Jen si musím udržet jasnou hlavu."
"done","do","udělaly","udělat","pf"," The hands have done their work and we sail well."," Ruce udělaly své a s plachtou se nám pluje dobře."
"sail","sail","pluje","plout","impf"," The hands have done their work and we sail well."," Ruce udělaly své a s plachtou se nám pluje dobře."
